Nombre;Dirección;Código Postal;Teléfono;Fax;Email;Tipo de organización;Ámbito territorial;Sector de población;Ámbito de actuación;Actividades;Función principal;Función secundaria
ASOCIACION ARTISTICO CULTURAL "GALATEA";AGUIRRE LEHENDAKARI                                                                   5         6º A;48014;944758217;;;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS;SERVICIOS A LOS CIUDADANOS;PROMOCION;
ASOC. PSICO-SOCIOCULTURAL DE LA MUJER "ARRITOKIETA";MADARIAGA AVENIDA                                      47     2  1º C;48014;944478816;;;ASOCIACION;BIZKAIA;MUJER;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS;AYUDA MUTUA;PROMOCION;
ASOC. ALUMNOS Y EXALUMNOS DE LA E.P.A. DE ITURRIBIDE;ITURRIBIDE                                             5;48006;944164301;;ayexa.iturribide@gmail.com;ASOCIACION;DISTRITO 5 IBAIONDO;SOCIOS/AS;EDUCACIÓN Y EMPLEO;REALIZACIàN DE ESTUDIOS,VISITAS CULTURALES/EXCURSIONES;PROMOCION;;
GRUPO FEMINISTA DE ESTUDIOS ILAZKI;HURTADO DE AMEZAGA                                                                     11        1º IZ;48008;944447693;944125553;;ASOCIACION;BILBAO;MUJER;SOCIEDAD;DIVULGACION:CHARLAS,CAMPAÑAS;ESTUDIOS/INVESTIGACION;PROMOCION;
COLECTIVO DE COEDUCACION EMILIA PARDO BAZAN;HURTADO DE AMEZAGA                                                                     11        1º IZ;48008;944447693;944125553;;ASOCIACION;BILBAO;MUJER;EDUCACIÓN Y EMPLEO;REALIZACIàN DE ESTUDIOS,DIVULGACION:CHARLAS,CAMPAÑAS;PROMOCION;REPRESENTACION Y/O DEFENSA;
ASOCIACION DE MUJERES OSTADAR;HURTADO DE AMEZAGA                                                                     11        1º;48008;944447693;944125553;;ASOCIACION;BILBAO;MUJER;SOCIEDAD;REALIZACIàN DE ESTUDIOS,ACTIV.OCIO,CULTURALES,TALLERES,RECURSOS/FONDO BIBLIOGRAFICO;REPRESENTACION Y/O DEFENSA;PROMOCION;
ALETU (ASOCIACION DE MUJERES);URIBARRI                                               1         3º;48007;944455354;;aletuasoc@gmail.com;ASOCIACION;DISTRITO 2 URIBARRI;MUJER;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,VISITAS CULTURALES/EXCURSIONES;CREACION ARTISTICA;EDUCAR;
ASFEDEBI-ASOC. FEDERACIONES DEPORTIVAS DE BIZKAIA;BARUA PICAZA MARTIN                                                                   27        BJ;48003;944423960;944421012;asfedebi@asfedebi.com;ASOCIACION;BIZKAIA;SOCIOS/AS;DEPORTIVAS;SERV.INFORMACION/ASESORAMIENTO,SERVICIO MEDICO;SERVICIOS A LOS SOCIOS;AYUDA MUTUA;
ASOCIACION EDUCATIVA JUNIOR BIZKAIA;NUEVA                                                  10        3º;48005;944158459;944763333;;ASOCIACION;DISTRITO 2 URIBARRI;INFANCIA;TIEMPO LIBRE;ACTIV.FORMATIVAS/EDUCATIVAS;EDUCAR;;
ASOCIACION DE ALUMNOS/AS ITSASARGIA;ASTURIAS                                                                                         9;48015;944762155;944762155;sanina@euskalnet.net;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;EDUCACIÓN Y EMPLEO;SERVICIO DE ORIENTACION;OTROS;SERVICIOS A LOS SOCIOS;
ASOCIACION DE VECINOS ALDATZ BIDE;FRAY JUAN                                                                                          25           EP;48013;944997994;;;ASOCIACION;DISTRITO 8 BASURTO-ZORROZA;POBLACION EN GENERAL;BARRIO;ACTIV.FORMATIVAS/EDUCATIVAS;EDUCAR;;
ASOCIACION ASTRONOMICA M31;CIRCO AMATEUR DEL CLUB DEPORTIVO                                         2;48004;944116872;;l.j.terceno@euskalnet.net y jhernandezal@nexo.es;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;TIEMPO LIBRE;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,PROYECCIONES;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
ADISKIDEAK FANFARRE IAGOITIKOZ;EGUILUZ ANTONIO MEDICO                                                             10        4º A;48004;944121522;;;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS;PROMOCION;;
ASOC. SOLIDARIDAD EUSKADI-ZAIRE "TOSALISANA";RECALDE                                                27        4º DH;48009;944263796;;;ASOCIACION;BILBAO;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;SENSIBILIZACION:CONCEN,MANIF;SOLIDARIDAD;;
ACADEMIA VASCA DE GASTRONOMIA;SAN VICENTE                                            8         11;48001;944236345;944237969;avascagastronomia@ozu.es;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,PUBLICACIONES;PROMOCION;;
J.M. ZABALA KULTUR ELKARTEA;GORDONIZ                                                                                            22           2;48012;944221388;944221506;;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,VISITAS GUIADAS;PROMOCION;NORMALIZACION;
ONDALAN ERRALDOIEN KONPARTSA;OTERO BLAS DE                                                                               42;48014;944759635;;;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;FIESTAS;OTROS;;
ASPANOVAS-ASOC.DE PADRES DE NIÑOS ONCOLOGICOS VASCOS;EGUILUZ ANTONIO MEDICO                                                             22;48004;944110535;944110535;aspanovas@aspanovasbizkaia.org;ASOCIACION;BIZKAIA;AFECTADOS/ENFERMOS/AS;SALUD;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,SERVICIO ATENCION/ASISTENCIA,NO CONTESTA ASOCIACION;SERVICIOS A LOS SOCIOS;;
ASOCIACION JUVENIL OLALDE;ESCUZA JOSE Mª                                         24     B;48013;944424025;944425382;olalde@clubolalde.com;ASOCIACION;BIZKAIA;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,CAMPAMENTOS;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
ASOCIACION JUVENIL SORTU TA SORTUZ;ITURRIAGA                                              55        1º I;48004;944126496;;;ASOCIACION;DISTRITO 4  BEGOÑA;JUVENTUD/ESTUDIANTES;TIEMPO LIBRE;REVISTA;OTROS;;
ASOCIACION CLUB DE TIEMPO LIBRE KANPA;GORDONIZ                                               25     IN 1º;48010;944102361;;laestacion@agoranet.es;ASOCIACION;BIZKAIA;INFANCIA Y JUVENTUD;TIEMPO LIBRE;CAMPAMENTOS;SERVICIOS A LOS CIUDADANOS;SERVICIOS A LOS SOCIOS;
ADISKIDETASUNA ESKAUT TALDEA;ANDRAMARIA DE BEGOÑA                                   14;48007;944460467;;adiskideet@yahoo.es;ASOCIACION;DISTRITO 2 URIBARRI;INFANCIA Y JUVENTUD;TIEMPO LIBRE;REPRESEN/RECITALES/CONCIERTOS;EDUCAR;SOLIDARIDAD;
ASOC. AMIGOS DE LA FANFARRE SAMA SIKU;GARAT TXOMIN                                                                                 28        4º A;48004;944731158;;;ASOCIACION;DISTRITO 4  BEGOÑA;POBLACION EN GENERAL;CULTURA;ACTIVIDADES DE ANIMACION,FIESTAS;OTROS;;
SAN ADRIAN ORLBELTZ ESKAUT TALDEA;SAN ADRIAN                                                                                        36;48003;944795989;;;ASOCIACION;DISTRITO 5 IBAIONDO;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES;EDUCAR;;
ESKOLA BERRIA GURASOEN ELKARTEA (CP FELIX SERRANO);ALLENDE MANUEL                                         28;48010;944211940;;;ASOCIACION;DISTRITO 6 ABANDO;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS SOCIOS;;
GRUPO SCOUT GOIZALDE/GOIZALDE ESKAUT TALDEA;ZIZERUENE                                              2;48004;944731327;;info@goizalde.org;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;INFANCIA Y JUVENTUD;TIEMPO LIBRE;JORNADAS TEMATICAS/CERTAMENES,CAMPAMENTOS,VISITAS CULTURALES/EXCURSIONES;EDUCAR;CREACION DE OPINION;
AGRUP. DE INQUILINOS Y ARRENDATARIOS DE BIZKAIA;RONDA                                                  28        1º;48005;944158810;;;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SOCIEDAD;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS;SERVICIOS A LOS SOCIOS;REPRESENTACION Y/O DEFENSA;
ASOC. PARA LA DEFENSA DE LA DIGNIDAD HUMANA;CLARA CAMPOAMOR                                                                           8         2º;48013;944903404;;;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;SOCIEDAD;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,ASESORIA JURIDICA;REPRESENTACION Y/O DEFENSA;SOLIDARIDAD;
ASOC. PARA LA DEFENSA DE LAS ESPECIES EN VIAS DE EXTINCION/IRAUNGITZEKO ZORIAN DAUDEN ESPEZIEAK DEFENDATZEKO ELKARTEA (ADEVE);MADARIAGA AVENIDA                                      47     1  6º C;48014;944752883;;adeve.2@euskalnet.net;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SOCIEDAD;SERV.INFORMACION/ASESORAMIENTO,REALIZACIàN DE ESTUDIOS,DIVULGACION:CHARLAS,CAMPAÑAS;REPRESENTACION Y/O DEFENSA;CREACION DE OPINION;
BIDEARTE ESKAUT TALDEA;GARAMENDI VICENTE RV.                                                               4         B;48006;944335615;;;ASOCIACION;BIZKAIA;INFANCIA Y JUVENTUD;TIEMPO LIBRE;DIVULGACION:CHARLAS,CAMPAÑAS,JORNADAS TEMATICAS/CERTAMENES;EDUCAR;PROMOCION;
ADEMBI-ASOCIACION DE ESCLEROSIS MULTIPLE DE BIZKAIA;IBARRECOLANDA                                          17;48015;944765138;944766096;info@emfundazioa.org;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SALUD;SERV.INFORMACION/ASESORAMIENTO,TERAPIAS /REHABILITACION,INFO/ORIENT EMPLEO Y FORMACION,PUBLICACIONES;AYUDA MUTUA;SOLIDARIDAD;
GAIZKINAK ESKAUT TALDEA;ARANA SABINO                                                                                 42        3º;48013;944795989;;gaizkinak@wanadoo.es;ASOCIACION;DISTRITO 8 BASURTO-ZORROZA;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.FORMATIVAS/EDUCATIVAS,ACTIVIDADES DE ANIMACION,CAMPAMENTOS;EDUCAR;;
ASOCIACION JUVENIL ZUMIZGAI;ALTUBE                                                 5;48002;944449596;944447965;zumizgai@gazteleku.org;ASOCIACION;DISTRITO 7 REKALDE;INFANCIA;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,CAMPAMENTOS,VISITAS CULTURALES/EXCURSIONES;EDUCAR;;
ABERRIGINTZAN TALDE KULTURALA;ARENAL                                                 2         3º;48005;944161033;944156294;webmaster@aberrigintzan.org;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,FIESTAS;OTROS;;
ASOC.JUBILADOS Y PENSION. DE LARRASQUITU PARQUE BERRIA;CARRETERA LARRASKITU                                   43;48002;944435168;;;ASOCIACION;DISTRITO 7 REKALDE;TERCERA EDAD;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;OTROS;
ASOCIACION DE MUJERES EMA-HITZA;HURTADO DE AMEZAGA                                                                     11        1º IZ;48008;944447693;;;ASOCIACION;BILBAO;MUJER;SOCIEDAD;SENSIBILIZACION:CONCEN,MANIF,CENTRO DE DOCUMENTACION;REPRESENTACION Y/O DEFENSA;PROMOCION;
ASOCIACION MUSICAL LA CALDERA;CASALS PAU                                                                                     19;48004;944125042;944127331;lacalderamusikaelkartea@gmail.com;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;JUVENTUD/ESTUDIANTES;CULTURA;ACTIV.FORMATIVAS/EDUCATIVAS,REPRESEN/RECITALES/CONCIERTOS;PROMOCION;AYUDA MUTUA;
A.P.A. DEL B.H.I. SANTUTXU/I.E.S. SANTUTXU TXIMBITO;ITURRIAGA                                                                                          58;48004;944112528;;;ASOCIACION;DISTRITO 4  BEGOÑA;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;SERV.INFORMACION/ASESORAMIENTO,ACTIV.FORMATIVAS/EDUCATIVAS,SERVICIO DE ORIENTACION,AYUDA ESCOLAR;SERVICIOS A LOS SOCIOS;;
ASOC.PARA PROMOCION SOCIAL DE PERSONAS MARGINADAS;CRISTO                                                 19        4º;48007;944130794;;;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;MARGINADOS/EXCLUIDOS/AS;INTERVENCIÓN SOCIAL;ACTIV.FORMATIVAS/EDUCATIVAS;PROMOCION;SERVICIOS A LOS CIUDADANOS;
ONKI-XIN KULTUR ELKARTEA;URUÑUELA LEON DE                                                                         1;48002;944102571;;cpgahgui@lg.ehu.es;ASOCIACION;DISTRITO 7 REKALDE;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,REPRESEN/RECITALES/CONCIERTOS;SERVICIOS A LOS CIUDADANOS;SERVICIOS A LOS SOCIOS;
ASOCIACION DE VECINOS EUSKALDUNAKO ZUBIA;RAMAL DE OLABEAGA                                      14;48014;944753211;;algarrido@euskalnet.net;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;BARRIO;SERV.INFORMACION/ASESORAMIENTO,SENSIBILIZACION:CONCEN,MANIF;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
ASPROMA ASOC.DE PROPIETARIOS MONTE ARESTIZABALA;BASURTU KASTREXANA CARRETERA                           101       2º;48002;944273832;;;ASOCIACION;DISTRITO 8 BASURTO-ZORROZA;POBLACION EN GENERAL;BARRIO;DIVULGACION:CHARLAS,CAMPAÑAS;SERVICIOS A LOS CIUDADANOS;;
EGUNSENTI GORRIA ESKAUT TALDEA;MADARIAGA                                                                                          69;48014;944475720;;;ASOCIACION;DISTRITO 1 DEUSTO;INFANCIA Y JUVENTUD;TIEMPO LIBRE;DIVULGACION:CHARLAS,CAMPAÑAS,FIESTAS;EDUCAR;;
ASOCIACION DE MUJERES EMAISIA;ZABALBIDE                                                                                       26        B;48006;944335905;;;ASOCIACION;BIZKAIA;MUJER;INTERVENCIÓN SOCIAL;ACTIV.FORMATIVAS/EDUCATIVAS;EDUCAR;PROMOCION;
AJAE.ASOC.PREJUBI.JUBILADOS Y PENSION.DE ACENOR,S.A.Y ECHEVARRIA,S.A.;AZURLEKU                                                                                         19        3º IZ;48004;944116064;;;ASOCIACION;BIZKAIA;PROFESIONALES;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO;SERVICIOS A LOS SOCIOS;REPRESENTACION Y/O DEFENSA;
ASOCIACION CULTURAL EMAYS;OLLERIAS ALTAS                                                                                27           5º D;48006;944338963;;asociacionemays@gmail.com;ASOCIACION;DISTRITO 5 IBAIONDO;MUJER;INTERVENCIÓN SOCIAL,CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,BAILES,VISITAS CULTURALES/EXCURSIONES,CORO,REVISTA;PROMOCION;;
LOKARRIORG ASOCIACION RED CIUDADANA POR EL ACUERDO Y LA CONSULTA;VENEZUELA                                               1         1º;48001;944355117;944158003;bizkaia@lokarri.org;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;POBLACION EN GENERAL;SOCIEDAD;REALIZACIàN DE ESTUDIOS,DIVULGACION:CHARLAS,CAMPAÑAS,SENSIBILIZACION:CONCEN,MANIF,PUBLICACIONES;CREACION DE OPINION;NORMALIZACION;
ASOCIACION VIZCAINA DE DIABETICOS;IPARAGUIRRE                                            46        3º A;48010;944446606;944446606;info@asvidia.org;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SALUD;DIVULGACION:CHARLAS,CAMPAÑAS,CAMPAMENTOS;SERVICIOS A LOS SOCIOS;;
MODULO PSICOSOCIAL DEUSTO-SAN IGNACIO.;AOIZ/AGOITZ                                                                               S/N;48015;944759472;944753120;servimujer@telefonica.net;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;SALUD;ASESORIA JURIDICA,SERV. DE SALUD MENTAL,SERVICIO DE TOXICOMANIAS,SERVICIO ATENCION A LA MUJER;SERVICIOS A LOS CIUDADANOS;;
ASOCIACION DE PENSIONISTAS DE BIDARTE - VIDA;MADARIAGA                                                                                       43        5  A;48014;944753699;;;ASOCIACION;DISTRITO 1 DEUSTO;TERCERA EDAD;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;;
ASODEM ASOC.DESEMPLEADOS URETAMENDI,BETOLAZA Y CIRCUNVALACION;URETAMENDI                                                                                        30           3º IZ;48002;944449821;;;ASOCIACION;DISTRITO 7 REKALDE;PARADOS/AS;INTERVENCIÓN SOCIAL;ACTIV.FORMATIVAS/EDUCATIVAS,JUGAR PARTIDOS;SERVICIOS A LOS CIUDADANOS;AYUDA MUTUA;
A.P.A. DEL COLEGIO ZABALBURU HEGIONDO;ESPERANZA                                                                                       12;48005;944163195;944153855;mangeles@zabalburu.euskalnet.net;ASOCIACION;DISTRITO 5 IBAIONDO;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,AYUDA ESCOLAR,JUGAR PARTIDOS;SERVICIOS A LOS SOCIOS;;
BILBOKO GAITEROAK (DULTZINERUAK);BASURTU KASTREXANA                                     61        1º C;48002;944334463;944334463;;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,REPRESEN/RECITALES/CONCIERTOS;CREACION ARTISTICA;SERVICIOS A LOS CIUDADANOS;
BIZKAIKO ERITASUN NEUROMUSKULARREN ELKARTEA/ASOC.DE ENFERMOS NEUROMUSCULARES  DE BIZKAIA;IBAIZABAL                                                                                       1         7º A;48003;944480155;;bene@euskalnet.net;ASOCIACION;BIZKAIA;AFECTADOS/ENFERMOS/AS;SALUD;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,VISITAS CULTURALES/EXCURSIONES,GRUPOS DE AUTOAPOYO;ESTUDIOS/INVESTIGACION;AYUDA MUTUA;
AAPEGUIA-ASOC. AMIGOS DEL PERRO GUIA DE EUSKADI;PEREZ GALDOS                                                                                 11;48010;944211662;;;ASOCIACION;COMUNIDAD AUTONOMA;MINUSVALIDOS/AS;INTERVENCIÓN SOCIAL;REALIZACIàN DE ESTUDIOS,DIVULGACION:CHARLAS,CAMPAÑAS,SERVICIO DE ORIENTACION,PERROS PARA INVIDENTES;SERVICIOS A LOS SOCIOS;REPRESENTACION Y/O DEFENSA;
CENTRO BATASUNA DE JUBILADOS;URETAMENDI                                                                                        40           LO;48002;944219142;;;ASOCIACION;DISTRITO 7 REKALDE;TERCERA EDAD;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,VISITAS CULTURALES/EXCURSIONES;AYUDA MUTUA;SERVICIOS A LOS SOCIOS;
ASOCIACION CULTURAL EXPRESION;URRUTIA                                                1;48010;944102772;;;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS,EXPOSICIONES,SERVICIO ESTADISTICO/DE DATOS;SERVICIOS A LOS CIUDADANOS;PROMOCION;
T-4 ASOC. CIUDADANA DE LUCHA CONTRA EL SIDA Y AUTOAPOYO ENTRE LOS AFECTADOS;AUTONOMIA                                                                                       56        5º;48012;944221240;944222467;rocio@asociaciont4.org;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;SALUD;DIVULGACION:CHARLAS,CAMPAÑAS,SERVICIO DE ORIENTACION,RECURSOS/FONDO BIBLIOGRAFICO;AYUDA MUTUA;PREVENCION;
KAKITZAT;BARRENKALE                                             40        1º;48005;944152900;;;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SOCIEDAD;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,SENSIBILIZACION:CONCEN,MANIF;CREACION DE OPINION;SERVICIOS A LOS CIUDADANOS;
ASOC.INTERCAMBIO ESTUDIANTES TECNICOS EN PRACTICAS;URQUIJO ALAMEDA                                    S/N;48013;946017284;946014296;iaeste@iaeste.bi.ehu.es;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;JUVENTUD/ESTUDIANTES;EDUCACIÓN Y EMPLEO;INFO/ORIENT EMPLEO Y FORMACION;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
EGUZKIZALEAK;RONDA                                                  22        1º;48005;944163204;;eguzki.bi@euskalnet.net;ASOCIACION;BILBAO;POBLACION EN GENERAL;SOCIEDAD;DIVULGACION:CHARLAS,CAMPAÑAS,FIESTAS,VISITAS CULTURALES/EXCURSIONES;REPRESENTACION Y/O DEFENSA;PROTECCION;
AMPA DEL INSTITUTO DE ENSEÑANZA SECUNDARIA Y BACHILLERATO IGNACIO ELLACURIA-ZURBARAN DE BILBAO MONTE VERDE;ZURBARANBARRI                                                                               34           A;48007;944460454;;txomin.mart@gmail.com;ASOCIACION;DISTRITO 2 URIBARRI;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
BERENBEREGI KULTUR ELKARTEA;CORREO                                                                                             8         1º;48005;944158292;944158911;bilbozah@sarenet.es;ASOCIACION;BIZKAIA;EUSKALDUNES;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS CIUDADANOS;;
ASOCIACION DE VECINOS DE TIVOLI GOENKALE;MORAZA                                                                                             4;48007;944458659;;asoc.goenkale@euskalnet.net;ASOCIACION;DISTRITO 2 URIBARRI;POBLACION EN GENERAL;BARRIO;DIVULGACION:CHARLAS,CAMPAÑAS;SERVICIOS A LOS SOCIOS;REPRESENTACION Y/O DEFENSA;
CENTRO DE ESTUDIOS DE HISTORIA DEL ARTE MEDIEVAL "C.E.H.A.M."/ERTAROKO ARTEAREN HISTORIARI BURUZKO IKERTEGIA "E.A.H.I.";URIBARRI "C""                                          7         4º;48007;944455948;;;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS;ESTUDIOS/INVESTIGACION;;
ASOC.JUBILADOS Y PENSION.DE BIZKAIA POR LA DEMOCRACIA;URIBITARTE                                             4         1º;48001;946057880;;ajpd.bilbao@gmail.com;ASOCIACION;BIZKAIA;TERCERA EDAD;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;;
ASOC. VIZCAINA DE ESCLEROSIS LATERAL AMIOTROFICA "ADELA";IPARRAGUIRRE                                           9         BA;48009;944237373;944237373;adelabilbao@euskalnet.net;ASOCIACION;BIZKAIA;AFECTADOS/ENFERMOS/AS;SALUD;DIVULGACION:CHARLAS,CAMPAÑAS;AYUDA MUTUA;SERVICIOS A LOS SOCIOS;
PALANKA TALDEA;URAZURRUTIA                                                                                      2            3º DH;48003;620514323;;;ASOCIACION;DISTRITO 5 IBAIONDO;EUSKALDUNES;CULTURA;SERV.INFORMACION/ASESORAMIENTO,ACTIV.FORMATIVAS/EDUCATIVAS;PROMOCION;;
ASOCIACION DE VECINOS DE GENERAL CONCHA BILBAO 12;CONCHA GENERAL                                                                             41        8º;48012;688617529;;;ASOCIACION;DISTRITO 7 REKALDE;POBLACION EN GENERAL;BARRIO;SENSIBILIZACION:CONCEN,MANIF;REPRESENTACION Y/O DEFENSA;SERVICIOS A LOS CIUDADANOS;
SANTUTXUKO JAI BATZORDEA;EGILUZ ANTONIO MEDICO                                  3;48004;944114488;;;ASOCIACION;DISTRITO 4  BEGOÑA;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,FIESTAS;SERVICIOS A LOS CIUDADANOS;;
IBAJAIKO (IBARREKOLANDAKO JAI KOORDINAKUNDEA);LARRAKO TORRE                                          2    B    8º C;48015;944871260;;;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,FIESTAS;SERVICIOS A LOS CIUDADANOS;;
BIDEGINTZA PARA PROMOCION HUMANA Y EL DESARROLLO COMUNITARIO;ATXURI                                                                                             45;48006;944329123;944320206;info@bidegintza.org;ASOCIACION;DISTRITO 5 IBAIONDO;MARGINADOS/EXCLUIDOS/AS;INTERVENCIÓN SOCIAL;ACTIV.FORMATIVAS/EDUCATIVAS,TERAPIAS /REHABILITACION,INFO/ORIENT EMPLEO Y FORMACION,PROG.INSERCION LABORAL Y/O SOC;PREVENCION;NORMALIZACION;
ASOC. CULTURAL ACTIVI. AUDIOVISUALES "IZERDITAN BLAI";MONCADA                                                                                           14        3º B;48002;944445051;;;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;PROYECCIONES;CREACION ARTISTICA;ESTUDIOS/INVESTIGACION;
SORTARAZI ASOC.CLARETIANA PARA EL DESARROLLO HUMANO.;SAN FRANCISCO                                          14;48003;944157424;944156949;sortazari@sortazari.org;ASOCIACION;DISTRITO 5 IBAIONDO;POBLACION EN GENERAL;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS,AUTOEMPLEO/CREACION DE EMPRESA,PROG.INSERCION LABORAL Y/O SOC;SERVICIOS A LOS CIUDADANOS;SOLIDARIDAD;
ASOCIACION BIDE-SARI DE PASTORAL PENITENCIARIA;ITURRIZA                                                                                         2         3º;48003;944210917;944210917;direccion@bidesari.org;ASOCIACION;BILBAO;MARGINADOS/EXCLUIDOS/AS;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,SERVICIO DE TOXICOMANIAS,ORGANIZACION EVENTOS DEPORTIVO;SERVICIOS A LOS CIUDADANOS;CREACION DE OPINION;
ASOCIACION "ACCION VERAPAZ-EUSKADI";ENCARNACION                                            9;48006;944330480;944339850;bilbao.es@dominicos.org;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;ACTIV.FORMATIVAS/EDUCATIVAS;SOLIDARIDAD;CREACION DE OPINION;
SETEM-EUSKALHERRIA HEGO HAIZEA;STA MARIA                                              9;48005;944793664;944793664;bilbao@setem.org;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;JORNADAS TEMATICAS/CERTAMENES;CREACION DE OPINION;SOLIDARIDAD;
