CIF;Empresa;Direccion;Codigo_postal;Telefono;Fax;Email
A48047377;CONSTRUCCIONES FHIMASA, S.A.;Quintana, 5  ext  Bilbao;48007;944422012;944413534;estudios@fhimasa.com
A20081840;CONSTRUCCIONES GALDIANO S.A.;PASEO ERROTABURU 1-3º          SAN SEBASTIAN;20018;943311500;943311944;construcciones@galdiano.com
A48172837;CONSTRUCCIONES GANEKO S.A.;TENDERIA, 2, 1º     BILBAO;48005;944794590;944794591;ganeko1@construccionesganeko.es
B48489553;CONSTRUCCIONES HOMAR, S.L.;SABINO ARANA, 30-7º IZDA.   BILBAO;48013;944441648;608873387;cons.homar@hotmail.com
A48150304;CONSTRUCCIONES INTXAUSTI S.A.;BEKOIBARRA KALEA, 35, 2º DPT. 4    GERNIKA;48300;946250979;946256811;info@intxausti.com
A48254429;CONSTRUCCIONES LAUKI S.A.;C/ ESTARTETXE, 5, 5ª PL, DPTOS. 506-507   LEIOA;48940;944132570;944132571;i.asolo@construccioneslauki.com
B48591424;CONSTRUCCIONES LEGASKO S.L.;AL. GREGORIO DE LA REVILLA, 27, 6º    BILBAO;48010;944355215;944233506;legasko@legasko.com
B48591424;CONSTRUCCIONES LEGASKO S.L.;AL. GREGORIO DE LA REVILLA, 27, 6º   BILBAO;48010;944355215;944355215;legasko@legasko.com
A48123137;CONSTRUCCIONES MORAGA S.A.;POL. ATXUKARRO, PAB. 7      ARRIGORRIAGA;48480;946711413;946712274;moraga@construccionesmoraga.es
B48109821;CONSTRUCCIONES OLABARRI S.L.;C/ RIPA, 1 Y 2, BAJO   BILBAO;48001;946612034;944257247;olabarri@olabarri.com
B-48109821;CONSTRUCCIONES OLABARRI, S.L.;Ripa, 1 y 2 bajo  Bilbao;48001;946612034;944257247;olabarri@olabarri.com
B95085247;CONSTRUCCIONES PERUNE S.L.;ESTRADA PERUNE 12 B  - GETXO;48993;944303120;;fbugedo@telefonica.net
B48799878;CONSTRUCCIONES SESAR ALONSO, S.L.;C/Novia Salcedo nº 10-2º F;48012;639673579;;
A20080669;CONSTRUCCIONES SOBRINO S.A.;PLAZA CIRCULAR, Nº 4, 5º     BILBAO;48001;944016446;944016449;jcuesta@ohl.es
B31258346;CONSTRUCCIONES Y EXCAVACIONES ERRI-BERRI, S.L.;ALCALDE MAILLATA 37 B;31390;;;
B48653521;CONSTRUCCIONES Y OBRAS NERVION;Bº ETXERRE, 8, PAB. 2     BASAURI;48970;944262229;944494052;nervion@conervion.com
A48290258;CONSTRUCCIONES Y PROMOCIONES BALZOLA, S.A.;Av. Sabino Arana, 20  3º   Bilbao;48013;944276958;944276972;estudios@balzola.com
B01034529;CONSTRUCCIONES Y PROYECTOS PAGOLAR S.L.;POL. ARZA, PAB. 2     LLODIO;01400;946724825;946726059;conspagolar@terra.es
B95286449;CONSTRUCCIONES Y REFORMAS ATER,S.L.;C/ Marcelino González nº 7, lonja.;48970;946440004;944263072;aterconstruccion@ater.es
B95096046;CONSTRUCCIONES Y REFORMAS ESPARTA, SL;ESTARTETXE, 5  OFICINA 109    LEIOA;48940;944635792;944642100;central@construccionesesparta.com
B48651616;CONSTRUCCIONES Y REPARACIONES MONTEGUI S.L.;AVDA. JULIAN GAIARRE, 38, tr.Lj.    BILBAO;48004;944733219;944597194;montegi@euskalnet.net
B48534317;CONSTRUCCIONES ZABALANDI, S.L.;C/ ARTUNDUAGA, 10, BAJO (POL. ARTUNDUAGA)  BASAURI;48970;944491241;944490547;administracion@zabalandi.com
A20098570;CONSULTORES SAYMA, S.A.;GREGORIA DE LA REVILLA, 27-5º   BILBAO;48010;944230159;944352613;a.rey@sayma.es
B95511481;CONTRATAS Y CONSTRUCCIONES BIKANI, S.L.;POLIGONO IGELTZERA, 6-7   URDULIZ;48610;946764035;946764161;bikani@obrasespeciales.com
A82003815;COPREDIJE S.A.;ESPRONCEDA 34 DUPLICADO 1º PL    MADRID;28003;914519015;915010487;martasanz@copredije.com
A82003815;COPREDIJE, S.A.;Espronceda, 34 bis - 1º    MADRID;28003;914519015;915010487;copredije@copredije.com
A79222709;CORSAN-CORVIAM CONSTRUCCIÓN S.A.;CAMINO CAPUCHINOS DE BASURTO, Nº 6, 5º A,     BILBAO;48013;944410042;944410047;estudiospv@isoluxcorsan.com
Q2866001G;CRUZ ROJA;JOSÉ MARÍA OLABARRI 6, 1º;48006;944329123;;bizkaia@cruzroja.es
A97050165;CSP, S.A.;Edf. Villausa. Avda. de la Albufera, 321 - 2º, local 12    MADRID;28031;913541254;913599471;cspmadrid@cspcoordinacion.com
B95466793;CUATROBARRAS CONSULTORES S.L.;GENERAL EGUÍA, 26 6º DERECHA    BILBAO;48010;944050863;;cuatrobarras@cuatrobarras.com
A-40/00819;CYCASA CANTERAS Y CONSTRUCCIONES, S.A.;HENAO Nº 18 - 1º;48009;944447051;944100360;estudios@cycasa.com
A40008195;CYCASA CANTERAS Y CONSTRUCCIONES, S.A.;HENAO Nº 18 - 1ª;48009;944447051;944100360;estudios@cycasa.com
B48582969;D.M. GREEN 3415 S,L.;PLAZA LANDABASO, 5 EXT  1ºE     BILBAO;48015;944759986;;joserra@dosmedia.com
B48891485;DAIR INGENIEROS, S.L.;Kandelazubieta, 29-31;48940;944315043;944315043;dair@dair.es
B82270190;DARZAL CONSULTORÍA Y PREVENCIÓN S.L.;MÉJICO 15, LOCAL 8.   MADRID;28028;915626039;915159027;darzal@darzal.com
B82270190;DARZAL CONSULTORIA Y PREVENCION, S.L.;Principe, 16 - 3º A   MADRID;28012;915626039;915159027;a.darzal@darzal.com
B95229159;DATA BASE STORAGE, S.L.;RIBERA DE AXPE, 11 EDIF. A - L118;48950;944396097;944365647;info.bilbao@omega-peripherals.com
B95305579;DATINET SOLUCIONES INFORMÁTICAS, S.L.;RIBERA DE AXPE 11 ED. B 211 ;48950;696402649;944044440;emuguerza@datinet.net
B48960579;DDA COMUNICACIÓN;RODRIGUEZ ARIAS, 6 DEP 1   BILBAO;48008;944160673;944790966;dda@ddacom.com
B65664187;DE SOLA GORI, serveis de arquitectura i urbanisme, S.L. ;C/ MALLORCA 184, 5.;08036;934547583;;angelagori@coav.es
B95098778;DECONS GKAO S.L.;ZUBIAURRETARREN, 3    GALDAKAO;48960;944575500;944567870;correo@decons.net
B95431128;DEKORNNER;LICENCIADO POZA, Nº 46-1º DCHA.    BILBAO;48011;944421251;944417284;administracion@dekornner.com
A48561203;DELICORTE, S.A.L. ;;;945383757;945384426;delicorte@retemail.es
B79104469;DELOITTE, S.L.;Ercilla, 24 - 4º    BILBAO;48008;944447000;944700823;aandueza@deloitte.es
A48176614;DELTA SEGURIDAD, S.A.;PLAZA FUNICULAR Nº 4    BILBAO;48007;944467565;944467560;pcasas@grupo-delta.es
A48176614;DELTA SEGURIDAD, S.A.;PLAZA FUNICULAR Nº 4   BILBAO;48007;944467565;944467560;pcasas@grupo-delta.es
B48967020;DESENFOQUE, S.L. ;BAILEN 1 - 6º, PUERTA 1  BILBAO;48003;944150244;;desanfoque@desenfoque.es
B20151346;DESGUACES VIDAURRETA, S.L.;JAITZUBIA AUZOA, Nº 141 ;20280;943639961;943639961;
B95338372;DIGWIND, S.L.;DOCTOR AREILZA, Nº 5;48011;944278634;944393430;j.algar@3001pc.com
B95448387;DINAM INGENIERÍA, S.L.;PARQUE TECNOLÓGIGO, EDIFICIO 804 (MÓDULO 309);48160;944034007;946551000;gzg@dinam.es
B95030151;DIRECTAYMENTE, S.L.;ALDA. URQUIJO 28 - 7º A   BILBAO;48010;944233202;944238901;nerea@directa-mente.com
A48189526;DISEÑO INTERIORISMO INFORMATICA OFICINAS, S.A.;AURELIANO VALLE 6    BILBAO;48010;944444812;944102891;comercial@dinof.com
B48976989;DOCAPI SERVICIOS GENERALES INMOBILIARIOS, S.L.;Bº ALTAMIRA Nº 36 LONJA  - BILBAO;48002;649392017;944278638;construccionesdocapi@hotmail.com
A48186415;DOMINION INSTALACIONES Y MONTAJES, S.A.;PARQUE TECNOLOGICO 208 B     ZAMUDIO;48170;944318780;944318781;b.calvo@dominion.es
A15139314;DRAGADOS S.A.;GRAN VIA , 53, 5º    BILBAO;48011;944414408;944424549;jlezamiza@dragados.com
A83140012;DRÄGER SAFETY HISPANIA, SA;ARENE AZPI, 71 BAJO   GETXO  (BIZKAIA);48990;944303399;944308762;juancarlos.navajas@draeger.com
B48480479;DRAWING PUBLIMARK, S.L.;CTRA. BILBAO-GALDAKAO, Nº 2-2ª PLANTA, EDIF. BOLUETA;48004;944597166;944597365;publimark@teleline.es
B53338539;D'TORRES CALZADO ORTOPÉDICO S.L.;SEGORBE 31   ELCHE;03206;965442040;96464542;finamari@dtorres.com
g48064760;DYA, SERVICIOS PREVENTIVOS.;ALDA. SAN MAMÉS 33.;48010;944101010;;preventivos@dya.biz
A48082440;EDITORIAL IPARRAGUIRRE, S.A.;CAPUCHINOS DE BASURTO, 6-5ºC  - BILBAO;48013;944599100;944599119;umartinez@boroaprint.com
B95265435;EGAÑA Y BONILLA, S.L. (GRUPO NAHISE); C/ Navarra, 6-6ª dpto. 4;48001;944354003;;administracion@gruponahise.com
A48162598;EGIASA CORREDURIA DE SEGUROS;;;;;
B48724397;EKAI DISEÑO S.L.;PLAZA VENEZUELA 1, 1º DCHA.;48001;944277070;944278686;ekai@ekai.net
B95535683;EKINBIDE, S.L.;ALDA. DE REKALDE, Nº 50 – 3º;48008;;;
B95467999;EKOBIZI MOVILIDAD S.L.;BAILÉN 5, SÓT. IZQ;48003;944160420;944160588;
B95459566;EL BUREAU DE LA COMUNICACIÓN Y PUBLICIDAD S.L.;CAMPO VOLANTÍN 29, 1C;48007;944240594;944249146;txertudi@elbureau.net
A28017895;EL CORTE INGLÉS S.A.;GRAN VIA  9   BILBAO;48001;944242800;944238797;dcbilbao@elcorteingles.es
A28017895;EL CORTE INGLES, S.A.;LEHENDAKARI AGUIRRE 9 3º IZQ   BILBAO;48014;944242800;944238797;dcbilbao@elcorteingles.es
B95592234;EL PANTALAN HOSTELERÍA, S.L.;MUELLE EVARISTO CHURRUKA Y BRUNET, Nº 1  -  BILBAO;48001;607416107;944186037;alvaro@capra.es
A48035141;ELDU S.A.;CTRA. BILBAO-GALDAKAO, 11-13    BILBAO;48004;944116500;944129254;comercial@eldu.com
A48027056;ELECNOR S.A.;JON ARROSPIDE Nº 5    BILBAO;48014;944899100;944899212;cortueta.dno@elecnor.es
A48027056;ELECNOR S.A.;JON ARROSPIDE Nº 15    BILBAO;48014;944899100;944899202;jcristobal.dno@elecnor.es
A48027056;ELECNOR, S.A.;Marques de Mondejar, 33  -  Madrid;28028;944899100;944899202;jcristobal.dno@elecnor.es
A48027056;ELECNOR, S.A.;Marques de Mondejar, 33    Madrid;28080;944899100;944899202;jcristobal.dno@elecnor.es
B32007056;ELECTRICIDAD GREMACA Y CIA, S.L.;Rua Balneario, nº 15 bajo;32001;;;
A48093538;ELECTRICIDAD MARTIN S.A.;POL. BERRETEAGA, AVDA. TXORIERRI, 46   SONDIKA;48150;944711117;944533451;comercial@emartin.es
A48093538;ELECTRICIDAD MARTIN S.A.;poligono Berreteaga-Avda. Txorierri, 46   Sondika;48150;944711117;944533451;comercial@emartin.es
A46138921;ELECTRONIC TRAFIC, S.A.;TRES FORQUES, 147    VALENCIA;46014;963134082;963134277;aramirez@grupoetra.com
14896880X;ELENA PUCCINI CABEZAS;C/Jose María Escuza, 27 lonja;48013;;;
B95542841;ELKARBI EVENTOS INTEGRALES, S.L.;ARENAL 5, DPTO. 206   BILBAO;48005;946576893;946576893;info@elkarbi.com
G48421747;EMANKOR;FERNANDO JIMENEZ 14   BILBAO;48004;944730845;944122768;emankorra@euskalnet.net
B15474570;EMETEL SISTEMAS S.L.;ICARIA III, VULCANO 1.;15172;902364000;902364001;emetel@emetel.net
B95486114;EMILIO PUERTAS ARQUITECTOS, S.L. ;C/ VDA. DE EPALZA, 10-1º;48005;;;
B95299236;EMOCIONA SOLUCIONES CREATIVAS, S.L.L.;Rodriguez Arias 65 2º izda;;;;
A95030268;EMPRESA CONSTRUCTORA URBELAN, S.A. ;P.L. Torrelarragoiti, pab. 20-5G  - Zamudio;48170;944523710;944520610;j.robles@urbelan.com
B95420550;EMTE NORTE S.L.;C/GOIKOKALEA 3 (POL. LARRONDO)    LOIU;48180;944764024;944765351;estudios.emtenorte@grupoemte.com
B48081392;ENRIQUE OTADUY, S.L.;GRAN VIA Nº 81- 3º    BILBAO;48011;944920003;944922258;enrique@enrique-otaduy.com
B95390076;ERABI TECNOLOGÍA AUDIOVISUAL S.L.;I. ZULOAGA MARGOLARIA 11. ZORROZAURRE;48014;944420432;944420132;erabi@erabi.es
G48304927;ERAGINTZA KULTUR ERAKUNDEA;ZABALBIDE 26   (Bilbao);48006;944320445;;eragintza@eragintza.biz
B01287291;ERAIKUNTZA BIRGAIKUNTZA ARTAPENA S.L.;AVDA. OLMOS 1, EDIFICIO INBISA D-1, OFICINA 106-107;01013;945151705;;estudios@ebasl.com
B48176374;ERYBA, S.L. ESTUDIOS DE MERCADO;ALDA. RECALDE, 74    BILBAOº;48012;944101215;944101382;j.errasti@eryba.es
A79183117;ESABE VIGILANCIA, S.A.;CRONOS Nº 8    MADRID;20837;913042000;913759260;concursosvigilancia@esabe.es
B95436366;ESPACIO ACTITUDES, S.L.;AVDA. DEL FERROCARRIL, Nº 2 DPTO. 3    BILBAO;48013;609126611;944425931;fsanz@espacioactitudes.com
B81696809;Estudio Guadiana S.L.P. ;;;;;
F48202402;ESTUDIO K, S. COOP. ;Avda. Basagoiti, 69;48991;944911332;;estudiok@estudiok.es
A48141816;ESTUDIOS GRAFICOS ZURE, S.A.;CRTA. LUTXANA ASUA 24 A   ERANDIO;48950;944711243;944711588;admon@egzure.com
A48141816;ESTUDIOS GRAFICOS ZURE, S.A. ;CRTA. LUTXANA ASUA 24 A  -  ERANDIO;48950;944711243;944711588;admon@egzure.com
A28570067;ESTUDIOS, PROYECTOS Y PLANIFICACION, S.A.;AVDA. CATALUNYA, 6, 1º    VALENCIA;46021;963934530;;valencia@epypsa.com
A48472211;ETRA NORTE S.A.;POL. IND. ZABALONDO C/ ERRERUENA PAB. G   ;48100;946742060;946740994;etra.norte@grupoetra.es
G95510624;ETRA NORTE S.A. y API MOVILIDAD S.A., abreviadamente “UTE ETRA NORTE – API MOVILIDAD”;Pol.Industrial Zabalondo, C/ Erreruena - PAB G;48100;;;
B48420459;ETXEKIT, S.L.;Barrio Larrondo s/n;48480;;;
A28369395;EULEN SEGURIDAD, S.A.;LEHENDAKARI AGUIRRE, 29 - 5º PLANTA   BILBAO;48014;944797251;944761189;seguridad@eulen.com
A28369395;EULEN SEGURIDAD, S.A.;LEHENDAKARI AGUIRRE, 29 - 5º PLANTA  BILBAO;48014;944797251;944761189;seguridad@eulen.com
A28369395;EULEN SEGURIDAD, S.A.;LEHENDAKARI AGUIRRE, 29 - 5º PLANTA   BILBAO;48014;944797251;944761189;CGARAY@eulen.com
A79022299;EULEN SOCIOSANITARIOS, S.A.;AVDA. LEHENDAKARI AGUIRRE, Nº 29.5º  BILBAO;48014;944797200;;cgaray@eulen.com
A28517308;EULEN, S.A.;LEHENDAKARI AGUIRRE, 29-5º PL.    BILBAO;48014;944797200;944761189;hblanco@eulen.com
B75038000;EUN SISTEMAS, S.L.;Bº SALBATORE, 17-APTDO. 82;20200;943883015;943889741;administracion@eun.es
A80267420;EUREST COLECTIVIDADES, S.L.;C/MONTORRE S/N -  POLIGONO UGALDEGUREN   ;48160;944541588;944540262;josror@eurest-colectividades.com
G01288174;EUROCONFECCIONES S.C.;POL.IND. LACORZANILLA, PARC. 20-21  BERANTEVILLA;01211;945337496;945337497;euroconfecciones@vodafone.es
A95313201;EUROCONSULT NORTE, S.A.;Poligono Erletxe, C/ B,  pabellón 8 A    GALDAKAO;48960;946334009;946334010;norte@euroconsult.es
A28217735;EUROCONSULT, S.A.;Pl. Erletxe. Calle B, Pabellón 8A   GALDAKAO;48960;946334009;946334010;norte@euroconsult.es
B84137470;EUROCOP SECURITY SISTEMS S.L.;Paseo Carlos III, 24.;28200;918961196;918969362;comercial@eurocop.com
B83423343;EUROESTUDIOS, INGENIEROS DE CONSULTA;C/ Juan de Ajuriaguerra, 9   BILBAO;48009;944230658;944230543;bilbao@euroestudios.es
A04128732;EUROPEA DE FINANZAS Y COMERCIALIZACIÓN DE SERVICIOS EMPRESARIALES, S.A.;C/ CASTELLÓ, 66;28001;917003020;914771807;secretariadelconsejo@funespana.es
B01016997;EUROPRENDAS S.L.U.;BRASIL 1, BAJO    VITORIA-GASTEIZ;01012;945257699;945283078;rufino@europrendas.com
F95512604;EUSKAL HERRIKO SEXU HEZIKETA ESKOLA KOOP. E.;LEHENDAKARI AGIRRE 11, 4º, DPTO. 5.;48014;946026190;;info@ehshe.com
A20075156;EUSKAL KULTURGINTZA S.A.;PRTUETXE 88;20018;943310301;943310452;mjaka@elkar.com
B95056784;EUSKAL XXI CONSTRUCCIONES;C/ ONDARROA, 32 BAJO DER      BILBAO;48004;944598140;;central@euskal21.com
A48766695;EUSKALTEL, S.A.;PARQUE TECNOLÓGICO 809 ;48160;944011000;944011024;jmzuluaga@euskaltel.com
B82387770;EVERIS SPAIN, S.L.;AVDA. DE MANOTERAS, 52   MADRID;28050;917490000;917490001;ghenrymo@everis.com
B48161087;EXBASA OBRAS Y SERVICIOS, S.L.;SANTIAGO DE COMPOSTELA, 12, PL. 1ª   BILBAO;48003;946361821;946361833;estudios@exbasa.es
1111666F;EXBASA, S.A. GIROA. S.A.TECUNI S.A.;;;;;
A48093868;EXCAVACIONES CANTABRICAS S.A.;C/ SAN ROQUE, 5,    SONDIKA;48150;944466900;944466908;administracion@cantabricas.net
A48439244;EXCAVACIONES FERNANDO GÓMEZ S.A.;AVDA. MADARIAGA1, 2º, DPT. 9   BILBAO;48014;944473555;944483165;excav.fgomez@terra.es
B95393450;EXCAVACIONES IBARDEGI, S.L.;BARRIO ELEXALDE 22    ERRIGOITI;48309;615740533;;ibardegi@yahoo.es
A31178486;EXCAVACIONES OLLOQUIEGUI, S.A.;POLIGONO NOAIN - ESQUIROZ  C/T Nº 28   ESQUIROZ  (NAVARRA);31191;948176628;948175430;olloquiegui@olloquiegui.net
A58047283;EXCOVER, S.A.;PAU VILA, 22-3ª EDIF. HELION  SANT CUGAT DEL VALLES   (BARCELONA);08173;936747271;936743890;estudis@excover.com
B01029032;EXERCYCLE, S.L.;POL.IND.JUNDIZ ZURRUPITIETA 22;01015;945290258;945290049;iratxe@hipower-gym.com
A28037224;F.C.C. S.A.;ALAMEDA MAZARREDO, Nº 15, 4º A Y B    BILBAO;48001;944230505;944233609;JBolumburuA@fcc.es
B95308367;FACTOR CO2 INTEGRAL SERVICES, S.L.;ELCANO, Nº 14 - PPAL.IZQ BILBAO;48008;944240563;944244361;emiguel@factorco2.com
A26268508;FAL CALZADOS DE SEGURIDAD, S.A.;AVDA. LOGROÑO 21 BIS   ARNEDO (LA RIOJA);26580;941380800;941382609;info@falseguridad.es
A28423853;FERROSER INFRAESTRUCTURAS, S.A.;EPALZA, 8-1º;48007;944763088;944762852;joana.martinez@ferrovial.es
A28019206;FERROVIAL AGROMAN S.A. ;C/ ERCILLA 24. 5º DPTO. 20º     BILBAO;48011;944795220;944795250;jdelsaz@ferrovial.es
A80241789;FERROVIAL SERVICIOS S.A.;C/ SERRANO GALVACHE, 56, EDIF. MADROÑO    MADRID;28033;913388300;915862818;susanasalcedo@ferrovial.es
A80241789;FERROVIAL SERVICIOS S.A.;SERRANO GALVACHE, 56 (EDIFICIO MADROÑO)   MADRID;28033;915862818;913388300;pcalcazar@ferrovial.es
B61239075;FIBRA Y SISTEMAS, S.L.;MIQUEL SERVET S/N  NAVE 10    CASTELLDEFELS   (BARCELONA);08860;881975774;881977633;focbarcelona@focfibra.com
B95174983;FIDELIZA S.L;ALDA. RECALDE 1, 1º   BILBAO;48009;902253500;902253874;ana@grupoxabide.es
B01316850;FOMED;Iturribide, nº 67 baja dcha.   BILBAO;48006;607113066;944050967;m.ramos@fomed.com
A28037224;FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S.A. ;Alameda Mazarredo, 15  4º A y B  Bilbao;;944230505;944233609;Jbomumburu@fcc.es
14701860 F;FRANCISCO JAVIER GARCÍA DE LA TORRE;Avenida Lehendakari Aguirre nº28   ZALLA;48860;946390172;946390172;gt.archts@sarenet.es
B48139323;FRANCISCO JAVIER RIVAS, S.L.;C/SANTA CLARA Nº 9 , BAJO A    BILBAO;48006;944111900;944111776;rivas-sl@rivas-sl.com
A48037592;FREYSSINET S.A.;Cº PORTUETXE, 47, EDIF. ASCAIN, 21-22   DONOSTIA-SAN SEBASTIAN;20018;943315192;943315208;jm_bastarrica@freyssinet-es.com
Q4800602G;FUNDACIÓN CANÓNICA AUTÓNOMA EDE;C/Simón Bolivar, nº 8 B;48010;;;
G48491872;FUNDACION ERAGINTZA;;;;;
G95572350;FUNDACION GIZAGUNE;PZ. SARALEGI 6;48003;656716022;944126658;ymunoz@fundaciongizagune.net
G95437703;FUNDACION IKERTIA ;COLON DE LARRREATEGUI 26, 6 B;48009;944233618;944238263;ria@ikertia.net
G48945166;FUNDACION LANTEGI BATUAK;Araba Kalea 2, POL. LEGUIZAMON;48450;944260061;944400750;lbgupost@lantegi.com
G48945166;FUNDACIÓN LANTEGI BATUAK;Artxanda kalea, 7  ;48160;650924505;944520102;fjmartinez@lantegi.com
G81656977;FUNDACION METROPOLI PARA LA INNOVACION Y EL DISEÑO DEL TERRITORIO;AVDA. DE BRUSELAS, 28 - ALCOBENDAS (MADRID);28108;914900750;914900755;jfernandez@fundacion-metropoli.org
G 4811535;FUNDACION NOVIA SALCEDO;IPARRAGIRRE 9;;944255959;944257096;
G83273284;FUNDACIÓN PARA EL ESTUDIO Y LA P.DE LA ACCIÓN SOCIAL (FEPAS);CABEZO DE BUENAVISTA Nº 7 LOCAL   ZARAGOZA;50007;997646840;976468401;proyectos@fepas.org
G48975767;FUNDACIÓN TECNALIA RESEARCH Y INNOVATION;PARQUE CIENTÍFICO Y TECNOLÓGICO DE BIZKAIA, EDIFICIO 700;48160;902760000;946073349;igone.garcia@tecnalia.com
B58583402;GABINETE DE PRENSA INFORPRESS S.l.;PASEO CAMPO VOLANTIN, 24 - 8º DPTO.;48007;944132068;944132064;kiturriagagoitia@inforpress.es
B95227849;GAITZERDI TEATRO S.L.;GRUPO STO. DOMINGO DE GUZMAN 5 21 DCHA;48006;944223008;944223008;gaitzerditeatro@gaitzerditeatro.com
B48852644;GALDAMES S.L. CONSTRUCCIONES Y REFORMAS S.L.;GENERAL CASTAÑOS, 89, BAJO IZDA    PORTUGALETE;48920;944838584;944830153;cyrgaldames@hotmail.com
B48824692;GARAPE 96 S.L.;BARRIO UGARTE, EL JUNCAL, S/N   TRAPAGARAN;48510;944189069;944189172;karmele@montalban2000.com
A48408769;GARBIALDI, S.A.;POL TRAPAGARAN ELGUERO, 6      TRAPAGARAN;48530;944722025;944722149;garbialdi@garbialdi.com
B93531335;GAROL S.L.;POL. IND. VENTORRO DEL CANO. COLADA DE POZUELO 2   ALCORCON;28925;916327155;916324237;egarcillan@garolsl.com
A48145288;GASTRONOMIA BASKA, S.A.;ARITZ BIDEA, 75 -POLIGONO BELAKO-   MUNGIA;48100;944523800;944523942;sonia@gastrobaska.com
A48855274;GAURSA AUTOAK, S.A.U.;ARRIANDI, 12   IURRETA;48215;946203300;946204142;jasone.gaursa@red.renault.es
B95103636;GAZTEOK MANAGEMENTY KULTUR LANAK SLU;POL. ERLETXE, PLAT H. EDIF. 2, PAB 4;48960;944558420;;administracion@gazteok.com
14949941X;GEMMA AIZPIRI FERNÁNDEZ;;;944762125;;
B01267541;GEOGRAMA, S.L.;C/ CASTILLO DE LANTARON, 8 BAJO;01007;945131372;945230340;jmalvarez@geograma.com
A48282156;GERMAN ECHEBARRIA, S.A.;ZUBIONDO 14   ARRIGORRIAGA;48480;946712069;946711004;g.echebarria@euskalnet.net
B95226932;GERONA GRUP BILBAO, S.L.;ALDA. SAN MAMES 37, 3º DPTO. 1    BILBAO;48010;944700740;944700744;alberto@ggb.es
A95158895;GERTEK , S.A.;GREGORIO DE LA REVILLA, 27 - 1ª PLANTA    BILBAO;48010;944399809;944422859;jl.vazquez@gerteksa.com
G95409876;GERTEK SOCIEDAD DE GESTIONES Y SERVICIOS SA / OPEN TRAFIC SYSTEMS SL  ;GREGORIO DE LA REVILLA 27 – 1º;48010;;;
A20071429;GIROA, S.A.;BEURKO VIEJO, 17 2ª PTA. EDIFICIO GARVE II   BARAKALDO;48902;944021090;944245514;bizkaia@giroa.es
B48798995;GLOBAL EQUIPAMIENTO Y MOBILIARIO CONTEMPORANEOS S.L.;PASEO URIBITARTE 15     BILBAO;48001;944244477;944230809;comercial@global-bilbao.com
A95436796;GORBELAN, S.A.;C/ BATALLA DE PADURA, 4, BAJO   BILBAO;48012;944064223;944064223;gorbelan@gorbelan.com
B48694582;GORETRA NORTE, S.L.;Peñascal, 40 BAJO;48002;;944213353;
G48300404;GOZALDI GAZTE ELKARTEA;ESTRADA SAN AGUSTIN, S/N   (BILBAO);48007;688635171;;zcortes@urigazte.net
G-48300404;GOZALDI GAZTE ELKARTEA;ESTRADA SAN AGUSTÍN, S/N;48007;688635171;;zcortes@urigazte.net
B31081730;GRÁFICAS LIZARRA, S.L. ;Ctra. de Tafalla, Km. 1;31132;948556410;;oficinas@glizarra.com
A48203996;GRAFO S.A.;AVDA. CERVANTES, 51- 3º PLANTA    BASAURI;48970;944409530;944409531;comercial@grafo.es
B48943013;GRAKONOR, S.L. ;Pol. Legizamón c/. Bizkaia, nº 3;48450;;;
A28423853;GRUPISA INFRAESTRUCTURAS S.A.;C/ SERRANO GALVACHE, 56, EDIF. MADROÑO, 2ª PL   MADRID;28033;915869240;915862818;joana.martinez@ferrovial.es
A28423853;GRUPISA INFRAESTRUCTURAS, S.A;C/ Serrano Galvache, 56 - 2ª p. Parque Norte  MADRID;28033;913388221;915862818;pgmachado@ferrovial.es
A28423853;GRUPISA INFRAESTRUCTURAS, S.A;Serrano Galvache, 56 - 2ª PARQUE NORTE     MADRID;28033;913388221;915862818;pgmachado@ferrovial.es
B61085841;GRUPO BB SERVICIOS DIVERSOS, S.L.;GRAN VIA DE LES CORTS CATALANES 581 - 6ª PLANTA    BARCELONA;08011;902103222;934519675;xripoll@grupobbs.com
B48301865;GRUPO CORPORATIVO GFI NORTE S.L.;LICENCIADO POZA 55,2º;48013;944241825;944354186;jechezarra@gfi.es
B96978671;GRUPO DISBER SIGLO XXI, SL;BENAGUACIL, 1   DOMEÑO  (VALENCIA);46174;962781443;962781561;envios@grupodisber.es
A80322233;GRUPO MGO S.A.;RIBERA DE AXPE 11, C1, OF. 202 A YC   ERANDIO;48950;944810081;944314212;bilbao@grupomgo.com
A80322233;GRUPO MGO S.A.;Ribera de Axpe, 11 - ptal C1 Of. 202 A y 202 C    ERANDIO;48950;944810081;944314212;bilbao@grupomgo.com
B79942215;GRUPO TOMPLA SOBRE EXPRÉS S.L.;CARRETERA DE DAGANZO KM.3.;28806;913885730;913883537;jm.breton@tompla.com
G95029799;GUGAZ AURRERA, ASOCIACION SOCIO-EDUCATIVA;MARIA DÍAZ DER HARO 20, PPAL IZQ. BILBAO;48013;944417510;;gugazaurrera@euskalnet.net
A61213989;GUNNEBO ESPAÑA, S.A.;JOSEP PLA ED.B-2     BARCELONA ;08019;933162600;933162604;raphael.roy@gunnebo.com
B61085841;GUPO BB SERVICIOS DIVERSOS, S.L.;GRAN VIA DE LES CORTS CATALANES 581 - 6ª PLANTA   BARCELONA;08011;902103222;934519675;xripoll@grupobbs.com
