"Ejercicio","TipoVehículo","MarcaModelo","NumBastidor","POTENCIA_FISCAL","FECHA_MATRICULACION","tipoBeneficio","desc_tipo_beneficio","porcentajeBeneficio"
2016,,"CITROEN XSARA","VF7N1NFUB73784910","11.59","29/07/2003",,"",
2016,,"MERCEDES C 200","WDB2030421A546056","12.48","18/06/2003","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"BMW","WBABM510X0JH34504","19.14","20/06/2003",,"",
2016,,"RENAULT MEGANE","VF1JA0D0528874928","10.7","19/06/2003",,"",
2016,,"ASTRA 5P 20DTI EDITION","W0L0TGF4835218095","13.29","19/06/2003",,"",
2016,,"PEUGEOT 406 SR PK 1.8","VF38B6FZF81610499","12.29","19/06/2003",,"",
2016,"TURISMO","PEUGEOT 206 1.4","VF32CKFWF43314520","10.57","18/06/2003",,"",
2016,"TURISMO","KIA KIA RIO","KNEDC241236166190","10.48","19/06/2003",,"",
2016,,"FIAT SCUDO","ZFA22000012965825",,"20/06/2003",,"",
2016,"TURISMO","CITROEN XSARA PICASSO 1.6","VF7CHNFVK39553988","11.59","19/06/2003",,"",
2016,"TURISMO","CITROEN XSARA 1.6","VF7N1NFUB73725352","11.59","19/06/2003",,"",
2016,"TURISMO","VOLKSWAGEN GOLF","WVWZZZ1JZ2W596931","12.89",,,"",
2016,,"CITROEN C5","VF7DCRHZB76439424","13.3","04/07/2003","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"FORD MONDEO","WF05XXGBB53L67703","13.3","16/07/2003",,"",
2016,,"PEUGEOT 307 SW HDI 110 PACK","VF33HRHSB83132257","13.31","17/07/2003",,"",
2016,,"CITROEN XSARA","VF7N1RHYB73779397","13.3","29/07/2003",,"",
2016,"TURISMO","PEUGEOT 206","VF32A8HXF43391951","10.75","28/07/2003",,"",
2016,"TURISMO","PEUGEOT 307","VF33ARHYB82785566","13.31","29/07/2003",,"",
2016,"TURISMO","VOLKSWAGEN PASSAT 1,9","WVWZZZ3BZ3P459403","12.89","29/07/2003",,"",
2016,"TURISMO","PEUGEOT 206 1.4","VF32CKFWF43364238","10.57","29/07/2003",,"",
2016,,"NISSAN TERRANO 5P","VSKTVUR20U0538051","15.81","29/07/2003",,"",
2016,,"RENAULT LAGUNA","VF1BG0E0529337742","12.78","30/07/2003",,"",
2016,,"VOLKSWAGEN POLO 1.4","WVWZZZ9NZ3Y260846","10.7","30/07/2003",,"",
2016,,"PEUGEOT 206 XLINE REF","VF32AKFWF43415071","10.57","30/07/2003",,"",
2016,,"OPEL ASTRA 5P 20 DTI EDITION","W0L0TGF4835251778","13.29","30/07/2003",,"",
2016,,"OPEL ASTRA 5P 20 DTI EDITION","W0L0TGF4835249759","13.29","30/07/2003",,"",
2016,"VEHIC. MIXTO","CITROEN BERLINGO 2.0","VF7GJRHYB93012888","13.3","20/06/2003",,"",
2016,,"PEUGEOT 406 SR HDI 110","VF38BRHZF81581261","13.31","24/06/2003",,"",
2016,,"BOXER FG 350 MH 28","VF3ZCPMNB17140153",,"24/06/2003",,"",
2016,,"FORD FOCUS","WF0AXXWPDA3E80622","12.3","23/06/2003",,"",
2016,,"HYUNDAI TERRACAN","KMHNM81XP3U086047","16.65","24/06/2003","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"OPEL ZAFIRA 20DTI ELEGANCE","W0L0TGF7532129811","13.29","24/06/2003","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"SUZUKI","JS1BZ111100105413",,"08/07/2003",,"",
2016,,"KIA SHUMA II","KNEFB247235129561","11.62","08/07/2003","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"TURISMO","JAGUAR S 3 O V6 EXCLUS","SAJAA01E3XFL01530","19.85",,,"",
2016,"TURISMO","OPEL ASTRA-G","W0L0TGF69Y5154802","11.64",,,"",
2016,,"PEUGEOT 206 XLINE 75 3P","VF32CKFWF43354666","10.57","17/07/2003",,"",
2016,,"SEAT IBIZA 1.9 SDI","VSSZZZ6LZ3R212500","12.89","17/07/2003",,"",
2016,,"DAEWOO LANOS","KLATF08Y13B751086","11.2","17/07/2003","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"VOLKSWAGEN POLO 1.4 5V","WVWZZZ9NZ3Y174757","10.7","21/07/2003",,"",
2016,,"FORD MONDEO","WF05XXGBB53Y19655","13.3","18/07/2003",,"",
2016,,"OPEL ASTRA 5P 20 DTI EDITION","W0L0TGF4835253712","13.29","30/07/2003",,"",
2016,,"SEAT TOLEDO 1.9 TDI STELLA","VSSZZZ1MZ4R004031","12.89","31/07/2003",,"",
2016,,"XSARA CITROEN","VF7N1WJYB73716473","12.78","31/07/2003",,"",
2016,,"CITROEN C-5 2.0 HDI","VF7DCRHZB76421519","13.3","30/07/2003",,"",
2016,,"DERBI ATLANTIS","VTHAL1A1A3G203261",,"30/07/2003",,"",
2016,,"VOLKSWAGEN GOLF 1.9 TDI","WVWZZZ1JZ3U348409","12.89","30/07/2003",,"",
2016,"MOTOCICLETA","HONDA CB TWO FIFTY","VTMMC26D0XE030918","2.78",,,"",
2016,"TURISMO","RENAULT MEGANE SCENIC","VF1JA050526589203","12.78",,,"",
2016,"VEHIC. ESPECIAL","J.C.B. 3CX-4","0446630","20.15",,,"",
2016,"TURISMO","OPEL ZAFIRA","W0L0TGF7532088652","13.29",,,"",
2016,"TURISMO","OPEL ZAFIRA","W0L0TGF7532086838","13.29",,,"",
2016,"VEHIC. MIXTO","FIAT SCUDO","ZFA22000086027467","13.3","07/07/2003",,"",
2016,,"SEAT LEON 1.9 TDI","VSSZZZ1MZ4R008303","12.89","08/07/2003",,"",
2016,,"PEUGEOT BOXER CB 290G","VF3ZAPMRA17101239",,"08/07/2003",,"",
2016,"TURISMO","MERCEDES-BENZ E270CDI","WDB2110161A342434","17.37","07/07/2003",,"",
2016,"TURISMO","RENAULT MEGANE","VF1BM0F0527666131","11.02",,,"",
2016,"TURISMO","SEAT TOLEDO","VSSZZZ1MZ2R102417","12.89",,,"",
2016,"TURISMO","RENAULT MEGANE","VF1BA0R0523481622","12.78",,,"",
2016,,"OPEL CORSA 3P N12 EDITION","W0L0XCF0834168087","9.78","27/06/2003",,"",
2016,,"MAZSA PREMACY","JMZCP19R241346558","13.3","27/06/2003",,"",
2016,"TURISMO","B.M.W. SERIE 3 320TD M","WBAAT71040KR04499","13.3",,,"",
2016,"TURISMO","HONDA CIVIC 5P 1.5I VTEC S","SHHMB3740WU012348","11.17",,,"",
2016,"TODO TERRENO","SUZUKI JIMMY","JSAFJB33V00109410","10.28",,,"",
2016,"MOTOCICLETA","HONDA VT750C","JH2RC44A61M470673","5.58",,,"",
2016,"CICL. 2 RUEDAS","APRILIA SR50 AGUA","ZD4RLA0002S100662","0","08/07/2003",,"",
2016,"TURISMO","NISSAN ALMERA 2.2","SJNFDAN16U0377811","14.04","08/07/2003",,"",
2016,,"CITROEN PICASSO 20 HDI","VF7CHRHYB39574868","13.3","09/07/2003",,"",
2016,"TURISMO","SKODA OCTAVIA 1.6","TMBCX41U932799922","11.62","18/07/2003",,"",
2016,,"SKODA FABIA 1.9","TMBHF46Y933754507","12.89","23/07/2003",,"",
2016,,"CITROEN C5","VF7DCRHZB76438848","13.3","23/07/2003",,"",
2016,,"OPEL ASTRA 5P 16 EDITION","W0L0TGF4836095258","11.63","22/07/2003",,"",
2016,,"CITROEN XSAR 1.6I VTS","VF7N0NFUB73760492","11.59","22/07/2003",,"",
2016,,"OPEL ASTRA 5P 16 EDITION","W0L0TGF4836141857","11.63","22/07/2003",,"",
2016,,"FORD RANGER","WF0LMFE403W331135","15.22","21/07/2003","VO","VEHICULO OFICIAL","100"
2016,"TURISMO","CITROEN C3 1.1","VF7FCHFXB26768616","9.42","30/07/2003",,"",
2016,,"SEAT CORDOBA 1.9","VSSZZZ6LZ4R040190","12.89","30/07/2003",,"",
2016,,"AUDI A-3 1.6","WAUZZZ8P74A035361","11.63","01/08/2003",,"",
2016,,"SKODA FABIA","TMBPS26Y733791339","12.89","04/08/2003",,"",
2016,,"VOLKSWAGEN GOLF 1.6","WVWZZZ1JZ3B145992","11.63","01/08/2003",,"",
2016,,"APRILIA FR 50","ZD4TEA0004S013348",,"30/09/2004",,"",
2016,,"KIA  RIO  1.5","KNEDC243246230306","11.62","11/10/2004",,"",
2016,,"BMW  F-650 GS","WB10175A65ZN79731","3.9","11/10/2004",,"",
2016,,"CITROEN   XSARA  PICASSO  1.6","VF7CH9HYB39808931","11.5","13/10/2004",,"",
2016,,"DAEWOO  KALOS","KLASF69A15B262281","10.7","11/10/2004",,"",
2016,,"HYUNDAI  GETZ 1.3 GL","KMHBT51HP4U219411","10.48","11/10/2004",,"",
2016,,"CITROEN   C 2.","VF7JM8HXB97148867","10.74","11/10/2004",,"",
2016,,"RENAULT CLIO","VF1CB0WEH32557950","9.54","26/10/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"TURISMO","OPEL ASTRA","W0L0AHL4845189667","10.57","16/09/2004",,"",
2016,,"PEUGEOT 407 ST SPORT HDI","VF36DRHRH21088572","13.3","17/09/2004",,"",
2016,,"CITROEN C3 HDI70 PREMIER","VF7FC8HXB27114188","10.74","17/09/2004",,"",
2016,,"YAMAHA YP125E","VTLSE066000007673",,"20/09/2004",,"",
2016,,"CITROEN XSARA","VF7N18HZB73872807","10.74","30/09/2004",,"",
2016,,"FORD MONDEO","WF04XXGBB44G66394","13.3","30/09/2004",,"",
2016,,"RENAULT CLIO","VF1BBCT0532346304","9.54","30/09/2004",,"",
2016,,"PEUGEOT 307 XS 1.6 110 5P","VF33CNFUK83770196","11.59","30/09/2004",,"",
2016,,"PEUGEOT 307 SW CLIM 1.6","VF33HNFUB83798356","11.59","30/09/2004",,"",
2016,,"SUZUKI WAGON","TSMMMA33S00281358","10.42","30/09/2004",,"",
2016,,"PEUGEOT EXP FG CHAPA","VF3BYRHZB86128009",,"30/09/2004",,"",
2016,,"FORD MONDEO TDCI","WF05XXGBB54E33595","13.3","30/09/2004",,"",
2016,,"FORD FOCUS","WF0FXXWPDF4K05990","12.3","30/09/2004",,"",
2016,"TURISMO","B.M.W. 320TD MAN","WBAAT710X0KR19069","13.3",,,"",
2016,"TURISMO","VOLKSWAGEN POLO 1.3","WVWZZZ86ZFY068091","10.15",,,"",
2016,"TURISMO","OPEL MERIVA","W0L0XCE7544241329","12.01",,,"",
2016,,"BMW X-3 MAN","WBAPB11070WB71192","13.3","18/10/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"PEUGEOT EXP COMB5 HDI 110","VF3BARHZB86129862",,"25/10/2004",,"",
2016,,"RENAULT MEGANE","VF1BMRG0632417319","12.78","25/10/2004",,"",
2016,,"PEUGEOT 407 STCONFORT HDI","VF36DRHRH21120329","13.3","25/10/2004",,"",
2016,"REMOLQUE","EUCAR 1602 E","VS922000S4A119136","0","22/10/2004",,"",
2016,,"FORD FOCUS","WF0AXXWPDA4L38571","12.3","26/10/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"VOLKSWAGEN CADDY KOMBI LIFE 1.9 TDI","WV2ZZZ2KZ5X014269",,"21/09/2004",,"",
2016,,"CITROEN XSARA PICASSO 1.8 16V","VF7CH6FZB39801854","12.28","21/09/2004",,"",
2016,,"FORD   FIESTA.","WF0HXXWPJH4G29165","10.69","21/09/2004",,"",
2016,,"CITROEN C3 11I","VF7FCHFXB27110852","9.42","21/09/2004",,"",
2016,"TURISMO","PEUGEOT 307 2.0HDI","VF33HRHYB83711943","13.31",,,"",
2016,"TURISMO","HONDA JAZZ","JHMGD57702S211650","10",,,"",
2016,,"YAMAHA","VTLRA031000016049",,"01/10/2004",,"",
2016,"TURISMO","HONDA ACCORD 4P. 2.0 I-VTEC","JHMCL75403C209305","13.31",,,"",
2016,"TURISMO","VOLKSWAGEN BORA 1.6 5V","WVWZZZ1JZYW453110","11.62",,,"",
2016,,"SEAT LEON","VSSZZZ1MZ5R023683","12.89","05/10/2004",,"",
2016,,"TOYOTA  COROLLA","SB1KW28E10E058807","11.64","01/10/2004",,"",
2016,,"CITROEN C3 14I SATISFAT","VF7FCKFVB27118900","10.56","01/10/2004",,"",
2016,,"ALFA ROMEO 147","ZAR93700003250637","11.63","01/10/2004",,"",
2016,,"HARLEY-DAVIDSON","5MZSX14J143683012",,"14/10/2004",,"",
2016,,"FIAT STILO","ZFA19200000421786","12.95","14/10/2004",,"",
2016,,"PEUGEOT PARTNER CBPRO 19D","VF3GJWJYB95112661",,"15/10/2004",,"",
2016,,"FORD FIESTA","WF0HXXWPJH4G11817","10.74","15/10/2004",,"",
2016,,"FIAT STILO","ZFA19200000509528","12.95","15/10/2004",,"",
2016,,"DAEWOO KALOS","KLASF48T15B297379","9.55","15/10/2004",,"",
2016,,"DAELIM DAY STAR","KMYVL125FK4012597",,"15/10/2004",,"",
2016,"MOTOCICLETA","PIAGGIO SKIPPER 125 4T","ZAPM2100001009106","1.44",,,"",
2016,,"CITROEN  PICASSO  HDI","VF7CHRHYB39798498","13.3","01/10/2004",,"",
2016,"CAMION","NISSAN PICK-UP 2.5","JN1CPUD22U0102221","15.18","01/10/2004",,"",
2016,,"MERCEDES BENZ C200 CDI","WDB2037071A724991","13.9","06/10/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"TURISMO","PEUGEOT 206 5P XT 90","VF32ANFZE40491233","11.59",,,"",
2016,"TURISMO","OPEL ASTRA","W0L0TGF074B001823","13.98",,,"",
2016,"TURISMO","NISSAN 100 NX","JN1HEAB13U0025614","11.64",,,"",
2016,,"SUZUKI UH 125","VTTBP111100117743",,"26/10/2004",,"",
2016,,"DAEWOO MATIZ","KLA4M11CD5C045458","6.83","27/10/2004",,"",
2016,,"OPEL ASTRA","W0L0AHL4858015798","12.01","27/10/2004",,"",
2016,,"FIAT DOBLO 1.3 JTD","ZFA22300005289329",,"26/10/2004",,"",
2016,,"SUZUKI LT-Z400","JSAAK47A542114049","13.3","07/02/2005",,"",
2016,"VEHIC. MIXTO","FIAT SCUDO 2.0","ZFA22000086111714","13.3",,,"",
2016,"VEHIC. MIXTO","FIAT SCUDO 2.0","ZFA22000086102009","13.3",,"VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"TURISMO","DAEWOO KALOS","KLASF48T14B257871","9.55",,,"",
2016,,"JOHN DEERE STANDARD","CE184RG131188","20",,"VA","VEHICULO AGRICOLA","100"
2016,,"PIAGGIO X9 250 EVOLUT","ZAPM2300004508994",,"18/10/2004",,"",
2016,,"PIAGGIO X8 125","ZAPM3630000015296",,"27/10/2004",,"",
2016,,"DAEWOO LACETTI","KLANF48614K991224","11.64","27/10/2004",,"",
2016,,"OPEL COMBO 1.3 CDTI BLUE","W0L0XCF0653005404",,"27/10/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"OPEL  ZAFIRA  2.0  DTI  BLUE","W0L0TGF7552005354","13.29","27/10/2004",,"",
2016,,"PEUGEOT 206 XT 1400 HDI","VF32A8HXF44322478","10.75","27/10/2004",,"",
2016,,"RENAULT  MEGANE  SCENIC","VF1JMRF0532427071","11.02","27/10/2004",,"",
2016,,"CITROEN XSARA PICASSO","VF7CH9HYB39793474","11.47","22/09/2004",,"",
2016,,"HONDA ACCORD 2.2 SPORT","JHMCN15204C214628","14.12","24/09/2004",,"",
2016,,"PIQUERSA 2000 AC","232000790","7.61","24/09/2004",,"",
2016,,"PIAGGIO NRG MC3","ZAPC3200002013227",,"23/09/2004",,"",
2016,"CAMION","OPEL MOVANO","VN1F9CUH630233168","15.09",,,"",
2016,"MOTOCICLETA","HONDA CBR 900","JH2SC33A8XM309831","8.35",,,"",
2016,,"NISSAN   ALMERA","SJNFAAN16U0536045","11.19","05/10/2004",,"",
2016,,"TOYOTA YARIS","JTDKC123605075060","11.28","05/10/2004",,"",
2016,,"HYUNDAI GETZ 1.1 GL","KMHBT31GP4U075776","9.23","05/10/2004",,"",
2016,,"OPEL VECTRA 19 CDTI DESIGN","W0L0ZCF6851014020","12.94","06/10/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"APRILIA MILLE TUONO","ZD4RPB0904S001661",,"18/10/2004",,"",
2016,,"PEUGEOT 307 5P XT 1.6","VF33CNFUK83747402","11.59","18/10/2004",,"",
2016,,"SUZUKI","JSAFTB83V00206173","13.31","20/10/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"MORRIS MINI 850","M0N008979","7.96",,"VH","VEHICULO HISTORICO","100"
2016,,"PEUGEOT 307 SW PK 1.6 HDI","VF33H9HYB83730139","11.47","19/10/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"MERCEDES BENZ C 200 K","WDB2037421A731402","12.98","19/10/2004",,"",
2016,,"CITROEN C3 HDI70","VF7FC8HXB27118455","10.74","19/10/2004",,"",
2016,,"PEUGEOT 307 SW PAK 1.6 HDI","VF33H9HYB83820447","11.47","19/10/2004",,"",
2016,,"PEUGEOT EXPERT CB 5 HDI 110","VF3BBRHZB86147023",,"26/11/2004",,"",
2016,,"JEEP GRAND CHEROKEE","1J8G2E8A44Y156061","15.85","26/11/2004",,"",
2016,,"CITROEN PICASSO","VF7CHNFVK39834832","11.3","26/11/2004",,"",
2016,,"PEUGEOT 307 5P XS 1.6  HD","VF33C9HYB83841401","11.47","26/11/2004",,"",
2016,,"PEUGEOT 307 SW PACK HDI","VF33HRHRH83840871","13.3","26/11/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"RENAULT MEGANE","VF1JM0GD632627319","12.78","26/11/2004",,"",
2016,"CICL. 2 RUEDAS","DERBI V. START W. CH","E0224289","0","07/12/2004",,"",
2016,,"AUDI A3 2.0 TDI","WAUZZZ8P55B004332","13.19","09/12/2004",,"",
2016,,"KAWASAKI KVF 750","JKAVFDA145B502762","5.6","09/12/2004",,"",
2016,"TODO TERRENO","MITSUBISHI MONTERO","JMBMYV68W1J000841","17.66",,,"",
2016,"CICL. 2 RUEDAS","LIGIER AMBRA GL","VJRJS16FD04001370","0",,,"",
2016,,"HONDA SD02","VTMSD02A05E040523",,"20/12/2004",,"",
2016,,"J.M.  2000","VWBJM200041000583",,"30/12/2004",,"",
2016,,"PEUGEOT 307 5P XR CLIM H","VF33CRHYB83903859","13.31","20/12/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"KIA RIO 1.3","KNEDC241246236623","10.48","20/12/2004",,"",
2016,,"OPEL ZAFIRA 2.2 DTI INCREIB","W0L0TGF7552068601","13.29","20/12/2004",,"",
2016,"MAQUINA AGRICOLA","FEDE FUTUR 1500 L CISTERNA","1500000","0","17/12/2004","VA","VEHICULO AGRICOLA","100"
2016,"TURISMO","OPEL ASTRA G","W0L0TGF6915153175","13.3",,,"",
2016,,"LINCOLN COUPE DE VILLE","52408","34.25",,"VH","VEHICULO HISTORICO","100"
2016,,"RILEY 2.4 ESPECIAL ROADSTER","66M628","15.02",,"VH","VEHICULO HISTORICO","100"
2016,,"GRAHAM DESCONOCIDO","506549","31",,"VH","VEHICULO HISTORICO","100"
2016,,"CHRYSLER COUPE ABIERTO","6667866","24.25",,"VH","VEHICULO HISTORICO","100"
2016,,"FORD V 8","PM732","25",,"VH","VEHICULO HISTORICO","100"
2016,"TURISMO","MERCEDES SLK230","WDB1704471F075023","14.46",,,"",
2016,"REMOLQUE","EDER TUNTENHAUSEN AT 3010LB","W09A0A130WTE04548","0",,,"",
2016,"TURISMO","MERCEDES-BENZ E320CDI","WDB2110261A737963","20.85",,,"",
2016,"TURISMO","B.M.W. 320 D","WBAAS71020FY10827","13.3",,,"",
2016,"TURISMO","FORD FIESTA","WF0HXXWPJH3P50340","11.63",,,"",
2016,"TURISMO","SAAB 9-3","YS3FF45DX41059383","13.99",,,"",
2016,"TURISMO","PEUGEOT 406 SV HDI","VF38BRHZE80847182","13.31",,,"",
2016,,"RENAULT MEGANE","VF1EM0C0H32627175","11.64","26/11/2004",,"",
2016,,"VOLKSWAGEN  GOLF  1.6","WVWZZZ1KZ5B061635","11.56","30/11/2004",,"",
2016,"FURGONETA MIXTA","SUZUKI SAMURAI J TODO TERRENO","VSE0SJJ2C00094404","8.62",,,"",
2016,"TURISMO","RENAULT R. CLIO","VF1BB0S0F21817527","10.7",,,"",
2016,"MOTOCICLETA","DAELIM VT EVOLUTION","KMYVT125FKX012926","1.44",,,"",
2016,"VEHIC. MIXTO","IVECO 35S9","ZCFC356200D143438","16.29",,,"",
2016,,"VOLVO V 50","YV1MW664242004613","16.39","10/12/2004",,"",
2016,,"CHRYSLER VOYAGER","1C8GYN2735Y529187",,"10/12/2004",,"",
2016,,"CITROEN N-C5","VF7RC9HZC76636335","11.47","10/12/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"FORD ESCORT 5 PUERTAS 1.6","WF0AXXWPAAWT64720","11.63",,"VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"FORD MONDEO","WF04XXGBB45G40136","14.09","20/09/2005",,"",
2016,,"KYMCO GRAND DINK 125","RFBS4001141910167",,"19/09/2005",,"",
2016,,"KIA CARNIVAL","KNEUP751256750780",,"19/09/2005",,"",
2016,,"SSNGYONG REXTON","KPTG0B1FS5P191742","17.42","27/09/2005",,"",
2016,,"TOYOTA CELICA","JTDDR38T000190471","12.48","27/09/2005",,"",
2016,,"FORD FOCUS","WF05XXWPD55G28712","11.47","27/09/2005",,"",
2016,"TURISMO","FORD ESCORT","VS6AXXWPAARL57245","12.3",,,"",
2016,,"HONDA  ACCORD 4.0  CONFORT.","JHMCL75205C211309","13.31","28/10/2005",,"",
2016,,"CITROEN  XSARA  PICASSO  1.9 D","VF7CHRHYB39977674","13.3","27/10/2005",,"",
2016,,"SSANGYONG RODIUS","KPTN0B1FS5P024907",,"28/10/2005",,"",
2016,,"FORD FOCUS","WF0WXXGCDW5C26863","11.47","28/10/2005",,"",
2016,,"OPEL  CORSA  1.3  CDTI","W0L0XCF6864035111","10.02","27/10/2005",,"",
2016,,"OPEL ZAFIRA  1.6   ENJOY","W0L0AHM7562020914","11.63","27/10/2005",,"",
2016,,"FORD  FOCUS","WF03XXGCD35A45882","13.3","27/10/2005",,"",
2016,,"RENAULT MEGANE SCENIC","VF1JMSE0634706917","11.02","28/10/2005",,"",
2016,,"PEUGEOT 206","VF32A8HZF44844305","10.75","28/10/2005",,"",
2016,,"OPEL ASTRA GTC","W0L0AHL0855221340","12.01","28/10/2005",,"",
2016,,"FORD FOCUS","WF05XXWPD55C73785","11.47","28/10/2005",,"",
2016,,"PEUGEOT 206 5P","VF32A8HZF44822871","10.75","27/10/2005",,"",
2016,"TURISMO","CITROEN XSARA PICASSO 1.6","VF7CHNFVK39988248","11.59","27/10/2005",,"",
2016,"TURISMO","FORD MONDEO","WF0AXXGBBATY64386","13.27",,,"",
2016,"TURISMO","MERCEDES-BENZ A170CDI","WDB1681091J680425","12.03",,,"",
2016,,"RENAULT MEGANE","VF1BM0B0H34475292","10.7","08/11/2005",,"",
2016,,"SEAT IBIZA 1.4    75 CV","VSSZZZ6LZ5R119458","10.7","09/11/2005",,"",
2016,,"TOYOTA AVENSIS","SB1EA56L80E020795","15.18","08/11/2005",,"",
2016,"TURISMO","SEAT CORDOBA 1.9 D 4P","VSSZZZ6KZXR036553","12.89",,,"",
2016,"TURISMO","SEAT IBIZA 1.4 5V","VSSZZZ6KZ1R053248","10.7",,,"",
2016,"TURISMO","LAND ROVER FREELANDER 2.0 TD4 3","SALLNFAE25A468520","13.11",,,"",
2016,"TURISMO","FORD FIESTA 1.3 CFI","VS6AXXWPFAPD06093","10.26",,,"",
2016,"TURISMO","A.U.D.I. A6 TDI AUT Q","WAUZZZ4B42N015519","17.88",,,"",
2016,"VEHIC. ESPECIAL","SUZUKI LT F160","KM4AG43A531103535","1.67",,,"",
2016,,"APRILIA SONIC 50","ZD4TLA0065S002149",,"25/11/2005",,"",
2016,,"OPEL CORSA 1.3 CDTI","W0L0XCF0854380667","10.02","27/10/2005",,"",
2016,,"CITROEN C4 HDI 110","VF7LC9HYB74219610","11.47","27/10/2005",,"",
2016,,"BMW   120","WBAUG51060PV21558","13.12","27/10/2005",,"",
2016,,"RENAULT GRAND SCENIC","VF1JM0GD634625419","12.78","27/10/2005",,"",
2016,,"VOLKSWAGEN TOURAN 1.9 TDI","WVGZZZ1TZ6W047678","12.89","27/10/2005",,"",
2016,,"SEAT ALTEA 1.9 TDI","VSSZZZ5PZ5R094265","12.89","27/10/2005",,"",
2016,,"SEAT IBIZA 1.4 75 CV","VSSZZZ6LZ6R070369","10.7","27/10/2005","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"OPEL ASTRA 1.7 CDTI ENJ","W0L0AHL4865008979","12.01","27/10/2005",,"",
2016,,"KIA CARENS","KNEFC524155405512","13.28","27/10/2005",,"",
2016,,"FORD FOCUS","WF0BXXGCDB4G16696","12.3",,,"",
2016,,"FIAT IDEA","ZFA35000000023909","10.03","04/10/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"PIQUERSA HORMIGONERA HG-800-T4","482000106","7.61","17/12/2004",,"",
2016,"TURISMO","OPEL CORSA 1.2","W0L0XCF6844214925","9.78",,,"",
2016,"TURISMO","NISSAN MICRA","SJNFBAK12U2020426","9.99",,,"",
2016,"TURISMO","VOLKSWAGEN POLO 1.9","WVWZZZ9NZ6Y115511","12.89","24/11/2005",,"",
2016,,"CITROEN C4 HDI 92","VF7LC9HXC74356410","11.47","24/11/2005",,"",
2016,,"KIA SPORTAGE","KNEJE55156K150696","13.28","24/11/2005",,"",
2016,,"BMW    X3     3.0   DIESEL","WBAPB51030WC98383","19.95","25/11/2005",,"",
2016,,"PEUGEOT 307 SW","VF33HRHRH84433747","13.3","25/11/2005",,"",
2016,,"PEUGEOT VIVACITY 50","VGAS1CADA00303896",,"28/10/2005",,"",
2016,"TURISMO","FORD FIESTA","WF0BXXGAJB1M52171","12.3",,,"",
2016,,"FORD FOCUS","WF05XXGCD55D04295","11.47","25/11/2005",,"",
2016,,"PEUGEOT 206 5P XLINE 1","VF32AKFWA44894475","10.57","25/11/2005","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"OPEL ASTRA","W0L0AHL4865056725","11.63","24/11/2005",,"",
2016,,"PEUGEOT  206  XS  LINE","VF32JNFUB44867528","11.59","24/11/2005","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"SEAT LEON 1.9 TDI 5V","VSSZZZ1MZ6R004509","12.89","28/11/2005",,"",
2016,,"OPEL ASTRA","W0L0AHL4858165563","12.01","28/11/2005",,"",
2016,,"MERCEDES BENZ   B  180   CDI","WDD2452071J000832","13.28","28/11/2005",,"",
2016,,"MINI COOPER","WMWRC31020TH69578","11.64","28/11/2005",,"",
2016,,"PEUGEOT 206 5P XLINE HDI 70","VF32A8HZA44864405","11.59","28/11/2005",,"",
2016,,"OPEL CORSA 1.2 SILVER","W0L0XCF0864033202","9.78","28/11/2005",,"",
2016,"TURISMO","RENAULT MEGANE SEDAN","VF1LMR2C533894825","11.02",,,"",
2016,"TURISMO","JAGUAR XJ 12","XJ122R55632BW","37.27",,"VH","VEHICULO HISTORICO","100"
2016,,"PEUGEOT 407 ST CONFORT 2","VF36DRFNB21381690","13.3","30/11/2005",,"",
2016,,"RIEJU SMX","VTPMRX03D00323813",,"30/11/2005",,"",
2016,,"KIA CARENS CRDI","KNEFC524165419485","13.28","30/11/2005",,"",
2016,,"OPEL ZAFIRA A-H/MONOCAB","W0L0AHM7562046456","12.94","30/11/2005",,"",
2016,,"FORD FOCUS","WF03XXGCD35G02497","11.47","30/11/2005",,"",
2016,,"FRANKIA DUCATO I820BD","ZFA24400007618326",,"29/11/2005",,"",
