Expte_Nº,Expte_Departamento,Trámite,Fecha Inicio,N Registro,Año
13995/2015/GEN,Unitat Administrativa de Llicencies,URBA-102 Obras sujetas a declaración responsable,23-nov-15,2015038254,2015
13996/2015/GEN,Secció Medi Ambient,MEDI-004 PRESTACIÓN DE SERVICIOS Y/O INSTALACIÓN DE ELEMENTOS URBANOS,23-nov-15,2015038675,2015
13997/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015033490,2015
13998/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015033641,2015
13999/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015033657,2015
14000/2015/GEN,Unitat Òrgan de Suport a Junta de Govern i Regidor Secretari,UORJI-011 Seguros,23-nov-15,2015038241,2015
14001/2015/GEN,Negociat Benestar Social,SSCB-015 Prestaciones económicas individualizadas,23-nov-15,-,2015
14002/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015033660,2015
14003/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015033690,2015
14004/2015/GEN,Servici de Contratació i Compres,CONT-009 CERTIFICADOS DE CONTRATACIÓN,23-nov-15,2015038451,2015
14005/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015033915,2015
14006/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015033948,2015
14007/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015033957,2015
14008/2015/GEN,Negociat Benestar Social,SSCB-023 Documentación procedente de otros organismos públicos,23-nov-15,2015036737,2015
14009/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015033960,2015
14010/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015033971,2015
14011/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015033977,2015
14012/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015033984,2015
14013/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034087,2015
14014/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034176,2015
14015/2015/GEN,"Unitat Relacions Laborals, nòmines i Seguretat Social",Procés General - Nòmines i prevenció,23-nov-15,-,2015
14016/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034190,2015
14017/2015/GEN,Negociat Benestar Social,SSCB-023 Documentación procedente de otros organismos públicos,23-nov-15,2015028183,2015
14018/2015/GEN,Unitat Administrativa de Llicencies,URBA-115 Licencia urbanística de edificación (Obra mayor),23-nov-15,-,2015
14019/2015/GEN,Secció Àrea Técnica. Benestar Social,SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA,23-nov-15,2015037719,2015
14020/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034302,2015
14021/2015/GEN,Negociat Benestar Social,SSCB-023 Documentación procedente de otros organismos públicos,23-nov-15,2015036089,2015
14022/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034318,2015
14023/2015/GEN,Secció Àrea Técnica. Benestar Social,SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA,23-nov-15,2015037791,2015
14024/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034337,2015
14025/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034343,2015
14026/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034345,2015
14027/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034372,2015
14028/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034476,2015
14029/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034490,2015
14030/2015/GEN,Unitat Administrativa de Llicencies,URBA-137 Comunicació d`activitat inòcua,23-nov-15,2015038602,2015
14031/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034632,2015
14032/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034701,2015
14033/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034703,2015
14034/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034737,2015
14035/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034752,2015
14036/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,23-nov-15,2015034888,2015
14037/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,24-nov-15,2015038601,2015
14038/2015/GEN,Divisió Tecnicoadministrativa i Documental de la Policia,POLC-007 CERTIFICADO DE DISTANCIA KILOMÉTRICA,24-nov-15,2015038105,2015
14039/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,24-nov-15,2015038528,2015
14040/2015/GEN,Negociat Benestar Social,SSCB-021 PLAZA PÚBLICA DE RESIDENCIA DE TERCERA EDAD,24-nov-15,2015038530,2015
14041/2015/GEN,Unitat Òrgan de Suport a Junta de Govern i Regidor Secretari,UORJ-003 UTILIZACIÓN DE INSTALACIONES Y EDIFICIOS MUNICIPALES,24-nov-15,2015038709,2015
14042/2015/GEN,Servici de Contratació i Compres,CONT-007 Contrato de suministro,24-nov-15,-,2015
14043/2015/GEN,Unitat Òrgan de Suport a Junta de Govern i Regidor Secretari,UORJ-001 CELEBRACIÓN DE BODA,24-nov-15,2015038630,2015
14044/2015/GEN,Unitat Administrativa de Llicencies,URBA-136 Declaració responsable ambiental,24-nov-15,2015038398,2015
14045/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015034897,2015
14046/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035041,2015
14047/2015/GEN,Servici de Contratació i Compres,CONT-006 Contrato de Servicios,24-nov-15,-,2015
14048/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035052,2015
14049/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035071,2015
14050/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035086,2015
14051/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035094,2015
14052/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035122,2015
14053/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035128,2015
14054/2015/GEN,Servici de Modernització Tecnològica i Informàtica,Procés General - Modernització,24-nov-15,-,2015
14055/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035181,2015
14056/2015/GEN,Secció Medi Ambient,MEDI-009 INCIDÈNCIES AMBIENTALS,24-nov-15,2015036399,2015
14057/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035366,2015
14058/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035392,2015
14059/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035493,2015
14060/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035533,2015
14061/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035621,2015
14062/2015/GEN,Unitat Administrativa Disciplina Urbanística,URBA-036 INFRACCIONES POR ACTIVIDAD,24-nov-15,-,2015
14063/2015/GEN,Unitat Administrativa de Llicencies,URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones,24-nov-15,2015038413,2015
14064/2015/GEN,Unitat Administrativa de Llicencies,URBA-135 Informe urbanístico municipal de Actividad,24-nov-15,2015038458,2015
14065/2015/GEN,Oficina pressupostària,OPREI-001 Presupuesto y modificaciones,24-nov-15,-,2015
14066/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,24-nov-15,2015038705,2015
14067/2015/GEN,Unitat Administrativa de Llicencies,URBA-137 Comunicación de actividad inocua,24-nov-15,2015038600,2015
14068/2015/GEN,Negociat Benestar Social,SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES,24-nov-15,2015038730,2015
14069/2015/GEN,Negociat Benestar Social,SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES,24-nov-15,2015038740,2015
14070/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,24-nov-15,2015038664,2015
14071/2015/GEN,Unitat Administrativa de Llicencies,URBA-137 Comunicación de actividad inocua,24-nov-15,2015038605,2015
14072/2015/GEN,"Servici de Transport, Movilitat",PROCESO GENERAL MOVILIDAD,24-nov-15,-,2015
14073/2015/GEN,"Servici de Transport, Movilitat",PROCESO GENERAL MOVILIDAD,24-nov-15,-,2015
14074/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,24-nov-15,2015038694,2015
14075/2015/GEN,Servici de Contratació i Compres,CONT-007 Contrato de suministro,24-nov-15,-,2015
14076/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,24-nov-15,2015038707,2015
14077/2015/GEN,"Servici de Transport, Movilitat",PROCESO GENERAL MOVILIDAD,24-nov-15,-,2015
14078/2015/GEN,Unitat Òrgan de Suport a Junta de Govern i Regidor Secretari,UORJ-001 CELEBRACIÓN DE BODA,24-nov-15,2015038787,2015
14079/2015/GEN,Unitat Òrgan de Suport a Junta de Govern i Regidor Secretari,UORJI-009 Inmuebles municipales,24-nov-15,-,2015
14080/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,24-nov-15,2015038743,2015
14081/2015/GEN,Unitat Administrativa de Llicencies,URBA-115 Licencia urbanística de edificación (Obra mayor),24-nov-15,-,2015
14082/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,24-nov-15,2015038777,2015
14083/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,24-nov-15,2015038745,2015
14084/2015/GEN,Unitat Òrgan de Suport a Junta de Govern i Regidor Secretari,UORJI-009 Inmuebles municipales,24-nov-15,-,2015
14085/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,24-nov-15,-,2015
14086/2015/GEN,Unitat Administrativa de Llicencies,URBA-102 Obres subjectes a declaració responsable,24-nov-15,2015038494,2015
14087/2015/GEN,Negociat Benestar Social,SSCB-003 SERVICIO DE AYUDA A DOMICILIO,24-nov-15,2015038812,2015
14088/2015/GEN,Gestió Cultural i Turisme,CULT-013 Exposicions,24-nov-15,-,2015
14089/2015/GEN,"Servici de Transport, Movilitat",PROCESO GENERAL MOVILIDAD,24-nov-15,-,2015
14090/2015/GEN,Servici de Personal,RRHHI-007 Anticipos de nómina,24-nov-15,2015038739,2015
14091/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035732,2015
14092/2015/GEN,Negociat Benestar Social,SSCB-007 TARJETA DE ESTACIONAMIENTO PARA PERSONAS CON MOVILIDAD REDUCIDA,24-nov-15,2015038661,2015
14093/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035759,2015
14094/2015/GEN,Negociat Benestar Social,SSCB-024 Ayuda para la lactancia artificial,24-nov-15,2015038294,2015
14095/2015/GEN,Negociat Benestar Social,SSCB-025 Ayudas para tratamientos médicos crónicos,24-nov-15,2015038312,2015
14096/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035791,2015
14097/2015/GEN,Unitat Tributs Periodics,Procés General - Hisenda,24-nov-15,-,2015
14098/2015/GEN,Unitat Administrativa Disciplina Urbanística,URBA-018 INFORMES URBANÍSTICOS,24-nov-15,2015038721,2015
14099/2015/GEN,Unitat Tributs Periodics,TESO-040 Licencia de vado con autorización de aparcamiento en la licencia 1ª ocupación,24-nov-15,-,2015
14100/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035826,2015
14101/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035907,2015
14102/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035971,2015
14103/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015035981,2015
14104/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036047,2015
14105/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036049,2015
14106/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036055,2015
14107/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036109,2015
14108/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015038575,2015
14109/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036117,2015
14110/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036278,2015
14111/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036352,2015
14112/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036374,2015
14113/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036397,2015
14114/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036488,2015
14115/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036543,2015
14116/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036562,2015
14117/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036665,2015
14118/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036676,2015
14119/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036707,2015
14120/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036767,2015
14121/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036721,2015
14122/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036879,2015
14123/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015036897,2015
14124/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015038446,2015
14125/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015038631,2015
14126/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015038679,2015
14127/2015/GEN,Departament de la Dona,DONA-003 Ayuda económica para mujeres solas con hijos a su cargo,24-nov-15,2015038813,2015
14128/2015/GEN,Secció Àrea Técnica. Benestar Social,Procés General -BS,25-nov-15,-,2015
14129/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",INCM-015 CESIÓN PUESTOS DE MERCADOS,25-nov-15,2015037144,2015
14130/2015/GEN,Secció Medi Ambient,MEDI-003 AUTORIZACIÓN PARA REALIZACION DE CAMPAÑAS PUBLICITARIAS,25-nov-15,2015038915,2015
14131/2015/GEN,Negociat Benestar Social,SSCB-024 Ayuda para la lactancia artificial,25-nov-15,2015038760,2015
14132/2015/GEN,Negociat Benestar Social,SSCB-024 Ayuda para la lactancia artificial,25-nov-15,2015038867,2015
14133/2015/GEN,Negociat Benestar Social,SSCB-024 Ayuda para la lactancia artificial,25-nov-15,2015038897,2015
14134/2015/GEN,Secció Àrea Técnica. Benestar Social,SSCB-023 Documentación procedente de otros organismos públicos,25-nov-15,2015038590,2015
14135/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,25-nov-15,2015038716,2015
14136/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,25-nov-15,2015038585,2015
14137/2015/GEN,Secció Àrea Técnica. Benestar Social,INSTÀNCIA GENERAL,25-nov-15,2015038412,2015
14138/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,25-nov-15,2015038583,2015
14139/2015/GEN,Negociat Benestar Social,SSCB-023 Documentación procedente de otros organismos públicos,25-nov-15,2015038594,2015
14140/2015/GEN,Unitat Òrgan de Suport a Junta de Govern i Regidor Secretari,UORJ-001 CELEBRACIÓN DE BODA,25-nov-15,2015038763,2015
14141/2015/GEN,Unitat Administrativa Disciplina Urbanística,URBA-018 INFORMES URBANÍSTICOS,25-nov-15,2015038535,2015
14142/2015/GEN,Unitat Administrativa Disciplina Urbanística,URBA-033 INFORME DE INEXISTENCIA DE INFRACCIÓN URBANÍSTICA,25-nov-15,-,2015
14143/2015/GEN,Tresoreria,TESO-001 Devolución de ingresos indebidos de naturaleza tributaria,25-nov-15,2015038790,2015
14144/2015/GEN,Unitat Tributs Periodics,TESO-040 Licencia de vado con autorización de aparcamiento en la licencia 1ª ocupación,25-nov-15,-,2015
14145/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,25-nov-15,2015038811,2015
14146/2015/GEN,Unitat Tributs Periodics,TESO-040 Licencia de vado con autorización de aparcamiento en la licencia 1ª ocupación,25-nov-15,-,2015
14147/2015/GEN,Secció Medi Ambient,MEDI-004 PRESTACIÓN DE SERVICIOS Y/O INSTALACIÓN DE ELEMENTOS URBANOS,25-nov-15,2015038851,2015
14148/2015/GEN,Unitat de Comptabilitat,INTEI-015 Aprobación de facturas,25-nov-15,-,2015
14149/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-004 LICENCIA DE INSTALACIÓN DE TERRAZAS DE HOSTELERIA,25-nov-15,2015038752,2015
14150/2015/GEN,Negociat Benestar Social,SSCB-027 Tarjeta de usuarios/as de centros municipales de mayores,25-nov-15,2015037990,2015
14151/2015/GEN,Negociat de Consum i OMIC,SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION,25-nov-15,2015037425,2015
14152/2015/GEN,Negociat de Consum i OMIC,SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION,25-nov-15,2015037535,2015
14153/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,25-nov-15,2015035903,2015
14154/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,25-nov-15,2015038880,2015
14155/2015/GEN,Unitat administrativa area urbanisme,Procés General - Urbanisme,25-nov-15,2015038937,2015
14156/2015/GEN,Negociat de Consum i OMIC,SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION,25-nov-15,2015037606,2015
14157/2015/GEN,Negociat de Consum i OMIC,INSTÀNCIA GENERAL,25-nov-15,2015037610,2015
14158/2015/GEN,Negociat de Consum i OMIC,SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION,25-nov-15,2015037764,2015
14159/2015/GEN,Negociat de Consum i OMIC,SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION,25-nov-15,2015037790,2015
14160/2015/GEN,Unitat Administrativa de Sanitat,SACD-002 LICENCIA PARA ANIMALES POTENCIALMENTE PELIGROSOS,25-nov-15,2015038831,2015
14161/2015/GEN,Servici de Contratació i Compres,CONT-007 Contrato de suministro,25-nov-15,-,2015
14162/2015/GEN,Unitat Administrativa de Llicencies,URBA-102 Obras sujetas a declaración responsable,25-nov-15,2015038671,2015
14163/2015/GEN,Unitat Administrativa de Llicencies,URBA-102 Obras sujetas a declaración responsable,25-nov-15,2015038674,2015
14164/2015/GEN,Unitat Administrativa de Llicencies,URBA-102 Obras sujetas a declaración responsable,25-nov-15,2015038677,2015
14165/2015/GEN,Unitat Administrativa de Llicencies,URBA-102 Obras sujetas a declaración responsable,25-nov-15,2015038795,2015
14166/2015/GEN,Unitat Administrativa de Llicencies,URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones,26-nov-15,2015038618,2015
14167/2015/GEN,Unitat Gestió de Personal,Procés General - RRHH,26-nov-15,2015039041,2015
14168/2015/GEN,Secció d'Obres i Edificis Públics,Trámit General-Seccio Obres,26-nov-15,-,2015
14169/2015/GEN,Unitat de Comptabilitat,INTEI-016 Nómina,26-nov-15,-,2015
14170/2015/GEN,Secció d'Obres i Edificis Públics,Trámit General-Seccio Obres,26-nov-15,-,2015
14171/2015/GEN,Negociat Benestar Social,SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES,26-nov-15,2015038927,2015
14172/2015/GEN,Negociat Benestar Social,SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES,26-nov-15,2015038983,2015
14173/2015/GEN,Negociat Benestar Social,SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES,26-nov-15,2015039011,2015
14174/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,26-nov-15,2015038857,2015
14175/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,26-nov-15,2015038858,2015
14176/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,26-nov-15,2015038864,2015
14177/2015/GEN,Unitat Administrativa de Llicencies,URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones,26-nov-15,2015038700,2015
14178/2015/GEN,Unitat Tributs No Periodics,"TESO-046 Beneficios fiscales en el impuesto sobre construcciones, instalaciones y obras (ICIO)",26-nov-15,2015039067,2015
14179/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,26-nov-15,2015038982,2015
14180/2015/GEN,Negociat PlusValua,TESO-001 Devolución de ingresos indebidos de naturaleza tributaria,26-nov-15,-,2015
14181/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,26-nov-15,2015039074,2015
14182/2015/GEN,Unitat Tributs No Periodics,TESO-001 Devolución de ingresos indebidos de naturaleza tributaria,26-nov-15,-,2015
14183/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,26-nov-15,2015038934,2015
14184/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,26-nov-15,2015038904,2015
14185/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,26-nov-15,2015038836,2015
14186/2015/GEN,"Servici de Transport, Movilitat",PROCESO GENERAL MOVILIDAD,26-nov-15,2015038690,2015
14187/2015/GEN,Unitat de Comptabilitat,INTEI-015 Aprobación de facturas,26-nov-15,-,2015
14188/2015/GEN,Unitat de Comptabilitat,INTE-023 Encomiendas y otras aportaciones municipals,26-nov-15,-,2015
14189/2015/GEN,Secció Medi Ambient,INSTÀNCIA GENERAL,26-nov-15,2015038547,2015
14190/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,26-nov-15,2015038941,2015
14191/2015/GEN,Negociat Benestar Social,SSCB-021 PLAZA PÚBLICA DE RESIDENCIA DE TERCERA EDAD,26-nov-15,2015038943,2015
14192/2015/GEN,Unitat Administrativa de Llicencies,"URBA-110 Declaración responsable para la instalación de tendidos eléctricos, telefónicos, colocación de antenas o dispositivos de comunicación de cualquier clase",26-nov-15,-,2015
14193/2015/GEN,Servici de Personal,RRHHI-019 Autorización y abono,26-nov-15,-,2015
14194/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,26-nov-15,2015039051,2015
14195/2015/GEN,Unitat Administrativa Disciplina Urbanística,URBA-038 ORDEN DE EJECUCIÓN DE OBRAS DE CONSERVACIÓN Y DE INTERVENCIÓN,26-nov-15,-,2015
14196/2015/GEN,Unitat Administrativa de Llicencies,URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones,26-nov-15,2015038802,2015
14197/2015/GEN,Unitat Administrativa de Llicencies,URBA-135 Informe urbanístico municipal de Actividad,26-nov-15,2015038822,2015
14198/2015/GEN,Servici de Personal,Procés General - RRHH,26-nov-15,-,2015
14199/2015/GEN,Festes i Entitats populars,Trámit Festes,26-nov-15,-,2015
14200/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",INSTÀNCIA GENERAL,26-nov-15,2015038599,2015
