Descripción Punto de Suministro,CUPS,"Tarifa de acceso",Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,TOTAL
ALUMBRADO PUBLICO,ES0021000008562719QT,3.0A,3.592,2.388,2.808,2.218,1.694,1.457,1.781,1.367,2.029,1.875,2.693,2.382,26.282
ALUMBRADO PUBLICO,ES0021000008562737QH,3.0A,996,675,779,603,495,427,496,424,555,555,704,651,7.360
LOCAL SOCIAL ALMACEN,ES0021000010476915GK,3.0A,736, ,554, ,270, ,341, ,277, , ,381,2.560
OFICINA INFORMACION MUNICIPAL,ES0021000010712023ST,3.0A,122,98,104,98,95,95,92,109,112,159,107,92,1.284
ALUMBRADO PUBLICO,ES0021000011001318NR,3.0A,1.391,1.252,1.275,1.034,801,721,741,744,893,918,1.141,1.127,12.041
ALUMBRADO PUBLICO,ES0021000011001319NW,3.0A,923,766,801,632,537,469,531,462,590,592,795,694,7.793
ALUMBRADO PUBLICO,ES0021000011001324NF,3.0A,1.546,1.146,1.211,890,817,682,733,643,819,859,1.043,1.044,11.432
ALUMBRADO PUBLICO,ES0021000011001326ND,3.0A,2.722,2.024,2.075,1.613,1.537,1.204,1.378,1.164,1.361,1.516,1.862,1.850,20.307
ALUMBRADO PUBLICO,ES0021000011004433DB,3.0A,1.305,1.187,1.198,973,771,710,709,722,859,835,1.059,1.163,11.489
ALUMBRADO PUBLICO,ES0021000011004435DJ,3.0A,1.372,1.274,1.283,1.047,796,703,731,750,893,864,1.112,1.087,11.912
ALUMBRADO PUBLICO,ES0021000011147234PM,3.0A,1.222,823,946,795,766,627,746,641,806,795,1.099,863,10.130
FUENTE ILUMINADA,ES0021000011681345TX,3.0A,348,246,267,260,185,209,215,258,273,203,294,244,3.001
ALUMBRADO PUBLICO,ES0021000011873573DG,3.0A,2.234,1.934,1.888,1.640,1.198,1.028,1.325,1.053,1.265,1.342,1.940,1.487,18.333
ALUMBRADO PUBLICO,ES0021000011873632BV,3.0A,2.981,2.590,2.480,2.158,1.556,1.342,1.597,1.373,1.742,1.841,2.453,1.915,24.028
RIEGO,ES0021000011888396DS,3.0A,155,127,134,134,150,129,138,241,133,275,142,133,1.892
ALUMB. PUBLICO. PARC CENTRAL FASE B,ES0021000011981274EL,3.0A,3.329,2.521,2.652,1.946,1.971,1.507,1.626,1.337,1.652,1.786,2.130,2.113,24.570
ALUMB. PUBLICO. PARC CENTRAL. FASE B,ES0021000011981310RD,3.0A,1.594,1.515,1.536,1.292,1.022,934,820,1.115,954,1.112,1.420,1.311,14.625
ALUMBRADO PUBLICO,ES0021000012594438WA,3.0A,525,402,408,314,285,286,235,285,420,289,394,374,4.217
ALUMBRADO PUBLICO,ES0021000013457710EQ,3.0A,2.194,1.394,1.554,1.370,921,923,801,868,941,931,1.347,1.551,14.796
ALUMBRADO PUBLICO,ES0021000013457882FG,3.0A,792,161,848,468,259,277,226,347,428,391,537,825,5.558
ALUMBRADO PUBLICO,ES0021000013458035JL,3.0A,1.227,782,785,716,416,448,370,461,580,595,751,759,7.889
ALUMBRADO PUBLICO,ES0021000013458055ZQ,3.0A,1.190,749,806,671,469,508,407,460,422,277,321,340,6.622
FUENTE MUNICIPAL,ES0021000013493195RN,3.0A,504,338,401,386,306,190,102,111,117,101,120,104,2.781
GRUPO BOMBEO,ES0021000013506191ZJ,3.0A,147,100,116,135,112,127,155,318,212,287,160,155,2.025
ALUMBRADO PUBLICO,ES0021000015810062VC,3.0A,814,749,822,104,837,104,767,120,885,563,924,808,7.497
COLON,ES0021000016045498LM,3.0A,179,201,192,144,162,138,140,158,148,159,175,151,1.947
ALUMBRADO PUBLICO,ES0021000016219253YH,3.0A,1.988,1.281,1.430,985,876,898,948,800,1.030,1.014,1.542,1.160,13.951
ALUMBRADO PUBLICO,ES0021000016219259FR,3.0A,1.226,758,851,683,595,518,597,509,653,634,895,677,8.595
ALUMBRADO PUBLICO,ES0021000016219260FW,3.0A,2.334,1.562,1.956,1.599,1.243,1.002,1.158,994,1.397,1.370,1.984,1.510,18.109
ALUMBRADO PUBLICO,ES0021000016297940TE,3.0A,342,289,303,267,233,203,233,198,242,243,274,235,3.060
ALUMBRADO PUBLICO,ES0021000016326108YS,3.0A,1.122,1.024,1.052,853,673,600,593,661,695,806,1.016,1.029,10.124
MESTRE LORENZO FUERTES JULVEZ,ES0021000016352212ZZ,3.0A,1.343,583,475,475,539,475,555,459,507,507,507,459,6.888
ALUMBRADO PUBLICO,ES0021000016438047CJ,3.0A,543,504,537,390,346,302,329,333,368,362,460,388,4.862
ALUMBRADO PUBLICO,ES0021000016445130YN,3.0A,672,563,581,484,401,344,396,335,424,428,501,454,5.583
ALUMBRADO PUBLICO,ES0021000016461647BS,3.0A,982,896,921,625,560,469,494,516,516,591,774,662,8.005
ALUMBRADO PUBLICO,ES0021000016473698YZ,3.0A,619,575,614,446,392,398,441,448,501,505,666,571,6.178
ALUMBRADO PUBLICO,ES0021000016504483BW,3.0A,388,357,382,288,261,229,253,254,278,272,346,293,3.599
ALUMBRADO PUBLICO,ES0021000016698434WV,3.0A,885,832,913,575,539,466,514,526,588,595,782,687,7.902
GARAJE,ES0021000016907972MW,3.0A, , , , , , , , , , , , ,0.00
CENTRO SOCIAL XENILLET,ES0021000017801567XR,3.0A,990,777,876,829,654,611,668,772,657,713,807,695,9.050
MERCADO PROVISIONAL,ES0021000018156029BX,3.0A, , , , , ,8.105,1.383,1.702,1.569,1.472,1.112,731,16.074
ALUMBRADO PUBLICO,ES0021000019427797JQ,3.0A, ,1.915,1.438,1.483,1.151,1.362,2.171,1.725,1.899,1.255,1.249,1.165,16.813
AYTO.TORRENT ,ES0021000020263808ET,3.0A, , , , , , , , , , , , ,0.00
AYTO.TORRENT ,ES0021000020263812EG,3.0A, , , , , , , , , , , , ,0.00
AYTO.TORRENT ,ES0021000020263813EM,3.0A, , , , , , , , , , , , ,0.00
AYTO.TORRENT ,ES0021000020263828EC,3.0A, , , , , , , , , , , , ,0.00
AYTO.TORRENT ,ES0021000020263946MT,3.0A, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0026000010496631SE,3.0A, , , , , , , , , , , , ,0.00
CASA CONSISTORIAL,ES0021000008527788SY,3.1A,7.782,8.441,7.032,6.172,6.803,7.961,9.882,8.766,9.633,7.737,6.668,7.621,94.497
AYUNTAMIENTO DE TORRENT,ES0021000008540684TE,3.1A,931,871,920,657,629,535,576,588,642,647,795,643,8.434
AYUNTAMIENTO DE TORRENT,ES0021000008540869DT,3.1A,632,677,731,513,503,438,487,468,525,526,633,566,6.699
AYUNTAMIENTO DE TORRENT,ES0021000008540870DR,3.1A,943,750,803,580,579,461,464,535,501,617,650,607,7.491
ALMACEN  RECOGIDA RESIDUOS SOLIDOS,ES0021000011568539VL,3.1A,3.685,3.494,4.722,3.718,3.393,3.284,3.466,3.681,3.516,3.828,3.660,3.329,43.776
DEPENDENCIAS MUNICIPALES METRO,ES0021000011802355VV,3.1A,5.198,4.946,5.536,4.146,4.526,5.137,6.895,5.224,4.902,4.807,5.472,4.514,61.304
CASA DE LA DONA,ES0021000015907729DY,3.1A,2.155,1.815,2.112,1.949,1.480,1.580,1.649,1.834,1.704,1.674,1.877,1.647,21.475
,,,140.351,225.905,126.307,163.125,93.527,149.520,90.977,136.282,99.176,157.199,119.418,167.613,1.669.400
