"NRMA","Nom Associació","Adreça 1","CP","Municipi","Adreça 2","CP","Municipi","Telèfon 1","Telèfon 2","Telèfon 3","Telèfon mòbil 1","TM1 Càrrec","Telèfon mòbil 2","TM2 Càrrec","Telèfon mòbil 3","Fax","Correu electrònic 1","CE 1 Referència","Correu electrònic 2","CE 2 Referència","Correu electrònic 3","Pàgina Web 1","Pàgina Web 2","Xarxes Socials 1","Xarxes Socials 2","President","Vicepresident"
123,"ASOCIACIÓN PROTECTORA DE LA NATURALEZA Y LOS ANIMALES ""MI MUNDO""","c/ Padre Mendez, 73-1ª",46900,"TORRENT",,,,,,,655513896,,,,,,"protectoratorrent@gmail.com",,,,,"www.protectoratorrent.blogspot.com",,,,"Desamparados Lillo Tomás",
124,"ASOCIACIÓN PARA LA LUCHA CONTRA LAS ENFERMEDADES DEL RIÑÓN (ALCER TURIA)","c/ Chelva, 7",46900,"TORRENT",,,,963850402,,,620481452,"President",,,,,,,,,,"www.gerencia@alcerturia.org",,,,"Alyane El Mami",
125,"ASOCIACIÓN DE VECINOS EL MOLI","c/ Padre Feijo, 2 bajo",46900,"TORRENT",,,,,,,654756150,"President",,,,,"asociaciondevecinos.elmoli@hotmail.com",,,,,,,,,"Diego Antonio Sánchez Barba",
126,"ASOCIACIÓN URBANIZACIÓN FONT DE LA TEULA","c/ El Ruiseñor, 1",46900,"TORRENT",,,,963708313,,,610345367,"President",,,,,"valdu66@hotmail.com",,,,,,,,,"Francisco Martínez Serrano","Julian Lopez Castellanos"
127,"ASOCIACIÓN LA CABRA","c/ Buenos Aires, 8",46900,"TORRENT",,,,,,,607674043,"President",,,,,"fjsb1958@hotmail.com",,,,,,,,,"Federico José Sagreras Bisbal",
128,"FUNDACIÓ HORTA SUD DE LA COMUNITAT VALENCIANA","c/ Caja de Ahorros, 4",46900,"TORRENT",,,,931553227,,,,,,,,961553227,,,,,,"www.centrerecursos@fhortasud.org",,,,"Alfred Domínguez Ibáñez",
129,"ASSOCIACIÓ CULTURAL COMISSIÓ D'ESTUDIS FALLERS TORRENTINS","c/ Gabriela Mistral, 2-4º",46900,"TORRENT",,,,,,,657448864,,636572624,,,,"contacto@comfet.es",,,,,"www.comfet.es",,,,"Salvador Ciscar Juan",
130,"ASOCIACIÓN MUSICAL SITO&BAND","c/ L' Alcalaten, 1. Esc D Pta, 18",46900,"TORRENT",,,,,,,617568455,,659745850,,,,"sitoband@hotmail.com",,,,,,,,,"Alfonso Gómez García",
131,"ASOCIACIÓN PENYA PENSAT I FET. MAS DEL JUTGE","Avda. Al Vedat, 139. Esc A. Pta 15",46900,"TORRENT",,,,,,,660671507,,637508172,,,,,,,,,,,,,"Celso Hoyo Arce",
132,"ASOCIACIÓN CULTURAL SANTA SOFÍA DE LEVANTE","c/ San Justo, 12-1º-6ª",46900,"TORRENT","c/ Libertat, 2 Esc D, Pta 23 (Correspondència)",,"PICASSENT",,,,647747014,,,,,,"asociacionsantasofíadelevante@gmail.com",,"botevtorrent@gmail.com",,,,,,,"Kamelija Yordanova Lyubenova",
133,"PEÑA VALENCIANISTA LA CABRA DEL VEDAT","c/ Doctor Marañón, 12 bajo",46901,"TORRENT","c/ Sueca, 56.5º-9ª (Correspondència)",46906,"VALENCIA",,,,607674043,"President",,,,,"fjsb1958@hotmail.com",,,,,,,,,"Federico José Sagreras Bisbal",
134,"ASOCIACIÓN CULTURAL FALLA ESCULTOR VICENT PALLARDO","c/ Montreal-76,2 bajo",46900,"TORRENT",,,,,,,697292451,"President",666003046,"Secretaria",,,"fallaescultor@gmail.com",,,,,,,,,"Josep Miquel Chulia Ortegas",
135,"ASOCIACIÓN FAMILIAR TRANSTORNO DE DEFICIT DE ATENCIÓN E HIPERACTIVIDAD Y DEFICIT INTELECTUAL DE TORRENT (AS0FA)","c/ San Cayetano núm. 37",46900,"TORRENT",,,,961089661,961565254,,649741883,,627652054,"Tesorera",,,"pilarvir@hotmail.com",,,,,,,,,"Jesús Navarro Soriano",
136,"ASOCIACIÓN CULTURAL FALLA POBLE NOU","c/ Tirant lo blanc 62",46900,"TORRENT",,,,,,,648211493,"President",,,,,"fallapoblenou@hotmail.com",,,,,,,,,"Pedro Moya Castro",
137,"ASOCIACIÓN CÍRCULO CATÓLICO DE TORRENT","Av Al Vedat, 25 1ª",46900,"TORRENT",,,,,,,636450192,"President",607329318,,,,"admoncirculo@gmail.com",,,,,,,,,"Benito Nemesio Casabán",
138,"ASOCIACIÓN DE FAMILIARES DE ENFERMOS MENTALES DE TORRENT","c/ Santo Domingo, 22 Bj",46900,"TORRENT",,,,963318312,,,,,,,,,"franciscoarnaldo@icav.es",,,,,,,,,"Josefa Tomás Medina",
139,"ASOCIACION CULTURAL FALLA SAN VALERIANO Y ADYACENTES","c/ L'Horta, 29",46900,"TORRENT",,,,,,,616863875,,619637074,,664712517,961292649,"fallasanvaleriano@hotmail.com",,,,,,,,,"Juan Carlos Jordan Herrero",
140,"TORRENT PINTA ASOCIACIÓN DE PINTORES ARTÍSTICOS DE TORRENT","c/ Benemérita Guardia Civil, 4-5",46900,"TORRENT",,,,,,,680174597,,,,,,,,,,,,,,,"Julián Jorcano López",
141,"CUCURUCÚ TEATRE","c/ Gómez Ferrer, 12 Bj Centre c. San marc",46900,"TORRENT",,,,961565666,,,687564817,,,,,,"Cucurucuteatre@gmail.com",,,,,"cucurucuescola.wordpress.",,,,"Tatiana Llopis Nevado",
142,"ASOCIACIÓN CULTURAL FALLA BARRI SANT GREGORI","Barri Sant Gregori, s/n patio interior",46900,"TORRENT",,,,,,,635499466,,616428921,,,,"amparo0782@hotmail.com",,,,,,,,,"Andrés Mena Lumbreras",
143,"FEDERACIÓ DE MOROS I CRISTIANS DE TORRENT (FMCT)","Moralets, 5 bj",46900,"TORRENT",,,,,,,610763064,,638610183,"President",661714524,"Federació (ana)","govern@fmct.es",,,,,"www.fmct.es",,,,"Daniel Catalá Perez",
144,"ASOCIACIÓN CULTURAL FALLA REINA SOFIA","Pl. Pedro Iturralde, 4 Bj",46900,"TORRENT",,,,,,,618910316,,645908553,,,,"afedezb@hotmail.com",,,,,,,,,"Antonio Fernández Balbuena",
145,"CLUB DE MOTOCICLISMO CUSTOM HIJOS DEL VIENTO DE TORRENT","c/ Caja Ahorros, 12-14",46900,"TORRENT",,,,,,,696986250,,676964000,,,,"juana.enrique@hotmail.es",,,,,"www.hijosdelviento.org",,,,"Ricardo Ríos Palazón",
146,"ASOCIACIÓN DE VECINOS PARTIDA BARBETA","c/ Del Poliesportiu 170 M",46900,"TORRENT",,,,,,,663759826,"President",627374483,"Secretaria",,,"wuisso@gmail.com",,"joaquin3149@gmail.com",,,,,,,"Luis Valentín Tomás Máñez",
147,"ASOCIACIÓN CULTURAL FALLA DE LA PLAÇA","Pl. Major, 17 Bajo",46900,"TORRENT",,,,,,,680215819,,,,,,"falladelaplaza@hotmail.com",,,,,,,,,"Ricardo José Gómez Alabajos",
148,"ASOCIACIÓN AMIGOS DE MALIENSES ""DJIGIYA""","c/ Ntra. Sra. Del Buen Consejo, 14, Esc D, 5",46900,"TORRENT",,,,,,,698281397,,,,,,"djigiya@hotmail.com",,,,,,,,,"Mamourou Fomba",
149,"ASOCIACIÓN PRODEFICIENTES PSIQUICOS TORRENT","c/ Caseta Capa, 38",46900,"TORRENT",,,,961551064,,,639315957,,,,,961588286,"c.e.e.launion@gmail.com",,,,,,,,,"Mª de la O García Sánchez",
150,"ASOCIACIÓN HOGAR SOCIAL PATRIOTA MARÍA LUISA NAVARRO","c/ Lope de Vega, 8 bj",46900,"TORRENT",,,,,,,633522767,,640151675,,,,,,,,,,,,,"Antonio Moya Maseres",
151,"ASOCIACIÓN ESPACIO LITERARIO Y CULTURAL TORRENT DE PARAULES ","Pl Llibertat, 17-1ª",46900,"TORRENT",,,,,,,616551353,,,,,,"asoctorrentdeparaules@gmail.com",,"patmelcch@hotmail.com",,,,,,,"Patricia M. Cuenca Chavez",
152,"ASOCIACIÓN CULTURAL FALLA ANTONI PARDO I VOLTANTS","c/ P. Genovés, 13",46900,"TORRENT",,,,961081197,,,,,,,,,"presidente@fallaantoniopardo.es ",,"secretaria@fallaantoniopardo.es",,,"www.fallaantoniopardo.es",,,,"Vicente Martínez García",
153,"ASOCIACIÓN UNIÓ MUSICAL DE TORRENT","Av. Al Vedat, 21",46900,"TORRENT",,,,961571354,,,,,,,,961098346,"uniodetorrent@gmail.es",,"uniodetorrent@terra.es",,,"www.uniomusicaltorrent.com",,,,"Juan Benavent Aleixos",
154,"ASSOCIACIÓ CULTURAL AMICS DE LA MATRACA DE TORRENT","c/ Santisima Trinidad, 20",46900,"TORRENT",,,,,,,605485839,,,,,,"matracatorrent@hotmail.com",,,,,,,"Facebook: Matraca Torrent Santa Llucia",,"Pascual Esteve Garcia",
155,"ASSOCIACIO COLISEA (COL·ECTIU D'INICIATIVES SOCIALS EN ACCIÓ)","c/ Sedaví, 26 bj",46900,"TORRENT",,,,961951175,,,,,,,,,,,,,,,,,,"Juan Ramón Motoso Fernández",
156,"ASOCIACIÓN FALLA CARRER BENEMERITA GUARDIA CIVIL","c/ Federico Maicas, 22",46900,"TORRENT",,,,,,,687470551,,651363945,,,,"fallacarrerbenemerita@hotmail.com",,,,,,,,,"Raúl Gómez Giménez",
157,"ASOCIACIÓN INANIT","Av, Al Vedat, 78 4B",46900,"TORRENT",,,,,,,633501833,,,,,,"picazosanz@gmail.com",,,,,"inanit.wordpress.com",,,,"Carla Gonzales Durasevic",
158,"ASOCIACIÓN L'U I DOS DE TORRENT","c/ San Urbano, s/n Notif: c/ Sagra, 4-6",46900,"TORRENT",,,,961550581,,,655282781,,,,,,"uidosdetorrent@hotmail.com",,,,,,,,,"Concepción Muñoz Barbera",
159,"ASOCIACIÓN CULTURAL FALLA SEDAVI","c/ V. Blasco Ibañez, 8 Bj",46900,"TORRENT",,,,,,,630586429,,630586429,,,,"fsedavi@gmail.com",,,,,,,,,"Javier Montoro Molina","Jose Vicente Gimenez Beleña"
160,"ASSOCIACIO DE COMERCIANTS TORRENT COMERCIAL","Av. Al Vedat, 133 Bj",46900,"TORRENT",,,,961575880,,,,,,,,,,,,,,,,,,"Gracia Acosta Martínez",
161,"ASOCIACION DE MADRES Y PADRES DE ALUMNOS-AS DEL COLEGIO MARIA AUXILIADORA (A.M.P.A.S.) DE TORRENT","Pl. Dominical, 6",46900,"TORRENT",,,,961550326,,,,,,,,,,,,,,,,,,"Presentación Mora Juan",
162,"ASSOCIACIÓ CULTURAL BOUERA ELS TORRENTINS","c/ Benemérita Guardia Civil, 19-7",46900,"TORRENT",,,,,,,617871832,,647830948,,,,"penyaboueraelstorrentins@hotmail.com",,,,,,,"Facebook: Peña bouera els torentins","Instagram: peña bouera els torrentins","Pedro Jesús Muñoz Juárez",
163,"COORDINADORA DE PLATAFORMAS EN DEFENSA DE LAS PERSONAS DESEMPLEADAS","c/ San Ramón, 7-13",46900,"TORRENT",,,,,,,699731379,,674703725,,,,,,,,,,,,,"Francisco Javier Pérez Parra",
164,"ASSOCIACIÓ CULTURAL FALLA CRONISTE VICENT BEGUER I ESTEVE","c/ Cronista Vicent Beguer i Esteve, 2 y 4",46900,"TORRENT",,,,961295044,,,618984894,,,,,,,,,,,,,,,"Alfredo A. Andreu Sanchis",
165,"ASOCIACIÓN COOPERACIÓN A JUGADORES PARA EL AIRSOFT TACTICO","c/ Gómez Ferrer, 62-4-8ª",46900,"TORRENT",,,,,,,645788877,,,,,,"coatvcia@gmail.com",,,,,"www.coatvalencia.com",,,,"J. Fernando Muñoz de la Espada Tello",
166,"ASSOCIACIÓ CULTURAL FALLA AVINGUDA FILA MORA TUAREGS","c/ Hernández Malillos, 6 BJ ",46900,"TORRENT",,,,,,,678181885,,628279838,,,961565012,"fallavinguda@gmail.com",,,,,,,,,"Ana Beatriz Royo García",
167,"ASOCIACIÓN JUBILADOS Y VETERANOS DEL CNP DE TORRENT","c/ Cronista Vicent Beguer i Esteve, 5 bj",46900,"TORRENT",,,,,,,647630774,,,,,,"gpginguanzo@gmail.com",,,,,,,,,"José Hidalgo Quintana",
168,"ASSOCIACIÓ CULTURAL FALLA PARC DE TRENOR","c/ Padre Cabanes, 5 Bj",46900,"TORRENT",,,,,,,629386851,,,,,,"fallaparcdetrenor@hotmail.com",,,,,,,,,"Julián Romero López",
169,"ASOCIACIÓN SOLIDARITAT TORRENT ","c/ Virgen de la Soledad, 18-8",46900,"TORRENT",,,,,,,677143874,,,,,,"issambentalebezuitni@gmail.com ",,"solidaritattorrent@gmail.com",,,"Solidaritat Torrent.wins.inicio",,,,"Isaam Bentaleb",
170,"ASOCIACIÓN DE AIRSOFT TORRENT","Carretera Mas del Jutge km 2' 8 parcelas 34 y 23 Polígono 6",46900,"TORRENT",,,,,,,656589268,,,,,,"secretaria.aat@gmail.com",,,,,,,,,"Javier Giménez Gordón",
171,"ASOCIACIÓN DEFENSA ANIMAL TORRENT-ADAT","c/ San Cristóbal, 3-1",46900,"TORRENT",,,,,,,651125692,,653966599,,,,"asociaciondefensanimal@gmail.com",,,,,,,,,"Cristina Cuesta Cervera",
172,"ASOCIACIÓN ACCIÓN ANIMALISTA TORRENT","c/ Primado Reig, 19 bj",46900,"TORRENT",,,,,,,620983689,,625021126,,,,"desampalt@gmail.com",,"jserranocamara@gmail.com",,,,,,,"Desamparados Lillo Tomás",
173,"ASOCIACION CORAZON AMIGO","c/ Cami Reial 60",46900,"TORRENT",,,,,,,684226579,,,,,,"maryma86@hotmaill.com",,,,,,,,,"Maria Angelica Mainecul",
174,"ASOCIACIÓN PROTECTORA DE ANIMALES SOS PELUDETES","c/ Músico Andreu Navarro 8-3-16",46900,"TORRENT",,,,,,,634640700,,634980588,,,,"aspasospeludetes@gmail.com",,,,,,,,,"Carolina Maymon Verdet",
175,"CORAZONES ABIERTOS","c/ Azorin, 5",46900,"TORRENT",,,,,,,627650521,,,,,,,,,,,,,,,"Consuelo Melero Garcia",
176,"MUIXERANGA LA TORRENTINA","Partida Casablanca 103 LL",46900,"TORRENT",,,,,,,667761289,,,,,,,,,,,,,,,"Mª Luisa Esteve Garcia",
177,"AMPA CEIP LES TERRETES","c/ Constitucion 55",46900,"TORRENT",,,,,,,687236282,,,,,,"ampalesterretes@gmail.com",,,,,,,,,"Yolanda Cervera Millan",
178,"ASOCIACION DE VECINOS FALDA DE LA SIERRA ","PD. Corral del Colero 79 C",46900,"TORRENT",,,,,,,629470435,,,,,,,,,,,,,,,"Rafael Penalba Gramaje",
179,"PEÑA TIR I ARRASTRE ELS TORRENTINS","c/ San Nicolas 14 ? 3 -5",46900,"TORRENT",,,,,,,665664137,,,,,,,,,,,,,,,"Jose Tronch Toledo",
180,"ASOCIACION DE VECINOS MAS DE LA MONTAÑETA","c/ San Rafael 12",46900,"TORRENT",,,,961295588,,,,,,,,,"info@qualitathabitatge.com",,,,,"www.masdelamuntanyeta.com",,,,"Ana Belen Martinez Alvarez",
181,"ASOCIACION FALLA BARRI COTXERA","Virgen de la Purificacion 6",46900,"TORRENT",,,,,,,,,,,,,"fallabarricotxera@hotmail.com",,,,,,,,,"Angel Gualdas Navas",
182,"ASSOCIACIÓ NOVA VIDA IBT","Avda al Vedat 180",46900,"TORRENT",,,,,,,660328849,,,,,,,,,,,,,,,"Jose M. Montesino Rodriguez",
183,"CLUB DEPORTIVO DE PESCA BASS MANIA","c/ Santa Teresita 60 3",46900,"TORRENT",,,,,,,687997672,,,,,,,,,,,,,,,"J. Francisco Castillejo Gonzalez",
184,"ASOCIACION CLUB DE IDIOMAS TORRENT","c/ Profesor Idilio Gimeno 6b",46900,"TORRENT",,,,961080353,,,,,,,,,"clubdeidiomastorrent@gmail.com",,,,,,,,,"M. Pilar Martínez Martínez",
185,"GRUP DE BALL DE TORRENT","c/ Marco 1",46900,"TORRENT",,,,,,,637371205,637156097,,,,,"grupdeballdetorrent@hotmail.com",,,,,"wwww.grupdeballdetorret.blogspot.com",,,,"Jose Ramón Moreno Baixauli",
186,"ASOCIACION CULTURAL FALLA PLAÇA SANTA LLUCIA","c/ Santísima Trinidad, 20",46900,"TORRENT",,,,,,,617141150,,,,,,"fallasantalucia@hotmail.com",,,,,,,,,"Manuel Segarra Porras",
187,"ASOCIACION CULTURAL PENYA TARONJA","Avda al Vedat 134 D 1 3",46900,"TORRENT",,,,,,,676010195,,,,,,"fede.vilanova@gmail.com",,,,,,,,,"Federico Vilanova Moncholi",
188,"ASOCIACION FUNDACIÓN AMIGÓ","c/ Padre Prudencio 8",46900,"TORRENT",,,,,,,654586075,,,,,,"valencia@fundacionamigo.org",,,,,,,,,"Rafael Yagüe Alonso",
189,"ASOCIACION GITANA EUROPEA E INTERCULTURAL","c/ Malvarrosa",46900,"TORRENT",,,,,,,605119675,,,,,,"asoginter@gmail.com",,,,,,,,,"Juan Gil Bustamante",
190,"GRUP CUSTOM LA RABOSA DE TORRENT","c/ Constitución 3 bj iz",46900,"TORRENT",,,,961562167,,,,,,,,,"info@sergioesteve.com",,,,,,,,,"Sergio Esteve Garcia",
191,"ASOCIACION CULTURAL FALLA NICOLAS ANDREU","c/ San Juan de Ribera 10 -1",46900,"TORRENT",,,,,,,606772686,,,,,,"falla.nicolauandreu@gmail.com",,,,,,,,,"Antonio J. Pardo Mas",
192,"ASOCIACIÓN FALLA ANGEL DEL ALCAZAR","c/ San Fermín 22 - 24",46900,"TORRENT",,,,,,,679662744,,,,,,"pinazo86@hotmail.com",,,,,,,,,"Francisco J. Becerra Pinazo",
193,"ASOCIACION CENTRE EXCURSIONISTA TORRENT","c/ Sedavi 11 bj",46900,"TORRENT",,,,,,,626936888,,,,,,"cet-muntanya@hotmail.com",,,,,,,,,"David Navarro Sanchez Cano",
194,"ASOCIACION CLUB DEPORTIVO CAZA Y TIRO TORRENT","C/ San Fermin, 4",46900,"TORRENT",,,,,,,652151283,,,,,,"masomar78@hotmail.com",,,,,,,,,"Jose Luis Viñals Navarro",
195,"ASOCIACION FALLA XENILLET BANDERA VALENCIANA","C/ Albades 2 bj",46900,"TORRENT",,,,,,,6538424064,,675251371,,,,"secretariaxenillet@hotmail.com",,,,,,,,,"Javier Sanchez Gonzalez",
196,"ASOCIACION AMPA CEIP MIGUEL HERNANDEZ","C/ Constitucion 64",46900,"TORRENT",,,,,,,,,,,,,"ampamiguelhernandez@hotmail.es",,,,,,,,,"M. Jesús Garcia Verdejo",
197,"ASOCIACION DE FIESTAS MONTELEVANTE","C/ Beltran Baguena 15",46900,"TORRENT",,,,,,,669860140,,,,,,"festerakosmonteleva@gmail.com",,,,,,,,,"Pedro Mena Martínez",
198,"ASOCIACIÓN DE VECINOS URBANIZACION TROS ALT TORRENT-MONTSERRAT","C/ Concepcion Arenal 15",46900,"TORRENT",,,,961577029,,,647404956,,,,,,"distrival@telefonica.net",,,,,,,,,,
199,"ASSOCIACIÓ CULTURAL FALLA SANTS PATRONS I ADJACETS    ","C/ Sants Patrons, 46 b",46900,"TORRENT",,,,,,,619332236,,,,,,"f.santspatrons@gamil.com",,,,,,,,,"Fernando Moreno Chulia",
200,"ASSOCIACIÓ COMISSIÓ 9 D'OCTUBRE TORRENT","C/ Manuel Herreros ""Champi"", 1 - 1",46900,"TORRENT",,,,,,,635970540,,,,,,"comissio9octubre@gmail.com",,,,,,,,,"Miquel March Puig",
201,"ASOCIACION VECINAL TORRENTE&VALENCIA","c/ Lope de Vega, 8 bj",46900,"TORRENT",,,,,,,,,,,,,"guillaume@hotmail.es",,,,,,,,,"Antonio Moya Maseres",
202,"ASSOCIACIÓ CULTURAL FALLA SARAGOSSA PARC CENTRAL","C/ Zaragoza, 9",46900,"TORRENT",,,,,,,677704770,,,,,,"fallazaragoza@hotmail.com",,,,,,,,,,
203,"ASOCIACION CULTURAL FALLA SAN AMADOR-ESPARTERO","C/ San Juan de la Cruz, 8",46900,"TORRENT",,,,,,,647053269,,,,,,"asoc.culturalfallasanamadorespartero@hotmail.com",,,,,,,,,"Julia Perez Torrez",
204,"MOLT HOSPITALARIA FILÀ DELS CAVALLERS DE SAN JOAN DE JERUSALEM","c/ San Roc, 20",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
205,"FILÀ ABBASIES DE TORRENT","c/ L'Horta, 3 pta 4",46900,"TORRENT",,,,,,,659080723,,,,,,,,,,,,,,,,
206,"FILÀ LES DAMES DELS BALLESTERS DE L'AMAGADA DE LA PLOMA","c/ Vicent Andrés Estelles 9A Bj",46900,"TORRENT",,,,,,,600419326,,,,,,"ballesteres@gmail.com",,,,,,,,,"Carmen Perez Chust",
207,"CLUB DE FUTBOL TORRENT","c/ Perez Galdos, 15 bj",46900,"TORRENT",,,,,,,654884731,,,,,,"secretaria@torrentclubdefutbol.com",,,,,,,,,"Fernando Lino Taberner",
208,"ASSOCIACIÓ CULTURAL I FESTIVA BENIMERINE MORES TORRENTINES","c/ Fray Luis Amigó, 25 ",46900,"TORRENT",,,,,,,616726857,,,,,,,,,,,,,,,"Ana Almerich Chulia",
209,"FILÀ CAVALLERS DE FRAI HUC DE FOLALQUER CONQUERIDORS DE LA TORRE","AV. Al Vedat, 6 -2",46900,"TORRENT",,,,,,,609438373,,,,,,,,,,,,,,,"Raul Mil Contreras",
210,"COMPARSA MORA OMEYAS DE TORRENT","c/ Pintor Pinazo, 2",46900,"TORRENT",,,,,,,669353145,,,,,,"carmenferrandismt@hotmail.com",,,,,,,,,"M. Carmen Ferrandis Martí",
211,"COMPARSA MORA SUMAYL'S TORRENT","C/ SEDAVI, 36 3ª",46900,"TORRENT",,,,,,,615832019,,,,,,"secretariasumayls@hotmail.com",,,,,,,,,"Ricardo Andreu Ruiz",
212,"COMPARSA BUADIN'SS","c/ Cheste, 1",46900,"TORRENT",,,,,,,697754670,,,,,,,,,,,,,,,"Nacho Miquel Puchol","Enrique Ros Mora"
213,"COMPARSA MORA BEDUINS DE TORRENT","c/ Padre Mendez, 14 b",46900,"TORRENT",,,,,,,625509748,,,,,,,,,,,,,,,"Hector Cases Paya",
214,"COMPARSA MORA ALMOHADES DE TORRENT","c/ Santísima Trinidad, 6 - 7",46900,"TORRENT",,,,,,,676774571,,,,,,,,,,,,,,,"Pablo Fabià Juan","Nicolas Manzano Sendra"
215,"FILÀ CRISTIANA ALMOGAVERS TORRENT","c/ Camí Reial, 174",46900,"TORRENT",,,,,,,653682715,,,,,,"almogaverstorrent@gmail.com",,,,,,,,,"Alvaro Calbuig Mercado","Jordi Martí Carratalà"
216,"MOLT IL·LUSTRE FILÀ DE LES DAMES DE CORPS DE NA VIOLANT REINA D'HONGRIA","c/ Aviador Franco, 4 - 3",46900,"TORRENT",,,,,,,695814986,,,,,,,,,,,,,,,"Reyes Jorge Palmero","Rosa Ortí Fernandez"
217,"CALIFATS SARRAINS DE TORRENT","c/ Virgen de la Paz, 22 ",46900,"TORRENT",,,,,,,697754670,,,,,,,,,,,,,,,"Miguel Sahuquillo Ricart","Raúl Puig Espinosa"
218,"ALMORAVIDES DE TORRENT","c/ Marco, 8",46900,"TORRENT",,,,,,,606447464,,,,,,"almoravits@gmail.com",,,,,,,,,"Francisco Ramón Martínez Granell","Antonio Albiñana Muñoz"
219,"SOLIDARITAT VALENCIANA ONG","c/ Virgen del Olivar, 8 - 3",46900,"TORRENT",,,,,,,627976876,,,,,,"solidaritat.valencianaorg.bolgspot.com",,,,,,,,,"Cristina Lázaro Moll","Maria Villena Martínez"
220,"GRAN FILÀ CRISTIANA ELS FORQUERS DE TORRENT","c/ Padre Vicente Cabanes, 7 - 7",46900,"TORRENT",,,,,,,630290579,,,,,,,,,,,,,,,"Ruben Camilo Vazquez Martí","Enrique Vazquez Martí"
221,"HORDES BERBERISQUES DEL TEMUT DRAGUT","c/ San Cristobal, 11 -3",46900,"TORRENT",,,,,,,669541932,,,,,,,,,,,,,,,"Benjamín Sancho Ridaura","Arturo Vazquez Arribas"
222,"ASOCIACION CIRCULO PODEMOS TORRENT","c/ Valencia, 107",46900,"TORRENT",,,,,,,646464180,,,,,,,,,,,,,,,"César Diaz Rubio",
223,"ASSOCIACIO INTEGRACIO DISCAPACITATS DE TORRENT","c/ Pintor Pedro Camara, 1",46900,"TORRENT",,,,,,,617790655,,,,,,,,,,,,,,,"Josep Varela Beinat",
224,"MOLT IL·LUSTRE FILÀ DELS CAVALLERS TEMPLARIS DEL MONT SAGRAT","c/ San Joaquin, 14 B",46900,"TORRENT",,,,,,,679166629,,629172746,,,,"correo@templaris.es",,,,,,,,,"Pedro Jaen Catalan","Victoria Sobrino Rodriguez"
225,"FILA CRISTIANA GUARDIANS DEL MOLT IL·LUSTRE COMANADOR DE TORRENT, FRA PERE GERALDO",,,,,,,,,,,,,,,,,,,,,,,,,,
226,"ASSOCIACIÓ CULTURAL FALLA LOPE DE RUEDA, VERGE DEL PUIG I VOLTANTS","c/ Verge del Puig, 21",46900,"TORRENT",,,,,,,609680298,,,,,,"secretaria@fallesdetorrent.es",,,,,,,,,"Alejandro Linares Ramírez","Leandro Carrillo Ruiz"
227,"COMPARSA MULADINS D'ALI BUFAT","c/ Ramon y Cajal 16",46900,"TORRENT",,,,,,,626085987,,,,,,"muladinsbufats@gmail.com",,,,,,,,,"Encarna Puig Miquel","Carlos Martínez Puig"
228,"ESCOLA CORAL DE TORRENT","c/ Gomez Ferrer, 12",46900,"TORRENT",,,,,,,618052333,,675067531,,,,"secretaria@escolacoral.es",,,,,,,,,"Christian Garcia Marco","Fernando Blasco Navarro"
229,"ASOCIACION CULTURAL FALLA EL MOLI","c/ Padre Feijoo, 1",46900,"TORRENT",,,,,,,618306790,,,,,,"secretari.falla.moli@gmail.com",,,,,,,,,"Raúl Boquera Ortiz","Juan López Puertas"
230,"ASOCIACION BANDA DE CORNETAS Y TAMBORES NUESTRO PADRE JESUS DEL GRAN PODER","Pl. la Torrentina, 5",46900,"TORRENT",,,,,,,635920419,,,,,,"bandagranpoder@gmail.com",,,,,,,,,"Marco Sanchis Carratala","Guillermo Verdeguer Carrasco"
