"Expediente","Departamento","Trámite","Fecha Inicio","N. Registro","Año"
"3918/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",16/03/16,"2016008338","2016"
"3919/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",16/03/16,"2016008335","2016"
"3920/2016/GEN","Negociat Benestar Social","SSCB-003 SERVICIO DE AYUDA A DOMICILIO",16/03/16,"2016008340","2016"
"3921/2016/GEN","Negociat Benestar Social","SSCB-004 TELEASISTENCIA DOMICILIARIA",16/03/16,"2016008344","2016"
"3922/2016/GEN","Unitat Gestió de Personal","Proces General - RRHH",16/03/16,"2016008406","2016"
"3923/2016/GEN","Divisió Tecnicoadministrativa i Documental de la Policia","POLC-010 CERTIFICADO DE NO ACTIVIDAD",16/03/16,"2016008181","2016"
"3924/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",16/03/16,"-","2016"
"3925/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",16/03/16,"-","2016"
"3926/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",16/03/16,"-","2016"
"3927/2016/GEN","Unitat Gestió de Personal","Proces General - RRHH",16/03/16,"2016008446","2016"
"3928/2016/GEN","Negociat Benestar Social","SSCB-016.Bis RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",16/03/16,"2016007910","2016"
"3929/2016/GEN","Servici de Transport, Movilitat","INSTÀNCIA GENERAL",16/03/16,"2016008154","2016"
"3930/2016/GEN","Unitat Relacions Laborals, nòmines i Seguretat Social","RRHH-007 Prácticas formativas y universidad",16/03/16,"-","2016"
"3931/2016/GEN","Negociat Benestar Social","SSCB-016.Bis RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",16/03/16,"2016008484","2016"
"3932/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",16/03/16,"2016008540","2016"
"3933/2016/GEN","Unitat Gestió de Personal","Proces General - RRHH",16/03/16,"2016008616","2016"
"3934/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",16/03/16,"2016008545","2016"
"3935/2016/GEN","Unitat Gestió de Personal","Proces General - RRHH",16/03/16,"2016008618","2016"
"3936/2016/GEN","Negociat Benestar Social","SSCB-021 PLAZA PÚBLICA DE RESIDENCIA DE TERCERA EDAD",16/03/16,"2016008336","2016"
"3937/2016/GEN","Unitat Gestió de Personal","Proces General - RRHH",16/03/16,"2016008620","2016"
"3938/2016/GEN","Unitat Tributs No Periodics","TESO-001 Devolución de ingresos indebidos de naturaleza tributaria",16/03/16,"2016007120","2016"
"3939/2016/GEN","Secció Àrea Técnica. Benestar Social","SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA",16/03/16,"2016008025","2016"
"3940/2016/GEN","Unitat Tributs No Periodics","TESO-001 Devolución de ingresos indebidos de naturaleza tributaria",16/03/16,"2016008453","2016"
"3941/2016/GEN","Secció Àrea Técnica. Benestar Social","SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA",16/03/16,"2016008060","2016"
"3942/2016/GEN","Secció Àrea Técnica. Benestar Social","SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA",16/03/16,"2016008089","2016"
"3943/2016/GEN","Secció Àrea Técnica. Benestar Social","SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA",16/03/16,"2016008124","2016"
"3944/2016/GEN","Secció Medi Ambient","MEDI-011 CONTROL PARÁMETROS AMBIENTALES",16/03/16,"2016008390","2016"
"3945/2016/GEN","Secció Àrea Técnica. Benestar Social","SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA",16/03/16,"2016008192","2016"
"3946/2016/GEN","Secció Àrea Técnica. Benestar Social","SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA",16/03/16,"2016008203","2016"
"3947/2016/GEN","Secció Àrea Técnica. Benestar Social","SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA",16/03/16,"2016008276","2016"
"3948/2016/GEN","Secció Medi Ambient","MEDI-008 INCIDENCIAS SERVICIOS URBANOS",16/03/16,"2016008646","2016"
"3949/2016/GEN","Unitat Gestió de Personal","RRHHI-013 Vacaciones",16/03/16,"2016008656","2016"
"3950/2016/GEN","Secretario General del Pleno","SGPL-003 Mociones de grupos políticos",16/03/16,"-","2016"
"3951/2016/GEN","Unitat Gestió de Personal","Proces General - RRHH",16/03/16,"-","2016"
"3952/2016/GEN","Servici de Mobilitat, Transport i relacions amb idea't","PROCESO GENERAL MOVILIDAD",16/03/16,"2015034917","2016"
"3953/2016/GEN","Unitat Oficina Pressupostària i Subvencions","OPRE-008 Subvención directa por resolución de concesión",16/03/16,"2016008604","2016"
"3954/2016/GEN","Negociat Benestar Social","SSCB-021 PLAZA PÚBLICA DE RESIDENCIA DE TERCERA EDAD",16/03/16,"-","2016"
"3955/2016/GEN","Unitat Relacions Laborals, nòmines i Seguretat Social","RRHH-007 Prácticas formativas y universidad",16/03/16,"-","2016"
"3956/2016/GEN","Servici de Mobilitat, Transport i relacions amb idea't","MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA",16/03/16,"2016008621","2016"
"3957/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",16/03/16,"-","2016"
"3958/2016/GEN","Unitat Secretaria General núm. 1","UORJI-009 Inmuebles municipales",17/03/16,"2016008237","2016"
"3959/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",17/03/16,"-","2016"
"3960/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",17/03/16,"-","2016"
"3961/2016/GEN","Unitat Relacions Laborals, nòmines i Seguretat Social","Procés General - Nòmines i prevenció",17/03/16,"-","2016"
"3962/2016/GEN","Unitat Relacions Laborals, nòmines i Seguretat Social","Procés General - Nòmines i prevenció",17/03/16,"-","2016"
"3963/2016/GEN","Gestió Cultural i Turisme","CULT-014 Consell Municipal de Cultura",17/03/16,"-","2016"
"3964/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",17/03/16,"-","2016"
"3965/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",17/03/16,"-","2016"
"3966/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",17/03/16,"2016008648","2016"
"3967/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",17/03/16,"2016008645","2016"
"3968/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",17/03/16,"2016008637","2016"
"3969/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",17/03/16,"2016008686","2016"
"3970/2016/GEN","Unitat administrativa area urbanisme","URBA-131 Licencia obras para canalizaciones (obras e instalaciones que afecten al subsuelo)",17/03/16,"2016008742","2016"
"3971/2016/GEN","Unitat administrativa area urbanisme","URBA-131 Licencia obras para canalizaciones (obras e instalaciones que afecten al subsuelo)",17/03/16,"2016008743","2016"
"3972/2016/GEN","Secretario General del Pleno","Procés General Alcaldía - Secretaria General del Pleno",17/03/16,"-","2016"
"3973/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",17/03/16,"2016008298","2016"
"3974/2016/GEN","Unitat Tributs No Periodics","TESO-001 Devolución de ingresos indebidos de naturaleza tributaria",17/03/16,"2016001776","2016"
"3975/2016/GEN","Unitat Tributs No Periodics","TESO-001 Devolución de ingresos indebidos de naturaleza tributaria",17/03/16,"2016001395","2016"
"3976/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",17/03/16,"2016008309","2016"
"3977/2016/GEN","Unitat Tributs No Periodics","TESO-001 Devolución de ingresos indebidos de naturaleza tributaria",17/03/16,"2016001524","2016"
"3978/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",17/03/16,"2016008319","2016"
"3979/2016/GEN","Unitat de Comptabilitat","INTEI-015 Aprobación de facturas",17/03/16,"-","2016"
"3980/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",17/03/16,"2016008361","2016"
"3981/2016/GEN","Secció Medi Ambient","Procés General - Medi Ambient",17/03/16,"-","2016"
"47/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",25/11/16,"-","2016"
"3982/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",17/03/16,"-","2016"
"3983/2016/GEN","Secció Àrea Administrativa. Benestar Social","OPRE-006 Justificación de la subvención",18/03/16,"2016003600","2016"
"3984/2016/GEN","Secció Àrea Administrativa. Benestar Social","OPRE-006 Justificación de la subvención",18/03/16,"2016003288","2016"
"3985/2016/GEN","Negociat Benestar Social","Procés General -BS",18/03/16,"-","2016"
"3986/2016/GEN","Unitat Gestió de Personal","RRHHI-007 Anticipos de nómina",21/03/16,"2016008732","2016"
"3987/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008531","2016"
"3988/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008556","2016"
"3989/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008557","2016"
"3990/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008563","2016"
"3991/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008564","2016"
"3992/2016/GEN","Unitat Gestió de Personal","Proces General - RRHH",21/03/16,"2016008785","2016"
"3993/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008569","2016"
"3994/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008571","2016"
"3995/2016/GEN","Unitat Administrativa de Llicencies","URBA-102 Obras sujetas a declaración responsable",21/03/16,"2016008425","2016"
"3996/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008575","2016"
"3997/2016/GEN","Lletrat","LTRA-001 Documentación procedente de otros organismos públicos",21/03/16,"-","2016"
"3998/2016/GEN","Unitat Secretaria General núm. 1","UORJI-009 Inmuebles municipales",21/03/16,"-","2016"
"3999/2016/GEN","Unitat Secretaria General núm. 1","UORJ-001 CELEBRACIÓN DE BODA",21/03/16,"2016008731","2016"
"4000/2016/GEN","Unitat Secretaria General núm. 1","UORJ-001 CELEBRACIÓN DE BODA",21/03/16,"2016008773","2016"
"4001/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",21/03/16,"2016008499","2016"
"4002/2016/GEN","Servici de Modernització Tecnològica i Informàtica","MODE-001 Martenimientos",21/03/16,"-","2016"
"4003/2016/GEN","Unitat Administrativa de Sanitat","SACD-009 MOLESTIAS DE ANIMALES DE COMPAÑÍA (PERRO/S) EN COMUNIDADES DE VECINOS",21/03/16,"2016008384","2016"
"4004/2016/GEN","Unitat Administrativa de Llicencies","URBA-102 Obras sujetas a declaración responsable",21/03/16,"2016008512","2016"
"4005/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008576","2016"
"4006/2016/GEN","Negociat Benestar Social","SSCB-021 PLAZA PÚBLICA DE RESIDENCIA DE TERCERA EDAD",21/03/16,"-","2016"
"4007/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008580","2016"
"4008/2016/GEN","Gestió Cultural i Turisme","Procés General - Cultura",21/03/16,"-","2016"
"4009/2016/GEN","Unitat Administrativa de Llicencies","URBA-102 Obras sujetas a declaración responsable",21/03/16,"2016008518","2016"
"4010/2016/GEN","Unitat Administrativa de Sanitat","SACD-007 REGISTRE MUNICIPAL D`ANIMALS DE COMPANYIA",21/03/16,"2016008692","2016"
"4011/2016/GEN","Negociat Benestar Social","Procés General -BS",21/03/16,"-","2016"
"4012/2016/GEN","Unitat Administrativa de Sanitat","SACD-002 LICENCIA PARA ANIMALES POTENCIALMENTE PELIGROSOS",21/03/16,"2016008763","2016"
"4013/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008626","2016"
"4014/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",21/03/16,"2016008812","2016"
"4015/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",21/03/16,"2016008562","2016"
"4016/2016/GEN","Brigada d'Obres","Procés General - Via pública",21/03/16,"-","2016"
"4017/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008627","2016"
"4018/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008633","2016"
"4019/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008657","2016"
"4020/2016/GEN","Unitat Oficina Pressupostària i Subvencions","OPRE-008 Subvención directa por resolución de concesión",21/03/16,"2016008081","2016"
"4021/2016/GEN","Tresoreria","Procés General - Hisenda",21/03/16,"-","2016"
"4022/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008674","2016"
"4023/2016/GEN","Gestió Cultural i Turisme","Procés General - Cultura",21/03/16,"-","2016"
"4024/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",21/03/16,"2016008677","2016"
"4025/2016/GEN","Tresoreria","TESO-001 Devolución de ingresos indebidos de naturaleza tributaria",21/03/16,"2015034082","2016"
"4026/2016/GEN","Unitat Tributs No Periodics","TESO-001 Devolución de ingresos indebidos de naturaleza tributaria",21/03/16,"2015034728","2016"
"4027/2016/GEN","Negociat Benestar Social","SSCB-026 Prestaciones económicas de alquiler social",21/03/16,"2016008193","2016"
"4028/2016/GEN","Negociat Benestar Social","SSCB-026 Prestaciones económicas de alquiler social",21/03/16,"2016008243","2016"
"4029/2016/GEN","Unitat Tributs No Periodics","TESO-001 Devolución de ingresos indebidos de naturaleza tributaria",21/03/16,"2015034991","2016"
"4030/2016/GEN","Negociat Benestar Social","SSCB-026 Prestaciones económicas de alquiler social",21/03/16,"2016008278","2016"
"4031/2016/GEN","Unitat Tributs No Periodics","TESO-001 Devolución de ingresos indebidos de naturaleza tributaria",21/03/16,"2015035431","2016"
"4032/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",21/03/16,"2016008632","2016"
"4033/2016/GEN","Negociat Benestar Social","SSCB-026 Prestaciones económicas de alquiler social",21/03/16,"2016008517","2016"
"4034/2016/GEN","Negociat Benestar Social","SSCB-026 Prestaciones económicas de alquiler social",21/03/16,"2016008680","2016"
"4035/2016/GEN","Negociat Benestar Social","SSCB-026 Prestaciones económicas de alquiler social",21/03/16,"2016008762","2016"
"4036/2016/GEN","Gabinet de Presidència","INSTÀNCIA GENERAL",21/03/16,"2016008717","2016"
"4037/2016/GEN","Negociat Benestar Social","SSCB-026 Prestaciones económicas de alquiler social",21/03/16,"2016008770","2016"
"4038/2016/GEN","Unitat administrativa area urbanisme","URBA-131 Licencia obras para canalizaciones (obras e instalaciones que afecten al subsuelo)",21/03/16,"2016008878","2016"
"4039/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",21/03/16,"2016008679","2016"
"4040/2016/GEN","Negociat Benestar Social","SSCB-026 Prestaciones económicas de alquiler social",21/03/16,"2016008799","2016"
"4041/2016/GEN","Unitat Administrativa de Llicencies","URBA-102 Obras sujetas a declaración responsable",21/03/16,"2016008687","2016"
"4042/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",21/03/16,"2016008495","2016"
"4043/2016/GEN","Unitat Administrativa de Llicencies","URBA-104 Cambio de titular de actividades",21/03/16,"2016008701","2016"
"4044/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",21/03/16,"2016008195","2016"
"4045/2016/GEN","Unitat Administrativa de Llicencies","URBA-102 Obras sujetas a declaración responsable",21/03/16,"2016008704","2016"
"4046/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",21/03/16,"2016008264","2016"
"4047/2016/GEN","Negociat Benestar Social","SSCB-023 Documentación procedente de otros organismos públicos",21/03/16,"2016007805","2016"
"4048/2016/GEN","Festes i Entitats populars","FEST-001 AUTORIZACIÓN DE EVENTOS DE FIESTAS Y ENTIDADES POPULARES",21/03/16,"2016007433","2016"
"4049/2016/GEN","Festes i Entitats populars","FEST-001 AUTORIZACIÓN DE EVENTOS DE FIESTAS Y ENTIDADES POPULARES",21/03/16,"2016008389","2016"
"4050/2016/GEN","Servici de Mobilitat, Transport i relacions amb idea't","INSTÀNCIA GENERAL",21/03/16,"2016006994","2016"
"4051/2016/GEN","Festes i Entitats populars","FEST-001 AUTORIZACIÓN DE EVENTOS DE FIESTAS Y ENTIDADES POPULARES",21/03/16,"2016007529","2016"
"4052/2016/GEN","Servici de Mobilitat, Transport i relacions amb idea't","INSTÀNCIA GENERAL",21/03/16,"2016007696","2016"
"4053/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",22/03/16,"2016008304","2016"
"4054/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",22/03/16,"2016008346","2016"
"4055/2016/GEN","Divisió Tecnicoadministrativa i Documental de la Policia","POLC-013 Documentación procedente de otros organismos públicos",22/03/16,"2015038572","2016"
"4056/2016/GEN","Unitat Gestió de Personal","Proces General - RRHH",22/03/16,"-","2016"
"4057/2016/GEN","Divisió Tecnicoadministrativa i Documental de la Policia","POLC-013 Documentación procedente de otros organismos públicos",22/03/16,"2016008542","2016"
"4058/2016/GEN","Divisió Tecnicoadministrativa i Documental de la Policia","POLC-013 Documentación procedente de otros organismos públicos",22/03/16,"2016008543","2016"
"4059/2016/GEN","Divisió Tecnicoadministrativa i Documental de la Policia","INSTÀNCIA GENERAL",22/03/16,"2016007440","2016"
"4060/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",22/03/16,"2016008376","2016"
"4061/2016/GEN","Unitat Administrativa de Llicencies","URBA-102 Obras sujetas a declaración responsable",22/03/16,"2016008147","2016"
"4062/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",22/03/16,"2016008385","2016"
"4063/2016/GEN","Unitat Administrativa de Llicencies","URBA-137 Comunicación de actividad inocua",22/03/16,"2016008138","2016"
"48/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",01/12/16,"-","2016"
"4064/2016/GEN","Departament de la Dona","DONA-004 Concesión subvención y justificación de la 'Ajuda bebé'",22/03/16,"2016008817","2016"
"4065/2016/GEN","Servici de Mobilitat, Transport i relacions amb idea't","MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA",22/03/16,"2016008934","2016"
"4066/2016/GEN","Unitat Secretaria General núm. 1","UORJ-003 UTILIZACIÓN DE INSTALACIONES Y EDIFICIOS MUNICIPALES",22/03/16,"2016008923","2016"
"4067/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",22/03/16,"2016008395","2016"
"4068/2016/GEN","Secció Medi Ambient","MEDI-008 INCIDENCIAS SERVICIOS URBANOS",22/03/16,"-","2016"
"4069/2016/GEN","Unitat administrativa area urbanisme","URBA-131 Licencia obras para canalizaciones (obras e instalaciones que afecten al subsuelo)",22/03/16,"2016008916","2016"
"4070/2016/GEN","Unitat Oficina Pressupostària i Subvencions","CULT-010 Acords, convenis i subvencions",22/03/16,"-","2016"
"4071/2016/GEN","Unitat administrativa area urbanisme","URBA-131 Licencia obras para canalizaciones (obras e instalaciones que afecten al subsuelo)",22/03/16,"2016008918","2016"
"4072/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",22/03/16,"2016008529","2016"
"4073/2016/GEN","Unitat administrativa area urbanisme","URBA-131 Licencia obras para canalizaciones (obras e instalaciones que afecten al subsuelo)",22/03/16,"2016008919","2016"
"4074/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",22/03/16,"2016008607","2016"
"4075/2016/GEN","Unitat administrativa area urbanisme","URBA-131 Licencia obras para canalizaciones (obras e instalaciones que afecten al subsuelo)",22/03/16,"2016008920","2016"
"4076/2016/GEN","Unitat administrativa area urbanisme","Trámit General-Seccio Obres",22/03/16,"2016008921","2016"
"4077/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",22/03/16,"2016008624","2016"
"4078/2016/GEN","Negociat Benestar Social","SSCB-024 Ayuda para la lactancia artificial",22/03/16,"2016008821","2016"
"4079/2016/GEN","Negociat Benestar Social","SSCB-004 TELEASISTENCIA DOMICILIARIA",22/03/16,"2016008933","2016"
"4080/2016/GEN","Negociat Benestar Social","SSCB-024 Ayuda para la lactancia artificial",22/03/16,"2016008568","2016"
"4081/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",22/03/16,"2016008750","2016"
"4082/2016/GEN","Negociat Benestar Social","SSCB-024 Ayuda para la lactancia artificial",22/03/16,"2016008867","2016"
"4083/2016/GEN","Secció Medi Ambient","MEDII-012 Programes Ambientals",22/03/16,"-","2016"
"4084/2016/GEN","Negociat Benestar Social","SSCB-024 Ayuda para la lactancia artificial",22/03/16,"2016008893","2016"
"4085/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",22/03/16,"2016008751","2016"
"4086/2016/GEN","Servici de Transport, Movilitat","MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA",22/03/16,"2016007433","2016"
"4087/2016/GEN","Secció d'Obres i Edificis Públics","GBPR-002 QUEJAS Y RECLAMACIONES",22/03/16,"2015039356","2016"
"4088/2016/GEN","Negociat Benestar Social","SSCB-025 Ayudas para tratamientos médicos crónicos",22/03/16,"2016008761","2016"
"4089/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",22/03/16,"2016008780","2016"
"4090/2016/GEN","Negociat Benestar Social","SSCB-025 Ayudas para tratamientos médicos crónicos",22/03/16,"2016008846","2016"
"4091/2016/GEN","Unitat Secretaria General núm. 1","UORJI-007 Daños a bienes municipales",22/03/16,"-","2016"
"4092/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",22/03/16,"2016008798","2016"
"4093/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",22/03/16,"2016008824","2016"
"4094/2016/GEN","Gestió Cultural i Turisme","CULT-001 UTILIZACIÓN DE LAS INSTALACIONES DE L'AUDITORI DE TORRENT",22/03/16,"2016008739","2016"
"4095/2016/GEN","Unitat d'Educació","Proceso General",22/03/16,"-","2016"
"4096/2016/GEN","Departament de la Dona","DONA-004 Concesión subvención y justificación de la 'Ajuda bebé'",22/03/16,"2016008860","2016"
"4097/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",22/03/16,"2016008685","2016"
"4098/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",22/03/16,"2016008691","2016"
"4099/2016/GEN","Negociat Benestar Social","SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA",22/03/16,"-","2016"
"49/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",07/12/16,"-","2016"
"4100/2016/GEN","Servici de Transport, Movilitat","MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA",22/03/16,"2016008389","2016"
"4101/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",22/03/16,"2016008694","2016"
"4102/2016/GEN","Unitat Relacions Laborals, nòmines i Seguretat Social","Procés General - Nòmines i prevenció",22/03/16,"-","2016"
"4103/2016/GEN","Departament de la Dona","DONA-004 Concesión subvención y justificación de la 'Ajuda bebé'",22/03/16,"2016008875","2016"
"4104/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",22/03/16,"2016008695","2016"
"4105/2016/GEN","Negociat Benestar Social","SSCB-013 ACTIVIDADES DEPORTIVAS",22/03/16,"2016007878","2016"
"4106/2016/GEN","Departament de la Dona","DONA-004 Concesión subvención y justificación de la 'Ajuda bebé'",22/03/16,"2016008909","2016"
"4107/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",22/03/16,"2016008699","2016"
"4108/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",22/03/16,"2016008722","2016"
"4109/2016/GEN","Departament de la Dona","DONA-004 Concesión subvención y justificación de la 'Ajuda bebé'",22/03/16,"2016008924","2016"
"4110/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",22/03/16,"2016008736","2016"
"4111/2016/GEN","Departament de la Dona","SACD-006 RESERVA DEL SALÓN DE ACTOS DE LA CASA DE LA DONA",22/03/16,"2016009046","2016"
"4112/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",22/03/16,"2016008764","2016"
