Descripción Punto de Suministro,CUPS,"Tarifa de acceso",Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,TOTAL
LOCAL SOCIAL ALMACEN,ES0021000010476915GK,3.0A,169,183,143,121,84,292,301,742,360,274,364,377,3.411
OFICINA INFORMACION MUNICIPAL,ES0021000010712023ST,3.0A,112,98,87,109,277,98,93,109,107,89,98,95,1.373
ALUMBRADO PUBLICO,ES0021000011001318NR,3.0A,1.469,1.050,1.060,1.049,800,709,811,884,854,898,1.123,1.464,12.171
ALUMBRADO PUBLICO,ES0021000011001319NW,3.0A,1.081,780,644,668,580,502,571,693,662,698,942,946,8.767
ALUMBRADO PUBLICO,ES0021000011001324NF,3.0A,1.414,1.140,1.011,1.074,911,640,804,764,768,921,1.033,1.052,11.532
ALUMBRADO PUBLICO,ES0021000011001326ND,3.0A,2.393,1.925,1.723,1.824,1.483,1.116,1.475,1.405,1.534,1.538,1.925,1.942,20.283
ALUMBRADO PUBLICO,ES0021000011004433DB,3.0A,1.580,1.155,1.158,1.211,879,800,907,973,888,929,1.138,1.492,13.110
ALUMBRADO PUBLICO,ES0021000011004435DJ,3.0A,1.488,1.081,1.071,1.103,785,672,761,815,748,821,1.011,1.333,11.690
ALUMBRADO PUBLICO,ES0021000011147234PM,3.0A,1.390,1.037,929,911,828,599,696,798,726,781,1.047,1.097,10.838
FUENTE ILUMINADA,ES0021000011681345TX,3.0A,306,225,182,280,227,243,226,232,216,162,207,193,2.697
ALUMBRADO PUBLICO,ES0021000011873573DG,3.0A,2.551,1.784,1.667,1.661,1.419,1.100,1.203,1.155,1.430,1.618,1.614,1.892,19.093
ALUMBRADO PUBLICO,ES0021000011873632BV,3.0A,3.196,2.204,2.037,2.021,1.719,1.290,1.553,1.594,1.556,1.904,1.961,2.325,23.360
RIEGO,ES0021000011888396DS,3.0A,166,129,130,158,134,130,150,142,157,135,149,130,1.709
ALUMB. PUBLICO. PARC CENTRAL FASE B,ES0021000011981274EL,3.0A,2.815,2.269,1.959,2.143,1.770,1.205,1.607,1.450,1.428,1.701,2.157,2.185,22.689
ALUMB. PUBLICO. PARC CENTRAL. FASE B,ES0021000011981310RD,3.0A,1.777,1.267,1.255,1.351,918,824,1.007,910,843,1.170,1.284,1.621,14.226
ALUMBRADO PUBLICO,ES0021000012594438WA,3.0A,447,386,324,330,310,272,260,296,433,312,337,401,4.108
ALUMBRADO PUBLICO,ES0021000013457710EQ,3.0A,1.540,1.024,1.046,1.014,949,598,215,196,999,847,1.036,1.134,10.599
ALUMBRADO PUBLICO,ES0021000013457882FG,3.0A,1.089,935,792,816,799,706,671,212,1.319,887,1.038,1.183,10.449
ALUMBRADO PUBLICO,ES0021000013458035JL,3.0A,866,734,656,669,595,515,510,630,577,542,733,850,7.876
ALUMBRADO PUBLICO,ES0021000013458055ZQ,3.0A,438,377,529,610,527,475,422,469,496,590,689,780,6.403
FUENTE MUNICIPAL,ES0021000013493195RN,3.0A,120,108,98,111,111,108,102,117,107,104,114,111,1.310
GRUPO BOMBEO,ES0021000013506191ZJ,3.0A,213,155,142,216,185,161,198,258,205,159,163,161,2.214
ALUMBRADO PUBLICO,ES0021000015810062VC,3.0A,1.183,781,924,850,677,568,619,698,632,703,934,1.127,9.695
COLON,ES0021000016045498LM,3.0A,171,136,143,183,162,166,160,148,138,162,159,138,1.866
ALUMBRADO PUBLICO,ES0021000016219253YH,3.0A,1.907,1.412,143,2.082,962,757,863,1.012,917,1.160,1.246,1.446,13.907
ALUMBRADO PUBLICO,ES0021000016219259FR,3.0A,1.097,811,731,722,669,482,560,654,593,745,733,841,8.638
ALUMBRADO PUBLICO,ES0021000016219260FW,3.0A,2.449,1.724,1.664,1.638,1.409,1.041,1.201,1.504,1.273,1.349,1.914,1.866,19.032
ALUMBRADO PUBLICO,ES0021000016297940TE,3.0A,370,279,247,268,246,187,215,248,220,227,292,282,3.080
ALUMBRADO PUBLICO,ES0021000016326108YS,3.0A,1.408,1.096,1.120,1.128,905,812,910,905,861,1.088,1.258,1.495,12.985
MESTRE LORENZO FUERTES JULVEZ,ES0021000016352212ZZ,3.0A,571,475,491,507,539,396,523,507,523,475,507,459,5.976
ALUMBRADO PUBLICO,ES0021000016438047CJ,3.0A,569,362,407,381,323,279,307,353,317,331,445,536,4.610
ALUMBRADO PUBLICO,ES0021000016445130YN,3.0A,716,534,474,493,437,321,371,439,402,418,542,570,5.718
ALUMBRADO PUBLICO,ES0021000016461647BS,3.0A,1.054,699,798,710,602,486,543,546,576,570,768,825,8.177
ALUMBRADO PUBLICO,ES0021000016473698YZ,3.0A,831,547,617,570,490,411,443,519,474,500,641,788,6.830
ALUMBRADO PUBLICO,ES0021000016504483BW,3.0A,416,282,333,319,277,232,249,285,250,260,339,405,3.648
ALUMBRADO PUBLICO,ES0021000016698434WV,3.0A,997,681,795,691,568,498,543,626,566,598,770,938,8.271
GARAJE,ES0021000016907972MW,3.0A, , , , ,523,566,957,178,346,382,370,244,3.567
CENTRO SOCIAL XENILLET,ES0021000017801567XR,3.0A,913,852,701,853,682,756,903,555,581,521,559,570,8.446
ALUMBRADO PUBLICO,ES0021000019427797JQ,3.0A,1.327,1.187,1.322,1.436,1.347,1.282,1.168,908,845,1.281,1.415,1.721,15.237
AYTO.TORRENT ,ES0021000020263808ET,3.0A, , , , , ,2.936,579,481,503,428,466,433,5.827
AYTO.TORRENT ,ES0021000020263812EG,3.0A, , , , , ,2.175,753,681,576,484,436,410,5.514
AYTO.TORRENT ,ES0021000020263813EM,3.0A, , , , , ,1.509,892,1.066,885,449,194,190,5.186
AYTO.TORRENT ,ES0021000020263828EC,3.0A, , , , , ,2.807,1.147,1.322,1.220,827,511,525,8.358
AYTO.TORRENT ,ES0021000020263946MT,3.0A, , , , , ,6.890,2.742,3.168,2.866,1.718,1.028,1.045,19.458
ALUMBRADO PUBLICO,ES0026000010496631SE,3.0A, , , ,613,451,423,368,373,321,405,569,563,4.085
CASA CONSISTORIAL,ES0021000008527788SY,3.1A,8.326,8.043,7.781,7.004,8.321,9.649,11.848,8.887,8.329,7.018,6.916,7.877,99.999
AYUNTAMIENTO DE TORRENT,ES0021000008540684TE,3.1A,989,700,841,768,708,590,656,674,689,665,815,846,8.941
AYUNTAMIENTO DE TORRENT,ES0021000008540869DT,3.1A,682,537,521,514,496,407,458,477,464,477,564,596,6.194
AYUNTAMIENTO DE TORRENT,ES0021000008540870DR,3.1A,820,638,599,661,502,457,527,504,588,549,592,638,7.074
ALMACEN  RECOGIDA RESIDUOS SOLIDOS,ES0021000011568539VL,3.1A,4.364,3.385,3.571,4.009,3.302,3.204,4.172,3.299,3.534,3.595,4.440,5.642,46.516
DEPENDENCIAS MUNICIPALES METRO,ES0021000011802355VV,3.1A,4.918,4.727,3.962,4.617,4.927,4.448,7.329,5.590,4.771,4.101,3.701,3.387,56.476
CASA DE LA DONA,ES0021000015907729DY,3.1A,2.098,2.109,1.803,2.026,1.679,1.800,2.023,962,1.172,715,834,1.091,18.312
,,,157.904,181.248,142.361,153.557,128.265,135.339,135.788,129.708,134.248,130.143,152.899,145.977,1.727.437
