"Descripción Punto de Suministro","CUPS","Tarifa Acceso","ene.","feb.","mar.","abr.","may.","jun.","jul.","ago.","sep.","oct.","nov.","dic.","Total"
"AYTO,TORRENT-ESCUELAS","ES0021000008524832RV","3.0A",4.395,11.162,8.419,5.004,2.165,1.192,565,530,328,955,1.121,3.875,39.711
"AYTO,TORRENT-ESCUELAS NACI","ES0021000008551000NB","3.0A",3.026,3.859,3.027,0,5.708,3.092,3.876,0,8.279,2.937,3.005,3.067,39.876
"AYTO,TORRENT-FEDERACI,APAS","ES0021000008528750BW","2.0A",1.221,1.011,0,0,0,0,0,0,0,0,0,0,2.232
"AYTO,TORRENT-FEDERACI,APAS","ES0021000008528750BW","2.1A",0,0,997,1.226,1.232,1.519,1.298,1.481,1.258,1.038,0,1.618,11.667
"AYTO,TORRENT-HOGAR JUBILADO","ES0021000008536027MB","2.0A",890,348,363,464,411,330,475,437,303,357,0,658,5.036
"AYTO,TORRENT-POLICIA","ES0021000008556036RX","3.0A",19.742,16.609,17.203,15.261,12.470,12.321,16.426,20.029,14.320,15.161,13.603,17.257,190.402
"AYTO,TORRENT-SANIDAD BS","ES0021000008543155QD","3.0A",2.879,2.992,2.718,1.997,1.134,1.105,2.011,2.845,2.549,1.476,1.172,1.601,24.479
"AYTO,TORRENT-SEMAFOROS","ES0021000008531410BV","2.0DHA",250,263,197,194,218,189,182,246,196,184,0,369,2.488
"AYTO,TORRENT-SEMAFOROS","ES0021000008533915MS","2.0DHA",0,743,330,342,347,301,291,332,309,343,0,519,3.857
"AYTO,TORRENT-SEMAFOROS","ES0021000008534337RT","2.0DHA",0,182,0,166,84,56,71,87,78,80,0,121,925
"AYTO,TORRENT-SEMAFOROS","ES0021000008535732SS","2.0DHA",314,278,257,260,278,242,238,275,267,247,0,402,3.058
"AYTO,TORRENT-SEMAFOROS","ES0021000008542545NC","2.0DHA",0,37,0,21,16,18,14,17,17,18,0,26,184
"AYTO,TORRENT-SEMAFOROS","ES0021000008546409LC","2.0DHA",0,62,52,55,57,51,48,58,19,74,0,79,555
"AYTO,TORRENT-SEMAFOROS","ES0021000008551135HP","2.0DHA",128,107,94,114,102,79,87,112,84,88,0,162,1.157
"AYTO,TORRENT-SEMAFOROS","ES0021000008553161ZX","2.0DHA",306,285,258,268,296,250,255,357,278,256,0,510,3.319
"AYTO,TORRENT (CENTRO SALUD)","ES0021000008526871KD","2.0A",4,3,2,0,0,0,0,0,0,0,0,0,9
"AYTO,TORRENT (ESC,CICLISMO)","ES0021000008542672HD","2.0A",0,619,342,357,184,143,208,439,318,315,0,264,3.189
"AYTO.TORRENT-","ES0021000008524654VT","2.0DHA",0,11.387,5.025,0,7.597,0,0,6.889,6.656,0,9.315,0,46.869
"AYTO.TORRENT-","ES0021000020263808ET","3.0A",0,0,0,0,0,5.381,6.988,742,725,611,743,670,15.860
"AYTO.TORRENT-","ES0021000020263812EG","3.0A",0,0,0,0,0,5.445,9.226,3.390,3.320,2.711,2.160,2.132,28.384
"AYTO.TORRENT-","ES0021000020263813EM","3.0A",0,0,0,0,0,3.335,8.234,6.226,5.040,2.260,344,402,25.841
"AYTO.TORRENT-","ES0021000020263828EC","3.0A",0,0,0,0,0,2.373,6.290,5.359,4.609,2.575,407,791,22.404
"AYTO.TORRENT-","ES0021000020263946MT","3.0A",0,0,0,0,0,14.128,28.379,16.825,14.666,7.617,2.149,2.828,86.592
"AYTO.TORRENT-","ES0021000020666034FW","2.0A",0,0,0,0,0,8,6,7,7,7,0,11,46
"AYTO.TORRENT-","ES0021000020666042FX","2.0A",0,0,0,0,0,7,5,5,5,9,0,13,44
"AYTO.TORRENT- ALDO. POL.1","ES0021000008539476VX","3.0A",4.464,3.882,2.869,3.164,2.809,2.765,1.893,2.842,3.273,2.858,3.584,3.982,38.385
"AYTO.TORRENT-A.P.","ES0021000008525230LR","2.1DHA",0,0,2.008,0,1.564,0,1.239,1.198,0,1.590,644,0,8.243
"AYTO.TORRENT-A.P.","ES0021000008525735HT","2.0DHA",0,0,7.173,1.418,1.296,1.239,0,2.595,0,3.053,0,2.794,19.568
"AYTO.TORRENT-A.P.","ES0021000008527918CK","2.1DHA",0,3.230,0,2.472,0,1.845,1.317,0,1.878,0,2.743,0,13.485
"AYTO.TORRENT-A.P.","ES0021000008538191FJ","2.0DHA",0,8.882,0,6.897,0,6.066,0,5.292,2.914,0,6.768,0,36.819
"AYTO.TORRENT-A.P.","ES0021000008538215PZ","2.0DHA",0,804,0,5.298,0,4.684,0,4.247,2.297,0,5.180,0,22.510
"AYTO.TORRENT-A.P.","ES0021000008538249XW","2.0DHA",0,10.271,0,7.883,0,7.314,0,6.622,3.613,0,8.298,0,44.001
"AYTO.TORRENT-A.P.","ES0021000008538280BX","2.0DHA",0,1.543,0,4.077,2.059,1.631,1.815,1.854,1.792,1.658,0,3.364,19.793
"AYTO.TORRENT-A.P.","ES0021000008538366SG","2.1DHA",0,722,3.578,3.139,3.056,2.801,2.778,2.229,2.987,3.815,0,5.772,30.877
"AYTO.TORRENT-A.P.","ES0021000008540639ET","2.1DHA",0,0,13.949,12.747,0,10.787,0,3.062,374,395,0,759,42.073
"AYTO.TORRENT-A.P.","ES0021000008544201SC","2.0DHA",0,2.220,0,3.270,1.378,1.054,1.162,1.448,1.526,1.596,0,3.078,16.732
"AYTO.TORRENT-A.P.","ES0021000008551511BQ","3.0A",13.047,9.582,8.279,8.775,7.834,5.502,6.314,7.708,7.129,7.837,10.977,11.295,104.279
"AYTO.TORRENT-A.P.","ES0021000008553012FE","2.0DHA",583,515,413,400,365,300,291,396,354,385,0,857,4.859
"AYTO.TORRENT-A.P.","ES0021000008554144BG","2.1DHA",0,0,0,0,0,9.099,4.928,5.654,5.326,7.724,0,11.927,44.658
"AYTO.TORRENT-A.P.","ES0021000008554642DL","2.0DHA",11.566,0,15.773,0,12.851,0,11.331,0,10.857,0,14.509,0,76.887
"AYTO.TORRENT-A.P.","ES0021000008557538CV","2.1DHA",7.816,6.375,5.290,6.566,4.768,4.076,3.718,4.081,4.864,5.030,0,9.623,62.207
"AYTO.TORRENT-A.P.","ES0021000008559384DT","2.1DHA",0,7.507,0,0,0,3.115,0,5.469,2.938,3.411,0,6.782,29.222
"AYTO.TORRENT-A.P.","ES0021000008561243CL","2.1DHA",0,3.087,0,5.971,2.488,1.891,2.287,3.016,2.610,3.083,0,5.824,30.257
"AYTO.TORRENT-A.P.","ES0021000008561487PX","2.0DHA",0,3.087,0,4.186,1.854,1.332,1.549,1.637,1.770,2.230,0,3.588,21.233
"AYTO.TORRENT-A.P.-M.CHAPI","ES0021000008555148PL","2.0DHA",3.360,2.888,2.177,2.047,2.020,1.405,1.611,2.128,1.953,2.600,0,4.201,26.390
"AYUNTAMIENTO DE TORRENT","ES0021000008540684TE","3.1A",7.769,5.541,6.687,5.954,5.440,4.382,4.643,5.008,5.302,5.261,6.472,6.836,69.295
"AYUNTAMIENTO DE TORRENT","ES0021000008540869DT","3.1A",5.141,3.874,3.719,3.478,3.360,2.589,3.277,3.122,3.537,3.435,4.051,4.431,44.013
"AYUNTAMIENTO DE TORRENT","ES0021000008540870DR","3.1A",5.755,5.387,4.970,5.414,4.089,3.613,4.484,3.981,5.494,4.659,5.039,5.471,58.355
"AYUNTAMIENTO DE TORRENT-A.P","ES0021000008554806QE","2.1DHA",0,5.429,0,8.030,4.324,3.698,3.654,5.638,4.559,6.056,0,10.352,51.740
"AYUNTAMIENTO TORRENTE-A.P.","ES0021000008555080MC","2.0DHA",0,4.858,0,3.428,0,1.927,0,1.281,0,0,0,7.822,19.316
"BAR","ES0021000008550639LH","2.0A",179,199,157,157,129,144,139,218,175,203,0,357,2.057
"BIBLIOTECA EL VEDAT","ES0021000008535179ZZ","2.1A",0,2.351,0,1.117,0,1.191,0,2.422,0,2.364,0,829,10.274
"C.P ANTONIO MACHADO","ES0021000008536629PS","3.0A",6.155,6.244,7.631,5.745,5.413,5.554,5.046,3.704,2.785,4.275,4.521,5.692,62.765
"C.P EL MOLÍ","ES0021000008538906SS","3.0A",4.856,5.320,6.123,4.458,4.417,4.531,3.462,1.760,1.937,3.673,4.137,4.448,49.122
"C.P FEDERICO MAICAS","ES0021000008543802KN","3.0A",7.467,8.319,8.415,6.681,5.830,5.970,4.892,3.592,3.019,5.688,6.195,8.033,74.101
"C.P MIGUEL HERNÁNDEZ","ES0021000008542883GJ","3.0A",4.769,5.151,5.917,4.525,4.490,5.175,4.484,3.040,3.235,4.407,4.580,5.928,55.701
"C.P SAN JUAN BAUTISTA","ES0021000008548377JX","3.0A",6.019,6.922,7.496,0,8.728,3.713,3.280,0,3.655,3.598,3.898,7.034,54.343
"C.P SAN PASCUAL","ES0021000008527232ZW","3.0A",11.165,12.989,12.470,8.467,6.728,5.519,5.068,2.731,1.870,5.255,6.201,9.006,87.469
"C.P VIRGEN DEL ROSARIO","ES0021000008525258CY","3.0A",4.300,4.761,5.413,0,8.179,3.651,2.876,0,3.627,3.012,3.812,4.092,43.723
"C.P. JUAN XXIII ALTER","ES0021000008529830NR","3.0A",5.575,7.324,6.724,5.941,5.435,4.616,3.412,2.531,1.972,5.533,0,10.482,59.545
"C/ A SECTOR 2, S/N MASIA DEL JUEZ","ES0026000010224226VY","2.1A",0,0,0,4.669,3.489,3.245,2.635,3.235,3.609,3.586,4.329,4.601,33.398
"C/ BURGOS (PANTANO), 1, Bajo","ES0021000020252581QC","2.1A",0,0,0,0,0,0,313,55,95,173,0,374,1.010
"C/ GASPAR NAVARRO PILES, 5-BIS","ES0021000016759786WM","2.0A",0,0,0,25,12,12,10,15,12,11,0,20,117
"C/ MALVARROSA, 38-BIS","ES0021000020666022YJ","2.0A",0,0,0,0,0,4,5,6,6,7,0,11,39
"CAMPO DE FUTBOL","ES0021000008529831NW","3.0A",4.152,0,0,0,0,0,0,0,0,0,0,0,4.152
"CAMPO TIRO CALICANTO","ES0021000011282414CZ","2.1A",2.912,0,0,999,0,2.318,1.184,2.018,0,1.939,0,1.057,12.427
"CASA CONSISTORIAL","ES0021000008527788SY","3.1A",63.237,65.339,61.655,59.978,50.880,56.395,65.814,81.448,64.590,61.139,51.326,51.352,733.153
"CASA CULTURA","ES0021000008552180VH","3.0A",8.134,9.761,7.371,5.288,3.541,5.364,11.538,8.202,7.057,4.441,2.894,4.757,78.348
"CASA DE LA DONA","ES0021000015907729DY","3.1A",8.074,9.877,8.236,7.515,5.744,6.630,7.160,6.407,5.996,3.762,4.648,6.784,80.833
"CENTRO JUVENIL ""LA TORTUGA""","ES0021000008542139HM","2.0A",0,247,116,65,54,63,51,26,14,37,0,116,789
"CENTRO MAYORES VG. EL OLIVAR","ES0021000008546571AK","3.0A",6.548,5.585,5.238,5.445,3.869,4.258,5.183,5.730,5.098,4.268,4.118,4.516,59.856
"CENTRO PERMANENTE DE ADULTOS","ES0021000008556894SV","2.1A",1.896,2.761,2.169,1.446,2.111,1.859,568,535,0,0,0,0,13.345
"CENTRO PERMANENTE DE ADULTOS","ES0021000008556894SV","3.0A",0,0,0,0,0,0,0,0,250,2.083,2.046,2.987,7.366
"CENTRO SOCIAL XENILLET","ES0021000017801567XR","3.0A",5.538,5.345,4.248,4.946,3.712,4.292,5.019,3.946,4.149,3.868,4.136,4.225,53.424
"CLUB","ES0021000008550644CT","2.1A",3.415,3.100,2.240,2.372,2.327,2.221,3.118,3.961,1.716,2.101,0,3.450,30.021
"COLON","ES0021000016045498LM","3.0A",98,79,146,290,277,352,142,80,0,300,226,100,2.090
"CONSULT, MEDICO AUXILIAR, MUNICIPAL","ES0021000008554938EQ","3.0A",2.170,2.003,1.736,1.479,1.176,1.766,2.436,2.733,1.844,1.601,1.058,1.535,21.537
"CONTENEDORES DE BASURA","ES0021000013665463QX","2.0A",0,5,0,4,3,0,2,0,3,0,3,0,20
"DE L'ERA","ES0021000016190307JY","2.1A",0,25,10,13,11,10,9,11,11,10,0,19,129
"DEPEND,  MUNICIPALES -PROTECCION CIVIL","ES0021000008554451RN","2.0A",0,0,2.566,744,400,430,740,1.260,533,366,0,379,7.418
"DEPENDENCIA MUNICIPAL","ES0021000008541045QS","2.0A",0,0,0,0,0,0,0,0,0,12,0,21,33
"DEPENDENCIA MUNICIPAL","ES0021000010374280GN","2.0A",0,203,276,303,144,48,89,150,49,51,0,452,1.765
"DEPENDENCIAS MUNICIPALES","ES0021000008536973TZ","2.0A",0,4.311,0,4.559,2.401,2.497,2.636,3.338,0,0,0,0,19.742
"DEPENDENCIAS MUNICIPALES","ES0021000008536973TZ","3.0A",0,0,0,0,0,0,0,0,3.088,2.674,2.477,2.763,11.002
"DEPENDENCIAS MUNICIPALES METRO","ES0021000011802355VV","3.1A",29.666,31.380,24.323,26.602,30.014,30.589,51.593,43.656,28.427,28.449,25.060,23.180,372.939
"ELEVACION CONTENEDORES RESIDUOS ORGAN,","ES0021000008548155AH","2.0A",77,0,170,35,68,67,69,0,112,6,0,169,773
"ESCUELA M, PETRA","ES0021000008554903KG","2.0A",0,190,0,1.047,428,278,240,229,226,459,0,1.159,4.256
"FELIPE II (UR CUMBRES CALICANTO)","ES0021000015983219WX","2.0A",337,0,0,135,0,376,0,441,384,0,299,0,1.972
"FUENTE ILUMINADA","ES0021000011681345TX","3.0A",1.714,1.109,823,1.489,1.164,1.283,1.123,1.080,1.036,637,1.005,887,13.350
"FUENTE MUNICIPAL","ES0021000013493195RN","3.0A",63,55,50,56,58,56,53,59,52,50,56,55,663
"GARAJE","ES0021000016907972MW","3.0A",0,0,0,0,1.444,2.177,3.136,0,1.020,754,722,363,9.616
"GOMEZ FERRER","ES0021000017353336WV","2.0A",4,2,2,2,2,1,2,1,2,1,0,2,21
"GRUPO BOMBEO","ES0021000013506191ZJ","3.0A",284,205,195,294,270,225,252,335,303,250,310,223,3.146
"JESUS","ES0021000018275640JK","2.0A",3,2,2,2,2,2,2,2,3,2,0,0,22
"JUZGADO NUMERO 7","ES0021000008561094ZP","3.0A",3.588,3.824,3.199,2.834,2.281,2.071,3.512,5.229,3.775,3.086,2.074,2.504,37.977
"LOCAL SOCIAL","ES0021000008544498MH","2.0A",10,13,22,23,27,22,16,16,19,19,0,34,221
"LOCAL SOCIAL-ALMACEN","ES0021000010476915GK","2.0A",920,0,0,0,0,0,0,0,0,0,0,0,920
"LOCAL SOCIAL-ALMACEN","ES0021000010476915GK","3.0A",0,5.152,784,620,429,733,849,917,1.293,907,1.173,1.662,14.519
"MASIA DEL JUEZ","ES0021000016373121AQ","2.0A",932,862,2,0,0,75,7,0,1.316,286,0,1.235,4.715
"MERCADO MUNICIPAL Y CENTS, JUV. SAN GREGORIO","ES0021000008542138HG","2.0A",2.793,0,0,0,0,0,0,0,0,0,0,0,2.793
"MERCADO MUNICIPAL Y CENTS, JUV. SAN GREGORIO","ES0021000008542138HG","3.0A",0,2.251,2.200,1.258,342,2.693,4.700,5.300,0,0,7.097,2.748,28.589
"MERCADO PROVISIONAL","ES0021000018156029BX","3.0A",2.148,0,766,235,321,0,0,0,0,0,0,0,3.470
"MESTRE LORENZO FUERTES JULVEZ","ES0021000016352212ZZ","3.0A",0,0,0,0,0,0,0,0,0,0,0,0,0
"MUSICO JOSE ORTI SORIANO","ES0021000017353370GM","2.0A",49,52,39,38,43,34,35,42,40,37,0,62,471
"OFICINA DEL AYUNTAMIENTO","ES0021000008542775EC","3.0A",1.141,970,1.036,1.055,984,1.199,1.504,1.879,1.316,1.114,841,1.085,14.124
"OFICINA INFORMACION MUNICIPAL","ES0021000010712023ST","3.0A",0,0,0,0,1.443,0,0,0,0,0,0,0,1.443
"PARC CENTRAL, BOMBEO, FASE B","ES0021000012001813HL","2.1A",1.098,495,0,0,1.185,1.150,1.491,2.561,1.087,774,0,1.051,10.892
"Ptda MASIA DEL JUEZ, 8-1 46080","ES0021000008525242LJ","2.0DHA",0,0,3.606,0,2.645,0,2.201,2.115,0,2.929,0,0,13.496
"Ptda MASIA DEL JUEZ, 8-1 46080","ES0021000008525245LJ","2.0DHA",0,0,0,0,0,0,2.201,0,0,0,0,0,2.201
"Ptda MASIA DEL JUEZ, 8-1 46080","ES0021000017712829CJ","2.0DHA",0,0,0,0,0,0,699,0,0,0,0,0,699
"RIEGO","ES0021000011888396DS","3.0A",34,5,9,41,7,15,35,8,67,19,140,10,390
"SAN FERMIN","ES0021000016759796WS","2.0A",0,27,12,12,12,13,11,12,11,10,0,20,140
"SAN JUSTO","ES0021000017396257MC","2.0A",0,17,8,8,6,7,6,10,7,7,0,10,86
"SAN VALERIANO","ES0021000017122256YH","2.0A",0,4,0,38,18,14,15,21,17,15,0,23,165
"SEMAFOROS","ES0021000011527680NP","2.0DHA",113,118,88,92,98,85,83,97,95,88,0,146,1.103
"SERVICIOS GENERALES","ES0021000008524067ZB","2.0A",0,0,7.439,2.734,2.467,2.473,4.259,2.257,2.497,3.249,0,4.152,31.527
"SERVICIOS GENERALES","ES0021000008524078ZE","2.0A",0,0,6.505,0,4.803,0,3.560,1.512,3.529,0,5.229,0,25.138
"SERVICIOS GENERALES","ES0021000008524269TY","2.1DHA",0,0,12.198,0,9.216,0,7.388,7.085,0,6.896,0,6.556,49.339
"VALENCIA","ES0021000016122274EF","2.0A",1.919,1.719,1.358,0,0,0,0,0,0,0,0,0,4.996
"VALENCIA","ES0021000016122274EF","2.1A",0,0,0,1.076,1.253,1.212,1.265,1.556,1.206,1.179,0,1.948,10.695
"VIRGEN DE LA PAZ","ES0021000017374817QQ","2.0A",0,99,43,48,41,45,37,43,42,39,0,66,503
,,,1.202.327,1.212.215,1.069.043,1.142.795,967.554,875.585,990.944,967.600,1.001.755,992.050,909.462,1.318.198,12.649.528
