Descripción Punto de Suministro,CUPS,"Tarifa de acceso",Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,TOTAL
AYTO.TORRENT SANIDAD BS,ES0021000008543155QD,3.0A,2.776,3.136,2.692,2.002,1.154,1.156,1.844,2.186,2.036,2.030,1.186,1.549,23.747
C.P FEDERICO MAICAS,ES0021000008543802KN,3.0A,6.215,8.673,8.488,7.919,5.047,6.354,5.031,2.732,3.204,6.196,6.749,7.018,73.626
ALUMBRADO PUBLICO,ES0021000008543946GH,3.0A,8.397,7.591,7.809,6.421,4.608,4.404,5.665,5.701,6.534,6.695,8.497,7.182,79.504
ALUMBRADO PUBLICO,ES0021000008544603XP,3.0A,3.561,3.443,3.273,3.122,2.555,2.262,2.161,2.460,2.528,3.055,4.381,3.306,36.107
CENTRO MAYORES VG. EL OLIVAR,ES0021000008546571AK,3.0A,6.545,5.598,5.205,4.709,4.073,3.744,4.358,4.968,4.602,5.627,4.563,4.743,58.735
C.P SAN JUAN BAUTISTA,ES0021000008548377JX,3.0A,4.410,7.074,6.352,5.306,3.517,4.186,3.010, ,3.619,3.969,4.717,5.091,51.251
ALUMBRADO PUBLICO,ES0021000008548648WM,3.0A,17.492,15.671,15.099,14.982,12.538,10.980,11.280,11.206,13.645,13.603,16.363,15.308,168.167
ALUMBRADO PUBLICO,ES0021000008548891NH,3.0A,7.328,6.018,5.515,4.832,4.666,3.505,3.447,4.036,4.131,5.068,5.721,5.465,59.732
ALUMBRADO PUBLICO,ES0021000008549040LY,3.0A,4.645,3.443,3.433,3.431,2.598,2.301,2.109,2.661,2.737,2.805,3.789,3.455,37.407
ALUMBRADO PUBLICO,ES0021000008549871DD,3.0A,14.614,13.198,12.703,12.588,10.507,9.188,9.392,9.591,11.763,11.631,14.020,13.014,142.209
AYTO.TORRENT ESCUELAS NACI,ES0021000008551000NB,3.0A,3.412,3.102,3.261,3.434,2.721,3.276,3.494,4.350,3.790,3.301,3.755,2.478,40.374
AYTO.TORRENT A.P.,ES0021000008551511BQ,3.0A,10.266,8.356,8.100,8.223,6.936,5.921,6.156,5.457,7.591,8.614,9.799,8.430,93.849
AYTO.TORRENT AS.ALCOHOL.REH,ES0021000008552004XA,3.0A, ,2.592, , , ,2.293, ,1.552, ,688, ,23,7.148
CASA CULTURA,ES0021000008552180VH,3.0A,7.777,9.560,6.778,5.262,3.869,5.630,8.811,8.026,7.729,6.912,4.156,4.079,78.589
ALUMBRADO PUBLICO,ES0021000008553359TR,3.0A,12.622,11.035,10.544,10.444,8.568,7.485,7.639,7.642,9.497,9.417,10.885,10.518,116.296
CONSULT. MEDICO AUXILIAR. MUNICIPAL,ES0021000008554938EQ,3.0A,1.443,1.761,1.800,1.425,1.061,1.481,2.379,2.391,2.413,2.004,1.760,1.200,21.118
AYTO.TORRENT CORREOS,ES0021000008554942EC,3.0A, ,4.272, ,2.369, ,1.099, ,2.064, ,1.483, , ,11.287
AYTO.TORRENT POLICIA,ES0021000008556036RX,3.0A,18.145,16.643,14.923,14.413,11.986,12.775,15.663,19.311,15.462,17.374,14.489,13.335,184.519
ALUMBRADO PUBLICO,ES0021000008556523EZ,3.0A,17.028,14.193,13.120,11.828,12.100,9.330,9.216,10.812,10.581,13.039,13.858,13.223,148.328
CENTRO PERMANENTE DE ADULTOS,ES0021000008556894SV,3.0A, ,7.209, ,6.674, ,4.955, ,2.629, ,3.278, ,3.412,28.157
ALUMBRADO PUBLICO,ES0021000008559157EA,3.0A,10.591,9.566,9.162,9.138,7.585,6.811,6.975,6.825,8.459,8.423,10.069,9.584,103.188
JUZGADO NUMERO 7,ES0021000008561094ZP,3.0A,3.181,3.044,3.099,2.529,1.861,2.083,3.478,3.510,3.416,3.602,2.479,2.167,34.449
ALUMBRADO PUBLICO,ES0021000008561510DX,3.0A,7.647,6.260,6.050,6.266,5.371,4.583,5.155,4.359,5.669,5.702,7.307,6.033,70.402
ALUMBRADO PUBLICO,ES0021000008562719QT,3.0A,26.823,17.507,19.654,18.891,16.509,13.909,15.172,12.717,17.925,17.380,23.289,19.702,219.478
ALUMBRADO PUBLICO,ES0021000008562737QH,3.0A,7.371,4.956,5.488,5.285,4.600,3.894,4.332,3.653,4.957,4.940,6.152,5.289,60.917
LOCAL SOCIAL ALMACEN,ES0021000010476915GK,3.0A,4.176, ,1.133, ,1.503, ,1.975, ,1.521, , ,2.125,12.433
OFICINA INFORMACION MUNICIPAL,ES0021000010712023ST,3.0A,69,59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,734,0.00,0.00,862
ALUMBRADO PUBLICO,ES0021000011001318NR,3.0A,11.093,9.879,9.564,9.553,7.701,6.832,7.023,6.956,8.495,8.887,10.673,10.034,106.690
ALUMBRADO PUBLICO,ES0021000011001319NW,3.0A,6.781,5.527,5.439,5.166,4.443,3.750,4.129,3.661,4.810,5.032,6.631,5.643,61.012
ALUMBRADO PUBLICO,ES0021000011001324NF,3.0A,12.219,8.936,8.878,7.983,8.084,6.664,7.092,6.122,7.587,8.471,9.565,9.202,100.803
ALUMBRADO PUBLICO,ES0021000011001326ND,3.0A,20.596,15.352,14.558,13.806,13.930,11.410,12.103,10.936,12.912,14.394,16.289,15.594,171.880
ALUMBRADO PUBLICO,ES0021000011004433DB,3.0A,10.283,9.248,8.836,8.777,7.266,6.471,6.530,6.631,8.026,7.920,9.679,10.173,99.840
ALUMBRADO PUBLICO,ES0021000011004435DJ,3.0A,10.861,9.827,9.425,9.487,7.823,6.803,7.088,7.226,8.735,8.534,10.171,9.558,105.538
ALUMBRADO PUBLICO,ES0021000011147234PM,3.0A,9.285,6.149,6.671,6.885,7.230,5.837,6.797,5.852,7.529,7.481,9.927,7.457,87.100
FUENTE ILUMINADA,ES0021000011681345TX,3.0A,1.773,1.158,1.140,1.374,820,1.051,1.122,1.335,1.448,1.106,1.683,1.344,15.354
ALUMBRADO PUBLICO,ES0021000011873573DG,3.0A,17.362,14.771,13.597,14.453,11.613,9.901,11.606,9.993,12.010,12.977,17.150,12.603,158.036
ALUMBRADO PUBLICO,ES0021000011873632BV,3.0A,22.880,19.480,17.517,18.828,15.139,12.916,15.053,13.071,16.910,16.645,21.676,16.527,206.642
RIEGO,ES0021000011888396DS,3.0A,12,5,13,17,10,7,51,93,7,345,8,65,633
ALUMB. PUBLICO. PARC CENTRAL FASE B,ES0021000011981274EL,3.0A,25.461,19.109,18.901,16.675,17.427,14.140,14.718,11.569,15.066,16.744,18.473,18.060,206.343
ALUMB. PUBLICO. PARC CENTRAL. FASE B,ES0021000011981310RD,3.0A,12.041,11.358,10.808,10.945,9.072,8.165,7.751,9.231,9.027,10.637,11.777,10.747,121.559
ALUMBRADO PUBLICO,ES0021000012594438WA,3.0A,3.834,2.845,2.844,2.578,2.374,2.326,1.877,2.272,3.300,2.407,3.241,3.007,32.905
ALUMBRADO PUBLICO,ES0021000013457710EQ,3.0A,17.476,10.852,11.495,12.468,9.025,8.922,7.745,8.266,9.141,9.236,12.693,13.359,130.678
ALUMBRADO PUBLICO,ES0021000013457882FG,3.0A,4.876,0.00,0.00,2.661,765,687,408,1.715,2.522,2.400,3.394,6.715,26.143
ALUMBRADO PUBLICO,ES0021000013458035JL,3.0A,9.130,5.723,5.377,6.084,3.227,3.396,2.693,3.601,4.849,5.241,6.347,6.195,61.863
ALUMBRADO PUBLICO,ES0021000013458055ZQ,3.0A,9.461,5.838,5.972,6.047,4.302,4.594,3.515,3.940,3.266,1.608,1.738,2.011,52.292
FUENTE MUNICIPAL,ES0021000013493195RN,3.0A,2.968,1.914,2.146,2.578,1.996,778,61,56,57,49,60,50,12.713
GRUPO BOMBEO,ES0021000013506191ZJ,3.0A,136,93,123,165,125,164,511,336,462,461,197,256,3.029
ALUMBRADO PUBLICO,ES0021000015810062VC,3.0A,6.206,5.645,6.127,0.00,0.00,0.00,0.00,0.00,9.267,5.106,8.460,7.129,47.940
COLON,ES0021000016045498LM,3.0A,230,559,437,120,141,97,86,93,120,141,354,280,2.658
ALUMBRADO PUBLICO,ES0021000016219253YH,3.0A,15.370,9.620,10.263,8.204,8.513,8.037,9.402,8.083,10.549,10.361,13.723,10.124,122.249
ALUMBRADO PUBLICO,ES0021000016219259FR,3.0A,8.847,5.714,6.095,5.916,5.338,4.496,5.238,4.504,5.920,5.850,7.661,5.816,71.395
ALUMBRADO PUBLICO,ES0021000016219260FW,3.0A,18.404,12.228,14.128,14.260,11.822,9.460,10.929,9.270,13.701,13.552,17.830,13.264,158.848
ALUMBRADO PUBLICO,ES0021000016297940TE,3.0A,2.194,1.802,1.785,1.846,1.633,1.334,1.497,1.277,1.628,1.698,1.931,1.606,20.231
ALUMBRADO PUBLICO,ES0021000016326108YS,3.0A,8.729,7.896,7.583,7.493,6.239,5.433,5.204,5.886,6.194,7.482,9.089,9.059,86.287
MESTRE LORENZO FUERTES JULVEZ,ES0021000016352212ZZ,3.0A,5.747,815,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.562
ALUMBRADO PUBLICO,ES0021000016438047CJ,3.0A,4.094,3.753,3.891,3.343,3.028,2.563,2.764,2.784,3.156,3.151,3.923,3.182,39.632
ALUMBRADO PUBLICO,ES0021000016445130YN,3.0A,5.293,4.391,4.260,4.362,3.695,3.082,3.463,2.948,3.824,3.892,4.415,3.995,47.620
ALUMBRADO PUBLICO,ES0021000016461647BS,3.0A,7.884,7.032,6.990,5.794,5.608,4.545,4.838,5.001,4.805,5.784,7.247,5.941,71.469
ALUMBRADO PUBLICO,ES0021000016473698YZ,3.0A,4.643,4.255,4.388,3.756,3.349,3.559,3.932,3.969,4.558,4.692,6.088,5.021,52.210
ALUMBRADO PUBLICO,ES0021000016504483BW,3.0A,2.556,2.307,2.380,2.064,1.873,1.574,1.713,1.726,1.964,1.990,2.547,2.097,24.791
ALUMBRADO PUBLICO,ES0021000016698434WV,3.0A,7.135,6.635,7.180,5.451,5.278,4.475,4.930,5.009,5.685,5.826,7.444,6.293,71.341
GARAJE,ES0021000016907972MW,3.0A, , , , , , , , , , , , ,0.00
CENTRO SOCIAL XENILLET,ES0021000017801567XR,3.0A,5.527,4.282,4.443,4.859,3.539,3.117,3.671,4.022,3.302,4.125,4.661,4.117,49.665
MERCADO PROVISIONAL,ES0021000018156029BX,3.0A, , , , , ,36.627,7.773,9.481,8.834,7.996,5.574,3.481,79.766
ALUMBRADO PUBLICO,ES0021000019427797JQ,3.0A, ,9.735,7.443,7.316,5.137,7.209,15.254,11.011,11.903,6.216,5.704,5.748,92.676
AYTO.TORRENT ,ES0021000020263808ET,3.0A, , , , , , , , , , , , ,0.00
AYTO.TORRENT ,ES0021000020263812EG,3.0A, , , , , , , , , , , , ,0.00
AYTO.TORRENT ,ES0021000020263813EM,3.0A, , , , , , , , , , , , ,0.00
AYTO.TORRENT ,ES0021000020263828EC,3.0A, , , , , , , , , , , , ,0.00
AYTO.TORRENT ,ES0021000020263946MT,3.0A, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0026000010496631SE,3.0A, , , , , , , , , , , , ,0.00
CASA CONSISTORIAL,ES0021000008527788SY,3.1A,55.491,52.609,51.608,44.199,50.206,58.339,66.098,62.824,66.563,58.024,51.124,60.115,677.200
AYUNTAMIENTO DE TORRENT,ES0021000008540684TE,3.1A,6.821,6.147,5.995,5.011,4.743,3.854,4.099,4.203,5.338,5.533,6.903,5.501,64.148
AYUNTAMIENTO DE TORRENT,ES0021000008540869DT,3.1A,4.305,4.636,4.658,3.735,3.671,3.108,3.419,3.316,4.389,3.979,4.879,4.732,48.827
AYUNTAMIENTO DE TORRENT,ES0021000008540870DR,3.1A,7.545,5.795,5.537,4.944,4.959,3.807,3.784,4.380,4.700,5.918,6.244,5.728,63.342
ALMACEN  RECOGIDA RESIDUOS SOLIDOS,ES0021000011568539VL,3.1A,16.300,14.865,14.695,16.953,14.812,14.603,16.442,16.514,15.469,18.471,16.143,16.122,191.389
DEPENDENCIAS MUNICIPALES METRO,ES0021000011802355VV,3.1A,29.479,30.613,29.436,25.038,26.611,35.230,51.580,35.262,30.035,30.096,35.917,31.380,390.677
CASA DE LA DONA,ES0021000015907729DY,3.1A,7.674,7.012,7.503,7.065,3.786,4.829,5.907,5.446,5.262,6.071,6.424,6.001,72.980
,,,977.034,1.531.873,813.557,1.221.647,716.754,1.126.824,675.973,1.030.806,753.177,1.245.442,891.799,1.298.895,12.283.782
