"Descripción Punto de Suministro","CUPS","Tarifa Acceso","ene.","feb.","mar.","abr.","may.","jun.","jul.","ago.","sep.","oct.","nov.","dic.","total"
"AYTO TORRENT-SEMAFOROS","ES0021000008540167RB","2.0DHA","69,73","50,92","34,01","49,83","50,91","39,87","44,15","48,06","53,50","45,63","54,33","51,69","592,63"
"AYTO, TORRENT-A,P,","ES0021000008536138XF","2.0DHA","25,79","19,75","16,97","19,40","16,24","18,68","18,94","19,88","22,23","19,09","23,29","21,38","241,64"
"AYTO,TORRENT- ASOC,MUJERES","ES0021000008528605GH","2.1A","45,48","40,49","37,88","35,27","37,88","48,82","40,33","44,42","80,76","58,66","45,72","31,35","547,06"
"AYTO,TORRENT- CENTRO DE ADULTOS","ES0021000008528634YR","2.0A","13,39","12,57","11,77","10,95","11,77","12,98","13,80","0,00","0,00","0,00","0,00","0,00","87,23"
"AYTO,TORRENT- CENTRO SALUD","ES0021000008551746KK","2.1A","155,21","185,50","177,68","154,75","129,78","119,88","115,30","140,91","101,54","112,89","148,67","168,41","1.710,52"
"AYTO,TORRENT-AS,ALCOHOL,REH","ES0021000008552004XA","3.0A","249,22","211,66","290,99","250,05","138,12","212,33","217,83","279,01","197,19","206,78","207,94","226,66","2.687,78"
"AYTO,TORRENT-ASOC,ANDALUZA","ES0021000008528530RN","2.1A","229,25","188,50","156,64","160,48","152,56","193,25","275,42","142,72","284,31","226,14","260,02","190,21","2.459,50"
"AYTO,TORRENT-C,SOCIAL-CULTU","ES0021000008543518DG","2.0A","45,90","47,85","32,83","44,85","51,09","42,99","40,18","51,92","44,02","36,95","54,39","55,51","548,48"
"AYTO,TORRENT-CENTRO SOCIAL","ES0021000008531111KV","3.0A","498,08","375,68","388,38","399,38","297,19","335,67","386,31","409,53","302,31","358,57","316,86","359,00","4.426,96"
"AYTO,TORRENT-COLEG,PUBLICO","ES0021000008527235ZM","3.0A","931,77","894,76","958,10","834,71","815,29","918,56","864,61","608,40","660,40","1.495,60","955,55","2.674,06","12.611,81"
"AYTO,TORRENT-COLEG,PUBLICO","ES0021000008541363FB","3.0A","828,52","743,77","873,64","692,59","703,48","819,30","843,59","687,11","755,97","815,94","833,17","842,30","9.439,38"
"AYTO,TORRENT-CORREOS","ES0021000008554942EC","3.0A","433,73","235,67","293,13","282,51","239,90","213,14","290,24","270,71","309,73","237,34","235,81","169,04","3.210,95"
"AYTO,TORRENT-ESCUELAS","ES0021000008524832RV","3.0A","1.035,92","1.169,89","1.121,38","803,64","733,14","426,35","214,50","183,75","184,29","224,60","254,79","602,79","6.955,04"
"AYTO,TORRENT-ESCUELAS NACI","ES0021000008551000NB","3.0A","527,78","502,15","496,86","499,74","423,19","509,71","555,00","626,25","528,88","522,42","509,11","491,15","6.192,24"
"AYTO,TORRENT-FEDERACI,APAS","ES0021000008528750BW","2.1A","222,50","193,42","187,32","211,56","225,03","257,59","272,09","288,46","311,88","250,55","266,11","224,73","2.911,24"
"AYTO,TORRENT-HOGAR JUBILADO","ES0021000008536027MB","2.0A","102,49","46,94","58,54","59,20","37,27","76,65","60,31","52,24","36,56","79,05","59,82","95,00","764,07"
"AYTO,TORRENT-POLICIA","ES0021000008556036RX","3.0A","1.689,46","1.693,62","1.822,76","1.886,23","1.432,83","1.600,86","1.708,12","1.762,26","1.681,26","1.600,81","1.518,76","1.538,74","19.935,71"
"AYTO,TORRENT-SANIDAD BS","ES0021000008543155QD","3.0A","356,01","324,29","317,87","328,49","246,56","278,98","348,20","448,70","424,62","377,57","280,47","329,09","4.060,85"
"AYTO,TORRENT-SEMAFOROS","ES0021000008531410BV","2.0DHA","30,81","21,11","27,78","25,73","17,33","24,88","29,07","25,15","26,33","25,93","28,03","24,63","306,78"
"AYTO,TORRENT-SEMAFOROS","ES0021000008533915MS","2.0DHA","56,11","32,98","32,35","44,36","24,88","37,57","36,10","45,03","40,09","36,50","46,13","42,43","474,53"
"AYTO,TORRENT-SEMAFOROS","ES0021000008534337RT","2.0DHA","15,51","12,48","11,17","12,77","10,84","12,31","12,03","12,38","13,54","11,90","14,16","12,95","152,04"
"AYTO,TORRENT-SEMAFOROS","ES0021000008535732SS","2.0DHA","40,28","23,03","22,68","27,04","27,95","21,27","27,01","29,05","31,29","28,68","33,66","30,90","342,84"
"AYTO,TORRENT-SEMAFOROS","ES0021000008542545NC","2.0DHA","12,89","14,42","13,51","18,02","13,32","13,55","14,46","11,79","15,97","13,67","13,99","13,37","168,96"
"AYTO,TORRENT-SEMAFOROS","ES0021000008546409LC","2.0DHA","13,20","10,51","7,53","6,57","6,17","10,89","9,62","11,87","10,22","10,12","11,77","10,33","118,80"
"AYTO,TORRENT-SEMAFOROS","ES0021000008551135HP","2.0DHA","13,34","13,65","11,41","14,02","11,34","12,87","13,15","12,87","12,45","14,65","15,36","18,22","163,33"
"AYTO,TORRENT-SEMAFOROS","ES0021000008553161ZX","2.0DHA","101,26","35,80","37,56","50,81","29,42","41,79","41,28","50,22","41,42","45,99","52,16","37,92","565,63"
"AYTO,TORRENT (CENTRO SALUD)","ES0021000008526871KD","2.0A","14,48","11,51","8,53","14,48","8,53","11,88","12,61","0,00","0,00","0,00","0,00","0,00","82,02"
"AYTO,TORRENT (ESC,CICLISMO)","ES0021000008542672HD","2.0A","54,54","47,03","39,87","46,85","40,19","47,32","45,26","68,42","60,74","47,51","67,23","44,74","609,70"
"AYTO.TORRENT-","ES0021000008524654VT","2.0DHA","0,00","1.137,37","367,42","345,88","176,23","213,32","242,57","244,55","303,85","375,75","456,07","537,86","4.400,87"
"AYTO.TORRENT-","ES0021000020263808ET","3.0A","554,68","426,36","421,14","480,02","0,00","453,99","423,72","408,79","463,08","422,68","450,02","423,83","4.928,31"
"AYTO.TORRENT-","ES0021000020263812EG","3.0A","483,54","381,46","406,53","463,87","0,00","464,25","677,96","1.050,55","1.229,20","1.069,69","535,74","430,04","7.192,83"
"AYTO.TORRENT-","ES0021000020263813EM","3.0A","238,75","177,47","186,06","221,66","0,00","197,89","183,75","176,36","200,37","187,52","202,43","221,39","2.193,65"
"AYTO.TORRENT-","ES0021000020263828EC","3.0A","626,30","451,99","485,08","571,60","0,00","555,24","880,52","552,37","541,21","560,99","524,99","518,86","6.269,15"
"AYTO.TORRENT-","ES0021000020263946MT","3.0A","1.321,33","1.010,77","1.100,31","1.233,94","0,00","1.091,85","2.276,27","2.594,31","2.365,32","2.237,39","1.256,17","1.191,32","17.678,98"
"AYTO.TORRENT-","ES0021000020666034FW","2.0A","23,45","24,99","24,18","32,47","5,46","24,34","0,00","22,55","0,00","24,32","28,28","30,08","240,12"
"AYTO.TORRENT-","ES0021000020666042FX","2.0A","23,53","25,13","24,32","32,61","5,46","24,44","0,00","22,76","0,00","24,65","28,29","30,33","241,52"
"AYTO.TORRENT- ALDO. POL.1","ES0021000008539476VX","3.0A","567,30","421,09","424,87","444,46","334,00","341,84","298,51","309,32","369,70","367,89","439,06","453,32","4.771,36"
"AYTO.TORRENT-A.P.","ES0021000008525230LR","2.1DHA","0,00","415,39","0,00","335,69","0,00","243,51","0,00","94,63","406,87","0,00","0,00","114,48","1.610,57"
"AYTO.TORRENT-A.P.","ES0021000008525735HT","2.0DHA","232,56","167,94","131,90","139,45","101,63","111,82","101,04","110,58","143,70","130,06","182,74","192,56","1.745,98"
"AYTO.TORRENT-A.P.","ES0021000008527918CK","2.1DHA","0,00","517,38","0,00","445,35","0,00","292,49","0,00","300,31","303,24","0,00","0,00","127,92","1.986,69"
"AYTO.TORRENT-A.P.","ES0021000008538191FJ","2.0DHA","0,00","91,97","0,00","1.623,02","0,00","69,60","0,00","1.021,69","0,00","493,37","0,00","818,59","4.118,24"
"AYTO.TORRENT-A.P.","ES0021000008538215PZ","2.0DHA","0,00","678,99","224,21","267,66","126,67","180,94","150,87","35,46","300,94","171,25","268,50","259,47","2.664,96"
"AYTO.TORRENT-A.P.","ES0021000008538249XW","2.0DHA","0,00","1.112,58","0,00","794,64","0,00","522,84","0,00","571,33","0,00","523,66","0,00","91,97","3.617,02"
"AYTO.TORRENT-A.P.","ES0021000008538280BX","2.0DHA","242,38","193,34","160,70","181,41","120,66","132,75","123,88","127,53","148,07","143,58","214,00","207,78","1.996,08"
"AYTO.TORRENT-A.P.","ES0021000008538366SG","2.1DHA","602,44","432,39","391,76","403,89","319,95","275,52","277,37","280,83","327,71","367,63","401,49","461,53","4.542,51"
"AYTO.TORRENT-A.P.","ES0021000008540639ET","2.1DHA","113,27","97,60","89,05","95,90","79,84","145,00","18,79","75,60","80,28","83,92","89,62","96,37","1.065,24"
"AYTO.TORRENT-A.P.","ES0021000008544201SC","2.0DHA","254,46","183,91","140,27","156,81","130,58","121,85","114,85","139,12","134,24","145,96","199,78","200,39","1.922,22"
"AYTO.TORRENT-A.P.","ES0021000008551511BQ","3.0A","1.351,62","1.098,96","1.034,75","1.111,79","832,16","762,02","736,23","769,36","850,43","860,64","1.121,34","1.306,14","11.835,44"
"AYTO.TORRENT-A.P.","ES0021000008553012FE","2.0DHA","53,12","35,72","32,11","34,78","24,36","27,05","24,24","30,85","30,01","33,19","46,99","47,53","419,95"
"AYTO.TORRENT-A.P.","ES0021000008554144BG","2.1DHA","1.184,98","857,44","786,64","796,65","644,31","563,61","569,04","654,72","592,23","769,50","868,21","977,83","9.265,16"
"AYTO.TORRENT-A.P.","ES0021000008554642DL","2.0DHA","0,00","1.800,10","0,00","1.023,52","0,00","684,64","0,00","61,78","1.584,28","0,00","0,00","74,73","5.229,05"
"AYTO.TORRENT-A.P.","ES0021000008557538CV","2.1DHA","922,07","569,69","600,39","619,96","476,86","494,15","376,91","393,28","564,44","584,43","628,14","648,08","6.878,40"
"AYTO.TORRENT-A.P.","ES0021000008559384DT","2.1DHA","618,82","445,86","413,14","427,05","340,34","294,53","305,39","303,34","330,09","397,32","509,42","528,45","4.913,75"
"AYTO.TORRENT-A.P.","ES0021000008561243CL","2.1DHA","530,85","496,64","456,94","459,79","362,50","354,81","302,05","358,95","345,49","379,80","434,53","416,68","4.899,03"
"AYTO.TORRENT-A.P.","ES0021000008561487PX","2.0DHA","314,56","209,73","158,09","168,03","122,46","117,41","128,81","152,33","160,66","153,26","243,33","259,78","2.188,45"
"AYTO.TORRENT-A.P.-M.CHAPI","ES0021000008555148PL","2.0DHA","356,84","233,03","179,51","190,23","137,44","124,10","159,36","158,19","198,93","234,78","301,42","342,06","2.615,89"
"AYUNTAMIENTO DE TORRENT","ES0021000008540684TE","3.1A","967,17","737,61","736,33","725,05","666,61","605,73","580,49","614,20","610,79","636,81","795,51","855,94","8.532,24"
"AYUNTAMIENTO DE TORRENT","ES0021000008540869DT","3.1A","679,29","522,72","535,41","515,65","486,04","338,34","393,63","446,09","444,48","224,27","775,81","564,74","5.926,47"
"AYUNTAMIENTO DE TORRENT","ES0021000008540870DR","3.1A","845,36","554,41","620,52","672,48","481,59","513,73","459,47","438,08","532,29","170,72","957,14","629,07","6.874,86"
"AYUNTAMIENTO DE TORRENT-A.P","ES0021000008554806QE","2.1DHA","837,24","670,60","728,02","701,63","647,77","523,57","576,06","634,56","623,43","706,56","1.083,46","882,28","8.615,18"
"AYUNTAMIENTO TORRENTE-A.P.","ES0021000008555080MC","2.0DHA","0,00","558,74","0,00","358,44","0,00","176,50","0,00","255,42","0,00","246,24","0,00","396,96","1.992,30"
"BAR","ES0021000008550639LH","2.0A","36,78","44,80","48,28","44,63","27,24","37,19","36,53","40,59","36,80","42,98","46,94","53,02","495,78"
"BIBLIOTECA EL VEDAT","ES0021000008535179ZZ","2.1A","193,34","158,14","149,84","140,43","114,78","132,64","233,81","230,96","226,20","160,16","139,37","113,69","1.993,36"
"C.P ANTONIO MACHADO","ES0021000008536629PS","3.0A","587,12","609,90","738,61","600,39","654,54","692,83","659,29","457,40","468,77","721,96","729,91","794,56","7.715,28"
"C.P EL MOLÍ","ES0021000008538906SS","3.0A","601,79","601,93","654,38","543,96","649,41","617,96","493,32","360,35","341,64","566,59","656,37","712,38","6.800,08"
"C.P FEDERICO MAICAS","ES0021000008543802KN","3.0A","822,51","915,19","1.057,65","886,81","868,20","948,32","804,55","505,24","538,09","953,67","974,44","1.044,92","10.319,59"
"C.P MIGUEL HERNÁNDEZ","ES0021000008542883GJ","3.0A","580,65","642,86","763,35","594,75","688,40","771,08","755,89","365,86","432,79","805,89","732,88","225,64","7.360,04"
"C.P SAN JUAN BAUTISTA","ES0021000008548377JX","3.0A","695,27","821,43","864,08","693,28","596,09","607,23","518,22","213,85","745,48","729,52","795,87","965,65","8.245,97"
"C.P SAN PASCUAL","ES0021000008527232ZW","3.0A","1.343,42","1.294,37","1.149,65","1.259,60","988,71","921,09","764,15","523,21","490,62","800,72","915,63","1.344,34","11.795,51"
"C.P VIRGEN DEL ROSARIO","ES0021000008525258CY","3.0A","569,01","563,20","603,02","498,42","573,50","555,34","460,84","0,00","476,16","523,38","608,08","653,37","6.084,32"
"C.P. JUAN XXIII ALTER","ES0021000008529830NR","3.0A","744,16","720,44","764,96","665,28","174,38","210,46","1.451,44","304,81","348,55","616,20","591,64","744,81","7.337,13"
"C/ A SECTOR 2, S/N MASIA DEL JUEZ","ES0026000010224226VY","2.1A","761,98","721,48","628,30","606,87","529,76","511,73","527,63","472,20","577,23","612,52","718,16","648,49","7.316,35"
"C/ BURGOS (PANTANO), 1, Bajo","ES0021000020252581QC","2.1A","91,05","74,22","66,32","73,33","67,16","41,73","46,13","45,35","77,54","58,57","71,71","49,28","762,39"
"C/ GASPAR NAVARRO PILES, 5-BIS","ES0021000016759786WM","2.0A","11,37","11,82","11,41","12,98","11,29","12,60","11,44","11,73","13,02","11,04","12,46","12,75","143,91"
"C/ MALVARROSA, 38-BIS","ES0021000020666022YJ","2.0A","27,46","20,70","28,99","22,45","5,37","24,25","30,70","22,45","30,72","23,88","27,92","29,70","294,59"
"C/ SAN CAYETANO, 39 46900","ES0021000015907659YM","3.0A","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","353,15","365,89","719,04"
"CAMPO TIRO CALICANTO","ES0021000011282414CZ","2.1A","328,14","204,48","225,14","220,92","197,56","175,80","220,68","223,59","217,89","169,38","188,00","262,77","2.634,35"
"CASA CONSISTORIAL","ES0021000008527788SY","3.1A","6.798,23","7.863,17","7.699,05","7.675,93","7.010,37","7.283,41","8.184,41","8.719,30","8.133,41","8.152,53","6.561,54","6.461,08","90.542,43"
"CASA CULTURA","ES0021000008552180VH","3.0A","965,28","967,89","925,29","831,30","555,00","837,25","1.017,30","843,08","908,85","695,81","574,19","866,49","9.987,73"
"CASA DE LA DONA","ES0021000015907729DY","3.1A","1.209,87","1.076,53","1.182,23","1.096,13","864,25","930,56","1.039,84","953,04","892,45","920,67","917,39","1.090,26","12.173,22"
"CENTRO JUVENIL ""LA TORTUGA""","ES0021000008542139HM","2.0A","23,50","26,06","25,15","22,18","17,86","20,95","20,63","20,76","16,31","14,34","22,47","21,27","251,48"
"CENTRO MAYORES VG. EL OLIVAR","ES0021000008546571AK","3.0A","794,00","638,25","691,83","708,18","557,13","619,58","679,10","660,78","605,72","682,86","587,25","646,50","7.871,18"
"CENTRO PERMANENTE DE ADULTOS","ES0021000008556894SV","3.0A","444,82","549,20","612,56","552,42","452,49","508,40","440,25","320,85","365,32","539,30","543,96","572,20","5.901,77"
"CENTRO SOCIAL XENILLET","ES0021000017801567XR","3.0A","670,03","525,51","569,18","635,35","494,28","512,46","595,55","575,86","522,56","549,20","581,46","452,50","6.683,94"
"CLUB","ES0021000008550644CT","2.1A","290,52","371,13","341,82","444,73","335,28","445,18","396,39","547,52","289,76","528,95","396,27","405,81","4.793,36"
"COLON","ES0021000016045498LM","3.0A","175,73","129,45","143,33","177,13","152,44","176,04","166,37","147,59","167,97","170,26","173,86","165,78","1.945,95"
"CONSULT, MEDICO AUXILIAR, MUNICIPAL","ES0021000008554938EQ","3.0A","218,26","243,77","258,38","252,15","200,07","246,62","354,33","330,18","321,81","310,79","220,44","271,62","3.228,42"
"CONTENEDORES DE BASURA","ES0021000013665463QX","2.0A","0,00","69,94","31,07","24,75","26,44","29,33","26,61","27,61","30,38","25,78","28,67","30,73","351,31"
"DE L'ERA","ES0021000016190307JY","2.1A","47,10","34,06","41,81","54,37","32,70","39,85","46,84","41,22","46,85","39,70","44,11","39,20","507,81"
"DEPEND,  MUNICIPALES -PROTECCION CIVIL","ES0021000008554451RN","2.0A","118,76","89,06","102,08","137,97","67,08","90,79","81,33","107,85","113,39","89,55","104,78","195,06","1.297,70"
"DEPENDENCIA MUNICIPAL","ES0021000008541045QS","2.0A","6,78","5,66","7,86","7,22","9,41","11,45","32,31","24,69","31,16","24,85","25,96","26,87","214,22"
"DEPENDENCIA MUNICIPAL","ES0021000010374280GN","2.0A","69,33","21,36","28,32","51,93","30,90","54,68","25,68","29,41","34,74","22,77","30,80","52,47","452,39"
"DEPENDENCIAS MUNICIPALES","ES0021000008536973TZ","3.0A","374,56","316,97","376,88","356,57","357,13","445,80","539,88","559,41","489,66","499,67","432,14","395,93","5.144,60"
"DEPENDENCIAS MUNICIPALES METRO","ES0021000011802355VV","3.1A","3.685,63","4.048,47","3.717,89","3.562,07","3.634,25","5.325,89","4.844,09","4.028,63","4.028,68","3.825,40","3.770,40","3.368,50","47.839,90"
"ELEVACION CONTENEDORES RESIDUOS ORGAN,","ES0021000008548155AH","2.0A","23,52","17,23","19,21","21,81","18,77","20,98","19,84","20,63","22,87","19,51","25,52","18,31","248,20"
"ESCUELA M, PETRA","ES0021000008554903KG","2.0A","110,74","118,61","101,72","77,63","88,56","74,29","55,72","48,16","0,00","0,00","0,00","0,00","675,43"
"FELIPE II (UR CUMBRES CALICANTO)","ES0021000015983219WX","2.0A","54,67","32,19","28,33","31,22","23,63","27,64","21,17","20,30","18,65","12,79","13,68","22,19","306,46"
"FUENTE ILUMINADA","ES0021000011681345TX","3.0A","241,37","181,19","176,97","220,91","180,74","204,72","190,94","190,85","211,70","191,23","222,38","194,04","2.407,04"
"FUENTE MUNICIPAL","ES0021000013493195RN","3.0A","117,76","96,18","103,26","120,88","103,17","106,66","103,23","114,08","110,46","110,29","110,18","117,51","1.313,66"
"GARAJE","ES0021000016907972MW","3.0A","295,22","123,81","147,22","142,09","128,81","147,22","137,76","290,97","370,77","327,68","370,67","340,46","2.822,68"
"GOMEZ FERRER","ES0021000017353336WV","2.0A","23,09","20,26","19,58","22,26","19,57","22,26","22,27","19,59","18,24","21,74","19,60","22,29","250,75"
"GRUPO BOMBEO","ES0021000013506191ZJ","3.0A","175,36","132,68","152,08","169,40","148,91","154,46","150,60","168,54","158,01","168,81","113,52","120,98","1.813,35"
"JESUS","ES0021000018275640JK","2.0A","21,16","24,59","19,67","22,45","15,64","21,70","20,38","19,71","22,49","18,92","21,17","22,55","250,43"
"JUZGADO NUMERO 7","ES0021000008561094ZP","3.0A","493,24","457,21","462,87","492,66","331,24","365,07","530,24","616,47","536,16","553,81","357,83","429,71","5.626,51"
"LOCAL SOCIAL","ES0021000008544498MH","2.0A","21,82","11,46","14,75","16,11","12,57","18,21","12,71","16,06","13,32","14,21","14,47","14,72","180,41"
"LOCAL SOCIAL-ALMACEN","ES0021000010476915GK","3.0A","283,29","310,73","303,99","338,12","273,70","233,83","316,75","193,87","199,25","193,21","220,40","198,14","3.065,28"
"MASIA DEL JUEZ","ES0021000016373121AQ","2.0A","183,90","134,26","97,72","105,18","60,31","65,56","70,50","80,92","34,45","35,17","24,21","21,99","914,17"
"MERCADO MUNICIPAL Y CENTS, JUV. SAN GREGORIO","ES0021000008542138HG","3.0A","490,47","574,22","435,34","407,60","273,17","345,44","625,12","587,74","581,58","463,50","327,92","466,05","5.578,15"
"MESTRE LORENZO FUERTES JULVEZ","ES0021000016352212ZZ","3.0A","605,36","457,22","473,53","506,20","457,22","538,84","816,80","0,00","0,00","0,00","0,00","0,00","3.855,17"
"MUSICO JOSE ORTI SORIANO","ES0021000017353370GM","2.0A","28,31","24,33","22,95","26,15","22,70","28,10","24,50","19,15","25,44","21,48","24,27","25,89","293,27"
"OFICINA DEL AYUNTAMIENTO","ES0021000008542775EC","3.0A","178,77","163,50","211,42","186,95","156,89","195,01","212,15","205,44","209,69","207,96","187,77","174,52","2.290,07"
"OFICINA INFORMACION MUNICIPAL","ES0021000010712023ST","3.0A","114,01","87,78","94,28","110,54","446,74","161,71","219,46","170,84","259,10","234,82","159,33","203,94","2.262,55"
"PARC CENTRAL, BOMBEO, FASE B","ES0021000012001813HL","2.1A","181,68","184,24","236,13","156,62","226,96","298,68","254,45","319,82","304,39","193,03","156,14","173,14","2.685,28"
"Ptda MASIA DEL JUEZ, 8-1 46080","ES0021000008525242LJ","2.0DHA","0,00","492,75","0,00","237,62","0,00","153,56","0,00","53,36","291,26","0,00","0,00","64,56","1.293,11"
"RIEGO","ES0021000011888396DS","3.0A","163,77","116,74","125,40","147,02","121,08","138,36","129,72","131,98","142,68","155,67","123,51","157,19","1.653,12"
"SAN FERMIN","ES0021000016759796WS","2.0A","13,23","9,93","11,32","12,86","11,36","13,68","12,26","9,45","13,73","9,11","15,69","9,61","142,23"
"SAN JUSTO","ES0021000017396257MC","2.0A","23,17","21,57","20,04","22,84","20,12","22,17","20,12","23,60","20,25","19,48","21,56","22,40","257,32"
"SAN VALERIANO","ES0021000017122256YH","2.0A","28,35","18,10","25,08","19,38","20,82","23,00","20,97","24,46","20,79","17,33","25,34","20,45","264,07"
"SEMAFOROS","ES0021000011527680NP","2.0DHA","15,91","12,63","11,02","12,68","10,56","12,52","11,52","13,23","11,08","10,72","12,97","13,74","148,58"
"SERVICIOS GENERALES","ES0021000008524067ZB","2.0A","528,06","376,79","292,41","325,49","231,64","230,29","237,15","302,85","281,56","308,39","468,81","448,03","4.031,47"
"SERVICIOS GENERALES","ES0021000008524078ZE","2.0A","0,00","879,63","0,00","657,79","0,00","360,04","0,00","466,50","0,00","511,77","0,00","805,33","3.681,06"
"SERVICIOS GENERALES","ES0021000008524269TY","2.1DHA","927,44","637,73","655,41","654,60","575,51","421,79","481,21","491,42","525,24","582,78","638,98","717,86","7.309,97"
"VALENCIA","ES0021000016122274EF","2.1A","257,98","237,97","235,95","230,63","200,13","220,30","209,20","246,58","242,42","223,41","238,24","235,88","2.778,69"
"VIRGEN DE LA PAZ","ES0021000017374817QQ","2.0A","32,49","25,32","18,23","31,06","18,26","25,53","23,70","27,80","24,52","22,12","26,01","26,87","301,91"
,,,"183.858,59","153.591,84","144.868,59","154.466,71","110.555,63","119.938,55","119.753,55","120.423,32","132.106,94","129.449,94","152.194,49","163.082,99","1.684.291,14"
