Nombre,Fecha de inicio,Fecha de fin,Hora de inicio,Hora de fin,Barrio,Más información,Descripción,Tipo de evento,Tipo de público,Lugar,Lat,Lon
"El sonido de la Magia con Jorge Blass","12/11/2017","12/11/2017","18:00","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2504","Datos de interés Descripción Una varita, la de Jorge Blass. Una batuta, la de Silvia Sanz Torre. Magia y música, dos artes efímeros que solo pueden disfrutarse en el momento en el que suceden y que unen, en un mismo espectáculo, el poder de asombrar y emocionar. No podrás explicarte lo que ves, no podrás explicarte lo que sientes cuando escuches el sonido de la magia y contemples la magia de la música. La magia se transmitirá al ritmo de grandes obras clásicas que emocionarán a todos los públicos como las óperas “ Las Bodas de Fígaro” y “Carmen”, el vals de “La bella durmiente”, el ballet “ El cascanueces”, y muchos más… Orquesta Metropolitana de Madrid Directora: Silvia Sanz Torre Edad recomendada: a partir de 6 años. Horario  Duración: 60 minutos. Precio 28 € patio de butacas 25 € anfiteatro Descuento del 25% para “Abonados Alcobendas Clásica” Venta de entradas a partir del 22 de septiembre. Descuentos Menores de 30 años: 25% de descuento. Mayores de 65 años y/o pensionistas: 25 % de descuento. Familias numerosas: 25 % de descuento. Grupos (a partir de 10 entradas): 25 % de descuento (sólo en taquilla) Menores de 2 años: 50 % de descuento en los conciertos del Ciclo Música en Familia. Los descuentos solo son aplicables a las localidades con importe superior a 6 euros, excepto en los conciertos del Ciclo Música en Familia, que se aplicarán a familias numerosas y grupos. Los descuentos no son acumulables ni se aplican al importe de los abonos ni de los ensayos didácticos. Para la aplicación del descuento deberá presentar la acreditación que le da derecho al mismo tanto en el momento de adquirir su localidad como en el momento de acceder a la sala.   Taquilla Venta de entradas en todas las taquillas municipales, en  https://www.ticketea.com/ y en el Tlf.  902 044 226.  Ver programa Alcobendas Clásica Octubre 2017/Enero 2018 Otros datos Público infantil: La edad mínima para acceder a la sala es de 5 años, salvo espectáculos del ciclo Música en Familia y Ensayos Didácticos. En todos los casos, los menores deben estar acompañados por un adulto, que será el responsable. Todas las personas deberán adquirir su localidad independientemente de la edad. Consultar descuentos especiales para menores de 2 años. Con objeto de cumplir la normativa de evacuación, no se permitirá el acceso a las salas con cochecitos de bebés, dejando éstos en los lugares especialmente habilitados. La dirección se reserva el derecho a solicitar la salida de la sala si se considera que el niño causa alguna molestia al resto del público.  Otras informaciones: La duración de los espectáculos es aproximada. El intermedio, en caso de existir, durará 15 minutos. No se admite consumir alimentos o bebidas en la sala. La organización se reserva el derecho de variar la programación cuando causas de fuerza mayor lo exijan. Estas variaciones se harán públicas en los medios de comunicación municipales. La suspensión o cambio de un espectáculo sólo lleva consigo la devolución del importe o bien el cambio de localidad. No está permitido la realización de fotografías/vídeos/dispositivos móviles durante el evento. Las grabaciones se realizarán en el espacio habilitado para ello, exclusivamente, previa autorización.","Teatro, Música y Danza,Música,Conciertos Alcobendas Clásica","Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Encuentro con Julia Escobar Moreno","08/11/2017","08/11/2017","19:00","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2413","Datos de interés Descripción La escritora Julia Escobar Moreno participará en los Encuentros con Autores que las Mediatecas de Alcobendas, en colaboración con la Asociación Cultural Brocal, han puesto en marcha para celebrar el 26 aniversario del Concurso Literario El Fungible. Presentado por la también escritora Reina Roffé, que coordina los Talleres de Escritura Creativa de las Mediatecas, Julia Escobar Moreno hablará sobre “Qué esconde el arte de crear y traducir”. Narradora, poeta y traductora, Julia Escobar ha publicado diversos poemarios, entre los que destacan Fluyen permanentes y Tiempo a través, además de las novelas Nadie dijo que fuera fácil y La Asamblea de los Muertos.  Asimismo, ha realizado numerosas traducciones del francés y del portugués, sobre autores de la talla de Michaux, Rimbaud, Colette, Max Gallo, Françoise Sagan, Amin Maalouf, Saint.Exupery, Becket, Tanizaki o Pessoa. Es autora, además, de numerosos artículos de teoría de la traducción, de opinión y de crítica literaria en diarios y revistas, y colaboradora asidua de programas de radio y televisión, además de haber sido Directora de Programación de la Casa de América de Madrid. Ha recibido numerosos premios, como el Premio de poesía Francisco de Quevedo, el Premio Stendhal de traducción y el Premio Internacional Juan Rulfo. En 1999 fue condecorada con la medalla de Caballero de las Artes y las Letras de la República Francesa.  Acceso Abierto a la participación del público, el acceso es libre y gratuito hasta completar aforo.","Literatura e Historia,Literatura,Actividades en las mediatecas","Público general","Centro Cultural Pablo Iglesias",40.54295948,-3.64362527
"Encuentro de Gaitas y Bailes Asturianos de la CAM","12/11/2017","12/11/2017","12:00","","Urbanizaciones","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2557","Datos de interés Descripción Encuentro de bandas de gaitas y grupos de baile asturianos en la Comunidad de Madrid que se celebra de forma anual, cada vez en un municipio diferente, en esta ocasión el encuentro será en Alcobendas, Acudirán la Directora General de Emigración y Cooperación del principado de Asturias, Begoña Serrano, la Presidenta del Consejo de Comunidades Paz Fregueroso, Director General de FICA. También presidentes de distintas casas regionales Asturianas. Actuarán las siguientes Bandas: Centru Asturiano de Madrid: Banda de Gaitas Asturianas El Centru y Grupo de Baile L´Alborá Casa de Asturias de Alcalá: Banda de Gaitas Nallende y Grupo de Baile Cascayu Centro Asturiano de Tres Cantos: Banda de Gaitas Estafeira Casa de Asturias de Guadarrama: Banda de Gaitas la Taravica Casa de Asturias de Alcobendas: Banda de Gaitas Respingo, Grupo de Baile Andolina Organiza: Casa de Asturias.  Precio Entrada: 1 €. Venta anticipada martes y jueves de 18 a 20 h, en  la sede Casa de Asturias desde el 7 de noviembre.","Otros Cultura y Ocio,Otros,Actividades de Participación","Adultos","La Esfera - Sede Casas Regionales de Alcobendas",40.53669217,-3.63265631
"Encuentros internacionales","01/07/2017","30/09/2017","","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=608","Datos de interés Descripción A lo largo de los meses de verano se llevan a cabo encuentros de grupos de jóvenes procedente de distintos países que ofrecen la posibilidad de convivir y de conocer mejor sus culturas respectivas y favorecer la tolerancia, la solidaridad, la participación y el aprendizaje intercultural. Los campos de trabajo duran entre 7 y 21 días. Se realizará una Sesión Informativa el miércoles 29 de marzo a las 18:30 h. en Imagina. Requisitos Jóvenes entre 18 y 35 años empadronados en Alcobendas y en los municipios de la Red Joven Norte. No es necesario el dominio de idiomas ni tener experiencia previa. Lo esencial es tener un espíritu tolerante y ganas de participar. Plazos de Inscripción Jóvenes empadronados en Alcobendas desde el 30 de marzo. Jóvenes empadronados en otros Municipios de la Red Joven Norte (Colmenar, Tres Cantos, San Sebastián de los Reyes y Algete) desde el 5 de abril. Consulta más información sobre el Asesoría de movilidad europea","Otros Cultura y Ocio,Juventud,Viajes","Jóvenes","Fuera del Municipio",,
"Ensayos didácticos (Octubre 2017/Enero2018)","07/10/2017","27/01/2018","","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2495","Datos de interés Descripción Ensayos didácticos: Disfruta aprendiendo en los ensayos didácticos abiertos al público. En los ensayos se interpretarán las piezas del programa que el director considere oportunas, no teniendo necesariamente que interpretar el concierto completo. Actividad dirigida a todos los públicos, en la que mientras la orquesta ensaya, el público disfruta aprendiendo, de la mano de expertos en la materia. Sábado 7 de octubre, a las 12 h: Beethoven & Tchaikovsky, Orquesta Clásica Santa Cecilia.  Sábado 18 de noviembre, a las 12 h: Dido y Eneas, Coro de Cámara Cantiga. Sábado 16 de diciembre, a las 12 h: Coros de Óperas y Villancicos, Sociedad Coral Excelentia de Madrid.  Sábado 27 de enero, a las 12 h: Clásicos en el cine, Orquesta Clásica Santa Cecilia. Duración: 90 minutos. Precio y Taquilla Precio: 1 € (no se aplican los descuentos habituales)  Venta de entradas en todas las taquillas municipales, en  https://www.ticketea.com/  y en el Tlf.  902 044 226.  Ver programa Alcobendas Clásica Octubre 2017/Enero 2018","Teatro, Música y Danza,Música,Conciertos Alcobendas Clásica","Público general","Centro de Arte Alcobendas",40.54090867,-3.63070666
"Exposición de Ana de Alvear: En el vórtice forzado","18/10/2017","23/11/2017","","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2390","Datos de interés Descripción Siguiendo su trayectoria habitual, la artista Ana de Alvear vuelve a presentar una obra especifica, a medida del espacio, solo que esta vez creada para la Capilla del Espíritu Santo de la Catedral de Cuenca. En el Vórtice forzado se compone de dos dibujos de tres metros de alto por siete metros de largo cada uno, que, para su realización, han tenido que ser troceados en partes, por lo que la obra completa consta, en realidad, de 100 dibujos de 70 cm por 60 cm unidos. Concebido específicamente para la Capilla del Espíritu Santo de la Catedral de Cuenca, recientemente restaurada, la obra se muestra en el Centro de Arte de Alcobendas para que sea vista en Madrid. En dos miniaturas de un metro por 70 cm, se podrán ver también los dos dibujos completos a modo de estudios previos. Ana de Alvear nos sorprende esta vez con una magna obra casi del tamaño del Guernica, hecha completamente a lápices de colores que, como es habitual en su trabajo, se crea para un espacio específico, adaptándose como un traje a medida. La exposición se inaugura el 18 de octubre a las 19:30 en el Centro de Arte, donde podrá visitarte hasta el próximo 23 de noviembre, de lunes a sábado de 11 a 20 horas, domingos y festivos cerrado.","Pintura, Escultura y Fotografía,Exposiciones","Público general","Centro de Arte Alcobendas",40.54090867,-3.63070666
"Exposición de José Manuel Corujo: Ventanas en el jardín","04/10/2017","04/11/2017","","","Urbanizaciones","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2530","Datos de interés Descripción La exposición constituye un recorrido por la obra pictórica del artista, muy ligada a su actividad como paisajista. Frondosos jardines, patios, árboles, altas palmeras... se convierten en los personajes protagonistas de cada obra. “Elijo encuadres que cuentan con un espacio despejado en primer plano, o un camino, y que permiten al espectador adentrarse en la pintura. En otras ocasiones, mis pinturas se centran en patios, fascinado por la simbiosis de arquitectura y vegetación que tiene lugar en estos singulares espacios”, dice José Manuel Corujo. Horario De lunes a viernes, de 10 a 21 h, y sábados, de 16:30 a 20 h. ","Pintura, Escultura y Fotografía,Otros","Público general","Centro Cultural Anabel Segura",40.53134238,-3.63668194
"Exposición de Miguel Delibres: El Camino","16/10/2017","07/01/2018","","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2418","Datos de interés Descripción 21 dibujos realizados por Miguel Delibes para ilustrar la versión norteamericana de su novela El camino, en el año 1960, se exponen en Espacio Miguel Delibes. La muestra fue inaugurada el lunes 16 de octubre por la hija del escritor y patrona de la Fundación Miguel Delibes, Ángeles Delibes, que contó que su padre “era muy popular en el colegio por su facilidad para realizar caricaturas”. La exposición se complementa con varios paneles que incluyen una parte del texto de la obra junto a cada ilustración. El público podrá contemplar y disfrutar esta muestra hasta el 7 de enero de 2018. Miguel Delibes estudió Modelado y Dibujo en la Escuela de Artes y Oﬁcios de Valladolid. Allí adquirió los conocimientos necesarios para dar salida a una de sus grandes aﬁciones: el dibujo. Su estilo era de trazo sencillo y limpio y en un tono casi ingenuo","Pintura, Escultura y Fotografía,Exposiciones","Público general","Espacio Miguel Delibes",40.55157784,-3.65719644
"Exposición fotográfica de José María Mellado. El rastro del tiempo: Paisaje y emoción","16/05/2017","02/11/2017","","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2442","Datos de interés Descripción Inauguración: El martes 16 de mayo a las 13 h, en el Bulevar Salvador Allende Una nueva visión y la calma de lo cotidiano conducen al espectador invariablemente a la reflexión. Y en esta ocasión, rastro, tiempo y emoción definen el principio reflexivo que sustenta el trabajo de Mellado. Una selección de sus anteriores proyectos -Paisaje: El eterno retorno, El silencio y la luz y Closer- conforman un recorrido ordenado en esta muestra del Bulevar Salvador Allende. El vecino experimentará emoción, placer y tranquilidad, motivado por el apacible equilibrio y desahogo de la mirada del fotógrafo. El retorno de la naturaleza a su ser es patente en el conjunto de la mayoría de las obras expuestas, siempre buscando la belleza. La obra de Mellado figura en importantes colecciones y museos como el Reina Sofía de Madrid o la Colección de Fotografía Alcobendas. Asimismo, ha participado en las ferias de arte internacionales más relevantes. ","Pintura, Escultura y Fotografía,Exposiciones","Público general","Bulevar Salvador Allende",40.53966232,-3.62892914
"Exposición: El templo de Abu Simbel. Ramsés, rey de reyes","30/11/2016","31/12/2017","","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2279","Datos de interés Descripción Los amantes del arte egipcio están de suerte. La muestra El templo de Abu Simbel. Ramsés, rey de reyes abre las puertas del Invernadero de Arroyo de Vega para darnos paso al majestuoso templo situado originalmente al sur de Egipto y al misterio y la belleza del arte egipcio. La muestra nos llega de la mano del artesano egipcio Hany Mostafa, que ha dedicado cinco años en levantar una réplica fiel del templo de Abu Simbel, declarado Patrimonio de la Humanidad, una obra que comenzó a construirse alrededor del año 1284 a.C. excavada en una roca y que tardó más de 20 años en finalizarse. Mostafa ha realizado más de cien visitas al emplazamiento original para poder confeccionar al detalle el templo; tan solo en la fabricación del panel de la Batalla de Qadesh, el escultor tardó ocho meses en hacerlo. En esta muestra podremos contemplar la fachada del templo, que consta de cuatro estatuas que representa a Ramsés II divinizado, cada una de las cuales mide unos 20 metros de altura. Veremos también la gran sala hipóstila, la segunda sala hipóstila, el santuario y la fachada del templo de Nefertari, de 6 metros de altura y 14 de ancho. La muestra incluye documentación con cartelería de información. También se puede solicitar un guía para la visita que dura aproximadamente de 20 a 25 minutos. Acceso para discapacitados. Lugar y Horario El templo de Abu Simbel. Ramsés, rey de reyes, permanecerá abierto al público hasta el 31 de diciembre de 2017 en el Invernadero de Arroyo de la Vega (Avda. Olímpica, 1). De 10:30 a 20:30 horas ininterrumpidamente, de lunes a domingo. Precio Visita guiada incluida. Entrada General: 7 € Entrada estudiantes, jubilados, discapacitados, parados acreditados de Alcobendas: 6 € Entrada familiar (2 adultos + 1 niño) o (2 niños + 1 adulto): 18 € Tarifas especiales para grupos, colegios e institutos, ya que se considera información de interés para los estudiantes. Más información www.facebook.com/ramsesreydereyes https://www.abusimbelart.com/ temploabusimbel@gmail.com Teléfono: 666036330","Otros Cultura y Ocio,Exposiciones","Público general","Jardín de la Vega",40.53691003,-3.62862778
"Exposición: Orden Natural de Javier Arce","14/09/2017","18/11/2017","","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2516","Datos de interés Descripción Inauguración el 21 de septiembre a las 19:30 h En los últimos años, la trayectoria de Javier Arce (Santander, 1973), de intensa expansión nacional e internacional, ha tenido un impulso enorme, proliferando su presencia en numerosas exposiciones individuales, colectivas y ferias. Ha estado trabajando recientemente en el International Studio & Curatorial Program de Nueva York, y fue becado por la Fundación Arte y Derecho. Anteriormente se le otorgaron becas tan prestigiosas como Hangar, Barcelona y la de la Fundación Marcelino Botín. En 2007 recibió la Mención de Honor del Premio ABC, y de Generaciones 2007 de Caja Madrid. El trabajo del artista es una reflexión sobre la evolución del arte en la sociedad moderna, y apuesta por la originalidad de sus propuestas artísticas. Más información. Puede visitarse de lunes a sábado, de 11 a 20 h.  Este sitio web utiliza cookies propias y de terceros para ofrecer un mejor servicio a los ciudadanos. Si continúa navegando consideramos que acepta su uso. Encontrará más información en nuestra Política de Cookies. Aceptar cookies Política de cookies Datos de interés Descripción Inauguración el 21 de septiembre a las 19:30 h En los últimos años, la trayectoria de Javier Arce (Santander, 1973), de intensa expansión nacional e internacional, ha tenido un impulso enorme, proliferando su presencia en numerosas exposiciones individuales, colectivas y ferias. Ha estado trabajando recientemente en el International Studio & Curatorial Program de Nueva York, y fue becado por la Fundación Arte y Derecho. Anteriormente se le otorgaron becas tan prestigiosas como Hangar, Barcelona y la de la Fundación Marcelino Botín. En 2007 recibió la Mención de Honor del Premio ABC, y de Generaciones 2007 de Caja Madrid. El trabajo del artista es una reflexión sobre la evolución del arte en la sociedad moderna, y apuesta por la originalidad de sus propuestas artísticas. Más información. Puede visitarse de lunes a sábado, de 11 a 20 h. ","Pintura, Escultura y Fotografía,Exposiciones","Público general","Centro de Arte Alcobendas",40.54090867,-3.63070666
"Festival flamenco","01/11/2017","01/11/2017","19:30","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2546","Datos de interés Descripción Festival de variedades que se celebra por el día de la Asociación Andaluza de Alcobendas en el que intervienen María de Murcia, canción española, Julián Fernández, canción ligera, Coro Rociero Virgen de la Paz, Diálogos Flamencos, Cuadro Flamenco con los bailaores Raúl y Noé. Con el objetivo de promover las tradiciones de Andalucía la Asociación Andaluza ofrece un festival de baile y humor a todos los asistentes. . Taquilla Entradas. 3 €. Venta anticipada en Casa de las Asociaciones, despacho 210 y C/ de la Cruz, 40, desde el 16 de octubre. Organiza: Asociación Andaluza de Alcobendas. ","Fiestas, Ferias y otros eventos,Fiestas Populares","Público general","La Esfera - Sede Casas Regionales de Alcobendas",40.53669217,-3.63265631
"Fiesta de la ciencia","12/11/2017","12/11/2017","12:00","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2556","Datos de interés Descripción Los “científicos locos” de Mad Science traen a Alcobendas un espectáculo para peques y mayores donde poder descubrir juntos la ciencia que nos rodea. Los actores científicos de Mad Science, realizarán un conjunto de experimentos y demostraciones atractivas en el que la ciencia, el entretenimiento y los valores sociales se dan la mano para convertirlo en una historia emocionante. Experimentos y demostraciones científicas para acercarse de manera lúdica a los secretos que esconde la palabra “Ciencia”. La Semana de la ciencia de Madrid es una actividad de divulgación de la ciencia, la tecnología y la innovación dirigida a todos los públicos de diferentes edades y niveles de formación que se celebra por toda la Comunidad de Madrid. Su objetivo es poner al alcance de los ciudadanos los temas que les interesan, descubriéndoles los centros de investigación y las actividades en ellos realizadas como espacios de trabajo para mejorar nuestra vida. Todo ello a través de un amplio programa de actividades para propiciar el encuentro entre investigación y sociedad. Precio Actividad familiar para todos los públicos, la entrada es gratuita hasta completar aforo. Otros datos El programa completo de la XVII Semana de la Ciencia puede consultarse en www.madrimasd.org/semanaciencia","Fiestas, Ferias y otros eventos,Otros Cultura y Ocio,Otros,Espectáculos,Semana de la Ciencia,Actividades en las mediatecas","Público general","Centro Cultural Pablo Iglesias",40.54295948,-3.64362527
"Fiesta del Magosto","04/11/2017","04/11/2017","19:00","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=437","Datos de interés Descripción Xuntanza de Galegos organiza la Fiesta del Magosto, tradicional fiesta gallega de recogida de la castaña que se viene celebrando desde hace 22 años en Alcobendas. Al acto asistirán representantes de centros gallegos de la Comunidad de Madrid. 19:30 h. Asado de castañas y degustación acompañadas de vino do ribeiro. 20:00 h. Presentación y palabras del presidente de Xuntanza de Galegos y representantes de la corporación municipal. 20:15 h. Actuaciones de la banda de Gaitas, Cantareiras y Grupos de Bailes de Xuntanza.  Entrada libre hasta completar aforo. Organiza: Xuntanza de Galegos.","Fiestas, Ferias y otros eventos,Fiestas Populares","Público general","La Esfera - Sede Casas Regionales de Alcobendas",40.53669217,-3.63265631
"Frankenstein. No soy un monstruo","14/01/2018","14/01/2018","18:00","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2486","Datos de interés Descripción   Víctor Frankenstein es un joven y ambicioso médico cuyo objetivo es dar vida a un ser inanimado. Tras varios intentos fallidos finalmente consigue tener éxito, pero no todo sale como esperaba. Su criatura huye e inicia un viaje en el que tratará de encontrar su verdadera razón de ser y demostrar que no es un monstruo. En su adaptación libre para un público infantil y familiar, la compañía Pata Teatro transforma la novela de Mary Shelley en un canto a la ternura y la tolerancia, una obra que nos toca el corazón y nos sopla el cerebro. Esta visión rompedora hará que el espectador tenga la oportunidad no sólo de comprender al monstruo sino de también sentir su piel y compartir sus desventuras. Para mayores de 6 años.   Ficha artística: Guion y Dirección: Macarena Pérez Bravo y Josemi Rodríguez Intérpretes: Josemi Rodríguez y Carlos Cuadros Música: Jesús Durán  Horario Duración:  65 minutos  Precio 4/6 € Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Abono Familia","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Gran concierto de Año Nuevo","29/12/2017","29/12/2017","20:00","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2501","Datos de interés Descripción Intérprete: Orquesta clásica Santa Cecilia Director: Kynan Johns Programa: PRIMERA PARTE J. STRAUSS: Fledermaus, obertura (El murciélago) J. STRAUSS: “Banditen Galopp” Op. 378 H. CHRISTIAN LUMBYE: Salut Galop J. STRAUSS: Trish Trash Polka E. WALDTEUFEL: The Skaters, Vals (Vals de los patinadores) J. STRAUSS: Tik-Tak Polka •E. WALDTEUFEL: España (Vals Op. 236) J. STRAUSS: El Vals del Emperador Op. 437 J. STRAUSS: Nachtigall Polka (Polka del Ruiseñor) SEGUNDA PARTE J. STRAUSS: “Frühlingsstimmen Walzer” (Voces de Primavera) Op. 410 J. STRAUSS: Ohne Sorgen Op. 271 H. CHRISTIAN LUMBYE: Champagne Galop J. STRAUSS: Electro-magnetische Polka (Polka Electro-magnética) G. SVIRIDOV: The Snowstorm, Vals (Vals La tormenta de nieve) J. STRAUSS: Bajo Truenos y Relámpagos J. STRAUSS: El Danubio Azul J. STRAUSS: Marcha Radetsky Edad recomendada: a partir de 10 años. Horario  Duración: 90 minutos. Precio 28 € patio de butacas 25 € anfiteatro Descuento del 25% para “Abonados Alcobendas Clásica” Venta de entradas a partir del 22 de septiembre. Descuentos Menores de 30 años: 25% de descuento. Mayores de 65 años y/o pensionistas: 25 % de descuento. Familias numerosas: 25 % de descuento. Grupos (a partir de 10 entradas): 25 % de descuento (sólo en taquilla) Menores de 2 años: 50 % de descuento en los conciertos del Ciclo Música en Familia. Los descuentos solo son aplicables a las localidades con importe superior a 6 euros, excepto en los conciertos del Ciclo Música en Familia, que se aplicarán a familias numerosas y grupos. Los descuentos no son acumulables ni se aplican al importe de los abonos ni de los ensayos didácticos. Para la aplicación del descuento deberá presentar la acreditación que le da derecho al mismo tanto en el momento de adquirir su localidad como en el momento de acceder a la sala.   Taquilla Venta de entradas en todas las taquillas municipales, en  https://www.ticketea.com/ y en el Tlf.  902 044 226.  Ver programa Alcobendas Clásica Octubre 2017/Enero 2018 Otros datos Público infantil: La edad mínima para acceder a la sala es de 5 años, salvo espectáculos del ciclo Música en Familia y Ensayos Didácticos. En todos los casos, los menores deben estar acompañados por un adulto, que será el responsable. Todas las personas deberán adquirir su localidad independientemente de la edad. Consultar descuentos especiales para menores de 2 años. Con objeto de cumplir la normativa de evacuación, no se permitirá el acceso a las salas con cochecitos de bebés, dejando éstos en los lugares especialmente habilitados. La dirección se reserva el derecho a solicitar la salida de la sala si se considera que el niño causa alguna molestia al resto del público.  Otras informaciones: La duración de los espectáculos es aproximada. El intermedio, en caso de existir, durará 15 minutos. No se admite consumir alimentos o bebidas en la sala. La organización se reserva el derecho de variar la programación cuando causas de fuerza mayor lo exijan. Estas variaciones se harán públicas en los medios de comunicación municipales. La suspensión o cambio de un espectáculo sólo lleva consigo la devolución del importe o bien el cambio de localidad. No está permitido la realización de fotografías/vídeos/dispositivos móviles durante el evento. Las grabaciones se realizarán en el espacio habilitado para ello, exclusivamente, previa autorización.","Teatro, Música y Danza,Música,Conciertos Alcobendas Clásica,Navidad en Alcobendas","Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Iberian: con Quixote & Guernica","03/11/2017","03/11/2017","19:30","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2505","Datos de interés Descripción “IBERIAN: con Quixote & Guernica” es un proyecto que se ha gestado a partir de los conciertos que Tito García González ha ofrecido en las dos salas más importantes del mundo, el Carnegie Hall de Nueva York, y la Philharmonie de Berlín, el primero para conmemorar el 400 aniversario de la muerte de Cervantes, y el segundo, en el 80 aniversario del bombardeo de la ciudad y posterior realización del famoso cuadro de Picasso. Enmarcado en su gira internacional, IBERIAN PROJECT, es el único concierto que el pianista ofrece en la Comunidad de Madrid, donde también presentará su último trabajo discográfico “Quixote in New York”. Pianista: Tito García González Programa: CARLOS MARTÍNEZ DE IBARRETA.- “Delocrium” PEDRO VILARROIG . La montaña blanca (estreno absoluto).  El acantilado negro CONSUELO DÍEZ.  Rumores de “El Puerto” MIQUEL ORTEGA.  Sonatina (estreno absoluto) ALBERT GUINOVART.  “Skyshadows” MARCOS CRUZ.. “Serenidad idílica” ALEXIS SORIANO.  2 Preludios Serra: “Contours y Landscape” ALEJANDRO COELLO CALVO. 3 Preludios: “Ricardo”, “Pablo”, “Josh” EMILIO COELLO CABRERA.  Quixote in New York JORGE GRUNDMAN ISLA.  “The Loneliness of the Central Park Runner” TITO GARCÍA GONZÁLEZ. “Guernica” (estreno en España) Edad recomendada: a partir de 10 años. Horario  Duración: 90 minutos. Precio 10 €  Venta de entradas a partir del 22 de septiembre. Descuentos Menores de 30 años: 25% de descuento. Mayores de 65 años y/o pensionistas: 25 % de descuento. Familias numerosas: 25 % de descuento. Grupos (a partir de 10 entradas): 25 % de descuento (sólo en taquilla) Menores de 2 años: 50 % de descuento en los conciertos del Ciclo Música en Familia. Los descuentos solo son aplicables a las localidades con importe superior a 6 euros, excepto en los conciertos del Ciclo Música en Familia, que se aplicarán a familias numerosas y grupos. Los descuentos no son acumulables ni se aplican al importe de los abonos ni de los ensayos didácticos. Para la aplicación del descuento deberá presentar la acreditación que le da derecho al mismo tanto en el momento de adquirir su localidad como en el momento de acceder a la sala.   Taquilla Venta de entradas en todas las taquillas municipales, en  https://www.ticketea.com/ y en el Tlf.  902 044 226.  Ver programa Alcobendas Clásica Octubre 2017/Enero 2018 Otros datos Público infantil: La edad mínima para acceder a la sala es de 5 años, salvo espectáculos del ciclo Música en Familia y Ensayos Didácticos. En todos los casos, los menores deben estar acompañados por un adulto, que será el responsable. Todas las personas deberán adquirir su localidad independientemente de la edad. Consultar descuentos especiales para menores de 2 años. Con objeto de cumplir la normativa de evacuación, no se permitirá el acceso a las salas con cochecitos de bebés, dejando éstos en los lugares especialmente habilitados. La dirección se reserva el derecho a solicitar la salida de la sala si se considera que el niño causa alguna molestia al resto del público.  Otras informaciones: La duración de los espectáculos es aproximada. El intermedio, en caso de existir, durará 15 minutos. No se admite consumir alimentos o bebidas en la sala. La organización se reserva el derecho de variar la programación cuando causas de fuerza mayor lo exijan. Estas variaciones se harán públicas en los medios de comunicación municipales. La suspensión o cambio de un espectáculo sólo lleva consigo la devolución del importe o bien el cambio de localidad. No está permitido la realización de fotografías/vídeos/dispositivos móviles durante el evento. Las grabaciones se realizarán en el espacio habilitado para ello, exclusivamente, previa autorización.","Teatro, Música y Danza,Música,Conciertos Alcobendas Clásica","Público general","Centro de Arte Alcobendas",40.54090867,-3.63070666
