DATA_REFERENCIA,DISTRICTE,BARRI,NACIONALITAT,POBLACIO
2016,DISTRICTE 5,CAN BOADA CASC ANTIC          ,ESPANYA                       ,6607
2017,DISTRICTE 2,CA N ANGLADA                  ,PORTUGAL                      ,21
2011,DISTRICTE 3,CAN PALET II                  ,VENEÇUELA                     ,3
2012,DISTRICTE 5,CAN BOADA DEL PI              ,NICARAGUA                     ,1
2014,DISTRICTE 3,CAN PARELLADA                 ,PORTUGAL                      ,22
2011,DISTRICTE 3,SEGLE XX                      ,PORTUGAL                      ,6
2015,DISTRICTE 3,CAN PARELLADA                 ,"ARGENTINA, L                  ",7
2014,DISTRICTE 4,ROC BLANC                     ,ITÀLIA                        ,6
2012,DISTRICTE 3,CAN PALET                     ,"PANAMÀ, EL                    ",1
2013,DISTRICTE 6,SANT PERE NORD                ,TUNÍSIA                       ,2
2017,DISTRICTE 3,GUADALHORCE                   ,PORTUGAL                      ,4
2011,DISTRICTE 4,CA N AURELL                   ,NIGÈRIA                       ,1
2016,DISTRICTE 4,LA MAURINA                    ,GEÒRGIA                       ,1
2013,DISTRICTE 3,SEGLE XX                      ,GUATEMALA                     ,1
2016,DISTRICTE 6,CAN TUSELL                    ,"PAÏSOS BAIXOS, ELS            ",1
2016,DISTRICTE 6,DISSEMINATS                   ,ESPANYA                       ,129
2013,DISTRICTE 5,CAN BOADA CASC ANTIC          ,"PARAGUAI, EL                  ",39
2011,DISTRICTE 1,CENTRE                        ,XIPRE                         ,1
2015,DISTRICTE 1,VALLPARADÍS                   ,"IRAN, L                       ",4
2013,DISTRICTE 4,CAN PALET DE VISTA ALEGRE     ,ESPANYA                       ,1399
2013,DISTRICTE 5,CAN ROCA                      ,BOLÍVIA                       ,5
2017,DISTRICTE 1,CEMENTIRI VELL                ,"MARROC, EL                    ",207
2012,DISTRICTE 3,SEGLE XX                      ,"ESTATS UNITS D AMÈRICA, ELS   ",5
2015,DISTRICTE 3,XÚQUER                        ,BÈLGICA                       ,1
2012,DISTRICTE 5,CAN ROCA                      ,ÀUSTRIA                       ,2
2015,DISTRICTE 4,DISSEMINATS                   ,ESPANYA                       ,26
2011,DISTRICTE 1,CEMENTIRI VELL                ,"ÍNDIA, L                      ",2
2017,DISTRICTE 4,LA COGULLADA                  ,ALEMANYA                      ,5
2011,DISTRICTE 5,CAN BOADA CASC ANTIC          ,ALEMANYA                      ,3
2012,DISTRICTE 5,SANT PERE                     ,ALBÀNIA                       ,7
2017,DISTRICTE 3,SEGLE XX                      ,ROMANIA                       ,46
2013,DISTRICTE 6,SANT LLORENÇ                  ,"GUINEA, LA                    ",1
2016,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"MARROC, EL                    ",185
2014,DISTRICTE 6,SANT LLORENÇ                  ,ESPANYA                       ,3526
2017,DISTRICTE 4,LA MAURINA                    ,COLÒMBIA                      ,25
2013,DISTRICTE 2,CA N ANGLADA                  ,"PAKISTAN, EL                  ",54
2013,DISTRICTE 4,LA MAURINA                    ,IRLANDA                       ,2
2014,DISTRICTE 1,CENTRE                        ,ESPANYA                       ,17375
2014,DISTRICTE 3,LES FONTS                     ,PORTUGAL                      ,2
2014,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,ROMANIA                       ,8
2017,DISTRICTE 5,SANT PERE                     ,SÍRIA                         ,3
2014,DISTRICTE 6,SANT LLORENÇ                  ,RÚSSIA                        ,3
2016,DISTRICTE 3,LES FONTS                     ,"PARAGUAI, EL                  ",3
2017,DISTRICTE 3,LES FONTS                     ,"PAÏSOS BAIXOS, ELS            ",2
2011,DISTRICTE 6,SANT PERE NORD                ,VENEÇUELA                     ,21
2012,DISTRICTE 6,SANT LLORENÇ                  ,ROMANIA                       ,38
2015,DISTRICTE 5,SANT PERE                     ,EL SALVADOR                   ,6
2012,DISTRICTE 1,VALLPARADÍS                   ,BOLÍVIA                       ,12
2013,DISTRICTE 2,VILARDELL                     ,VENEÇUELA                     ,1
2014,DISTRICTE 6,SANT PERE NORD                ,FRANÇA                        ,6
2011,DISTRICTE 1,CEMENTIRI VELL                ,HONDURES                      ,7
2013,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,ROMANIA                       ,7
2012,DISTRICTE 4,CA N AURELL                   ,DINAMARCA                     ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"GUINEA EQUATORIAL, LA         ",4
2015,DISTRICTE 4,CAN PALET DE VISTA ALEGRE     ,GEÒRGIA                       ,1
2014,DISTRICTE 2,CA N ANGLADA                  ,ROMANIA                       ,108
2012,DISTRICTE 4,VISTA ALEGRE                  ,ITÀLIA                        ,2
2012,DISTRICTE 1,VALLPARADÍS                   ,"BRASIL, EL                    ",9
2014,DISTRICTE 3,SEGLE XX                      ,"URUGUAI, L                    ",14
2013,DISTRICTE 5,CAN BOADA DEL PI              ,EL SALVADOR                   ,6
2017,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,ROMANIA                       ,75
2017,DISTRICTE 4,LA MAURINA                    ,FRANÇA                        ,2
2014,DISTRICTE 5,CAN ROCA                      ,VENEÇUELA                     ,1
2015,DISTRICTE 4,LA MAURINA                    ,GEÒRGIA                       ,1
2017,DISTRICTE 4,LA COGULLADA                  ,BOLÍVIA                       ,14
2015,DISTRICTE 3,SEGLE XX                      ,ALBÀNIA                       ,1
2015,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"XINA, LA                      ",61
2014,DISTRICTE 1,CENTRE                        ,HONGRIA                       ,2
2017,DISTRICTE 5,CAN ROCA                      ,ALEMANYA                      ,3
2017,DISTRICTE 3,LES FONTS                     ,"SENEGAL, EL                   ",9
2017,DISTRICTE 2,MONTSERRAT                    ,GÀMBIA                        ,2
2015,DISTRICTE 2,CA N ANGLADA                  ,CUBA                          ,24
2011,DISTRICTE 5,CAN BOADA DEL PI              ,EGIPTE                        ,1
2011,DISTRICTE 5,PLA DEL BON AIRE - EL GARROT  ,ESPANYA                       ,111
2013,DISTRICTE 3,GUADALHORCE                   ,"SENEGAL, EL                   ",27
2013,DISTRICTE 6,SANT LLORENÇ                  ,UCRAÏNA                       ,2
2016,DISTRICTE 5,TORRENT D EN PERE PARRES      ,"EQUADOR, L                    ",23
2015,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,915
2015,DISTRICTE 3,CAN PALET                     ,GÀMBIA                        ,7
2012,DISTRICTE 6,SANT PERE NORD                ,BÈLGICA                       ,2
2015,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,MOLDÀVIA                      ,5
2016,DISTRICTE 1,CEMENTIRI VELL                ,TURQUIA                       ,1
2013,DISTRICTE 3,CAN PARELLADA                 ,"IRAN, L                       ",1
2017,DISTRICTE 3,CAN JOFRESA                   ,CUBA                          ,4
2014,DISTRICTE 5,TORRENT D EN PERE PARRES      ,COREA DEL SUD                 ,1
2013,DISTRICTE 2,CA N ANGLADA                  ,SÍRIA                         ,1
2012,DISTRICTE 4,LA COGULLADA                  ,CUBA                          ,17
2017,DISTRICTE 6,ÈGARA                         ,"ESTATS UNITS D AMÈRICA, ELS   ",1
2014,DISTRICTE 1,CENTRE                        ,MAURITÀNIA                    ,2
2017,DISTRICTE 4,LES MARTINES                  ,"EQUADOR, L                    ",4
2012,DISTRICTE 3,LES FONTS                     ,ITÀLIA                        ,18
2013,DISTRICTE 5,CAN BOADA DEL PI              ,CUBA                          ,2
2015,DISTRICTE 3,CAN PARELLADA                 ,"URUGUAI, L                    ",4
2011,DISTRICTE 3,CAN PALET II                  ,"SENEGAL, EL                   ",108
2016,DISTRICTE 1,CEMENTIRI VELL                ,ALTRES PAÏSOS D AMÈRICA       ,1
2012,DISTRICTE 5,CAN ROCA                      ,COREA DEL SUD                 ,1
2017,DISTRICTE 3,SEGLE XX                      ,"GUINEA BISSAU, LA             ",1
2013,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,"PAÏSOS BAIXOS, ELS            ",1
2013,DISTRICTE 2,TORRE-SANA                    ,MALI                          ,5
2011,DISTRICTE 3,CAN PARELLADA                 ,"PAÏSOS BAIXOS, ELS            ",1
2015,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"PAKISTAN, EL                  ",1
2014,DISTRICTE 3,SEGLE XX                      ,ALEMANYA                      ,11
2012,DISTRICTE 3,CAN PALET                     ,"ÍNDIA, L                      ",5
2013,DISTRICTE 2,TORRE-SANA                    ,"PARAGUAI, EL                  ",9
2012,DISTRICTE 5,CAN BOADA CASC ANTIC          ,PORTUGAL                      ,10
2014,DISTRICTE 5,TORRENT D EN PERE PARRES      ,MÈXIC                         ,5
2012,DISTRICTE 6,ÈGARA                         ,POLÒNIA                       ,1
2017,DISTRICTE 5,CAN BOADA DEL PI              ,VENEÇUELA                     ,2
2016,DISTRICTE 1,CENTRE                        ,"COSTA D IVORI, LA             ",1
2011,DISTRICTE 4,LA COGULLADA                  ,ROMANIA                       ,38
2011,DISTRICTE 4,ROC BLANC                     ,"MARROC, EL                    ",99
2015,DISTRICTE 3,P.I. SANTA EULÀLIA            ,ALEMANYA                      ,1
2014,DISTRICTE 2,CA N ANGLADA                  ,"URUGUAI, L                    ",12
2012,DISTRICTE 3,CAN PARELLADA                 ,ITÀLIA                        ,10
2012,DISTRICTE 5,DISSEMINATS                   ,ROMANIA                       ,1
2014,DISTRICTE 4,CAN PALET DE VISTA ALEGRE     ,XILE                          ,5
2016,DISTRICTE 5,TORRENT D EN PERE PARRES      ,ANGOLA                        ,1
2012,DISTRICTE 6,CAN TUSELL                    ,ROMANIA                       ,6
2016,DISTRICTE 4,LA MAURINA                    ,BOLÍVIA                       ,17
2017,DISTRICTE 4,VISTA ALEGRE                  ,RÚSSIA                        ,1
2016,DISTRICTE 3,LES FONTS                     ,VENEÇUELA                     ,2
2012,DISTRICTE 6,ÈGARA                         ,"XINA, LA                      ",32
2016,DISTRICTE 3,CAN PALET                     ,"IRAN, L                       ",2
2016,DISTRICTE 2,TORRE-SANA                    ,BIELORÚSSIA                   ,1
2017,DISTRICTE 5,SANT PERE                     ,RÚSSIA                        ,15
2014,DISTRICTE 6,SANT LLORENÇ                  ,"PARAGUAI, EL                  ",5
2014,DISTRICTE 1,VALLPARADÍS                   ,"PAKISTAN, EL                  ",5
2016,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,"IRAN, L                       ",5
2013,DISTRICTE 4,LA MAURINA                    ,VENEÇUELA                     ,5
2014,DISTRICTE 1,CEMENTIRI VELL                ,"ÍNDIA, L                      ",5
2012,DISTRICTE 5,DISSEMINATS                   ,PORTUGAL                      ,1
2014,DISTRICTE 5,SANT PERE                     ,"PERÚ, EL                      ",51
2014,DISTRICTE 2,CA N ANGLADA                  ,BOLÍVIA                       ,34
2017,DISTRICTE 1,VALLPARADÍS                   ,"SENEGAL, EL                   ",16
2013,DISTRICTE 6,ÈGARA                         ,MÈXIC                         ,1
2011,DISTRICTE 6,SANT PERE NORD                ,DINAMARCA                     ,2
2016,DISTRICTE 4,LA COGULLADA                  ,"PARAGUAI, EL                  ",23
2017,DISTRICTE 3,P.I. SANTA EULÀLIA            ,GEÒRGIA                       ,2
2016,DISTRICTE 2,TORRE-SANA                    ,RÚSSIA                        ,3
2011,DISTRICTE 4,LA COGULLADA                  ,"REPÚBLICA TXECA, LA           ",1
2014,DISTRICTE 6,ÈGARA                         ,"ARGENTINA, L                  ",15
2013,DISTRICTE 5,CAN BOADA CASC ANTIC          ,POLÒNIA                       ,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"EQUADOR, L                    ",78
2014,DISTRICTE 6,ÈGARA                         ,"JAPÓ, EL                      ",1
2016,DISTRICTE 3,CAN JOFRESA                   ,"SENEGAL, EL                   ",8
2017,DISTRICTE 3,GUADALHORCE                   ,ROMANIA                       ,5
2015,DISTRICTE 5,SANT PERE                     ,HONDURES                      ,17
2011,DISTRICTE 6,SANT PERE NORD                ,"BRASIL, EL                    ",25
2013,DISTRICTE 5,CAN BOADA CASC ANTIC          ,NIGÈRIA                       ,9
2011,DISTRICTE 6,ÈGARA                         ,NIGÈRIA                       ,5
2017,DISTRICTE 6,SANT LLORENÇ                  ,"GUINEA EQUATORIAL, LA         ",14
2015,DISTRICTE 4,LA MAURINA                    ,"REPÚBLICA TXECA, LA           ",2
2017,DISTRICTE 3,CAN JOFRESA                   ,"REPÚBLICA DOMINICANA, LA      ",10
2014,DISTRICTE 1,CEMENTIRI VELL                ,BELIZE                        ,1
2017,DISTRICTE 6,CAN TUSELL                    ,ALGÈRIA                       ,1
2011,DISTRICTE 3,LES FONTS                     ,GUATEMALA                     ,1
2015,DISTRICTE 3,LES FONTS                     ,ROMANIA                       ,11
2015,DISTRICTE 1,CENTRE                        ,FINLÀNDIA                     ,1
2013,DISTRICTE 1,VALLPARADÍS                   ,NIGÈRIA                       ,5
2016,DISTRICTE 2,MONTSERRAT                    ,"XINA, LA                      ",6
2012,DISTRICTE 2,TORRE-SANA                    ,MÈXIC                         ,5
2016,DISTRICTE 1,CEMENTIRI VELL                ,JORDÀNIA                      ,1
2012,DISTRICTE 3,CAN PALET                     ,"GUINEA EQUATORIAL, LA         ",1
2016,DISTRICTE 2,MONTSERRAT                    ,ROMANIA                       ,5
2013,DISTRICTE 6,ÈGARA                         ,"GUINEA BISSAU, LA             ",2
2014,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,BIELORÚSSIA                   ,1
2012,DISTRICTE 4,ROC BLANC                     ,"EQUADOR, L                    ",16
2016,DISTRICTE 4,LA MAURINA                    ,"PAKISTAN, EL                  ",54
2017,DISTRICTE 3,XÚQUER                        ,"REPÚBLICA DOMINICANA, LA      ",6
2017,DISTRICTE 4,LA COGULLADA                  ,"URUGUAI, L                    ",3
2015,DISTRICTE 5,CAN ROCA                      ,PORTUGAL                      ,9
2015,DISTRICTE 6,SANT LLORENÇ                  ,"PAKISTAN, EL                  ",7
2014,DISTRICTE 2,CA N ANGLADA                  ,GEÒRGIA                       ,3
2015,DISTRICTE 3,CAN PALET II                  ,ALEMANYA                      ,1
2013,DISTRICTE 3,GUADALHORCE                   ,VENEÇUELA                     ,1
2011,DISTRICTE 4,ROC BLANC                     ,BÒSNIA I HERCEGOVINA          ,1
2017,DISTRICTE 4,CAN PALET DE VISTA ALEGRE     ,"REGNE UNIT, EL                ",4
2014,DISTRICTE 5,CAN BOADA CASC ANTIC          ,"SENEGAL, EL                   ",45
2011,DISTRICTE 2,CA N ANGLADA                  ,FRANÇA                        ,8
2016,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,GUATEMALA                     ,5
2016,DISTRICTE 4,CA N AURELL                   ,CAP VERD                      ,1
2011,DISTRICTE 5,CAN BOADA CASC ANTIC          ,"URUGUAI, L                    ",10
2013,DISTRICTE 1,CENTRE                        ,"MARROC, EL                    ",298
2017,DISTRICTE 2,TORRE-SANA                    ,ROMANIA                       ,42
2011,DISTRICTE 2,CA N ANGLADA                  ,COLÒMBIA                      ,111
2017,DISTRICTE 4,CA N AURELL                   ,COLÒMBIA                      ,39
2011,DISTRICTE 4,LA COGULLADA                  ,"URUGUAI, L                    ",8
2013,DISTRICTE 3,CAN PALET II                  ,"ÍNDIA, L                      ",9
2012,DISTRICTE 4,CA N AURELL                   ,GEÒRGIA                       ,1
2016,DISTRICTE 5,PLA DEL BON AIRE - EL GARROT  ,PORTUGAL                      ,1
2016,DISTRICTE 3,CAN PARELLADA                 ,"EQUADOR, L                    ",8
2012,DISTRICTE 6,SANT PERE NORD                ,ALBÀNIA                       ,2
2012,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,GEÒRGIA                       ,1
2015,DISTRICTE 6,CAN TUSELL                    ,"SENEGAL, EL                   ",6
2014,DISTRICTE 3,SEGLE XX                      ,"REPÚBLICA TXECA, LA           ",3
2017,DISTRICTE 4,LA MAURINA                    ,"CONGO, EL                     ",2
2016,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,BOLÍVIA                       ,1
2014,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,ROMANIA                       ,104
2015,DISTRICTE 4,LA MAURINA                    ,"URUGUAI, L                    ",8
2015,DISTRICTE 1,CENTRE                        ,SÈRBIA                        ,2
2016,DISTRICTE 5,CAN BOADA CASC ANTIC          ,"REGNE UNIT, EL                ",2
2016,DISTRICTE 3,GUADALHORCE                   ,XILE                          ,1
2012,DISTRICTE 6,SANT PERE NORD                ,CUBA                          ,30
2013,DISTRICTE 6,SANT PERE NORD                ,BULGÀRIA                      ,11
2016,DISTRICTE 4,ROC BLANC                     ,MÈXIC                         ,2
2016,DISTRICTE 3,LES FONTS                     ,POLÒNIA                       ,1
2011,DISTRICTE 6,SANT PERE NORD                ,"SENEGAL, EL                   ",137
2017,DISTRICTE 5,TORRENT D EN PERE PARRES      ,"MARROC, EL                    ",124
2015,DISTRICTE 3,SEGLE XX                      ,CROÀCIA                       ,2
2012,DISTRICTE 4,CA N AURELL                   ,"BRASIL, EL                    ",33
2015,DISTRICTE 4,LA COGULLADA                  ,"URUGUAI, L                    ",4
2014,DISTRICTE 3,CAN JOFRESA                   ,ROMANIA                       ,15
2013,DISTRICTE 4,CAN PALET DE VISTA ALEGRE     ,CUBA                          ,1
2013,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,ITÀLIA                        ,34
2012,DISTRICTE 5,SANT PERE                     ,EL SALVADOR                   ,3
2013,DISTRICTE 4,CA N AURELL                   ,ESLOVÀQUIA                    ,1
2017,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,BULGÀRIA                      ,5
2014,DISTRICTE 4,LA MAURINA                    ,COLÒMBIA                      ,22
2014,DISTRICTE 2,TORRE-SANA                    ,BOLÍVIA                       ,10
2015,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,POLÒNIA                       ,5
2014,DISTRICTE 5,CAN BOADA CASC ANTIC          ,IRLANDA                       ,1
2016,DISTRICTE 1,CEMENTIRI VELL                ,"IRAN, L                       ",8
2013,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,NICARAGUA                     ,2
2013,DISTRICTE 1,CENTRE                        ,MOLDÀVIA                      ,1
2012,DISTRICTE 3,CAN PALET II                  ,COLÒMBIA                      ,5
2016,DISTRICTE 2,TORRE-SANA                    ,ESPANYA                       ,5148
2013,DISTRICTE 3,LES FONTS                     ,"XINA, LA                      ",14
2016,DISTRICTE 2,MONTSERRAT                    ,PORTUGAL                      ,2
2016,DISTRICTE 2,VILARDELL                     ,VENEÇUELA                     ,1
2014,DISTRICTE 5,CAN ROCA                      ,"SENEGAL, EL                   ",2
2014,DISTRICTE 6,ÈGARA                         ,CUBA                          ,9
2016,DISTRICTE 6,SANT LLORENÇ                  ,"PAÏSOS BAIXOS, ELS            ",1
2017,DISTRICTE 6,SANT PERE NORD                ,BOLÍVIA                       ,44
2012,DISTRICTE 4,LA COGULLADA                  ,MÈXIC                         ,4
2017,DISTRICTE 3,CAN PARELLADA                 ,ESLOVÈNIA                     ,1
2014,DISTRICTE 3,CAN PALET II                  ,"PERÚ, EL                      ",1
2011,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,"URUGUAI, L                    ",20
2016,DISTRICTE 4,CA N AURELL                   ,"JAPÓ, EL                      ",1
2015,DISTRICTE 3,LES FONTS                     ,"PAÏSOS BAIXOS, ELS            ",3
2017,DISTRICTE 4,CA N AURELL                   ,FINLÀNDIA                     ,1
2014,DISTRICTE 5,TORRENT D EN PERE PARRES      ,"BRASIL, EL                    ",5
2015,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"CANADÀ, EL                    ",4
2014,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ANDORRA                       ,1
2016,DISTRICTE 1,VALLPARADÍS                   ,"ESTATS UNITS D AMÈRICA, ELS   ",2
2016,DISTRICTE 3,GUADALHORCE                   ,"MARROC, EL                    ",115
2012,DISTRICTE 2,MONTSERRAT                    ,ITÀLIA                        ,1
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,NICARAGUA                     ,3
2012,DISTRICTE 4,CA N AURELL                   ,"MARROC, EL                    ",555
2012,DISTRICTE 1,CENTRE                        ,ANGOLA                        ,1
2012,DISTRICTE 3,CAN PARELLADA                 ,COSTA RICA                    ,4
2017,DISTRICTE 6,CAN TUSELL                    ,ESPANYA                       ,2054
2013,DISTRICTE 5,CAN BOADA DEL PI              ,"MARROC, EL                    ",120
2011,DISTRICTE 3,CAN JOFRESA                   ,POLÒNIA                       ,11
2015,DISTRICTE 6,SANT PERE NORD                ,RÚSSIA                        ,13
2013,DISTRICTE 4,LA MAURINA                    ,"XINA, LA                      ",23
2014,DISTRICTE 3,CAN JOFRESA                   ,EL SALVADOR                   ,1
2017,DISTRICTE 6,SANT PERE NORD                ,ISRAEL                        ,1
2012,DISTRICTE 1,CEMENTIRI VELL                ,DOMINICA                      ,1
2015,DISTRICTE 3,SEGLE XX                      ,ROMANIA                       ,40
2013,DISTRICTE 4,CA N AURELL                   ,NICARAGUA                     ,5
2015,DISTRICTE 6,SANT PERE NORD                ,"BRASIL, EL                    ",22
2014,DISTRICTE 3,CAN PALET II                  ,"ARGENTINA, L                  ",2
2012,DISTRICTE 4,LA MAURINA                    ,JORDÀNIA                      ,2
2014,DISTRICTE 2,TORRE-SANA                    ,CUBA                          ,3
2012,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,MÈXIC                         ,7
2017,DISTRICTE 3,SEGLE XX                      ,ALGÈRIA                       ,1
2014,DISTRICTE 5,PLA DEL BON AIRE              ,NICARAGUA                     ,1
2013,DISTRICTE 6,SANT PERE NORD                ,"SENEGAL, EL                   ",119
2012,DISTRICTE 5,CAN ROCA                      ,VENEÇUELA                     ,6
2011,DISTRICTE 6,SANT PERE NORD                ,LITUÀNIA                      ,2
2012,DISTRICTE 2,CA N ANGLADA                  ,ALGÈRIA                       ,4
2011,DISTRICTE 3,CAN PALET                     ,BÒSNIA I HERCEGOVINA          ,2
2017,DISTRICTE 5,SANT PERE                     ,"JAPÓ, EL                      ",3
2015,DISTRICTE 5,SANT PERE                     ,"XINA, LA                      ",81
2013,DISTRICTE 6,SANT PERE NORD                ,REPÚBLICA DEM. DEL CONGO      ,2
2011,DISTRICTE 3,CAN PARELLADA                 ,ESPANYA                       ,5384
2012,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,8599
2016,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,"MARROC, EL                    ",188
2011,DISTRICTE 5,PLA DEL BON AIRE              ,"XINA, LA                      ",1
2017,DISTRICTE 1,CENTRE                        ,SUÏSSA                        ,1
2017,DISTRICTE 4,CA N AURELL                   ,"CANADÀ, EL                    ",1
2016,DISTRICTE 5,TORRENT D EN PERE PARRES      ,ALGÈRIA                       ,1
2015,DISTRICTE 6,SANT LLORENÇ                  ,PORTUGAL                      ,2
2016,DISTRICTE 3,XÚQUER                        ,"PARAGUAI, EL                  ",7
2016,DISTRICTE 2,TORRE-SANA                    ,BOLÍVIA                       ,8
2017,DISTRICTE 3,CAN PALET                     ,NIGÈRIA                       ,10
2011,DISTRICTE 1,CENTRE                        ,"REGNE UNIT, EL                ",16
2013,DISTRICTE 2,CA N ANGLADA                  ,GÀMBIA                        ,5
2014,DISTRICTE 3,CAN JOFRESA                   ,"BRASIL, EL                    ",1
2014,DISTRICTE 2,MONTSERRAT                    ,BOLÍVIA                       ,4
2013,DISTRICTE 3,GUADALHORCE                   ,RÚSSIA                        ,1
2011,DISTRICTE 3,CAN PALET                     ,"ÍNDIA, L                      ",2
2011,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,"SENEGAL, EL                   ",45
2016,DISTRICTE 5,TORRENT D EN PERE PARRES      ,SUÈCIA                        ,1
2016,DISTRICTE 4,LA COGULLADA                  ,SUÏSSA                        ,1
2011,DISTRICTE 5,SANT PERE                     ,MALI                          ,1
2011,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,ESLOVÀQUIA                    ,1
2012,DISTRICTE 1,CENTRE                        ,"SENEGAL, EL                   ",12
2014,DISTRICTE 2,TORRE-SANA                    ,ANDORRA                       ,1
2015,DISTRICTE 5,SANT PERE                     ,"REGNE UNIT, EL                ",9
2013,DISTRICTE 4,LA COGULLADA                  ,PORTUGAL                      ,4
2013,DISTRICTE 3,CAN JOFRESA                   ,BOLÍVIA                       ,1
2012,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,RÚSSIA                        ,5
2013,DISTRICTE 6,SANT PERE NORD                ,NIGÈRIA                       ,14
2012,DISTRICTE 6,ÈGARA                         ,IRLANDA                       ,1
2014,DISTRICTE 3,SEGLE XX                      ,ITÀLIA                        ,39
2011,DISTRICTE 6,SANT PERE NORD                ,"PARAGUAI, EL                  ",43
2017,DISTRICTE 5,PLA DEL BON AIRE              ,BOLÍVIA                       ,3
2012,DISTRICTE 3,CAN PALET                     ,DOMINICA                      ,1
2013,DISTRICTE 3,SEGLE XX                      ,"PERÚ, EL                      ",27
2011,DISTRICTE 2,CA N ANGLADA                  ,VENEÇUELA                     ,17
2016,DISTRICTE 1,VALLPARADÍS                   ,VENEÇUELA                     ,14
2011,DISTRICTE 3,CAN PALET                     ,"EQUADOR, L                    ",217
2015,DISTRICTE 4,LA COGULLADA                  ,"REPÚBLICA TXECA, LA           ",1
2017,DISTRICTE 1,CENTRE                        ,"PARAGUAI, EL                  ",47
2012,DISTRICTE 1,ANTIC POBLE DE SANT PERE      ,FRANÇA                        ,1
2017,DISTRICTE 4,CAN PALET DE VISTA ALEGRE     ,"ARGENTINA, L                  ",4
2016,DISTRICTE 3,GUADALHORCE                   ,ROMANIA                       ,5
2014,DISTRICTE 2,TORRE-SANA                    ,BÈLGICA                       ,2
2014,DISTRICTE 1,CEMENTIRI VELL                ,IRLANDA                       ,1
2016,DISTRICTE 4,LA COGULLADA                  ,BULGÀRIA                      ,3
2017,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,"ESTATS UNITS D AMÈRICA, ELS   ",4
2014,DISTRICTE 6,SANT PERE NORD                ,"PAÏSOS BAIXOS, ELS            ",3
2016,DISTRICTE 5,SANT PERE                     ,HONGRIA                       ,1
2016,DISTRICTE 2,MONTSERRAT                    ,"CANADÀ, EL                    ",1
2013,DISTRICTE 5,CAN ROCA                      ,"GUINEA EQUATORIAL, LA         ",1
2013,DISTRICTE 4,LA COGULLADA                  ,"URUGUAI, L                    ",7
2013,DISTRICTE 3,SEGLE XX                      ,"ARGENTINA, L                  ",22
2017,DISTRICTE 5,TORRENT D EN PERE PARRES      ,COLÒMBIA                      ,15
2012,DISTRICTE 3,CAN PALET                     ,ALEMANYA                      ,11
2012,DISTRICTE 5,TORRENT D EN PERE PARRES      ,BOLÍVIA                       ,6
2016,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"PARAGUAI, EL                  ",53
2017,DISTRICTE 2,MONTSERRAT                    ,PORTUGAL                      ,2
2015,DISTRICTE 3,SEGLE XX                      ,"ARGENTINA, L                  ",7
2011,DISTRICTE 2,CA N ANGLADA                  ,"BRASIL, EL                    ",26
2012,DISTRICTE 1,VALLPARADÍS                   ,"REGNE UNIT, EL                ",4
2014,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,CUBA                          ,8
2016,DISTRICTE 4,LA COGULLADA                  ,VENEÇUELA                     ,3
2017,DISTRICTE 3,CAN JOFRESA                   ,"MARROC, EL                    ",47
2017,DISTRICTE 5,SANT PERE                     ,"BRASIL, EL                    ",18
2017,DISTRICTE 1,CEMENTIRI VELL                ,"BRASIL, EL                    ",13
