ï»¿NOM,TELEFON,EMAIL,HORARI,ADRECA,X,Y,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,LOCALITZACIO
Restaurant Norden,937 359 926,,"De dimarts a diumenge de 12.30 a 16.00 h. i de 20.00 a 23.00 h., dilluns tot el dia tancat i diumenge a la nit.","PS DEL VAPOR GRAN, 11",417877.2679,4601677.5145,417783.2823,4601473.2930,2.0140140,41.5607075,"(41.56070751677046, 2.014014028812239)"
Cal Pepe,937 802 401     ,, de dilluns a diumenge de 6 a 21 h,"CR D OLESA, 272",415921.1875,4601195.3750,415827.1952,4600991.1676,1.9906266,41.5561620,"(41.556161982897315, 1.9906266373238113)"
Gormand,937 832 362     ,,De dilluns a dijous de 7.30 a 22.30 h. i divendres i dissabte de 7.30 a 00.00 h.,"CR DE MONTCADA, 191",417855.4063,4601318.1875,417761.4179,4601113.9656,2.0138011,41.5574692,"(41.557469157016165, 2.0138010606232686)"
Tascana,619 760 060    ,,De dilluns a dissabte de 18.00 a 00.00 h.,"CA DEL CARDAIRE, 1",417832.9574,4601930.3286,417738.9736,4601726.1078,2.0134481,41.5629798,"(41.56297981457332, 2.0134480993781785)"
Cafè Teatre,937 802 238,cafeteatre@hotmail.com,"De dilluns a divendres de 9.00 a 18.00 h. i de dimecres a dissabte de 19.00 a 23.00 h., diumenges tancat ","CA DE BAIX, 31",417594.5324,4601739.8555,417500.5468,4601535.6362,2.0106152,41.5612399,"(41.5612398579122, 2.010615237777911)"
Centre Cultural El Social,937 831 917  937 832 527 (bar),secretaria@elsocial.cat,"Horari de secretaria: Dilluns, dimecres i divendres de 19.00 a 21.00 h.","CA DE LA FONT VELLA, 40",417788.6777,4601903.2708,417694.6937,4601699.0503,2.0129208,41.5627316,"(41.5627315770108, 2.0129208366612916)"
Avenida Madrid Bar Restaurante,931 055 192 638867864,restauranteavenidamadrid@gmail.com,,"AV DE MADRID, 104",419860.8438,4601757.3750,419766.8619,4601553.1386,2.0377882,41.5616281,"(41.56162811941501, 2.0377882198178052)"
Bar Restaurant El Cano,937 801 936,,De dilluns a divendres,"CA DE JOAN ABELLÓ I BUFÍ, 19",417180.3853,4602529.4430,417086.4051,4602325.2281,2.0055403,41.5683081,"(41.56830807728917, 2.005540271341735)"
Bar Restaurant Millenium,937 844 802,,"De dilluns a divendres de 6.30 a 22.00 h., dissabte de 6.30 a 13.00 h. i diumenge tancat","CA DE VENUS, 19",419417.6875,4599764.6250,419323.6898,4599560.3888,2.0327417,41.5436367,"(41.543636650891386, 2.0327417176143214)"
Restaurant Braseria l Eclipsse,937 850 997   625 453 382,f.eclipse@hotmail.com,De dilluns a dissabte de 8.00 a 00.00 h.,"CA DE SANT HONORAT, 39",419141.4375,4602020.6250,419047.4564,4601816.3944,2.0291263,41.5639265,"(41.5639265016908, 2.0291263033147264)"
Restaurante l Eclipse,937 850 997,,,"CA DE SANT HONORAT, 41",419144.7813,4602021.4375,419050.8003,4601817.2069,2.0291663,41.5639342,"(41.56393415747566, 2.0291662909756183)"
Restaurant Los Remos,937 850 057     ,," de dimarts a dissabte de 13 a 16 h i de 20 a 24 h, diumenge de 13 a 16 h i dilluns tancat","CA DE SANT TOMÀS, 52",419282.0197,4602191.4859,419188.0402,4601987.2545,2.0307891,41.5654795,"(41.56547950102555, 2.030789111741184)"
Taxi Kebab - Menjar Mediterrani, ,,De dilluns a divendres de 9.00 a 23.00 h. i diumenge de 19.00 a 23.00 h.,"CA DE MIQUEL VIVES, 28",418537.9090,4601966.4155,418443.9266,4601762.1894,2.0218965,41.5633770,"(41.56337698950814, 2.0218964699306197)"
Kebap House,695 384 620,,,"RM D ÈGARA, 123",417327.6250,4601622.6875,417233.6381,4601418.4701,2.0074309,41.5601571,"(41.560157074070126, 2.00743091196155)"
Restaurant Tapiñas Tradicional,937 859 746     ,,De dilluns a diumenge de 8.00 a 16.00 h. i de 20.00 a 00.00 h.,"PL DE MARAGALL, 1",417817.4298,4602116.7085,417723.4474,4601912.4881,2.0132364,41.5646568,"(41.564656760829926, 2.0132363817152044)"
Bar Cheers,937 358 390,,De dilluns a divendres de 7.30 a 17.30 h. i dissabte de 19.00 a 00.00 h.,"CA DE MANRESA, 1",418244.8141,4603278.8579,418150.8412,4603074.6361,2.0182030,41.5751670,"(41.575166959490666, 2.018203030078977)"
Chingon,937 838 636     ,, de dimecres a diumenge de 18 a 2 de la matinada,"CR DE MONTCADA, 240",418122.8492,4601330.9329,418028.8613,4601126.7090,2.0170060,41.5576114,"(41.55761138441881, 2.01700602806939)"
Restaurant Mélange,937 895 144     ,info@melange-restaurant.com,"De dilluns a dissabte de 13.00 a 16.00 h. dimecres, dijous, divendres i dissabtes nit de 21.00 a 23.00 h.","CA DE BAIX, 19",417625.7813,4601749.2500,417531.7958,4601545.0305,2.0109887,41.5613277,"(41.56132768664963, 2.0109886516285265)"
Restaurant Asiàtic Continental,937 310 551,,,"AV DE BARCELONA, 216-A",418970.9274,4602236.8435,418876.9477,4602032.6146,2.0270524,41.5658565,"(41.56585650768215, 2.0270524404290997)"
Restaurant Xinès Shanghai,937 806 720,,,"CA D ARQUIMEDES, 140",417242.7841,4601614.1548,417148.7970,4601409.9380,2.0064148,41.5600714,"(41.56007144760389, 2.0064147859639916)"
A Rua, ,,,"CA D ARQUIMEDES, 129",417231.5938,4601593.3125,417137.6065,4601389.0958,2.0062835,41.5598826,"(41.559882582654545, 2.006283480401868)"
Real Club de Golf El Prat,937 281 000,rcgep@rcgep.com,,"CM DELS PLANS DE CAN BONVILAR, 17",421575.3312,4602761.6138,421481.3595,4602557.3659,2.0582156,41.5708425,"(41.57084253449, 2.058215632596329)"
La Terrasseta del Don Cándido,937 333 300,,"Dilluns i diumenge matí i migdia i de dimarts a dissabte matí, migdia i nit","CA D ANTON FRANCH, 1",417301.9183,4600789.5971,417207.9251,4600585.3786,2.0072374,41.5526516,"(41.55265158123794, 2.007237423391591)"
Restaurant Can Bondia,937 870 326,canbondia@canbondia.es,Horari de cuina: De dimarts a diumenge de 13.00 a 15.30 h. i de 21.00 a 22.30 h.,"DS CAN BONDIA, 1",419894.3438,4605584.9375,419800.3910,4605380.7067,2.0376786,41.5961028,"(41.59610278391967, 2.0376786362698533)"
Atlètic Terrassa Hockey Club,937 870 351,comunicacio@athc.cat,,"CR DE CASTELLAR,Km. 23",420154.7500,4605401.1250,420060.7962,4605196.8920,2.0408273,41.5944735,"(41.594473450649176, 2.040827347774687)"
Restaurant Braseria Olímpic,935 372 368,,Dilluns de 13.00 a 15.30 h. i de dimarts a diumenge de 8.00 a 22.30 h.,"CA DE SEVERO OCHOA, 43",416798.1563,4601898.0625,416704.1707,4601693.8495,2.0010440,41.5625822,"(41.56258215568878, 2.001044043619177)"
Peràpats clàssic restaurant,937 842 611,,Cuina oberta de 13.00 a 00.00 h.,"PL DE LA TERRASSA INDUSTRIAL, 5-B",418125.6437,4601304.5468,418031.6556,4601100.3228,2.0170431,41.5573740,"(41.557374036140075, 2.017043133427358)"
Restaurant Sapporo,937 863 580     ,,De dilluns a diumenge de 12.00 a 16.00 h. i de 20.00 a 00.00 h.,"CR DE MONTCADA, 244",418128.3922,4601321.4069,418034.4043,4601117.1829,2.0170738,41.5575262,"(41.55752616059434, 2.0170737892762514)"
Mesón del Jamón,937 846 369     ,,,"CR DE MONTCADA, 250",418154.3505,4601319.8334,418060.3626,4601115.6092,2.0173853,41.5575146,"(41.557514648155774, 2.0173852505408596)"
Racó del Cava,937 875 769,,"Dilluns de 7.00 a 16.00 h., de dimarts a divendres de 7.00 a 00.00 h., dissabte de 9.00 a 00.00 h. i diumenge de 12.00 a 00.00 h.","PS DE LES LLETRES, 7",417538.8858,4602643.7638,417444.9070,4602439.5463,2.0098238,41.5693747,"(41.56937473302134, 2.0098237768579916)"
Fior Di Loto,937 841 774,,De dilluns a divendres de 13.00 a 15.30 h. De dimarts a dissabte de 21.00 a 23.30 h.,"CA DE RAMÓN Y CAJAL, 199",418854.3080,4601402.7727,418760.3218,4601198.5433,2.0257667,41.5583330,"(41.55833297580283, 2.0257667253773204)"
Bar Restaurant Cal Toni,937 851 948,,De dilluns a divendres de 7.00 a 17.00 h.,"CA DE FERRAN CANYAMERES, 19",419092.1612,4603058.8801,418998.1880,4602854.6515,2.0283954,41.5732721,"(41.573272105368815, 2.0283954021463395)"
Restaurant Roca,937 355 530     ,, de dilluns a dissabte de 8 a 16 h,"CA DE ROCA I ROCA, 24",418241.8074,4603109.8279,418147.8332,4602905.6058,2.0181900,41.5736444,"(41.573644363029516, 2.018190008461786)"
Casa de l Avi,937 881 911,casadelavi@gmail.com,"De dilluns a dijous de 8.00 a 16.00 h., divendres i dissabte de 8.00 a 23.00 h. i diumenge de 8.00 a 16.00 h.","CA DE JOSEP TRUETA, 83",416827.0625,4602338.4375,416733.0803,4602134.2250,2.0013296,41.5665512,"(41.56655118046496, 2.001329629608307)"
El argentino al paso, ,,"De dilluns a dijous de 7.00 a 17.00 h., divendres de 7.00 a 17.00 h. i de 20.30 a 23.30 h., dissabte d 11.30 a 16.00 h. i de 20.30 a 23.30 h. i diumenge d 11.30 a 16.00 h.","CA DE SALVADOR BUSQUETS, 11",418611.2825,4602228.6357,418517.3022,4602024.4095,2.0227408,41.5657460,"(41.565746035463924, 2.0227407556370953)"
Frankfurt Les Fonts,937 840 789,,"De dilluns a divendres de 7.00 a 23.00 h., dissabte de 8.00 a 1.00 h. i diumenge de 12.00 a 00.00 h.","CA DE ROMA, 3",419636.2500,4598631.9375,419542.2440,4598427.6979,2.0355133,41.5334575,"(41.533457516037515, 2.0355132737927897)"
Bar Restaurant La Brocheta,937 882 288 628 443 635,labrocheta70@gmail.com,Dilluns tancat De dimarts a divendres de 8 a 2 1h Divendres i dissabtes de 8 a 23 h Diumenges de 8 a 16 h,"CA D ORÀ, 43",416085.1563,4601806.0625,415991.1689,4601601.8548,1.9925072,41.5616791,"(41.56167905381636, 1.9925072430854145)"
Restaurant Bar Novo,937 882 937,,De dilluns a divendres de 6.30 a 21.30 h i dissabte de 7.30 a 17.00 h.,"CA D EDISON, 85",417006.4688,4600824.4375,416912.4754,4600620.2213,2.0036904,41.5529347,"(41.55293473597809, 2.0036903716510537)"
Restaurant Mesón Calmaestra - La Maurina,937 891 019,,"Obert tots els dies excepte els diumenges, dilluns i dimarts nit tancat.","CA DE NÚRIA, 174",416491.0420,4601677.9640,416397.0542,4601473.7530,1.9973920,41.5605679,"(41.560567916441116, 1.9973920198986996)"
Bar La Encina I,935 378 553,,,"CA DE LA HISPANITAT, 5",416867.1475,4602809.7830,416773.1689,4602605.5709,2.0017450,41.5708003,"(41.57080028548497, 2.00174501723596)"
Bar Restaurant Mil.lenium Nord,937 343 182,,De dilluns a diumenge de 9.00 a 21.00 h.,"AV DE BÉJAR, 399",418821.9104,4603869.3792,418727.9429,4603665.1539,2.0250445,41.5805441,"(41.580544076098356, 2.0250445257583625)"
Bar Restaurant 200,937 350 520     ,,,"CA DE PROVENÇA, 200",418726.8945,4604115.0816,418632.9287,4603910.8574,2.0238716,41.5827472,"(41.58274721564436, 2.0238715500811773)"
Bar Restaurant Soraya,649 351 187,, de dilluns a diumenge de 6 de la matinada a 11 o 12 de la nit,"PA COMERCIAL, 8",419256.1426,4602322.8125,419162.1640,4602118.5815,2.0304611,41.5666596,"(41.566659623455706, 2.0304611285042933)"
Restaurant Quicuina (Cal Sala),937 838 036,,De dilluns a divendres de 9.00 a 17.00 h. i dissabte de 12.30 a 17.00 h.,"CA DEL CAMÍ FONDO, 22",417797.8125,4602217.4375,417703.8309,4602013.2174,2.0129873,41.5655619,"(41.56556191112266, 2.0129873419378086)"
T agradarà,937 316 803,,De dilluns a divendres de 8.00 a 21.00 h. i dissabte de 13.00 a 17.00 h.,"AV DE JACQUARD, 35",418374.4375,4602020.0000,418280.4553,4601815.7752,2.0199289,41.5638429,"(41.563842892724914, 2.01992893768734)"
Restaurant L amanida,937 312 379     ,," dilluns i diumenge tancat, de dimarts a dijous de 13 a 16 h i divendres i dissabte de 13 a 16 h i de 21 a 23 h","CA DE POMPEU FABRA, 83",418715.7813,4603371.9375,418621.8098,4603167.7122,2.0238390,41.5760533,"(41.576053303427265, 2.023838979223717)"
L incontro,937 349 518,info@restaurantlincontro.com,De dimarts a dissabte de 13.00 a 15.30 h. i de 20.30 a 23.30 h.,"CA DE GALILEU, 323",417167.6849,4602240.1852,417073.7025,4602035.9699,2.0054279,41.5657017,"(41.565701703848426, 2.005427894954535)"
La Cantonada de les Barriques,937 875 659,,De dimarts a divendres de 8.00 a 23.00 h.Dissabte de 9.00 a 00.00 h.Diumenge de 10.00 a 23.00 h.,"CA DEL DIBUIXANT AVELLANEDA, 65",418037.4247,4603606.2954,417943.4540,4603402.0757,2.0156710,41.5780946,"(41.57809461361784, 2.0156709543377866)"
Llumí Restaurant,937 882 574,info@restaurantllumi.com,De dimarts a dissabtes migdies i nits,"RM D ÈGARA, 241",417358.6875,4602063.1250,417264.7040,4601858.9080,2.0077427,41.5641269,"(41.56412687470971, 2.0077427299389057)"
Frankfurt Rambla,609 981 629  ,,De dilluns a dijous de 08.00 a 22.00 h. De divendres a dissabte de 08.00 a 23.00 h. Diumenge de 08.00 a 16.00 h,"RM D ÈGARA, 146",417366.2231,4601777.6740,417272.2375,4601573.4565,2.0078724,41.5615569,"(41.56155687744822, 2.007872393990243)"
La Terrassa del Museu,937 894 443,info@laterrassa.es,"Dimarts de 13.00 a 16.00 h., Dimecres i dijous de 13.00 a 23.00h., Divendres i dissabtes de 13.00 a 23.00., Diumenge de 13.00 a 16.00h.","RM D ÈGARA, 270",417336.2188,4602169.1250,417242.2361,4601964.9084,2.0074587,41.5650792,"(41.56507918807833, 2.007458696947104)"
"Restaurant Escaletes, 8",937 842 505    654 140 482  ,,Horari de cuina: de dilluns a divendres de 13.00 a 15.30 h.Dijous de 21.00 a 23.00 h. divendres i dissabte de 21.00 a 23.30 h.,"CA DE LES ESCALETES, 8",417814.1295,4602134.1762,417720.1473,4601929.9559,2.0131944,41.5648137,"(41.56481373599838, 2.013194413781761)"
Pizza Sí,937 338 495,,De dimarts a diumenge de 13.00 a 16.00 h. i de 20.00 a 00.00 h.  ,"PL DEL VAPOR VENTALLÓ, 2",417690.3750,4602155.6250,417596.3927,4601951.4056,2.0117075,41.5649942,"(41.56499416633698, 2.011707459011015)"
Restaurant Meson Compostela,937 856 627     ,,De dilluns a divendres  Dissabte  Diumenge,"CA DEL DR. TORRAS I BAGES, 21",418081.4121,4600856.4299,417987.4206,4600652.2056,2.0165739,41.5533337,"(41.55333373971738, 2.01657392700416)"
Shibuya Taverna Japonesa,937 337 035 661 372 234 (Reserves),info@tavernashibuya.com,De dimarts a diumenges.,"CA DE SANT FRANCESC, 62",417801.5625,4601394.3125,417707.5746,4601190.0911,2.0131450,41.5581492,"(41.55814920616032, 2.0131450376756956)"
Restaurant Cafeteria Q Sport,937 331 038 (Centre Esportiu Q Sport)   ,,,"CA DE SANT GAIETÀ, 107",417472.7694,4602589.5262,417378.7901,4602385.3092,2.0090383,41.5688794,"(41.56887944179448, 2.0090383414342754)"
Bar Churrería Rosa,937 852 240,,"De dilluns a diumenge de 6.00 a 17.00 h., a la nit només obren per fer sopars per a grups que prèviament han encarregat el servei.","CA DE SANT HONORAT, 50",419277.6415,4602033.5192,419183.6608,4601829.2876,2.0307579,41.5640564,"(41.56405639867528, 2.0307578577084726)"
Bar Cafeteria Boulevard,937 350 040            ,,De dilluns a divendres de 7.00 a 22.00 h. i dissabte i diumenge de 8.00 a 22.00 h.,"PC DE LA CREU, 18-A",418272.4375,4602675.3750,418178.4601,4602471.1520,2.0186165,41.5697348,"(41.56973480060899, 2.018616549696482)"
El Rebost de Terrassasports,937 342 726,,De dilluns a divendres de 7.30 a 23.30 h.,"CA DELS JOCS OLÍMPICS, 17",417552.6828,4603545.1586,417458.7109,4603340.9424,2.0098653,41.5774941,"(41.57749412391731, 2.009865344516685)"
Restaurant Cerveseria Xanu,937 894 962,cerveceriaxanu@hotmail.com,De dilluns a dissabte de 7.00 a 24.00 h.    ,"CA DEL PARE LLAURADOR, 75",417158.7500,4602050.5000,417064.7661,4601846.2845,2.0053469,41.5639925,"(41.563992471332966, 2.0053469343956105)"
Restaurant La Muntanyeta,937 838 454,,"De dimecres a divendres de 10.00 a 17.00 h. dissabtes, diumenges i festius de 10.00 a 20.00 h.","P  EL LLAC DE VALLPARADÍS, 5",418403.5519,4601350.9185,418309.5646,4601146.6925,2.0203690,41.5578201,"(41.55782008210402, 2.020369016349816)"
Ke Prens ?,937 882 117,,De dilluns a divendres de 8.30 a 16.00 h. i de dijous a dissabte de 21.00 a 00.00 h.,"CA DE PASTEUR, 79",416935.4020,4602358.5268,416841.4201,4602154.3135,2.0026260,41.5667434,"(41.56674337475543, 2.0026260422684516)"
Bar Can Palet,937 314 714,,De dilluns a dissabte de 6.00 a 22.00 h.,"CA DEL BAGES, 61",418573.5938,4600773.0000,418479.6024,4600568.7718,2.0224863,41.5526327,"(41.55263265014834, 2.022486251453528)"
Mi recinto,931 883 791,goliardgrup@hotmail.com,De dilluns a diumenge de 13.00 a 23.00 h.,"CA DE PI I MARGALL, 118",417025.0313,4602094.8125,416931.0475,4601890.5981,2.0037373,41.5643777,"(41.56437767613417, 2.003737332436826)"
Restaurant Dues Portes,937 882 143,info@duesportes.com,De dilluns a dijous de 7.00 a 22.00 h. de divendres a dissabte de 7.00 a 23.00 h.,"CA DE VOLTA, 8",417340.6250,4602013.4375,417246.6411,4601809.2206,2.0075330,41.5636775,"(41.5636775201394, 2.007532978010476)"
Can Torreca,937 885 422,,De dimecres a dissabte de 13.00 a 15.30 h. Dilluns a dissabte de 21.00 a 23.30 h.,"CA DE LA RUTLLA, 6",417687.8086,4601707.6077,417593.8229,4601503.3877,2.0117381,41.5609590,"(41.560959045948195, 2.0117381279100743)"
Sin - City s Food - Drink - More,937 875 246     692 793 408,info@grupfetcalent.net,De dilluns a diumenge de 8.30 a 12.00 h.,"CA DEL CONSELL DE CENT, 57-C",418352.1044,4603443.5000,418258.1329,4603239.2776,2.0194674,41.5766607,"(41.57666070493584, 2.0194674065771476)"
Jamón Jamón el Bodegón,937 364 319     ,,De dilluns a dissabte de 8.00 a 23.00 h. i diumenge obren al migdia,"CA DE VILAFRANCA DEL PENEDÈS, 19",418178.9375,4603869.6875,418084.9690,4603665.4671,2.0173323,41.5804812,"(41.58048123700653, 2.0173323299016483)"
Restaurant Meson Can Gonteres,937 806 852     ,canario.75jmtr@gmail.com,De dimarts a divendres de 8.30 a 22.00 h. dissabte i diumenge 8.30 a 24.00h,"CA DE L EUCALIPTUS, 2",414985.6875,4603136.5000,414891.7085,4602932.3027,1.9791351,41.5735447,"(41.57354467731977, 1.979135125878498)"
Restaurant El Cep,937 310 003     ,,,"CA DE JOSEP MARIA PALAU, 23",418766.7267,4602895.5031,418672.7517,4602691.2767,2.0245145,41.5717677,"(41.57176769682524, 2.0245145247698777)"
Restaurant l Hort d Ullastrell,937 859 963,,De dilluns a divendres de 9.00 a 18.00 h. i dissabte i diumenge de 12.00 a 18.00 h.,"CA DE VALLS, 119",417818.6650,4600536.5004,417724.6706,4600332.2776,2.0134675,41.5504255,"(41.550425470033076, 2.013467510616541)"
Restaurant Can Sues,937 832 808     617 596 433,info@cansues.com,"De dilluns a dijous de 13.00 a 16.00 h., divendres de 13.00 a 16.00 h. i de 21.00 a 00.00 h., dissabte de 10.00 a 12.00 h., de 13.00 a 16.00 h. i de 21.00 a 00.00 h. i diumenge de 10.00 a 12.00 h. i de 13.00 a 16.00 h.","MA CAN SUAS, 1",421332.3125,4600479.0000,421238.3231,4600274.7504,2.0556003,41.5502611,"(41.55026108448411, 2.0556003074912277)"
El Local Bar Restaurant,937 316 843,,De dimarts a diumenge de 18.00 a 1.00 h.,"CA DEL TEATRE, 4",417782.8750,4602111.8750,417688.8925,4601907.6549,2.0128227,41.5646097,"(41.5646096755519, 2.012822677891815)"
Frankfurt Akira,937 835 469,,,"AV DE SANTA EULÀLIA, 205",418348.4063,4600599.7500,418254.4132,4600395.5232,2.0198100,41.5510494,"(41.55104937990324, 2.0198099528241245)"
BI-EN Teppanyaki,937 361 225,reservas@bienrestaurants.com,De dilluns a dissabte de 13.00 a 16.00 h. De dimecres a dissabte de 20.30 a 23.30 h.,"CA DEL PERIODISTA GRANÉ, 125",418917.4376,4603001.4255,418823.4636,4602797.1981,2.0263077,41.5727370,"(41.57273695047273, 2.026307672208898)"
Bar Restaurant Manolín,937 856 160,,De dilluns a dijous de 7.00 a 17.00 h. i divendres i dissabte de 7.00 a 00.00 h.,"CA DE MIQUEL VIVES, 99",418916.8570,4602096.7923,418822.8762,4601892.5635,2.0264230,41.5645897,"(41.564589712605965, 2.026422960355348)"
Bar Restaurant Lucense,937 881 090,,De dilluns a dissabte de 8.00 a 22.00 h.,"CA DE L INFANT MARTÍ, 119",416905.6934,4601360.2691,416811.7039,4601156.0545,2.0024080,41.5577500,"(41.55774997403352, 2.0024079824081094)"
Restaurant Eliseo,937 885 905     ,,"De dilluns a dijous de 6.30 a 21.00 h, divendres i dissabte de 6.30 a 23.00 h i diumenge de 8.00 a 15.00 h.","CA D ALEXANDER BELL, 134",416625.6563,4602361.8125,416531.6739,4602157.6015,1.9989111,41.5667407,"(41.56674070492342, 1.9989111462400508)"
Bar Leonés,937 883 029,,De dilluns a dissabte de 6.00 a 20.00 h.,"CR D OLESA, 298",415865.8807,4601207.6625,415771.8884,4601003.4555,1.9899618,41.5562668,"(41.556266824299186, 1.9899617919987456)"
Bar Parada,937 881 021,,,"CR D OLESA, 244",416001.8438,4601178.3125,415907.8515,4600974.1044,1.9915961,41.5560168,"(41.55601679836946, 1.9915960864293552)"
Noemi Restaurante Pulperia,937 887 162     ,,,"AV DE L ABAT MARCET, 353",416963.0806,4603127.5664,416869.1046,4602923.3541,2.0028515,41.5736722,"(41.57367221611484, 2.00285152317568)"
Restaurant Bizarre,626 056 058,info@bizarre.cat (reserves),"Dijous, divendres i dissabte de 20.30 a 3.00 h. Horari de sopars: de 21.00 a 23.30 h., diumenge a partir de les 19 h","CA DEL CAMÍ FONDO, 35",417802.9063,4602242.1250,417708.9249,4602037.9049,2.0130450,41.5657848,"(41.565784771419324, 2.013045043864837)"
Restaurant Masia Can Palet,937 840 731,masiacanpalet@masiacanpalet.com,"De dimarts a dijous de 13.00 a 16.00 h., divendres i dissabte de 11.00 a 1.00 h. i diumenge de 13.00 a 16.30 h.","AV DE LES GLÒRIES CATALANES, 119",418989.3125,4601123.0000,418895.3244,4600918.7692,2.0274232,41.5558270,"(41.55582701626983, 2.0274232415007383)"
Restaurante Granada,937 332 099,info@bargranada.com,"De dilluns a divendres de 7.00 a 22.00 h., dissabte de 8.00 a 00.00 h. (estiu de 8.00 a 17.00 h.), diumenges i festius tancat","CA DE LAVOISIER, 2",417155.3813,4601087.4805,417061.3901,4600883.2635,2.0054394,41.5553192,"(41.55531915380769, 2.0054394455915476)"
Restaurant Vall Repos,937 880 866     ,," de dilluns a divendres de 8.30 a 20.30 h i dissabte de 8.30 a 16 h, diumenge tancat","RM D ÈGARA, 287",417296.5313,4602188.3750,417202.5487,4601984.1587,2.0069801,41.5652484,"(41.56524844707262, 2.0069801266706127)"
Cafeteria Restaurant Donau,937 331 933,,De dilluns a dissabte de 8.30 a 17.00 h.,"PL DE SALVADOR ESPRIU, 5",417413.9610,4601873.7529,417319.9762,4601669.5352,2.0084316,41.5624271,"(41.56242710067074, 2.0084315977136837)"
Restaurant Braseria Casa Teva,937 848 105 607 841 506,,"Dimarts, dimecres, dijous i diumenge de 13.00 a 16.00 h. i divendres i dissabte de 13.00 a 16.00 h. i de 21.00 a 23.30 h.","CA DE PRAT DE LA RIBA, 24",418479.7494,4602115.9414,418385.7680,4601911.7160,2.0211787,41.5647177,"(41.56471769637711, 2.021178746567741)"
Bar Restaurant El Racó del Parc,937 887 704 690 074 357,racodelparc.restaurant@gmail.com,Dilluns de 10.00 a 17.00 h. De dimarts a dissabte de 10.00 a 17.00 h. i de 19.00 a 23.00 h. Diumenge de 11.00 a 14.30 h.,"PL DEL PARC DELS CATALANS, 1",417364.4004,4601411.0453,417270.4120,4601206.8273,2.0079010,41.5582548,"(41.55825482295829, 2.007901009656644)"
Bar Restaurant Bonateca I,937 369 356,,,"CA DE COLOM, 115",418677.4445,4601568.0359,418583.4593,4601363.8081,2.0236237,41.5598034,"(41.55980337073069, 2.023623666826525)"
Bar Restaurant Bonateca II,937 356 104,,De dilluns a diumenge de 6.00 a 23.00 h.,"RM DE FRANCESC MACIÀ, 40",418511.6226,4603420.5374,418417.6512,4603216.3138,2.0213838,41.5764702,"(41.5764701934206, 2.0213837574815017)"
Bar Restaurant Aliaga,937 832 404    937 854 253     ,rte_aliaga@cecot.es,,"CA DEL MIÑO, 25",419220.5938,4601143.1875,419126.6062,4600938.9550,2.0301936,41.5560322,"(41.55603223386814, 2.030193585477786)"
La Parada,937 861 241,,De dilluns a diumenge de 12.30 a 00.00 h.,"CA DEL PERIODISTA GRANÉ, 174",419035.0135,4603148.4191,418941.0408,4602944.1911,2.0276979,41.5740727,"(41.57407270819416, 2.0276979322033557)"
Restaurant Raíces,937 354 580,,De dilluns a dimecres de 12.00 a 16.00 h. De dijous a dissabte de 12.00 a 16.00 h. i de 20.00 a 00.00 h. Diumenge de 12.00 a 22.00 h.,"CA DEL DR. FERRAN, 164",418512.9063,4603566.5000,418418.9360,4603362.2766,2.0213793,41.5777849,"(41.57778486811621, 2.021379321941488)"
El Paladar,937 839 095,,"De dilluns a dijous de 8.00 a 00.00 h., divendres de 8.00 a 1.00 h. i dissabte de 12.00 a 1.00 h.","PS DEL VAPOR GRAN, 28-A",417806.4061,4601607.3607,417712.4198,4601403.1396,2.0131739,41.5600684,"(41.56006842433554, 2.0131739430533537)"
Sport Center Land,937 266 644 (caps de setmana)    625 429 625 (laborables) ,info@sportcenterland.es,"Divendres de 16.00 a 20.00 h. i dissabtes, diumenges i festius de 10.00 a 20.00 h.","CR DE MONTCADA, 894",421813.1838,4600815.3885,421719.1977,4600611.1358,2.0613217,41.5533378,"(41.553337833018624, 2.061321706261824)"
Bar Restaurante Braseria Jamón el bodegón,937 364 319,,De dilluns a dissabte de 8.30 a 23.00 h.,"CA DE VILAFRANCA DEL PENEDÈS, 19",418178.9375,4603869.6875,418084.9690,4603665.4671,2.0173323,41.5804812,"(41.58048123700653, 2.0173323299016483)"
Restaurant Pizzeria San Marino,937 881 863   632 208 709   937 368 653 (servei a domicili),,De 12.00 a 16.30 h. i de 19.30 a 00.00 h.,"CA DE VINYALS, 31",417401.5041,4601599.2153,417307.5172,4601394.9973,2.0083200,41.5599533,"(41.55995332187871, 2.00832000483402)"
El Asador,937 894 014,,"De dimarts a diumenge de 13.00 a 16.00 h. i de 20.30 a 23.30 h., diumenge nit tancat.","CA DEL VALL, 39",417560.2005,4601700.3181,417466.2146,4601496.0990,2.0102090,41.5608802,"(41.560880242194436, 2.010208997004359)"
Restaurant Font de Les Canyes,937 838 181,,"De dilluns a dissabte de 7.00 a 17.00 h., diumenges i festius tancat. ","CA DEL CAMÍ FONT DE LES CANYES, 48",419423.0003,4603918.8364,419329.0341,4603714.6066,2.0322477,41.5810504,"(41.58105036403544, 2.032247689976971)"
Il Pastificcio,937 339 169,,De dilluns a diumenge de 12.30 a 16.30 h. i de 19.30 a 00.30 h.,"CA DE LA CISTERNA, 8",417440.6875,4601753.8125,417346.7018,4601549.5944,2.0087686,41.5613497,"(41.56134967650939, 2.0087685766599095)"
