Lloc de treball,Nº Efectius,Destí,Grup,Salari Base ,C. Destí ,C. Específic ,Assistència Ple,Assistència C.Informativa,Mensual,Plus mensual (12),Plus mensual (14),Plusos anuals,Sou Base per calcular extres,Pagues extres,Paga extra nadal,Productivitat,Total retribucions anuals ,Observacions
Caporal de la Policia Municipal,9,18,C1,727.23,398.74,1256.98,,,2498.43,,115.48,1616.72,593.79,2249.51,2249.51,2712.34,37192.52,"Nocturnitat: 80,94 i Festivitat 34,54"
Caporal de la Policia Municipal,1,18,C1,727.23,398.74,1256.98,,,2490.62,68.03,39.64,1371.32,593.79,2249.51,2249.51,2712.34,37098.80,"Factor distribució horària: 68,03    Moto: 39,64"
Caporal de la Policia Municipal,1,18,C1,727.23,398.74,1256.98,,,2422.49,,39.54,553.56,593.79,2249.51,2249.51,2712.34,36281.24,"Moto: 39,54"
Caporal de la Policia Municipal,1,18,C1,727.23,398.74,1256.98,,,2417.49,,34.54,483.56,593.79,2249.51,2249.51,2712.34,36221.24,"Festivitat: 34,54"
Caporal - Auxiliar de mobilitat,1,18,C1,727.23,398.74,1256.98,,,2382.95,,,,593.79,2249.51,2249.51,2712.34,35806.76,
Agent de la Policia Municipal,10,14,C1,727.23,308.07,1076.77,,,2267.19,,155.12,2171.68,593.79,1978.63,1978.63,2647.48,33811.02,"Nocturnitat: 80,94 Festivitat: 34,54  Moto: 39,64"
Agent de la Policia Municipal,36,14,C1,727.23,308.07,1076.77,,,2227.55,,115.48,1616.72,593.79,1978.63,1978.63,2647.48,33335.34,"Nocturnitat: 80,94 Festivitat: 34,54  "
Agent - Inspector d'Obres i Activitats,1,14,C1,727.23,308.07,1076.77,,,2208.00,95.93,,1151.16,593.79,1978.63,1978.63,2647.48,33100.74,"Plus: 95,93 (major dedicació)"
Agent de la Policia Municipal,5,14,C1,727.23,308.07,1076.77,,,2186.25,,74.18,1038.52,593.79,1978.63,1978.63,2647.48,32839.74,"Festivitat: 34,54 i Moto: 39,64"
Agent de la Policia Municipal,2,14,C1,727.23,308.07,1076.77,,,2151.71,,39.64,554.96,593.79,1978.63,1978.63,2647.48,32425.26,"Moto: 39,64"
Agent de la Policia Municipal,4,14,C1,727.23,308.07,1076.77,,,2146.61,,34.54,483.56,593.79,1978.63,1978.63,2647.48,32364.06,"Festivitat: 34,54"
Agent de la Policia Municipal,2,14,C1,727.23,308.07,1076.77,,,2112.07,,,,593.79,1978.63,1978.63,2647.48,31949.58,
Assessor de coordinació i planificació estratègica,1,,,4790.54,,,,,4790.54,,,,,4790.54,,1385.28,68452.84,Eventual
Assessor dels serveis de ciutat i territori,1,,,4790.54,,,,,4790.54,,,,,4790.54,,1385.28,68453.84,Eventual
Assessor dels serveis de benestar i acció social,1,,,4790.54,,,,,4790.54,,,,,4790.54,,1385.28,68454.84,Eventual
Assessor dels serveis d'alcaldia i comunicació,1,,,4790.54,,,,,4790.54,,,,,4790.54,,1385.28,68455.84,Eventual
Assessor dels serveis generals i gestió interna,1,,,4448.35,,,,,4448.35,,,,,4448.35,,1385.28,63662.18,Eventual
"Assessor de comerç, civisme i promoció de la ciutat",1,,,2957.86,,,,,2957.86,,,,,2957.86,,1385.28,42795.32,Eventual
Alcalde/ssa,1,,,,,,,,3928.57,,,,,,,,54999.98,Electes
Tinent/a d'alcalde de l'Àmbit de Benestar i Acció Social,1,,,,,,,,3714.29,,,,,,,,52000.06,Electes
Tinent/a d'alcalde de l'Àmbit de Nova Governança i Economia,1,,,,,,,,3571.43,,,,,,,,50000.02,Electes
Tinent/a d'alcalde de l'Àmbit de Ciutat i Territori,1,,,,,,,,3571.43,,,,,,,,50000.02,Electes
"Tinent/a d'Alcalde de Comerç, Civisme i Promoció de la Ciutat",1,,,,,,,,3571.43,,,,,,,,50000.02,Electes
Regidor/a portaveu,2,,,,,,,,1785.71,,,,,,,,24999.94,Electes
Regidor/a delegat/ada,2,,,,,,,,1785.71,,,,,,,,24999.94,Electes
Regidor/a delegat/ada,3,,,,,,1300.00,736.36,2036.36,,,,,,,,24999.96,Electes
Regidor/a portaveu,2,,,,,,1300.00,736.36,2036.36,,,,,,,,24999.96,Electes
Regidor/a portaveu-adjunt,4,,,,,,800.00,600.00,1400.00,,,,,,,,17000.00,Electes
Regidor/a,3,,,,,,700.00,445.45,1145.45,,,,,,,,13999.95,Electes
,,,,,,,,,,,91409.40,,,,,,,
Adjunt a la Secretaria General,1,26,A1,1120.15,705.19,2221.86,,,4047.20,,,,684.36,3582.42,3582.42,1385.28,57121.46,
