RAOSOCIAL,DOMICILISOCIAL,TELEFON,EMAIL,WEB,CATEGORIA,LATITUD,LONGITUD,LOCATION,ENLLACDIRECTORI,ICON
Soledad Morales García,"carrer apel·les mestres, 19, 08850 Gavà",936384194 ,,,Embalatges,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4628,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Glaim,"carrer apel·les mestres, 67, 08850 Gavà",936628257 ,,,Construcció i derivats,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4477,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Construcciones Gavara, SL","carrer artur costa, 52, 08850 Gavà",936628452 ,,,Construcció i derivats,41.303432,2.006246,"(41.303432, 2.006246)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4410,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Ibérica de desamientado, SL","carrer barcelona, 1 a, 08850 Gavà",902102724 ,ides@ides-sl.com,http://www.ibericadesamientado.com,Construcció i derivats,41.302597,2.010137,"(41.302597, 2.010137)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5094,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Net2 Internet Por Satelite, SL","carrer barcelona, 1 d-e, 08850 Gavà",902222268 ,info@net2.es,http://www.net2.es,Tecnologia - Telecomunicacions,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4572,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Acabados Miranda e Hijos, SL","carrer barcelona, 1, 08850 Gavà",936627245 ,,,Química - Farmàcia - Sanitat,41.302597,2.010137,"(41.302597, 2.010137)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4357,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Embyrep, SL","carrer barcelona, 15, 08850 Gavà",936380190 ,embyrep@embyrep.com,http://embyrep.com/,Siderúrgia - Metal·lúrgia - Maquinària,41.301537,2.008377,"(41.301537, 2.008377)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4443,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"MEXTAL COMERCIAL, SL","carrer barcelona, 39, 08850 Gavà", ,,,Gestió de residus,41.299538,2.005539,"(41.299538, 2.005539)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=761,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
BLC Comercial,"carrer cadaqués, 3, 08850 Gavà",609369205 ,itorra@grupoblc.com,http://www.blccomercial.com,Altres serveis a empreses,41.2692,2.029174,"(41.2692, 2.029174)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5162,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Restauració Les Marines, SL","carrer calafell, 21-23, 08850 Gavà",936333570 ,reservas@lesmarines.com,http://www.lesmarines.com,Turisme - Cultura - Oci,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4727,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Solé subministraments industrials, SL","carrer centre, 12, 08850 Gavà",936621226 ,sole.subm.ind@infonegocio.com,http://www.ferreteriasole.com,Sense classificar,41.305824,2.00468,"(41.305824, 2.00468)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4627,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Budesa, SA","carrer ciència, 1, 08850 Gavà",936624647 ,budesa@budesa.net,http://www.budesa.net,Construcció i derivats,41.298275,2.012792,"(41.298275, 2.012792)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4382,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Tecnisample, SL","carrer ciència, 12, 08850 Gavà",936388090 ,info@tecnisample.com,http://www.tecnisample.com/,Embalatges,41.298275,2.012792,"(41.298275, 2.012792)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4639,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Tecnisample, SL","carrer ciència, 12, 08850 Gavà",936388090 ,info@tecnisample.com,http://www.tecnisample.com/,Embalatges,41.298275,2.012792,"(41.298275, 2.012792)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2141,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Terrazos Can Sellarés,"carrer ciència, 17, 08850 Gavà",936627908 ,,,Construcció i derivats,41.298275,2.012792,"(41.298275, 2.012792)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4643,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Ramase, SA","carrer ciència, 20, 08850 Gavà",936382216 ,ramase@ascensoresramase.com,http://www.ascensoresramase.com,Automoció,41.29852,2.012892,"(41.29852, 2.012892)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4598,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Disvet Barcelona, SL","carrer ciència, 23, 08850 Gavà", ,,,Logística - Distribució - Transport,41.298225,2.012708,"(41.298225, 2.012708)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5301,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Liderflor, SL","carrer ciència, 23, 08850 Gavà",936389133 ,liderflor@liderflor.com,http://www.liderflor.com,Logística - Distribució - Transport,41.298225,2.012708,"(41.298225, 2.012708)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4466,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Compass Group SA,"carrer ciència, 29, 08850 Gavà",934519091 ,Elisabeth.Foncilla@eurest.es,http://www.compass-group.es,Alimentació - Restauració,41.298077,2.012453,"(41.298077, 2.012453)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5214,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Marcil, SA","carrer ciència, 3-13, 08850 Gavà",936352800 ,marti@marti.es,http://www.cestas-marti.com/,Altres serveis a empreses,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4553,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Losan,"carrer ciència, 41, 08850 Gavà",936622550 ,losan.sa@losansa.com,http://www.losansa.com,Construcció i derivats,41.297817,2.012253,"(41.297817, 2.012253)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4544,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
J S Instalaciones,"carrer colomeres, 127, 08850 Gavà",936624927 ,,,Construcció i derivats,41.30707,1.999366,"(41.30707, 1.999366)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4513,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Savi 93, SL","carrer colomeres, 156, 08850 Gavà",936382016 ,savitelefonica@telefonica.net,,Altres,41.30875,1.998594,"(41.30875, 1.998594)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4616,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
José Manuel Requena Pérez,"carrer colomeres, 83, 08850 Gavà", ,reformasyconstruccionesrequena@hotmail.com,,Construcció i derivats,41.304943,2.000373,"(41.304943, 2.000373)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4523,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
Auto Equip,"carrer comerç, 9, 08850 Gavà",936384490 ,info@autoequip.es,http://www.autoequip.es,Taller mecànic - Reparacions - Concessionari,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5093,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Ascaso Factory, SLU","carrer coneixement, 1, 08850 Gavà",934750258 ,pilar@ascaso.com,http://www.ascaso.com,Siderúrgia - Metal·lúrgia - Maquinària,41.293472,2.016235,"(41.293472, 2.016235)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4370,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Corver, SA","carrer coneixement, 5, 08850 Gavà",936383860 ,corver@corver.es,http://www.corver.es,Logística - Distribució - Transport,41.293472,2.016235,"(41.293472, 2.016235)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4418,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Federació Farmacèutica, SCCL","carrer coneixement, 7-13, 08850 Gavà",902760726 ,lgimeno@fedefarma.com,http://www.fedefarma.com,Química - Farmàcia - Sanitat,41.293472,2.016235,"(41.293472, 2.016235)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4458,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Proconor, SA","carrer creativitat, 1, 08850 Gavà",936585351 ,comercial@proconor.com,http://www.proconor.com,Siderúrgia - Metal·lúrgia - Maquinària,41.2939,2.017011,"(41.2939, 2.017011)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4589,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Citizen Watch España SA,"carrer creativitat, 14, 08850 Gavà",936333202 ,info@citizen.es,http://www.citizen.es,Altres serveis a empreses,41.2939,2.017011,"(41.2939, 2.017011)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5197,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"SORIA NATURAL, SA","carrer creativitat, 3, 08850 Gavà",933877000 ,barcelona@sorianatural.es,http://www.sorianatural.es,Logística - Distribució - Transport,41.2939,2.017011,"(41.2939, 2.017011)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5285,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Winkhaus Ibérica, SA","carrer creativitat, 7, 08850 Gavà",936334470 ,winkhaus@winkhaus.es,http://www.winkhaus.es,Construcció i derivats,41.2939,2.017011,"(41.2939, 2.017011)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4656,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Fibra Optica en Comunicaciones, S.L.","carrer creativitat, 9, 08850 Gavà",936646042 ,info@focfibra.com,http://www.focfibra.com,Tecnologia - Telecomunicacions,41.2939,2.017011,"(41.2939, 2.017011)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5212,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Acer Computer Ibérica, SA","carrer disseny, 3-5, 08850 Gavà",934922400 ,rrhh.iberica@acer.com,http://www.acer.com,Tecnologia - Telecomunicacions,41.29287,2.01475,"(41.29287, 2.01475)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4786,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Selecarns, SL","carrer energia, 1, 08850 Gavà",936382080 ,selecarns@selecarns.com,,Alimentació - Restauració,41.299374,2.005948,"(41.299374, 2.005948)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4617,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Galvanizados Tenas, SA","carrer energia, 14, 08850 Gavà",936380290 ,info@galvanizadostenas.com,http://www.galvanizadostenas.com,Siderúrgia - Metal·lúrgia - Maquinària,41.298367,2.006563,"(41.298367, 2.006563)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4468,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
DMI Automotive Spain SL,"carrer energia, 18, 08850 Gavà",936355360 ,sara.morcillo@chassix.com,http://www.divmi.com,Siderúrgia - Metal·lúrgia - Maquinària,41.298367,2.006563,"(41.298367, 2.006563)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5190,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Rin, SA - Moldes Gavà, SL","carrer energia, 6, 08850 Gavà",936381090 ,comercial@rin-sa.es,http://www.rin-sa.es,Siderúrgia - Metal·lúrgia - Maquinària,41.298374,2.006275,"(41.298374, 2.006275)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4610,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Moldesgava, S.A.","carrer energia, 8, 08850 Gavà",936381090 ,comercial@rin-sa.es,,Siderúrgia - Metal·lúrgia - Maquinària,41.298367,2.006563,"(41.298367, 2.006563)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4567,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"SUPRAFORM, SL","carrer enginy, 14, 08850 Gavà",936631300 ,supraform@supraform.net,http://www.supraform.net,Siderúrgia - Metal·lúrgia - Maquinària,41.30345,2.015463,"(41.30345, 2.015463)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=21,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Rotulación Técnica, SL","carrer enginy, 14, 08850 Gavà",932635242 ,rotecbarcelona@rotecsl.com,http://www.rotecsl.com,Arts gràfiques - Impressió - Paper,41.30345,2.015463,"(41.30345, 2.015463)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5191,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Mohn, SL","carrer enginy, 36-40, 08850 Gavà",936580141 ,info@baixbus.com,http://www.baixbus.cat,Logística - Distribució - Transport,41.30345,2.015463,"(41.30345, 2.015463)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4566,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
C. Mecánicas Perlas Bofill,"carrer f. rius i taulet, 60, 08850 Gavà",936620380 ,,,Construcció i derivats,41.303585,2.006602,"(41.303585, 2.006602)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4385,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Centre de rentat Gavà, SL","carrer forja, 1-3, 08850 Gavà",936383026 ,,,Altres serveis a empreses,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4394,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Ceilhit SL,"carrer galileo, 38-40, 08850 Gavà",932611125 ,ventas@ceilhit.es,http://www.ceilhit.es,Electricitat - Electrònica - Òptica,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5206,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Equitec Equilibrado y Diagnóstico, SL","carrer generalitat de catalunya, 22 3r 1a, 08850 Gavà",936629238 ,info@equitec-equilibrado.com,http://www.equitec-equilibrado.com/,Serveis jurídics - Gestories,41.303486,2.003785,"(41.303486, 2.003785)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4447,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Logistica Deportiva, SL","carrer girona, 15-19, 08850 Gavà",932646000 ,,,Logística - Distribució - Transport,41.301678,2.011323,"(41.301678, 2.011323)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4542,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"El Rapid d'Esplugues, SL","carrer girona, 9-11, 08850 Gavà", ,,http://www.elrapid.es,Logística - Distribució - Transport,41.301846,2.011096,"(41.301846, 2.011096)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4438,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Killgerm, SA","carrer imaginació, 13, 08850 Gavà",936380460 ,ted.byrne@killgerm.com,http://www.killgerm.com,Altres serveis a empreses,41.294792,2.015016,"(41.294792, 2.015016)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4532,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"TECOSUR, SL","carrer imaginació, 22, 08850 Gavà",933214769 ,tecosur@tecosur.com,http://www.tecosur.com,Construcció i derivats,41.294792,2.015016,"(41.294792, 2.015016)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4642,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Ravasi Ibérica, S.L.","carrer imaginació, 6, 08850 Gavà",936378411 ,info@ravasiiberica.com,http://www.ravasiiberica.com,Logística - Distribució - Transport,41.294792,2.015016,"(41.294792, 2.015016)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4624,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Henche Tecnologia Gráfica Industrial, SA","carrer imaginació, 8, 08850 Gavà",932282532 ,henche@henche.com,http://www.henche.com,Logística - Distribució - Transport,41.294792,2.015016,"(41.294792, 2.015016)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4488,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"INTEC PROCESS, SL","carrer imaginació, 8, 08850 Gavà", ,,,Siderúrgia - Metal·lúrgia - Maquinària,41.294792,2.015016,"(41.294792, 2.015016)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5337,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Serma 21, SL","carrer isaac peral, 13, 08850 Gavà",936620424 ,administracion@serma21.com,http://www.serma21.com,Taller mecànic - Reparacions - Concessionari,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4620,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Chinese Outboard, SL","carrer isaac peral, 13, 08850 Gavà", ,,,Logística - Distribució - Transport,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2622,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Maus Tecnología, SL","carrer isaac peral, 13, 08850 Gavà",932427777 ,maustec@maustec.com,http://www.maustec.com,Altres serveis a empreses,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5105,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Compañia Auxiliar de Vertederos, SA","carrer isaac peral, 15, 08850 Gavà",936620424 ,caver_sa@yahoo.es,,Altres serveis a empreses,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4405,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
AMYC Automatización de Sistemas de Cobro SLU,"carrer isaac peral, 3, 08850 Gavà",936334560 ,comercial@amyc.com,http://www.amyc.com,Siderúrgia - Metal·lúrgia - Maquinària,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4366,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Talleres Auto Rallye CM, SL","carrer jaume huguet, 9, 08850 Gavà",936624812 ,,,Taller mecànic - Reparacions - Concessionari,41.30016,2.001391,"(41.30016, 2.001391)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4632,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Irsap - Rhoss Clima Integral, SL","carrer leonardo da vinci, 4, 08850 Gavà",936334700 ,informacion@irsap.com,http://www.irsap.com,Siderúrgia - Metal·lúrgia - Maquinària,41.286816,1.993335,"(41.286816, 1.993335)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4510,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"G & P Crear Labels 2020, SL","carrer lleida, 13, 08850 Gavà",936627740 ,jflotats@gpcrear.com,http://www.gpcrear.com,Arts gràfiques - Impressió - Paper,41.301735,2.010555,"(41.301735, 2.010555)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4465,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Instalaciones y Reparaciones MFR,"carrer lluís millet, 10, 08850 Gavà",936626889 ,,,Construcció i derivats,41.31099,2.000713,"(41.31099, 2.000713)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4507,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
Ramon Moreno Alcazar,"carrer mare de déu de montserrat, 85, 08850 Gavà",936622434 ,,,Construcció i derivats,41.307262,2.000123,"(41.307262, 2.000123)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4599,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"MILARIUM, SL","carrer miquel servet, 14, 08850 Gavà",639335555 ,contacta@padelariumgava.com,http://www.padelarium.com,Salut - Bellesa - Centres esportius,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=762,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"MILARIUM, SL","carrer miquel servet, 14, 08850 Gavà",639335555 ,contacta@padelariumgava.com,http://www.padelarium.com,Salut - Bellesa - Centres esportius,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1721,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Ibermicar, SLU","carrer miquel servet, 20, 08850 Gavà",902511200 ,comercial@ibermicar.es,http://www.ibermicar.es,Siderúrgia - Metal·lúrgia - Maquinària,41.28534,1.995771,"(41.28534, 1.995771)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4493,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Metaldyne International Spain, SL","carrer miquel servet, 22-24, 08850 Gavà",936389365 ,,http://www.metaldyne.com,Siderúrgia - Metal·lúrgia - Maquinària,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4559,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Industrias Rehau, SA","carrer miquel servet, 25, 08850 Gavà",936353500 ,barcelona@rehau.com,http://www.rehau.es,Automoció,41.285145,1.994885,"(41.285145, 1.994885)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4500,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Industrial Cado, SA","carrer miquel servet, 29, 08850 Gavà",936333888 ,info@cado.es,http://www.cado.es,Química - Farmàcia - Sanitat,41.28611,1.996386,"(41.28611, 1.996386)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4498,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Plasbe, SA","carrer miquel servet, 33, 08850 Gavà",936384854 ,plasbe@plasbe.com,http://www.plasbe.com,Logística - Distribució - Transport,41.286255,1.996824,"(41.286255, 1.996824)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4584,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
JOAN CARLES JAVIERRE NOSAS,"carrer montflorit, 101, 08850 Gavà",931288607 606875816,comercial@javierre.com,http://www.javierre.com,Arts gràfiques - Impressió - Paper,41.305374,1.999229,"(41.305374, 1.999229)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5157,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Taller 63, SCP","carrer montflorit, 63, 08850 Gavà", ,,,Taller mecànic - Reparacions - Concessionari,41.302048,2.000834,"(41.302048, 2.000834)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4631,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Material del Baix Llobregat,"rambla salvador lluch, 8, 08850 Gavà",936623419 ,,,Construcció i derivats,41.30396,2.009722,"(41.30396, 2.009722)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4555,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Rheavendors España, SL","carrer màquina, 10 a, 08850 Gavà",936333438 ,satbarna@rheavendors.es,http://www.rheavendors.es,Altres serveis a empreses,41.29691,2.014151,"(41.29691, 2.014151)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4608,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Pharma Prospect SL,"carrer màquina, 10, 08850 Gavà",936623805 ,mpirretas@pharma-prospect.com,http://www.pharma-prospect.com,Arts gràfiques - Impressió - Paper,41.29691,2.014151,"(41.29691, 2.014151)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5193,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Hidromek Maquinaria de Construcción, SL","carrer màquina, 14, 08850 Gavà",936388465 ,administracion@hidromek.es,http://www.hidromek.com,Logística - Distribució - Transport,41.29848,2.016843,"(41.29848, 2.016843)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4491,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Carpinteria Diorama,"carrer màquina, 22, 08850 Gavà",936626818 ,sonia@c-diorama.com,http://www.c-diorama.com,Fusta - Mobles,41.296757,2.01375,"(41.296757, 2.01375)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4389,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Distridam, SA","carrer màquina, 23, 08850 Gavà",936355225 ,,http://www.distridam.com,Logística - Distribució - Transport,41.296745,2.013716,"(41.296745, 2.013716)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4434,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Mobles La Fàbrica,"carrer màquina, 23, 08850 Gavà",936388031 ,,http://www.muebleslafabrica.com,Fusta - Mobles,41.296745,2.013716,"(41.296745, 2.013716)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4565,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Catalana de Moldes Técnicos, SL","carrer màquina, 34-36 n. 8, 08850 Gavà",936627799 ,cademolt@telefonica.net,http://www.cademolt.com,Siderúrgia - Metal·lúrgia - Maquinària,41.296627,2.013337,"(41.296627, 2.013337)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4392,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Decap 93, SL","carrer màquina, 37, 08850 Gavà",936380003 ,decap@decap.com,http://www.decap.com,Siderúrgia - Metal·lúrgia - Maquinària,41.29638,2.013117,"(41.29638, 2.013117)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4427,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"CAMM-WAY ACCESSORIES, SL","carrer màquina, 38, 08850 Gavà", ,,,Tèxtil - Calçat - Confecció,41.296585,2.013198,"(41.296585, 2.013198)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5281,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Corporate Pc, SL","carrer màquina, 39, 08850 Gavà",932805666 ,blp@corporate-pc.com,http://www.corporate-pc.com,Tecnologia - Telecomunicacions,41.296574,2.013164,"(41.296574, 2.013164)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4416,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
