DATA RECEPCIO,DESCRIPCIO OPERACIO,IMPORT,NOM PARTIDA,CODI ECONOMIC,ECONOMIC,CODI FUNCIONAL,FUNCIONAL,CODI ORGANIC,ORGANIC
03/10/2017,"REF, MATERIAL BENESTAR I ACCIÓ SOCIAL - Lona de 90x180 cm. impresa digitalment perr les dues cares, amb instal.lació i r",659.81,Programes i Activitats de Drets Humans,226.06.0017,"Reunions, conferències i cursos",2317A,Drets civils i Nova ciutadania,1.4.0.16,Igualtat i Ciutadania
10/10/2017,ROTULACIO EXPOSICIO L'EMOCIODE L'ART  ,180.29,Programació Arts Visuals,226.09.0317,Activitats culturals i esportives,3330A,Arts escèniques i Música,1.3.0.16,Cultura
03/10/2017,"Colocación de 88 carteles ""Mil·leni Art"" (Finalización presupuesto nº321, resto de carteles facturado en el presupuesto",42.59,Dinamització d'entitats,226.99.0117,Altres despeses diverses,3370A,Relacions ciutadanes,1.3.0.16,Cultura
03/10/2017,"Placa número 100 coure, escutAjuntament i signatura, fustanoguera  Centenari empresa Roca ",99.22,Estudis i treballs tècnics premis empresa,227.06.0017,Estudis i treballs tècnics,2414A,Dinamització empresarial,2.7.0.16,Promoció Econòmica
04/10/2017,Albaran Nº 2017001592 de Fecha 05/09/17 nio.12545/17 Albarán Nº 2017001598 de data 05/09/17: nio 12602/17 ,55.14,Promoció i projecció de la Ciutat,226.02.0217,Publicitat i propaganda,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa
04/10/2017,"Albaran Nº 2017101696 de Fecha 22/09/17 ADC 0,01? ",597.56,Material ordinari no inventariable,220.00.0017,Ordinari no inventariable,9200A,Administració General ,2.6.0.16,Serveis Generals
04/10/2017,Albaran Nº 2017001592 de Fecha 05/09/17 nio.12545/17 Albarán Nº 2017001598 de data 05/09/17: nio 12602/17 ,91.52,Promoció i projecció de la Ciutat,226.02.0217,Publicitat i propaganda,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa
04/10/2017,"Multi3 - 4714 Etiquetes blanques 210,0 x 297 canto recte caixa 100 fulls   100 etiquetes ",7.82,Biblioteca SV,226.09.0317,Activitats culturals i esportives,3321A,Biblioteques de Gavà,1.3.0.16,Cultura
04/10/2017,Servei de monitoratge del Centre Obert de Gavà del 15 al 30de setembre. Expedient 1630/16 ,1529.62,Centre Obert les Farreres,226.06.0017,"Reunions, conferències i cursos",2316A,Infància,1.1.0.16,Serveis Socials
04/10/2017,Servei de manteniment SILVER - quota mensual- OCTUBRE  ,563.86,Arrendament de maquinaria sanitària,203.00.0017,"Arrendament maquinària, instal·lacions i utillatge",9330B,Equipaments de serveis,2.6.0.16,Serveis Generals
04/10/2017,Consumo de Aquaservice 20L CEMENTIRI  ,26.95,Productes alimentosos,221.05.0017,Productes alimentosos,9200A,Administració General ,2.6.0.16,Serveis Generals
04/10/2017,Cartells Cinema ref estiu 1993 Mida:  297 x 420 mm Suport:Estucat mat de 150 g Impressio: 4 + 0 tintes,57.81,Promoció i projecció de la Ciutat,226.02.0217,Publicitat i propaganda,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa
04/10/2017,Flyers Activitats Dirigides Mida:  148 x 210 mm Suport:  Color Copy de 160 g Impressio: 4+ 4 tintes,284.23,Promoció i projecció de la Ciutat,226.02.0217,Publicitat i propaganda,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa
04/10/2017,Lona GavaMon Mida:  3000 x 2000 mm lona color 1c amb ullals  ,261.6,Programes i Activitats de Drets Humans,226.06.0017,"Reunions, conferències i cursos",2317A,Drets civils i Nova ciutadania,1.4.0.16,Igualtat i Ciutadania
04/10/2017,rotulacions per a carpes Mostra d'Entitats Mida:  1000 x 200 mm 21 models 1u de cada 3 forats al cap Forex de 3 mm impre,281.72,Promoció i projecció de la Ciutat,226.02.0217,Publicitat i propaganda,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa
05/10/2017,CORRECCIO ERRADES BASES SELECCIO PROM INT 3PL. AUX ADMINISTRATIU  ,80,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
05/10/2017,CORRECCIO ERRADES BASES SELECCIO PROM INT 1PL. TECNIC AUX  ,80,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
06/10/2017,COMISIONES IVA SET'17   ,11.01,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
06/10/2017,COMISIONES IVA SET'17   ,24.14,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
06/10/2017,SERVEI MISSATGERIA SET'17   ,383.87,Comunicacions postals i missatgeries,222.01.0017,Postals,9200A,Administració General ,2.6.0.16,Serveis Generals
10/10/2017,ALQUILER Y SERVICIOS VEHÍCULO1743-HVW  ,1269.83,Renting vehicles policia,204.01.0017,Arrendament de material de transport,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana
10/10/2017,Cantada d'havaneres 2-7-2017   ,700,Festa Major d'estiu - Programació d'activitats,226.09.0117,Activitats culturals i esportives,3380A,Cicle Festiu,1.3.1.16,Cultura - Cicle Festiu
10/10/2017,RECOGIDA RESIDUOS setembre   ,210.89,Gestió residus (animals),227.06.0217,Estudis i treballs tècnics,3111A,Protecció de la salubritat pública,3.1.0.16,Salut Pública
10/10/2017,REPARACIÓ ORDINADORS IMAC  MITJANS DE COMUNICACIONS RAM DDR3 1333 ,823.77,Reparacions equips tècnics actuals,213.00.0017,"Maquinària,instal·lacions tècniques i utillatje",4913A,Societat de la informació-Audiovisual i Internet,2.8.3.16,Mitjans de Comunicació
10/10/2017,TREBALLS DE REPARACIO PISCINACAN TINTORER  ,1137.4,Edificis i altres constr Esports,212.01.0117,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
10/10/2017,CONSUM AIGUA FREATICA DE 31/08A 30/09/2017  ,1114.38,"Aigua - Reg, fonts",221.01.0017,Aigua,1710A,Parcs i jardins,3.6.0.16,Serveis Municipals
10/10/2017,SERVICIO PRESTADO EN SUS INSTAL.  AJUNTAMENT MES SETEMBRE  AMPLIACIO DEL SERVEI ,126.45,Seguretat edificis corporatius,227.01.0017,Seguretat,9330A,Edificis administratius,3.4.0.16,Obres i Manteniment
10/10/2017,Posters GavaMon Mida:  297 x 420 mm Suport:  Estucat mat de150 g Impressio: 4 + 0 tintes ,1220.67,Programes i Activitats de Drets Humans,226.06.0017,"Reunions, conferències i cursos",2317A,Drets civils i Nova ciutadania,1.4.0.16,Igualtat i Ciutadania
10/10/2017,TASQUES I MATERIALS NECESSARIS PER A LA CORRECTA INSTAL·LACIÓ DEL VAS D'EXPANSIÓ WAFT 10 VAR DE 200 LITRES A L'AJUNTAMEN,254.72,Manteniment Edifici Corporatiu,212.00.0117,Edificis i altres construccions,9330A,Edificis administratius,3.4.0.16,Obres i Manteniment
10/10/2017,Per art de Màgia. Melanie -Actuacio 30-09-17   ,847,Dinamització d'entitats,226.99.0117,Altres despeses diverses,3370A,Relacions ciutadanes,1.3.0.16,Cultura
10/10/2017,Plotejat Fotografic Color/b/n(metre quadrat) impressio  ,94.86,Exposicions Patrimoni Cultural,226.09.0017,Activitats culturals i esportives,3360A,Patrimoni Històric i Cultural,1.3.5.16,Patrimoni Cultural i Natural
10/10/2017,MATERIAL DE FERRETERIA POLICINA MES SETEMBRE  ,2.75,Material ordinari no inventariable,220.00.0017,Ordinari no inventariable,9200A,Administració General ,2.6.0.16,Serveis Generals
10/10/2017,CARTUCHO FILTRO   ,161.95,Edificis i altres constr Esports,212.01.0117,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
10/10/2017,Cuota mensual fija del Serveide Recollida d'animals . Setembre 2017 ,3866.66,Control animals abandonats i peridomèstics,227.06.0117,Estudis i treballs tècnics,3111A,Protecció de la salubritat pública,3.1.0.16,Salut Pública
10/10/2017,Instal.lacio  de Monitor al servei d'Acollida del Jacme March ,319.03,Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
10/10/2017,50% Ppto 17 GAVA-01-02 AUDIOVISUALS PARC DE LES MINES ,6959.85,Inv. de rep en instal.lacions-IFS Equipament,633.00.0016,"Maquinària,instal·lacions i utillatge",9330F,Inversions financerament sostenibles,1.7.0.16,Logística
10/10/2017,Contracte del servei de lleure educatiu de Ca n'Espinós. Correspon al mes de setembre de 2017. Núm. expedient: 8111/2017,2299,Dinamitz.Comunitària- PDC per a infants i joves,227.06.0217,Estudis i treballs tècnics,2318A,Programes socials,1.1.0.16,Serveis Socials
10/10/2017,CANVI RODES VEHICLE SEGURETAT 215/70 R15 109S FALKEN VAN01  ,276.81,Manteniment Material de transport,214.00.0017,Elements de transport,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana
10/10/2017,LLIOGUER PALET ACTVITAT  Mil.leniArt  80X120 EUR 1ª ,768.35,Programació Arts Visuals,226.09.0317,Activitats culturals i esportives,3330A,Arts escèniques i Música,1.3.0.16,Cultura
10/10/2017,PQ 500H PAPEL REY SA PASTEL A4 80G  XXD5 MATERIAL OFICINA SERV. PERSONA DEP. ESPORTS ,739.93,Material ordinari no inventariable,220.00.0017,Ordinari no inventariable,9200A,Administració General ,2.6.0.16,Serveis Generals
10/10/2017,Exp. 2729/16 Reportatge fotogràfic dels actes i esdeveniments del mes de juliol 2017. ,1980,Serveis Fotogràfics,227.06.0217,Estudis i treballs tècnics,4911A,Societat de la informació-Premsa escrita,2.8.3.16,Mitjans de Comunicació
10/10/2017,Exp. 2729/16 Reportatge fotogràfic dels actes i esdeveniments del mes de setembre 2017. ,1980,Serveis Fotogràfics,227.06.0217,Estudis i treballs tècnics,4911A,Societat de la informació-Premsa escrita,2.8.3.16,Mitjans de Comunicació
10/10/2017,"SERVEI DE MANTENIMENT MENSUALDE NETEJA, REALITZAT EL MES DE LA DATA EN LES INSTAL.LACIONS DEL CENTRE CIVIC LA SENTIU",41.14,Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
10/10/2017,GAVA- EL BRUGUERS N  385   ,2676.13,Treballs d'impressió de la revista Bruguers,227.06.0117,Estudis i treballs tècnics,4911A,Societat de la informació-Premsa escrita,2.8.3.16,Mitjans de Comunicació
10/10/2017,Liquidació setembre 2017   ,1435,Servei control trànsit amb càmares (AMP),227.99.0017,Altres treballs realitzats per altres emp.i profes,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana
10/10/2017,Serveis Prestat Per Equipaments Municipals(Setembre  2017)  ,390.3,Edificis i altres constr Esports,212.01.0117,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
10/10/2017,Servei Prestat Per ia Pública(Setembre 2017)  ,686.05,Control de plagues,227.06.0317,Estudis i treballs tècnics,3111A,Protecció de la salubritat pública,3.1.0.16,Salut Pública
10/10/2017,ROLL-UP amb estructura metàl·lica de format 85x200cm. amb lona impresa a color. Made in Gava ,162.44,Estudis i treballs tècnics premis empresa,227.06.0017,Estudis i treballs tècnics,2414A,Dinamització empresarial,2.7.0.16,Promoció Econòmica
10/10/2017,Subscripció a la REVISTA MUNTANYA  ,14,Fons Biblioteques,220.01.0017,"Premsa, revistes, llibres i altres publicacions",3321A,Biblioteques de Gavà,1.3.0.16,Cultura
10/10/2017,"Campanya Escolar de Teatre, Música i Dansa l'Escola Va de Bolo. Curs 2016-2017 ",1262.7,Programació Espai Maragall,226.09.0116,Activitats culturals i esportives,3330A,Arts escèniques i Música,1.3.0.16,Cultura
10/10/2017,Servei dinamització nou espaisant Jordi presentació cursosi jornada inclusió social ,106.63,Polítiques d'Igualtat,226.99.0117,Altres despeses diverses,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania
10/10/2017,"TASQUES REALITZADES A L'AJUNTAMENT, LA TORRE DE L'AJUNTMENT I LA BIBLIOTECA DEL MUNICIPI DE GAVÀ SEGONS EX 00014141/2017",404.18,Manteniment Edifici Corporatiu,212.00.0117,Edificis i altres construccions,9330A,Edificis administratius,3.4.0.16,Obres i Manteniment
10/10/2017,Dinamització per a la presentació de la Mostra d'entitats 2017 ,585,Dinamització d'entitats,226.99.0117,Altres despeses diverses,3370A,Relacions ciutadanes,1.3.0.16,Cultura
10/10/2017,"Espectacle familiar, Fàtima, la filla del carboner (sense equip de so), el 7 d'octubre de2017, dins del marc de Gavàmón",629.2,Programes i Activitats de Drets Humans,226.06.0017,"Reunions, conferències i cursos",2317A,Drets civils i Nova ciutadania,1.4.0.16,Igualtat i Ciutadania
10/10/2017,COMPRA TAULA/CADIRA USADA 200X80 PER DONAR SERVEI ACTIVITATS ENTITATS  ,3881.08,Instal·lacions noves en equipaments - mobiliari,625.00.0017,Mobiliari,9330B,Equipaments de serveis,1.7.0.16,Logística
10/10/2017,Implementació ENS FASES 1 i 2   ,6050,Projectes d'Administració electrònica,227.06.0116,Estudis i treballs tècnics,4914A,Administració electrònica,2.0.0.16,Coordinació i Planificació Estratègica
10/10/2017,SAD SOCIAL Servei públic d'atenció d'ajuda a domicili a Gavà corresponent al mes de SETEMBRE 2017Treballadora Familar,9470.35,Dependència - Ajut a domicili (SAD),227.06.0117,Estudis i treballs tècnics,2311B,Assitència a persones dependents,1.1.0.16,Serveis Socials
10/10/2017,Ut. Factura rectificativa d'una part de la factura número 000350/17 de data 10/09/2017 per error de dades,-1398.76,Inversions reposició escoles,639.00.0016,Altr.inv.repos.associad.funcion.oper.serveis,3230A,Funcionament centres docents d'Educació,3.4.0.16,Obres i Manteniment
10/10/2017,SERVEI DE RETIRADA DEL MES D'OCTUBRE DEL 2017  EXP. 1814 / 2015 ,5823.13,Treballs en seguretat vial (Grua),227.06.0017,Estudis i treballs tècnics,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana
11/10/2017,ASSEGURANÇA SUSPENSIO EVENTS ONTINGENCIES  ,1517.95,Festa Major d'estiu - Assegurança,224.00.0017,Primes d'Assegurances,3380A,Cicle Festiu,1.3.1.16,Cultura - Cicle Festiu
13/10/2017,ABONA FRA P1M701N1269373 AGRUP3436124 NO APLICAT-ESPORTS  ,-242.7,Electricitat - Instal·lacions Esportives,221.00.0017,Energia Elèctrica,3420A,Instal·lacions esportives,3.6.0.16,Serveis Municipals
13/10/2017,SECAMANOS BUGA REC 2-150 MATERIAL NETEJA INSTAL.  ,1164.98,Productes de neteja,221.10.0017,Productes de neteja i condícia,3420A,Instal·lacions esportives,1.5.0.16,Esports
13/10/2017,Servei tècnic setembre - COMPENSAR FIANÇA   ,1953.61,"Promoció i Difusió Arts Escèniques,Visual i Música",226.09.0217,Activitats culturals i esportives,3330A,Arts escèniques i Música,1.3.0.16,Cultura
13/10/2017,ABONA FRA P1M701N1238763 AGRUP3436709 - NO APLICAT-COL·LEGIS  ,-429.2,Electricitat - Edificis Col·legis,221.00.0017,Energia Elèctrica,3230A,Funcionament centres docents d'Educació,3.6.0.16,Serveis Municipals
13/10/2017,"COM PROP SAN LUIS 59 GUIFRE PILOS,4.6.8  ",233.48,Despeses diverses,226.99.0217,Altres despeses diverses,4912A,Societat de la informació-Radiodifusió,2.8.3.16,Mitjans de Comunicació
13/10/2017,MATERIAL ADDICCIONAL REVETLLADE SANT JOAN_AD67753 ?? ALBARÀ A664 DE 20/06/2017 ,1628.66,Dinàmica Educativa,226.99.0017,Altres despeses diverses,3273A,Promoció Educativa,1.2.0.16,Educació
13/10/2017,APERITIU RECEPCIÓ CASA ARAGON   ,60.5,APR-Rel publiques i representació,226.01.0017,Atencions protocol·làries i representatives,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa
13/10/2017,APERITIU RECEPCIÓ CASA ARAGON   ,198.88,APR-Rel publiques i representació,226.01.0017,Atencions protocol·làries i representatives,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa
13/10/2017,PRESSUPOST 659 - PRODUCTES QUIMICS PISCINA  ,320.34,Productes de piscina,221.09.0017,Altres subministraments,3420A,Instal·lacions esportives,1.5.0.16,Esports
13/10/2017,BILLET AVIO BCN-SAN SEBASTIAN   ,112.18,"Despeses locomoció (KM,Pk,T.Públic i Peatges)",231.20.0017,Del personal no directiu,9200A,Administració General ,2.2.0.16,Recursos Humans
13/10/2017,BILLET AVIO BCN-SAN SEBASTIAN   ,9.99,"Despeses locomoció (KM,Pk,T.Públic i Peatges)",231.20.0017,Del personal no directiu,9200A,Administració General ,2.2.0.16,Recursos Humans
13/10/2017,HOTEL ARRIZUL CENTER   ,311.4,"Despeses locomoció (KM,Pk,T.Públic i Peatges)",231.20.0017,Del personal no directiu,9200A,Administració General ,2.2.0.16,Recursos Humans
13/10/2017,HOTEL A&O MUNCHEN FIDEL VAZQUEZ  ,213.54,"Despeses locomoció (KM,Pk,T.Públic i Peatges)",231.20.0017,Del personal no directiu,9200A,Administració General ,2.2.0.16,Recursos Humans
13/10/2017,HOTEL A&O MUNCHEN FIDEL VAZQUEZ  ,0.46,"Despeses locomoció (KM,Pk,T.Públic i Peatges)",231.20.0017,Del personal no directiu,9200A,Administració General ,2.2.0.16,Recursos Humans
13/10/2017,BITLLETS AVIÓ BCN-MAD-BCN RAQUEL SANCHEZ I ROSA M. FERNANDEZ  ,660,"Desp. Loc. càrrecs electes (Km,PK,T,Públic,Peatg)",231.00.0017,Dels membres dels òrgans de govern,9120A,Òrgans de govern,2.2.0.16,Recursos Humans
13/10/2017,BITLLETS AVIÓ BCN-MAD-BCN RAQUEL SANCHEZ I ROSA M. FERNANDEZ  ,69.58,"Desp. Loc. càrrecs electes (Km,PK,T,Públic,Peatg)",231.00.0017,Dels membres dels òrgans de govern,9120A,Òrgans de govern,2.2.0.16,Recursos Humans
13/10/2017,BITLLETS AVIÓ BCN-MAD-BCN RAQUEL SANCHEZ I ROSA M. FERNANDEZ  ,45.98,"Desp. Loc. càrrecs electes (Km,PK,T,Públic,Peatg)",231.00.0017,Dels membres dels òrgans de govern,9120A,Òrgans de govern,2.2.0.16,Recursos Humans
13/10/2017,BITLLET D'AVIÓ BCN-MUNICH   ,269,"Despeses locomoció (KM,Pk,T.Públic i Peatges)",231.20.0017,Del personal no directiu,9200A,Administració General ,2.2.0.16,Recursos Humans
13/10/2017,LIMP-SERVEI DE NETEJA I MANTENIMENT DE LES SEVES INSTALACIONS MES DE SETEMBRE DE 2017 AJUNTAMENT DE GAVA EXPDT: NIO 7425,24622.24,Acondicionament instal·lacions esportives,227.06.0117,Estudis i treballs tècnics,3420A,Instal·lacions esportives,1.5.0.16,Esports
13/10/2017,"TASQUES DE MANTENIMENT DURANTEL MES DE JUNY A L'AJUNTAMENTDE GAVÀ, BIBLIOTECA I TORRE DE L'AJUNTAMENT. SEGONS EXP 0001",3021.73,Manteniment Edifici Corporatiu,212.00.0117,Edificis i altres construccions,9330A,Edificis administratius,3.4.0.16,Obres i Manteniment
13/10/2017,Menús domicilis setembre   ,1426.19,Dependència - Ajut a domicili (SAD),227.06.0117,Estudis i treballs tècnics,2311B,Assitència a persones dependents,1.1.0.16,Serveis Socials
13/10/2017,FEINES DE MANTENIMENT PISCINA C. TINTORER  ,1161.6,Edificis i altres constr Esports,212.01.0117,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
13/10/2017,MATERIAL EN PRÒRROGA PER ACTIVITATS DE REVETLLA I FESTA MAJOR DE SANT PERE_AD67754 ,3822.63,Festa Major d'estiu - Infraestructura,226.09.0217,Activitats culturals i esportives,9330B,Equipaments de serveis,1.7.0.16,Logística
13/10/2017,ADEQUACIO DE SALA NOU ESPAI   SANT JORDI*Inversions ,10297.1,Instal·lacions noves en equipaments - mobiliari,625.00.0017,Mobiliari,9330B,Equipaments de serveis,1.7.0.16,Logística
13/10/2017,Servei d'informació i orientació jurídica Setembre2017 (8 hores) Exp. ,280,Assessoria jurídica familiar,227.06.0017,Estudis i treballs tècnics,2318A,Programes socials,1.1.0.16,Serveis Socials
13/10/2017,Pràctiques en empresa 15.7% ajut a l'estudi M Castella Cesari conveni 16-210-15007 ,759.88,Beques i pràctiques,143.00.0017,Altre personal,9200A,Administració General ,2.2.0.16,Recursos Humans
13/10/2017,lavados de coches interior mes de setembre   ,198.9,Manteniment Material de transport,214.00.0017,Elements de transport,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana
13/10/2017,lavados de coches interior mes d'agost   ,379.76,Manteniment Material de transport,214.00.0017,Elements de transport,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana
13/10/2017,Curs Assertivitat  i autoestima curs adreçat personal Ajuntament ,1800,Formació i perfeccionament personal,162.00.0017,Formació i perfeccionament del personal,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans
13/10/2017,Curs Positivitat i bon humor curs adreçat personal ajuntament  ,1080,Formació i perfeccionament personal,162.00.0017,Formació i perfeccionament del personal,9204A,Administració General - Serveis Generals,2.2.0.16,Recursos Humans
13/10/2017,REPARACION MOTO   ,195.98,Manteniment Material de transport,214.00.0017,Elements de transport,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana
13/10/2017,Carta Certificada GE 0 - 20 gr N LOCAL G-0  ,1018.39,Comunicacions postals i missatgeries,222.01.0017,Postals,9200A,Administració General ,2.6.0.16,Serveis Generals
13/10/2017,Carta Certificada GE 0 - 20 gr N LOCAL G-0  ,526.36,Comunicacions postals i missatgeries,222.01.0017,Postals,9200A,Administració General ,2.6.0.16,Serveis Generals
13/10/2017,ASOCIACIÓN DE VECINOS CAN TRIAS numero d'expedient: 00012809/2017. INSTAL·LACIO AIRE ACONDICIONAT  ,4804.67,Inv. de rep en edif.i altres construccions- IFS ed,632.00.0017,Edificis i altres construccions,9330F,Inversions financerament sostenibles,1.7.0.16,Logística
13/10/2017,SETEMBRE'17: GESTIÓ DEL SERVEI MUNICIPAL D?INFORMACIÓ I ATENCIÓ A LES DONES (SIAD) de l?Ajuntament de Gavà,6870.83,Siad,226.99.0217,Altres despeses diverses,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania
13/10/2017,LLOGUER TAULA 120x80 ACT. CULTURALS   ,577.17,"Arrendaments de maquinària, instal·lacions i utill",203.00.0017,"Arrendament maquinària, instal·lacions i utillatge",9330B,Equipaments de serveis,1.7.0.16,Logística
13/10/2017,MATERIAL ADDICCIONAL PER DONARR SERVEI A FESTA MAJOR DE SANTPERE_AD67755 ,2305.78,Foment Activitats Entitats Esportives,226.09.0117,Activitats culturals i esportives,3410A,Promoció i foment de l'esport,1.5.0.16,Esports
13/10/2017,LLOGUER CADIRES/TAULA 200x80 FI DE CURS ESCOLA FUTBOL GAVA  MAR_AD67749  ,1427.8,Foment Activitats Entitats Esportives,226.09.0117,Activitats culturals i esportives,3410A,Promoció i foment de l'esport,1.5.0.16,Esports
13/10/2017,LLOGUER CADIRA/TAULA 200x80 FI TEMPORADA ATLETISME AD67752  ,682.44,Foment Activitats Entitats Esportives,226.09.0117,Activitats culturals i esportives,3410A,Promoció i foment de l'esport,1.5.0.16,Esports
13/10/2017,Lloguer de material Espai Maragall ADC** PEL PREU TRANSPORT  ,361.79,Programació Espai Maragall,226.09.0117,Activitats culturals i esportives,3330A,Arts escèniques i Música,1.3.0.16,Cultura
13/10/2017,Serveis vinculats al treball contra la violència sexista enel context de diverses festesmajors de Gavà,1508,Polítiques d'Igualtat,226.99.0117,Altres despeses diverses,2314A,Igualtat,1.4.0.16,Igualtat i Ciutadania
13/10/2017,"Servei d'assessorament  a immigrants estrangers a l'Ajuntament de Gavà, de l'1 de juliol al 30 de setembre de 2017",1518,Programes i Activitats de Drets Civils,226.99.0217,Altres despeses diverses,2317A,Drets civils i Nova ciutadania,1.4.0.16,Igualtat i Ciutadania
16/10/2017,ARRENDAMENT HABITATGE NOV'17    ,308.64,At.Primària-P.Familiar:Situacions emerg?ncia,226.99.0217,Altres despeses diverses,2311A,Acció social,1.1.0.16,Serveis Socials
16/10/2017,ARRENDAMENT HABITATGE NOV'17    ,308.64,At.Primària-P.Familiar:Situacions emerg?ncia,226.99.0217,Altres despeses diverses,2311A,Acció social,1.1.0.16,Serveis Socials
16/10/2017,"2 PLAQUES SANWINCH ALUMINIPISCINA CAN TINTORER ROTULACIOVINILS, PREPARACIO ARXIUS E  INSTAL.LACIO",100.43,Edificis i altres constr Esports,212.01.0117,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
16/10/2017,CONSUM ELECTRIC SET'17 ED SOCIALS  ,3643.33,"Electricitat - Edificis Socials (Casals, Museus,et",221.00.0017,Energia Elèctrica,9330B,Equipaments de serveis,3.6.0.16,Serveis Municipals
16/10/2017,CONSUM ELECTRIC SET'17 ESPORTS   ,15395.01,Electricitat - Instal·lacions Esportives,221.00.0017,Energia Elèctrica,3420A,Instal·lacions esportives,3.6.0.16,Serveis Municipals
16/10/2017,CONSUM ELECTRIC SET'17 ED ADMINISTRATIUS  ,7294.86,Electricitat - Edificis administratius,221.00.0017,Energia Elèctrica,9330A,Edificis administratius,3.6.0.16,Serveis Municipals
16/10/2017,CONSUM ELECTRIC SET'17 ED ADMI   ,33861.88,"Electricitat - Via pública (Enllumenat, semàfors)",221.00.0017,Energia Elèctrica,1650A,Enllumenat públic,3.6.0.16,Serveis Municipals
16/10/2017,CONSUM ELECTRIC SET'17 ED SOCIALS  ,10548.54,"Electricitat - Edificis Socials (Casals, Museus,et",221.00.0017,Energia Elèctrica,9330B,Equipaments de serveis,3.6.0.16,Serveis Municipals
16/10/2017,CONSUM ELECTRIC SET'17 ED ADMIN BOMBES/ESCALES  ,2507.97,Electricitat - Edificis administratius,221.00.0017,Energia Elèctrica,9330A,Edificis administratius,3.6.0.16,Serveis Municipals
16/10/2017,CONSUM ELECTRIC SET'17 COL·LEGIS  ,5018.16,Electricitat - Edificis Col·legis,221.00.0017,Energia Elèctrica,3230A,Funcionament centres docents d'Educació,3.6.0.16,Serveis Municipals
16/10/2017,CONSUM ELECTRIC SET'17 ED ADMIN /FONTS  ,1535.47,Electricitat - Edificis administratius,221.00.0017,Energia Elèctrica,9330A,Edificis administratius,3.6.0.16,Serveis Municipals
16/10/2017,CONSUM ELECTRIC SET'17 ED AJUNAMENT  ,13035.79,Electricitat - Edificis administratius,221.00.0017,Energia Elèctrica,9330A,Edificis administratius,3.6.0.16,Serveis Municipals
16/10/2017,"ACTUACIÓ DE ""PISTA QUE VINC""EL DIA 7/10/17 -FIRA D'ENTITATS ",968,Dinamització d'entitats,226.99.0117,Altres despeses diverses,3370A,Relacions ciutadanes,1.3.0.16,Cultura
16/10/2017,"11 PLAQUES SANWINCH ALUMINIPISCINA CAN TINTORER ROTULACIO VINILS, PREPARACIO ARXIUS E  INSTAL.LACIO",298.87,Edificis i altres constr Esports,212.01.0117,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
17/10/2017,TRIO FLAMENCO A LA BJSV   ,508.2,Biblioteca SV,226.09.0317,Activitats culturals i esportives,3321A,Biblioteques de Gavà,1.3.0.16,Cultura
17/10/2017,15 MATRICULES  PROVES DE NIVEL NIVEL B2 ANGLES FOAP 2016  ,2595,Estudis i treballs tècnics Formació ocupac,227.06.0116,Estudis i treballs tècnics,2411A,Foment de l'Ocupació - Formació,2.7.0.16,Promoció Econòmica
