CODI;DATAINICI;NOMCOM;RAOSOCIAL;DESCRIPCIO;WEB;EMAIL;TELEFON1;HORARI;TIPUS;CODI_TIPUS;ADRECA
3327;20071129;Catalana de seguretat i comunicacions;CATALANA DE SEGURETAT I COMUNICACIONS  S.L.  ;Comercial de seguretat i comunicacions amb taller de manteniment.;www.grupocsc.es;csc@grupocsc.es;932896570;;SEGURETAT;138;Ctra. Laureà Miró 0401  BX  08  
2655;20070330;CDT Isma Llobregat;C.D.T. ISMA LLOBREGAT, SL  ;comerç a l engròs de gènere de punt;www.cdt-isma.com;comercial@cdt-isma.com;936857857;;COMERÇ A L ENGRÒS, EXCEPTE VEHÍCLES DE MOTOR;63;Ctra. Laureà Miró 0401  BX  02  
3358;20080211;CEIP Escola Nadal ;GENERALITAT DE CATALUNYA  ;Centre d ensenyança infantil i primària (CEIP NADAL);www.xtec.cat/ceipnadal;ceipnadal@xtec.cat;936859450;9-15h DILLUNS A DIVENDRES;EDUCACIÓ REGLADA (PRIMÀRIA, SECUNDÀRIA, CCFF, BATXILLERAT, UNIVERSITAT);142;C. Doctor Fleming 0001  BX  
3274;20071004;Centre de barri municipal;AJUNTAMENT DE SANT FELIU DE LLOBREGAT  ;Centre de barri municipal;;;;;ACTIVITATS DIVERSES DE SERVEIS PERSONALS;167;C. Estelí 0010   
1460;20060101;Centre de Fisioteràpia i Rehabilitació;FISIOTERAPIA I RECUPERACIO FISICA SANT FELIU SL  ;CENTRES DE FISIOTERAPIA;www.fisioterapiasantfeliu.es;consultes@fisioterapiasantfeliu.es;936851075;DE 9 A 13 I DE 16 A 21 DE DILLUNS A DIVENDRES;CENTRES FISIOTERÀPIA I REHABILITACIÓ,;150;Pg. Comte de Vilardaga 0125  BX  C5  
1958;20041109;Centre de massatge i Terapies complementaries (Abans Roser);AILEC MODYESTETIC, S.L.U.  ;Centre de massatge i Terapies complementaries;;ailec25.cc@gmail.com;936855845;DE 9 A 13 I DE 15:30 A 19 DE DIMARTS A DISSABTE;CENTRES ESTÈTICA;164;Ptge. Sagrament 0003  BX  03  
3647;20090923;Centre d estètica;MONTSERRAT VILLACAMPA BOFILL;Centre d estètica;;bellesa92@gmail.com;;;CENTRES ESTÈTICA;164;C. Carles Buïgas 0002  BX  02  
364;19990101;Centre d Estética Ana Belen Quesada;ANA BELEN QUESADA VICENTE;CENTRE D ESTÉTICA;;centrodeesteticaanabelen@hotmail.com;936854221;DE DIMARTS A DIVENDRES DE 9 A 14 I DE 15:30 A 19:30, DILLUNS DE 15:30 A 19:30 I DISSABTE DE 9 A 14;CENTRES ESTÈTICA;164;Pg. Onze de Setembre 0013  LC  
3766;20101014;Centre d estètica (estilista d ungles);IRMA MONTFERRER FORNES;Centre d estètica (estilista d ungles);;irmamontferrer@yahoo.es;936859204;;CENTRES ESTÈTICA;164;C. Sant Llorenç 0002  BX  02  
1356;20020101;Centre d estètica Natura;YOLANDA SEIJO ORTEGA;centre d estètica;;;;DE DIMARTS A DIVENDRES DE 10 A 13 I DE 15.30 A 20, DILLUNS DE 15:30 A 20 I DISSABTE DE 10 A 13;CENTRES ESTÈTICA;164;C. Europa 0001   
3732;20100615;Centre d estètica Pilar Delgado;PILAR DELGADO SL  ;centre d estètica;;santfeliu@pulsaziones.es;936855943;;CENTRES ESTÈTICA;164;Pl. Estació 0002  LC  03  
2245;19780101;Centre Jurídic Administratriu Fornell, SL;CENTRE JURIDIC ADMINISTRATIU FORNELL, SL  ;GESTORIA;www.fornellconsultor.com;adminitracio.bcn@fornellconsultor.com;936859980;9-14 16-19:15 DILLUNS A DIJOUS 8-15 DIVENDRES;GESTORIES;127;C. Pou de Sant Pere 0008  01  01  
1653;19900101;Centre Mèdic Comte Vilardaga;USTE INVES SL  ;;;centromedicobaixllobregat@hotmail.com;934711111;DILLUNS, DIMECRES I DIVENDRES17 30-18 30, DIMARTS I DIJOUS 20 30 -21 30, DISSABTES10 30 -11 30;CONSULTORIS, CENTRES MÈDICS, ASSISTÈNCIA MUTUA;148;Pg. Comte de Vilardaga 0004   
1243;19830101;Centre mèdic de recuperació ;RAFAEL ROS DE SALDANA DA GAMA;FISIOTERAPIA;;alejofis@gmail.com;936666702;DILLUNS, DIMECRES I DIVENDRES DE 9 A 13, DE DILLUNS A DIVENDRES DE 15 A 20;CENTRES FISIOTERÀPIA I REHABILITACIÓ,;150;C. Eugeni d Ors 0020   
1137;19840901;Centre Veterinari Lacueva Rodrigo;XAVIER LACUEVA RODRIGO;VETERINARIA;;ir.vet@coac.net;936666653;DE 10 A 13:30 I DE 17 A 20:30 DE DILLUNS A DIVENDRES, DISSABTE DE 10 A 13:30;ACTIVITATS VETERINÀRIES;154;C. Torras i Bages 0004   
1620;19890401;Centre Veterinari Sant Feliu;ANGELA ESCUER BAILEN;VETERINARIA;;centreveterinarisantfeliu@gmail.com;936851770;DE 10 A 13:30 I DE 17 A 20:30 DE DILLUNS A DIVENDRES, DISSABTE DE 10 A 13:30;ACTIVITATS VETERINÀRIES;154;Pl. Catalunya 0004   
3607;19970714;Centro cultural Andaluz Virgen del Rocio;CENTRO CULTURAL ANDALUZ VIRGEN DEL ROCIO  ;Centre social;;;936667142;;ACTIVITATS CULTURALS (artístiques, espectacles, biblioteca, etc);161;Rbla. Marquesa de Castellbell 0084   
1809;19910101;Cerrajeria J.N., S.C.P.;JOSE MARIA PRIEGO NAVARRO;FERRETARIA INDUSTRIAL, SOLDADURES, PORTES, ¿;;cerrajeriajn@telefonica.net;936851848;DE 8:30 A 13:30 I DE 15 A 18;FERRETERIA/COPIA CLAUS/CERRAJERIA;84;C. Falguera 0082  BX  
1182;19830101;Cerveceria;MATIAS RODRIGUEZ LOPEZ;bar cerveseria;;;;DE DILLUNS A DIUMENGE DE 6 A 21:30;BARS I CAFETERIES;110;C. Prolongació de Falguera 0009   
3667;20091130;Charanga;MILLA MED, S.A.  ;Venda de roba al detall;www.charanga.es;charanga242@charanga.es;952247410;;ROBA;90;Ctra. Laureà Miró 0190  BX  
2470;20080609;Chatarras del Duero;CHATARRAS DEL DUERO, S.L.U  ;Valorització de residus no perillosos i emmagatzematge de residus perillosos fins a una capacitat de 30 TN;www.chatarrasdelduero.com;info@chatarrasdelduero.com;936327914;DE DILLUNS A DIVENDRES DE 9 A 13:30 I DE 15 A 19;RECICLATGE REBUIG METALL;51;Ra. Salut    
3730;20100615;Chatarras del Duero;CHATARRAS DEL DUERO, S.L.U  ;Valorització de residus no perillosos i emmagatzematge ;www.chatarrasdelduero.com;;902352545;;RECICLATGE REBUIG METALL;51;C. Mataró 0057  BX  
249;20100409;Churrería Sánchez;IVAN ARNAEZ TEJADA;xurreria i comerç al detall de masses fregides;;;;;BOTIGA D ALIMENTACIÓ NO ESPECIALITZADA;64;C. Constitució 0030   
3661;20091126;Ciabbatta;JORDI SUEIRAS CONSULTING SL  ;Fleca i pastisseria amb degustació;;pilaca1966@gmail.com;931864241;;BARS I CAFETERIES;110;Ctra. Laureà Miró 0160  LC  01  
3661;20091126;Ciabbatta;JORDI SUEIRAS CONSULTING SL  ;Fleca i pastisseria amb degustació;;pilaca1966@gmail.com;931864241;;FORNS I PASTISSERIES;70;Ctra. Laureà Miró 0160  LC  01  
1091;20060427;Cicles Enric;CICLES ENRIC SCP  ;Botiga de venda i reparació bicicletes;;info@ciclesenric.com;936665804;;ESPORT;96;C. Eugeni d Ors 0020  LC  01  
1300;20040401;Citroen Sant Feliu;TECCICAT, S.L.  ;MECÀNICA CITROËN;www.teccicat.com;teccicat@gmail.com;936327397;DE DILLUNS A DIVENDRES DE 8 A 13 I DE 15 A 19;VENDA DE VEHÍCLES DE MOTOR;58;Ctra. Laureà Miró 0352   
961;19990923;City Sec Tintoreria;SANT FELIU NET SEC S.L.  ;TINTORERIA;;encarnaavila@hotmail.com;936325200;DE DILLUNS A DIVENDRES 8.30-13.30 16.30-20.30  DISSABTE 9-13.30;BUGADERIES;166;C. Joan Maragall 0013  BX  
2030;19960101;Clemco Internacional;CLEMCO INTERNATIONAL SA  ;comercialització de maquinària de construcció;www.clemco.es;info@clemco.es;936854220;DE 8:30 A 13:30 I DE 15:00 A 18:00 DE DILLUNS A DIJOUS I DE 8:30 A 14:00 ELS DIVENDRES;COMERÇ A L ENGRÒS, EXCEPTE VEHÍCLES DE MOTOR;63;Ra. Salut 0044  BX  
1252;19990104;Clínica Centre Veterinari Vilaplana;M DEL MAR VILAPLANA MILLA;CLINICA VETERINARIA;;mmar.vilaplana@grupinformatic.com;936664690;DE DILLUNS A DIVENDRES 10-13 17-20, DISSABTE 10-13.30;ACTIVITATS VETERINÀRIES;154;C. Joan Antoni Samaranch 0006   
1946;19990101;Clinica del Peu;CARLOS A ESPINOSA MENDOZA;Clínica de podologia;;karlosem11@hotmail.com;936855675;DE 15 A 20 DILLUNS, DIMECRES I DIVENDRES;SERVEI PODÒLOGIA;152;C. Constitució 0038 D  BX  05  
2740;20070530;Clinica Dental;JOSE MESTRES CORTADELLAS;Clinica odontologica;;;;;CLINICA DENTAL;149;Ptge. Ricard Ribas 0007  BX  01  
3664;20091130;Clínica dental;BELISA OLMO GONZALEZ;Clínica dental;;clinica@belisaolmo.com;699477377;;CLINICA DENTAL;149;C. Sant Joan 0003  LC  01  
1775;20060427;Clínica Dental Albert Gras;ALBERT GRAS FERNANDEZ;Clínica dental;;clinicadentalgras@gmail.com;936327205;hores concertades;CONSULTORIS, CENTRES MÈDICS, ASSISTÈNCIA MUTUA;148;Pl. Catalunya 0001   
1152;19800101;Clínica dental Antonio Cahué Raspall;ANTONIO CAUHE RASPALL;CLINICA DENTAL;;clinicadental@comb.es;936661087;DE 9 A 13 I DE 15:30 A 20 DE DILLUNS A DIVENDRES;CLINICA DENTAL;149;Pg. Nadal 0024   
1920;20060401;Clínica Dental Basi;SILVIA GARCIA BERROY;CLÍNICA DENTAL;www.clinicadentalbasi.es;info@clinicadentalbasi.es;936669129;9-13 15-20 DILLUNS A DIVENDRES;CLINICA DENTAL;149;C. Marquès de Monistrol 0020  LC  01  
2446;19930101;Clínica Dental Dra. Silvia Buesa;SILVIA BUESA VIDAL;CLÍNICA DENTAL;;info@clinicabuesa.com;936668294;10-20h;CLINICA DENTAL;149;C. Joan Batllori 0003 D  01  02  
2558;20110330;Clínica dental Falguera;GRACIA MARIA MARTINEZ CARRETERO;Clínica dental;;info@cdcarretero.com;936853118;;CLINICA DENTAL;149;C. Rupert Lladó 0041  LC  3A  
1997;20050303;Clinica Dental Monturiol;PERSONA NULA  ;SERVEI SANITARI;;;936855644;DE DILLUNS A DIVENDRES, MATÍ-TARDA, HORES CONVINGUDES: NO HI HA UN HORARI FIXE:;CLINICA DENTAL;149;Ptge. Narcís Monturiol    
3717;20100326;Clinica dental Novetat;CLINICA DENTAL NOVETAT SL  ;Clinica dental;;clinica.dental.novetat@gmail.com;936852080;;CLINICA DENTAL;149;Ctra. Laureà Miró 0146  LC  
1295;19960101;Clínica Veterinària Núria Plana;NURIA PLANA SANS;VETERINARIA;www.nuriaplana.com;info@veterinarianuriaplana.com;936854494;DE 10 A 13:30 I DE 17:00 A 20:30 DE DILLUNS A DIVENDRES, ELS DISSABTES DE  10:00 A 13:00;ACTIVITATS VETERINÀRIES;154;C. Santiago Rusiñol 0020   
1144;20010901;Clinident;CLINIDENT ODNTOLECS I ESTOMATOLECS  S.L  ;CLÍNICA DENTAL;;clinidentsantfeliu@gmail.com;936325886;DE 9 A 13 I DE 15:30 A 21 DE DILLUNS A DIVENDRES;CLINICA DENTAL;149;Rbla. Marquesa de Castellbell 0044   
1100;19970701;CM Sant Feliu Carpinteria Metàl.lica;FRANCISCO QUESADA GONZALEZ S.L.  ;fusteria d alumini;;cmeliu@congol.com;;DE 8 A 14 I DE 15:30 A 18:30 DE DILLUNS A DIVENDRES;FUSTERIA;172;Pg. Pins 0033   
1679;20060503;Cobo. Pintura i decoració;PERSONA NULA  ;comerç de pintures i elements de decoració interiors;;;;;DROGUERIA-PERFUMERIA;77;C. Lluís G. Rius 0013   
593;20040601;Cofrelec Electrica Molins SL;COFRELEC ELECTRICA MOLINS SL  ;Venda al detall i al major de material elèctric i il.luminació;;josepanton@cofrelec-electricamolins.com;936661160;18-20:30 DILLUNS A DIVENDRES;LAMPARES I ARTICLES D ILUMINACIÓ;81;C. Joaquim Monmany 0002  03  02  
431;20050301;Colors i Estil Perruquers;MARIA NATACHA GARCIA PEREZ;PERRUQUERIA;;xaxi76@gmail.com;;DE DILLUNS A DIVENDRES DE 10 A 19;PERRUQUERIES;163;C. Joan Maragall 0007  LC  02  
1638;20060427;Com a Casa;LUIS SANCHEZ INFANTE;Rostisseria, preparació de plats precuinats;;NO EN TENEN;936665444;;MENJARS PREPARATS ;71;Pg. Comte de Vilardaga 0083   
2312;19920101;Comcinox Technology, S.A;COMCINOX TECHNOLOGY  ;Fabricació i mecanització de productes metàl·lics (valvules majoritariament)i no metal·lics per a la indústria.;www.comcinox.com;info@comcinox.com;936800911;DE DILLUNS A DIVENDRES DE 8 A 18;METAL·LÚRGIA, (llevat de maquinària i equips);43;Ctra. Sànson 0007  BX  
2166;19860101;Comensa (Comercial de Entécnica S.L.);COMERCIAL DE ENTECNICA SL  ;FABRICACIÓ PANTALLES PROJECCIÓ,DISTRIBUCIÓ PTES. QUÍMICs;www.comensa.es;comercial@comensa.es;936664301;8 30-13  15-18 30 DILLUNS A DIVENDRES;FABRICACIÓ MAQUINÀRIA I MATERIALS ELÈCTRICS I ELECTRÒNICS : LLUMS, RADIOTELEFONIA, SO I IMATGE, RADI;46;C. Mataró 0007  BX  
2659;20070403;Comerç d aparells per internet;MIND POWER TESTING SYSTEMS SL  ;Comerç al detall d aparells electrònics per internet.;;;;;ALTRES COMERÇOS AL DETALL;107;C. Picasso 0016  BX  02  
3372;20080307;Comerç de pa;ENCARNACION BARRERA BENITEZ;Comerç al detall de pa i brioixeria;;;;;FORNS I PASTISSERIES;70;C. Prolongació de Falguera 0009  BX  03  
3383;20080325;Comerç de videojocs, películes i material informàtic;BLAS HITA MORENO;Comerç al detall de videojocs, películes i material informàtic;;blashita2hotmail.com;936853993;;ALTRES COMERÇOS AL DETALL;107;C. Pere Álvarez 0090   
573;19960101;Comercial Blanco;ATANASIO BLANCO ALVAREZ;VENDA I REPARACIÓ D ELECTRODOMÈSTICS;;comercialblanco@terra.es;936660275;DE 10 A 13 I DE 17 A 20 DE DILLUNS A DIVENDRES;ELECTRODOMÈSTICS;85;C. Hospitalet 0014   
2376;20020401;Comercial Doserres 2002 SL.;COMERCIAL DOSERRES-2002 SL  ;DISTRIBUIDORS D ALIMENTACIÓ;;consulta@doserres.es;936327489;DE DILLUNS A DIVENDRES DE 7 A 13 I DE 16 A 19;EMMAGATZEMATGE. DIPÒSIT DE MOBLES I MERCADERIES.;113;C. Comerç 0050  BX  
1173;20010901;Comercial Miranda (Subministraments Industrials Miranda, S.L.);SUBMINISTRAMENTS INDUSTRIALS MIRANDA SL  ;SUMINISTRAMENT INDUSTRIAL;;simiranda@simiranda.com ;936665711;DE 8:30 A 14:00 I DE 15:30 A 19:00 DE DILLUNS A DIVENDRES;FERRETERIA/COPIA CLAUS/CERRAJERIA;84;Ctra. Laureà Miró 0321  LC  03  
993;19860101;Comercial Rumea;COMERCIAL GARCIA CASACUBERTA SL  ;Comerç al detall de productes de perruqueria i bellesa;;comercialbrumen@msn.com;936666451;DE 9:30 A 13:30 I DE 16:00 A 20:00 DE DILLUNS A DIVENDRES I DE 10:00 A 13:30 ELS DISSABTES;DROGUERIA-PERFUMERIA;77;Ctra. Laureà Miró 0285   
2022;19800101;Comercial Textil Sánchez;COMERCIAL TEXTIL SANCHEZ DE CORNELLA, SA (COTESA SA)  ;BOTIGA DE ROBA PER LA LLAR I ROBA UNISEX;www.diezxdiez.es;jsanchez@diezxdiez.es;936856666;DE DILLUNS A DISSABTE 10-13.30 16.30-21;INDUSTRIES TEXTILS;17;C. Sol 0018   
1280;19791211;Comestibles Cifré;PILAR CIFRE FERRES;VENDA DE COMESTIBLES;;quini1964@hotmail.com;936661280;DE DILLUNS A DISSABTE DE 8 A 14 I DE 17 A 20;BOTIGA D ALIMENTACIÓ NO ESPECIALITZADA;64;Ctra. Laureà Miró 0316  LC  
3967;20120725;Comtrafo;COMTRAFO SL  ;Magatzem distribuidor de components elèctrics i electrònics;www.comtrafo.com;info@comtrafo.com;936669052;;EMMAGATZEMATGE. DIPÒSIT DE MOBLES I MERCADERIES.;113;C. Mataró 0043  BX  
496;20081212;Condis (Creus);TEDUS SUPERMERCATS S.L.  ;Supermercat d alimentació;;;936668651;DE DILLUNS A DISSABTE 8.30-14 17-21;SUPERMERCATS/HIPERMERCATS;65;C. Creus 0003   
504;19890101;Condis (Ramón i Cajal);CS ESTABLIMENTS DE PROXIMITAT, S.L.  ;SUPERMERCAT ;www.condis.es;isabel_galan@condis.es;935653400;DE DILLUNS A DIVENDRES 9-14 DISSABTE 8-20;SUPERMERCATS/HIPERMERCATS;65;C. Ramón y Cajal 0017  BX  01  
515;20010101;Condis (Rbla. Marquesa Castellbell);EDUS OM, S.L.  ;SUPERMERCAT;;c10175@condis.es;936666554;DE 9 A 21 DE DILLUNS A DISSABTE;SUPERMERCATS/HIPERMERCATS;65;Rbla. Marquesa de Castellbell 0073   
505;20060504;Condis (Rupert Lladó);AUTOSERVICIOS ANJO SL  ;SUPERSERVEI D ALIMENTACIÓ;www.condis.es;c0303@condis.es;936853178;DE DILLUNS A DIVENDRES DE 8:30 A 14 I DE 17 A 20:30;SUPERMERCATS/HIPERMERCATS;65;C. Rupert Lladó 0003   
502;20020101;Condis (Sant Llorenç);GUILLAMON RUIZ SCP  ;TENDA D ALIMENTACIÓ;www.condis.es;co455@condis.es;936667354;8:30-13:30 17-20 DILLUNS A DISSABTE;SUPERMERCATS/HIPERMERCATS;65;C. Sant Llorenç 0001  LC  
512;19901108;Condis (Santa Creu);CONDIS SUPERMERCATS, S.A.  ;supermercat ;http://www.condis.es;Isabel_galan@condis.es;936669401;DE DILLUNS A DISSABTE 8.30-14 17-20.30;SUPERMERCATS/HIPERMERCATS;65;C. Santa Creu 0029   
511;20060502;Condis supermercats  (Picasso);CS ESTABLIMENTS DE PROXIMITAT, S.L.  ;supermercat d alimentació;;isabel_galan@condis;935653400;DILLUNS A DIJOUS: 8 30 - 14 I 17- 20 30, DIVENDRESI DISSABTES 8 30-20 30;SUPERMERCATS/HIPERMERCATS;65;C. Picasso 0014  BX  01  
1852;20060427;Conelecma;ALEJANDRO GOMEZ FERNANDEZ;Instal.lacions eléctriques industrials i domèstiques. També energia solar. ;;conelecma@conelecma.com;;;PRODUCCIÓ I DISTRIBUCIÓ D ENERGIA ELECTRICA, GAS I AIGUA (COMPANYIES DE SERVEIS);54;C. Santa Maria 0027   
458;19840303;Confeccions Glória (Europa);GLORIA MARCOS CARREÑO;Comerç al detall de roba i merceria;;gloriaeuropa2@gmail.com;936665577;DE 9:30  A 14:00 I DE 17:00 A 20:30 DE DILLUNS A DISSABTE;MERCERIA;94;C. Europa 0002   
1561;19970601;Confeccions Glória (Rupert Lladó);ANTONIO DE JES ALONSO MANZANO;MERCERIA;;confeccionesgloria2@santfeliu.net;936853757;DE 9:30 A 14:00 I DE 17:00 A 20:30 DE DILLUNS A DISSABTE;TEIXITS I TAPISSERIA;78;C. Rupert Lladó 0002   
3733;20100616;Construcciones Bernal;BERNAL CAMBON, S.L.  ;Oficina i exposició d empresa de construcció i reformes;;info@construcciones-bernal.com;936855914;;INSTAL·LACIONS EN GENERAL (REFORMES...);176;Ctra. Laureà Miró 0253   
3733;20100616;Construcciones Bernal;BERNAL CAMBON, S.L.  ;Oficina i exposició d empresa de construcció i reformes;;info@construcciones-bernal.com;936855914;;CONSTRUCCIÓ D IMMOBLES (CONSTRUCTORES, PROMOTORS);55;Ctra. Laureà Miró 0253   
2683;20070502;Construcciones Olivares-Perez,SL;CONSTRUCCIONES OLIVARES-PEREZ, S.L.  ;oficina d empresa de construccions;;isa@colivares.com;936662713;;ALTRES INSTAL·LACIONS (PINTORS, PALETES,...);177;C. Joaquim Monmany 0009  BX  1B  
3341;20080115;Consulta de  podologia;ROSALIA BERNADO CASALS;Consulta de podologia;;rbernaca@hotmail.com;936660183;;SERVEI PODÒLOGIA;152;C. Creus 0039   
2398;20060726;Consulta de suport emocional;DRISSA, SCP  ;Consulta d escolta i suport emocional;;;;;CENTRES DE TERAPIA PSICOLÒGICA  I REEDUCACIÓ;151;C. Pou de Sant Pere 0008  01  03  
3670;20091207;Consumo informatico, SL;CONSUMO INFORMATICO SL  ;Comerç a l engròs de material d oficina;www.consumo.es;;678622308;;COMERÇ A L ENGRÒS, EXCEPTE VEHÍCLES DE MOTOR;63;C. Primer de Maig 0005  BX  02  
3615;20090619;Contraencunys (manipulats cartró);CONTRAENCUNYS, S.L.  ;Indústria de manipulats de cartró;www.meringraf.com;meringraf@meringraf.com;932612685;;INDÚSTRIA DE  PAPER;25;C. Anselm Clavé 0017  BX  15  
490;19350101;Coquette ;ALCO DOS SL  ;Comerç al detall de bosses de mà i bijuteria;;gestioalcodos@gmail.com;629370448;DE 9:30 A 13:00 I DE 17 A 20:30 DE DILLUNS A DISSABRTE;ROBA;90;Ctra. Laureà Miró 0192  BX  
435;19680101;Corseteria Roig  (Ctra.Laureà Miró);MONTSERRAT ROIG SALO;LENCERIA COTILLERIA;;mroigs@hotmail.com;936660491;DE 9:30 A 13:30 I DE 17 A 20:30 DE DILLUNS A DISSABTE;LENCERIA COTILLERIA;91;Ctra. Laureà Miró 0135   
436;19730101;Corseteria Roig  (Santa Creu);MONTSERRAT ROIG SALO;Comerç al detall de llenceria i cotilleria;;mroigs@hotmail.com;936665956;DE 9:30 A 13:30 I DE 17:00 A 20: 30 DE DILLUNS A DISSABTE;LENCERIA COTILLERIA;91;C. Santa Creu 0016   
2058;19940101;Cosa (Abans COMERCIAL ORPELLA, S.A.);TORFIX, SL  ;distribució de tornilleria;www.cosa-orpella.com;ventas@cosa-orpella.com;936859990;DE 8:30 A 13 I DE 15:30 A 18:00 DE DILLUNS A DIVENDRES;METAL·LÚRGIA, (llevat de maquinària i equips);43;C. Indústria 0027   
2110;20071219;Cosentino S.A.;COSENTINO, S.A.  ;Magatzem i venda a l engrós de marbres;www.grupocosentino.es;barcelona@cosentinogroup.net;936327250;DE DILLUNS A DIVENDRES 8.30-13.30 15.30-18;COMERÇ A L ENGRÒS, EXCEPTE VEHÍCLES DE MOTOR;63;C. Reverend Martí Duran 0017   
2354;20060501;Cotesa;COMERCIAL TEXTIL SANCHEZ DE CORNELLA, SA (COTESA SA)  ;OFICINES DEL 10x10, TASQUES ADMINISTRATIVES;www.diezxdiez.es;info@diezxdiez.es;936856666;DE DILLUNS A DIVENDRES DE 8:30 A 14 I DE 16 A 19;EMMAGATZEMATGE. DIPÒSIT DE MOBLES I MERCADERIES.;113;C. Joaquim Castells 0020  BX  
3356;19990930;Cria cavallar (cria de cavalls - ramader);FERMIN LORENTE HIGUERAS;Cria cavallar;;;934112402;;RAMADERIA;2;. Afores    
2357;19900801;Cromados Talleres Barba y Garcia, SL;TALLERES BARBA Y GARCIA, SL  ;taller de recobriment electrolític;www.cromadosbarbaygarcia.com;cromadosbarbaygarcia@gmail.com, cromados@talleresbarbaygarcia.com;936852410;7:30-13:30 15-18:30 DILLUNS A DIJOUS 7:30-13:30 DIVENDRES;METAL·LÚRGIA, (llevat de maquinària i equips);43;Ptge. Masor 0010  BX  
1206;19860901;Cuadros Ruben;ANA ROMERO PORTILLO;VENDA AL DETALL DE QUADRES;;;;DE DILLUNS A DISSABTE 9.30-14 17-20;MOBLES I DECORACIÓ;80;C. Falguera 0078   
908;19950926;Cul de Sac (bar musical);JOSE MARIA NOGUES FIGOLS;Bar Musical;;xuli_nogues@yahoo.es;936853761;;ACTIVITATS RECREATIVES (bar musical, discoteca, etc);160;Ctra. Laureà Miró 0155  LC  
3396;20080422;Dafe;DERIVADOS DEL AUTOMOVIL EN FLEJE ESTAMPADO, S.A.  ;Emmagatzematge de productes metàl·lics d automoció;www.flex-n-gate.com;tomas.segarra@flexngate.es;936853230;;EMMAGATZEMATGE. DIPÒSIT DE MOBLES I MERCADERIES.;113;C. Sant Josep 0111  BX  
2111;19190101;Dafe;DERIVADOS DEL AUTOMOVIL EN FLEJE ESTAMPADO, S.A.  ;fabricació de components metàl·lics per a l automòbil;www.flex-n-gate.com/mp/eu/dafe.html;;936853230;DE DILLUNS A DIVENDRES 8-13 14-18;METAL·LÚRGIA, (llevat de maquinària i equips);43;C. Sant Josep 0110  BX  
2135;19620101;Dallant;DALLANT, S.A.  ;Aromes i sabors per a la indústria alimentària;www.dallant.es;dallant@dallant.com;936859880;DE 7 A 14:30 DE DILLUNS A DIVENDRES;INDUSTRIES D ALIMENTACIÓ;13;Ctra. Laureà Miró 0392  BX  
2113;19981117;Dallant, SA.;DALLANT, S.A.  ;Fàbrica d aditius per a l alimentació.;www.dallant.es;dallant@dallant.es;936859880;DE DILLUNS A DIVENDRES DE 7 A 14:30 I 15 A 21:30;INDUSTRIES D ALIMENTACIÓ;13;C. Sant Josep 0125   
506;20060427;Dalmases (Condis);Mª CARMEN NOVA DALMASES  ;SUPERMERCAT;;carmen@gesconrisc.com;936661490;DE 9 A 13:30 I DE 17 A 20 DE DILLUNS A DIVENDRES, DISSABTE DE 9 A 13:30;SUPERMERCATS/HIPERMERCATS;65;C. Pi i Margall 0009   
604;19800101;Dalmases Lampisteria;LAMPISTERIA DALMASES, S.L.  ;LAMPISTERIA;www.lampisteriadalmases.com;dalmasessl@telefonica.net;936661129;8-13 15-20 DILLUNS A DIVENDRES;EMPRESES INSTAL·LACIONS GENERALS / REFORMES GENERALS;56;C. Eugeni d Ors 0009  LC  
3786;20101210;DANA S;ANA MARIA ROMERO GALLARDO;Comerç al detall de roba de vestir;;info@danasbybarcelona.com;617112159;;ROBA;90;C. Pou de Sant Pere 0015  LC  01  
1233;20060427;Data Serveis Grafics;DATA CREACIONS GRAFIQUES S.C.P.  ;ARTS GRÀFIQUES / FOTOCOMPOSICIÓ;;data@dataserveis.com;936667355;DE DILLUNS A DIVENDRES 8 A 13:30 I 15:30 A 18:30;ARTS GRÀFIQUES;26;Ctra. Laureà Miró 0117  LC  
3344;20080116;D&D Perruquers;ROBERTO DESTRADE GIRAUDY;Perruqueria;;robertodestrade@hotmail.com;931282401;;PERRUQUERIES;163;Pl. Catalunya 0001  LC  01  
1056;19750101;Decoració Mariló;JOSE MARIA FERNANDEZ PARDO;comerç al detall d elements de decoració per a la llar;;decoramarilo@gmail.com;936663559;9 30-14 17-20 DILLUNS A DIVENDRES / DISSABTES 9 30-14;MOBLES I DECORACIÓ;80;C. Picasso 0002   
1973;19880101;Decoració Mariló (ctra. Sanson);MARIA DOLORES AGUILELLA FERNANDEZ;magatzem auxiliar de comerç de complements per a la llar;;josemfer7@hotmail.com;936663559;;MOBLES I DECORACIÓ;80;Ctra. Sànson 0046  BX  01  
1606;19860301;Decoración Barroso;OLEGARIO BARROSO SERRANO;Comerç al detall de cortines elements de decoració;;pilar.barroso.arroyo@gmail.com;936668653;DE 9.30 A 13 I DE 17 A 20;PARAMENTS DE LA LLAR;83;C. Francesc Sáez 0004   
3361;20090204;Decubany Reformes Integrals;PILAR SANCHEZ RAZ;Oficina i exposició d empresa de reformes de la construcció;;decubany@hotmail.com ;936854567;;EMPRESES INSTAL·LACIONS GENERALS / REFORMES GENERALS;56;Ptge. Ricard Ribas 0003  BX  02  
