ID_PARTIDA;DESCRIPCIO;ANY_PRESSUPOST;CAPITOL;ARTICLE;NOM_ARTICLE;CONCEPTE;NOM_CONCEPTE;CODI_ECONOMIC;CODI_PROGRAMA;CODI_ORGANIC;CREDIT_INICIAL;CREDIT_ACTUAL;A;D;O;P;RP;SALDO;MODIFICACIO
15     313  48901   ;ALTR.TRANS.-SALUT PÚBLICA                         ;2015;4;;;;;48901  ;313  ;;10000;2000;2000;2000;2000;;;-8000;-8000
15     3230048904   ;ALTRES TRANSF- CONVENI AMPA JOSEP MONMANY         ;2015;4;;;;;48904  ;32300;;10830;10830;10830;10830;10830;;;0;0
15     3230062500   ;MOBILIARI I ESTRIS- ENSENYAMENT                   ;2015;6;;;;;62500  ;32300;;10000;10000;9721,23;9716,23;9716,23;;;0;0
15     3230122001   ;PREMSA I PUB.-CENTRES 0-3                         ;2015;2;;;;;22001  ;32301;;1800;1300;1200;1167,53;1167,53;;;-500;-500
15     330  12006   ;TRIENNIS - CULTURA                                ;2015;1;;;;;12006  ;330  ;;0;0;80,82;80,82;80,82;;;0;0
15     330  22101   ;AIGUA - ADM. GRAL. CULTURA                        ;2015;2;;;;;22101  ;330  ;;16600;16600;16547,79;16547,79;16547,79;;;0;0
15     333  22609   ;FESTES - CIUTAT DE LES ROSES                      ;2015;2;;;;;22609  ;333  ;;13000;33066,32;33227,32;33227,32;33227,32;;;20066,32;20066,32
15     3340048903   ;ALTR.TRANSF.CULTURA- AGRUPACIO CULTURAL FOLKLORICA;2015;4;;;;;48903  ;33400;;10300;10300;10300;10300;10300;;;0;0
15     3340048907   ;ALTR.TRANSF- CULTURA- COMISSIO FEST. J.MARAGALL   ;2015;4;;;;;48907  ;33400;;3100;3100;3100;3100;3100;;;0;0
15     3340048919   ;ALTRES TRANSF- CC. VIRGEN DEL ROCIO               ;2015;4;;;;;48919  ;33400;;500;500;500;500;500;;;0;0
15     336  22706   ;ESTUDIS I TREB.TECNICS- PATRIMONI CULTURAL        ;2015;2;;;;;22706  ;336  ;;3000;3000;423,5;423,5;423,5;;;0;0
15     341  48901   ;ALTR.TRANS.-ESPORTS I ESBARJO CB S FELIU          ;2015;4;;;;;48901  ;341  ;;25000;25000;25000;25000;25000;;;0;0
15     342  22100   ;ENERGIA ELECT.-ESPORT.I ESBAR.                    ;2015;2;;;;;22100  ;342  ;;120000;120000;103575,45;103575,45;103575,45;;;0;0
15     342  22101   ;AIGUA - ESPORTS I ESBARJO                         ;2015;2;;;;;22101  ;342  ;;50000;50000;35834,62;35834,62;35834,62;;;0;0
15     4311022602   ;DESPESES DE DIFUSIO I COMUNICACIO                 ;2015;2;;;;;22602  ;43110;;15000;7000;6189,15;6189,15;6189,15;;;-8000;-8000
15     4311022699   ;ALTRES DESP.ESP.SERV- FIRES I EXPOSICIONS         ;2015;2;;;;;22699  ;43110;;4000;4000;11644,09;10144,09;10144,09;;;0;0
15     459  68200   ;Inv.de bens patrimonials - edifici Sant Feliu Park;2015;6;;;;;68200  ;459  ;;0;971703,35;971703,35;971703,35;971703,35;;;971703,35;971703,35
15     491  15000   ;PRODUCTIVITAT - COMUNICACIO                       ;2015;1;;;;;15000  ;491  ;;0;7000;2291,34;2291,34;2291,34;;;7000;7000
15     9120010001   ;TRIENNIS - ORGANS GOVERN                          ;2015;1;;;;;10001  ;91200;;0;9100;3100,86;3100,86;3100,86;;;9100;9100
15     920  22100   ;ENERGIA ELECT.-ADM.GENERAL                        ;2015;2;;;;;22100  ;920  ;;62000;62000;46598,93;46598,93;46598,93;;;0;0
15     920  22101   ;AIGUA - ADM.GENERAL                               ;2015;2;;;;;22101  ;920  ;;4910;4910;3147,79;3147,79;3147,79;;;0;0
15     920  22604   ;JURIDICS - ADM.GENERAL                            ;2015;2;;;;;22604  ;920  ;;6000;6000;3141,45;3141,45;3141,45;;;0;0
15     924  22699   ;ALTRES DESP.ESP.SERV.-PARTICIP.CIUTADANA          ;2015;2;;;;;22699  ;924  ;;500;500;355,74;355,74;355,74;;;0;0
15     924  48905   ;ALTRES TRANSF- PARTICIPACIO CIUTADANA             ;2015;4;;;;;48905  ;924  ;;3500;3500;0;0;0;;;0;0
15R0   491  62300   ;INV.MAQ.INST.-COMUNICACIÓ                         ;2015;6;;;;;62300  ;491  ;;0;13423,24;13423,24;13423,24;0;;;13423,24;13423,24
15R1   231  64000   ;DRETS US TRASTERS TOVALLOLES                      ;2015;6;;;;;64000  ;231  ;;0;0;0;0;0;;;0;0
15R2   9290162500   ;MOBILIARI I ES TRIS - RRHH                        ;2015;6;;;;;62500  ;92901;;0;4726,24;4726,24;4726,24;0;;;4726,24;4726,24
15R3   1690161900   ;INFRAEST.URB.- ESTALVI ENERGÈTIC I SMART CITY     ;2015;6;;;;;61900  ;16901;;0;27610,97;27610,97;27610,97;27610,97;;;27610,97;27610,97
15R3   342  63200   ;INV.REPOSICIÓ PISCONA ESCORXADOR                  ;2015;6;;;;;63200  ;342  ;;0;646694,93;646694,93;646694,93;646694,93;;;646694,93;646694,93
15R3   920  63200   ;INV.REPS.EDIF.- SERV.GENERALS                     ;2015;6;;;;;63200  ;920  ;;0;50000;50000;50000;0;;;50000;50000
15R4   2320462200   ;ADQ.EDIF.ANNEX CENTRE PARROQUIAL                  ;2015;6;;;;;62200  ;23204;;0;219246,61;154509,61;154509,61;154509,61;;;219246,61;219246,61
15R4   3210063200   ;INV.REPOS.EDIFICIS - ENSENYAMENT                  ;2015;6;;;;;63200  ;32100;;0;20147,35;19905,35;18205,94;18205,94;;;20147,35;20147,35
15     132  22200   ;COMUNIC.TELEF.-SEGURETAT                          ;2015;2;;;;;22200  ;132  ;;10000;10000;1845,74;1845,74;1845,74;;;0;0
15     241  48100   ;TRANS.,PREM.BEQUES-FORMACIO I OCUPACIO            ;2015;4;;;;;48100  ;241  ;;50;27000;26850;23662,5;23662,5;;;26950;26950
15     3230021200   ;EDIF.I ALTR.CONST-ENSENYAMENT                     ;2015;2;;;;;21200  ;32300;;33795;34795;35798,28;35798,28;33051,58;;;1000;1000
15     3230121200   ;EDIF.I ALTR.CONST-CENTRES 0-3                     ;2015;2;;;;;21200  ;32301;;12410;12410;11683,41;11175,17;10994,38;;;0;0
15     3340121200   ;EDIF.I ALTR.CONST-JOVENTUT                        ;2015;2;;;;;21200  ;33401;;2500;2500;2500;1798,1;1798,1;;;0;0
15     130  12001   ;RETRIBUCIONS BÀSIQUES GRUP A2 SEGURETAT           ;2015;1;;;;;12001  ;130  ;;25814;27775,45;19501,82;19501,82;19501,82;;;1961,45;1961,45
15     1621022703   ;RECOLLIDA RESIDUS - RECOLLIDA ESCOMBRARIES        ;2015;2;;;;;22703  ;16210;;1395010;1381799;1381798,86;1381798,86;1253358,16;;;-13211;-13211
15     172  22700   ;NETEJA I AGENC-MEDI AMBIENT                       ;2015;2;;;;;22700  ;172  ;;111320;99320;95781,7;95781,7;95781,7;;;-12000;-12000
15     2320348905   ;ALTR.TRANSF- MON 3                                ;2015;4;;;;;48905  ;23203;;10000;23795,2;22042,71;22042,71;22042,71;;;13795,2;13795,2
15     2320412003   ;RETRIBUCIONS BÀSIQUES GRUP C1 SERVEIS PERSONALS   ;2015;1;;;;;12003  ;23204;;49425;51246,77;51749,36;51749,36;51749,36;;;1821,77;1821,77
15     2320412006   ;TRIENIS ATENCIÓ A LA PERSONA                      ;2015;1;;;;;12006  ;23204;;12819;12819;12267,51;12267,51;12267,51;;;0;0
15     241  12001   ;RETRIBUCIONS BÀSIQUES GRUP A2 FORMACIÓ I OCUPACIÓ ;2015;1;;;;;12001  ;241  ;;12907;81248,02;89524,5;89524,5;84537,22;;;68341,02;68341,02
15     313  12101   ;COMPLEMENT ESPECÍFIC SALUT PÚBLICA                ;2015;1;;;;;12101  ;313  ;;17970;17970;17969,74;17969,74;17969,74;;;0;0
15     340  12101   ;COMPLEMENT ESPECÍFIC ESPORTS                      ;2015;1;;;;;12101  ;340  ;;10841;10841;12981,18;12981,18;12981,18;;;0;0
15     341  22706   ;EST.I TREB.TECNICS-ESPORTS I E                    ;2015;2;;;;;22706  ;341  ;;111500;111500;111500;111500;105506,02;;;0;0
15     430  12100   ;COMPLEMENT DESTÍ COMERÇ                           ;2015;1;;;;;12100  ;430  ;;13605;12721,74;13105,76;13105,76;13105,76;;;-883,26;-883,26
15     491  13000   ;RETRIBUCIONS BÀSIQUES LABORALS COMUNICACIÓ        ;2015;1;;;;;13000  ;491  ;;58744;61603,87;61582,36;61582,36;61582,36;;;2859,87;2859,87
15     9120012006   ;TRIENIS ÒRGANS DE GOVERN                          ;2015;1;;;;;12006  ;91200;;18408;18408;18379,19;18379,19;18379,19;;;0;0
15     9120048900   ;ALTR.TRANS.-ORGANS DE GOVERN                      ;2015;4;;;;;48900  ;91200;;39330;61830;59621,77;59621,77;59621,77;;;22500;22500
15     9200112001   ;RETRIBUCIONS BÀSIQUES GRUP A2 RHUMANS             ;2015;1;;;;;12001  ;92001;;12907;12907;12906,52;12906,52;12906,52;;;0;0
15     9260113002   ;ALTRES RETRIBUCIONS LABORALS SISTEMES D INFORMACIÓ;2015;1;;;;;13002  ;92601;;172765;169915;169912,59;169912,59;169912,59;;;-2850;-2850
15     9260121600   ;EQUIP.PROC.INFORMAC.-INFORMATICA                  ;2015;2;;;;;21600  ;92601;;143310;143310;134341,14;134341,14;134341,11;;;0;0
15     241  22000   ;MAT.OFIC.-FORMACIO I OCUPACIO                     ;2015;2;;;;;22000  ;241  ;;2500;11100;12255,23;12255,23;12255,23;;;8600;8600
15     330  22100   ;ENERGIA ELECT. - ADM. GRAL. CULTURA               ;2015;2;;;;;22100  ;330  ;;264000;264000;215219,31;215219,31;215219,31;;;0;0
15     330  22200   ;COMUNIC.TELEF.-ADM.GRAL.CULTURA                   ;2015;2;;;;;22200  ;330  ;;29500;29500;3103,8;3103,8;3103,8;;;0;0
15     333  22699   ;ALTRES DESP.DIVERSES- CIUTAT DE LES ROSES         ;2015;2;;;;;22699  ;333  ;;10000;24572,51;29120,41;29120,41;29120,41;;;14572,51;14572,51
15     3340022609   ;FESTES - PROM.CULTURAL                            ;2015;2;;;;;22609  ;33400;;45000;46730,95;52241,13;52241,13;52241,13;;;1730,95;1730,95
15     130  62400   ;ADQUISICIÓ VEHICLES- SEGURETAT                    ;2015;6;;;;;62400  ;130  ;;25000;25000;24779,96;24779,96;24779,96;;;0;0
15     1531022707   ;CONSERV.INSTAL.ESP.-INSTAL.LACIONS SEMAFÒRIQUES   ;2015;2;;;;;22707  ;15310;;115000;62674;62396,81;62396,81;62396,81;;;-52326;-52326
15     1532022100   ;ENERGIA ELECT.-SERV.V.PUBLICA                     ;2015;2;;;;;22100  ;15320;;498072;498072;431712,79;431712,79;431712,79;;;0;0
15     1690015000   ;PRODUCTIVITAT - MANTENIMENT                       ;2015;1;;;;;15000  ;16900;;0;16815;13403,88;13403,88;13403,88;;;16815;16815
15     1690161900   ;INV. ESTALVI ENERGÈTIC I SMART CITY               ;2015;6;;;;;61900  ;16901;;0;0;0;0;0;;;0;0
15     172  22706   ;EST.I TREB.TECNICS-MEDI AMBIENT                   ;2015;2;;;;;22706  ;172  ;;44500;69000;69000;69000;69000;;;24500;24500
15     221  16200   ;ACCIO SOCIAL-FORM.I PERF.FUNC.                    ;2015;1;;;;;16200  ;221  ;;20705;20705;15120,21;15120,21;14980,21;;;0;0
15     231  21500   ;MOBILIARI I ESTRIS-ACCIÓ SOCIAL                   ;2015;2;;;;;21500  ;231  ;;500;500;477,71;477,71;477,71;;;0;0
15     231  22100   ;ENERGIA ELECT.-ACCIO SOCIAL                       ;2015;2;;;;;22100  ;231  ;;48000;48000;46951,77;46951,77;46951,77;;;0;0
15     231  22106   ;PRODUCT.FARMAC.-ACCIO SOCIAL                      ;2015;2;;;;;22106  ;231  ;;200;200;200;200;200;;;0;0
15     231  22706   ;SERVEIS GENT GRAN                                 ;2015;2;;;;;22706  ;231  ;;144100;144100;31633,3;14177,48;14177,48;;;0;0
15     2310122100   ;ENERGIA ELECT- PROGRAMA DISCAPACITAT              ;2015;2;;;;;22100  ;23101;;475;475;282,3;282,3;282,3;;;0;0
15     2320048901   ;COMPENSACIO DESEQUILIBIRI ECONOMIC COMPLEX 2014   ;2015;4;;;;;48901  ;23200;;0;803830,42;723546,22;723546,22;723546,22;;;803830,42;803830,42
15     2320222105   ;PROD.ALIMENT.-NOVA CIUTADANIA                     ;2015;2;;;;;22105  ;23202;;400;400;0;0;0;;;0;0
15     2320222606   ;REUNIONS I CONF.-NOVA CIUTADANIA                  ;2015;2;;;;;22606  ;23202;;200;200;0;0;0;;;0;0
15     2320222699   ;ALTRES DESP.ESP.SERV.-NOVA CIUTADANIA             ;2015;2;;;;;22699  ;23202;;670;670;285;285;285;;;0;0
15     241  21600   ;EQUIP.PROC.INFORMAC.-FORMACIO I OCUPACIO          ;2015;2;;;;;21600  ;241  ;;11000;11000;5550;5550;5550;;;0;0
15     241  62300   ;ADQ. MAQUINARIA, INST- PROM.ECONÒMICA             ;2015;6;;;;;62300  ;241  ;;5000;5000;4997,01;4997,01;4997,01;;;0;0
15     313  22706   ;EST.I TREB.TECNICS-SALUT PÚBLICA                  ;2015;2;;;;;22706  ;313  ;;9000;9000;6634,91;6634,91;6634,91;;;0;0
15     313  48902   ;ALTRES TRANSFERENCIES A ENTITATS - REMARE         ;2015;4;;;;;48902  ;313  ;;0;2500;2500;2500;2500;;;2500;2500
15     3210122710   ;PREST.SERV.SUPORT CENTRES 0-3                     ;2015;2;;;;;22710  ;32101;;0;0;0;0;0;;;0;0
15     3230121300   ;MAQ.INST.I UTILL-CENTRES 0-3                      ;2015;2;;;;;21300  ;32301;;800;800;753,22;753,22;379,21;;;0;0
15     3230122101   ;AIGUA - CENTRES 0-3                               ;2015;2;;;;;22101  ;32301;;7000;7000;3961,34;3961,34;3961,34;;;0;0
15     3230122699   ;ALTRES DESP.ESP.SERV.-CENTRES 0-3                 ;2015;2;;;;;22699  ;32301;;21000;21000;21931;20924,11;20739,46;;;0;0
15     330  62300   ;ADQ.MAQUINARIA. INSTAL- CULTURA                   ;2015;6;;;;;62300  ;330  ;;10000;10000;9724,07;8124,07;6357,32;;;0;0
15     3321012003   ;RETRIBUCIONS BÀSIQUES GRUP C1 BIBLIOTECA          ;2015;1;;;;;12003  ;33210;;0;0;7721,77;7721,77;7721,77;;;0;0
15     333  20300   ;MAQ.INSTAL.I UTILL.-CIUTAT DE LES ROSES           ;2015;2;;;;;20300  ;333  ;;9500;13030,13;13030,13;13030,13;13030,13;;;3530,13;3530,13
15     3340020300   ;MAQ.INSTAL.I UTILL- PROM.CULTURAL                 ;2015;2;;;;;20300  ;33400;;1500;1500;1379,4;1379,4;1379,4;;;0;0
15     3340048914   ;Altr.transf.Cultura- Centre Parroquial            ;2015;4;;;;;48914  ;33400;;14850;14850;14850;14850;14850;;;0;0
15     3340048931   ;ALTRES TRANSF- TRO DE FALGUERA                    ;2015;4;;;;;48931  ;33400;;600;600;600;600;600;;;0;0
15     338  20900   ;ALTRE IMMOB.MATERIAL- FESTES                      ;2015;2;;;;;20900  ;338  ;;0;0;6241,56;6241,56;6241,56;;;0;0
15     341  22601   ;ATENC.PROTOCOL.-ESPORTS-ESBARJ                    ;2015;2;;;;;22601  ;341  ;;2325;2325;2320,1;2320,1;2320,1;;;0;0
15     341  22612   ;DESPESES ARBITRATGES JOCS ESC.                    ;2015;2;;;;;22612  ;341  ;;7360;7360;6719,5;6719,5;6719,5;;;0;0
15     422  61900   ;REHABILITACIO POLIGONS INDUSTRIALS                ;2015;6;;;;;61900  ;422  ;;500000;500000;500000;0;0;;;0;0
15     4311047000   ;TRANSF- EMPRESES PRIVADES                         ;2015;4;;;;;47000  ;43110;;16000;15843,58;14909,44;14909,44;14909,44;;;-156,42;-156,42
15     4312022699   ;INDEMNITZACIONS CONCESSIO MERCAT                  ;2015;2;;;;;22699  ;43120;;69360;69360;86411;86411;86411;;;0;0
15     4590122699   ;ALTRES DESP.ESP.SERV.-LLEI DE BARRIS              ;2015;2;;;;;22699  ;45901;;3000;3000;249,99;249,99;249,99;;;0;0
15     491  22699   ;ALTRES DESP.ESP.SERV.-COMUNICACIO                 ;2015;2;;;;;22699  ;491  ;;1000;1000;799,26;799,26;799,26;;;0;0
15     9120015000   ;PRODUCTIVITAT - ALCALDIA                          ;2015;1;;;;;15000  ;91200;;0;22285;3851,96;3851,96;3851,96;;;22285;22285
15     9120016200   ;ACCIO SOCIAL-FORM.I PERF.ORG.GOVERN               ;2015;1;;;;;16200  ;91200;;1500;1500;0;0;0;;;0;0
15     9120023000   ;INDEM.DIETES-ORGANS DE GOVERN                     ;2015;2;;;;;23000  ;91200;;1500;1500;215,9;215,9;215,9;;;0;0
15     9120023300   ;ALTRES INDEMNIT.- ORGANS GOVERN                   ;2015;2;;;;;23300  ;91200;;0;40000;37078,95;37078,95;37078,95;;;40000;40000
15     9120122706   ;EST.I TREB.TECNICS-SINDIC GREUGES                 ;2015;2;;;;;22706  ;91201;;18000;43000;37921,4;37921,4;37921,4;;;25000;25000
15     920  23001   ;INDEM.DIETES-ORGANS GOVERN                        ;2015;2;;;;;23001  ;920  ;;1420;1420;0;0;0;;;0;0
15     920  46700   ;CONSORCI LOCALRET                                 ;2015;4;;;;;46700  ;920  ;;5100;5100;5021,52;5021,52;5021,52;;;0;0
15     920  62300   ;ADQ. MAQ. INSTAL- SGENERALS                       ;2015;6;;;;;62300  ;920  ;;50000;28000;24293,88;3449,94;1118,52;;;-22000;-22000
15     920  64000   ;ESTUDIS, PROJECTES I IMPREVISTOS                  ;2015;6;;;;;64000  ;920  ;;112428;107543,64;30621,09;30621,09;30621,09;;;-4884,36;-4884,36
15     924  48900   ;ALT.TRANSF- CAN MAGINÀS                           ;2015;4;;;;;48900  ;924  ;;1750;1750;1750;1750;1750;;;0;0
15     924  48908   ;ALTRES TRANSF- VOLUNTARIAT                        ;2015;4;;;;;48908  ;924  ;;3000;3000;3000;3000;3000;;;0;0
15     9260162300   ;ADQ. MAQUINARIA, INSTAL-SIST.INFORMACIÓ           ;2015;6;;;;;62300  ;92601;;30000;30000;26655,79;26655,79;19395,79;;;0;0
15     931  15000   ;PRODUCTIVITAT - SERVEIS ECONOMICS                 ;2015;1;;;;;15000  ;931  ;;0;3275;9141,11;9141,11;9141,11;;;3275;3275
15R0   1550178000   ;TRASF.REHAB.HABITATGES-LLEI BARRIS                ;2015;7;;;;;78000  ;15501;;0;1727,03;1727,03;1727,03;0;;;1727,03;1727,03
15R0   920  64000   ;EMERGÈNCIES, IMPREVISTOS I HONORARIS              ;2015;6;;;;;64000  ;920  ;;0;1236,8;1236,8;1236,8;1236,8;;;1236,8;1236,8
15R0   9260164100   ;ADQ.LLICÈNCIES-SIST.INFORMACIÓ                    ;2015;6;;;;;64100  ;92601;;0;2087,38;2087,38;2087,38;2087,38;;;2087,38;2087,38
15R2   4312063200   ;INVER.REPOS.EDIF.- MERCAT                         ;2015;6;;;;;63200  ;43120;;0;82135,17;82135,17;82135,17;82135,17;;;82135,17;82135,17
15R3   171  61900   ;INV.REPS.INFRAST.-ROSERAR                         ;2015;6;;;;;61900  ;171  ;;0;0;0;0;0;;;0;0
15R4   171  61901   ;remodelació parc del LLobregat                    ;2015;6;;;;;61901  ;171  ;;0;0;0;0;0;;;0;0
15R4   231  62600   ;EQUIPAMENT INFORMÀTIC - TOVALLOLES                ;2015;6;;;;;62600  ;231  ;;0;10269,2;8449,97;8449,97;8449,97;;;10269,2;10269,2
15R4   2320463200   ;INV.REPOS.EDIFICIS - ATENCIÓ PERSONES             ;2015;6;;;;;63200  ;23204;;0;19278,51;19278,51;19278,51;19278,51;;;19278,51;19278,51
15R4   3210062301   ;CALDERA BIOMASA CEIP GAUDÍ                        ;2015;6;;;;;62301  ;32100;;0;130100,05;127265,9;127265,9;127265,9;;;130100,05;130100,05
15R4   4310022602   ;PUBLICITAT I PROPAGANDA - MERCAT                  ;2015;2;;;;;22602  ;43100;;0;2000;1957,18;1957,18;1957,18;;;2000;2000
15R4   441  61900   ;INVERSIÓ EN MOBILITAT                             ;2015;6;;;;;61900  ;441  ;;0;9515,26;9515,26;9515,26;9515,25;;;9515,26;9515,26
15     011  91300   ;AMORT.PREST.- DEUTE PUBLIC                        ;2015;9;;;;;91300  ;011  ;;2984660;3914660;3932123,36;3932123,34;3932123,34;;;930000;930000
15     1532021000   ;INFRASTRUCTURA-V.PUBLICA                          ;2015;2;;;;;21000  ;15320;;18489;18489;23035,27;23035,27;23035,27;;;0;0
15     341  48900   ;ALTR.TRANS.-ESPORTS I ESBARJO                     ;2015;4;;;;;48900  ;341  ;;14160;14160;14160;14160;14160;;;0;0
15     9260120600   ;EQUIP.PROC.INFORMAC.-SISTEMES INFORMACIÓ          ;2015;2;;;;;20600  ;92601;;165190;187411,48;187411,05;187411,05;187411,05;;;22221,48;22221,48
15R4   179  61900   ;Adequació horts Urbans                            ;2015;6;;;;;61900  ;179  ;;0;284748,9;279872,57;279872,57;276371,48;;;284748,9;284748,9
15     130  12006   ;TRIENIS SEGURETAT                                 ;2015;1;;;;;12006  ;130  ;;112069;112069;114257,62;114257,62;114257,62;;;0;0
15     150  12003   ;RETRIBUCIONS BÀSIQUES GRUP C1 URBANISME           ;2015;1;;;;;12003  ;150  ;;138388;145505,07;133704,02;133704,02;133704,02;;;7117,07;7117,07
15     150  13000   ;RETRIBUCIONS BÀSIQUES LABORALS URBANISME          ;2015;1;;;;;13000  ;150  ;;13136;13610,03;13609,49;13609,49;13609,49;;;474,03;474,03
15     151  22706   ;EST.I TREB.TECNICS-URBANISME                      ;2015;2;;;;;22706  ;151  ;;87450;117950;115265,86;115265,86;115265,86;;;30500;30500
15     1690012004   ;RETRIBUCIONS BÀSIQUES GRUP C2 MANTENIMENT         ;2015;1;;;;;12004  ;16900;;25136;26091,12;26090,86;26090,86;26090,86;;;955,12;955,12
15     1690012005   ;RETRIBUCIONS BÀSIQUES GRUP E MANTENIMENT          ;2015;1;;;;;12005  ;16900;;15358;16288,72;16287,88;16287,88;16287,88;;;930,72;930,72
15     1690012101   ;COMPLEMENT ESPECÍFIC MANTENIMENT                  ;2015;1;;;;;12101  ;16900;;170064;165633,95;157691,73;157691,73;157691,73;;;-4430,05;-4430,05
15     2320411000   ;PERSONAL EVENTUAL-SERVEIS PERSONALS               ;2015;1;;;;;11000  ;23204;;65470;66739,04;65993,83;65993,83;65993,83;;;1269,04;1269,04
15     241  13002   ;ALTRES RETRIBUCIONS LABORALS FORMACIÓ I OCUPACIÓ  ;2015;1;;;;;13002  ;241  ;;240533;234463;257485,83;257485,83;257485,83;;;-6070;-6070
15     313  12100   ;COMPLEMENT DESTÍ SALUT PÚBLICA                    ;2015;1;;;;;12100  ;313  ;;7650;7650;7649,74;7649,74;7649,74;;;0;0
15     320  13002   ;ALTRES RETRIBUCIONS LABORALS EDUCACIÓ             ;2015;1;;;;;13002  ;320  ;;72824;61324;58396,39;58396,39;58396,39;;;-11500;-11500
15     3230122706   ;ESTUDIS I TREB.TÈCNICS- CENTRES 0-3               ;2015;2;;;;;22706  ;32301;;18000;11300;11242,9;11242,9;11042,9;;;-6700;-6700
15     3230147000   ;A EMPRESES PRIVADES- CENTRES 0-3                  ;2015;4;;;;;47000  ;32301;;89185;102785;102784,45;102784,45;102784,45;;;13600;13600
15     3321013000   ;RETRIBUCIONS BÀSIQUES LABORALS BIBLIOTECA         ;2015;1;;;;;13000  ;33210;;45203;47302,43;42487,11;42487,11;42487,11;;;2099,43;2099,43
15     3321013002   ;ALTRES RETRIBUCIONS LABORALS BIBLIOTECA           ;2015;1;;;;;13002  ;33210;;53396;53396;47681,82;47681,82;47681,82;;;0;0
15     340  12006   ;TRIENIS ESPORTS                                   ;2015;1;;;;;12006  ;340  ;;741;741;1253,07;1253,07;1253,07;;;0;0
15     430  12003   ;RETRIBUCIONS BÀSIQUES GRUP C1 COMERÇ              ;2015;1;;;;;12003  ;430  ;;19770;20787,28;20786,96;20786,96;20786,96;;;1017,28;1017,28
15     4310020900   ;ALTR.IMMOB.MAT.-COMERÇ                            ;2015;2;;;;;20900  ;43100;;25000;25000;19544,67;19544,67;19544,67;;;0;0
15     9120011000   ;PERSONAL GABINETS-ORG.GOVERN                      ;2015;1;;;;;11000  ;91200;;183607;187631,65;175862,44;175862,44;175862,44;;;4024,65;4024,65
15     9120012001   ;RETRIBUCIONS BÀSIQUES GRUP A2 ALCALDIA            ;2015;1;;;;;12001  ;91200;;12907;13730,81;13730,32;13730,32;13730,32;;;823,81;823,81
15     920  12103   ;ALTRES COMPLEMENTS SERVEIS GENERALS               ;2015;1;;;;;12103  ;920  ;;6790;2790;2844,74;2844,74;2844,74;;;-4000;-4000
15     920  13002   ;ALTRES RETRIBUCIONS LABORALS SGENERALS            ;2015;1;;;;;13002  ;920  ;;71741;71741;71740,82;71740,82;71740,82;;;0;0
15     920  20200   ;EDIF.I ALTR.CONST.-ADM.GENERAL                    ;2015;2;;;;;20200  ;920  ;;40260;40260;54110,8;54110,8;54110,8;;;0;0
15     9200112004   ;RETRIBUCIONS BÀSIQUES GRUP C2 RECURSOS HUMANS     ;2015;1;;;;;12004  ;92001;;16758;17812,97;17812,13;17812,13;17812,13;;;1054,97;1054,97
15     924  22706   ;EST.I TREB.TECNICS-PARTICIP.CIUTADANA             ;2015;2;;;;;22706  ;924  ;;36633;36633;21571,51;21571,51;19683,36;;;0;0
15     931  12000   ;RETRIBUCIONS BÀSIQUES GRUP A1 SERVEIS ECONÒMICS   ;2015;1;;;;;12000  ;931  ;;44032;70031,97;22184,03;22184,03;22184,03;;;25999,97;25999,97
15     931  12006   ;TRIENIS SERVEIS ECONÒMICS                         ;2015;1;;;;;12006  ;931  ;;22711;22711;17485,46;17485,46;17485,46;;;0;0
15     1690121400   ;REP.CONS.TRANSPORT SERV.MANTENIMENT               ;2015;2;;;;;21400  ;16901;;12500;57500;64436,57;64436,57;64436,57;;;45000;45000
15     1690122200   ;COMUNIC.TELEF.-SERVEI MANTENIMENT                 ;2015;2;;;;;22200  ;16901;;7500;7500;3061,56;3061,56;3061,56;;;0;0
15     231  83100   ;PRESTECS A LLARG TERMINI                          ;2015;8;;;;;83100  ;231  ;;45000;45000;34800;34800;34800;;;0;0
15     9120022601   ;ATENC.PROTOCOL.-ORGANS GOVERN                     ;2015;2;;;;;22601  ;91200;;30000;30000;28747,36;28747,36;28747,36;;;0;0
15     920  22001   ;PREMSA I PUB.-ADM. GENERAL                        ;2015;2;;;;;22001  ;920  ;;18000;18000;13868,42;13868,42;13868,42;;;0;0
15     1690120400   ;LLOGUER VEHICLES- S.MANTENIMENT                   ;2015;2;;;;;20400  ;16901;;0;8300;7180,89;7180,89;7180,89;;;8300;8300
15     1690121500   ;MOBILIARI I ESTRIS-SERV.MANTENIMENT               ;2015;2;;;;;21500  ;16901;;2200;2200;1164,49;1164,49;1164,49;;;0;0
15     1690146500   ;A COMARQUES - PARC TORREBLANCA                    ;2015;4;;;;;46500  ;16901;;25155;25155;24325,95;24325,95;24325,95;;;0;0
15     172  48900   ;ALTR.TRANS.-MIEDI AMBIENT                         ;2015;4;;;;;48900  ;172  ;;8600;8600;4714;4714;4714;;;0;0
15     231  46300   ;AMB- CONVENI TRANSPORT GENT GRAN                  ;2015;4;;;;;46300  ;231  ;;4000;4000;2607,04;2607,04;2607,04;;;0;0
15     231  48900   ;ALTR.TRANSF- CONVENI CREU ROJA                    ;2015;4;;;;;48900  ;231  ;;19000;19000;19000;19000;19000;;;0;0
15     231  48903   ;ALTR.TRANSF- ACCIO SOCIAL                         ;2015;4;;;;;48903  ;231  ;;12000;12000;12000;12000;12000;;;0;0
