Org_,Eco_,Descripció,Previsions_inicials,Total_Modificacions,Previsions_totals,Drets_reconeguts_nets,Recaptació_líquida,Descirpció_orgànica,FID
1106,46102,DIPUTACIÓ. SUBV OAC MULTICANAL I TRANSVERSAL,0,0,0,0,0,SOCIETAT DEL CONEIXEMENT I LA INFORMACIÓ,220
02D5,45050,GENERALITAT SUBV PIFE-072-15 CATALUNYA EMPRÈN FSE,0,0,0,0,0,PROMOCIÓ ECONÒMICA,221
02,34905,POP EXPRESS,0,260,260,580,580,PROMOCIÓ ECONÒMICA,222
15,46111,"DIPUTACIÓ, SUBV EXPOSICIÓ DONES OBRERES TER 17/Y/239296",0,0,0,0,0,MUSEU DEL TER,223
0306,75030,GENERALITAT. APORTACIÓ ADQ TERRENY MÒDULS,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,224
02E5,45050,GENERALITAT SUBV SOC BTB 38/15 DX-08 FSE ENGINYER FIBRA ÓPTI,0,0,0,0,0,PROMOCIÓ ECONÒMICA,225
02,34906,PREU PUBLIC WC PLAÇA,0,0,0,0,0,PROMOCIÓ ECONÒMICA,226
15,46112,"DIPUTACIÓ, SUBV VISITES TEATRALITZADES 17/Y/240624",0,0,0,0,0,MUSEU DEL TER,227
0306,75060,GENERALITAT. SUBV REDACCIÓ PROJ BIBLIOTECA,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,228
02E6,45050,GENE. SUBV PROG CATALUNYA EMPREN PIFE014-16 FSE,0,0,0,0,0,PROMOCIÓ ECONÒMICA,229
02,34907,CURSOS AULA MERCAT,0,355,355,465,465,PROMOCIÓ ECONÒMICA,230
15,46200,AJUNTAMENT DE ST. VICENÇ DE TORELLÓ - CONVENI,3000,0,3000,0,0,MUSEU DEL TER,231
0306,75080,GENERALITAT. RESTA RENUNCIA OBRA 2012/700,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,232
02F4,45050,GENE-SUBV PLANIFICACIÓ ESTRATEGICA 2014 (fse),0,0,0,0,0,PROMOCIÓ ECONÒMICA,233
02,36001,"CONSELL COMARCAL OSONA, CONVENI JOVES PER OCUPACIÓ",0,0,0,0,0,PROMOCIÓ ECONÒMICA,234
15,48001,"I R MUNTANER, AJUTS PROJ INVESTIGACIÓ AP29/17",0,0,0,0,0,MUSEU DEL TER,235
0306,76100,DIPUTACIÓ. AJUT PLUGES 09/14,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,236
02F6,45050,GENE. SUBV PLANIFICACIÓ ESTRATÈGICA,0,0,0,0,0,PROMOCIÓ ECONÒMICA,237
02,46100,"DIPUTACIÓ, SUBV ACCIONS EMPRESES",0,0,0,0,0,PROMOCIÓ ECONÒMICA,238
1504,39900,"ESTUDIS, TREBALLS I ALTRES",0,0,0,0,0,MUSEU DEL TER,239
02,46103,"DIPUTACIÓ, SUBV FOMENT OCUPACIÓ 17/X/234002",0,0,0,0,0,PROMOCIÓ ECONÒMICA,240
02F6,45080,GENE. SUBV FINAL FOUR,0,0,0,0,0,PROMOCIÓ ECONÒMICA,241
0306,76101,DIPUTACIÓ. XARXA SUBV SUPORT INVERSIÓ,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,242
1506,39900,"ESTUDIS, TREBALLS I ALTRES",0,0,0,0,0,MUSEU DEL TER,243
02,46104,"DIPUTACIÓ, SUBV ACTIC 17/Y234161-62",0,0,0,0,0,PROMOCIÓ ECONÒMICA,244
0306,76102,DIPUTACIÓ. CONVENI SIDH-SAC,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,245
02G5,45050,GENERALITAT SUBV BTB 38/15 DX-03 FSE MANTENIMENT FIBRA ÓPTIC,0,0,0,0,0,PROMOCIÓ ECONÒMICA,246
1506,46115,DIPUTACIÓ. SUBV XARXA MUSEUS,0,0,0,0,0,MUSEU DEL TER,247
0306,76104,DIPUTACIÓ. SUBV SOSTENIBILITAT DOBLE PORTA,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,248
02H4,45050,GENE-SUBV TREBALL BARRIS (fse),0,0,0,0,0,PROMOCIÓ ECONÒMICA,249
1506,46116,DIPUTACIÓ. SUBV TEATRALITZACIÓ,0,0,0,0,0,MUSEU DEL TER,250
02,46110,"DIPUTACIÓ, SUBV INSERCIÓ JOVES I DONES 17/Y/238270",0,0,0,0,0,PROMOCIÓ ECONÒMICA,251
0306,76105,DIPUTACIÓ. SUBV MILLORES EQUIPAMENTS ESPORTIUS,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,252
02H5,45050,GENERALITAT SUBV SOC BTB 38/15 A1-01 ORIENTADOR,0,0,0,0,0,PROMOCIÓ ECONÒMICA,253
02,46111,"DIPUTACIÓ, SUBV ESS ALTRES OPORTUNITATS 17/Y/238181",0,0,0,0,0,PROMOCIÓ ECONÒMICA,254
1506,48001,APORTACIÓ EXPOSICIÓ A POUS,0,0,0,0,0,MUSEU DEL TER,255
0306,76106,"DIPUTACIÓ, SUBV POSADA FUNCIONAMENT TEATRE CENTRE",0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,256
15A6,45060,GENERALITAT. SUBV RECERCA I CONSERVACIÓ,0,0,0,0,0,MUSEU DEL TER,257
02,46112,"DIPUTACIÓ, SUBV FIRA CIRC 17/Y/240180",0,0,0,0,0,PROMOCIÓ ECONÒMICA,258
02H6,45050,GENE. SUBV INNOVACIÓ ESS ALTRES OPORTUNITATS ATS IE-11/16,0,0,0,0,0,PROMOCIÓ ECONÒMICA,259
15B6,45060,GENERALITAT. SUBV INVENTARI CASA DEL METGE,0,0,0,0,0,MUSEU DEL TER,260
02I5,45050,"GENERALITAT, SUBV INNOVACIÓ SOC B-065/15-01",0,0,0,0,0,PROMOCIÓ ECONÒMICA,261
02,46113,"DIPUTACIÓ, SUBV DINAMITZACIÓ COMERCIAL 17/Y/240090",0,0,0,0,0,PROMOCIÓ ECONÒMICA,262
0306,76107,"DIPUTACIÓ, SUBV REHABILITACIÓ TEATRE CENTRE 16/X/228434",0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,263
60A,39610,QUOTES URB SECTOR PIARA,0,0,0,0,0,,264
02I6,45050,GENE - SOC. SUBV INNOVACIÓ B-032/16-03,0,0,0,0,0,PROMOCIÓ ECONÒMICA,265
02,46114,"DIPUTACIÓ, SUBV ACCIONS COMERÇ 17/Y/240357",0,0,0,0,0,PROMOCIÓ ECONÒMICA,266
08,32600,"CEPS, GRUA I DIPÒSITS VEHICLES",6000,0,6000,4954.25,4954.25,GOVERNACIÓ I SEGURETAT CIUTADANA,267
60B,39610,QUOTES URB FONT TARRES,0,0,0,0,0,,268
02J3,45050,GENERALITAT.SOC SUBV FOAP 2013 (fse),0,0,0,0,0,PROMOCIÓ ECONÒMICA,269
02,46115,"DIPUTACIÓ, SUBV PROMOCIÓ COMERCIAL 17/Y/240130",0,0,0,0,0,PROMOCIÓ ECONÒMICA,270
08,39120,MULTES INFRACCIONS ORDENANÇA CIRCULACIÓ,185000,0,185000,72734.11,16476.98,SERVEIS SOCIALS,271
02J4,45050,GENE-SOC SUBV FORMACIÓ FOAP 2014 (fse),0,0,0,0,0,PROMOCIÓ ECONÒMICA,272
084,75080,GENE-SUBV MILLORA FLOTA MUNICIPAL,0,0,0,0,0,SERVEIS SOCIALS,273
02,46116,DIPUTACIÓ SUBV MANLLEU GALERIA ART 17/Y/238529,0,0,0,0,0,PROMOCIÓ ECONÒMICA,274
02J5,45050,GENERALITAT SUBV MARMI/53/2015,0,0,0,0,0,PROMOCIÓ ECONÒMICA,275
02,46117,"DIPUTACIÓ, SUBV ESTALV EFICIENCIA ENERGÈTICA IND 17/Y/238396",0,0,0,0,0,PROMOCIÓ ECONÒMICA,276
09,31100,TELEASSISTÈNCIA,19000,0,19000,11042.38,11042.38,SERVEIS SOCIALS,277
02J6,45050,GENE. SUBV 2016/RMI/SPOO/0028 FSE,0,0,0,0,0,PROMOCIÓ ECONÒMICA,278
