Org_,Fun_,Eco_,Descripció,Crèdits_inicials,Modificacions_de_crèdit,Crèdits_totals_consignats,Disposicions_o_compromisos,F__Despesa_compromesa_respecte_e,Obligacions_reconegudes,F__Obligacions_reconegudes_respe,Pagaments_fets,F__Pagaments_fets_respecte_les_o,FID
14,342F,1310000,ESPORTS LABORAL TEMPORAL CAMP DE FUTBOL,18215.76,0,18215.76,4225.23,,4225.23,,4225.23,,1236
14,334PC,2260900,CULTURA DESPESES PREMI AJUNTAMENT DE MANLLEU,500,0,500,0,,0,,0,,1237
14,341AS,1200500,ESPORTS BÀSIQUES AP TAQUILLERES/MANTENIMENT,5758.95,0,5758.95,0,,0,,0,,1238
14,924TT,2269915,PARTICIPACIO ACTIVITATS db,0,0,0,0,,0,,0,,1239
14,342F,1500100,ESPORTS PRODUCTIVITAT CAMP DE FUTBOL,700,0,700,174.99,,174.99,,174.99,,1240
14,334PF,2260900,CULTURA PREMI NARRATIVA CIUTAT DE MANLLEU,1000,0,1000,70,,70,,70,,1241
14,341AS,1210000,ESPORTS COMPLEMENT DESTINACIÓ SOC/TAQUI/MANT,3521.53,0,3521.53,0,,0,,0,,1242
14,342F,1600000,ESPORTS SEGURETAT SOCIAL CAMP DE FUTBOL,6336.78,0,6336.78,1066.32,,1066.32,,1066.32,,1243
15,161,2100000,MT MANTENIMENT TURBINAS,1000,0,1000,0,,0,,0,,1244
14,334S,2260900,CULTURA FESTA SERPENT,19000,0,19000,2950,,2950,,0,,1245
14,341AS,1210100,ESPORTS COMPLEMENT ESPECÍFIC SOC/TAQUI/MANT,4581.43,0,4581.43,0,,0,,0,,1246
15,333,1300000,MT BÀSIQUES,65112.22,0,65112.22,15513.6,,15513.6,,15513.6,,1247
14,341AS,1600000,ESPORTS SEGURETAT SOCIAL SOC/TAQUI/MANT,5818.27,0,5818.27,0,,0,,0,,1248
14,334S,4890000,CULTURA CONVENI AGRUPACIÓ SARDANISTA MANLLEU,10120,0,10120,10120,,5060,,5060,,1249
15,333,1300100,MT HORES EXTRES,0.01,0,0.01,0,,0,,0,,1250
14,341B,2260915,ESPORTS ACTIVITATS ESPORTIVES (G),0,0,0,0,,0,,0,,1251
15,333,1300200,MT ALTRES REMUNERACIONS,77098.95,0,77098.95,20848.98,,20848.98,,20848.98,,1252
14,334S,4890100,CULTURA CONVENI ASS TEATRE CENTRE,17000,0,17000,17000,,8500,,8500,,1253
14,341DE,2260900,ESPORTS DIADA ESPORTISTA,2700,0,2700,0,,0,,0,,1254
14,334S,4890200,CULTURA CONVENI FUNDACIÓ TEATRE CENTRE,0.01,0,0.01,0,,0,,0,,1255
15,333,1310000,MT PERSONAL TEMPORAL,0.01,0,0.01,0,,0,,0,,1256
14,342F,2211000,ESPORTS PRODUCTES DE NETEJA CAMP DE FUTBOL,2800,0,2800,0,,0,,0,,1257
14,334SA,2260900,CULTURA ALTRES FESTA SERPENT,12500,0,12500,0,,0,,0,,1258
14,341E,2260914,ESPORTS ACTIVITATS ESPECIAL CUP,0,0,0,0,,0,,0,,1259
15,333,1500100,MT PRODUCTIVITAT,1881.25,0,1881.25,0,,0,,0,,1260
14,342F,2270000,ESPORTS NETEJA CAMP DE FUTBOL,16860,0,16860,0,,0,,0,,1261
14,334T,2260900,EDUCACIÓ. ANEM AL TEATRE,2500,0,2500,0,,0,,0,,1262
15,333,1600000,MT SEGURETAT SOCIAL,44884.79,0,44884.79,8155.06,,8155.06,,8155.06,,1263
14,341F,2260915,ESPORTS.FESTA ESPORT I ALTRES (db),0,0,0,0,,0,,0,,1264
14,342Q,2211000,ESPORTS PRODUCTES QUÍMICS PISCINA,8000,0,8000,246.66,,246.66,,246.66,,1265
14,334T,4890000,"CULTURA CONVENI FUNDACIÓ CAIXA MANLLEU, PREMI TEATRE",5500,0,5500,0,,0,,0,,1266
15,333,2060000,MT LLOGUER FOTOCOPIADORA,1948,0,1948,324.64,,324.64,,324.64,,1267
14,491M,1010000,MITJANS BÀSIQUES DIRECTIU,14677.32,0,14677.32,3360.45,,3360.45,,3360.45,,1268
14,341PE,2260900,ESPORTS PROMOCIÓ ESPORTS,8515,0,8515,217.3,,217.3,,114.95,,1269
14,338,2050000,CULTURA LLOGUER INFRASTRUCTURES I SERVEIS,2000,0,2000,0,,0,,0,,1270
15,333,2130000,MT MANTENIMENT MAQUINÀRIA,0.01,0,0.01,0,,0,,0,,1271
14,491M,1010100,MITJANS ALTRES DIRECTIU,9322.68,0,9322.68,2353.98,,2353.98,,2353.98,,1272
15,333,2140000,MT MANTENIMENT TRANSPORT,1500,0,1500,0,,0,,0,,1273
14,338,2260900,PARTICIPACIÓ CAVALCADA REIS,23000,0,23000,16796.32,,16796.32,,16496.32,,1274
14,341PE,2260914,ESPORTS PROMOCIO ESPORTS,0,0,0,0,,0,,0,,1275
15,333,2140014,MT MANTENIMENT TRANSPORT,0,0,0,0,,0,,0,,1276
14,491M,1300000,MITJANS BÀSIQUES,7907.87,0,7907.87,1809.12,,1809.12,,1809.12,,1277
14,338,2270000,CULTURA SERVEI NETEJA VIÀRIA FESTES,770,0,770,0,,0,,0,,1278
14,341R,2269914,ESPORTS PREVENIR RICS D'EXCLUSIO,0,0,0,0,,0,,0,,1279
14,491M,1300100,MITJANS HORES EXTRES,0.01,0,0.01,0,,0,,0,,1280
15,333,2150000,MT CONSERVACIO MOBILIARI,0.01,0,0.01,0,,0,,0,,1281
15,333,2160100,MT MANTENIMENT FOTOCOPIADORA,2000,0,2000,168.07,,168.07,,168.07,,1282
14,491M,1300200,MITJANS ALTRES REMUNERACIONS,8089.15,0,8089.15,1853.22,,1853.22,,1853.22,,1283
14,341R,2269915,ESPORTS PREVENIR RISC EXCLUSIÓ,0,0,0,0,,0,,0,,1284
14,338,4890000,CULTURA CONVENI TRADICAT,300,0,300,300,,150,,150,,1285
15,333,2160200,MT MANTENIMENT WEB,1000,0,1000,0,,0,,0,,1286
14,338CR,2260900,PARTICIPACIÓ DESPESES CR ANY SEGÜENT,2000,0,2000,0,,0,,0,,1287
14,341T,2260900,ESPORTS TROFEUS,1350,0,1350,0,,0,,0,,1288
14,491M,1310000,MITJANS PERSONAL LABORAL TEMPORAL,0.01,0,0.01,0,,0,,0,,1289
14,338R,2260900,CULTURA NADAL/REIS,7300,0,7300,3004.05,,3004.05,,2698.8,,1290
15,333,2200000,MT MATERIAL OFICINA,1500,0,1500,70.77,,70.77,,70.77,,1291
14,341T,2260914,ESPORTS TROFEUS,0,0,0,0,,0,,0,,1292
14,340A,1200100,ESPORTS BÀSIQUES A2 ADM.GNAL.PISCINA,12906.52,0,12906.52,2905.71,,2905.71,,2905.71,,1293
14,491M,1500000,MITJANS PRODUCTIVITAT,560,0,560,140.01,,140.01,,140.01,,1294
15,333,2200100,MT LLIBRES I REVISTES,500,0,500,0,,0,,0,,1295
14,342A,1200500,ESPORTS BÀSIQUES AP PISCINA,7678.58,0,7678.58,1661.88,,1661.88,,1661.88,,1296
14,340A,1200400,ESPORTS BÀSIQUES C2 ADM.GNAL.PISCINA,8378.58,0,8378.58,1815.75,,1815.75,,1815.75,,1297
15,333,2210300,MT CARBURANTS,1800,0,1800,91.24,,91.24,,91.24,,1298
14,491M,1600000,MITJANS SEGURETAT SOCIAL,12377.6,0,12377.6,2127.78,,2127.78,,2127.78,,1299
14,340A,1200600,ESPORTS TRIENNIS ADM.GNAL.PISCINA,824.54,0,824.54,268.08,,268.08,,268.08,,1300
14,342A,1200600,ESPORTS TRIENNIS PISCINA,754.32,0,754.32,163.32,,163.32,,163.32,,1301
14,491M,2060000,MITJANS LLOGUER FOTOCOPIADORA,996.24,0,996.24,0,,0,,0,,1302
15,333,2210314,MT CARBURANTS,0,0,0,0,,0,,0,,1303
14,340A,1210000,ESPORTS COMPLEMENT DESTINACIÓ ADM.GNAL. PISCINA,9797.2,0,9797.2,2188.5,,2188.5,,2188.5,,1304
15,333,2211000,MT PRODUCTES NETEJA,900,0,900,0,,0,,0,,1305
14,340A,1210100,ESPORTS COMPLEMENT ESPECÍFIC ADM.GNAL.PISCINA,20871,0,20871,5269.92,,5269.92,,5269.92,,1306
14,491M,2130000,MITJANS MANTENIMENT MAQUINÀRIA,6000,0,6000,413.22,,413.22,,0,,1307
15,333,2220100,MT SERVEI MISSATGERIA,1200,0,1200,400.55,,400.55,,400.55,,1308
14,340A,1300100,ESPORTS HORES EXTRES PISCINA,0.01,0,0.01,0,,0,,0,,1309
15,333,2220114,MT SERVEI MISSATGERIA,0,0,0,0,,0,,0,,1310
14,491M,2150000,MITJANS MANTENIMENT INFORMÀTIC,500,0,500,0,,0,,0,,1311
14,340A,1500000,ESPORTS PRODUCTIVITAT ADM.GNAL.PISCINA,1400,0,1400,174.99,,174.99,,174.99,,1312
15,333,2260200,MT PUBLICITAT I PROPAGANDA,4000,0,4000,49.05,,49.05,,0,,1313
14,340A,1510000,ESPORTS GRATIFICACIONS ADM.GNAL.PISCINA,0.01,0,0.01,0,,0,,0,,1314
14,491M,2160000,MITJANS MANTENIMENT FOTOCOPIADORA,1000,0,1000,0,,0,,0,,1315
15,333,2260915,MT ACTIVITATS CULTURALS MAGNET,0,0,0,0,,0,,0,,1316
14,491M,2160200,MITJANS MANTENIMENT WEB,2500,0,2500,0,,0,,0,,1317
14,340A,1600000,ESPORTS SEGURETAT SOCIAL ADM.GNAL.PISCINA,13865.13,0,13865.13,2334.82,,2334.82,,2334.82,,1318
15,333,2269900,MT DESPESES DIVERSES EXPOSICIONS,10000,0,10000,1519.86,,1519.86,,1519.86,,1319
14,340A,2060000,ESPORTS LLOGUER FOTOCOPIADORA PISCINA,1702.2,0,1702.2,60.18,,60.18,,0,,1320
14,491M,2200000,MITJANS MATERIAL OFICINA,500,0,500,0,,0,,0,,1321
15,333,2270000,MT SERVEI NETEJA,0.01,0,0.01,0,,0,,0,,1322
14,340A,2160000,ESPORTS MANTENIMENT FOTOCOPIADORA PISCINA,1000,0,1000,0,,0,,0,,1323
15,333,2270614,MT TREBALLS LLIBRE MUNICIPAL,0,0,0,0,,0,,0,,1324
14,491M,2211100,MITJANS PRODUCTES NETEJA,500,0,500,0,,0,,0,,1325
14,340A,2200000,ESPORTS MATERIAL OFICINA PISCINA,900,0,900,532.4,,532.4,,532.4,,1326
14,491M,2219900,MITJANS SUBMINISTRAMENTS DIVERSOS,300,0,300,0,,0,,0,,1327
15,333,2279900,MT TREBALLS GESTORIA,0.01,0,0.01,0,,0,,0,,1328
14,341,2260200,ESPORTS PUBLICITAT I PROPAGANDA,720,0,720,0,,0,,0,,1329
14,491M,2220100,MITJANS SERVEI MISSATGERIA,1500,0,1500,0,,0,,0,,1330
15,333,2302000,MT DIETES,1500,0,1500,310.2,,310.2,,310.2,,1331
14,341,2260915,"ESPORTS, PROGRAMES ESPORTIUS LOCALS (db)",0,0,0,0,,0,,0,,1332
15,333,2312000,MT VIATGES,2500,0,2500,350.36,,350.36,,350.36,,1333
14,491M,2260200,MITJANS PUBLICITAT I PROPAGANDA,1000,0,1000,0,,0,,0,,1334
15,333A,2269900,MT DESPESES ACTIVITATS,9000,0,9000,0,,0,,0,,1335
14,341,2269913,ESPORTS ACTIVITATS ESPORTIVES (DIP),0,0,0,0,,0,,0,,1336
15,333B,2269900,MT BOTIGA,1000,0,1000,0,,0,,0,,1337
14,491M,2269900,MITJANS DESPESES DIVERSES,1000,0,1000,58.18,,58.18,,52.95,,1338
15,333C,2269900,MT COL.LABORADORS,2500,0,2500,0,,0,,0,,1339
14,341,4890100,ESPORTS SUBV. ENTITATS ESPORTIVES,0.01,0,0.01,0,,0,,0,,1340
14,491M,2279900,MITJANS ALTRES SERVEIS PROFESSIONALS,5000,0,5000,0,,0,,0,,1341
14,491MA,2279900,MITJANS SERVEIS AGÈNCIA NOTICIES,1000,0,1000,226.26,,226.26,,113.13,,1342
15,333D,2269900,MT DESPESES ACTIVITATS DIDACTIQUES,1500,0,1500,13.95,,13.95,,13.95,,1343
14,341,4890200,ESPORTS CONVENI CLUB CLÀSSIC RAL.LI BAGES,1000,0,1000,1000,,500,,0,,1344
15,333N,1510000,MT GRATIFICACIONS NETEJA,0,101.46,101.46,0,,0,,0,,1345
14,341,4890300,ESPORTS CONVENI CLUB TENNIS MANLLEU,1500,0,1500,0,,0,,0,,1346
14,491MC,2269900,MITJANS COL·LABORADORS,14000,0,14000,447,,447,,447,,1347
14,341,4890400,ESPORTS CONVENI GRUP ESP. OCELLAIRE MANLLEU,800,0,800,750,,375,,375,,1348
15,333T,1310000,MT AMPLIACIÓ JORNADA 25% CERM I DIRECTOR,45000,0,45000,0,,0,,0,,1349
14,491MR,2269900,MITJANS DESPESES ANTENA RADIO,1600,0,1600,776.52,,776.52,,776.52,,1350
15,333T,2269900,MTDESPESES DE CONSERVACIÓ,1521,0,1521,78.75,,78.75,,78.75,,1351
14,341,4890500,ESPORTS CONVENI CLUB AUTOMOBILISME,300,0,300,300,,150,,0,,1352
15,425,2250014,IMPOST PRODUCCIO ENERGIA ELECTRICA,0,0,0,0,,0,,0,,1353
14,491MS,2269900,MITJANS SGAE,1000,0,1000,798.64,,798.64,,0,,1354
14,341,4890600,ESPORTS CONVENI CLUB OLÍMPIC MANLLEU,2000,500,2500,2500,,1250,,0,,1355
15,432,1300000,MT BÀSIQUES,0.01,0,0.01,0,,0,,0,,1356
14,491MT,2279900,MITJANS IMPRESSIÓ REVISTA TER,12000,0,12000,0,,0,,0,,1357
14,341,4890800,ESPORTS CLUB CICLISTA MANLLEU,2500,0,2500,2000,,1000,,1000,,1358
14,920,1300000,SERVEIS PERSONALS BÀSIQUES,24562.16,0,24562.16,6622.26,,6622.26,,6622.26,,1359
15,432,1300100,MT HORES EXTRES,0.01,0,0.01,0,,0,,0,,1360
14,341,4890900,ESPORTS CONVENI AEC,4000,7967.8,11967.8,11967.8,,5983.9,,5983.9,,1361
15,432,1300200,MT ALTRES REMUNERACIONS,0.01,0,0.01,0,,0,,0,,1362
14,920,1300100,SERVEIS PERSONALS HORES EXTRES,0.01,0,0.01,0,,0,,0,,1363
14,341,4891000,ESPORTS CONVENI CLUB PATÍ,27000,0,27000,27000,,24000,,13500,,1364
15,432,1500100,MT PRODUCTIVITAT,0.01,0,0.01,0,,0,,0,,1365
14,920,1300200,SERVEIS PERSONALS ALTRES REMUNERACIONS,54664.08,0,54664.08,12439.29,,12439.29,,12439.29,,1366
14,341,4891100,ESPORTS CONVENI GEM,3000,0,3000,3000,,1500,,1500,,1367
14,341,4891200,ESPORTS CONVENI CLUB ATLÈTIC VIC,1000,0,1000,0,,0,,0,,1368
14,920,1500100,SERVEIS PERSONALS PRODUCTIVITAT,700,0,700,174.99,,174.99,,174.99,,1369
15,432,1600000,MT SEGURETAT SOCIAL,0.01,0,0.01,0,,0,,0,,1370
14,341,4891400,ESPORTS CONVENI ASSOCIACIÓ MÓN SUBMERGIT,300,0,300,300,,150,,150,,1371
15,463,1300000,MT BÀSIQUES,33023.97,0,33023.97,12336.43,,12336.43,,12336.43,,1372
14,920,1600000,SERVEIS PERSONALS SEGURETAT SOCIAL,22065.07,0,22065.07,3708.92,,3708.92,,3708.92,,1373
14,341,4891500,ESPORTS CONVENI CLUB BÀSQUET MANLLEU,4000,0,4000,4000,,2000,,2000,,1374
15,463,1300100,MT HORES EXTRES,0.01,0,0.01,0,,0,,0,,1375
14,920,2150000,SERVEIS PERSONALS MANTENIMENT MOBILIARI I EQUIPS OFICINA,3000,0,3000,0,,0,,0,,1376
14,341,4891600,ESPORTS. CONVENI VOLTA CICLISTA CATALUNYA,0.01,0,0.01,0,,0,,0,,1377
15,463,1300200,MT ALTRES REMUNERACIONS,37733.77,0,37733.77,14449.04,,14449.04,,14449.04,,1378
14,920,2160000,SERVEIS PERSONALS MANTENIMENT FOTOCOPIADORA,4000,0,4000,330.63,,330.63,,330.63,,1379
15,463,1430000,MT ALTRE PERSONAL,0.01,0,0.01,0,,0,,0,,1380
14,341,4891700,ESPORTS CONVENI CLUB HÍPICA MANLLEU,500,-500,0,0,,0,,0,,1381
14,920,2211000,SERVEIS PERSONALS PRODUCTES NETEJA,1000,0,1000,0,,0,,0,,1382
14,342A,1210000,ESPORTS COMPLEMENT DESTINACIÓ PISCINA,3955.42,0,3955.42,856.08,,856.08,,856.08,,1383
15,463,1500100,MT PRODUCTIVITAT,787.5,0,787.5,0,,0,,0,,1384
14,341,4891800,ESPORTS CONVENI HOOK SCHOOL CLUB BOXA MANLLEU,750,0,750,750,,375,,0,,1385
14,920,2219900,SERVEIS PERSONALS SUBMINISTRAMENTS,0.01,0,0.01,0,,0,,0,,1386
14,342A,1210100,ESPORTS COMPLEMENT ESPECÍFIC PISCINA,9195.12,0,9195.12,2321.79,,2321.79,,2321.79,,1387
15,463,1600000,MT SEGURETAT SOCIAL,22286.34,0,22286.34,5973.67,,5973.67,,5973.67,,1388
14,341,4891900,ESPORTS CONVENI ESQUÍ CLUB,500,0,500,500,,250,,0,,1389
14,920,2260200,SERVEIS PERSONALS PUBLICITAT I PROPAGANDA,1000,0,1000,0,,0,,0,,1390
14,342A,1300000,ESPORTS BASIQUES PISCINA,7678.58,0,7678.58,520.87,,520.87,,520.87,,1391
14,341,4892000,ESPORTS CONVENI PENYA BARCELONISTA MANLLEU,300,0,300,300,,150,,150,,1392
15,463,2219900,MT SUBMINISTRAMENTS DIVERSOS,0.01,0,0.01,0,,0,,0,,1393
14,920,2269915,SP ADEQUACIO D'ESPAIS,0,0,0,0,,0,,0,,1394
14,342A,1300100,ESPORTS HORES EXTRES PISCINA,0.01,0,0.01,0,,0,,0,,1395
14,341,4892100,ESPORTS CONVENI SOCIETAT DE CAÇADORS,300,0,300,300,,150,,150,,1396
15,463,2269900,MT DESPESES AQUARI,900,0,900,0,,0,,0,,1397
14,920,2270000,SERVEIS PERSONALS NETEJA EDIFICI,0.01,0,0.01,0,,0,,0,,1398
14,341,4892300,ESPORTS SOCIETAT PESCADORS,650,0,650,650,,325,,325,,1399
14,342A,1300200,ESPORTS ALTRES REMUNERACIONS PISCINA,12447.22,0,12447.22,0,,0,,0,,1400
15,463,2269914,MT DESPESES DIVERSES,0,0,0,0,,0,,0,,1401
14,924,1300000,PARTICIPACIÓ BÀSIQUES,12906.52,0,12906.52,3608.11,,3608.11,,3608.11,,1402
14,341,4892400,ESPORTS. CONVENI UNIÓ ESPORTIVA FUTBOL SALA,4000,0,4000,4000,,2000,,2000,,1403
14,342A,1310000,ESPORTS LABORAL TEMPORAL PISCINA,5506.72,291.46,5798.18,5654.95,,5654.95,,5654.95,,1404
15,463,2279900,MT ESTUDIS PEL CERM,12817.19,0,12817.19,0,,0,,0,,1405
14,924,1300200,PARTICIPACIÓ ALTRES REMUNERACIONS,15307.18,0,15307.18,2956.77,,2956.77,,2956.77,,1406
14,341,4899100,ESPORTS TRANSF. CONVENI LA SALLE,21000,0,21000,12000,,12000,,0,,1407
14,342A,1500000,ESPORTS PRODUCTIVITAT PISCINES,700,0,700,174.99,,174.99,,174.99,,1408
14,924,1500100,PARTICIPACIÓ PRODUCTIVITAT,700,0,700,174.99,,174.99,,174.99,,1409
15,463C,1430000,MT ALTRE PERSONAL CONVENIS,0.01,0,0.01,0,,0,,0,,1410
14,342A,1500100,ESPORTS PRODUCTIVITAT PISCINA,908.6,42.92,951.52,95.06,,95.06,,95.06,,1411
14,924,1600000,PARTICIPACIÓ SEGURETAT SOCIAL,8981.59,0,8981.59,1527.32,,1527.32,,1527.32,,1412
14,342A,1510000,ESPORTS GRATIFICACIONS PISCINA,0.01,0,0.01,0,,0,,0,,1413
14,924,2260600,PARTICIPACIÓ CONSELL PARTICIPACIÓ CIUTADANA,500,0,500,0,,0,,0,,1414
14,342A,1600000,ESPORTS SEGURETAT SOCIAL PISCINA,14133.99,0,14133.99,3354.75,,3354.75,,3354.75,,1415
14,924,2269900,PARTICIPACIÓ DESPESES DIVERSES,440,0,440,0,,0,,0,,1416
14,924,4890100,PARTICIPACIÓ. CONVENI ASSOCIACIÓ SOCIOCULTURAL PIC,2650,0,2650,0,,0,,0,,1417
14,342A,2210400,ESPORTS VESTUARI,900,0,900,82.99,,82.99,,0,,1418
14,924,4890200,PARTICIPACIÓ CONVENI VEÏNAT VISTA ALEGRE,300,0,300,0,,0,,0,,1419
14,342A,2210600,ESPORTS PRODUCTES FARMACÈUTICS PISCINA,609,0,609,0,,0,,0,,1420
14,924,4890300,PARTICIPACIÓ CONVENI COMUNITAT VEINS C.VILAMIROSA,6000,0,6000,0,,0,,0,,1421
14,342A,2211000,ESPORTS PRODUCTES NETEJA PISCINA,870,0,870,0,,0,,0,,1422
14,924,4890400,PARTICIPACIÓ SUBVENCIONS ASSOCIACIONS VEINS,1050,0,1050,0,,0,,0,,1423
14,342A,2219900,ESPORTS SUBMINISTRAMENTS DIVERSOS PISCINA,300,0,300,0,,0,,0,,1424
14,924,4890500,PARTICIPACIÓ CONVENI VEINS DE GRÀCIA,6200,0,6200,0,,0,,0,,1425
14,342A,2270000,ESPORTS SERVEI NETEJA PISCINA,50454.96,0,50454.96,8409.16,,8409.16,,4204.58,,1426
14,342A,2270100,ESPORTS SERVEI VIGILÀNCIA PISCINA,2175,0,2175,0,,0,,0,,1427
14,342A,2279900,ESPORTS. ANALITIQUES,2230,584.59,2814.59,469.12,,469.12,,234.56,,1428
14,342AA,2219900,ESPORTS MATERIAL ESPORTIU PISCINA,810,0,810,0,,0,,0,,1429
14,342AD,2270000,ESPORTS TREBALLS DESINFECCIÓ PISCINA,6500,-584.59,5915.41,1396.16,,1396.16,,0,,1430
14,342B,1200500,ESPORTS BÀSIQUES AP PAVELLÓ,7678.58,0,7678.58,1661.88,,1661.88,,1661.88,,1431
14,342B,1200600,ESPORTS TRIENNIS PAVELLÓ,1443.53,0,1443.53,326.64,,326.64,,326.64,,1432
14,342B,1210000,ESPORTS COMPLEMENT DESTINACIÓ PAVELLÓ,3326.68,0,3326.68,720,,720,,720,,1433
14,342B,1210100,ESPORTS COMPLEMENT ESPECÍFIC PAVELLÓ,6430.68,0,6430.68,1557.3,,1557.3,,1557.3,,1434
14,342B,1300000,ESPORTS BÀSIQUES PAVELLÓ,7678.58,0,7678.58,1702.71,,1702.71,,1702.71,,1435
14,342B,1300100,ESPORTS HORES EXTRES PAVELLÓ,0.01,0,0.01,0,,0,,0,,1436
14,342B,1300200,ESPORTS ALTRES REMUNERACIONS PAVELLÓ,10427.28,0,10427.28,2495.52,,2495.52,,2495.52,,1437
14,342B,1310000,ESPORTS LABORAL TEMPORAL PAVELLÓ,17162.76,0,17162.76,4003.68,,4003.68,,4003.68,,1438
14,342B,1500000,ESPORTS PRODUCTIVITAT PAVELLÓ,700,0,700,174.99,,174.99,,174.99,,1439
14,342B,1500100,ESPORTS PRODUCTIVITAT PAVELLÓ,700,0,700,349.98,,349.98,,349.98,,1440
14,342B,1510000,ESPORTS GRATIFICACIONS PAVELLÓ,0.01,0,0.01,0,,0,,0,,1441
14,342B,1600000,ESPORTS SEGURETAT SOCIAL PAVELLÓ,16978.56,0,16978.56,2924.26,,2924.26,,2924.26,,1442
14,342B,2210600,ESPORTS PRODUCTES FARMACÈUTICS PAVELLÓ,261,0,261,0,,0,,0,,1443
14,342B,2211000,ESPORTS PRODUCTES NETEJA PAVELLÓ,2000,0,2000,530.62,,530.62,,530.62,,1444
14,342B,2219900,ESPORTS MATERIAL ESPORTIU PAVELLÓ,1000,0,1000,0,,0,,0,,1445
14,342B,2279900,ESPORTS SERVEI CONSERGES PAVELLONS,0.01,0,0.01,0,,0,,0,,1446
14,342BD,2270000,ESPORTS TREBALLS DESINFECCIÓ  PAVELLÓ,2400,0,2400,0,,0,,0,,1447
14,342BN,1300000,ESPORTS BÀSIQUES NETEJA PAVELLÓ,7678.58,0,7678.58,591.07,,591.07,,591.07,,1448
02,241G,1430015,BTB 38/15 DX-03 FSE PERSONAL MANT FIBRA OPTICA,0,0,0,0,,0,,0,,1
01,011,3100000,INTERESSOS PRÉSTECS,133061.16,0,133061.16,7985.47,,7985.47,,7985.47,,2
01,011,9110000,AMORTITZACIÓ PRÉSTECS,97500,0,97500,0,,0,,0,,3
02,241G,1600013,OPE SEGURETAT SOCIAL PLANS 2013/PANP/SPO/0068-FSE,0,0,0,0,,0,,0,,4
01,011,9130000,AMORTITZACIÓ PRÉSTECS,1922900.91,0,1922900.91,278241.52,,278241.52,,278241.52,,5
01,312,4890100,CONVENI SUBV. HOSPITAL SANT JAUME,40000,0,40000,0,,0,,0,,6
02,241G,1600015,BTB 38/15 DX-03 FSE SEGURETAT SOCIAL MANT FIBRA OPTICA,0,0,0,0,,0,,0,,7
01,327,2269912,DESPESES PGDM,0,0,0,0,,0,,0,,8
01,327A,2269909,DESPESES PGDM,0,0,0,0,,0,,0,,9
02,241G,2269913,OPE FORMACIO PLANS 2013/PANP/SPO/0068-FSE,0,0,0,0,,0,,0,,10
01,327A,2269912,DESPESES ACOLLIMENT LINGUISTIC,0,0,0,0,,0,,0,,11
01,327P,2269910,DESPESES PGDM,0,0,0,0,,0,,0,,12
02,241H,1200114,OPE BASIQUES A2 DISPOSITIU INSERCIO (tb) FSE,0,0,0,0,,0,,0,,13
01,3322A,2219900,SUBMINISTRAMENTS DIVERSOS,200,0,200,0,,0,,0,,14
02,241H,1200115,BTB 38/15 A1-01 FSE ORIENTADOR BASIQUES A2,0,0,0,0,,0,,0,,15
01,3322A,2269900,DESPESES DESTRUCCIÓ PAPER,0.01,0,0.01,0,,0,,0,,16
02,241H,1200614,OPE TRIENIS DISPOSITIU INSERCIO (tb) FSE,0,0,0,0,,0,,0,,17
01,3322T,2269900,DESPESES ARXIU,800,0,800,0,,0,,0,,18
02,241H,1200615,BTB 38/15 A1-01 FSE ORIENTADOR TRIENIS,0,0,0,0,,0,,0,,19
01,920,2050000,LLOGUER CAIXA SEGURETAT,100,0,100,0,,0,,0,,20
02,241H,1210014,OPE DESTI DISPOSITIU INSERCIO (tb) FSE,0,0,0,0,,0,,0,,21
01,920,2060000,LLOGUER FOTOCOPIADORA,7383.05,0,7383.05,1778.49,,1778.49,,365.69,,22
01,491,1300000,BÀSIQUES COMUNICACIÓ,12906.52,0,12906.52,3081.31,,3081.31,,3081.31,,23
02,241H,1210015,BTB 38/15 A1-01 FSE ORIENTADOR DESTI,0,0,0,0,,0,,0,,24
01,920,2150000,MANTENIMENT MOBILIARI,0.01,0,0.01,0,,0,,0,,25
02,241H,1210114,OPE ESPECIFIC DESPOSITIU INSERCIO (tb) FSE,0,0,0,0,,0,,0,,26
01,920,2160000,MANTENIMENT FOTOCOPIADORA,28428,0,28428,470.64,,470.64,,470.64,,27
02,241H,1210115,BTB 38/15 A1-01 FSE ORIENTADOR ESPECIFIC,0,0,0,0,,0,,0,,28
01,920,2200000,MATERIAL OFICINA,11000,0,11000,368.08,,368.08,,59.77,,29
01,491,1300200,ALTRES REMUNERACIONS COMUNICACIÓ,16431.32,0,16431.32,4448.94,,4448.94,,4448.94,,30
02,241H,1600015,BTB 38/15 A1-01 FSE ORIENTADOR SEGURETAT SOCIAL,0,0,0,0,,0,,0,,31
01,920,2200100,PUBLICACIONS I SUBSCRIPCIONS,5400,0,5400,466.95,,466.95,,389.99,,32
02,241H,2269914,OPE DESPESES DISPOSITIU INSERCIO (tb) FSE,0,0,0,0,,0,,0,,33
01,920,2200200,MATERIAL INFORMÀTIC NO INVENTARIABLE,3658.58,0,3658.58,42.57,,42.57,,0,,34
02,241HH,2260612,OPE CURS INFORMATIC 2,0,0,0,0,,0,,0,,35
01,491,1310000,LABORAL TEMPORAL COMUNICACIÓ,0.01,0,0.01,0,,0,,0,,36
01,920,2210300,COMBUSTIBLES I CARBURANTS,1900,0,1900,142.55,,142.55,,142.55,,37
