Org_,Eco_,Descripció,Previsions_inicials,Total_Modificacions,Previsions_totals,Drets_reconeguts_nets,Recaptació_líquida,Descripció_Orgànica,FID
0204,46106,DIPU-SUBV ACCIONS FOMENT OCUPACIÓ,0,132.16,132.16,0,0,PROMOCIÓ ECONÒMICA,209
1006,46101,DIPUTACIÓ. SUBV MERCAT JOGUINES BADANADAL,0,0,0,924,924,MEDI AMBIENT,210
09,46111,"DIPUTACIÓ, PROMOCIÓ SALUT 17/Y/236193",0,6000,6000,0,0,SERVEIS SOCIALS,211
0205,45050,"GENT SOC, SUBV INTERMEDIACIÓ SAC/14/00063 (fse)",0,12240,12240,0,0,PROMOCIÓ ECONÒMICA,212
1006,47000,APORTACIONS RECOLLIDA SELECTIVA,0,0,0,0,0,MEDI AMBIENT,213
02,46103,"DIPUTACIÓ, SUBV FOMENT OCUPACIÓ 17/X/234002",0,404897.02,404897.02,161958.81,161958.81,PROMOCIÓ ECONÒMICA,214
1106,46101,DIPUTACIÓ. SUBV ADEQ SISTEMA NACIONAL DE SEGURETAT,0,0,0,0,0,SOCIETAT DEL CONEIXEMENT I LA INFORMACIÓ,215
02,46104,"DIPUTACIÓ, SUBV ACTIC 17/Y234161-62",0,2250,2250,0,0,PROMOCIÓ ECONÒMICA,216
09,46112,"DIPUTACIÓ, MEDIACIÓ CONSUM 17/Y/237171",0,2508,2508,0,0,SERVEIS SOCIALS,217
0205,46128,"DIPUTACIÓ, SUBV INNOVACIÓ ESS",0,0,0,0,0,PROMOCIÓ ECONÒMICA,218
1106,46102,DIPUTACIÓ. SUBV OAC MULTICANAL I TRANSVERSAL,0,0,0,0,0,SOCIETAT DEL CONEIXEMENT I LA INFORMACIÓ,219
02,46110,"DIPUTACIÓ, SUBV INSERCIÓ JOVES I DONES 17/Y/238270",0,7679.94,7679.94,3839.97,3839.97,PROMOCIÓ ECONÒMICA,220
09,46113,"DIPUTACIÓ, SERVEIS MUNICIPALS CONSUM 17/237/196",0,1700,1700,0,0,SERVEIS SOCIALS,221
0205,46178,"DIPUTACIÓ, SUBV CENTRE EMPRESES (AJ VIC) 15/Y/205779",0,332.64,332.64,0,0,PROMOCIÓ ECONÒMICA,222
1406,39901,ALTRES. AGENDES ESCOLARS,0,0,0,0,0,SERVEI A LES PERSONES,223
02,46111,"DIPUTACIÓ, SUBV ESS ALTRES OPORTUNITATS 17/Y/238181",0,18750,18750,9375,9375,PROMOCIÓ ECONÒMICA,224
09,46114,"DIPUTACIÓ, SEGURETAT ALIMENTARIA 17/Y/23614",0,3000,3000,0,0,SERVEIS SOCIALS,225
0206,34902,AULA MENTOR,0,0,0,0,0,PROMOCIÓ ECONÒMICA,226
1406,46100,DIPU-SUBV.CULTURA,0,0,0,0,0,SERVEI A LES PERSONES,227
02,46112,"DIPUTACIÓ, SUBV FIRA CIRC 17/Y/240180",0,4000,4000,0,0,PROMOCIÓ ECONÒMICA,228
09,46115,"DIPUTACIÓ, RECURSOS PER A DONES 17/Y/24979",0,6500,6500,0,0,SERVEIS SOCIALS,229
0206,34905,POP-UP EXPRES,0,0,0,0,0,PROMOCIÓ ECONÒMICA,230
09,46132,DIPU - SUBV. PLA IGUALTAT,2500,0,2500,0,0,SERVEIS SOCIALS,231
02,46113,"DIPUTACIÓ, SUBV DINAMITZACIÓ COMERCIAL 17/Y/240090",0,4500,4500,0,0,PROMOCIÓ ECONÒMICA,232
1406,46110,DIPUTACIÓ. SUBV SUPORT FORMACIÓ ADULTS,0,8072,8072,8072,8072,SERVEI A LES PERSONES,233
0206,36000,CONSELL COMARCAL. CONVENI AUXILIAR MAGATZEM,0,0,0,0,0,PROMOCIÓ ECONÒMICA,234
09,46149,DIPU - SUBV. CONSUM,5000,0,5000,12000,12000,SERVEIS SOCIALS,235
02,46114,"DIPUTACIÓ, SUBV ACCIONS COMERÇ 17/Y/240357",0,7500,7500,0,0,PROMOCIÓ ECONÒMICA,236
1406,46111,DIPUTACIÓ. SUBV ACTIVITATS ESPORTIVES,0,5996,5996,7132,7132,SERVEI A LES PERSONES,237
0206,45060,GENERALITAT. SUBV PREVENCIÓ RESIDUS,0,3382.12,3382.12,0,0,PROMOCIÓ ECONÒMICA,238
09,46500,CONSELL COMARCAL - SUBV. TRANSPORT ADAPTAT,11000,0,11000,11601,11601,SERVEIS SOCIALS,239
02,46115,"DIPUTACIÓ, SUBV PROMOCIÓ COMERCIAL 17/Y/240130",0,9500,9500,0,0,PROMOCIÓ ECONÒMICA,240
1406,46112,DIPUTACIÓ. SUBV ESCOLA DE MÚSICA,0,0,0,7196,7196,SERVEI A LES PERSONES,241
0206,46100,DIPUTACIÓ. SUBV FIRA CIRC,0,0,0,4000,4000,PROMOCIÓ ECONÒMICA,242
09,61900,VENDA QUADRES,0,3505,3505,3505,3505,SERVEIS SOCIALS,243
02,46116,DIPUTACIÓ SUBV MANLLEU GALERIA ART 17/Y/238529,0,15000,15000,0,0,PROMOCIÓ ECONÒMICA,244
1406,46113,DIPUTACIÓ. SUBV ESPORTS,0,3827.04,3827.04,6000,6000,SERVEI A LES PERSONES,245
0206,46101,DIPUTACIÓ. SUBV FIRA PORC I CERVESA,0,310.1,310.1,4000,4000,PROMOCIÓ ECONÒMICA,246
09,76100,"DIPUTACIÓ, SUBV DESFIBRIL.LADORS",0,3829.65,3829.65,3847.8,3847.8,SERVEIS SOCIALS,247
0206,46102,DIPUTACIÓ. SUBV ARTIC,0,750,750,1125,1125,PROMOCIÓ ECONÒMICA,248
1406,46114,DIPUTACIÓ. SUBV FESTIVALS ARTÍSTICS,0,2450,2450,2450,2450,SERVEI A LES PERSONES,249
02,46117,"DIPUTACIÓ, SUBV ESTALV EFICIENCIA ENERGÈTICA IND 17/Y/238396",0,9000,9000,4500,4500,PROMOCIÓ ECONÒMICA,250
09,76101,"DIPUTACIÓ, SUBV CONVENI SERVEIS SOCIAL",0,10832.32,10832.32,5416.16,5416.16,SERVEIS SOCIALS,251
0206,46103,DIPUTACIÓ. SUBV ACCIONS MERCATS,0,2000,2000,2000,2000,PROMOCIÓ ECONÒMICA,252
1406,46116,DIPUTACIÓ. SUBV ESCOLES BRESSOL,0,2443.37,2443.37,0,0,SERVEI A LES PERSONES,253
02,46118,"DIPUTACIÓ, SUBV ACCIONSMVNS 17/Y/240173",0,3650,3650,0,0,PROMOCIÓ ECONÒMICA,254
1406,46117,DIPUTACIÓ. SUBV PFI-PTT 2016-17,0,0,0,0,0,SERVEI A LES PERSONES,255
02,46119,"DIPUTACIÓ, SUBV FIRA PORC I CERVESA 17/Y/240169",0,3000,3000,0,0,PROMOCIÓ ECONÒMICA,256
09,76102,"DIPUTACIÓ, MUNICIPIS CARDIOPROTEGITS 17/Y/236260",0,1134.6,1134.6,0,0,SERVEIS SOCIALS,257
0206,46108,DIPUTACIÓ. SUBV PC OCUPACIÓ L1A,0,0,0,0,0,PROMOCIÓ ECONÒMICA,258
1406,46119,DIPUTACIÓ. SUBV ACTIVITATS CULTURALS,0,7417.33,7417.33,14000,14000,SERVEI A LES PERSONES,259
02,46120,"DIPUTACIÓ, SUBV SUPORT SERVEIS I ACTIVITATS",0,432,432,432,432,PROMOCIÓ ECONÒMICA,260
09,78000,APORTACIONS EL SARRO,0,0,0,728.25,728.25,SERVEIS SOCIALS,261
0206,46127,DIPUTACIÓ. SUBV PROMOCIÓ COMERÇ,0,824.39,824.39,8000,8000,PROMOCIÓ ECONÒMICA,262
1406,46126,DIPUTACIÓ. AJUT FINAL FOUR 16/Y/224452,0,0,0,0,0,SERVEI A LES PERSONES,263
02,46200,"AJUNT VIC, SUB CATALEG DIPU EMPRENADORS MICROEMPRESES",0,18900,18900,0,0,PROMOCIÓ ECONÒMICA,264
10,30300,TAXA DEIXALLERIA,14000,0,14000,5930.64,4699.74,MEDI AMBIENT,265
0206,46128,DIPUTACIÓ SUBV INNOVACIÓ ESS,0,3017.45,3017.45,18750,18750,PROMOCIÓ ECONÒMICA,266
1406,47002,DONACIÓ BEQUES ESTUDIANTS,0,0,0,0,0,SERVEI A LES PERSONES,267
10,33900,TAXA HORTS,5000,0,5000,1905.7,1905.7,MEDI AMBIENT,268
0206,46129,DIPUTACIÓ. SUBV MANLLEU GALERIA D'ART (mga),0,432.75,432.75,2000,2000,PROMOCIÓ ECONÒMICA,269
1406,76100,"DIPUTACIÓ, MATERIAL ESPORTIU INVENTERIABLE",0,0,0,0,0,SERVEI A LES PERSONES,270
10,34900,PREU PÚBLIC ENERGIA DEIXALLERIA,2200,0,2200,1685.12,1403.03,MEDI AMBIENT,271
0206,46130,DIPUTACIÓ. SUBV MANLLEU GALERIA ART (mga),0,3245.6,3245.6,15000,15000,PROMOCIÓ ECONÒMICA,272
1504,39900,"ESTUDIS, TREBALLS I ALTRES",0,292.5,292.5,0,0,MUSEU DEL TER,273
10,34902,PROJ DESENDOLLA¿T,0,0,0,0,0,MEDI AMBIENT,274
0206,46131,DIPUTACIÓ. SUBV PROJ COWORKING LAB,0,601.41,601.41,17181,17181,PROMOCIÓ ECONÒMICA,275
1506,39900,"ESTUDIS, TREBALLS I ALTRES",0,0,0,0,0,MUSEU DEL TER,276
10,39901,VENDES MATERIAL DEIXALLERIA,30000,0,30000,17736.94,16681.68,MEDI AMBIENT,277
0206,46132,DIPUTACIÓ. SUBV PROJ TU POTS FER-HO,0,54,54,21240,21240,PROMOCIÓ ECONÒMICA,278
1506,46115,DIPUTACIÓ. SUBV XARXA MUSEUS,0,3.6,3.6,1200,1200,MUSEU DEL TER,279
10,39902,INGRESSOS DEIXALLERIA AJUNTAMENTS,17500,0,17500,8124.59,8124.59,MEDI AMBIENT,280
0206,46133,DIPUTACIÓ. SUBV ACCIONS FORMATIVES,0,626.72,626.72,0,0,PROMOCIÓ ECONÒMICA,281
1506,46116,DIPUTACIÓ. SUBV TEATRALITZACIÓ,0,2.15,2.15,10800,10800,MUSEU DEL TER,282
10,39903,PROJ DESENDOLLA'T,0,800,800,800,0,MEDI AMBIENT,283
0206,46134,DIPUTACIÓ. SUBV SERVEI EMPRESES (Aj Vic),0,43126.44,43126.44,0,0,PROMOCIÓ ECONÒMICA,284
1506,48001,APORTACIÓ EXPOSICIÓ A POUS,0,0,0,0,0,MUSEU DEL TER,285
10,45080,GENE - SUBV. CANON DEPOSICIÓ RESIDUS,115000,0,115000,42956,42956,MEDI AMBIENT,286
0206,46135,DIPUTACIÓ. SUBV NOVES EINES DINAMITZACIÓ EMPRESES,0,13949,13949,18063,18063,PROMOCIÓ ECONÒMICA,287
10,55003,CONCESSIÓ ENERGIA ELÈCTRICA,4000,0,4000,0,0,MEDI AMBIENT,288
0206,46136,DIPUTACIÓ. SUBV NOU PROJ CENTRE FORMACIÓ INTEGRAL,0,2201,2201,4500,4500,PROMOCIÓ ECONÒMICA,289
02E5,45050,GENERALITAT SUBV SOC BTB 38/15 DX-08 FSE ENGINYER FIBRA ÓPTI,0,913.36,913.36,0,0,PROMOCIÓ ECONÒMICA,290
11,46103,"DIPUTACIÓ, SUBV OAC",40000,0,40000,0,0,SOCIETAT DEL CONEIXEMENT I LA INFORMACIÓ,291
0206,46137,DIPUTACIÓ. SUBV REEMPRESA 1/2016,0,0,0,0,0,PROMOCIÓ ECONÒMICA,292
02E6,45050,GENE. SUBV PROG CATALUNYA EMPREN PIFE014-16 FSE,0,17741.28,17741.28,0,0,PROMOCIÓ ECONÒMICA,293
12,31200,SERVEI ESCOLA BRESSOL,145000,0,145000,75686.39,75686.39,ESCOLA BRESSOL,294
0206,46183,DIPUTACIÓ. SUBV PLATAFORMA XALOC,0,31572.9,31572.9,15786.45,15786.45,PROMOCIÓ ECONÒMICA,295
