Org_,Descripció_orgànica,Fun_,Eco_,Descripció,Crèdits_inicials,Modificacions_de_crèdit,Crèdits_totals_consignats,Disposicions_o_compromisos,Obligacions_reconegudes,Pagaments_fets,FID
02,Promoció Econòmica,430,1500100,OPE PRODUCTIVITAT ADMINISTRACIÓ OPE,1400,0,1400,1049.94,1049.94,1049.94,200
02,Promoció Econòmica,241PL,1210100,COMPLEMENT ESPECIFIC PC OCUPACIÓ A1 (d),0,52179.4,52179.4,28980.34,28980.34,28980.34,201
02,Promoció Econòmica,241IA,2269915,IE 13/15 1-01 MARC COL.LABORACIO,0,1463.19,1463.19,0,0,0,202
02,Promoció Econòmica,241,1300200,OPE.ALTRES REMUNERACIONS FOMENT DE L'OCUPACIÓ,18667.72,-1018.88,17648.84,12884.08,12884.08,12884.08,203
01,Alcaldia i Règim Intern,920,2260700,OPOSICIONS I PROVES SELECTIVES,500,0,500,290.15,290.15,290.15,204
01,Alcaldia i Règim Intern,920,1210100,COMPLEMENT ESPECÍFIC ADM. GNAL.,140846.64,12563.37,153410.01,114075.12,114075.12,114075.12,205
01,Alcaldia i Règim Intern,9231,1210000,COMPLEMENT DESTINACIÓ PADRO,4899.02,683.31,5582.33,4250.76,4250.76,4250.76,206
02,Promoció Econòmica,241T,1430015,BTB 38/15 B2-01 FSE PERSONAL EDIFICIS I FIBRA OPTICA,0,0.02,0.02,0,0,0,207
02,Promoció Econòmica,430,1600000,OPE SEGURETAT SOCIAL ADMINISTRACIÓ OPE,16679.87,526.58,17206.45,11550.5,11550.5,11550.5,208
02,Promoció Econòmica,241PL,1430014,OPE PERSONAL PLANS LOCALS OCUPACIO (dip),0,0,0,0,0,0,209
02,Promoció Econòmica,241IB,2269915,IE/13/15 1-03 INNOVACIO EINES OCUPACIO,0,10451.48,10451.48,8502.2,385.99,385.99,210
02,Promoció Econòmica,241,1310000,OPE.LABORAL TEMPORAL FOMENT DE L'OCUPACIÓ,50005.5,770.72,50776.22,36936.16,36936.16,36936.16,211
01,Alcaldia i Règim Intern,920,2269900,DESPESES DIVERSES,1400,0,1400,683.28,683.28,683.28,212
01,Alcaldia i Règim Intern,920,1210300,ALTRES COMPLEMENTS ADM. GNAL.,0.01,0,0.01,0,0,0,213
02,Promoció Econòmica,241T,1600015,BTB 38/15 B2-01 S SOCIAL EDIFICI FIBRA OPTICA,0,0,0,0,0,0,214
02,Promoció Econòmica,241PL,1600000,SEGURETAT SOCIAL PC OCUPACIÓ A1 (d),0,48913.75,48913.75,19079.92,19079.92,19079.92,215
02,Promoció Econòmica,430,2060000,OPE LLOGUER FOTOCOPIADORA OPE,2551.32,0,2551.32,1700.88,1700.88,1700.88,216
02,Promoció Econòmica,241IC,2269915,IE-13/15 1-02 COMPETENCIES IESS,0,7424,7424,5654.18,2986.74,2956.74,217
02,Promoció Econòmica,241,1500100,OPE.PRODUCTIVITAT FOMENT DE L'OCUPACIÓ,2100,0,2100,1574.91,1574.91,1574.91,218
01,Alcaldia i Règim Intern,920,2279900,SERVEI PREVENCIÓ RISCOS LABORALS,30000,0,30000,8786.31,8786.31,8786.31,219
01,Alcaldia i Règim Intern,920,1430000,ALTRE PERSONAL-CONVENIS,600,0,600,0,0,0,220
02,Promoció Econòmica,241PL,1600014,OPE ASSEGURANCES SOCIAL PLANS LOCALS OCUPACIO (dip),0,870.9,870.9,0,0,0,221
02,Promoció Econòmica,430,2160200,OPE MANTENIMENT FOTOCOPIADORA OPE,2000,0,2000,1074.4,1074.4,1074.4,222
02,Promoció Econòmica,241T,2260615,OPE CURS FORMACIÓ CONTINUA TRANSVERSAL PT20150072,0,15000.78,15000.78,6415.2,6415.2,6415.2,223
02,Promoció Econòmica,241,1600000,OPE.SEGURETAT SOCIAL FOMENT DE L'OCUPACIÓ,26166.05,208.23,26374.28,17671.38,17671.38,17671.38,224
02,Promoció Econòmica,241IM,2269910,OPE DESPESES PLANS IMPULS,0,3012.32,3012.32,0,0,0,225
01,Alcaldia i Règim Intern,920,2302000,DIETES,2500,0,2500,782.55,782.55,782.55,226
01,Alcaldia i Règim Intern,920,1500000,PRODUCTIVITAT ADM. GNAL.,4900,7837.02,12737.02,5859.43,5859.43,5859.43,227
02,Promoció Econòmica,241PL,2269900,MATERIAL PC OCUPACIÓ (d),0,7239.18,7239.18,575.99,575.99,575.99,228
02,Promoció Econòmica,430,2200000,OPE MATERIAL OFICINA,4000,0,4000,3184.94,3184.94,3184.94,229
02,Promoció Econòmica,241,2260600,CURS MAGATZEM JO-2015,0,15964.5,15964.5,1500,1500,1500,230
02,Promoció Econòmica,241IN,1430015,OPE AODL INNOVACIO (fse),0,23471.25,23471.25,18507.46,18507.46,18507.46,231
01,Alcaldia i Règim Intern,920,2312000,VIATGES PERSONAL,11500,0,11500,6842.21,6842.21,6842.21,232
02,Promoció Econòmica,241T,2269915,BTB 38/15 B2-01 FSE MANT EDIFICIS I FIBRA OPTICA,0,24099.98,24099.98,18624.41,18624.41,18624.41,233
02,Promoció Econòmica,241Q,1430014,OPE AODL NOUS PROJECTES (fse),0,0,0,0,0,0,234
02,Promoció Econòmica,430,2211000,OPE PRODUCTES NETEJA,650,0,650,121.85,121.85,121.85,235
01,Alcaldia i Règim Intern,920,1510000,GRATIFICACIONS ADM. GNAL.,0.01,54.12,54.13,54.12,54.12,54.12,236
02,Promoció Econòmica,241,2260612,OPE FORMACIO FOAP 2012,0,13137.99,13137.99,0,0,0,237
02,Promoció Econòmica,241TA,1430015,PERSONAL MILLORA M AMBIENT 2015/PRMI/SPO/0042/EX04 FSE,0,5864.99,5864.99,5864.99,5864.99,5864.99,238
01,Alcaldia i Règim Intern,920,6230000,MAQUINARIA,0,0.01,0.01,0,0,0,239
02,Promoció Econòmica,241IN,1600015,OPE AODL SEGURETAT SOCIAL INNOVACIO  (fse),0,7652.51,7652.51,5343.76,5343.76,5343.76,240
02,Promoció Econòmica,241Q,1430015,OPE AODL NOUS PROJECTES (fse),0,26290.28,26290.28,18682.45,18682.45,18682.45,241
02,Promoció Econòmica,430,2219900,OPE SUBMINISTRAMENTS DIVERSOS OPE,0.01,0,0.01,0,0,0,242
01,Alcaldia i Règim Intern,920,1600000,SEGURETAT SOCIAL ADM. GNAL.,75980.93,9169.39,85150.32,54369.07,54369.07,54369.07,243
02,Promoció Econòmica,241,2260613,OPE FORMACIO FOAP 2013 (fse),0,7388.56,7388.56,0,0,0,244
02,Promoció Econòmica,241TA,1600015,SEG SOCIAL MILLORA M AMBIENTAL 2015/PRMI/SPO/0042/EX04 FSE,0,1948.62,1948.62,1840.36,1840.36,1840.36,245
01,Alcaldia i Règim Intern,920,6250000,MOBILIARI,0,0.01,0.01,0,0,0,246
02,Promoció Econòmica,241J,1200115,BASIQUES A2 OCUPACIO JOVES FOJ-6-2015 FSE,0,6471.19,6471.19,4608.7,4608.7,4608.7,247
02,Promoció Econòmica,241Q,1600015,OPE AODL SEGURETAT SOCIAL NOU PROJECTES (fse),0,8550.35,8550.35,5380.56,5380.56,5380.56,248
02,Promoció Econòmica,430,2260200,OPE PUBLICITAT I PROPAGANDA,4500,0,4500,1657.7,1657.7,1657.7,249
02,Promoció Econòmica,241,2260614,CURS MAGATZEM JOVES,0,1441.95,1441.95,0,0,0,250
02,Promoció Econòmica,241TC,1430015,PERSONAL INFORMADOR CANAL 2015/PRMI/SPO/0042/EX07 FSE,0,5864.99,5864.99,5864.99,5864.99,5864.99,251
02,Promoció Econòmica,241R,1430014,OPE AODL OCUPACIO I COMPETITVITAT (fse),0,176.49,176.49,0,0,0,252
01,Alcaldia i Règim Intern,920,6250100,RISCOS LABORALS,0,0.01,0.01,0,0,0,253
02,Promoció Econòmica,430,6230000,OPE MAQUINARIA,0,0.01,0.01,0,0,0,254
02,Promoció Econòmica,241J,1200615,TRIENNIS OCUPACIO JOVES FOJ-6-2015 FSE,0,0.01,0.01,0,0,0,255
02,Promoció Econòmica,241,4620011,OPE TRANSF SEGMENTACIO ATURATS I CENS OFICIS,0,11396,11396,0,0,0,256
02,Promoció Econòmica,241TC,1600015,SEG SOCIAL INFORMADOR CANAL 2015/PRMI/SPO/0042/EX07 FSE,0,1909.98,1909.98,1803.81,1803.81,1803.81,257
02,Promoció Econòmica,241R,1430015,OPE AODL OCUPACIO I COMPTETTITIVITATV (fse),0,26360.9,26360.9,18682.45,18682.45,18682.45,258
01,Alcaldia i Règim Intern,3322,1200100,BÀSIQUES A2 ARXIU,12906.52,129.07,13035.59,9423.5,9423.5,9423.5,259
02,Promoció Econòmica,241J,1210015,COMPLEMENT DESTINACIO OCUPACIO JOVES FOJ-6-2015 FSE,0,2771.21,2771.21,1942.13,1942.13,1942.13,260
02,Promoció Econòmica,241,4670111,OPE TRANF PLA QUALIF I SUPORT RECUPERACIO OFICIS,0,12719.2,12719.2,0,0,0,261
02,Promoció Econòmica,430,6250000,OPE MOBILIARI,0,0.01,0.01,0,0,0,262
02,Promoció Econòmica,241TE,1430015,PERSONAL MANT EDIFICIS 2015/PRMI/SPO/0042/EX02 FSE,0,12204.7,12204.7,12204.7,12204.7,12204.7,263
02,Promoció Econòmica,241R,1600015,OPE AODL SEGURETAT SOCIAL COMPETITIVITAT (fse),0,8573.47,8573.47,5380.56,5380.56,5380.56,264
01,Alcaldia i Règim Intern,3322,1200600,TRIENNIS ARXIU,2126.18,489.61,2615.79,1886.87,1886.87,1886.87,265
02,Promoció Econòmica,241J,1210115,COMPLEMENT ESPECIFIC OCUPACIO JOVES FOJ-6-2015 FSE,0,3495.92,3495.92,2614.68,2614.68,2614.68,266
02,Promoció Econòmica,241,4670211,OPE TRANF DISSENY IMPULS EMPRESA,0,14221.89,14221.89,0,0,0,267
02,Promoció Econòmica,241TE,1600015,SEG SOCIAL MANT EDIFICIS 2015/PRMI/SPO/0042/EX02 FSE,0,4995.97,4995.97,4498.2,4498.2,4498.2,268
02,Promoció Econòmica,241S,1300100,SEFED HORES EXTRES,0.01,0,0.01,0,0,0,269
02,Promoció Econòmica,430,6290000,OPE ALTRES INVERSIONS,0,0.01,0.01,0,0,0,270
02,Promoció Econòmica,241J,1430015,PERSONAL OCUPACIO JOVES FOJ-6-2015 FSE,0,0.01,0.01,0,0,0,271
02,Promoció Econòmica,241,4899900,OPE.TRANSF CREACCIÓ,29773.53,0,29773.53,0,0,0,272
01,Alcaldia i Règim Intern,3322,1210000,COMPLEMENT DESTINACIÓ ARXIU,8160.88,81.61,8242.49,5887.5,5887.5,5887.5,273
02,Promoció Econòmica,241S,1430000,SEFED ALTRE PERSONAL,76240.61,0,76240.61,0,0,0,274
02,Promoció Econòmica,241TG,1430015,PERSONAL DINAMITZ GENT GRAN 2015/PRMI/SPO/0042/EX06 FSE,0,5648.41,5648.41,4777.72,4777.72,4777.72,275
02,Promoció Econòmica,430A,2269900,OPE. ACCIONS COMERÇ,0,8000,8000,0,0,0,276
02,Promoció Econòmica,241A,1430014,OPE PERSONAL ACCIONS PROFESSIONALS (tb) FSE,0,16162.27,16162.27,0,0,0,277
02,Promoció Econòmica,241J,1600015,SEG SOCIAL OCUPACIO JOVES FOJ-6-2015 FSE,0,3993.47,3993.47,2654.96,2654.96,2654.96,278
01,Alcaldia i Règim Intern,3322,1210100,COMPLEMENT ESPECÍFIC ARXIU,8154.12,81.54,8235.66,6176.7,6176.7,6176.7,279
02,Promoció Econòmica,241TG,1600015,SEG SOCIAL DINAMITZ GENT GRAN 2015/PRMI/SPO/0042/EX06 FSE,0,1948.62,1948.62,1478.74,1478.74,1478.74,280
02,Promoció Econòmica,430C,2260900,OPE. COMERÇ I CULTURA (mga),0,0,0,0,0,0,281
02,Promoció Econòmica,241A,1600014,OPE SEGURETAT SOCIAL ACCIONS PROFESSIONALS (tb) FSE,0,5815.02,5815.02,0,0,0,282
02,Promoció Econòmica,241J,2260613,OPE PROJECTE FORMACIO JOVE,0,3300.76,3300.76,0,0,0,283
01,Alcaldia i Règim Intern,3322,1500000,PRODUCTIVITAT ARXIU,700,0,700,524.97,524.97,524.97,284
02,Promoció Econòmica,241TL,1430015,PERSONAL INFORMADOR CANAL 2015/PRMI/SPO/0042/EX07 FSE,0,5864.99,5864.99,5864.99,5864.99,5864.99,285
02,Promoció Econòmica,430C,2269900,OPE. COMERÇ I CULTURA (mga),0,17000,17000,0,0,0,286
02,Promoció Econòmica,241A,2260600,OPE FORMACIÓ ACTIC,0,0,0,0,0,0,287
02,Promoció Econòmica,241J,2269915,PROGRAMA FEM OCUPACIÓ JOVES FOJ-6-2015 FSE,0,58068.19,58068.19,180.59,180.59,180.59,288
02,Promoció Econòmica,241TL,1600015,SEG SOCIAL AUX LLAR 2015/PRMI/SPO/0042/EX05 FSE,0,2064.66,2064.66,1949.95,1949.95,1949.95,289
01,Alcaldia i Règim Intern,3322,1510000,GRATIFICACIONS ARXIU,0.01,0,0.01,0,0,0,290
02,Promoció Econòmica,241A,2260614,OPE CURSOS AULA MENTOR,0,325.01,325.01,325.01,325.01,325.01,291
02,Promoció Econòmica,241K,1430014,OPE PERSONAL FORMACIO NETEJA (tb) FSE,0,2287.09,2287.09,0,0,0,292
02,Promoció Econòmica,430N,1300000,OPE BÀSIQUES NETEJA OPE,7678.58,-7678.58,0,0,0,0,293
02,Promoció Econòmica,241TN,1430015,PERSONAL NETEJADORS 2015/PRMI/SPO/0042/EX03 FSE,0,23459.96,23459.96,23459.96,23459.96,23459.96,294
02,Promoció Econòmica,241A,2260615,OPE CURSOS AULA MENTOR,0,648,648,107.13,107.13,107.13,295
01,Alcaldia i Règim Intern,3322,1600000,SEGURETAT SOCIAL ARXIU,8335.79,150.64,8486.43,5674.75,5674.75,5674.75,296
02,Promoció Econòmica,241K,1430015,PERSONAL NETEJADORS 2015/PRMI/SPO/0042/EX03 FSE,0,7331.01,7331.01,7331.01,7331.01,7331.01,297
02,Promoció Econòmica,241TN,1600015,SEG SOCIAL NETEJADORS 2015/PRMI/SPO/0042/EX03 FSE,0,8258.64,8258.64,7799.8,7799.8,7799.8,298
02,Promoció Econòmica,241AM,2260600,OPE.AULA MENTOR,0,480,480,0,0,0,299
02,Promoció Econòmica,430N,1300100,OPE HORES EXTRES NETEJA OPE,0.01,0,0.01,0,0,0,300
02,Promoció Econòmica,241K,1600015,BTB 38/15 B1-01 FSE S SOCIAL FORMACIO NETEJA,0,2327.96,2327.96,1745.97,1745.97,1745.97,301
01,Alcaldia i Règim Intern,920D,2219900,SUBMINISTRAMENTS DIVERSOS,500,0,500,0,0,0,302
02,Promoció Econòmica,241B,1430014,OPE PERSONAL INSERCIO RMI (fse),0,2764.34,2764.34,0,0,0,303
02,Promoció Econòmica,241TO,1430112,OPE ALUMNES TALLER OCUPACIO ERM 2012 (TB),0,7345.16,7345.16,0,0,0,304
02,Promoció Econòmica,430N,1300200,OPE ALTRES REMUNERACIONS NETEJA OPE,11522.14,-11522.14,0,0,0,0,305
02,Promoció Econòmica,241K,2260615,BTB 38/15 B1-01 FSE CURS FORMACIO NETEJA,0,5663.77,5663.77,864.62,864.62,864.62,306
01,Alcaldia i Règim Intern,920G,1210000,CARRERA PROFESSIONAL,40000,-36100,3900,0,0,0,307
02,Promoció Econòmica,241B,1430015,BTB 38/15 E1-05 FSE PERSONAL DINAMITZACIO,0,26114.05,26114.05,18553.56,18553.56,18553.56,308
02,Promoció Econòmica,241TO,1600012,OPE SEGURTAT SOCIAL TALLER OCUPACIO ERM 2012 (TB),0,694.19,694.19,0,0,0,309
02,Promoció Econòmica,430N,1500100,OPE PRODUCTIVITAT NETEJA OPE,700,-700,0,0,0,0,310
02,Promoció Econòmica,241K,2269914,OPE FORMACIO NETEJA (tb) FSE,0,2762.56,2762.56,0,0,0,311
02,Promoció Econòmica,241B,1600014,OPE SEGURETAT SOCIAL INSERCIO RMI (fse),0,372.62,372.62,0,0,0,312
01,Alcaldia i Règim Intern,920G,1310000,SUBSTITUCIONS,39000,-14529.06,24470.94,0,0,0,313
02,Promoció Econòmica,241TO,2269911,OPE DESPESES TALLER OCUPACIO (TB),0,8044.37,8044.37,0,0,0,314
02,Promoció Econòmica,430N,1600000,OPE SEGURETAT SOCIAL NETEJA ADM. GNAL. OPE,6666.74,-6666.74,0,0,0,0,315
02,Promoció Econòmica,241L,1430015,BTB 38/15 DX-04 FSE PERSONAL AUXILIAR LLAR,0,7702.2,7702.2,7702.2,7702.2,7702.2,316
02,Promoció Econòmica,241B,1600015,BTB 38/15 E1-05 FSE SEGURETAT SOCIAL DINAMITZACIO,0,8550.36,8550.36,5390.45,5390.45,5390.45,317
01,Alcaldia i Règim Intern,920G,1500000,PRODUCTIVITAT,12500,-12294.03,205.97,0,0,0,318
02,Promoció Econòmica,241TT,1430015,PERSONAL E NATURALS 2015/PRMI/SPO/0042/EX01 FSE,0,17850.06,17850.06,17006.9,17006.9,17006.9,319
02,Promoció Econòmica,430P,1300100,OPE. GRATIFICACIONS POP-UP EXPRES,0,1053.14,1053.14,1053.14,1053.14,1053.14,320
02,Promoció Econòmica,241B,2269914,OPE DESPESES INSERCIO RMI (fse),0,2368.64,2368.64,0,0,0,321
02,Promoció Econòmica,241L,1600015,BTB 38/15 DX-04 FSE SEGURETAT SOCIAL AUXILIAR LLAR,0,2672.64,2672.64,2670.66,2670.66,2670.66,322
02,Promoció Econòmica,241TT,1600015,SEG SOCIAL E NATURALS 2015/PRMI/SPO/0042/EX01 FSE,0,6747.3,6747.3,4873.05,4873.05,4873.05,323
01,Alcaldia i Règim Intern,920G,1510000,GRATIFICACIONS GENÈRICA,6000,-6000,0,0,0,0,324
02,Promoció Econòmica,241C,1430014,OPE PERSONAL TECNIC DINAMITZADOR EQUIPMENTS (tb) fse,0,168.72,168.72,0,0,0,325
02,Promoció Econòmica,241TU,2260615,DESPESES FORMACIO 2015/PRMI/SPO/0042/AF01,0,1170,1170,59.8,59.8,59.8,326
02,Promoció Econòmica,430P,1510000,OPE. GRATIFICACIONS POP-UP EXPRES,0,1538.16,1538.16,1538.16,1538.16,1538.16,327
01,Alcaldia i Règim Intern,920G,1600000,SEGURETAT SOCIAL GENERICA,0,10000,10000,0,0,0,328
02,Promoció Econòmica,241C,1430015,BTB 38/15 E1-04 FSE PERSONAL TREBALLADORA SOCIAL,0,26981.23,26981.23,18331.07,18331.07,18331.07,329
02,Promoció Econòmica,241W,1310000,OPE RETRIBUCIONS  PERSONAL WC,9905.4,0,9905.4,0,0,0,330
02,Promoció Econòmica,4312M,2120000,OPE MANTENIMENT EDIFICI MERCAT,0,5663.48,5663.48,4890.06,4142.18,4142.18,331
02,Promoció Econòmica,241C,1600014,OPE SEGURETAT SOCIAL TECNIC DINAMITZADOR EQUIPAMENT (tb) FSE,0,56.26,56.26,0,0,0,332
01,Alcaldia i Règim Intern,920G,2279900,TREBALLS GESTORIA,0.01,0,0.01,0,0,0,333
02,Promoció Econòmica,241W,1600000,OPE SEGURETAT SOCIAL PERSONAL VIGILANTS WC,3536.24,0,3536.24,0,0,0,334
02,Promoció Econòmica,4312M,2120014,OPE MANTENIMENT EDIFICI MERCAT,0,32592.57,32592.57,8667.54,8667.54,8667.54,335
02,Promoció Econòmica,241C,1600015,BTB 38/15 E1-04 FSE SEGURETAT SOCIAL TREBALLADORA SOCIAL,0,6745.31,6745.31,5546.96,5546.96,5546.96,336
01,Alcaldia i Règim Intern,920G,6230000,TELEFONS,0,0.01,0.01,0,0,0,337
02,Promoció Econòmica,241W,2260614,OPE DESPESES FORMACIO MONITORS (tb) FSE,0,2701.82,2701.82,0,0,0,338
02,Promoció Econòmica,4312M,2120015,OPE MANTENIMENT EDIFICI MERCAT,0,13991.75,13991.75,2470.36,2470.36,2470.36,339
02,Promoció Econòmica,241C,2060015,LLOGUER FOTOCOPIADORA,0,1662.36,1662.36,698.11,698.11,698.11,340
02,Promoció Econòmica,326,4899900,OPE TRANSF. CEFORTEM,1500,0,1500,0,0,0,341
01,Alcaldia i Règim Intern,920G,6290000,ALTRES INVERSIONS,0,722.12,722.12,722.11,722.11,722.11,342
02,Promoció Econòmica,241C,2120215,MANTENIMENT EDIFICI CANAL,0,500,500,0,0,0,343
02,Promoció Econòmica,4312M,2150012,OPE MANTENIMENT MOBILIARI MERCAT,0,684.61,684.61,0,0,0,344
02,Promoció Econòmica,326A,1300100,OPE HORES EXTRES AULA AUTOAPRENENTATGE,0.01,0,0.01,0,0,0,345
01,Alcaldia i Règim Intern,920N,1200500,BÀSIQUES AP NETEJA ADM. GNAL.,7678.58,76.79,7755.37,5539.6,5539.6,5539.6,346
02,Promoció Econòmica,241CM,2260611,OPE CURS MONITORS SOCIOCULTURALS,0,6889.68,6889.68,2796.88,2796.88,2796.88,347
02,Promoció Econòmica,326A,1310000,OPE LABORAL TEMPORAL AULA AUTOAPRENENTATGE,7723.07,106.93,7830,5666.91,5666.91,5666.91,348
02,Promoció Econòmica,4312M,2210012,OPE ENERGIA ELECTRICA MERCAT,0,526.81,526.81,267.9,267.9,267.9,349
01,Alcaldia i Règim Intern,920N,1200600,TRIENNIS NETEJA ADM. GNAL.,565.74,177.97,743.71,526.26,526.26,526.26,350
02,Promoció Econòmica,241D,1200515,OPE BASIQUES AP FOMENT OCUPACIONAL,0,3228.12,3228.12,0,0,0,351
02,Promoció Econòmica,326A,1500100,OPE PRODUCTIVITAT AULA AUTOAPRENENTATGE,231,0,231,173.25,173.25,173.25,352
02,Promoció Econòmica,4312M,2210013,OPE ENERGIA ELECTRICA MERCAT,0,5816.52,5816.52,0,0,0,353
02,Promoció Econòmica,241D,1210015,OPE COMPLEMENT DESTINACIO FOMENT OCUPACIO,0,10884.07,10884.07,0,0,0,354
02,Promoció Econòmica,326A,1600000,OPE SEGURETAT SOCIAL AULA AUTOAPRENENTATGE,2509.51,24.36,2533.87,1689.28,1689.28,1689.28,355
01,Alcaldia i Règim Intern,920N,1210000,COMPLEMENT DESTINACIÓ NETEJA ADM. GNAL.,3955.42,39.55,3994.97,2853.6,2853.6,2853.6,356
02,Promoció Econòmica,4312M,2210100,OPE AIGUA MERCAT,200,0,200,0,0,0,357
02,Promoció Econòmica,241D,1210115,OPE COMPLEMENT ESPECIFIC FOMENT OCUPACIO,0,9517.14,9517.14,0,0,0,358
02,Promoció Econòmica,326Q,2269911,OPE DESPESES PQPI,0,12834.85,12834.85,0,0,0,359
01,Alcaldia i Règim Intern,920N,1210100,COMPLEMENT ESPECÍFIC NETEJA ADM. GNAL.,6323.64,63.24,6386.88,4790.16,4790.16,4790.16,360
02,Promoció Econòmica,241D,1430011,OPE PERSONAL DINAMITZADOR INNOVADORS,0,6055.47,6055.47,0,0,0,361
02,Promoció Econòmica,414,2260600,OPE JORNADES TÈCNIQUES FIRA DE REIS,6000,0,6000,355.33,355.33,355.33,362
02,Promoció Econòmica,4312M,2260212,OPE PUBLICITAT I PROPAGANDA MERCAT,0,1213.11,1213.11,524.98,524.98,524.98,363
02,Promoció Econòmica,241D,1600011,OPE SEGURETAT SOCIAL DINAMITZADOR INNOVADORS,0,1969.23,1969.23,0,0,0,364
02,Promoció Econòmica,414,2260615,OPE JORNADES TECNIQUES FIRA DE REIS,0,400,400,0,0,0,365
01,Alcaldia i Règim Intern,920N,1500000,PRODUCTIVITAT NETEJA ADM. GNAL.,700,0,700,466.64,466.64,466.64,366
02,Promoció Econòmica,4312M,2269911,OPE DESPESES DIVERSES MERCAT,0,0,0,0,0,0,367
02,Promoció Econòmica,241D,1600015,OPE SEGURETAT SOCIAL FOMENT OCUPACIO,0,244.98,244.98,0,0,0,368
02,Promoció Econòmica,414A,2260614,OPE JORNADES TECNIQUES FIRA REIS,0,33.92,33.92,0,0,0,369
01,Alcaldia i Règim Intern,920N,1510000,GRATIFICACIONS NETEJA ADM. GNAL.,0.01,0,0.01,0,0,0,370
02,Promoció Econòmica,241D,2269911,OPE DESPESES DINAMITZADORS,0,4574.12,4574.12,0,0,0,371
02,Promoció Econòmica,419,2269900,OPE DESPESES CONSELL PAGESIA,100,0,100,0,0,0,372
02,Promoció Econòmica,4312M,2269913,OPE ACTIVITATS AULA MERCAT,0,1255,1255,1175.3,1175.3,1175.3,373
02,Promoció Econòmica,241DI,2269910,OPE DESPESES PROG.DIPOSITIU INSERCIO,0,201.08,201.08,0,0,0,374
01,Alcaldia i Règim Intern,920N,1600000,SEGURETAT SOCIAL NETEJA ADM. GNAL.,5344.1,99.4,5443.5,3631.66,3631.66,3631.66,375
02,Promoció Econòmica,430,1300000,OPE BÀSIQUES ADMINISTRACIÓ OPE,21285.1,4383.13,25668.23,18437.85,18437.85,18437.85,376
02,Promoció Econòmica,4312M,2269914,OPE ACTIVITATS MERCAT MPAL,0,617.17,617.17,304.52,304.52,304.52,377
02,Promoció Econòmica,241E,1430015,BTB 38/15 DX-08 FSE PERSONAL ENGINYER FIBRA OPTICA,0,15936.61,15936.61,8328.27,8328.27,8328.27,378
02,Promoció Econòmica,430,1300100,OPE HORES EXTRES ADMINISTRACIÓ OPE,0.01,0,0.01,0,0,0,379
02,Promoció Econòmica,4312M,2269915,OPE ACTIVITATS MERCAT MPAL,0,25000,25000,4639.95,4639.95,4639.95,380
01,Alcaldia i Règim Intern,920P,1310000,PROGRAMES TEMPORALS,11000,-5557.09,5442.91,0,0,0,381
02,Promoció Econòmica,241E,1600015,BTB 38/15 DX-08 FSE SEGURETAT SOCIAL ENGINYER FIBRA OPTICA,0,5219.24,5219.24,2058.7,2058.7,2058.7,382
02,Promoció Econòmica,4312M,2270615,OPE ESTUDIS I TREBALLS TECNICS MERCAT,0,2964.5,2964.5,0,0,0,383
02,Promoció Econòmica,241E,2260612,OPE CURS ELECTROMECANICA,0,16862.9,16862.9,0,0,0,384
02,Promoció Econòmica,241ET,2269912,OPE DESPESES ESPORT I TREBALL,0,10.16,10.16,0,0,0,385
02,Promoció Econòmica,4312M,6290000,OPE. ALTRES INVERSIONS MERCAT,0,1677,1677,1676.99,1676.99,1676.99,386
02,Promoció Econòmica,241ET,2269913,OPE DESPESES ESPORT I TREBALL,0,1604.18,1604.18,0,0,0,387
02,Promoció Econòmica,4312M,6320014,OPE EDIFICI MERCAT,0,1584.82,1584.82,0,0,0,388
02,Promoció Econòmica,4313A,2269900,OPE ACCIONS MERCATS (db),0,2000,2000,0,0,0,389
02,Promoció Econòmica,4313A,2269915,OPE ACCIONS MERCATS SETMANALS  (db),0,145.63,145.63,85.5,85.5,85.5,390
02,Promoció Econòmica,432,2260900,OPE DESPESES EMBARCADOR,1500,0,1500,85.91,85.91,85.91,391
02,Promoció Econòmica,432,2269900,OPE DINAMITZACIÓ CAMPANAR,500,0,500,0,0,0,392
02,Promoció Econòmica,432,4899900,OPE TRANSF. QUOTA OSONA TURISME,4925,0,4925,4925,4925,4925,393
02,Promoció Econòmica,433,1200100,OPE BASIQUES A2 DINAMITZACIÓ EMPRESARIAL,25813.04,-2348.99,23464.05,16756.02,16756.02,16756.02,394
02,Promoció Econòmica,433,1200600,OPE TRIENNIS DINAMITZACIÓ EMPRESARIAL,4826.92,-1140.49,3686.43,2642.73,2642.73,2642.73,395
02,Promoció Econòmica,433,1210000,OPE COMPLEMENT DESTINACIÓ DINAMITZ. EMPRESARIAL,16321.76,-4145.44,12176.32,8609.98,8609.98,8609.98,396
02,Promoció Econòmica,433,1210100,OPE COMPLEMENT ESPECÍFIC DINAMITZ. EMPRESARIAL,17106.96,-2147.68,14959.28,11385.53,11385.53,11385.53,397
02,Promoció Econòmica,433,1500000,OPE PRODUCTIVITAT DINAMITZACIÓ EMPRESARIAL,1400,0,1400,420.03,420.03,420.03,398
02,Promoció Econòmica,433,1510000,OPE GRATIFICACIONS DINAMITZACIÓ EMPRESARIAL,0.01,0,0.01,0,0,0,399
