NOMBRE,UBICACION,OBJETO,TITULO,AUTOR,TEMA,MATERIALES,MEDIDAS
"El Vallés","Museo Casa Natal de Jovellanos","Pintura","El Vallés","PI DE LA SERRA","","Óleo sobre lienzo","A. 61  An. 50"
"Cristo","Museo Casa Natal de Jovellanos","Pintura","Cristo","PINAZO, Ignacio","","Óleo sobre tabla","A. 50  An. 28"
"Niñas","Museo Casa Natal de Jovellanos","Pintura","Niñas","PLA, Cecilio","","Acuarela y pastel sobre papel","A. 53  An. 35"
"Jardín","Museo Casa Natal de Jovellanos","Pintura","Jardín","PLA, Cecilio","","Óleo sobre lienzo","A. 39  An. 58"
"Marina","Museo Casa Natal de Jovellanos","Pintura","Marina","PRADILLA","","Tinta sobre papel","A. 14  An. 30"
"Paisaje","Museo Casa Natal de Jovellanos","Dibujo","Paisaje","NAVASCUÉS, José Mª","","Lápiz grafito y tinta sobre papel","AM. 63,2 AnM. 71,5"
"Sin título","Museo Casa Natal de Jovellanos","Dibujo","Sin título","NAVASCUÉS, José Mª","","Lápiz graso y lápices de color sobre papel","A. 94,3  An. 68"
"Sin título","Museo Casa Natal de Jovellanos","Dibujo","Sin título","NAVASCUÉS, José Mª","","Lápiz graso, lápices de color y tinta sobre papel","A. 94,2  An. 68"
"Sin título","Museo Casa Natal de Jovellanos","Dibujo","Sin título","NAVASCUÉS, José Mª","","Lápiz graso y lápices de color sobre papel","A. 94,6  An. 68,2"
"Sin título","Museo Casa Natal de Jovellanos","Dibujo","Sin título","NAVASCUÉS, José Mª","","Lápiz graso, lápices de color y ceras sobre papel","A. 94,2  An. 68"
"Sin título","Museo Casa Natal de Jovellanos","Dibujo","Sin título","NAVASCUÉS, José Mª","","Lápiz graso y lápices de color sobre papel","A. 94,5  An. 68"
"Sin título","Museo Casa Natal de Jovellanos","Dibujo","Sin título","NAVASCUÉS, José Mª","","Lápiz graso y lápices de color sobre papel","A. 68,1  An. 94,2"
"Sin título","Museo Casa Natal de Jovellanos","Dibujo","Sin título","NAVASCUÉS, José Mª","","Lápiz graso y lápices de color sobre papel","A. 70,2  An. 100,5"
"Paisaje","Museo Casa Natal de Jovellanos","Dibujo","Paisaje","NAVASCUÉS, José Mª","","Lápiz grafito sobre papel","A. 100,5  An. 70,3"
"Ciervo","Museo Casa Natal de Jovellanos","Dibujo","Ciervo","NAVASCUÉS, José Mª","","Sanguina sobre papel","A. 25,7  An.31.2"
"Leona tumbada","Museo Casa Natal de Jovellanos","Dibujo","Leona tumbada","NAVASCUÉS, José Mª","","Sanguina y lápiz carbón sobre papel","A. 25,8  An. 32"
"Desnudo femenino tumbado","Museo Casa Natal de Jovellanos","Dibujo","Desnudo femenino tumbado","NAVASCUÉS, José Mª","","Sanguina y tinta sobre papel","AM. 16,1  An. 21,6"
"Joven orante","Museo Casa Natal de Jovellanos","Dibujo","Joven orante","NAVASCUÉS, José Mª","","Sanguina y tinta sobre papel","A. 15,6  An. 21,5"
"Mujer sentada","Museo Casa Natal de Jovellanos","Dibujo","Mujer sentada","NAVASCUÉS, José Mª","","Sanguina y carbón sobre papel","AM. 30 AnM. 21"
"Mujer sentada","Museo Casa Natal de Jovellanos","Dibujo","Mujer sentada","NAVASCUÉS, José Mª","","Sanguina sobre papel","A. 29,3  An. 21"
"Desnudo femenino recostado","Museo Casa Natal de Jovellanos","Dibujo","Desnudo femenino recostado","NAVASCUÉS, José Mª","","Sanguina sobre papel","A. 21,8  An. 31,9"
"Desnudo femenino tumbado","Museo Casa Natal de Jovellanos","Dibujo","Desnudo femenino tumbado","NAVASCUÉS, José Mª","","Sanguina sobre papel","A. 21,8  An. 31,9"
"Desnudo femenino","Museo Casa Natal de Jovellanos","Dibujo","Desnudo femenino","NAVASCUÉS, José Mª","","Sanguina sobre papel","A. 21,6  An. 31,5"
"Desnudo femenino en pie","Museo Casa Natal de Jovellanos","Dibujo","Desnudo femenino en pie","NAVASCUÉS, José Mª","","Sanguina sobre papel","A. 31,8  An. 21,7"
"Desnudo femenino sentado","Museo Casa Natal de Jovellanos","Dibujo","Desnudo femenino sentado","NAVASCUÉS, José Mª","","Sanguina sobre papel","A. 31,1  An. 22,5"
"Desnudo femenino sentado","Museo Casa Natal de Jovellanos","Dibujo","Desnudo femenino sentado","NAVASCUÉS, José Mª","","Sanguina sobre papel","A. 21,6  An. 31,5"
"Desnudo femenino tumbado","Museo Casa Natal de Jovellanos","Dibujo","Desnudo femenino tumbado","NAVASCUÉS, José Mª","","Sanguina sobre papel","A. 21,6  An. 31,5"
"Desnudo femenino sentado","Museo Casa Natal de Jovellanos","Dibujo","Desnudo femenino sentado","NAVASCUÉS, José Mª","","Sanguina sobre papel","A. 27,8  An. 21,8"
"Desnudo femenino sentado","Museo Casa Natal de Jovellanos","Dibujo","Desnudo femenino sentado","NAVASCUÉS, José Mª","","Sanguina sobre papel","A. 31,5  An. 21,5"
"Desnudo femenino tumbado","Museo Casa Natal de Jovellanos","Dibujo","Desnudo femenino tumbado","NAVASCUÉS, José Mª","","Sanguina sobre papel","A. 21,5  An. 31,5"
"Desnudo femenino en pie","Museo Casa Natal de Jovellanos","Dibujo","Desnudo femenino en pie","NAVASCUÉS, José Mª","","Sanguina sobre papel","A. 31,5  An. 21,5"
"Dos figuras en un paisaje","Museo Casa Natal de Jovellanos","Dibujo","Dos figuras en un paisaje","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 23,5  An. 31,5"
"Marineros en el puerto de Gijón","Museo Nicanor Piñole","Dibujo","Marineros en el puerto de Gijón","PIÑOLE, Nicanor","","Lápiz carbón sobre papel","A. 22,6  An. 14,2"
"Conversación de marineros en el puerto","Museo Nicanor Piñole","Dibujo","Conversación de marineros en el puerto","PIÑOLE, Nicanor","","Lápiz grafito sobre papel reutilizado","A. 12,1  An. 21,6"
"Conversación de marineros en el puerto","Museo Nicanor Piñole","Dibujo","Conversación de marineros en el puerto","PIÑOLE, Nicanor","","Pluma sobre papel reutilizado","A. 13,4  An. 19,9"
"Conversación de marineros en el puerto","Museo Nicanor Piñole","Dibujo","Conversación de marineros en el puerto","PIÑOLE, Nicanor","","Lápiz carbón sobre papel reutilizado","A. 19,9  An. 13,4"
"Conversación de marineros en el puerto","Museo Nicanor Piñole","Dibujo","Conversación de marineros en el puerto","PIÑOLE, Nicanor","","Lápiz grafito y carbón sobre papel reutilizado","A. 13,1  An. 14"
"Conversación de marineros en el puerto","Museo Nicanor Piñole","Dibujo","Conversación de marineros en el puerto","PIÑOLE, Nicanor","","Pluma, aguada de tinta y lápiz sobre papel reutilizado","A. 10  An. 13,3"
"Tertulia en el muelle","Museo Nicanor Piñole","Dibujo","Tertulia en el muelle","PIÑOLE, Nicanor","","Pluma sobre papel","A. 22  An. 10"
"Tertulia en el muelle","Museo Nicanor Piñole","Dibujo","Tertulia en el muelle","PIÑOLE, Nicanor","","Lápiz carbón sobre papel reutilizado","A. 19,9  An. 13,4"
"Tertulia en el muelle","Museo Nicanor Piñole","Dibujo","Tertulia en el muelle","PIÑOLE, Nicanor","","Lápiz carbón sobre papel reutilizado","A. 19,9  An. 13,8"
"Tertulia en el muelle","Museo Nicanor Piñole","Dibujo","Tertulia en el muelle","PIÑOLE, Nicanor","","Pluma sobre papel reutilizado","A. 11  An. 15,7"
"Tertulia en el muelle","Museo Nicanor Piñole","Dibujo","Tertulia en el muelle","PIÑOLE, Nicanor","","Pluma sobre papel reutilizado","A. 13,4  An. 19,9"
"Tertulia en el muelle","Museo Nicanor Piñole","Dibujo","Tertulia en el muelle","PIÑOLE, Nicanor","","Pluma, aguada de tinta y lápiz sobre papel reutilizado","A. 13,4  An. 19,9"
"Tertulia en el muelle","Museo Nicanor Piñole","Dibujo","Tertulia en el muelle","PIÑOLE, Nicanor","","Lápiz plomo sobre papel reutilizado","A. 15,8  An. 19,1"
"Tertulia en el muelle","Museo Nicanor Piñole","Dibujo","Tertulia en el muelle","PIÑOLE, Nicanor","","Pluma y aguada de tinta sobre papel reutilizado","A. 13,4  An. 19,9"
"Bañistas","Museo Nicanor Piñole","Dibujo","Bañistas","PIÑOLE, Nicanor","","Acuarela y lápiz sobre papel","A. 10,8  An. 16,5"
"Bañistas","Museo Nicanor Piñole","Dibujo","Bañistas","PIÑOLE, Nicanor","","Lápiz plomo, sanguina y aguada sobre papel","A. 10,3  An. 17,9"
"Indios en la playa","Museo Nicanor Piñole","Dibujo","Indios en la playa","PIÑOLE, Nicanor","","Acuarela sobre papel","A. 9,2  An. 16,4"
"Bañistas en la playa de San Lorenzo","Museo Nicanor Piñole","Dibujo","Bañistas en la playa de San Lorenzo","PIÑOLE, Nicanor","","Lápiz carbón sobre papel reutilizado","A. 11,8  An. 13,9"
"Bañistas en la playa de San Lorenzo","Museo Nicanor Piñole","Dibujo","Bañistas en la playa de San Lorenzo","PIÑOLE, Nicanor","","Lápiz carbón sobre papel reutilizado","A. 13,1  An. 13,9"
"Bañistas en la playa de San Lorenzo","Museo Nicanor Piñole","Dibujo","Bañistas en la playa de San Lorenzo","PIÑOLE, Nicanor","","Lápiz carbón sobre papel","A. 21,7  An. 15,4"
"Los vencidos","Museo Nicanor Piñole","Dibujo","Los vencidos","PIÑOLE, Nicanor","","Sanguina sobre papel","A. 20,9  An. 13"
"Los vencidos","Museo Nicanor Piñole","Dibujo","Los vencidos","PIÑOLE, Nicanor","","Sanguina sobre papel","A. 20,9  An. 13"
"El regreso de los barcos","Museo Nicanor Piñole","Dibujo","El regreso de los barcos","PIÑOLE, Nicanor","","Lápiz plomo y carbón sobre papel","A. 11 An. 10,1"
"El regreso de los barcos","Museo Nicanor Piñole","Dibujo","El regreso de los barcos","PIÑOLE, Nicanor","","Lápiz color morado sobre papel","A. 18,2  An. 16"
"El regreso de los barcos","Museo Nicanor Piñole","Dibujo","El regreso de los barcos","PIÑOLE, Nicanor","","Lápiz carbón sobre papel reutilizado","A. 13,3  An. 19,9"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Plumilla tinta azul y lápiz carbón sobre papel reutilizado","A. 21,6  An. 12,1"
"Enriqueta Ceñal","Museo Nicanor Piñole","Dibujo","Enriqueta Ceñal","PIÑOLE, Nicanor","","Lápiz carbón sobre papel reutilizado","A. 12  An. 21,8"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Plumilla tinta azul sobre papel reutilizado","A. 13,3  An. 20"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Plumilla tinta azul sobre papel reutilizado","A máx. 13,8  An. 19,9"
"Doña Brígida y Enriqueta","Museo Nicanor Piñole","Dibujo","Doña Brígida y Enriqueta","PIÑOLE, Nicanor","","Plumilla y aguada tinta azul sobre papel reutilizado","A. 12,2  An. 21,6"
"Doña Brígida escuchando la radio","Museo Nicanor Piñole","Dibujo","Doña Brígida escuchando la radio","PIÑOLE, Nicanor","","Plumilla tinta azul y lápiz grafito sobre papel reutilizado","A. 19,4  An. 13,3"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Plumilla y aguada tinta azul sobre papel reutilizado","A. 21,7  An. 12,2"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Plumilla tinta azul y lápiz carbón sobre papel reutilizado","A. 21,7  An. 12,2"
"Mujer leyendo","Museo Nicanor Piñole","Dibujo","Mujer leyendo","PIÑOLE, Nicanor","","Plumilla tinta azul sobre papel reutilizado","A. 13,4  An. 20"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Plumilla tinta azul y negra sobre papel reutilizado","A. 13,6  An. 19,9"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Plumilla tinta azul sobre papel reutilizado","A. 20  An. 13,3"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Plumilla tinta azul sobre papel reutilizado","A. 19,9  An. 13,4"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Plumilla tinta azul sobre papel reutilizado","A. 12,2  An. 21,6"
"Manuel Antonio leyendo","Museo Nicanor Piñole","Dibujo","Manuel Antonio leyendo","PIÑOLE, Nicanor","","Plumilla tinta azul sobre papel reutilizado","A. 12,5  An. 21,7"
"Personaje escribiendo","Museo Nicanor Piñole","Dibujo","Personaje escribiendo","PIÑOLE, Nicanor","","Lápiz carbón sobre papel reutilizado","A. 12,3  An. 21,5"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Plumilla y aguada tinta azul sobre papel reutilizado","A máx. 12,3  An. 21,5"
"Doña Brígida sentada","Museo Nicanor Piñole","Dibujo","Doña Brígida sentada","PIÑOLE, Nicanor","","Plumilla tinta azul sobre papel reutilizado","A. 13,3  An. 19,9"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Plumilla tinta azul y lápiz carbón sobre papel","A. máx.13,2  An. 31,6"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Plumilla tinta negra sobre papel reutilizado","A. 13,5  An. 19,9"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Lápiz carbón sobre papel reutilizado","A. máx. 13,5  An. 20"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Plumilla tinta azul y lápiz grafito sobre papel reutilizado","A. máx. 12,5  An. 21,5"
"Hombre sentado ante un escritorio","Museo Nicanor Piñole","Dibujo","Hombre sentado ante un escritorio","PIÑOLE, Nicanor","","Lápiz carbón, de color y acuarela sobre papel reutilizado","A. máx. 21,5  An. 12,7"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Plumilla tinta azul sobre papel reutilizado","A. 21,7  An. 11,8"
"Doña Brígida","Museo Nicanor Piñole","Dibujo","Doña Brígida","PIÑOLE, Nicanor","","Plumilla tinta azul sobre papel reutilizado","A. 12  An. 21,3"
"Doña Brígida escuchando la radio","Museo Nicanor Piñole","Dibujo","Doña Brígida escuchando la radio","PIÑOLE, Nicanor","","Lápiz plomo sobre papel","A. 22  An. 13,1"
"Velero","Museo Casa Natal de Jovellanos","Pintura","Velero","PRUNA, Pedro","","Óleo sobre lienzo","A. 57  An. 82"
"Figura mocador negro","Museo Casa Natal de Jovellanos","Pintura","Figura mocador negro","PRUNA, Pedro","","Óleo sobre lienzo","A. 32  An. 24"
"Pollensa","Museo Casa Natal de Jovellanos","Pintura","Pollensa","PUIGDENGOLAS","","Óleo sobre lienzo","A. 34   An. 47"
"Jardín","Museo Casa Natal de Jovellanos","Pintura","Jardín","RICO, Martín","","Acuarela sobre papel","A. 42  An. 27"
"Pueblo de Guadalajara","Museo Casa Natal de Jovellanos","Pintura","Pueblo de Guadalajara","REDONDELA, Antonio","","Óleo sobre lienzo","A. 55  An. 46"
"Paisaje italiano","Museo Casa Natal de Jovellanos","Pintura","Paisaje italiano","RICO, Martín","","Óleo sobre lienzo","A. 40  An. 68"
"Cadaqués","Museo Casa Natal de Jovellanos","Pintura","Cadaqués","ROCA SASTRE","","Óleo sobre lienzo","A. 80  An. 40"
"Figura en interior","Museo Casa Natal de Jovellanos","Pintura","Figura en interior","MOMPOU, José","","Óleo sobre lienzo","A. 81  An. 65"
"Parque del Oeste","Museo Casa Natal de Jovellanos","Pintura","Parque del Oeste","MOZOS, Pedro","","Óleo sobre lienzo","A. 39,5  An. 48,5"
"Anocheciendo","Museo Casa Natal de Jovellanos","Pintura","Anocheciendo","GUERRA, E.","","Óleo sobre lienzo","A. 54  An. 65"
"Escena del puerto","Museo Casa Natal de Jovellanos","Pintura","Escena del puerto","MIRALLES, F.","","Óleo sobre tabla","A. 22  An. 29"
"Retrato de una dama","Museo Casa Natal de Jovellanos","Pintura","Retrato de una dama","ROMNEY, G.","","Óleo sobre lienzo","A. 76  An. 65"
"Jardín de Poblet","Museo Casa Natal de Jovellanos","Pintura","Jardín de Poblet","RUSIÑOL, Santiago","","Óleo sobre lienzo","A. 78  An. 78"
"Las fuentes de Reinosa","Museo Casa Natal de Jovellanos","Pintura","Las fuentes de Reinosa","SALCES, Manuel","","Óleo sobre tabla","A. 17,5  An. 9"
"Martirio de San Esteban","Museo Casa Natal de Jovellanos","Pintura","Martirio de San Esteban","MAELLA, Salvador","","Óleo sobre lienzo","A. 66  An. 36"
"Florero","Museo Casa Natal de Jovellanos","Pintura","Florero","SEGHERS, Daniel","","Óleo sobre lienzo","A. 54,2  An. 44"
"Paisaje","Museo Casa Natal de Jovellanos","Pintura","Paisaje","SIQUELLA","","Óleo sobre tabla","A. 24  An. 32"
"Bodegón","Museo Casa Natal de Jovellanos","Pintura","Bodegón","TOGORES, José","","Óleo sobre lienzo","A. 50  An. 61"
"Burro","Museo Casa Natal de Jovellanos","Pintura","Burro","TAPIRO, José","","Acuarela sobre papel","A. 25  An. 45"
"Interior","Museo Casa Natal de Jovellanos","Pintura","Interior","TUSET, J.","","Óleo sobre lienzo","A. 40  An. 40"
"Señorita en balcón","Museo Casa Natal de Jovellanos","Pintura","Señorita en balcón","VICENTE, Eduardo","","Acuarela sobre papel","A. 88  An. 65"
"Figura","Museo Casa Natal de Jovellanos","Pintura","Figura","VICENTE, Eduardo","","Acuarela sobre papel","A. 32  An. 24"
"Paisaje","Museo Casa Natal de Jovellanos","Pintura","Paisaje","VICENTE, Eduardo","","Acuarela sobre papel","A. 40  An. 32"
"Desnudos","Museo Casa Natal de Jovellanos","Pintura","Desnudos","VARGAS URIZ","","Óleo sobre lienzo","A. 48  An. 65"
"Barcelona","Museo Casa Natal de Jovellanos","Pintura","Barcelona","VARGAS, Ruiz Guillermo","","Óleo sobre tabla","A. 10,5  An. 18"
"Avenida Wagrant","Museo Casa Natal de Jovellanos","Pintura","Avenida Wagrant","VARGAS, Ruiz Guillermo","","Óleo sobre lienzo","A. 22  An. 33"
"Mercadillo","Museo Casa Natal de Jovellanos","Pintura","Mercadillo","VEGA MUÑOZ","","Óleo sobre lienzo","A. 63,5  An. 41"
"Puente sobre el río","Museo Casa Natal de Jovellanos","Pintura","Puente sobre el río","VILLODAS, Ricardo","","Óleo sobre tabla","A. 17  An. 28"
"Café del vapor","Museo Casa Natal de Jovellanos","Pintura","Café del vapor","ZAMORA, J.","","Acuarela sobre papel","A. 50  An. 65"
"El alquimista","Museo Casa Natal de Jovellanos","Pintura","El alquimista","WYCK, T.","","Óleo sobre lienzo","A. 65  An. 60"
"Nacimiento","Museo Casa Natal de Jovellanos","Pintura","Nacimiento","ZAMORA, J.","","Pastel sobre papel","A. 32  An. 23"
"Figura","Museo Casa Natal de Jovellanos","Pintura","Figura","ZAMORA, José","","Acuarela sobre papel","A. 48,5  An. 33"
"Paisaje","Museo Casa Natal de Jovellanos","Pintura","Paisaje","FRAU, José","","Óleo sobre tabla","A. 36  An. 48"
"Banco de Bilbao de Madrid","Museo Casa Natal de Jovellanos","Dibujo","Banco de Bilbao de Madrid","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 31,2  An. 22"
"Niños","Museo Casa Natal de Jovellanos","Dibujo","Niños","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 31,3  An. 22"
"Gallo","Museo Casa Natal de Jovellanos","Dibujo","Gallo","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 21,6  An. 31,5"
"Hombre sentado. Mujer sentada","Museo Casa Natal de Jovellanos","Dibujo","Hombre sentado. Mujer sentada","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 32,5  An. 43,7"
"Retrato de niño","Museo Casa Natal de Jovellanos","Dibujo","Retrato de niño","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 17,5  An. 28,1"
"Mujer y perro","Museo Casa Natal de Jovellanos","Dibujo","Mujer y perro","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 21,6  An. 31,5"
"Figuras","Museo Casa Natal de Jovellanos","Dibujo","Figuras","NAVASCUÉS, José Mª","","Lápiz carbón y tinta sobre papel","A. 21,5  AnM. 16,3"
"Cabeza de anciano y figura de niña","Museo Casa Natal de Jovellanos","Dibujo","Cabeza de anciano y figura de niña","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 21,5  AnM. 31,6"
"Dos figuras","Museo Casa Natal de Jovellanos","Dibujo","Dos figuras","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 21,5  An. 31,6"
"Hombre con pipa","Museo Casa Natal de Jovellanos","Dibujo","Hombre con pipa","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","AM. 15,7  AnM. 25,1"
"Figura","Museo Casa Natal de Jovellanos","Dibujo","Figura","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 31,5  An. 21,6"
"Mujer sentada","Museo Casa Natal de Jovellanos","Dibujo","Mujer sentada","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 22  An.31,2"
"Retrato de una joven fumando","Museo Casa Natal de Jovellanos","Dibujo","Retrato de una joven fumando","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 31,5  An. 21,5"
"Retrato de mujer","Museo Casa Natal de Jovellanos","Dibujo","Retrato de mujer","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","AM. 31,7  AnM. 26,1"
"Niña","Museo Casa Natal de Jovellanos","Dibujo","Niña","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","AM. 27,9  AnM. 37"
"Dromedario","Museo Casa Natal de Jovellanos","Dibujo","Dromedario","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 31,3  An. 31,9"
"Mujer","Museo Casa Natal de Jovellanos","Dibujo","Mujer","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 31,5  An. 46,5"
"Hombre sentado leyendo. Mujer","Museo Casa Natal de Jovellanos","Dibujo","Hombre sentado leyendo. Mujer","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 21,7  An. 31,5"
"Paisaje con árboles","Museo Casa Natal de Jovellanos","Dibujo","Paisaje con árboles","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 20,7  AnM. 47,3"
"Campesinos","Museo Casa Natal de Jovellanos","Dibujo","Campesinos","NAVASCUÉS, José Mª","","Lápiz carbón y sanguina sobre papel","A. 47 AnM. 31,4"
"Figura femenina","Museo Casa Natal de Jovellanos","Dibujo","Figura femenina","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 31,5  An. 23,5"
"Cabeza. Figura","Museo Casa Natal de Jovellanos","Dibujo","Cabeza. Figura","NAVASCUÉS, José Mª","","Lápiz carbón y tinta sobre papel","A. 21,5  An. 31,5"
"Elefante","Museo Casa Natal de Jovellanos","Dibujo","Elefante","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 21,9  An. 31,4"
"Bailarinas","Museo Casa Natal de Jovellanos","Dibujo","Bailarinas","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 46,8  An. 31,1"
"Joven Caballo","Museo Casa Natal de Jovellanos","Dibujo","Joven Caballo","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 31,2  An. 22"
"Paisaje","Museo Casa Natal de Jovellanos","Dibujo","Paisaje","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 21,8  An. 31,7"
"Figura masculina. Niño saltando","Museo Casa Natal de Jovellanos","Dibujo","Figura masculina. Niño saltando","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 22  An. 31,2"
"Cabeza de mujer","Museo Casa Natal de Jovellanos","Dibujo","Cabeza de mujer","NAVASCUÉS, José Mª","","Lápiz carbón sobre papel","A. 23,6  An. 23,9"
"El muelle","Museo Nicanor Piñole","Dibujo","El muelle","PIÑOLE, Nicanor","","Lápiz carbón sobre papel","A. 11,6  An. 14,1"
"El muelle","Museo Nicanor Piñole","Dibujo","El muelle","PIÑOLE, Nicanor","","Lápiz plomo sobre papel reutilizado","A. 21,5  An. 15,6"
"El muelle","Museo Nicanor Piñole","Dibujo","El muelle","PIÑOLE, Nicanor","","Sanguina y lápiz plomo sobre papel","A. 23,5  An. 16,8"
"Estudio de perro","Museo Nicanor Piñole","Dibujo","Estudio de perro","PIÑOLE, Nicanor","","Pluma sobre papel","A. 16,4  An. 14,2"
"Estudio de perro","Museo Nicanor Piñole","Dibujo","Estudio de perro","PIÑOLE, Nicanor","","Pluma sobre papel","A. 16,4  An. 14,2"
"El muelle","Museo Nicanor Piñole","Dibujo","El muelle","PIÑOLE, Nicanor","","Lápiz sobre papel reutilizado","A. 12,2  An. 21,7"
"Grúa del muelle de carbón","Museo Nicanor Piñole","Dibujo","Grúa del muelle de carbón","PIÑOLE, Nicanor","","Lápiz carbón sobre papel reutilizado","A. 12,3  An. 21,4"
"Grúa del muelle de carbón","Museo Nicanor Piñole","Dibujo","Grúa del muelle de carbón","PIÑOLE, Nicanor","","Lápiz carbón sobre papel reutilizado","A. 12,2  An. 21,4"
"Figuras","Museo Nicanor Piñole","Dibujo","Figuras","PIÑOLE, Nicanor","","Lápiz grafito sobre papel reutilizado","A. 11,9  An. 21,4"
"Figura de perro","Museo Nicanor Piñole","Dibujo","Figura de perro","PIÑOLE, Nicanor","","Lápiz plomo sobre papel reutilizado","A. 12,5  An. 21,7"
"Barco en el muelle","Museo Nicanor Piñole","Dibujo","Barco en el muelle","PIÑOLE, Nicanor","","Lápiz sobre papel reutilizado","A. 21,4  An. 11,7"
"Grúa del muelle cargando carbón","Museo Nicanor Piñole","Dibujo","Grúa del muelle cargando carbón","PIÑOLE, Nicanor","","Lápiz sobre papel reutilizado","A. 21,5  An. 15,3"
"Grúa del muelle de carbón","Museo Nicanor Piñole","Dibujo","Grúa del muelle de carbón","PIÑOLE, Nicanor","","Lápiz grafito sobre papel reutilizado","A. 12,2  An. 14,2"
"Vista del muelle","Museo Nicanor Piñole","Dibujo","Vista del muelle","PIÑOLE, Nicanor","","Lápiz carbón sobre papel reutilizado","A. 10,9  An. 12,2"
"Grúa en el muelle","Museo Nicanor Piñole","Dibujo","Grúa en el muelle","PIÑOLE, Nicanor","","Lápiz grafito sobre papel reutilizado","A. 12,3  An. 10,7"
"Vista del dique de carga","Museo Nicanor Piñole","Dibujo","Vista del dique de carga","PIÑOLE, Nicanor","","Lápiz grafito sobre papel reutilizado","A. 21,4  An. 12,2"
"Vista del puerto desde el muelle","Museo Nicanor Piñole","Dibujo","Vista del puerto desde el muelle","PIÑOLE, Nicanor","","Lápiz carbón sobre papel reutilizado","A. 18,3  An. 10,9"
"Figura de perro","Museo Nicanor Piñole","Dibujo","Figura de perro","PIÑOLE, Nicanor","","Lápiz carbón sobre papel","A. 21,3  An. 15,1"
"Figura paseando en el muelle","Museo Nicanor Piñole","Dibujo","Figura paseando en el muelle","PIÑOLE, Nicanor","","Lápiz carbón y grafito sobre papel reutilizado","A. 21,5  An. 16,8"
"El Campo Valdés desde el muro","Museo Nicanor Piñole","Dibujo","El Campo Valdés desde el muro","PIÑOLE, Nicanor","","Lápiz carbón sobre papel reutilizado","A. 18,1  An. 21,5"
"El Musel","Museo Nicanor Piñole","Dibujo","El Musel","PIÑOLE, Nicanor","","Lápiz carbón sobre papel","A. 13,3  An. 20,5"
