EXPEDIENTE;ASUNTO;F_ADJUDICA;PRECIO;EMPRESA
2014/CONASO0124;CONTRATACIÓN DEL DISEÑO Y ORGANIZACIÓN DE UN PROGRAMA DE ENCUENTROS Y NETWORKING DE MUJERES EMPRENDEDORAS Y EMPRESARIAS. COFINANCIADO 50% POR FSE;08/05/2014;5.989,50;AZ PROCESOS PARTICIPATIVOS, S.L.
2014/CONOOR0038;CONVERSION DE DOS ALMACENES EN SALA DE MAQUINAS EN PLANTA PRIMERA DEL CENTRO CIVICO IBAIONDO;09/05/2014;26.402,65;CONSTRUCCIONES AZAROA S.L.
2014/CONASO0104;CONTRATACIÓN DE LA IMPARTICIÓN DE UN PROGRAMA FORMATIVO DENOMINADO EFICIENCIA ENERGETICA DE LA ENVOLVENTE ACTUACIÓN ENMARCADA EN EL PROYECTO EMPLEO LOCAL 10;12/05/2014;12.462,39;REHABILITACIÓN ENERGÉTICA SL
2014/CONSOC0016;TRASLADO DE NODO DE COMUNICACIONES - LUDOTECA EN EL PALACIO EUROPA;13/05/2014;6.490,99;HERMOSA S.A.
2014/CONSOC0021;SUMINISTRO DE EMISORAS PORTÁTILES DE RADIO TETRA PARA EL SERVICIO DE POLICÍA LOCAL;13/05/2014;14.236,38;KEYTRON ELECTRONICA, S.A.
2014/CONOOR0039;MODIFICACIÓN DEL PARQUE DE JUEGOS DEL CEP LUIS ELEJALDE;13/05/2014;4.392,30;ESPARZA OBRAS Y PROYECTOS, S.L.
2014/CONAPR0065;REDACCIÓN DE PROYECTO CONSTRUCTIVO Y DIRECCIÓN DE OBRA DE UNA PISTA DE SKATE EN PARCELA DEL BARRIO DE JUDIZMENDI;14/05/2014;10.000,00;DANIEL YABAR RAMOS
2014/CONSOC0014;SUMINISTRO E INSTALACIÓN DE APARCABICICLETAS EN VITORIA-GASTEIZ, CAMPAÑA 2014;14/05/2014;20.000,00;FERROSER INFRAESTRUCTURAS S.A.
2014/CONASO0184;PATROCINIO PUBLICITARIO CON LA ASOC. REAL AUTOMÓVIL CLUB VASCO NAVARRO PARA L LA PROMOCIÓN DE LA MARCA DE CIUDAD Y DE VITORIA-GASTEIZ;14/05/2014;7.500,00;REAL AUTOMÓVIL CLUB VASCO-NAVARRO
2013/CONOOR0155;OBRAS DE PREVENCIÓN DE INUNDACIONES DEL RÍO ZADORRA, FASE II. MURO-DEFENSA DE LA CALLE LA PRESA EN ABETXUKO;15/05/2014;57.343,73;TAMEGA, S.L.
2014/CONASO0297;ESPECTÁCULO DE HUMOR DE LOS ARTISTAS MANU BADENES, MIGUEL LAGOS Y ÁLVARO CARRERO EL DÍA 9 DE AGOSTO DE 2014;15/05/2014;4.000,00;PROMOTORA 600 NS, SL
2014/CONASO0299;ESPECTÁCULO DE HUMOR DEL ARTISTA ALEX O' DOGHERTY EL DÍA 5 DE AGOSTO DE 2014;15/05/2014;4.840,00;G.Z. TXALO S.L.
2014/CONASO0300;ESPECTÁCULO DE HUMOR DE LOS ARTISTAS RAUL CIMAS E IÑAKI URRUTIA EL 6 DE AGOSTO DE 2014;15/05/2014;6.050,00;ASIER ALVAREZ DE ARCAYA RUIZ DE EGUILAZ
2014/CONASO0367;REALIZACIÓN DE LA NUEVA FIGURA DE UNA FIGURA DEL BELÉN DE LA FLORIDA;15/05/2014;6.890,40;ESCALERA ARNAIZ, Mª ANGELES
2014/CONOOR0041;OBRAS DE ACONDICIONAMIENTO DE LOS LOCALES SITUADOS EN LOS BAJOS DE CALLE LORETO DE ARRIOLA Nº 11 Y 17;16/05/2014;31.787,15;LACUESTA Y MAZA S.L.
2014/CONASO0119;CONTRATACION DE LAS LABORES DE MANTENIMIENTO Y ACTUALIZACION DE DATOS DEL OBSERVATORIO WEB;19/05/2014;9.985,50;CYLSTAT ASESORAMIENTO ESTADÍSTICO,S.L.
2014/CONASO0130;ARREGLO DE LA ROTURA DE MANGUERAS DE FIBRA ÓPTICA ENTRE PINTOR VERA FAJARDO 5 Y EL PALACIO EUROPA;19/05/2014;10.816,79;EKOARGI INSTALACIONES ELECTRICAS
2014/CONSOC0023;SUMINISTRO DE 30 SOPORTES CON REGADERAS Y CEPILLOS PARA LOS CEMENTERIOS DE EL SALVADOR Y SANTA ISABEL;19/05/2014;14.508,00;CISA HIDRÁULICA, S.A.
2014/CONSOC0029;APROBACIÓN DE GASTO Y ADJUDICACIÓN DEL CONTRATO MENOR DE ADQUISICIÓN DE EQUIPOS PARA EL LABORATORIO DE GARDELEGUI;20/05/2014;7.461,47;COMAR ARABA S.L.
2014/CONASO0209;ALQUILER, MONTAJE, PUESTA EN MARCHA Y UTILIZACIÓN DEL EQUIPO DE ILUMINACIÓN Y SONIDO NECESARIO PARA LAS ACTUACIONES MUSICALES PROGRAMADAS EN EL MACHETE;20/05/2014;17.600,00;AUDIOMIC PRODUCCIONES, S.L.
2014/CONOOR0046;OBRAS DE INSTALACIÓN DE FALSO TECHO Y CIERRE DE LA CONSERJERÍA DEL POLIDEPORTIVO DE SAN ANDRÉS;21/05/2014;25.121,22;ARAÚ OBRAS Y PROYECTOS S.L.U.
2014/CONASO0257;INSTALACIÓN DE LA INFRAESTRUCTURA PARA BAJADA Y SUBIDA DEL CELEDÓN Y CELEDÓN/ NESKA TXIKI EN LAS FIESTAS DE LA VIRGEN BLANCA 2014;21/05/2014;16.335,00;UR NOMADE, S.L.
2014/CONASP0160;SERVICIO DE TRANSPORTE DENTRO DE LA CAMPAÑA ESCOLAR EN PISTA DE HIELO (TDA 2014-2015);26/05/2014;13.790,70;AUTOBUSES HNOS. ARRIAGA, S.A.
2014/CONASP0168;EJECUCION CURSOS TIRO CON ARCO (TDA 2014-2015);26/05/2014;3.132,16;FEDERACIÓN ALAVESA DE TIRO CON ARCO
2014/CONASP0170;EJECUCION CURSOS DE TIRO NEUMATICO (TDA 2014-2015);26/05/2014;1.566,08;FEDERACIÓN ALAVESA DE TIRO OLÍMPICO
2014/CONASP0172;EJECUCION DE CURSOS DE SOFTENIS ((TDA 2014-2015);27/05/2014;7.047,36;ASOCIACIÓN CULTURAL DEPORTIVA VASCA SOFT TENIS
2014/CONASO0206;COORDINACIÓN Y ORGANIZACIÓN DEL MERCADO TEMÁTICO ZOCO ARABE EN LAS FIESTAS DE LA VIRGEN BLANCA;27/05/2014;;ACCION CALLE PRODUCCIONES TEATRALES
2014/CONASP0158;EJECUCION DE ACTIVIDADES SUBACUATICAS TEMPORADA 2014-2015;28/05/2014;5.452,64;FEDERACIÓN ALAVESA SUBACUÁTICAS
2014/CONASP0163;EJECUCION DE ACTIVIDADES DE BADMINTON TEMPORADA 2014-2015;28/05/2014;8.527,31;AITEKOMANAGEMENT, S.L.
2014/CONASP0166;SERVICIO DE EJECUCION DE CURSOS DE DEFENSA PERSONAL, KARATE Y TAEKWONDO TEMPORADA 2014-2015;28/05/2014;4.263,65;FITNESS GASTEIZ, S.L.
2014/CONASP0174;EJECUCION CURSOS DE PATINAJE SOBRE RUEDAS (TDA 2014-2015);28/05/2014;8.809,20;FEDERACIÓN ALAVESA DE PATINAJE
2014/CONASP0176;EJECUCION  DE ACTIVIDADES DE ESGRIMA (TDA 2014-2015);29/05/2014;3.456,00;FEDERACIÓN ALAVESA DE ESGRIMA
2014/CONASO0181;SUMINISTRO DE MOBILIARIO PARA PARQUE DE GAMARRA Y CD MENDIZORROTZA PARA VERANO 2014;30/05/2014;6.140,98;HOTEL-HOGAR SA
2014/CONASO0192;TRABAJOS PARA ORGANIZAR Y DINAMIZAR UNA JORNADA SOBRE LA PROMOCIÓN DEL USO DEL EUSKERA EN EL OCIO, TIEMPO LIBRE Y DEPOR TES;30/05/2014;5.000,00;TOPAGUNEA
2014/CONOOR0048;CREACION DE SALA DE DESCANSO PARA AULAS DE UN AÑO EN EMEI SANSOMENDI;30/05/2014;35.421,29;GILTEC ARQUITECTOS TÉCNICOS S.L.
2014/CONSOC0033;CONTRATO MENOR SUMINISTRO DE MOBILIARIO PARA EL CENTRO EDUCATIVO CANTON DE STA. MARIA;03/06/2014;1.929,43;MONTTE, S.L.
2014/CONASO0256;ESPECTÁCULO DE XABI ABURRUZAGA EN LA PLAZA DEL MACHETE EL DÍA 8 DE AGOSTO DE 2014;04/06/2014;3.100,00;TTAKUN KULTUR ELKARTEA
2014/CONASO0199;"TALLER FAMILIAR ""GURE ARTEAN ERE, EUSKER AZ""";06/06/2014;2.989,75;MADEGIN SERVICIOS Y PROYECTOS, S.L.
2014/CONASO0301;ALQUILER DE ESCENARIO PARA EL RECINTO DE TXOSNAK CON MOTIVO DE LAS FIESTAS DE LA VIRGEN BLANCA;06/06/2014;6.509,80;ETXEKIT, S.L.
2014/CONASO0302;ALQUILER, MONTAJE, PUESTA EN MARCHA Y UTILIZACIÓN DEL EQUIPO DE ILUMINACIÓN Y SONIDO PARA EL RECINTO DE TXOSNAK CON MOTIVO DE LAS FIESTAS DE VIRGEN BLANCA;06/06/2014;15.793,19;ALBOKA S. COOP.
2014/CONOOR0050;CREACION DE AULA DE CUNAS EN EMEI HAURTZARO;09/06/2014;29.359,40;GILTEC ARQUITECTOS TÉCNICOS S.L.
2014/CONOOR0044;OBRAS DE REFUERZO DEL FIRME EN LA CALLE LOS NOGALES;10/06/2014;32.465,63;YARRITU S.A.
2014/CONASP0154;SERVICIO PARA LA ORGANIZACION DE DIVER SAS ACTIVIDADES CON MOTIVO DE LA SEMANA EUROPEA DE LA MOVILIDAD SOSTENIBLE.;12/06/2014;19.965,00;PRISMA GLOBAL SERVICIOS Y PROYECTOS,S.L.
2014/CONOOR0053;TRABAJOS DE CIERRE DE DOS ESCALERAS DE EVACUACION CON SALIDA A PLAZA AMADEO GARCIA SALAZAR EN EL POLIDEPORTIVO DE MENDIZORROTZA (PRIMERA FASE);12/06/2014;44.356,34;EGAINOR ASESORES CONSTRUCTORES, S.L.
2014/CONOOR0058;PREPARACIÓN DEL COSO Y CORRALES PARA EVENTOS TAURINOS DE LA BLANCA 2014;17/06/2014;25.531,00;CONSTRUCCIONES AGUILLO S.A.
2014/CONASO0216;CONCIERTO DE THE SOULBREAKER COMPANY EN LA ZONA DE LA UNIVERSIDAD LA NOCHE DEL 7 AL 8 DE AGOSTO DE 2014;18/06/2014;3.160,00;ASOCIACIÓN MUSICAL THE SOULBREAKER COMPANY
2014/CONSOC0035;SUMINISTRO DE MATERIAL DE ILUMINACION EN PABELLONES URITIASOLO;18/06/2014;3.133,66;GUERIN S.A.U.
2014/CONSPE0036;PATROCINIO PUBLICITARIO CON LA EMPRESA EDITORIAL MIC PARA LA EDICIÓN DEL PROGRAMA OFICIAL DE FIESTAS DE AL VIRGEN BLANCA, AÑO 2014;18/06/2014;3.000,00;EDITORIAL MIC
2014/CONASO0255;CONCIERTO DE ZE ESATEK EN LA ZONA DE LA UNIVERSIDAD LA NOCHE DEL 8 AL 9 DE AGOSTO DE 2014;18/06/2014;4.235,00;ZE ESATEK SL
2014/CONASO0303;CONCIERTO DE ESNE BELTZA EN LA ZONA DE LA UNIVERSIDAD EL DÍA 6 DE AGOSTO DE 2014;18/06/2014;8.470,00;EZ DA ENTZUTEN SL
2014/CONASO0213;SERVICIO DE CONTROL DE ACCESO Y SEGURIDAD PARA LOS CONCIERTOS DE LA PLAZA DE LOS FUEROS DURANTE LAS FIESTAS DE LA BLANCA 2014;19/06/2014;9.075,00;AUXTEAM CODE SLU
2014/CONASO0213;SERVICIO DE CONTROL DE ACCESO Y SEGURIDAD PARA LOS CONCIERTOS DE LA PLAZA DE LOS FUEROS DURANTE LAS FIESTAS DE LA BLANCA 2015;19/06/2014;10.000,00;IREGUA PRODUCCIÓN Y CONTRATACIÓN DE ESPECTÁCULOS S.L.
2014/CONASO0233;CAMBIO DE LA HORNACINA DE LA VIRGEN BLANCA;19/06/2014;8.024,36;CRISTALERIA ARTAZA, S.L.
2014/CONASO0292;ALQUILER, COLOCACIÓN Y RETIRADA DE SILLAS Y COLOCACIÓN Y RETIRADA DE SOMBRILLAS PARA LOS EVENTOS CULTURALES DE LAS FIESTAS PATRONALES 2014;19/06/2014;6.413,00;LANKIDE, SERVICIOS EMPRESARIALES, S.L.
2014/CONASO0306;ALQUILER, ENTREGA, MOVIMIENTOS Y RECOGIDA DE VALLAS PARA LOS EVENTOS CULTURALES DE LAS FIESTAS DE VITORIA- GASTEIZ;19/06/2014;7.701,65;EVENTOKIT
2014/CONOOR0067;SUSTITUCION DE DUCHAS EN VESTUARIOS 3 Y 4 POR PRESTOS TEMPORIZADOS EN EL POLIDEPORTIVO ARRIAGA;23/06/2014;5.989,50;MANUEL Y JOSE LUIS S.C. FONTANERIA VARO
2014/CONOOR0068;APROBACIÓN DEL GASTO Y ABONO DE FACTURAS A EUSKALDUNAK SL POR REMODELACIÓN DE VAR IAS PARCELAS EN LA MANZANA 292 DEL CEMENTERIO DE EL SALVADOR;24/06/2014;1.875,50;EUSKALDUNAK, S.L.
2014/CONSOC0040;CONTRATO MENOR DE SUMINISTRO DE PAN Y DE HARINAS PARA CENTROS DEL DEPARTAMENTO DE ASUNTOS SOCIALES Y DE PERSONAS MAYORES;24/06/2014;16.000,00;OKINDEGI GOZOTEGI EL TALO S.L.
2014/CONASO0227;TALLER DE INICIACIÓN A LA HOSTELERÍA 2014, PERIODO: 22/09/14-23/12/2014;24/06/2014;15.287,20;IRSE-INSTITUTO DE REINTEGRACION SOCIAL DE ALAVA
2014/CONSOC0041;APROBACIÓN Y ADJUDICACIÓN DEL CONTRATO MENOR PARA ADQUISICIÓN Y MONTAJE DE EQUIPAMIENTO DE TAQULLAS PARA PERSONAL EN LA NUEVA ESTACIÓN DE AUTOBUSES;25/06/2014;3.782,24;TATEC STUDYBOOK SA
2014/CONSOC0042;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DEL CONTRATO MENOR PARA ADQUISICIÓN DE UN VEHÍCULO DE SEGUNDA MANO PARA EL SERVICIO DE POLICÍA LOCAL;25/06/2014;9.445,26;E. RENTING S.L.
2014/CONOOR0064;RECONVERSION DEL CENTRO DE SALUD LAKUA-ARRIAGA EN CENTRO SOCIOCULTURAL DE MAYORES -FASE 1-;26/06/2014;47.839,60;CONSTRUCCIONES SEGUROLA, S.A.
2014/CONOOR0065;RECONVERSION DEL CENTRO DE SALUD LAKUA-ARRIAGA EN CENTRO SOCIOCULTURAL DE MAYORES -FASE 2-;26/06/2014;47.955,53;ESCONSU S.L.
2014/CONOOR0066;RECONVERSION DEL CENTRO DE SALUD LAKUA-ARRIAGA EN CENTRO SOCIOCULTURAL DE MAYORES -FASE 3-;26/06/2014;42.909,38;CUBIERTAS GARCIA LAMEIRO S.L.
2014/CONASO0190;CONTRATACIÓN DE LA ASISTENCIA TÉCNICA PARA LA ORGANIZACIÓN DE LA JORNADA CENTROS DE EMPRESAS / COWORKING 2014 CONFINANCIADA AL 50% POR FSE EMPRESA L10;30/06/2014;7.700,00;PRISMA GLOBAL SERVICIOS Y PROYECTOS,S.L.
2014/CONOOR0075;TRABAJOS DE RENOVACIÓN DE ESPACIOS EN VIVIENDA FSI C/ FCO. JAVIER LANDABURU;01/07/2014;26.477,91;ERTZ 4, SL, PROYECTOS Y CONSTRUCCIONES
2014/CONAPR0235;DIRECCION DE OBRA PARA LA EJECUCION DE LAS OBRAS DE RECONVERSION DEL CENTRO DE SALUD DE LAKUA-ARRIAGA EN CENTRO SOCIOCULTURAL DE MAYORES;02/07/2014;9.861,50;MONTEJO FERNÁNDEZ JESÚS
2014/CONASO0293;ALQUILER, MONTAJE, PUESTA EN MARCHA Y UTILIZACIÓN DEL EQUIPO DE ILUMINACIÓN Y SONIDO ACTUACIONES EN LOS JARDINES DEL OBISPO FDZ. DE PIÉROLA;02/07/2014;7.139,00;SOINU ETA ARGIA, S.L. UNIPERSONAL
2014/CONASO0327;ALQUILER, MONTAJE, PUESTA EN MARCHA Y UTILIZACIÓN DEL EQUIPO DE ILUMINACIÓN Y SONIDO NECESARIO PARA ACTUACIONES EN LA PLAZA DE LA PROVINCIA EN FIESTAS;02/07/2014;4.567,75;ASIER ALVAREZ DE ARCAYA RUIZ DE EGUILAZ
2014/CONOOR0077;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DEL CONTRATO DE SUSTITUCIÓN DE ILUMINACIÓN MEJORANDO SU EFICIENCIA EN LA CASA CONSISTORIAL;07/07/2014;8.500,81;ALMACENES ELECTRICOS RAMIREZ, S.L.
2014/CONSOC0048;SUMINISTRO DE LUMINARIAS EN VESTUARIOS DE PISCINA EN EL CENTRO CIVICO LAKUA 03;07/07/2014;3.392,84;GUERIN S.A.U.
2014/CONSOC0037;DOTACIÓN DE UN SISTEMA DE VIDEOVIGILANCI VIDEOVIGILANCIA EN LA INSTALACIÓN DE LAS RAMPAS MECÁNICAS Y ASCENSOR DEL CANTÓN DEL SEMINARIO. COFINANCIADO FONDOS FEDE;08/07/2014;6.474,72;PCI CONSULTORES DE SEGURIDAD S.L.
2014/CONASO0248;LIMPIEZA DE CRISTALES DE DIFICIL ACCESO EN VARIOS EDIFICIOS MUNICIPALES;08/07/2014;629,20;LIMPIEZAS GUTIERREZ
2014/CONASO0305;ALQUILER, MONTAJE, PUESTA EN MARCHA Y UTILIZACIÓN DEL EQUIPO DE ILUMINACIÓN Y SONIDO PARA LA PLAZA DE LA VIRGEN BLANCA EN LAS FIESTAS DE LA VIRGEN BLANCA;08/07/2014;5.106,20;LIZARRALDE SOINUA - TXALAPARTA, S.L.
2014/CONASO0248;LIMPIEZA DE CRISTALES DE DIFICIL ACCESO EN VARIOS EDIFICIOS MUNICIPALES;09/07/2014;7.101,49;LIMPIEZAS EGUNON
2014/CONASO0261;"PATROCINIO PUBLICITARIO CON ""DE MILLE PRODUCCIONES AUDIOVISUALES, SL"" PARA LA GRABACION DE UN CAPÍTULO DE LA SERIE ""UN PAÍS PARA COMÉRSELO""";11/07/2014;10.890,00;DE MILLE PRODUCCIONES AUDIOVISUALES SL
2014/CONASO0262;ALQUILER, MONTAJE, PUESTA EN MARCHA Y UTILIZACIÓN DEL EQUIPO DE ILUMINACIÓN Y SONIDO NECESARIO PARA LAS ACTUACIONES PROGRAMADAS EN LA PLAZA DE ESPAÑA;11/07/2014;7.865,00;ABS ILUMINACION, S.L.
2014/CONOOR0059;OBRAS DE PAVIMENTACIÓN DE DOS CALLES EN LA ELM DE CASTILLO,DEL TÉRMINO MUNICIPAL DE VITORIA-GASTEIZ;16/07/2014;32.369,87;FIRMES ALAVESES, S.A.
2014/CONAEI0222;SERVICIO PARA LA ELABORACIÓN DE UN DIAG NOSTICO PREVIO A LA ELABORACIÓN DE LA ESTRATEGIA AGROALIMENTARIA DE V-G.;16/07/2014;11.897,00;GEA21 GRUPO DE ESTUDIOS Y ALTERNATIVAS
2014/CONOOR0070;OBRAS DE INSTALACIÓN ELÉCTRICA EN EL RECINTO DE LAS TXOSNAS DURANTE LAS FIESTAS DE VITORIA-GASTEIZ, AÑO 2014;16/07/2014;19.360,00;INSTALACIONES ELÉCTRICAS EKOARGI
2014/CONOOR0074;INSTALACIÓN ELÉCTRICA EN EL RECINTO DE BARRACAS DURANTE LAS FIESTAS DE VITORIA, AÑO 2014;16/07/2014;16.940,00;EKOARGI INSTALACIONES ELECTRICAS
2014/CONOOR0083;REPARACION DE COLECTOR DE SANEAMIENTO EN EL PATIO DE LA EI TXAGORRITXU;16/07/2014;2.481,76;OBRAS PUBLICAS ONAINDIA, S.A.
2014/CONOOR0087;PINTURA DEL RECINTO DE PISCINAS EN EL CENTRO CIVICO LAKUA 03;16/07/2014;37.555,86;PINTURAS GAVI R/ AITOR GARCIA VILAR
2014/CONOOR0089;REFORMA DE LA INSTALACION GENERAL DE AGUA EN EL CEP JUDIMENDI (INFANTIL + PRIMARIA);16/07/2014;14.281,70;LANCODEX S. COOP.
2014/CONASO0265;ESPECTÁCULO CONCURSO DJ CONTEST EL DÍA 31 DE JULIO EN LA PLAZA DEL ARCA;16/07/2014;5.000,00;UNIPREX, S.A.U
2014/CONASO0304;ESPECTÁCULO ITINERANTE OSOS DEL PIRINEO EL DÍA 9 DE AGOSTO DE 2014 DENTRO DE LA PROGRAMACIÓN DE LAS FIESTAS DE LA BLANCA;16/07/2014;5.566,00;TUTATIS PRODUCCIONES TEATRALES SL
2014/CONOOR0076;OBRAS DE DERRIBO DE PABELLÓN EN CALLE CENDAGUREN;17/07/2014;36.438,80;DERRIBO Y DESESCOMBROS, S.L.
2014/CONAEI0214;ESTUDIO SOBRE EL IMPACTO DE LA CRISIS EN LOS ÁMBITOS TERRITORIAL, SECTORIAL Y SOCIAL. ESTABLECIMIENTO DE OBJETIVOS ESTRATÉGICOS DE PROMOCIÓN ECONÓMICA;21/07/2014;17.787,00;INFORMACIÓN Y DESARROLLO S.L. (INFYDE)
2014/CONASO0219;FORMACIÓN EN EL ÁMBITO DE LAS HABILIDADES PERSONALES PARA EMPRENDER COFINANCIADO POR LANBIDE DENTRO DEL PLAN DE EMPLEO COMARCAL.;21/07/2014;4.200,00;LABEAGA ALVAREZ DE EULATE ALFONSO
2014/CONASO0220;IMPARTICIÓN DE FORMACIÓN EN EL ÁMBITO DE LAS FINANZAS PRÁCTICAS PARA LAS NUEVAS EMPRESAS. COFINANCIADO POR LANBIDE DENTRO DEL PLAN DE EMPLEO COMARCAL.;21/07/2014;3.600,00;CONSULTORIA TECNOLOGICA PARA EL COMERCIO S.L. (CONSULTEC )
2014/CONOUR0071;OBRAS DE FRESADO,SANEADO Y REPINTADO DE MARCAS VIALES EN LA CIUDAD DE VITORIA-GASTEIZ (AÑO 2014);21/07/2014;30.824,99;PINTURAS DIAZ E HIJOS, S.L.
2014/CONASO0221;IMPARTICIÓN DE FORMACIÓN EN EL ÁMBITO DE LAS OBLIGACIONES LEGALES DE LA NUEVA EMPRESA. CONFINANCIADO POR LANBIDE DENTRO DEL PLAN DE EMPLEO COMARCAL;22/07/2014;4.200,00;BULTZ-LAN CONSULTING
2014/CONASO0229;ESTUDIO DE ACTUALIZACIÓN DEL SISTEMA OPERATIVO DEL PUESTO CLIENTE EN LA RED CORPORATIVA DEL AYUNTAMIENTO DE VITORIA- GASTEIZ;22/07/2014;19.990,00;DERTEN SISTEMAS, S.A.
2014/CONSOC0053;SUMINISTRO DE COLCHONETAS PARA BAÑERA GERIATRICA EN EL CIAM SAN PRUDENCIO;24/07/2014;1.854,93;ORTOPEDIA FARIÑA
2014/CONAEI0275;CONTRATACION ASISTENCIA TECNICA PARA LA ELABORACION DE GUIA DE PROGRAMAS Y SERVICIOS DESTINADOS A LA INFANCIA Y ADOLESCENCIA DE VITORIA-GASTEIZ;24/07/2014;12.100,00;TORRENE CONSULTING S.L.
2014/CONAPR0276;REDACCION DE PROYECTO DE EJECUCION Y DIRECCION DE OBRA DE LOS TRABAJOS DE REMODELACION DE LA SALA DE CALDERAS EN LAS INSTALACIONES DE BETOÑO;24/07/2014;3.085,50;F&M ENERGIA SCOOP PEQUEÑA
2014/CONASO0280;LIMPIEZA DE PATIOS DE CENTROS ESCOLARES EN VARIOS EDIFICIOS;24/07/2014;9.500,00;CONTENEDORES ESCOR S.L.
2014/CONAPR0224;REDACCIÓN Y DIRECCIÓN DEL PROYECTO DE URBANIZACIÓN DEL CAÑO MUNICIPAL DE LA MANZANA J (TRAMO SUR) DENTRO DEL CASCO MEDIEVAL. COFINANCIADO FONDOS FEDER;28/07/2014;7.900,00;IGNACIO ORMAZÁBAL OCHOA DE CHINCHETRU
2014/CONASO0239;"IMPARTICION DEL MODULO ""FORMACIÓN BASICA COMO COMPLEMENTO A LA ACCION ""AUXILIAR DE INSTALACIONES DE BAJA TENSIÓN"", SE SOLICITARA FINANCIACION AL FSE 2014-2020";29/07/2014;9.930,20;IRSE-INSTITUTO DE REINTEGRACION SOCIAL DE ALAVA
2014/CONSOC0047;SUMINISTRO DE ROUTERS 3G PARA LA TELEGESTIÓN DE FRÍO CALOR;29/07/2014;121,00;TELEFONICA DE ESPAÑA, S.A.
2014/CONASO0245;"CONTRATACIÓN DE LA IMPARTICIÓN DEL MODULO DE ""LOGISTICA EN EL MONTAJE DE MUEBLES"" DEL PROGRAMA DE FORMACIÓN ""MON- TAJE DE MUEBLES Y ELEMENTOS CARPINTERIA""";29/07/2014;3.626,00;EULEN S.A.
2014/CONASO0274;CONTRATACION DE EJECUCION DE PROYECTO DE PREVENCION SECUNDARIA DE VIOLENCIA FILIO -PARENTAL PARA EL AÑO 2014;29/07/2014;12.384,00;UNIVERSIDAD DEL PAIS VASCO
2014/CONSOC0055;ADQUISICIÓN DE HORNO DE CERÁMICA PARA EL CENTRO CÍVICO IPARRALDE;29/07/2014;3.875,87;HORNOS DEL VALLES, S.A.
2014/CONOOR0094;MODIFICACION DEL PARQUE DE JUEGOS EN EL PATIO DEL CEP TOKI EDER (PRIMARIA);06/08/2014;19.582,50;OBRERA HEMARVA DE LA CONSTRUCCION S.COOP LTDA.
2014/CONOOR0095;PINTURA DE PAREDES EN RECINTO DE PISCINA EN POLIDEPORTIVO DE ABETXUKO;07/08/2014;9.091,29;PINTURAS GALVAN DANIEL GALVAN GONZALEZ
2014/CONOOR0096;SUSTITUCION DE MEDIAS CAÑAS DE VESTUARIOS DE PISCINAS EN CENTRO CIVICO HEGOALDE;07/08/2014;7.477,80;MANPROL GESTION S.L.U.
2014/CONAEI0258;ESTUDIO DE LA SITUACIÓN DEL VISÓN EUROPE O Y VISÓN AMERICANO DENTRO EN LOS ESPACI OS DE LA RED NATURA 2000 DE SALBURUA Y RIO ZADORA. MUNICIPIO DE VITORIA-GASTEI;08/08/2014;6.400,00;ASOCIACION VISÓN EUROPEO-UNIVERSIDAD DE BARCELONA-DPTO.DE BIOLOGÍA ANIMAL
2014/CONASP0260;CARACTERIZACIÓN DE LAS POBLACIONES DE GALÁPAGOS AUTÓCTONOS Y CONTROL DE LAS POBLACIONES DE GALÁPAGOS EXÓTICOS DE LA RED NATURA 2000 DE SALBURUA Y ZADORRA;08/08/2014;6.292,00;BOLUE INGURUMEN IKERKETAK XABIER BUENETXEA ARAGÜÉS
2014/CONOOR0088;OBRAS DE CREACIÓN DE UN CARRIL BICI EN EL PORTAL DE LEGUTIANO, EN VITORIA- GASTEIZ;08/08/2014;27.291,53;OBRERA HEMARVA DE LA CONSTRUCCION S.COOP LTDA.
2014/CONASO0284; DESARROLLO, IMPLANTACIÓN Y MANTENIMIENTO DE UN ESPACIO WEB PARA EL GASTEIZ KAFE ANTZOKIA.;08/08/2014;16.928,00;DI-DA KOOPERATIVA ELKARTEA / DI-DA SOCIEDAD COOPERATIVA
2014/CONSOC0049;SUMINISTRO E INSTALACIÓN DE SEÑALIZACIÓN BÁSICA DEL CERRO DE JÚNDIZ, EN EL TÉRMINO MUNICIPAL DE VITORIA-GASTEIZ;25/08/2014;14.340,00;SERVICIOS AGROFORESTALES EURIA S.L.
2014/CONOOR0098;TRABAJOS DE MODERNIZACION DEL SISTEMA DE DETECCION DE INCENDIOS EN OFICINAS DEL AYUNTAMIENTO EN PLAZA DE ESPAÑA;28/08/2014;11.889,46;ELDUR MANTENIMIENTO S.L.L.
2014/CONSOC0039;SUMINISTRO DE UN CAÑON DE PROYECCIÓN PARA EL PALACIO DE CONGRESOS EUROPA;01/09/2014;15.832,85;INSTALACIONES REG, S.L.
2014/CONASO0241;"CONTRATACIÓN PARA LA IMPARTICIÓN DEL PRO GRAMA FORMATIVO ""SISTEMAS DE GESTIÓN ME- DIOAMBIENTAL"" PRESENTADO A COFINANCIACIO CIÓN A TRAVÉS DEL DECRETO 327/2003";10/09/2014;15.200,00;PREOCA, S.C.
