Ajuntament de Lleida. Pressupost de despeses per partides 2014. Classificació orgànica-econòmica;;
;;
 Partida;Denominació;Import € 
5.231.022.101;SUBMINISTRAMENT D'AIGUA;6.110,43
5.232.222.101;SUBMINISTRAMENT D'AIGUA;1.485,21
5.232.322.101;SUBMINISTRAMENT AIGUA;34,81
5.924.022.101;SUBMINISTRAMENT AIGUA;4.942,80
5.231.022.102;GAS;47.814,55
5.232.322.102;GAS;2.036,40
5.924.022.102;SUBMINISTRAMENT GAS;68.918,00
5.164.022.103;COMBUSTIBLES I CARBURANTS;1.794,98
5.924.022.103;COMBUSTIBLES I CARBURANTS;36.714,45
5.231.022.105;SUBMINISTRAMENT ALIMENTS;295.243,00
5.313.022.105;SUBMINISTRAMENT ALIMENTS;28.550,00
5.232.322.109;SUBMINISTRAMENT D'ALTRE MATERIAL TECNIC;1.070,45
5.924.022.109;SUBMINISTRAMENT ALTRE MATERIAL TECNIC;1.852,35
5.231.022.199;SUBMINISTRAMENT ALTRE MATERIAL TECNIC;13.915,90
5.232.222.199;SUBMINISTRAMENT ALTRE MATERIAL TECNIC;1.500,00
5.313.022.199;ALTRES SUBMINISTRAMENTS;4.699,91
5.231.022.299;ALTRES DESPESES DE COMUNICACIONS;1.284,54
5.232.222.299;DESPESES DE COMUNICACIONS;5.507,41
5.231.022.300;SERVEI DE TRANSPORT;6.152,01
5.924.022.601;ATENCIONS PROTOCOLARIES I REPRESENTATIVES;299,42
5.924.022.602;DESPESES DE COORDINACIÓ DE BARRIS;6.000,00
5.232.222.606;SEMINARIS I CONFERENCIES;1.163,54
5.164.022.699;ALTRES DESPESES DE FUNCIONAMENT;327,34
5.231.022.699;ALTRES DESPESES DE FUNCIONAMENT;32.114,39
5.232.222.699;ALTRES DESPESES DE FUNCIONAMENT;63.568,00
5.232.322.699;ALTRES DESPESES DE FUNCIONAMENT;35.789,62
5.313.022.699;ALTRES DESPESES DE FUNCIONAMENT;10.068,47
5.924.022.699;DESPESES DIVERSES;8.991,81
5.164.022.700;NETEGES;9.991,92
5.231.022.700;NETEGES;142.800,00
5.232.222.700;NETEGES;15.409,14
5.232.322.700;NETEJA;4.367,64
5.313.022.700;NETEGES;2.070,60
5.924.022.700;NETEGES;218.007,66
5.231.022.706;CONTRACTES SOCIALS PER INSPECCIONS TÈCNIQUES;50.000,00
5.232.322.706;ESTUDIS I TREBALLS TÈCNICS;1.926,82
5.924.022.706;ESTUDIS I TREBALLS TECNICS;3.664,37
5.164.022.799;TREBALL REALITZATS PER EMPRESES I PROFESSONALS;617,45
5.231.022.799;ALTRES CONTRACTES PRESTACIO SERVEIS;2.655.374,00
5.232.222.799;ALTRES CONTRACTES DE PRESTACIO DE SERVEIS;23.000,00
5.232.322.799;ALTRES CONTRACTES DE PRESTACIO DE SERVEIS;61.214,00
5.924.022.799;ALTRES CONTRACTES DE PRESTACIO DE SERVEIS;1.018,48
5.231.023.020;DIETES DEL PERSONAL;3.382,79
5.232.223.020;DIETES DEL PERSONAL;349,06
5.232.323.020;DIETES DEL PERSONAL;709,76
5.313.023.020;DIETES DEL PERSONAL;449,9
5.924.023.020;DIETES DEL PERSONAL;555,39
;Total capítol 2;4.949.240,46
;;
;Capítol 4. Transferències corrents;
5.241.041.000;TRANSF.CORRENT INST.MUNICIPAL OCUPACIÓ;2.324.946,00
5.241.046.701;TRANSFERÈNCIA GLOBAL LLEIDA;250.000,00
5.231.048.001;ATENCIONS BENEFIQUES I ASSIST. A FAMILIES;341.132,00
5.231.048.100;PREMIS I BEQUES;600
5.232.248.100;PREMIS I BEQUES;1.064,25
5.232.348.100;PREMIS I BEQUES;6.981,22
5.924.048.100;PREMIS I BEQUES;899,03
5.231.048.900;SUBVENCIONS SOCIALS EN INSPECCIONS TÈCNIQUES I ASCENSORS;100.000,00
5.231.048.901;ALTRES TRANSF. A ENS SENSE LUCRE;180.000,00
5.232.248.901;ALTRES TRANSF. A ENS SENSE LUCRE;8.460,00
5.232.348.901;ALTRES TRANSF. A ENS SENSE LUCRE;36.495,00
5.313.048.901;ALTRES TRANSF. A ENS SENSE LUCRE;5.373,00
5.924.048.901;ALTRES TRANSF. A ENS SENSE LUCRE;156.811,00
5.231.048.902;SUBVENCIONS SOCIALS LLEGAT GARROFÉ;38.823,00
5.313.048.902;TRANSFERÈNCIA CÀTEDRA POLÍTIQUES PÚBLIQUES JOHN HOPKINS-UdL;15.000,00
5.231.048.903;TRANSFERÈNCIA CÀTEDRA INNOVACIÓ SOCIAL - UdL;15.000,00
5.232.349.000;TRANSFERENCIES A L'EXTERIOR;175.671,57
;Total capítol 4;3.657.256,07
;;
;Capítol 8. Actius financers;
5.232.483.100;MICROCREDITS;300.000,00
5.232.283.103;MICROCRÈDITS PER EMPRENEDORIA JUVENIL;150.000,00
5.232.283.104;MICROCRÈDITS PACTE PER L'OCUPACIÓ;150.000,00
;Total capítol 8;600.000,00
;;
;Total orgànica 05;14.484.264,32
;;
;;
;;
;Orgànica 06. CULTURA, EDUCACIÓ I ESPORTS;
;;
;Capítol 1. Despeses de personal;
6.333.011.000;RETRIB.BASIQUES PERSONAL EVENTUAL ASSESSOR;33.870,00
6.335.011.000;RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL;31.529,86
6.333.011.001;RETRIBUCIONS COMPLEMENTÀRIES PERSONAL EVENTUAL;61.678,63
6.335.011.001;ALTRES REMUNERAC. PERSONAL EVENTUAL ASSESSOR;65.196,13
6.320.012.000;SOUS GRUP A1 PERSONAL FUNCIONARI;599.323,90
6.330.012.000;SOUS DEL GRUP A1;88.063,92
6.333.012.000;RETRIBUCIONS BÀSIQUES PERSONAL FUNCIONARI GRUP A1;88.063,92
6.335.012.000;RETRIBUCIONS BÀSIQUES FUNCIONARIS GRUP A1;29.354,64
6.338.012.000;RETRIBUCIONS BÀSIQUES FUNCIONARIS GRUP A1;14.677,32
6.320.012.001;SOUS GRUP A2 PERSONAL FUNCIONARI;1.176.644,41
6.330.012.001;SOUS DEL GRUP A2;38.719,56
6.333.012.001;SOUS GRUPS A2 PERSONAL FUNCIONARI;64.532,60
6.340.012.001;SOUS DEL GRUP A1;1.075,55
6.320.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;650.751,97
6.330.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;29.780,05
6.338.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;19.769,68
6.320.012.004;SOUS GRUP C2 PERSONAL FUNCIONARI;8.378,58
6.330.012.004;SOUS GRUP C2 PERSONAL FUNCIONARI;16.757,16
6.340.012.004;SOUS GRUP C2;8.378,58
6.320.012.005;SOUS GRUP E PERSONAL FUNCIONARI;250.193,74
6.330.012.005;SOUS DEL GRUP E;15.357,16
6.320.012.006;TRIENNIS;401.941,53
6.330.012.006;TRIENNIS;41.100,35
6.333.012.006;TRIENNIS PERSONAL FUNCIONARI;14.161,18
6.335.012.006;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;2.257,68
6.338.012.006;TRIENNIS PERSONAL FUNCIONARI;2.573,56
6.340.012.006;TRIENNIS;750,78
6.320.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;1.568.217,30
6.330.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;114.461,16
6.333.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;88.132,38
6.335.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;16.321,76
6.338.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;21.414,68
6.340.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;7.712,45
6.320.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;2.418.103,04
6.330.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;194.993,00
6.333.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;100.638,27
6.335.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;14.683,80
6.338.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;53.495,60
6.340.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;7.512,72
6.320.013.000;RETRIB. BASIQUES PERSONAL LABORAL;26.375,60
6.323.013.000;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX;196.623,04
6.330.013.000;RETRIBUCIONS BASIQUES LABORAL FIX;19.290,36
6.333.013.000;RETRIB. BAS. LABORAL FIXES;9.880,14
6.335.013.000;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;46.456,28
6.340.013.000;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL;126.215,31
6.341.013.000;RETRIBUCIONS BÀSIQUES ALTRE PERSONAL;105.449,56
6.342.013.000;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL;180.583,68
6.320.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;32.913,03
6.323.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;247.077,11
6.330.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;24.739,58
6.333.013.002;RET. COMPLEM. LABORAL FIXES;12.662,24
6.335.013.002;RETRIBUCIONS COMPLEMENT. PERSONAL LABORAL;86.142,93
6.340.013.002;ALTRES REMUNERACIONS.;151.459,87
6.342.013.002;ALTRES REMUNERACIONS;421.013,89
6.320.013.100;RETRIBUCIONS BASIQUES PERSONAL LABORAL EVENTUAL;38.644,46
6.323.013.100;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL TEMPORAL;76.595,55
6.335.013.100;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL EVENTUAL;9.884,84
6.340.013.100;RETRIBUCIONS BÀSIQUES LABORAL TEMPORAL;10.968,38
6.342.013.100;RETRIBUCIONS BÀSIQUES LAB. TEMPORAL;93.665,94
6.320.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;25.639,17
6.323.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;95.553,38
6.335.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;10.454,66
6.340.013.102;ALTRES REMUNERACIONS LABORAL TEMPORAL;7.806,84
6.342.013.102;ALTRES REMUNERACIONS PERSONAL EVENTUAL;81.275,99
6.920.015.000;PRODUCTIVITAT;133.574,52
6.221.016.400;COMPLEMENT FAMILIAR;9.240,02
;Total capítol 1;10.640.754,97
;;
;Capítol 2. Despeses corrents en béns i serveis;
6.340.020.200;LLOGUER D'IMMOBLES;646.193,00
6.320.020.300;LLOGUER MAQUINÀRIA I UTILLATGE;2.354,22
6.323.020.300;LLOGUER MAQUINÀRIA I UTILLATGE;900,58
6.340.020.600;LLOGUER D'EQUIPS D'INFORMACIÓ;886
6.320.021.200;MANTENIMENT EDIFICIS;10.449,90
6.321.021.200;MANTENIMENT EDIFICIS;626.713,50
6.323.021.200;MANTENIMENT EDIFICIS;7.815,24
6.330.021.200;MANTENIMENT EDIFICIS OFICIALS;19.890,00
6.333.021.200;REPARACIÓ I MANTENIMENT D'EDIFICIS;51.000,00
6.335.021.200;REPARACIÓ I MANTENIMENT D'EDIFICIS;25.500,00
6.335.121.200;MANTENIMENT D'EDIFICIS;38.760,00
6.341.021.200;INFRAESTRUCTURA;5.000,00
6.342.021.200;MANTENIMENT D'EDIFICIS D'ESPORTS;30.000,00
6.320.021.300;MANTENIMENT DE MAQUINARIA;232,71
6.323.021.300;MANTENIMENT MAQUINARIA;1.085,97
6.320.021.600;MANTENIMENT D'EQUIPS INFORMÀTICS;2.559,78
6.323.021.600;MANTENIMENT EQUIPS INFORMATICS;3.723,32
6.330.021.600;MANTENIMENT EQUIPS INFORMATICS;795,08
6.340.021.600;REPARACIÓ I MANTENIMENT EQUIPS INFORMACIÓ;2.400,00
6.320.022.100;SUBMINISTRAMENT ENERGIA ELÈCTRICA;16.320,00
6.321.022.100;SUBMINISTRAMENT ENERGIA ELECTRICA;504.395,78
6.323.022.100;SUBMINISTRAMENT ENERGIA ELECTRICA;1.400,16
6.330.022.100;SUBMINISTRAMENT ENERGIA ELECTRICA;27.933,18
6.333.022.100;SUBMINISTRAMENT ENERGIA ELÈCTRICA;112.172,48
6.335.022.100;SUBMINISTRAMENT ENERGIA ELÈCTRICA;71.746,10
6.335.122.100;SUBMINISTRAMENT ENERGIA ELÈCTRICA;81.064,62
6.342.022.100;SUBMINISTRAMENT ENERGIA ELECTRICA;300.000,00
6.321.022.101;SUBMINISTRAMENT AIGUA;107.099,77
6.330.022.101;SUBMINISTRAMENT AIGUA;451,29
6.333.022.101;AIGUA;1.023,13
6.335.022.101;AIGUA;2.565,32
6.335.122.101;AIGUA;271,86
6.342.022.101;SUBMINISTRAMENT D'AIGUA;17.750,00
6.321.022.102;SUBMINISTRAMENT GAS;266.130,77
6.333.022.102;GAS;8.425,08
6.335.022.102;GAS;22.866,14
6.335.122.102;GAS;13.286,90
6.342.022.102;SUBMINISTRAMENT DE GAS;200.000,00
6.321.022.103;COMBUSTIBLES I CARBURANTS;238.978,85
6.342.022.104;VESTUARI;4.968,00
6.341.022.105;MENJADOR ESPORTMANIA;30.000,00
6.323.022.110;PRODUCTES NETEJA;387,85
6.342.022.110;PRODUCTES DE NETEJA;4.893,84
6.232.122.199;ALTRES SUBMINISTRAMENTS;3.772,96
6.320.022.199;SUBMINISTRAMENT ALTRE MATERIAL TÈCNIC;698,12
6.321.022.199;SUBMINISTRAMENT ALTRE MATERIAL TECNIC;5.800,00
6.323.022.199;ALTRES SUBMINISTRAMENTS;12.422,00
6.330.022.199;ALTRES SUBMINISTRAMENTS;366,9
6.333.022.199;SUBMINISTRAMENTS, ALTRE MATERIAL TÈCNIC I ESPECIAL;3.058,00
6.335.022.199;SUBMINISTRAMENTS, ALTRE MATERIAL TÈCNIC I ESPECIAL;3.670,57
6.335.122.199;SUBMINISTRAMENTS, ALTRE MATERIAL TÈCNIC I ESPECIAL;5.505,00
6.341.022.199;ALTRES SUBMINISTRAMENTS;2.366,00
6.342.022.199;SUBMINISTRAMENTS I ALTRE MATERIAL TÈCNIC;1.223,27
6.330.022.200;SERVEIS DE TELECOMUNICACIONS;7.952,39
6.335.122.200;SERVEIS DE TELECOMUNICACIONS;917
6.340.022.200;SERVEIS DE TELECOMUNICACIONS;2.366,00
6.342.022.200;SERVEI DE TELECOMUNICACIONS;4.281,82
6.320.022.299;DESPESES DE COMUNICACIÓ;193,92
6.232.122.300;SERVEI DE TRANSPORT;612,02
6.330.022.602;DESPESES DIVERSES DE DIVULGACIO;30.000,00
6.340.022.602;DESPESES DE DIVULGACIÓ;1.000,00
6.333.022.608;DESPESES DIVERSES MUSEUS;205.800,00
6.334.122.608;ACTIVITATS LITERÀRIES;29.966,00
6.335.022.608;PROMOCIÓ ACTIVITATS DIVERSES ARTS ESCÈNIQUES;119.800,00
6.335.122.608;ACTIVITATS DIVERSES MUSICALS;158.940,00
6.338.022.608;FESTES POPULARS;503.160,00
6.330.022.609;DESPESES DIVERSES PREMI RICARD VINYES;23.184,00
6.232.122.699;ALTRES DESPESE DIVERSES;1.734,45
6.320.022.699;ALTRES DESPESES DE FUNCIONAMENT;4.382,66
6.323.022.699;ALTRES DESPESES DE FUNCIONAMENT;6.900,00
6.330.022.699;ALTRES DESPESES DE FUNCIONAMENT;8.074,17
6.335.022.699;ALTRES DESPESES DIVERSES DE FUNCIONAMENT;95.000,00
6.340.022.699;ALTRES DESPESES DE FUNCIONAMENT;88.500,00
6.341.022.699;ALTRES DESPESES DIVERSES;21.607,00
6.342.022.699;ALTRES DESPESES DIVERSES;1.540,91
6.320.022.700;NETEGES;34.935,00
6.321.022.700;NETEGES;1.709.028,36
6.323.022.700;NETEGES;68.850,00
6.330.022.700;NETEJA;33.660,00
6.333.022.700;NETEJA;26.520,00
6.335.022.700;NETEJA;51.000,00
6.335.122.700;NETEJA;41.820,00
6.342.022.700;NETEJA;600
6.320.022.709;CONCESSIÓ D'OBRA PÚBLICA;1.785.088,93
6.232.122.799;TREBALLS REALITZATS PER EMPRESES;163.578,00
6.321.022.799;ALTRES TREBALLS REALITZATS PER ALTRES EMPRESES I PROF.;427.400,00
6.323.022.799;ALTRES TREBALLS REALITZATS PER ALTRES EMPRESES I PROF.;212.160,00
6.324.022.799;ALTRES TREBALLS REALITZATS PER ALTRES EMPRESES I PROF.;55.000,00
6.330.022.799;ALTRES TREBALLS REALITZATS PER ALTRES EMPRESES I PROF.;388.980,00
6.333.022.799;ALTRES CONTRACTES DE PRESTACIÓ DE SERVEIS;7.707,00
6.335.022.799;ALTRES CONTRACTES;80.000,00
6.335.122.799;ALTRES TREBALLS REALITZATS PER ALTRES EMPRESES I PROFES.;18.351,30
6.338.022.799;ALTRES CONTRACTES DE PRESTACIÓ DE SERVEIS;6.850,90
6.340.022.799;ALTRES TREBALLS REALITZATS PER ALTRES EMPRESES I PROF.;7.677,00
6.342.022.799;ALTRES TREBALLS REALITZATS PER ALTRES EMPRESES I PROFES.;137.585,00
6.320.023.020;DIETES DEL PERSONAL;1.560,00
6.330.023.020;DIETES DEL PERSONAL;3.420,62
6.333.023.020;DIETES DEL PERSONAL;826
6.335.023.020;DIETES DEL PERSONAL;612,02
6.335.123.020;DIETES DEL PERSONAL;366
6.338.023.020;DIETES DEL PERSONAL;305,62
6.340.023.020;DIETES DEL PERSONAL;341,3
6.232.124.000;PUBLICACIONS;1.101,48
6.320.024.000;DIVULGACIÓ OME;387,85
6.323.024.000;PUBLICACIONS;775,69
;Total capítol 2;10.131.673,65
;;
;Capítol 4. Transferències corrents;
6.323.046.700;APORTACIÓ CONSORCI NORMALITZACIÓ LINGÜÍSTICA;42.517,19
6.330.046.700;TRANSFERÈNCIA CONSORCI MUSEU DIOCESÀ;196.834,00
6.330.046.701;TRANSFERÈNCIA CONSORCI SEU VELLA;140.000,00
6.321.048.100;PREMIS I BEQUES-BEQUES ESCOLA;10.653,34
6.323.048.100;PREMIS I BEQUES;12.500,00
6.324.048.100;PREMIS;24.000,00
6.330.048.100;PREMIS I BEQUES;14.424,00
6.334.148.100;PREMIS LITERARIS;7.500,00
6.323.048.204;ALTRES TRANSFERÈNCIES A ENS SENSE FI DE LUCRE;23.658,00
6.334.048.900;ALTRES TRANSFERÈNCIES A ENTITATS;47.315,00
6.335.148.900;ALTRES TRANSFERÈNCIES A ENTITATS;54.464,00
6.232.148.901;ALTRES TRANSFERENCIES A ENS SENSE LUCRE;2.614,86
6.330.048.901;ALTRES TRANSFERÈNCIES CERCLE DE BELLES ARTS;7.912,00
6.335.048.901;CONVENI CENTRE DE TITELLES DE LLEIDA;35.486,00
6.335.148.901;CONVENI BANDA MUNICIPAL DE LLEIDA;25.235,00
6.338.048.901;CONVENI FECOLL;35.486,00
6.340.048.901;ALTRES TRANSFERÈNCIES A ENS SENSE ÀNIM LUCRE;1.310.000,00
6.335.048.902;CONVENI CENTRE CULTURAL LLEIDATÀ DE DANSAIRES;8.872,00
6.335.148.902;CONVENI COR DE CAMBRA DE L'AUDITORI ENRIC GRANADOS;6.309,00
6.335.048.904;CONVENI CENTRO LATINOAMERICANO DE LLEIDA;31.543,00
6.335.148.904;CONVENI ORQUESTRA JULIÀ CARBONELL;157.717,00
6.335.048.907;FUNDACIÓ LA LLOTJA;270.000,00
;Total capítol 4;2.465.040,39
;;
;Capítol 8. Actius financers;
6.323.083.102;MICROCRÈDITS PER IDIOMES;12.000,00
;Total capítol 8;12.000,00
;;
;Total orgànica 06;23.249.469,01
;;
;;
;;
;Orgànica 07. PROMOCIÓ ECONÒMICA, INDUSTRIAL, COMERCIAL I TURÍSTICA;
;;
;Capítol 1. Despeses de personal;
7.431.011.000;RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL;15.806,16
7.431.011.001;RETRIBUCIONS COMPLEMENTÀRIES EVENTUALS;44.512,81
7.431.012.000;RETRIB. BÀSIQUES GRUP A1;14.677,32
7.493.012.000;RETRIB. BÀSIQUES GRUP A1;14.677,32
7.431.012.001;RETRIB. BÀSIQUES GRUP A2;25.813,04
7.493.012.003;RETIBUCIONS BASIQUES GRUP C1;9.884,84
7.431.012.004;RETRIB. BÀSIQUES GRUP C2;25.135,74
7.431.012.005;RETRIB. BÀSIQUES GRUP E;15.357,16
7.431.012.006;TRIENNIS;13.549,12
7.493.012.006;TRIENNIS;5.924,60
7.431.012.100;COMPLEMENT DE DESTINACIÓ;47.557,86
7.493.012.100;COMPLEMENT DE DESTINACIÓ;14.787,78
7.431.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;89.101,76
7.493.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;40.219,59
7.431.013.000;RETRIB. BÀSIQUES PERSONAL LABORAL FIX;35.806,06
7.431.013.002;ALTRES REMUNERACIONS;52.299,30
7.431.013.100;RETRIB. BÀSIQUES PERSONAL TEMPORAL;34.243,47
7.431.013.102;ALTRES REMUNERACIONS LABORALS TEMPORALS;33.592,51
7.920.015.000;GRATIFICACIONS;6.657,92
;Total capítol 1;539.604,36
;;
;Capítol 2. Despeses corrents en béns i serveis;
7.431.020.200;LLOGUERS IMMOBLES;30.500,00
7.431.020.601;LLOGUERS EQUIPS INFORMÀTICS;1.300,00
7.431.021.200;MANTENIMENT EDIFICIS I ALTRES CONSTRUCCIONS;62.880,00
7.431.021.300;MANTENIMENT MAQUINARIA I UTILLATGE;4.000,00
7.431.022.100;SUBMINISTRAMENT ENERGIA ELÈCTRICA;65.270,67
7.431.022.101;AIGUA;2.000,00
7.431.022.103;COMBUSTIBLES I CARBURANTS;1.700,00
7.431.022.199;ALTRES SUBMINISTRAMENTS;2.000,00
7.431.022.699;ALTRES DESPESES FUNCIONAMENT MERCATS;5.000,00
7.493.022.699;ALTRES DESPESES FUNCIONAMENT CONSUM;6.000,00
7.431.022.700;NETEJA;15.000,00
7.431.022.701;SEGURETAT;31.543,00
7.493.022.702;VALORACIONS I PERITATGES DE CONSUM;305,62
7.431.022.799;ALTRES TREBALLS REALITZATS PER EMPRESES I PROF.;115.600,00
7.431.023.300;ALTRES INDEMNITZACIONS PER RAÓ DEL SERVEI;1.100,71
7.493.023.300;ALTRES INDEMNITZACIONS;305,62
;Total capítol 2;344.505,62
;;
;Capítol 4. Transferències corrents;
7.432.041.000;TRANSF.CORRENT PATRONAT MUN.TURISME;784.924,00
7.432.041.001;TRANSFERÈNCIA CORRENT PER IMPOST TURÍSTIC;60.000,00
7.432.044.900;TRANSFERÈNCIA CORRENT CNC;800.000,00
7.433.046.700;APORTACIÓ CONSORCI PROMOCIÓ ECONÒMICA;397.678,00
7.431.048.000;TRANSFER. A ENTITATS SENSE LUCRE;46.840,00
7.439.048.200;TRANSFERÈNCIES A ENS SENSE FI DE LUCRE;47.286,14
;Total capítol 4;2.136.728,14
;;
;Capítol 7. Transferències de capital;
7.432.071.000;TRANSFERÈNCIES DE CAPITAL TURISME DE LLEIDA;18.000,00
;Total capítol 7;18.000,00
;;
;Total orgànica 07;3.038.838,12
;;
;;
;;
;Orgànica 12. MEDI AMBIENT;
;;
;Capítol 1. Despeses de personal;
12.170.012.000;SOUS DEL GRUP A1;44.031,96
12.171.012.000;SOUS DEL GRUP A1;14.677,32
12.170.012.001;SOUS GRUP A2 PERSONAL FUNCIONARI;51.626,08
12.170.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;29.654,52
12.171.012.003;SOUS GRUP C1 PERSONAL FUNCIONARI;9.884,84
12.170.012.004;SOUS GRUP C2 PERSONAL FUNCIONARI;50.969,70
12.171.012.004;SOUS GRUP C2 PERSONAL FUNCIONARI;33.689,32
12.169.012.005;SOUS GRUP E PERSONAL FUNCIONARI;23.035,74
12.171.012.005;SOUS GRUP E PERSONAL FUNCIONARI;38.392,90
12.169.012.006;TRIENNIS PERSONAL FUNCIONARI;2.640,12
12.170.012.006;TRIENNIS PERSONAL FUNCIONARI;27.981,72
12.171.012.006;TRIENNIS PERSONAL FUNCIONARI;19.645,98
12.169.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;12.810,42
12.170.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;110.030,05
12.171.012.100;RETRIB. COMPLEMENTARIES PERSONAL FUNCIONARI;58.560,95
12.169.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;38.458,34
12.170.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;216.065,60
12.171.012.101;COMPLEMENT ESPECÍFIC PERSONAL FUNCIONARI;124.413,78
12.169.013.000;RETRIBUCIONS PERSONAL LABORAL;25.675,86
12.171.013.000;RETRIBUCIONS BÀSIQUES PERSONAL LABORAL;8.244,32
12.169.013.002;RETR. COMPLEM. LABORAL FIXES;47.395,79
12.171.013.002;ALTRES REMUNERACIONS;8.518,60
12.920.015.000;PRODUCTIVITAT;14.148,08
12.221.016.400;COMPLEMENT FAMILIAR;2.820,01
;Total capítol 1;1.013.372,00
;;
;Capítol 2. Despeses corrents en béns i serveis;
12.170.021.000;MANTENIMENT PARC LA MITJANA;2.378,27
12.171.021.000;MANTENIMENT PARCS I JARDINS;65.004,31
12.169.021.200;MANTENIMENT EDIFICIS CANERA;1.020,00
12.170.021.200;MANTENIMENT EDIFICIS MEDI AMBIENT;5.763,00
12.170.021.600;MANTENIMENT EQUIPS INFORMÀTICS;599,61
12.169.022.101;NETEJA DE CANERA;5.154,22
12.171.022.101;AIGUA;5.016,39
12.169.022.103;COMBUSTIBLES I CARBURANTS;4.448,15
12.170.022.103;COMBUSTIBLES I CARBURANTS;5.775,37
12.171.022.103;COMBUSTIBLES I CARBURANTS;6.561,28
12.169.022.105;SUBMINISTRAMENT ALIMENTS CANERA;8.400,00
12.169.022.109;SUBMINISTRAMENT ALTRE MATERIAL TECNIC;5.824,67
12.170.022.109;SUBMINISTRAMENT ALTRE MATERIAL TECNIC;214,09
12.169.022.699;ALTRES DESPESES DE FUNCIONAMENT;4.561,06
12.170.022.699;ALTRES DESPESES DE FUNCIONAMENT;12.062,00
12.171.022.699;ALTRES DESPESES DE FUNCIONAMENT;5.994,54
12.162.022.700;NETEJA VIARIA I RECOLLIDA DE RESIDUS;12.216.600,00
12.170.022.700;NETEGES;3.855,60
12.171.022.700;NETEGES;2.582,64
12.170.022.710;SERVEIS FUNDACIO LLEIDA 21;115.000,00
12.169.022.799;ALTRES CONTRACTES PRESTACIO SERVEIS;49.000,14
12.170.022.799;ALTRES CONTRACTES PRESTACIO SERVEIS;99.893,52
12.171.022.799;ALTRES CONTRACTES PRESTACIO SERVEIS;2.780.000,00
12.169.023.020;DIETES DEL PERSONAL;61,28
12.170.023.020;DIETES DEL PERSONAL;109,37
12.162.025.000;TRACTAMENT DE RESIDUS CONSORCI DE RESIDUS;1.350.000,00
12.170.025.000;CONTROL DE VESSAMENTS;290.928,00
12.162.025.001;TRACTAMENT DE RESIDUS CONSELL COMARCAL;650.000,00
;Total capítol 2;17.696.807,51
;;
;Capítol 4. Transferències corrents;
12.170.048.901;FUNDACIÓ FÒRUM AMBIENTAL;3.596,88
;Total capítol 4;3.596,88
;;
;Total orgànica 12;18.713.776,39
;;
;;
;;
;Orgànica 14. L.O. 2/2012;
;;
;Capítol 5. Fons de contingència;
14.929.050.000;FONS DE CONTINGÈNCIA L.O. 2/2012;1.000.000,00
;Total capítol 5;1.000.000,00
;;
;Total orgànica 14;1.000.000,00
;;
;;
;Total general;151.475.952,04
;;
;;
