Associació de Comerciants;AssociacioVeinal;Títol;Propietari;Telèfon;Correu electrònic;Pàgina web;Enllaç 360º;Facebook;Twitter;Altra xarxa;Google Maps;Tienda Online
Cappont;AVV Cappont;PCBOX;;973 21 29 10;clientes45@pcbox.es;http://www.pcbox.com/;;https://www.facebook.com/ClubPCBox;https://twitter.com/PC_Box;https://www.youtube.com/ClubPCBox;;
Cappont;AVV Cappont;Perruqueria Beatriu;;973 843 640;;http://perruqueriabeatriu.com/;;https://www.facebook.com/perruqueria.beatriu;;https://plus.google.com/101395617721790559833/about?hl=ca&gl=es;;
Cappont;AVV Cappont;Perruqueria Salomé;;973 203 220;info@peluqueriasalome.es;http://www.peluqueriasalome.es/;;;;;;
Cappont;AVV Cappont;Pintures Cervantes;;973 205 547;info@pinturescervantes.com;http://www.pinturescervantes.com/;;;;;;
Cappont;AVV Cappont;Plus Fresc - Cappont;;973 21 17 98;plusfresc@plusfresc.es;http://www.plusfresc.es/;;;https://twitter.com/Plusfresc;;;
Cappont;AVV Cappont;Plus Fresc - Ciutat Campus;;973 21 37 88;plusfresc@plusfresc.es ;http://www.plusfresc.es/;;;https://twitter.com/Plusfresc;;;
Cappont;AVV Cappont;Plus Fresc - Ciutat Elisis;;973 21 44 08;plusfresc@plusfresc.es;http://www.plusfresc.es/;;;https://twitter.com/Plusfresc;;;
Cappont;AVV Cappont;Pneumatics Molins - Driver Center;;973 200 743;molins@grupo-driver.com;http://www.drivercenter.es/;;https://www.facebook.com/TalleresDriver.ES;https://twitter.com/TalleresDriver;http://www.youtube.com/user/TalleresDriver?feature=mhum;;
Cappont;AVV Cappont;Pràctic Llum;;973 204 619;practic@practic-llum.com;http://practic-llum.com/;;https://www.facebook.com/practic.llum;;;;
Cappont;AVV Cappont;Seguros AXA - DE BENITO - ESQUERRA ;;973 204 887;MONTSERRAT.DEBENITO@AGENCIA.AXA-SEGUROS.ES;http://www.axa.es/;;https://www.facebook.com/AXA.ES;https://twitter.com/AXASegurosEs;http://www.youtube.com/user/AXASEGUROSES;;
Cappont;AVV Cappont;SIMM Informàtica;;973 20 55 08;;http://www.informaticasimm.com/;;;;;;
Cappont;AVV Cappont;Studium Academia;;973 212 507;studium@svt.es;http://www.studium-academia.com/;;https://www.facebook.com/studium.academia;;;;
Cappont;AVV Cappont;Superverd - Bruc;;973 20 81 91;info@superverd.es;http://www.superverd.es/;;https://www.facebook.com/superverd.lleida;;;;
Cappont;AVV Cappont;Viatjes Iltrida - Cappont;;973 210 390;lleida.i@iltrida.com;http://www.iltridaonline.com/;;https://www.facebook.com/viajesiltrida;https://twitter.com/iltridaviatges;;;
Cappont;AVV Cappont;Yamaha - Yam-973;;973 212 131;yam-973@yam-973.com;http://concesionarios.yamaha-motor.es/2275;;https://www.facebook.com/pages/Yam-973-SL/586525528038740;;;;
Centre Històric;AVV Comerciants del Centre Històric;Joieria Margarida Aldabó;;973 24 96 49;info@margaridaaldabo.com;http://www.margaridaaldabo.com/;;;;;;
Centre Històric;AVV Comerciants del Centre Històric;Pastisseria Glace;;973 234 474;pastisseriaglace@hotmail.com;;;https://www.facebook.com/CafeteriaPastisseriaGlaceLleida;;;;
Centre Històric;AVV Jaume I el Conqueridor;Perruqueria Susana Martinez;Susana Martinez;973 270 306;sisanainerea@hotmail.com;http://www.perruqueriasusanamartinez.com/;;https://www.facebook.com/perruqueriasusana.martinez;;;;
Eix Comercial;AVV Noguerola;Aldavó Dolors i Joana Roba Íntima;;973 24 80 96;dolorsijoana@aldavo.com;http://www.aldavo.com/;;https://www.facebook.com/pages/ALDAV%C3%93-dolors-i-joana-ROBA-INTIMA/114972031864625;;;;
Eix Comercial;AVV Noguerola;Antanna Joies;;973 23 45 35;antanna@antannajoies.com;;;https://www.facebook.com/antanna.joies;https://twitter.com/ANTANNAjoies;;;
Eix Comercial;AVV Comerciants del Centre Històric;Armeria Antiga Casa Inglés;;973 267 106 // 973 263 523;info@antiguacasaingles.com;http://tienda.antiguacasaingles.com/;;;;;;
Eix Comercial;AVV Cappont;Beep Lepton;;973 21 30 10 // fax: 973 21 30 26;lepton@lepton.net;http://www.lepton.net/serveis/;;https://www.facebook.com/Lepton.Informatica?fref=ts;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Boboli;;973 278 440;;http://www.boboli.es/;;https://www.facebook.com/boboliclub;https://twitter.com/BoboliFashion;http://www.boboli.es/instagram;;
Eix Comercial;AVV Comerciants del Centre Històric;Calçats Espuña;;973 24 36 39;jordi@sabateriaespunya.com;http://www.zapateriaslleida.com/;;https://www.facebook.com/pages/Cal%C3%A7ats-Espu%C3%B1a/226370764176485?fref=ts;;;https://plus.google.com/109215793231968134549/about;
Eix Comercial;AVV Noguerola;Calçats Giró;;973 23 22 10;;;;https://www.facebook.com/calcats.giro ;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Calzedonia ;;973270194;;http://www.calzedonia.it/es/;;https://www.facebook.com/calzedonia;https://twitter.com/TweetCalzedonia;https://www.youtube.com/user/CalzedoniaOfficial;;
Eix Comercial;;Carrefour;;;;http://www.carrefour.es/;;;;;;http://www.carrefour.es/
Eix Comercial;AVV Comerciants del Centre Històric;Casa Guarro;;973 241 036;info.guamusic@gmail.com;;;https://www.facebook.com/CasaGuarroMusica?fref=ts;;;;
Eix Comercial;AVV Noguerola;Casa Rami;;"Porqueres: 973 246 441; Magdalena: 973 237 513; Pedrolo: 973 210 059";info@ramiremeis.cat;http://www.ramiremeis.cat/;;https://www.facebook.com/ramiremeis?fref=ts;https://twitter.com/RamiRemeis;;;
Eix Comercial;AVV Comerciants del Centre Històric;David Garsaball Foto-Video;;973246771;dgarsaball@hotmail.com;http://www.behance.net/MOVIE_GARSABALL;https://www.facebook.com/David.Garsaball.FILM.PRODUCTIONS?filter=1;https://www.facebook.com/PHOTOGARSABALL;;http://www.youtube.com/user/PHOTOGARSABALL;;
Eix Comercial;AVV Comerciants del Centre Històric;Descamps;;973243807;;http://www.descamps.com/;;;https://twitter.com/Descamps_paris;;;
Eix Comercial;;Drim;;;;http://www.drim.es/;;;;;https://www.google.es/maps/search/drim/@41.6137215,0.628123,15z/data=!3m1!4b1?sa=X&ei=6_04VdzvLIvD7gb8qYDoCA&ved=0CIkBEMgT;http://www.drim.es/
Eix Comercial;;Electrodomésticos Miró;;;;http://www.miro.es/;;;;;;http://www.miro.es/
Eix Comercial;AVV Comerciants del Centre Històric;Elisabeth Rosinach;;973 264 263;;http://www.elisabethrosinach.com/;;https://www.facebook.com/pages/ELISABETH-ROSINACH/106197092747429;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Enfants…;;973 263 622;;http://www.3pommes.com/es;;https://www.facebook.com/enfants.lleida;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Esports Solé;;973 237 791;esportssole@gmail.com;http://esportssole.com/es/;;https://www.facebook.com/EsportsSole?ref=ts&fref=ts;https://twitter.com/esportssole;;;
Eix Comercial;AVV Universitat-Zona Alta;Euronics Electro Centre;;973 28 02 02;;http://www.electrocentre.net/;;https://www.facebook.com/pages/Electro-Centre/160634913991627?ref=profile;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Eva Moreno Joies;;644 252 836;"info@evamorenojoies.com; evamoreno.joyas@gmail.com";http://www.evamorenojoies.com/;;https://www.facebook.com/pages/Eva-Moreno-Joyas/225977960807275?fref=ts;;;;
Eix Comercial;AVV Universitat-Zona Alta;Farreres Sabateria i complements;;973 242 242;info@farreres.es;http://www.farreres.com/;;https://www.facebook.com/farreres.sabates.3?fref=ts;;;;http://www.farreres.com/
Eix Comercial;AVV Comerciants del Centre Històric;Fosco Lleida;;;;http://www.merkal.com/;;;;;;http://www.merkal.com/
Eix Comercial;AVV Comerciants del Centre Històric;Foto Llorens - Major;;973 268 829;estudi@fotollorens.com;http://www.fotollorens.com/;;https://www.facebook.com/pages/Foto-Llorens-SL/403498749720764?fref=ts;;;;
Eix Comercial;AVV Noguerola;Fotollum;;973244228;info@fotollum.es;http://www.fotollum.com/;;https://www.facebook.com/Fotollum;;;;
Eix Comercial;;Golden Point;;973 228168;;http://www.goldenpoint.com/;;https://www.facebook.com/goldenpointonline;https://twitter.com/goldenpoint_IT;http://www.youtube.com/user/Goldenpointonlinecom;;
Eix Comercial;AVV Cappont;Goretti Moda i Llar;;616 88 60 41;gorettihete@hotmail.com;;;https://www.facebook.com/pages/Goretti-Moda-i-Llar/118046071596743;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Goumar;;973 269 552;goumar@goumar.com;http://www.goumar.com/cat/index.html;;https://www.facebook.com/GrupGoumar?fref=ts;;;;
Eix Comercial;AVV Noguerola;Grelot;;973 23 46 11;;;;https://www.facebook.com/pages/GRELOT/202724629771632?fref=ts;;https://plus.google.com/106353086426211734105/about?gl=es&hl=en;;
Eix Comercial;AVV Comerciants del Centre Històric;Hellín Optics S.L.;;973 24 39 54;;;;;;https://plus.google.com/105013075502531643245/about?gl=es&hl=en;;
Eix Comercial;;Hunkemoller;;973 254 557;;http://www.hunkemoller.com/es/;;http://www.facebook.com/Hunkemoller;https://twitter.com/#!/Hunkemoller;https://www.google.es/url?sa=t&rct=j&q=&esrc=s&frm=1&source=web&cd=1&cad=rja&ved=0CC8QFjAA&url=https%3A%2F%2Fplus.google.com%2F110674794492045087010%2Fabout%3Fgl%3Des%26hl%3Des&ei=UNSJUqClG8mc0QXK2IEw&v6u=https%3A%2F%2Fs-v6exp1-ds.metric.gstatic.com%2Fgen;;
Eix Comercial;AVV Comerciants del Centre Històric;Ikks Women et Men;;973 23 03 70;;http://www.ikks.com/en/women/;;http://www.facebook.com/ikks;http://twitter.com/#!/ikks616;;;
Eix Comercial;AVV Comerciants del Centre Històric;Ilerdent Institut Dental;;973 281 111;ilerdent@ilerdent.com;http://www.ilerdent.com/;;https://www.facebook.com/pages/Institut-Dental-Ilerdent/329890560374492;https://twitter.com/Ilerdent;;;
Eix Comercial;AVV Comerciants del Centre Històric;Innovació;;973 24 23 34;innovacio@innovacio.com;http://www.innovacio.com/;;https://www.facebook.com/pages/INNOVACI%C3%93/145627758109;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Innovació;;973242334;mailto:innovacio@innovacio.com;http://www.innovacio.com/;;;;;;
Eix Comercial;AVV Magisteri Zona Alta;Institut de Bellesa i Benestar Arbel;;973 27 08 12;;;;https://www.facebook.com/pages/Institut-de-Bellesa-i-Benestar-Arbel/109288239128091;;https://plus.google.com/104980030624303768642/about?gl=es&hl=en;;
Eix Comercial;AVV Comerciants del Centre Històric;Intimissim;;973233752;;http://es.intimissimi.com/home.jsp;;https://www.facebook.com/intimissimi;https://twitter.com/intimissimi;http://www.youtube.com/user/intimissimiofficial;;
Eix Comercial;AVV Instituts St. Ignasi;Joieria Ayala;;973 268 393;ayalajoiers@hotmail.com;http://www.ayalajoiers.es/;;https://www.facebook.com/AyalaJoiers?fref=ts;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Joieria Caitos;;973 243 635;;http://joyeriacaitos.com/es/;;;;;;
Eix Comercial;;Joieria Gorne;;97321979;mailto:info@joieriagorne.com;http://www.joieriagorne.com/;;;;;;
Eix Comercial;AVV Noguerola;Joieria Joaquim Guerrero;;973 271 713;joaquimguerrerojoiers@gmail.com;;;https://www.facebook.com/pages/Joieria-Rellotgeria-Joaquim-Guerrero/109395449128843;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Joieria La Nova;; 973 24 50 85;mailto:aespurz@gmail.com;http://www.joierialanova.com/;;https://www.facebook.com/pages/Joieria-La-Nova-Joieria-Viladrich/197052593658831;;;;
Eix Comercial;;Joieria Lavaquial ;;973243520;;;;;;https://www.google.es/#q=joieria+lavaquial+lleida+paeria&revid=1743491654;;
Eix Comercial;AVV Noguerola;Joieria Peralta;;973 243 339;lleida@rueperaltajoiers.com;http://www.rueperaltajoiers.com/;;https://www.facebook.com/rueperalta;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Joieria Pere Tena;;"Blondel: (telf) 973 27 00 77 (fax) 973 27 00 59;  Ramon Llull:  973 24 53 96";joieria@peretena.com;http://www.peretena.com/;;https://www.facebook.com/pere.joier?fref=ts;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Joieria Zodiaco;;973 28 00 34;;;;https://www.facebook.com/joieria.zodiaco?hc_location=timeline;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Josa & Gassó;;973 242 183;info@josaygassolleida.com;http://www.josaygassolleida.com/;;;;;;
Eix Comercial;AVV Pardinyes;Kiosk del Mark;;973 24 02 32;kioskmarc@gmail.com;;;https://www.facebook.com/pages/Kiosk-del-Marc/203987502962027;;;;
Eix Comercial;;La Llar;;973244146;;http://www.lallarlleida.com/;;;;;;
Eix Comercial;AVV Comerciants del Centre Històric;La Perfumeria - Sant Antoni;; 973 28 06 12;info@perfumeriainternacional.com;http://www.perfumeriainternacional.com/;;https://www.facebook.com/Laperfumerialleida;;;;
Eix Comercial;AVV Comerciants del Centre Històric;La Primavera;;973 278 021;laprimavera@laprimavera.es;http://www.laprimavera.es/;;https://www.facebook.com/laprimaveraperfumeries;;;;http://www.laprimavera.es/shop/
Eix Comercial;AVV Noguerola;Llenceria Núria;;973 237 462;mailto:info@nurialenceria.com;http://www.nurialenceria.com/;;;;;;
Eix Comercial;AVV Instituts St. Ignasi;Llenceria Teres;;973268040;;http://www.teresseleccion.com/;;;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Llibreria Caselles;;973 242 346;info@caselles.com;http://www.caselles.com/;;;;;;
Eix Comercial;;Llongueras ;;973248286;;;;;;https://plus.google.com/111531168313141870226/about?hl=en;;
Eix Comercial;AVV Comerciants del Centre Històric;Lluna de Drap;;973 23 42 47;;http://www.llunadedrap.com/;;https://www.facebook.com/llunadedrap;;;;
Eix Comercial;AVV Noguerola;Mael Boutique;;973 23 77 70;mael.boutique@gmail.com;http://www.mael-basler.com/;;https://www.facebook.com/pages/Mael-Boutique/214087765306757;;;;
Eix Comercial;;Mary Paz;;;;http://www.marypaz.com/;;;;;;http://www.marypaz.com/tienda-online/index.php
Eix Comercial;AVV Instituts St. Ignasi;Maype Electrodomèstics;; 973 27 40 60;;http://www.maypedomestics.com/es/index;;https://www.facebook.com/maype.electrodomestics?fref=ts;;;;
Eix Comercial;;Media Markt;;;;http://www.mediamarkt.es/mcs/marketinfo/MediaMarkt-Lleida---Lleida,117452,-5.html;;;;;https://www.google.es/maps/place/Media+Markt/@41.677576,1.281678,6z/data=!4m2!3m1!1s0x0:0xbec1b670a9a808e0?sa=X&ei=Hfw4Vc6wNcmO7QaUzoCYDA&ved=0CI4BEPwSMAo;http://www.mediamarkt.es/mcs/marketinfo/MediaMarkt-Lleida---Lleida,117452,-5.html
Eix Comercial;AVV Comerciants del Centre Històric;Mima't Mamà;;973 278 947;info@mimatmama.cat;http://www.mimatmama.cat/;;https://www.facebook.com/mimatmama.premamalleida?ref=tn_tnmn;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Mitges Daniel;;973 24 32 55 ;daniel.mitges@gmail.com;;;https://www.facebook.com/daniel.mitges;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Monalisa;;973220874;;;;;;https://plus.google.com/115353510790727386919/about?gl=es&hl=es#115353510790727386919/about?gl=es&hl=es;;
Eix Comercial;;MP Perfumes;;;;http://www.monpriveeperfumes.com/;;;;;;http://www.monpriveeperfumes.com/
Eix Comercial;AVV Comerciants del Centre Històric;Natural Optics;;973 27 80 03;info@naturaloptics.com;http://www.naturaloptics.com/group/es/;;https://www.facebook.com/naturaloptics;https://twitter.com/NaturalOpticsG;;;
Eix Comercial;AVV Comerciants del Centre Històric;OliverasSanz;;973 22 07 22;;http://www.oliverassanz.com/;;https://www.facebook.com/pages/Oliveras-Sanz/272028216241677;;;;
Eix Comercial;AVV Universitat-Zona Alta;Pastisseria El Cisne;;;;http://www.apanymantel.com/pastelerias/lleida/el-cisne;;;;;https://www.google.es/maps/place/Pasteler%C3%ADa+El+Cisne/@41.618668,0.619549,15z/data=!4m2!3m1!1s0x0:0xb7674b74293abf2e?sa=X&ei=lf44VbepHemu7AbxmIDgCg&ved=0CHEQ_BIwCw;http://www.apanymantel.com/pastelerias/lleida/el-cisne
Eix Comercial;AVV Comerciants del Centre Històric;Perfumeria Julia;;973220874;;http://www.perfumeriajulia.es/;;;;;;http://www.perfumeriajulia.es/
Eix Comercial;AVV Comerciants del Centre Històric;Perfumeries Gotta;;973222899;;http://www.gotta.es/ca/index.aspx;;https://www.facebook.com/GottaPerfumerias?fref=ts;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Perruqueria Franci;;973 248 741;info@franciperruqueria.com;http://www.franciperruqueria.com/;;;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Rituals Lleida;;973 24 36 03;;http://eu.rituals.com/es-es/home;;https://www.facebook.com/#!/RitualsCosmeticos/app_287536274617687;http://www.twitter.com/rituals;http://google.com/+ritualscosmetics;;
Eix Comercial;;Rosa Clará;;973263783;;http://www.rosaclara.es;;https://www.facebook.com/RosaClaraOficial;https://twitter.com/Rosa_Clara;http://www.pinterest.com/rosaclara/;;
Eix Comercial;AVV Instituts St. Ignasi;Shana;;;;http://www.shana.com/es;;;;;;http://www.shana.com/es
Eix Comercial;AVV Magisteri Zona Alta;Sirera Serveis Fotogràfics;;973 24 18 78;;http://www.sirerafoto.com/;;;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Sitgetana;;973243471;;http://www.sitgetana.com/;;https://www.facebook.com/sitgetana;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Sony Gallery;;973197277;;http://www.sony.es/hub/sonycenters;;https://www.facebook.com/SonyEsp;;https://plus.google.com/+sonyespa%C3%B1a/posts;;
Eix Comercial;AVV Magisteri Zona Alta;Surf Devils;;973 240 616;info@surfdevils.com;http://surfdevils.com/;;https://www.facebook.com/surfdevils;https://twitter.com/SurfDevils_com;;;
Eix Comercial;AVV Comerciants del Centre Històric;Tantull;;973 269 018;;http://www.tantull.es/;;https://www.facebook.com/www.tantull.es;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Teixits Balcells;;973241887;;;;;;https://plus.google.com/104056324196957518666/about?gl=es&hl=es#104056324196957518666/about?gl=es&hl=es;;
Eix Comercial;;Toy Planet;;;;http://www.toyplanet.es/;;;;;https://www.google.es/maps/place/Toy+Planet+Calucho/@41.619942,0.618624,6z/data=!4m2!3m1!1s0x0:0xda09f03d0badae3a;http://www.toyplanet.es/
Eix Comercial;AVV Comerciants del Centre Històric;Trendy;;973 28 91 22;info@trendylleida.com;http://trendylleida.com/;;https://www.facebook.com/trendylleida;https://twitter.com/trendylleida;;;
Eix Comercial;;Trucco;;973239014;;http://truccoshop.com/;;https://www.facebook.com/TRUCCOMODA;https://twitter.com/TRUCCO_;http://www.youtube.com/truccomoda;;
Eix Comercial;AVV Pardinyes;TTO MOVIL CAR AUDIO;;687504303;taller@totmovillleida.com ;http://www.totmovillleida.com;;;;;;
Eix Comercial;AVV Comerciants del Centre Històric;Viatjes Iltrida;;973 210 837;reservas@iltrida.com;http://www.iltridaonline.com/;;https://www.facebook.com/viajesiltrida;https://twitter.com/iltridaviatges;;;
Eix Comercial;AVV Magisteri Zona Alta;Vilcin Optics;;973 23 27 45 ; vilcinoptics@gmail.com;http://vilcinoptics.com/;;;;;;
Eix Comercial;;Vives ;;;;http://www.vivesonline.com/;;;;;;http://www.vivesonline.com/
Eix Comercial;AVV Comerciants del Centre Històric;Zara;;973280184;;http://www.zara.com/es/;;https://www.facebook.com/Zara;https://twitter.com/ZARA;http://www.youtube.com/zara;;http://www.zara.com/
La Bordeta;AVV Bordeta;A+ A+ ACADEMIA DE REPAS;;973210564;academiaderepas@gmail;;;https://www.facebook.com/academiaamesames.borwick;;;;
La Bordeta;AVV Bordeta;AGM - Accesorios Alta Presión;;973 840 525;agm@accesoriosaltapresionagm.com;http://www.accesoriosaltapresionagm.com/;;;https://twitter.com/AgmAltaPresion;https://www.linkedin.com/company/accesorios-alta-presi%C3%B3n-agm?trk=biz-companies-cym;;http://www.accesoriosaltapresionagm.com/
La Bordeta;AVV Bordeta;ALIMENTACIÓ JULITA;;973845555;;;;https://www.facebook.com/AlimentacioJulita;;;;
La Bordeta;AVV Bordeta;Amador Institut de Bellesa;;973204343;;http://www.perruqueriaamador.com/;;http://www.facebook.com/perruqueria.amador;;;;
La Bordeta;AVV Bordeta;ARTE SANO;;659403654;info@artesano.cat;http://www.artesano.cat;;http://www.facebook.com/artesanolleida;;;;
La Bordeta;AVV Bordeta;ASSEGURANCES XAVIER CANADELL;;973832500;assegurances@xcanadell.com;http://www.xcanadell.com;;http://www.facebook.com/Assegurancesxcanadell;;;;
La Bordeta;AVV Bordeta;Autoescola RACC Sit-Car;;973 210 103;autoescolasitcar@gmail.com;http://www.sit-car-lleida.com/;;https://www.facebook.com/Sit.Car;;;;
La Bordeta;AVV Bordeta;BARBERIA ELIZABET PIÑOL;;973211591;barberiaelisabeth.p.@gmail.com;;;;;https://plus.google.com/105789753985170550396/about?gl=es&hl=en;;
La Bordeta;AVV Bordeta;BORDETA DIAZ SUBIAS;;973213929;lleida@diazsubias.com;http://centros.euromaster-neumaticos.es/7635-euromaster-diaz-subias-lleida-baixos;;http://www.facebook.com/pages/Diaz-Subias-Euromaster/229153350512747;;;;
La Bordeta;AVV Bordeta;CENTRE D'ESTETICA I PERFUMERIA PIU BELLA;;973203735;piubellalleida@yahoo.es;http://www.piubellaonline.com/;;https://www.facebook.com/esteticayperfumeriapiubella;;;;
La Bordeta;AVV Bordeta;CLINICA DENTAL SEGRIA;;973212120;marta@dentalsegria.com;http://www.dentalsegria.com;;https://www.facebook.com/clinicadentalsegria;https://twitter.com/DentalSegria;;;
La Bordeta;AVV Bordeta;COMPLEMENTS;;973206309;botigacomplements.lleida@gmail.com;;;http://www.facebook.com/complements.lleida;;;;
La Bordeta;AVV Bordeta;COVER OFIMATICA, S.L.;;973211674;cover@ofimatica.com;http://www.coverofimatica.com;;;;http://www.linkedin.com/company/cover-ofimatica-s.l.;;
La Bordeta;AVV Bordeta;DUALB ESTILISTES;;973200961;dualbestilistes@hotmail.com;;;http://www.facebook.com/dualb.estilistes;;;;
La Bordeta;AVV Bordeta;ELECTROCUINA VILCAR;;973212050;vilcar@vilcar.es;http://www.vilcar.es.tl;;;;;;
La Bordeta;AVV Bordeta;EuroReclams;;973206353;comercial@euroreclams.com;http://www.euroreclams.com;;http://www.facebook.com/euroreclams;;;;
La Bordeta;AVV Bordeta;FACTORIA DANCE;;973213829;info@factoriad.com;http://www.factoriad.com;;http://www.facebook.com/factoria.dance;;;;
La Bordeta;AVV Bordeta;FARMACIA PEÑA ZALDIVAR;;973208632;farmaciabordeta@hotmail.com;;;http://www.facebook.com/pages/Farmacia-Pe%C3%B1a-Zaldivar/488511421197120;;;;
La Bordeta;;FERROS PRUDENCI;;973211300;ferros@ferrosprudenci.com;http://www.ferrosprudenci.com;;http://www.facebook.com/pages/Ferros-Prudenci/375380579144353;;;;
La Bordeta;AVV Bordeta;FLORISTERIA CANALES;;973206520;canales@floristeriacanales.es;http://www.floristeriacanales.es;;http://www.facebook.com/pages/Canales-floristeria/129400387174411;;;;
La Bordeta;AVV Bordeta;Fotograf Rafa Rodriguez;;973203353;fotograf@rafarodriguez.es;http://www.rafarodriguez.es;;http://facebook.com/rafa.rodriguez.lleida;;;;
La Bordeta;AVV Bordeta;GABINET BUCHACA;;973213317;gabinetbuchaca@gmail.com;http://www.gabinetbuchaca.com;;;;;;
La Bordeta;AVV Bordeta;GESTORIA CERVERA;;973200845;info@gestoriacervera.es;http://www.gestoriacervera.es;;;;;;
La Bordeta;AVV Bordeta;GIMNAS BORDETA;;973210422;teresasonali21@hotmail.com;http://www.gimnasbordeta.com;;https://www.facebook.com/gimnas.bordeta;;;;
La Bordeta;AVV Bordeta;JOVERT & PURROY // JOIERIA BLANCO;;973204568;jovertblanco@ono.com;;;http://www.facebook.com/JovertPurroy;;;;
La Bordeta;AVV Bordeta;Lecca Lecca;;;;;;http://www.facebook.com/pages/Lecca-Lecca/690147277663537;;;;
La Bordeta;AVV Bordeta;MAPFRE OFICINA LA BORDETA;;973204218;orobix@mapfre.com;http://www.mapfre.com;;;;;;
La Bordeta;AVV Bordeta;MATERIALS PER A LA CONSTRUCCIO I ADOPS  J. PIÑOL, S.L.;;973200132;info@materialspinyol.com;http://www.materialspinyol.com;;http://www.facebook.com/MaterialsPinyol;;;;
La Bordeta;AVV Bordeta;MIC-TIC SERVEIS INFORMÀTICS;;973985577;info@mic-tic.es;http://www.mic-tic.es;;http://www.facebook.com/mictic.informatica;;;;
La Bordeta;AVV Bordeta;NATURAL ÒPTICS;;973221595;bordeta@naturaloptics.com;http://www.naturaloptics.com;;https://www.facebook.com/naturaloptics;https://twitter.com/NaturalOpticsG;http://www.linkedin.com/company/natural-optics?trk=fc_badge;;
La Bordeta;AVV Bordeta;OPTICA EYGA;;973203848;info@opticaeyga.com;http://www.opticaeyga.com;;http://www.facebook.com/optica.eyga;;;;
La Bordeta;AVV Bordeta;PASTISSERIA CAFETERIA IMMA;;685112995;pastiseria-inma@hotmail.com;;;http://www.facebook.com/pages/Pastisseria-IMMA/417984224920582;;;;
La Bordeta;AVV Bordeta;PÈLS CANINS;;973214226;pelucanlaura@yahoo.es;http://www.pelscanins.com;;https://www.facebook.com/pelscanins;;https://plus.google.com/101209107063914807749/posts;;
La Bordeta;AVV Bordeta;PELUQUERIA MARIVI;;973203071;info@perruquerimarivi.com;http://www.perruqueriamarivi.com;;;;;;
La Bordeta;AVV Bordeta;PERRUQUERIA BIS ENRIQUETA OCAÑA;;973201509;enriqueta.51@hotmail.com;;;http://www.facebook.com/perruqueria.bis;;;;
La Bordeta;;PERRUQUERIA SABARES;;973211454;motseaida@live.com;;;http://www.facebook.com/perruqueria.sabares;;;;
La Bordeta;AVV Bordeta;PERRUQUERIA TERE;;973206554;teresamoreno70@hotmail.es;;;http://www.facebook.com/perruqueriatere.moreno;;;;
La Bordeta;AVV Bordeta;RAMONINA PIROTECNIA;;973210074;ramonina@terra.es;;;https://www.facebook.com/ramoninacastello;;https://plus.google.com/112997953930659913970/about?gl=es&hl=en;;
La Bordeta;AVV Bordeta;RETOLS PONENT;;973206463;retols@retolsponent.com;http://www.retolsponent.com;;;;;;
La Bordeta;AVV Bordeta;RODAMIENTOS Y SUMINISTROS SICORIS;;973203815;rodamientos@sicoris-sa.com;http://www.sicoris-sa.com;;;;;;
La Bordeta;AVV Bordeta;ROSTISSERIA URGELL;;973212106;sergi@rostisseriaurgell.com;http://www.rostisseriaurgell.com;;http://www.facebook.com/rostisseria.urgell;;;;
La Bordeta;AVV Bordeta;RUBINDECELIS Estudi Gràfic;;666471487;disseny@rubindecelis.cat;http://www.rubindecelis.cat;;;;;;
La Bordeta;AVV Bordeta;SALVANY CLINICA DENTAL;;973206156;info@clinicasalvany.com;http://www.clinicasalvany.com;;;;;;
La Bordeta;AVV Bordeta;Tapisseria Angel Lerma;;;;;;http://www.facebook.com/pages/Tapisseria-Lerma/171227812920673;;;;
La Bordeta;AVV Bordeta;VIATGES L’EIXIDA TOURS;;973211203;hostal@leixida.com;http://www.leixida.com;;;;;;
La Bordeta;AVV Bordeta;VIATGES LLEIDA;;973228091;viatges@viatgeslleida.com;http://www.viatgeslleida.com;;;;;;
Pardinyes;AVV Pardinyes;Arts Gràfies Bobalà, SL;;973 23 66 11;bobala@bobala.cat;http://www.bobala.cat/;;;;;;
Pardinyes;AVV Pardinyes;Autoescola San Juan;;973 22 26 79;;http://www.autoescolasanjuan.com/;;https://www.facebook.com/autoescolasanjuan.autoescola;;;;
