"INVENTARIO","NOMBRE","VIAL","CALLE","NUMERO","BAJA"
414,"COLEGIO CASTILLA (ANTES DORAMAS)","CALLE","PALMA DE MALLORCA","26","N"
415,"COLEGIO PINTOR MANOLO MILLARES","CALLE","PEDRO HIDALGO","1D","N"
416,"COLEGIO ADAN DEL CASTILLO","PASEO","DE LOS MARTIRES","2 -- 4","N"
417,"COLEGIO SAN LORENZO","CALLE","ANTONIO MARTEL RODRIGUEZ","5","N"
418,"COLEGIO LA MILAGROSA (LOS ALTOS)","CALLE","RAMON GARCIA","16 -- 18","N"
419,"COLEGIO EL TOSCON","CALLE","EL CARPINTERO","27","N"
420,"COLEGIO EL ZARDO (JOSE DEL ROSARIO UMPIERREZ-ANDALUCIA)","CALLE","TISCAMANITA","13","N"
421,"COLEGIO VALENCIA","CALLE","SAN GABRIEL","13","N"
422,"COLEGIO MARIA JESUS PEREZ MORALES (ANTES VASCONGADAS)","CALLE","LOMO DE LA VIUDA","77","N"
423,"ESCUELA INFANTIL PINOCHO","CALLE","SAN BORONDON","12","N"
424,"COLEGIO ASTURIAS","PASEO","JOSE RIVERO DOMINGUEZ","2A","N"
425,"COLEGIO CIUDAD DEL CAMPO Y VIAL DE ACCESO","CARRETERA","DE TEROR","58","N"
426,"COLEGIO LOS GILES","CALLE","SAHARA","40","N"
427,"COLEGIO CORTIJO DE SAN GREGORIO (PILETAS)","CALLE","SAN DIONISIO","30","N"
428,"COLEGIO LAS MESAS","CALLE","PUNTA DEL HIDALGO","S/N","N"
429,"COLEGIO NANDA CAMBRES (ANTES SUAREZ NARANJO)","CALLE","CARVAJAL","57","N"
430,"COLEGIO IBERIA","CALLE","AGUSTIN MILLARES CARLO","16","N"
431,"COLEGIO AGUADULCE","CALLE","MOLINO DE VIENTO","18","N"
432,"COLEGIO SANTA CATALINA","CALLE","ISLA DE CUBA","27","N"
433,"COLEGIO FERNANDO GUANARTEME Y U.P.DISTRITO PUERTO-CANTERAS","CALLE","PAVIA","22","N"
434,"COLEGIO MESA Y LOPEZ","CALLE","JESUS FERRER JIMENO","15","N"
435,"ESCUELA INFANTIL BLANCANIEVES","CALLE","DOCTOR JIMENEZ NEYRA","35","N"
436,"COLEGIO JOSE ANTONIO RAMOS (ANTES GARCIA ESCAMEZ)","CALLE","CARMELO BETHENCOURT","1 -- 3","N"
437,"I.E.S. SCHAMANN (ANTES COLEGIO 29 DE ABRIL)","CALLE","MARIUCHA","80","N"
438,"COLEGIO JOSE CALVO SOTELO (Y BIBLIOTECA)","CALLE","MONTEJURRA","1","N"
439,"ANTIGUO COLEGIO SANTIAGO RAMON Y CAJAL","CALLE","OBISPO MARQUINA","1","N"
440,"COLEGIO DON BENITO (ANTES REYES CATOLICOS) Y BIBLIOTECA","CALLE","SOR SIMONA","1","N"
441,"COLEGIO CATALU�A","CALLE","FARMACEUTICO MIGUEL PADILLA","2 A","N"
442,"COLEGIO NESTOR DE LA TORRE","CALLE","JOAQUIN BELON","26","N"
443,"ESCUELA INFANTIL BAMBI","CALLE","LICENCIADO AGUSTIN RODRIGUEZ","3","N"
444,"COLEGIO TEOBALDO POWER","CALLE","FARMACEUTICO PEDRO RIVERO","1","N"
445,"ESCUELA INFANTIL LOS PITUFOS","CALLE","OBISPO MARQUINA","5","N"
446,"I.E.S. SIMON PEREZ  (ANTES COLEGIO BENTAYGA)","CALLE","JOAQUIN BELON","S/N","N"
447,"COLEGIO ATLANTIDA","AVENIDA","PARQUE CENTRAL","17","N"
448,"COLEGIO ISABEL LA CATOLICA (Y BIBLIOTECA)","CALLE","DOCTOR WOELFEL","4 -- 6","N"
449,"ESCUELA INFANTIL ""POCAHONTAS"" (ANTES SARAMAGO Y EXTREMADURA)","CALLE","HOYA DEL ENAMORADO","75","N"
450,"COLEGIO FEDERICO GARCIA LORCA","CALLE","ALMIRANTE BENITEZ INGLOTT","1","N"
451,"COLEGIO GRAN CANARIA (ANTES BUENAVISTA II)","CALLE","LUIS BENITEZ INGLOTT","10A","N"
452,"COLEGIO BUENAVISTA  I","CALLE","DOCTOR ALBERTO GARCIA IBAYEZ","2","N"
453,"COLEGIO LAS TORRES","CALLE","AMAPOLA","11","N"
454,"COLEGIO JOSE PEREZ PEREZ (ANTES FERIA DEL ATLANTICO)","CALLE","SARGENTO PROVISIONAL","","N"
455,"COLEGIO CESAR MANRIQUE","CALLE","VIRGEN DEL PILAR","35","N"
456,"ANTIGUO COLEGIO PREESCOLAR BOLICHE","CALLE","HOYA DEL ENAMORADO","77","N"
458,"DEPOSITO DE AGUA DE LAS COLORADAS","CALLE","NO VIAL","","N"
459,"DEPOSITO DE AGUA EL BATAN   I","CALLE","SEVERO OCHOA","59","N"
460,"DEPOSITO DE AGUA EL BATAN   II","CALLE","CARLOS DE S. LAMAS","","N"
461,"DEPOSITOS DE AGUA DE EL LASSO   I  Y  II","URBANIZACION","EL LASSO","S/N","N"
462,"DEPOSITO DE AGUA DE EL ZARDO","CALLE","NO VIAL","","N"
463,"DEPOSITO DE AGUA DE EL TOSCON","CALLE","EL FONTANERO","64","N"
464,"DEPOSITO DE AGUA ESCARLATA O LA ISLETA","CALLE","NO VIAL","","N"
465,"DEPOSITO DE AGUA GUANARTEME (ESTACION DE BOMBEO)","CARRETERA","DE CHILE","2","N"
466,"DEPOSITO DE AGUA LA MARINA O ALMATRICHE ALTO","CALLE","NO VIAL","","N"
469,"COMPLEJO Y DEPOSITO REGULADOR LLANO DE LAS BRUJAS","CARRETERA","GC-110","","N"
470,"DEPOSITO DE AGUA LAS TORRES","CALLE","AZUAJE","","N"
471,"DEPOSITO DE AGUA LOMO BLANCO","CALLE","AZUAJE","S/N","N"
473,"DEPOSITOS DE AGUA Y AGUAS RESIDUALES LOS FRAILES","CAMINO","A LOS FRAILES","","N"
474,"DEPOSITO DE AGUA LOS HOYOS","CUESTA","LOS ESPINOS","62","N"
476,"DEPOSITO DE AGUA DE MARZAGAN","CARRETERA","DE MARZAGAN","","N"
477,"DEPOSITO DE AGUA MILLER","CALLE","NICOLAS MONCHE LOPEZ","27","N"
479,"DEPOSITOS DE AGUA LA PATERNA Y LOMO APOLINARIO","CALLE","ALBERT EINSTEIN","","N"
480,"DEPOSITO DE AGUA PEDRO HIDALGO","CALLE","HOYA DEL ROSARIO","","N"
482,"DEPOSITO DE AGUA PILETAS  I","CALLE","SANTA MARIA DE GORETTI","","N"
483,"DEPOSITO DE AGUA PILETAS  II","CALLE","SANTA MARIA DE GORETTI","","N"
484,"DEPOSITO DE AGUA SAN GREGORIO","CALLE","NO VIAL","","N"
485,"DEPOSITO DE AGUA REGULADOR DE SAN ROQUE","CALLE","BATAN","","N"
486,"DEPOSITO DE AGUA SAN JOSE BAJO","PASEO","DE SAN JOSE","S/N","N"
487,"DEPOSITO DE AGUA SAN JOSE ALTO","PASEO","DE SAN JOSE","S/N","N"
488,"DEPOSITO DE AGUA SAN JUAN ALTO","CALLE","BATERIA DE SAN JUAN","S/N","N"
489,"DEPOSITO DE AGUA SAN JUAN BAJO","CALLE","SANCHEZ","1","N"
490,"DEPOSITO DE AGUA EL SABINAL, Y PISTA DE ACCESO","LUGAR","LOMO DEL SABINAL","","N"
491,"DEPOSITO DE AGUA SALTO DEL NEGRO","CALLE","PUEBLA","S/N","N"
492,"DEPOSITO DE AGUA SAN FRANCISCO","CALLE","REAL DEL CASTILLO","129","N"
494,"DEPOSITO DE AGUA SAN LORENZO","CALLE","NO VIAL","","N"
495,"DEPOSITO DE AGUA SAN NICOLAS","CALLE","MIRASOL","44","N"
496,"DEPOSITO DE AGUA SAN ROQUE","CALLE","ANDENES","","N"
497,"DEPOSITO DE AGUA SIETE PUERTAS","CALLE","NO VIAL","","N"
499,"DEPOSITO DE AGUA SANTA ISABEL","PLAZA","ARGENTINA","","N"
500,"DEPOSITO DE AGUA SANTA MARGARITA","CALLE","HUESCA","41","N"
501,"DEPOSITO DE AGUA DE TAMARACEITE","CALLE","JACOB","12","N"
502,"DEPOSITO DE AGUA TENOYA ALTO","CALLE","LOMO DE LA VIUDA","","N"
503,"DEPOSITO DE AGUA TENOYA BAJO","CALLE","PINO CANARIO","4","N"
504,"DEPOSITOS DE AGUA DE LOS GILES  I  Y  II","CALLE","MANUEL GALVAN RODRIGUEZ","","N"
505,"DEPOSITO DE AGUA SAN JUAN BOSCO","CALLE","NO VIAL","","N"
506,"DEPOSITO DE AGUA MATADERO O COSTA AYALA","PASEO","JOSE RIVERO DOMINGUEZ","","N"
507,"DEPOSITO DE AGUA SAN JOSE DEL ALAMO","LUGAR","LOE BLANCO","","N"
508,"LOCAL 1 EN EL GRUPO DE LAS 640 VIVIENDAS DE ESCALERITAS","CALLE","ALMIRANTE BENITEZ INGLOTT","22","N"
509,"LOCAL 2 EN EL GRUPO DE LAS 640 VIVIENDAS DE ESCALERITAS","CALLE","CANONIGO AZOFRA DEL CAMPO","3","N"
510,"LOCAL 3 EN EL GRUPO DE LAS 640 VIVIENDAS DE ESCALERITAS","CALLE","CANONIGO AZOFRA DEL CAMPO","4","N"
511,"LOCAL 4 EN EL GRUPO DE LAS 640 VIVIENDAS DE ESCALERITAS","PARQUE","HERMANOS MILLARES","21","N"
513,"LOCAL 6 EN EL GRUPO DE LAS 640 VIVIENDAS DE ESCALERITAS","CALLE","JUAN RODRIGUEZ QUEGLES","24","N"
514,"LOCAL 7 EN EL GRUPO DE LAS 640 VIVIENDAS DE ESCALERITAS","CALLE","JUAN RODRIGUEZ QUEGLES","30A","N"
516,"LOCAL 9 EN EL GRUPO DE LAS 640 VIVIENDAS DE ESCALERITAS","CALLE","EDUARDO BENITEZ GONZALEZ","3","N"
518,"LOCAL 11 EN EL GRUPO DE LAS 640 VIVIENDAS DE ESCALERITAS","CALLE","EDUARDO BENITEZ GONZALEZ","15","N"
519,"LOCAL 12 EN EL GRUPO DE LAS 640 VIVIENDAS DE ESCALERITAS","CALLE","EDUARDO BENITEZ GONZALEZ","21","N"
543,"LOCAL 253 EN EL GRUPO DE LAS 258 VIVIENDAS DE SCHAMANN","CALLE","ALCESTE","34 BAJO IZ","N"
575,"LOCAL 15 EN EL GRUPO DE LAS 80 VIVIENDAS DE ESCALERITAS","PLAZA","OBISPO FRIAS","1A","N"
577,"LOCAL BAJO ESCALINATA ESTADIO, CL. MANUEL GONZALEZ MARTIN","CALLE","MANUEL GONZALEZ MARTIN","","N"
578,"LOCAL CL. DR. WOELFEL 2, RESTAURANTE "" LA ESPIGA ""","CALLE","DOCTOR WOELFEL","2","N"
579,"LOCAL CL. DR. WOELFEL 2, AUTOSERVICIO","CALLE","DOCTOR WOELFEL","2","N"
584,"LOCAL SOCIAL EN SCHAMANN, PLAZA DE DON BENITO","PLAZA","DE DON BENITO","","N"
585,"LOCAL SOCIAL EN LOMO BLANCO, CL. NORTE 31 BAJO DCHA.","CALLE","NORTE","31 BAJO D","N"
586,"LOCAL SOCIAL EN LOMO BLANCO, CL. NORTE 31 BAJO IZDA.","CALLE","NORTE","31 BAJO IZ","N"
588,"EDIFICIO ""PEDRO INFINITO"" (INCLUYE ESCUELA INFANTIL ""HEIDI"")","CALLE","AGUSTINA DE ARAGON","240","N"
589,"LOCAL SOCIAL EL BATAN Y BIBLIOTECA NESTOR ALAMO","CALLE","SEVERO OCHOA","15","N"
590,"LOCAL SOCIAL EN SAN JUAN, CL. BATERIA DE SAN JUAN","CALLE","TARTAGO","2","N"
591,"LOCAL SOCIAL EN LOS HOYOS, CL. LA  CULTURA","CALLE","LA CULTURA","1","N"
593,"CENTRO CIVICO Y DE LA TERCERA EDAD DE LOMO APOLINARIO","CALLE","PINO APOLINARIO","90","N"
594,"LOCAL SOCIAL EN LA URBANIZACION COPHERFAM","URBANIZACION","COPHERFAM I","18 BIS","N"
595,"LOCAL SOCIAL EN EL SECADERO  I  Y  III, CL. GUAXARA N' 15","CALLE","GUAXARA","15","N"
596,"LOCAL SOCIAL EN  PEDRO HIDALGO BAJO, CL. MIGUEL GIL N' 28","CALLE","MIGUEL GIL","28","N"
597,"SERVICIOS SOCIALES DISTRITO VEGUETA, CONO SUR Y TAFIRA","CALLE","FCTCO. FCO. ARENCIBIA CABRERA","2","N"
598,"LOCAL SOCIAL EN LUGAREJO, CL. CHAPARRON","CALLE","CHAPARRON","S/N","N"
599,"JUNTA DE DISTRITO TAMARACEITE-SAN LORENZO Y LOCAL SOCIAL","CALLE","DOCTOR JUAN MEDINA NEBOT","3 -- 5","N"
600,"LOCAL SOCIAL EN TENOYA, CL. EL MOLINO N' 79","CALLE","EL MOLINO TENOYA","79","N"
601,"LOCAL SOCIAL EN LA MONTA�ETA, CL. ISLA DE LA GRACIOSA N' 35","CALLE","ISLA DE LA GRACIOSA","35","N"
602,"LOCAL SOCIAL EN CASABLANCA I, CL. ANTON DVORAK","CALLE","ANTON DVORAK","14","N"
604,"CENTRO CIVICO ZARATE, CL. FCO. INGLOTT ARTILES N' 26","CALLE","FRANCISCO INGLOTT ARTILES","26","N"
605,"CENTRO CIVICO DIVINA PASTORA","CALLE","CALZADA LATERAL DEL NORTE","","N"
606,"CENTRO CIVICO MADERA Y CORCHO, PZ. JUAN DEL RIO AYALA","PLAZA","JUAN DEL RIO AYALA","","N"
607,"LOCAL SOCIAL EN LA ISLETA, CL. BENTAGACHE N' 33","CALLE","BENTAGACHE","33","N"
608,"LOCAL SOCIAL EN SCHAMANN BAJO, CL. DR. JIMENEZ NEYRA N' 46","CALLE","DOCTOR JIMENEZ NEYRA","46","N"
609,"SOLAR DEL LOCAL SOCIAL EN COSTA AYALA, CL. MAR BONITA N' 6","CALLE","MAR BONITA","6","N"
610,"LOCAL SOCIAL EN EL TOSCON, PZ. DEL TOSCON","PLAZA","DEL TOSCON","","N"
611,"CENTRO CIVICO PILETAS","CALLE","EL MESIAS","22","N"
612,"SOLAR EN SAN NICOLAS, CL. SATURNO  N' 43","CALLE","SATURNO","43","N"
613,"LOCAL SOCIAL EN HOYA ANDREA, PLAZA DEL SOL","CALLE","INVIERNO","56","N"
614,"LOCAL SOCIAL EN LOMO BLANCO, CL. OBISPO PILDAIN N' 39","CALLE","OBISPO PILDAIN ZAPIAIN","39","N"
615,"LOCAL SOCIAL EN LAS MESAS, CL LA ROMERIA N' 12","CALLE","LA ROMERIA","12","N"
616,"CENTRO CIVICO ESCALERITAS, CL. MAGISTRAL ROCA PONSA N' 2","CALLE","MAGISTRAL ROCA PONSA","2","N"
617,"SOLAR DEL LOCAL SOCIAL EN SCHAMANN, PZ. N.S. DE LA PAZ","PLAZA","DE LA PAZ, 12 DE MARZO","","N"
619,"LOCAL SOCIAL EN SAN CRISTOBAL, P. DR. ANTONIO L. S. FLEITAS","PASEO","ANTONIO LUIS SANCHEZ FLEITAS","1","N"
621,"LOCAL SOCIAL BARRANQUILLO DE DON ZOILO, CL. P. VILLAR REINA","CALLE","PARROCO VILLAR REINA","84","N"
622,"LOCAL SOCIAL SAN ROQUE, ""CASA DE LOS PICOS"", CL. ZORONDONGO","CALLE","ZORONDONGO","5","N"
623,"LOCAL SOCIAL EN SAN JOSE, "" CASA AMARILLA "", P. DE SAN JOSE","PASEO","DE SAN JOSE","113","N"
624,"SOLAR EN ALTAVISTA, CL. ECHEGARAY 8, PARA VIAL Y E.L.","CALLE","ECHEGARAY","8","N"
626,"PARCELAS SISTEMA GENERAL P.P. DIAZ CASANOVA-VISTA HERMOSA","URBANIZACION","DIAZ CASANOVA","S/N","N"
627,"PARCELA USO DEPORTIVO  P.P. DIAZ CASANOVA-VISTAHERMOSA","URBANIZACION","DIAZ CASANOVA","S/N","N"
631,"PARCELA SOCIAL  P.P. DIAZ CASANOVA-VISTA HERMOSA","URBANIZACION","DIAZ CASANOVA","S/N","N"
632,"RED VIARIA P.P. DIAZ CASANOVA-VISTA HERMOSA","URBANIZACION","DIAZ CASANOVA","S/N","N"
636,"PARCELA N' 7 EL BATAN","CALLE","ALEXIS CARREL","19","N"
647,"PARCELA N' 29 EL BATAN","CALLE","YANUSARI KWATABA","3","N"
666,"TERRENO EN SAN JUAN PARA VIA DE ACCESO - PARTE VIAL","CALLE","REAL DE SAN JUAN","","N"
668,"SOLAR S ANTONIO,CL. CONDE ALBRIT 25 (ANTIGUO LOCAL SOCIAL)","CALLEJON","CONDE ALBRIT","25","N"
669,"LOCALES EN LA PLAYA DE LAS ALCARAVANERAS","PLAZA","ALCARAVANERAS","","N"
670,"RESTO TERRENO EN LAS LADERAS DE SAN JUAN Y SAN ROQUE","CALLE","NO VIAL","","N"
671,"ESCUELA INFANTIL  ""PLUTO"" -BARRIO DEL ATLANTICO","CALLE","DIEGO BETANCOR SUAREZ","","N"
672,"TERRENO EN LOMO VERDEJO","CALLE","LOMO VERDEJO","","N"
673,"TERRENO DE 209,50 M2 EN LOMO VERDEJO","CALLE","LOMO VERDEJO","","N"
674,"SOLAR PROLONGACION  CL. JUAN MANUEL DURAN GONZALEZ (E)","CALLE","VIRIATO","35","N"
675,"AUDITORIO DE LAS PALMAS DE GRAN CANARIA ""ALFREDO KRAUS""","PASEO","DE LAS CANTERAS","S/N","N"
690,"LAS PALMAS. PRESA DE UMBRIA","CALLE","NO VIAL","","N"
717,"ESTACION DE TRATAMIENTO DE AGUA DE ALMATRICHE","CARRETERA","DE ALMATRICHE","S/N","N"
809,"CENTRO CIVICO POLIVALENTE CUEVA TORRES - U.P. - BIBLIOTECA","URBANIZACION","CINCO CONTINENTES","S/N","N"
811,"SOLAR EN LUGAREJO PARA VIALES","CALLE","ARCO IRIS","S/N","N"
815,"SOLAR  PARA VIALES.  U.A. 15. LAS MAJADILLAS (E)","CALLE","LUIS SUAREZ SUAREZ","","N"
817,"TERRENO EN EL BARRANQUILLO DE DON ZOILO PARA ACCESOS","CALLE","MAESTRO RODO","S/N","N"
818,"PARCELA SERVICIOS SOCIALES EN  MARZAGAN - LOS LLANILLOS","CALLE","SECUNDINO ZUAZO","","N"
822,"PARCELA"" VIALES "" DE U.A. 1 DE MARZAGAN - LOS LLANILLOS  (E)","CARRETERA","DE MARZAGAN","","N"
823,"SOLAR PARA PROLONGACION DE LA AV. JOSE MESA Y LOPEZ (E)","AVENIDA","JOSE MESA Y LOPEZ","S/N","N"
824,"SOLAR PARA ENSANCHE DE LA CL. FERNANDO GUANARTEME (E)","CALLE","FERNANDO GUANARTEME","S/N","N"
829,"PARCELA 25  POLIGONO SECTOR 6  LA MINILLA.","CALLE","LA MINILLA","","N"
830,"PARCELA 26  POLIGONO SECTOR 6  LA MINILLA","CALLE","CONCEJAL GARCIA FEO","","N"
831,"PARCELA 27  POL. SECTOR 6  LA MINILLA (I.E.S. LA MINILLA)","CALLE","CONCEJAL GARCIA FEO","28","N"
832,"PARCELA 28  POLIGONO SECTOR 6  LA MINILLA","CALLE","LA MINILLA","","N"
833,"PARCELA 29  POLIGONO SECTOR 6  LA MINILLA","CALLE","LA MINILLA","","N"
834,"RESTO P.30  POLIGONO SECTOR 6  LA MINILLA. PARCELA SANITARIA","CALLE","ARAPILES","","N"
835,"PARCELA 31  POLIGONO SECTOR 6  LA MINILLA","CALLE","LA MINILLA","","N"
836,"PARCELA 32  POL SECTOR 6  LA MINILLA - APARCAMIENTO PUBLICO","CALLE","LA MINILLA","","N"
838,"VIALES CESION OBLIGATORIA POLIGONO SECTOR 6 LA MINILLA (E)","CALLE","LA MINILLA","","N"
839,"KIOSCO ALAMEDA DE COLON","PLAZA","ALAMEDA DE COLON","S/N","N"
840,"TERRENO EN EL LASSO","CARRETERA","CIUDAD SAN JUAN DE DIOS","","N"
842,"EDIFICIO MILLER","PARQUE","SANTA CATALINA","S/N","N"
843,"SOLAR EN LAS MESAS, CALLE LOS ABORIGENES","CALLE","LOS ABORIGENES","S/N","N"
844,"TERRENO EN EL TOSCON PARA VIALES","CALLE","EL EBANISTA","S/N","N"
845,"TERRENO EN SAN NICOLAS PARA MURO DE CONTENCION","CALLE","REAL DEL CASTILLO","24","N"
846,"TERRENO EN LAS MESAS (ANTES PARA VIAL)","CALLE","FDO.""NANINO""DIAZ CUTILLAS","S/N","N"
847,"TERRENO EN LAS MESAS (ANTES PARA VIAL)","CALLE","FDO.""NANINO""DIAZ CUTILLAS","S/N","N"
850,"TERRENO EN CASABLANCA I","CALLE","BRAHAMS","S/N","N"
858,"PARCELA R-11 PLAN PARCIAL HOYA ANDREA - CUESTA BLANCA","CALLE","PLUTON","S/N","N"
860,"PAR 14  P.P. HOYA ANDREA CUESTA BLANCA - COLEGIO HOYA ANDREA","CALLE","PLUTON","S/N","N"
861,"PARCELA 15  PLAN PARCIAL HOYA ANDREA - CUESTA BLANCA","CALLE","INVIERNO","S/N","N"
862,"PARCELA 16 P.P. HOYA ANDREA - CUESTA BLANCA","CALLE","PLUTON","S/N","N"
863,"PARCELA 17 P.P.HOYA ANDREA - HOY CANCHA DEPORTIVA (PARTE)","CALLE","PLUTON","S/N","N"
869,"PARCELA VIALES PLAN PARCIAL DIAZ CASANOVA (E)","URBANIZACION","DIAZ CASANOVA","S/N","N"
871,"TERRENO EN CASA AYALA PARA VIALES","CALLE","MANUEL BATISTA","S/N","N"
872,"CANCHA DEPORTIVA EN CASABLANCA I","CALLE","DEBUSSY","5","N"
873,"CANCHA DEPORTIVA EN  CASABLANCA III","CALLE","PINO APOLINARIO","S/N","N"
875,"CANCHA DEPORTIVA EN  SCHAMANN, PZ. DON BENITO","PLAZA","DE DON BENITO","S/N","N"
876,"CAMPO DE FUTBOL PARQUE ATLANTICO","CALLE","ALFEREZ PROVISIONAL","S/N","N"
877,"CANCHA DEPORTIVA EN LOS GILES","CALLE","ENEDAN","S/N","N"
878,"TERRENO ENTRE LAS URBS. LOS PAULES Y  LA PATERNA","CALLE","RAFAELA DE LAS CASAS GONZALEZ","7","N"
879,"PARCELA  C-3   PLAN PARCIAL SAN LAZARO - LA PALMA","CALLE","ATALAYA","","N"
880,"SOLAR EN LA CARRETERA GENERAL DEL NORTE PARA VIAL  (E)","CALLE","ENRIQUE SANCHEZ","1","N"
882,"TERRENO EN EL TOSCON PARA VIAL, FONDO DE SACO (E)","CALLE","EL AFILADOR","S/N","N"
883,"CASTILLO ALONSO ALVARADO O CUARTEL DE MATA","CALLE","DOMINGO GUERRA DEL RIO","147","N"
884,"ANTIGUO ESTANQUE DE BARRIAL EN ESCALERITAS","AVENIDA","ESCALERITAS","S/N","N"
885,"VIALES Y ESPACIOS LIBRES EN LA BALLENA (E)","CARRETERA","DEL NORTE","S/N","N"
886,"ESTACION DE BOMBEO DE AGUAS RESIDUALES DE SANTA CATALINA","ESPACIO LIBRE","TRAMO VII AUT. MARITIMA  (3)","S/N","N"
887,"TERRENO EN EL ROMAN - CULTURAL Y DEPORTIV0","CALLE","CASA ROMAN","4--6","N"
890,"KIOSCO EN EL PARQUE SANTA CATALINA, JUNTO  EDIFICIO MILLER","PARQUE","SANTA CATALINA","S/N","N"
893,"CANCHA DEPORTIVA EN LOS JARDINES DE BUENAVISTA","JARDINES","DE BUENAVISTA","S/N","N"
894,"TERRENO EN LOMO BLANCO INDUSTRIAL","CALLE","AZUAJE","S/N","N"
897,"TERRENO EN EL SECADERO","CARRETERA","DEL CENTRO","S/N","N"
923,"PARCELA EN SAN JOSE PARA VIAL","CALLE","BALLESTA","10","N"
925,"PARCELA EN LAS MESAS PARA VIAL (E)","CALLE","POETISA AGUSTINA ROMERO ""LA P","51","N"
927,"PARCELA-MANZANA 4 PLAN PARCIAL S-3 ALMATRICHE","CARRETERA","DE ALMATRICHE","S/N","N"
934,"PARCELA-MANZANA 25 PLAN PARCIAL S-3 ALMATRICHE","CARRETERA","DE ALMATRICHE","S/N","N"
935,"PARCELA 3 -MANZANA 28 PLAN PARCIAL S-3 ALMATRICHE","CARRETERA","DE ALMATRICHE","S/N","N"
936,"PARCELA-MANZANA 29 PLAN PARCIAL S-3 ALMATRICHE","CARRETERA","DE ALMATRICHE","S/N","N"
937,"TERRENOS CESION OBLIGATORIA ( VIALES ) P.P. S-3 ALMATRICHE","CARRETERA","DE ALMATRICHE","S/N","N"
940,"TERRENO EN LUGAREJO SOBRANTE DE VIA PUBLICA","CALLE","ARCO IRIS","S/N","N"
941,"SOLAR EN SAN JUAN PARA U.A.9 PEPRI SAN JUAN -SAN JOSE (E)","CALLE","SAN FELIPE","202","N"
943,"PARCELA RELIGIOSA JUNTO AL PARQUE DE LAS REHOYAS","CALLE","SANTA MARIA MICAELA","S/N","N"
946,"TERRENO EN CIUDAD DEL CAMPO AMPLIACION VIA PUBLICA","CALLE","MONSE�OR JOSE RGUEZ RGUEZ","2","N"
947,"TERRENO EN PILETAS PARA VIAL (E)","CALLE","GALILEA","S/N","N"
948,"TERRENO EN CASABLANCA I  PARA ESPACIO LIBRE","CALLE","JUAN SEBASTIAN BACH","S/N","N"
949,"TERRENO EN SAN JOSE PARA VIAL Y ESPACIOS LIBRES","CALLE","CASCABEL","10","N"
950,"KIOSCO OCTOGONAL EN EL PARQUE DE SANTA CATALINA","PARQUE","SANTA CATALINA","S/N","N"
951,"TERRENO PARA EL P.E.R.I. DE TENOYA","CALLE","LA PERLA","S/N","N"
952,"KIOSCO DEL ATLANTE. VARIANTE DEL RINCON","CARRETERA","DEL RINCON","S/N","N"
954,"TERRENO EN TAMARACEITE , RESTO DEL N: INV. 1:A-98 (CALLES)","CALLE","MADIAN","S/N","N"
957,"LOCALES URBANIZACION NUEVA PATERNA","CALLE","MANUEL DE FALLA","S/N","N"
960,"SOLAR EN EL PUERTO DE LA LUZ PARA ESPACIO LIBRE Y VIAL","CALLE","JUAN REJON","64","N"
961,"PARCELA E.E. PLAN PARCIAL SECTOR 7 DE SAN LORENZO-EDUCATIVO","CARRETERA","GENERAL SAN LORENZO","S/N","N"
964,"PARCELA P.D. PLAN PARCIAL SECTOR 7 SAN LORENZO - SANITARIO","CARRETERA","GENERAL SAN LORENZO","S/N","N"
967,"PARCELA S.G PLAN PARCIAL SECTOR 7 SAN LORENZO","CALLE","GUSTAVO J. NAVARRO NIETO","S/N","N"
968,"VIALES RODADOS Y PEATONALES P.P. SECTOR 7 SAN LORENZO (E)","CARRETERA","GENERAL SAN LORENZO","S/N","N"
981,"DEPOSITO DE AGUAS DEPURADAS DE LAS MONJAS","CALLE","PATAGONIA","S/N","N"
982,"SOLAR EN SAN JOSE, CALLE CANTABRIA, PARA VIAL","CALLE","CANTABRIA","41","N"
984,"TERRENO EN EL TOSCON ALTO PARA VIAL (E)","AVENIDA","DE LA DEMOCRACIA","S/N","N"
985,"TERRENO EN EL TOSCON BAJO PARA VIAL (E)","CALLE","EL CARTERO","","N"
986,"TERRENO EN LOMO BLANCO PARA VIARIO","CARRETERA","LOMO BLANCO (GC-112)","S/N","N"
990,"PAR. 35 SECTOR 4 POL I TAMARACEITE - COLEGIO ALFREDO KRAUS","CALLE","VENTURA DORESTE","S/N","N"
992,"PARCELA 37 SECTOR 4 POLIGONO I DE TAMARACEITE - EDUCATIVO","CALLE","JOSE Y MARIA","","N"
993,"P48-A S4 POL I TAMARACEITE-NUEVO CAMPO DE FUTBOL JUAN GUEDES","CALLE","JOSE Y MARIA","","N"
995,"CAMPOS DE FUTBOL 8  NUEVA PATERNA","CALLE","MANUEL DE FALLA","S/N","N"
999,"CANCHAS DEPORTIVAS EN LA VEGA DE SAN JOSE","CALLE","MALAGA","S/N","N"
1000,"RESTO PARCELA PARQUE DE LAS REHOYAS - APARCAMIENTO","CARRETERA","DEL NORTE","S/N","N"
1003,"PARCELA 6 - PASO PEATONAL - U.A. 28 ALMATRICHE","CALLE","ASOCIACION","S/N","N"
1004,"CENTRO DE INSERCION SOCIOLABORAL DE LA ISLETA","CALLE","LA NAVAL","231","N"
1006,"CANCHA DEPORTIVA EN LA CARRETERA DE MATA","CARRETERA","DE MATA","","N"
