"INVENTARIO","NOMBRE","DESCRIPCION"
195,"UN DEBER CUMPLIDO                            MUSEO DEL PRADO","OLEO CON MARCO MADERA NEGRO.   1,10 X 0,66.    GUERRERO HERIDO CON ARCABUZ.  AUTOR: FELIX MARTINEZ Y LORENZO.  MANILA 1.887"
196,"EL ZACATERO                                  MUSEO DEL PRADO","OLEO CON MARCO MADERA NEGRO 0,70 X 0,55.   ABORIGEN CON SOMBRERO DE PAJA.   AUTOR: ESTEBAN VILLANUEVA - MANILA 1.875"
197,"UNA MESTIZA                                  MUSEO DEL PRADO","OLEO CON MARCO DE MADERA NEGRO.   MUJER CON MANTILLA Y BIBLIA EN LA MANO.   1,24 X 0,82M.    AUTOR: GRANADA CABEZUDO"
198,"UN MESTIZO ESPA�OL                           MUSEO DEL PRADO","OLEO CON MARCO MADERA NEGRO.   0,70 X 0,55.  MESTIZO DE PERFIL. AUTOR: ESTEBAN VILLANUEVA. ACADEMIA DE MANILA"
199,"MESTIZA                                      MUSEO DEL PRADO","OLEO CON MARCO MADERA NEGRO.    0,70 X 0,55.    ESTUDIO DEL NATURAL MESTIZA DE MEDIO CUERPO.  AUTOR: ESTEBAN VILLANUEVA"
202,"PEDRO DE MENDOZA","BUSTO EN PIEDRA DE PEDRO DE MENDOZA"
204,"DECORACION DE LA CASA PALACIO RODRIGUEZ QUEGLES","DECORACION DE TECHOS Y DINTELES, MOLDURAS ORNAMENTALES, FRESCOS, VIDRIERAS Y ESPEJOS."
205,"COLECCION DE CERAMICAS DE EDUARDO GREGORIO","COLECCION DE 16 VASIJAS DE CERAMICA DE EDUARDO GREGORIO, NUMERADAS DEL 6 AL 21"
211,"HORNO DE PAN","OLEO REPRESENTANDO UN HORNO DE PAN. TONOS GRISES -PLATEADOS.  . AUTOR: JUAN MARQUES MAYOL"
212,"BUSTO DE DOMINGO J. NAVARRO","MOLDE DE  BARRO Y ESCAYOLA ) DE 0,57 X 0,40 X 0,48M. AUTOR:  FATIMA CABRERA RODRIGUEZ"
214,"BUSTO DE RAFAEL O'SHANAHAN","MOLDE DEL BUSTO DE FUNDICION DE 0,57 X 0,35 X 0,28M. AUTOR: PERERA"
215,"BUSTO DEL ESCRITOR  CLAVIJO Y FAJARDO","BUSTO DE ESCAYOLA DE 0,65 X 0,40M. AUTOR: JUAN DELGADO CRUZ"
216,"GEOGRAFIAS DEL VUELO","COLLAGE ACRILICO. 1,16 X 0,89M. AUTOR: AUGUSTO VIVES"
218,"RETRATO DE MARIA CRISTINA Y ALFONSO XIII NI�O","IMAGEN DE LA REINA CON SU HIJO EN BRAZOS. SIGLO XIX. AUTOR: NICOLAS MASSIEU Y FALCON.  1888  1,45 X 0.99M"
219,"AUDITORIO DE LAS PALMAS DE GRAN CANARIA","DIBUJO A PLUMILLA. AUTOR: ERNESTO RODRIGUEZ PADILLA"
220,"AUDITORIO DE LAS PALMAS DE GRAN CANARIA","DIBUJO A PLUMILLA. AUTOR: ERNESTO RODRIGUEZ PADILLA"
221,"AGUSTIN DE BETHENCOURT","BUSTO EN ARCILLA DE AGUSTIN DE BETHENCOURT. AUTOR: JUAN FRANCISCO TRUJILLO HERNANDEZ"
222,"JOSE FRANCHY ROCA","BUSTO EN ARCILLA DE JOSE FRANCHY ROCA. AUTOR: JUAN FRANCISCO TRUJILLO HERNANDEZ"
223,"CERVANTES Y DON JUAN DE AUSTRIA              MUSEO DEL PRADO","OLEO SOBRE TABLA, 0,27 X 0,36M. CERVANTES ENFERMO VISITADO POR EL INFANTE. AUTOR: EDUARDO CANO DE LA PE�A/1860"
225,"FLORERO                                      MUSEO DEL PRADO","OLEO SOBRE LIENZO, DE 0,73 X 0,54M REPRESENTANDO UN FLORERO DE VIDRIO CON FLORES. AUTOR: JOSE DE ARELLANO"
226,"GUIRNALDA DE FLORES                          MUSEO DEL PRADO","OLEO SOBRE LIENZO DE 0,72 X 0,54M . ANONIMO ESPA�OL SIGLO XVII"
227,"COLECCION NUMISMATICA","COLECCION DE 1.075 PIEZAS QUE ABARCA EPOCAS DESDE LA CREACION DE LA MONEDA HASTA LA CAIDA DEL IMPERIO ROMANO"
229,"ABSTRACTO","ACRILICO SOBRE TABLA EN TONOS AZULES 2,00 X 1,50M. AUTOR: DELI CODINA"
240,"FASE 4 ( CICLISTAS)","OLEO SOBRE LIENZO REPRESENTANDO UNOS CICLISTAS 1,33 X 0,91. AUTOR:  M.C. DEL TORO"
241,"FUTBOLISTAS","OLEO SOBRE LIENZO ESCENA DE FUTBOL 1,01 X 1,01. AUTOR: BETANCOR"
244,"MAQUETA DE LOLITA PLUMA (FAVILA 92)","MAQUETA EN BRONCE DE LA ESTATUA DE ""LOLITA PLUMA"" (3:B-146) SITUADA EN EL PARQUE SANTA CATALINA. AUTOR: AMADO GONZALEZ HEVIA (""FAVILA"")"
245,"MULTIPLE. LA PORTADA (2)","2 MAQUETAS DE ""LA PORTADA"",   EJEMPLARES N�MEROS 2 (CASAS CONSISTORIALES) Y 3 (METROPOL) DEL M�LTIPLE DE 500 PIEZAS, R�PLICAS DEL MONUMENTO ""LA PORTADA"", ESCULTURA EN HIERRO ( 3:B-147 ) SITUADA EN LA ENTRADA DEL TUNEL JULIO LUENGO"
246,"VEGUETA - ERMITA DEL ESPIRITU SANTO","DIBUJO A PLUMILLA DE LA ERMITA Y TEMPLETE DEL ESPIRITU SANTO. MARCO DE MADERA BARNIZADA Y PASSEPARTOUT BEIGE"
247,"VEGUETA - PLAZA DE SANTO DOMINGO","DIBUJO A PLUMILLA DE LA  PLAZA DE SANTO DOMINGO. MARCO DE MADERA BARNIZADA Y PASSEPARTOUT BEIGE"
248,"VEGUETA - FAYCAN","DIBUJO A PLUMILLA DE UNO DE LOS PERROS DE LA PLAZA DE SANTA ANA. MARCO DE MADERA BARNIZADA Y PASSEPARTOUT BEIGE"
249,"VEGUETA - PLAZA DEL PILAR NUEVO","DIBUJO A PLUMILLA DE LA  PLAZA DEL PILAR NUEVO Y LA CASA DE COLON. MARCO DE MADERA BARNIZADA Y PASSEPARTOUT BEIGE"
250,"VEGUETA - RINCON DE LA PLAZA DE SANTA ANA","DIBUJO A PLUMILLA DE UNA VISTA DE LA PLAZA DE SANTA ANA DESDE LA CALLE DORAMAS. MARCO MADERA Y PASSEPARTOUT BEIGE"
251,"VEGUETA - RINCON TIPICO","DIBUJO A PLUMILLA DE LA ESQUINA DE LA ERMITA DE SAN ANTONIO ABAD. MARCO DE MADERA BARNIZADA Y PASSEPARTOUT BEIGE"
252,"VEGUETA - ESQUINA PELOTA HERRERIA","DIBUJO A PLUMILLA DE UNA VISTA DE LA CALLE HERRERIA. MARCO DE MADERA BARNIZADA Y PASSEPARTOUT BEIGE"
253,"VEGUETA - LA CATEDRAL ( DETALLE )","DIBUJO A PLUMILLA DE PARTE DE LA CATEDRAL DE LAS PALMAS . MARCO DE MADERA BARNIZADA Y PASSEPARTOUT BEIGE"
254,"ABSTRACTO","CUADRO AL OLEO ABSTRACTO CON TONOS ROJOS Y GRISES.    MARCO PLASTICO NEGRO DE 1,00 X 1,00.   AUTOR: HILDEGART HAHN"
255,"LUNA LLENA","AGUADA AZUL O ACUARELA Y PLUMILLA 0,50 X 0,70. PAISAJE . AUTOR: ALBERTO MANRIQUE"
256,"CONTRALUZ","AGUADA AZUL O ACUARELA Y PLUMILLA 0,50 X 0,70. PAISAJE . AUTOR: ALBERTO MANRIQUE"
257,"PAISAJE DE TIERRA ROJA ""MOYA""","ABSTRACTO EN TONOS ROJOS 0,70 X 0,50. AUTOR: MARISA ESPINOSA 1992"
259,"PLAZA DE SANTO DOMINGO","SERIGRAFIA COLOR AZUL EN AZULEJO BLANCO - 0,20 X 0,15M. AUTOR; MARIANO UTRERA"
261,"RETRATO DE LA REINA ISABEL II","OLEO SOBRE LIENZO DE 1,17 X 0,91 M CON MARCO DORADO. REPRESENTA A LA REINA ISABEL II . AUTOR: PONCE DE LEON. 1845"
263,"TERMI - PAISAJE","OLEO SOBRE LIENZO REPRESENTANDO EL PLANO DE LA CIUDAD CON UN DIBUJO SUPERPUESTO. AUTOR: SALVADOR GARCIA AGUIAR"
264,"PRIMAVERA","OLEO SOBRE LIENZO REPRESENTANDO UN ROSTRO FEMENINO DOS VECES. AUTOR: FATIMA SUAREZ ALMEIDA"
265,"MUSEO Y CULTURA","COLLAGE EN COLOR BLANCO REPRESENTANDO EL PLANO DE UN MUSEO. AUTOR: CARLOS RAMOS TRUJILLO"
266,"FIGURA HUMANA DE ALABASTRO","FIGURA DE ALABASTRO SOBRE BASE DE  CORCHO REPRESENTANDO UNA FIGURA HUMANA. AUTOR: EDUARDO GREGORIO"
267,"FIGURA - CABEZA DE ALABASTRO","FIGURA DE ALABASTRO REPRESENTANDO UNA CABEZA ESTILIZADA EN FORMA PLANA. AUTOR: EDUARDO GREGORIO"
268,"BIBLIOTECA DE D. FERNANDO LEON Y CASTILLO","BIBLIOTECA LEGADA POR D. FERNANDO LEON Y CASTILLO, MARQUES DE MUNI, A LA CIUDAD DE LAS PALMAS DE GRAN CANARIA"
269,"LAPIDA DEL ANTIGUO PUENTE OBISPO VERDUGO","LAPIDA DE PIEDRA EN FORMA DE ESCUDO PERTENECIENTE AL ALTIGUO PUENTE DEL OBISPO VERDUGO"
270,"BUSTO DE ALFREDO KRAUS","BUSTO DE BRONCE DE ALFREDO KARUS. AUTOR: SANTIAGO DE SANTIAGO HERNANDEZ"
271,"REPORTAJE FOTOGRAFICO DEL ENTIERRO DE NESTOR M-F DE LA TORRE","REPORTAJE FOTOGRAFICO COMPUESTO POR 64 FOTOGRAFIAS Y UN FOLLETO DESPLEGABLE DE OCHO CARAS - AYO 1938."
272,"LEGADO DE D. FERNANDO LEON Y CASTILLO","SILLON DE MADERA LABRADA TAPIZADO EN TELA CON MOTIVOS FLORALES"
273,"LEGADO DE D. FERNANDO LEON Y CASTILLO","SILLON DE MADERA LABRADA TAPIZADO EN TELA CON MOTIVOS FLORALES"
274,"LEGADO DE D. FERNANDO LEON Y CASTILLO","SILLON DE MADERA LABRADA TAPIZADO EN TELA CON MOTIVOS FLORALES"
275,"LEGADO DE D. FERNANDO LEON Y CASTILLO","SILLON DE MADERA LABRADA TAPIZADO EN TELA CON MOTIVOS FLORALES"
276,"LEGADO DE D. FERNANDO LEON Y CASTILLO","SILLON DE MADERA LABRADA TAPIZADO EN TELA CON MOTIVOS FLORALES"
277,"LEGADO DE D. FERNANDO LEON Y CASTILLO","SILLA DE MADERA LABRADA TAPIZADA EN TELA CON MOTIVOS FLORALES"
278,"LEGADO DE D. FERNANDO LEON Y CASTILLO","SILLA DE MADERA LABRADA TAPIZADA EN TELA CON MOTIVOS FLORALES"
279,"LEGADO DE D. FERNANDO LEON Y CASTILLO","SILLA DE MADERA LABRADA TAPIZADA EN TELA CON MOTIVOS FLORALES"
280,"LEGADO DE D. FERNANDO LEON Y CASTILLO","SILLA DE MADERA LABRADA TAPIZADA EN TELA CON MOTIVOS FLORALES"
281,"LEGADO DE D. FERNANDO LEON Y CASTILLO","SILLA DE MADERA LABRADA TAPIZADA EN TELA CON MOTIVOS FLORALES"
282,"LEGADO DE D. FERNANDO LEON Y CASTILLO","SILLA DE MADERA LABRADA TAPIZADA EN TELA CON MOTIVOS FLORALES"
283,"LEGADO DE D. FERNANDO LEON Y CASTILLO","DOS ESTANTERIAS DE MADERA DE ROBLE LABRADA"
284,"LEGADO DE D. FERNANDO LEON Y CASTILLO","MESA DE DESPACHO EN MADERA DE ROBLE LABRADA"
285,"LEGADO DE D. FERNANDO LEON Y CASTILLO","""VISTA DEL PUERTO DE LA LUZ Y DE LA CIUDAD DE LAS PALMAS DE GRAN CANARIA, DE ELISEO MEIFREN"" - 1900 - OLEO SOBRE LIENZO"
286,"LEGADO DE D. FERNANDO LEON Y CASTILLO","RETRATO DE FERNANDO LEON Y CASTILLO, POR M. BALASCH"
287,"LEGADO DE D. FERNANDO LEON Y CASTILLO","""CARGA DEL EJERCITO ESPAYOL EN LA GUERRA DE CUBA"", DE JOAQUIN CUSACHS Y CUSACHS - 1889 - OLEO SOBRE LIENZO"
288,"LEGADO DE D. FERNANDO LEON Y CASTILLO","TABLA ANGLO-FLAMENCA, ANONIMO DEL SIGLO XVI - XVII"
289,"LEGADO DE D. FERNANDO LEON Y CASTILLO","RETRATO DEL DUQUE DE ALBA, SUPUESTAMENTE DEL SIGLO XVI. PUDIERA SER UNA COPIA DEL SIGLO XIX"
290,"LEGADO DE D. FERNANDO LEON Y CASTILLO","RETRATO LITOGRAFICO DE LA REINA DOYA MARIA CRISTINA"
291,"LEGADO DE D. FERNANDO LEON Y CASTILLO","RETRATO DEL REY FELIPE V - ANONIMO DEL SIGLO XVIII. NOTA: PARECE NO PERTENECER AL LEGADO"
292,"LEGADO DE D. FERNANDO LEON Y CASTILLO","DOS BODEGONES ANONIMOS - PUEDE QUE DEL SIGLO XVIII"
293,"LEGADO DE D. FERNANDO LEON Y CASTILLO","ESCRIBANIA DE MARMOL CON BUSTO CENTRAL"
294,"LEGADO DE D. FERNANDO LEON Y CASTILLO","JARRON DE BRONCE"
295,"LEGADO DE D. FERNANDO LEON Y CASTILLO","JARRON DE BRONCE"
296,"LEGADO DE D. FERNANDO LEON Y CASTILLO","REPRODUCCION DEL NIYO DE LA ESPINA, EN FUNDICION"
297,"LEGADO DE D. FERNANDO LEON Y CASTILLO","FIGURA DE BRONCE REPRESENTANDO A LA DIOSA MINERVA"
298,"LEGADO DE D. FERNANDO LEON Y CASTILLO","TITULO: ""ACCIDENTE""FIGURA DE TIERRA COCIDA - REPRESENTA UN MONAGUILLO QUE SE HA QUEMADO Y SE LLEVA LOS DEDOS A LA BOCA - AUTOR: MARIANO BENLLIURE"
299,"LEGADO DE D. FERNANDO LEON Y CASTILLO","VELON DE BRONCE CON PANTALLA DE CRISTAL VERDE ( AHORA LAMPARA DE TECHO CON LUZ ELECTRICA)"
300,"LEGADO DE D. FERNANDO LEON Y CASTILLO","VELON DE BRONCE CON PANTALLA DE CRISTAL VERDE ( AHORA LAMPARA DE TECHO CON LUZ ELECTRICA)"
301,"LEGADO DE D. FERNANDO LEON Y CASTILLO","LAMPARA DE ARAYA CON CINCO PANTALLAS DE COBRE Y SEDA"
302,"LEGADO DE D. FERNANDO LEON Y CASTILLO","CARPETA DE CUERO"
303,"LEGADO DE D. FERNANDO LEON Y CASTILLO","CORTINAJE CON BARRAS Y ABRAZADERAS - ACTUALMENTE LA TELA ES NUEVA"
304,"LEGADO DE D. FERNANDO LEON Y CASTILLO","CORTINAJE CON BARRAS Y ABRAZADERAS - ACTUALMENTE LA TELA ES NUEVA"
305,"RISCO","PINTURA SOBRE UN PALE REPRESENTANDO HILERAS DE CASAS MULTICOLORES. AUTOR: MARTA MARI�O CASILLAS"
306,"SIN TITULO","PINTURA EN DOS PARTES EN TONOS ROJOS Y VERDES. AUTOR:CARMEN AGUILAR SANTANA"
307,"SELECCION","PINTURA REPRENTANDO UNA SERIE DE PERSONAJES SOBRE FONDO OCRE. EN PRIMER PLANO, UN RATON.AUTOR:ROSA DELIA MARRERO SANTANA"
308,"LA CEREMONIA. EL SUE�O DE OSIRIS","COMPOSICI�N FORMADA POR DOS PANELES, DE 120 CM X 120 CM, UN D�PTICO, EN DONDE HAY UNA HILERA DE MOMIAS EGIPCIAS BLANCAS EXCEPTO UNA DE COLOR NARANJA (OSIRIS), CON SUS ATRIBUTOS CARACTER�STICOS. ENVUELTAS EN VENDAS, CON LA BARBA OSIRIACA, TOCADOS EGIPCIOS Y M�SCARAS FUNERARIAS. FONDO DE COLORES BLANCOS EN LA PARTE SUPERIOR Y TONOS AMARILLOS Y ANARANJADOS EN LA INFERIOR. AUTOR: PEPE DAMASO"
309,"CARNAVAL 2000","ORIGINAL DEL CARTEL DEL CARNAVAL DE LAS PALMAS DE GRAN CANARIA AYO 2000, DEDICADO A EGIPTO. AUTOR: JOSE DAMASO"
311,"FIESTAS DE SAN JUAN 1985","ORIGINAL DEL CARTEL DE LAS FIESTAS. PINTURA SOBRE TABLEX. AUTOR: ANGEL GUSTAVO - 1985"
312,"C./1.0","PINTURA ACRILICA REPRESENTANDO UNA PANTALLA DE ORDENADOR CON UN DESNUDO DE MUJER. AUTOR: ALEJANDRO MIRANDA SUREDA"
313,"BIOPSIA","PINTURA DE TECNICA MIXTA  DE TIPO ABSTRACTO. AUTOR: JOSE ENRIQUE GARCIA FUENTES"
314,"ESPERANDO","PINTURA AL OLEO REPRESENTANDO UN HOMBRE SENTADO EN ACTITUD DE ESPERA. AUTOR: CARMEN AGUILAR CHACON"
316,"MAQUETA DEL MONUMENTO A ALFREDO KRAUS","REPRODUCCION EN BRONCE SOBRE PEDESTAL DE MADERA DEL MONUMENTO A ALFREDO KRAUS COLOCADO EN LOS JARDINES DE LOS PUERTOS ATLANTICOS, DE VICTOR OCHOA"
317,"SIN TITULO","CUADRO CON FOTOGRAFIA DE BOB DYLAN. AUTOR: FERNANDO LARRAZ MORA"
318,"SIN TITULO","CUADRO SEMI ABSTRACTO EN TONOS AZULES CON UN PEZ. AUTOR: ANDREA BASAEZ SIMONE"
319,"SIN TITULO","CUADRO SEMI ABSTRACTO  EN TONOS VERDES. AUTOR: ULISES PARADA PEREZ"
321,"MAQUETA DE ""LA ALIANZA"" DE FACUNDO FIERRO","MAQUETA DE LA ESCULTURA INSTALADA EN LA AVENIDA MARITIMA A LA ALTURA DE JUAN XXIII"
322,"CASA DE COLON","GRABADO A TINTA SOBRE LAMINA PLATEADA DE LA CASA DE COLON. CONMEMORACION DE LOS 500 A�OS DE LA FUNDACION DE LA CIUDAD . 1978"
323,"BUSTO PREPARATORIO EN YESO DEL PINTOR MANOLO MILLARES","CABEZA DE ESCAYOLA.  MEDIDAS     36 cm.alto x 21 cm.ancho x 28 cm.fondo. AUTOR: MIGUEL ALONSO MU�OZ - 1983"
324,"GREGORIO CHIL Y NARANJO","BUSTO EN BRONCE DEL DOCTOR CHIL"
325,"VISTA DE LA PLAZA DE SANTA ANA","DIBUJO DE SANTIAGO SANTANA"
337,"PABLO IGLESIAS","BUSTO DE PABLO IGLESIAS"
339,"CARTEL CARNAVAL DE LAS PALMAS A�O 2001, DEDICADO AL CIRCO","CARTEL ORIGINAL DE LAS FIESTAS, DEL ARTISTA GARCIA ALVAREZ"
340,"MAGMA II","ESCULTURA ABSTRACTA EN BRONCE, PIEZA N� 40 DE UN MULTIPLE. MEDIDAS: 13 CM ANCHO X 5 CM FONDO X 21 CM ALTO. EL ORIGINAL ESTA REALIZADO EN PIEDRA VOLCANICA. AUTOR: TONY GALLARDO"
341,"MURCIELAGO","ESCULTURA DE UN MURCIELAGO EN BRONCE. MEDIDAS: 22 CM ANCHO X 3 CM FONDO X 8 CM ALTO. AUTOR: EDUARDO GREGORIO"
342,"9 PALOMAS ""BUCHUAS""","9 ESCULTURAS DE PALOMAS EN ALUMINIO. MEDIDAS: 9 CM ANCHO X 9,5 CM FONDO X 12 CM ALTO. AUTOR: EDUARDO GREGORIO"
343,"CARTEL DEL CARNAVAL DE LAS PALMAS DE G. C. DEL A�O 2002","VIDRIERA DE VIVOS COLORES REALIZADA POR JUAN ANTONIO GIRALDO"
344,"LOS SILENCIOS DEL GOLGOTA","COMPOSICION ABSTRACTA DE TECNICA MIXTA, EN TONOS OCRES Y GRISES, FORMADA ESENCIALMENTE POR LINEAS VERTICALES. MEDIDAS 111 X 89 CM"
345,"DOBLA","COMPOSICION ABSTRACTA EN VINILO SOBRE PLEXIGLAS FORMADA POR DOS CIRCULOS BLANCOS SOBRE FONDO ROJO Y NEGRO. MEDIDAS 115 X 89 CM"
346,"SIN TITULO, SERIE THE PILLARS","COMPOSICION ABSTRACTA DE TECNICA MIXTA, EN COLRES BLANCO Y NEGRO CON RAYAS ROJAS FINAS. MEDIDAS 115 X 82 CM"
347,"RETRATO DE ALFONSO XIII","OLEO SOBRE LIENZO. RETRATO DE JUVENTUD, EN CUERPO ENTERO, DEL MONARCA ALFONSO XIII, VESTIDO CON UNIFORME DE LA MARINA Y PORTANDO BASTON DE MANDO EN SU MANO DERECHA. AUTOR: NESTOR MARTIN FERNANDEZ DE LA TORRE"
348,"PINTURAS DEL TECHO DEL ESCENARIO DEL TEATRO PEREZ GALDOS","OLEO SOBRE LIENZO . SERIE DE TRES COMPOSICIONES RECTANGULARES CON EFEBOS RODEADOS DE FRUTAS Y FAUNA EXOTICAS DE VIVOS COLORES, ENMARCADOS DENTRO DE UNA ARQUITECTURA CLASICA IMAGINARIA.     C. 1925 - 1928   AUTOR: NESTOR MARTIN FERNANDEZ DE LA TORRE."
349,"SANTA ISABEL (TRIPTICO IGLESIA SANTA ISABEL DE HUNGRIA )","OLEO SOBRE LIENZO. SANTA ISABEL MIRA A LOS CIELOS EN ACTITUD MISTICA EN PRESENCIA DE MENDIGOS A SUS PIES, EN TONALIDADES VIVAS DE COLOR Y CANON ALARGADO DE LAS FIGURAS.  AUTOR: JESUS GONZALEZ ARENCIBIA"
350,"SAN FRANCISCO DE ASIS (TRIPTICO STA ISABEL DE HUNGRIA)","OLEO SOBRE LIENZO. ASCENSION A LOS CIELOS DE SAN FRANCISCO DE ASIS, SIGUIENDO UN CANON ALARGADO PARA LAS FIGURAS Y EMPLEANDO TONALIDADES VIVAS QUE SE CONTRAPONEN A LOS PERSONAJES QUE OBSERVAN LA ESCENA EN LA PARTE INFERIOR DE LA COMPOSICION. AUTOR: JESUS GONZALEZ ARENCIBIA"
351,"SANTA CLARA (TRIPTICO IGLESIA SANTA ISABEL DE HUNGRIA","OLEO SOBRE LIENZO. SANTA CLARA ELEVA SUS BRAZOS AL CIELO EN LA PARTE SUPERIOR , Y OTROS PERSONAJES EN LA PARTE INFERIOR SE VEN REPRESENTADOS CON TONALIDADES OSCURAS Y SOMBRIAS.  AUTOR: JESUS GONZALEZ ARENCIBIA"
352,"EL HOMBRE PAISAJE","LAPIZ SOBRE PAPEL. COMPOSICION DE TONALIDADES VERDOSAS SOBRE FONDO GRISACEO, EN DONDE LA FIGURA CENTRAL, DE ASPECTO ANTROPOMORFICO, CON EXTREMIDADES REMARCADAS, SE ADAPTA A LA LINEA ESTRUCTURAL DE LA PIEZA, QUE SEMEJA UNA LADERA CUBIERTA DE VEGETACION. AUTOR: ANTONIO SANCHEZ CABRERA 1998"
353,"JARRON CON GIRASOLES","OLEO SOBRE LIENZO. SOBRE UNA ESQUINA DE UNA VENTANA, SE OBSERVA UN JARRON DE TONOS OSCUROS CON SEIS GIRASOLES, EN TONOS AMARILLOS, QUE SE EXPANDEN POR TODA LA OBRA, EN CALIDO CONTRASTE CON LOS COLORES FRIOS DEL FONDO DE LA COMPOSICION. AUTOR: MARISA ESPINOSA 1996 - 1998"
354,"7 ESTUDIOS PARA EL CARTEL DEL CARNAVAL 2001","ACRILICO SOBRE PAPEL. 7 COMPOSICIONES PROPIAS DEL LENGUAJE EXPRESIONISTA, REPRESENTAN DE MANERA SEMIABSTRACTA, LA CARPA DE UN CIRCO. DESTACAN POR LA GESTUALIDAD DEL TRAZO Y LOS VIVOS COLORES QUE EMPLEA. AUTOR: JOSE ANTONIO GARCIA ALVAREZ"
355,"12 ESTUDIOS PARA EL CARTEL DEL CARNAVAL 2002","COLLAGE Y ACRILICO. 12 BOCETOS DE VIVOS COLORES, COMPOSICIONES CON MOTIVOS GEOMETRICOS, ELEMENTOS FLORALES Y VEGETALES RELACIONADOS CON  LA CULTURA AMERINDIA. AUTOR: JUAN ANTONIO GIRALDO"
356,"GASOLINERA DE LA PLAZA DE STAGNO","ACUARELA. VISTA URBANA ABOCETADA DE LA PLAZA DE STAGNO QUE MUESTRA UNA GASOLINERA EN EL CENTRO DE LA COMPOSICION. AL FONDO, EDIFICIOS SEMIDIFUMINADOS EN TONOS AZULES Y NARANJAS, SOBRE FONDO NEUTRO."
357,"TEATRO TIRSO DE MOLINA","ACUARELA. VISTA DE LA FACHADA PRINCIPAL DEL ANTIGUO TEATRO TIRSO DE MOLINA, EN TONOS ANARANJADOS Y AZULES SOBRE FONDO GRISACEO, EN DONDE SE PERCIBEN ALGUNOS TRANSEUNTES AL PIE DEL EDIFICIO."
358,"PINTURAS DEL TECHO DE LA SALA DEL TEATRO PEREZ GALDOS","8 COMPOSICIONES PICTORICAS A MODO DE BODEGON, FORMADO POR EXHUBERANTES FRUTAS DEL PAIS DE ESTILO CLASICISTA Y VIVOS COLORES. EL CONJUNTO SE ENCUENTRA ENMARCADO POR UNA GRAN GRISALLA A MODO DE TROMPE - L'OEIL, IMITANDO ELEMENTOS DECORATIVOS ARQUITECTONICOS.AUTOR: NESTOR MARTIN FERNANDEZ DE LA TORRE"
359,"PIEDAD","BAJORELIEVE EN MADERA DE CEDRO. REPRESENTA EL DESCENDIMIENTO DE CRISTO DE LA CRUZ. SAN JUAN SOSTIENE EL CUERPO DE CRISTO Y LA VIRGEN MARIA SOSTIENE LOS PA�OS , CUYO TRATAMIENTO ES DE DESTACAR, ASI COMO EL ABIGARRAMIENTO DE LA COMPOSICION, QUE TRANSMITE UNA SENSACION OPRESIVA. AUTOR: PLACIDO FLEITAS"
360,"MULTIPLE DEL MONUMENTO AL ATLANTE","EJEMPLAR N�MERO 18 DEL M�LTIPLE COMPUESTO POR 75 PIEZAS, ESCULTURA DE BRONCE DE BULTO REDONDO QUE SEMEJA UNA FIGURA ANTROPOMORFICA  DESDIBUJADA, QUE ALZA SUS TRUNCADOS BRAZOS. AUTOR: TONY GALLARDO"
361,"PASEANDO POR LA BARRA - BAJORRELIEVES","SERIE DE 22 BAJORRELIEVES EN MADERA TALLADA, REPRESENTANDO FIGURAS FEMENINAS DE ATLETICA  Y MUSCULOSA ANATOMIA - AUTOR: JUAN BORDES CABALLERO - 1997"
362,"PASEANDO POR LA BARRA - ESCULTURAS","CONJUNTO DE 15 ESCULTURAS DE MOTIVOS MARINOS, EN ALUMINIO, BRONCE Y ACERO REPARTIDAS POR EL INTERIOR Y EL EXTERIOR DEL EDIFICIO. AUTOR: JUAN BORDES CABALLERO - 1997"
363,"MAQUETA EN RESINA DEL MONUMENTO A ALFREDO KRAUS","MAQUETA DE LA ESCULTURA DE ALFREDO KRAUS, DE BULTO REDONDO REALIZADA EN RESINA. AUTOR: VICTOR OCHOA"
364,"MAQUETA EN BRONCE DEL MONUMENTO A ALFREDO KRAUS","MAQUETA DE LA ESCULTURA DE ALFREDO KRAUS, DE BULTO REDONDO REALIZADA EN BRONCE - AUTOR: VICTOR OCHOA"
365,"ESFINGES (DOS UNIDADES)","DOS ANIMALES MITOLOGICOS EN ESCAYOLA COMPUESTOS POR CABEZA DE LEON ENSE�ANDO LAS FAUCES Y UNAS ENORMES ALAS DE AGUILA, CON LAS PATAS TRASERAS FLEXIONADAS. CORONAN EL INMUEBLE FLANQUEANDO EL MIRADOR."
366,"MAQUETA DE UN MONUMENTO A CARLOS NAVARRO RUIZ","BOCETO PREPARATORIO EN YESO. SOBRE UNA BASE QUE IMITA UNA ROCA, SE ELEVA UN PILAR, DECORADO CON UN FRISO FORMADO POR BAJORRELIEVES DE CARACTER ALEGORICO, COMPUESTO POR MULTIPLES FIGURAS FEMENINAS Y NI�OS. EL MONUMENTO ESTA CORONADO POR UN BUSTO RETRATO DEL HOMENAJEADO, REPRESENTADO CON BARBA Y ATUENDO PROPIO DE PRINCIPIOS DE SIGLO. AUTOR: ABRAHAM CARDENES"
367,"BUSTO DEL MAESTRO D. FRANCISCO GONZALEZ DIAZ","YESO MODELADO. RETRATO MASCULINO DE MEDIO CUERPO, DE FACCIONES MUY MARCADAS Y ATAVIADO CON CHAQUETA Y CORBATA. DESTACA EN SU ATUENDO EL CUELLO CAMISERO PROPIO DEL SMOKING. AUTOR: MANOLO RAMOS"
