TIPO,EJERCICIO,ECONÓMICO,ABREVIADA,DESCRIPCIÓN
"I",2015,"39117","MULTAS TRIB OCUPACION VIA PUBLICA","MULTAS POR INFRACCIONES TRIBUTARIAS DERIVADAS DE APLICACION DE LAS TASAS POR OCUPACION DE LA VIA PUB"
"I",2015,"39118","MULTAS TRIB OCUP SUELO,SUBSUELO VUELO","MULTAS POR INFRACCIONES TRIBUTARIAS DERIVADAS DE APLICACION DE LAS TASAS POR OCUPACION DEL SUELO, SU"
"I",2015,"39119","OTRAS MULTAS INFRACC TRIB Y ANALOGAS","OTRAS MULTAS POR INFRACCIONES TRIBUTARIAS Y ANALOGAS"
"I",2015,"39120","MULTAS INFRAC ORDENANZA CIRCULACION","MULTAS POR INFRACCIONES DE LA ORDENANZA DE CIRCULACION"
"I",2015,"39190","OTRAS MULTAS Y SANCIONES","OTRAS MULTAS Y SANCIONES"
"I",2015,"392","Rcgos p.ejec, decl ext sin requer previo","RECARGOS DEL PERIODO EJECUTIVO Y POR DECLARACIóN EXTEMPORANEA SIN REQUERIMIENTO PREVIO"
"I",2015,"39200","RECARGOS DECLAR EXTEMP SIN REQ PREVIO","RECARGOS POR DECLARACIÓN EXTEMPORANEA SIN REQUERIMIENTO PREVIO"
"I",2015,"39210","RECARGO EJECUTIVO","RECARGO EJECUTIVO"
"I",2015,"39211","RECARGO DE APREMIO","RECARGO DE APREMIO"
"I",2015,"393","Intereses de demora","Intereses de demora"
"I",2015,"39300","INTERESES DE DEMORA.","INTERESES DE DEMORA."
"I",2015,"394","Prestación personal","Prestación personal"
"I",2015,"39400","PRESTACION PERSONAL","PRESTACION PERSONAL"
"I",2015,"39406","","PRESTACION DE SERVICIOS EN LA CAJA BLANCA"
"I",2015,"395","Prestación de transporte","Prestación de transporte"
"I",2015,"39500","PRESTACION DE TRANSPORTE","PRESTACION DE TRANSPORTE"
"I",2015,"396","Ingr actuaciones de urbanización","Ingresos por actuaciones de urbanización"
"I",2015,"39600","CANON DE URBANIZACION","CANON DE URBANIZACION"
"I",2015,"39610","CUOTAS DE URBANIZACION","CUOTAS DE URBANIZACION"
"I",2015,"39620","CARGAS EXTERNAS","CARGAS EXTERNAS"
"I",2015,"397","Aprovechamientos urbanísticos","Aprovechamientos urbanísticos"
"I",2015,"39700","CANON APROVECHAMINETOS URBANISTICOS","CANON POR APROVECHAMINETOS URBANISTICOS"
"I",2015,"39710","OTROS INGR APROVECHAMIENTOS URBANIST","OTROS INGRESOS POR APROVECHAMIENTOS URBANISTICOS"
"I",2015,"398","Indemnizaciones seguros de no vida","Indemnizaciones de seguros de no vida"
"I",2015,"39800","INDEMNIZACIONES SEGUROS NO DE VIDA","INDEMNIZACIONES POR SEGUROS NO DE VIDA"
"I",2015,"399","Otros ingresos diversos","Otros ingresos diversos"
"I",2015,"39900","INGRESOS INDETERMINADOS.","INGRESOS INDETERMINADOS."
"I",2015,"39901","INGR INDETERMINADOS CONTROL CALIDAD","INGRESOS INDETERMINADOS POR CONTROL DE CALIDAD"
"I",2015,"39902","ING. INDETERM EJECUC SUBSIDIARIAS","ING. INDETERMINADOS POR EJECUCIONES SUBSIDIARIAS"
"I",2015,"39909","INGR INDETERM REDONDEO DEL EURO","INGRESOS INDETERMINADOS POR REDONDEO DEL EURO"
"I",2015,"39910","INGR EVENTUALES A FAVOR DE LA CORP","INGRESOS EVENTUALES  A FAVOR DE  LA CORPORACION."
"I",2015,"39920","ALCANCES","ALCANCES"
"I",2015,"39930","COSTAS","COSTAS"
"I",2015,"39990","TASAS, PP Y OTROS ING EXT","TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS EXTINGUIDOS"
"I",2015,"4","TRANSFERENCIAS CORRIENTES","TRANSFERENCIAS CORRIENTES"
"I",2015,"40","De la Admón Gral de la Entidad Local","De la Administración General de la Entidad Local."
"I",2015,"400","Transf ctes del Ayto. a sus OO.AA.","TRANSFERENCIAS CORRIENTES DEL AYUNTAMIENTO DE MALAGA A SUS ORGANISMOS AUTONOS"
"I",2015,"40000","TRANSF CTES DEL AYTO A SUS OO. AA.","TRANSFERENCIAS CORRIENTES DEL AYUNTAMIENTO DE MALAGA A SUS ORGANISMOS AUTONOMOS"
"I",2015,"401","Transf.ctes. del Ayto. a sus EE. Mpales.","TRANSFERENCIAS CORRIENTES DEL AYUNTAMIENTO A SUS EMPRESAS MUNICIPALES"
"I",2015,"40100","TRANSF CTES DEL AYTO A SUS  EE. MPLES","TRANSFERENCIAS CORRIENTES DEL AYUNTAMIENTO A SUS EMPRESAS MUNICIPALES"
"I",2015,"409","T ctes del Ayto. a otros EE.PP. Mpales","TRANSFERENCIAS CORRIENTES DEL AYUNTAMIENTO A OTROS ENTES PUBLICOS MUNICIPALES"
"I",2015,"40900","T CTES DEL AYTO A OTROS EE. PP. MPLES","TRANSFERENCIAS CORRIENTES DEL AYUNTAMIENTO A OTROS ENTES PUBLICOS  MUNICIPALES"
"I",2015,"41","De OO. AA. de la Entidad Local","De Organismos Autónomos de la Entidad Local."
"I",2015,"410","De OO. AA. de la Entidad Local","De Organismos Autónomos de la Entidad Local."
"I",2015,"41000","T CTES DE OO. AA DEL AYTO","TRANSFERENCIAS CORRIENTES DE ORGANISMOS AUTONOMOS DEL AYUNTAMIENTO DE MALAGA."
"I",2015,"42","De la Admón del Estado","De la Administración del Estado."
"I",2015,"420","De la Admón gral del Estado","De la Administración general del Estado."
"I",2015,"42000","PARTICIP EN LOS TRIBUTOS DEL ESTADO","PARTICIPACION EN LOS TRIBUTOS DEL ESTADO"
"I",2015,"42010","PARTICIP MUNIC FONDO COMPL FINANCIACION","PARTICIPACION DE LOS MUNICIPIOS EN EL FONDO COMPLEMENTARIO DE FINANCIACION"
"I",2015,"42020","COMPENSACION POR BENEFICIOS FISCALES","COMPENSACION POR BENEFICIOS FISCALES"
"I",2015,"42030","SUBV PARA EL DEFICIT DE TRANSPORTE.","SUBVENCIONES PARA EL DEFICIT DE TRANSPORTE."
"I",2015,"42090","OTRAS TCTES DE ADMON GRAL ESTADO","OTRAS TRANSFERENCIAS CORRIENTES DE LA ADMINISTRACION GENERAL DEL ESTADO"
"I",2015,"421","De OO. AA. y agencias estatales","De Organismos Autónomos y agencias estatales."
"I",2015,"42100","T.CTES DEL SERVICIO PUBLICO EMPLEO ESTAT","TRANSFERENCIAS CORRIENTES DEL SERVICIO PUBLICO DE EMPLEO ESTATAL"
"I",2015,"42190","T.CTES DE OO. AA.Y AGENCIAS ESTADO","TRANSFERENCIAS CORRIENTES DE ORGANISMOS AUTONOMOS Y AGENCIAS DEL ESTADO"
"I",2015,"422","De fundaciones estatales.","De fundaciones estatales."
"I",2015,"42200","DE FUNDACIONES ESTATALES","DE FUNDACIONES ESTATALES"
"I",2015,"423","De sdes est, EE.PP.EE.y otros OO. Públ","DE SOCIEDADES MERCANTILES ESTATALES, ENT. PúBLICAS EMPRESARIALES Y OTROS ORGANISMOS PúBLICOS."
"I",2015,"42300","DE LOTERIAS Y APUESTAS DEL ESTADO","DE LOTERIAS Y APUESTAS DEL ESTADO"
"I",2015,"42390","T CTES OTRAS SDES ESTAT, EE.PP.EE.Y OO.","TRANSFERENCIAS CORRIENTES DE OTRAS SOC MERCANTILES ESTATALES, ENTIDADES PUBLICAS EMPRESARIALES Y ORG"
"I",2015,"43","De la Seguridad Social.","De la Seguridad Social."
"I",2015,"430","De la Seguridad Social.","De la Seguridad Social."
"I",2015,"43000","TRANSF CTES DE SEGURIDAD SOCIAL","TRANSFERENCIAS CORRIENTES DE LA SEGURIDAD SOCIAL"
"I",2015,"44","De EE. y sdes de la Entidad local","DE ENTES PúBLICOS Y SOCIEDADES MERCANTILES DE LA ENTIDAD LOCAL"
"I",2015,"440","De entes públicos.","De entes públicos."
"I",2015,"44000","TRANSF CTES  DE ENTES PUBLICOS DEL AYTO","TRANSFERENCIAS CORRIENTES DE ENTES PUBLICOS DEL AYUNTAMIENTO DE MALAGA"
"I",2015,"441","DE SOCIEDADES MERCANTILES","DE SOCIEDADES MERCANTILES"
"I",2015,"44100","T CTES DE EMPRESAS  DEL AYTO","TRANSFERENCIAS CORRIENTES DE EMPRESAS DEL AYUNTAMIENTO DE MALAGA"
"I",2015,"45","De Comunidades Autónomas","De Comunidades Autónomas"
"I",2015,"450","De la Admón Gral de la CC. AA.","DE LA ADMINISTRACIóN GENERAL DE LA COMUNIDAD AUTONOMA"
"I",2015,"45000","PARTICIP EN TRIBUTOS DE JTA ANDALUCIA","PARTICIPACION EN TRIBUTOS DE LA JUNTA DE ANDALUCIA"
"I",2015,"45001","OTRAS TRANSF INCONDICIONADAS DE JTA AND","OTRAS TRANSFERENCIAS INCONDICIONADAS DE LA JUNTA DE ANDALUCIA"
"I",2015,"45002","TC CONV JTA AND SERV SOCIALES E IGUALDAD","TRANSF CTES EN CUMPLIMIENTO DE CONVENIOS SUSCRITOS CON LA J. DE ANDALUCIA EN MATERIA DE S. SOCIALES"
"I",2015,"45030","TC CONV JTA AND EN EDUCACION","TRANSF. CORRIENTES EN CUMPLIMIENTO DE CONVENIOS SUSCRITOS CON LA JUNTA DE ANDALUCIA EN MATERIA DE ED"
"I",2015,"45050","TC CONV JTA AND EMPLEO Y DESARR LOCAL","TRANSF. CORRIENTES EN CUMPLIMIENTO DE CONVENIOS SUSCRITOS CON LA JUNTA DE ANDALUCIA EN MATERIA DE EM"
"I",2015,"45060","OTRAS TC CONV JTA DE ANDALUCIA","OTRAS TRANSFERENCIAS CORRIENTES EN CUMPLIMIENTO DE CONVENIOS SUSCRITOS CON LA JUNTA DE ANDALUCIA"
"I",2015,"45080","OTRAS SUBV CTES DE ADMON GRAL JTA AND","OTRAS SUBVENCIONES CORRIENTES DE LA ADMINISTRACION GENERAL DE LA JUNTA DE ANDALUCIA"
"I",2015,"451","De OO.AA. y agencias CC. AA.","DE ORGANISMOS AUTóNOMOS  Y AGENCIAS DE LAS COMUNIDADES AUTONOMAS"
"I",2015,"45100","T C OO. AA. Y AGENCIAS JTA AND","TRANSFERENCIAS CORRIENTES DE ORGANISMOS AUTONOMOS Y AGENCIAS PERTENECIENTES A LA JUNTA DE ANDALUCIA."
"I",2015,"452","De fundaciones de las CC. AA.","De fundaciones de las Comunidades Autónomas"
"I",2015,"45200","T CTES FUNDACIONES JTA ANDALUCIA","TRANSFERENCIAS CORRIENTES DE FUNDACIONES PERTENECIENTES A LA JUNTA DE ANDALUCIA"
"I",2015,"453","De sdes, EEPPEEy otros OO. Públ CC.AA.","DE SOCIEDADES MERCANTILES, ENTIDADES PúBLICAS EMPRESARIALES Y OTROS ORGANISMOS PUBLICOS DEPENDIENTES"
"I",2015,"45300","TC SDES, EE.PP.EE. Y OO.JTA AND","TRANSF CORRIENTES DE SOC. MERCANTILES,  ENTIDADES PUBLICAS EMPRESARIALES  Y ORGANISMOS PUBLICOS PERT"
"I",2015,"46","De Entidades Locales","De Entidades Locales"
"I",2015,"461","De Diputaciones, Consejos o Cabildos","De Diputaciones, Consejos o Cabildos"
"I",2015,"46100","T CTES DIPUTACION  PROV MALAGA","TRANSFERENCIAS CORRIENTES DE LA DIPUTACION PROVINCIAL DE MALAGA"
"I",2015,"462","De Ayuntamientos","De Ayuntamientos"
"I",2015,"46200","TRANSF CTES DE AYUNTAMIENTOS","TRANSFERENCIAS CORRIENTES DE AYUNTAMIENTOS"
"I",2015,"46201","OTRAS T CTES (TORREMOLINOS)","OTRAS TRANSFERENCIAS CORRIENTES (TORREMOLINOS)."
"I",2015,"463","De Mancomunidades","De Mancomunidades"
"I",2015,"46300","TRANSFERENCIAS CORRIENTES MANCOMUNIDADES","TRANSFERENCIAS CORRIENTES DE MANCOMUNIDADES"
"I",2015,"464","De Áreas Metropolitanas","De Áreas Metropolitanas"
"I",2015,"46400","TRANSFERENCIAS CTES.AREAS METROPOLITANAS","TRANSFERENCIAS CORRIENTES DE AREAS METROPOLITANAS"
"I",2015,"465","De Comarcas","De Comarcas"
"I",2015,"46500","TRANSFERENCIAS CORRIENTES DE COMARCAS","TRANSFERENCIAS CORRIENTES DE COMARCAS"
"I",2015,"466","De Entidades que agrupen Municipios","De Entidades que agrupen Municipios"
"I",2015,"46600","TRANSFERENCIAS CTES.ENT.AGRUP.MUNICIPIOS","TRANSFERENCIAS CORRIENTES DE ENTIDADES QUE AGRUPEN MUNICIPIOS"
"I",2015,"467","De Consorcios","De Consorcios"
"I",2015,"46700","TRANSFERENCIAS CORRIENTES DE CONSORCIOS","TRANSFERENCIAS CORRIENTES DE CONSORCIOS"
"I",2015,"468","De Entidades Locales Menores","De Entidades Locales Menores"
"I",2015,"46800","TRANSFERENCIAS CTES.ENT.LOCALES MENORES","TRANSFERENCIAS CORRIENTES DE ENTIDADES LOCALES MENORES"
"I",2015,"47","De Empresas privadas","De Empresas privadas"
"I",2015,"470","De Empresas privadas","De Empresas privadas"
"I",2015,"47000","T CTES DE EMPRESAS PRIVADAS","TRANSFERENCIAS CORRIENTES DE EMPRESAS PRIVADAS."
"I",2015,"48","De familias e instit. sin fines de lucro","De familias e instituciones sin fines de lucro"
"I",2015,"480","De familias e instit. sin fines de lucro","De familias e instituciones sin fines de lucro"
"I",2015,"48000","TC FAMILIAS E INSTIT SIN FINES LUCRO","TRANSFERENCIAS CORRIENTES DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO."
"I",2015,"49","Del exterior","Del exterior"
"I",2015,"490","Del Fondo Social Europeo","Del Fondo Social Europeo"
"I",2015,"49000","T CTES DEL  F SOCIAL EUROPEO","TRANSFERENCIAS CORRIENTES DEL FONDO SOCIAL EUROPEO"
"I",2015,"491","Del Fondo de Desarrollo Regional","Del Fondo de Desarrollo Regional"
"I",2015,"49100","T CTES FONDO DE DESARROLLO REGIONAL","TRANSFERENCIAS CORRIENTES DEL  FONDO DE DESARROLLO REGIONAL"
"I",2015,"492","Del Fondo de Cohesión","Del Fondo de Cohesión"
"I",2015,"49200","T CTES DEL FONDO DE COHESION","TRANSFERENCIAS CORRIENTES DEL FONDO DE COHESION"
"I",2015,"493","Del F.E. Agrícola de Garantía (FEAGA)","Del Fondo Europeo Agrícola de Garantía (FEAGA)"
"I",2015,"49300","T C F.E. AGRICOLA DE GARANTIA (FEAGA)","TRANSFERENCIAS CORRIENTES DEL FONDO EUROPEO AGRICOLA DE GARANTIA (FEAGA)"
"I",2015,"494","Del F.E Agrícola Desar Rural (FEADER)","DEL FONDO EUROPEO AGRíCOLA DE DESARROLLO RURAL (FEADER)"
"I",2015,"49400","T CTES DEL F.E.A.D.E.R.","TRANSFERENCIAS CORRIENTES DEL FONDO EUROPEO AGRICOLA DE DESARROLLO RURAL (FEADER)"
"I",2015,"495","Del FEOGA-Orientación","Del FEOGA-Orientación"
"I",2015,"49500","T CTES DEL FEOGA ORIENTACION","TRANSFERENCIAS CORRIENTES DEL FEOGA ORIENTACION"
"I",2015,"496","Del Fondo Europeo  de la Pesca (FEP)","Del Fondo Europeo  de la Pesca (FEP)"
"I",2015,"49600","T CTES FONDO EUROPEO PESCA (FEP)","TRANSFERENCIAS CORRIENTES DEL FONDO EUROPEO DE PESCA (FEP)"
"I",2015,"497","Otras transf de la Unión Europea","Otras transferencias de la Unión Europea"
"I",2015,"49700","OTRAS T CTES UNION EUROPEA","OTRAS TRANSFERENCIAS CORRIENTES DE LA UNION EUROPEA"
"I",2015,"499","Otras transf exterior, excluyendo la UE","OTRAS TRANSFERENCIAS DEL EXTERIOR, EXCLUYENDO LA UNION EUROPEA"
"I",2015,"49900","OTRAS T CTES EXTERIOR, EXCLUYENDO UE","OTRAS TRANSFERENCIAS CORRIENTES DEL EXTERIOR, EXCLUYENDO LA UNION EUROPEA"
"I",2015,"5","INGRESOS PATRIMONIALES","INGRESOS PATRIMONIALES"
"I",2015,"50","Intereses títulos y valores","Intereses de títulos y valores"
"I",2015,"500","Del Estado","Del Estado"
"I",2015,"50000","INT TITULOS Y VALORES ESTADO","INTERESES DE TITULOS Y VALORES EMITIDOS POR EL ESTADO."
"I",2015,"501","De Organismos Autónomos y agencias","De Organismos Autónomos y agencias"
"I",2015,"50100","INT TITULOS VALORES OO. AA. Y AGENCIAS","INTERESES DE TITULOS VALORES EMITIDOS POR ORGANISMOS AUTONOMOS Y AGENCIAS"
"I",2015,"504","De sdes est, EE.PP.EE.y otros OO. Públ","DE SOCIEDADES ESTATALES, ENTIDADES PúBLICAS EMPRESARIALES Y OTROS ORGANISMOS PUBLICOS"
"I",2015,"50400","INT TITULOS,VALORES SDES ESTATALES, OO.","INTERESES DE TITULOS Y VALORES EMITIDOS POR SDADES ESTATALES, ENTIDADES PUBLICAS EMPRESARIALES Y ORG"
"I",2015,"505","De CC. AA.","De Comunidades Autónomas"
"I",2015,"50500","INT TITULOS,VALORES SDES Y OO. JTA AND","INTERESES TITULOS Y VALORES EMITIDOS POR SDES. MERCANTILES, ENTIDADES PUBL. EMPRESARIALES Y OO. PUBL"
"I",2015,"50501","INT TITUL,VALOR SDES Y OO. OTRAS CC.AA.","INTERESES TITULOS Y VALORES EMITIDOS POR SDES MERCANTILES, ENT. PUBLICAS EMPRESARIALES Y  OO. PUBLIC"
"I",2015,"506","De Entidades locales","De Entidades locales"
"I",2015,"50600","INT TITULOS,VALORES ENTIDADES LL","INTERESES DE TITULOS Y VALORES EMITIDOS POR ENTIDADES LOCALES"
"I",2015,"507","De empresas privadas","De empresas privadas"
"I",2015,"50700","INT TITULOS,VALORES EMPRESAS PRIV","INTERESES DE TITULOS VALORES EMITIDOS POR EMPRESAS PRIVADAS"
"I",2015,"51","Int anticipos y préstamos concedidos","Intereses de anticipos y préstamos concedidos"
"I",2015,"511","De OO. AA. y agencias.","De Organismos Autónomos y agencias."
"I",2015,"51100","INT ANTICIP Y PTMOS A OO.AA. DEL AYTO","INTERESES DE ANTICIPOS Y PRESTAMOS CONCEDIDOS A ORGANISMOS AUTONOMOS PERTENECIENTES AL AYUNTAMIENTO"
"I",2015,"51101","INT ANTICIP Y PTMOS OTROS OO.AA.Y AGENC","INTERESES DE ANTICIPOS Y PRESTAMOS CONCEDIDOS A OTROS ORGANISMOS AUTONOMOS Y AGENCIAS"
"I",2015,"514","De sdes, EE.PP.EE.y otros OO. Públ","A SOCIEDADES MERCANTILES, ENTIDADES PúBLICAS EMPRESARIALES Y OTROS ORGANISMOS PúBLICOS"
"I",2015,"51400","INT ANTICIP Y PTMOS A EMPR DEL AYTO","INTERESES DE ANTICIPOS Y PRESTAMOS CONCEDIDOS  A EMPRESAS CON PARTICIPACIóN DEL AYUNTAMIENTO DE MALA"
"I",2015,"51401","INT ANTICIP Y PTMOS A OTRAS EMPRESAS","INTERESES DE ANTICIPOS Y PRESTAMOS CONCEDIDOS A OTRAS EMPRESAS"
"I",2015,"51402","INT ANTICIP Y PTMOS DIPUTACION MALAGA","INTERESES ANTICIPOS Y PRESTAMOS CONCEDIDOS  A  LA DIPUTACION PROVINCIAL DE MALAGA"
"I",2015,"51403","INT ANTICIP Y PTMOS A OTROS ENTES LL","INTERESES DE ANTICIPOS Y PRESTAMOS CONCEDIDOS  A OTROS ENTES LOCALES"
"I",2015,"518","A familias e instit sin ánimo lucro","A familias e instituciones sin ánimo de lucro"
"I",2015,"51800","INT ANTICIP Y PTMOS A FAMILIAS","INTERESES DE ANTICIPOS Y PRESTAMOS CONCEDIDOS A FAMILIAS"
"I",2015,"51801","INT ANTICIP Y PTMOS EE. SIN FINES LUCRO","INTERESES DE ANTICIPOS Y PRESTAMOS CONCEDIDOS A ENTIDADES SIN FINES DE LUCRO"
"I",2015,"52","Intereses de depósitos","Intereses de depósitos"
"I",2015,"520","Intereses de depósitos","Intereses de depósitos"
"I",2015,"52000","INT DEPOSITOS CTAS BANCOS Y CAJAS","INTERESES DE DEPOSITOS EN CUENTAS DE BANCOS Y CAJAS DE AHORRO."
"I",2015,"52001","OTROS INTERESES DE DEPOSITOS","OTROS INTERESES DE DEPOSITOS"
"I",2015,"53","Dividendos y participación beneficios","Dividendos y participación beneficios"
"I",2015,"531","De Organismos Autónomos y agencias","De Organismos Autónomos y agencias."
"I",2015,"53100","DIV Y PARTICIP BENEFIC OO.AA.Y AGENCIAS","DIVIDENDOS Y PARTICIPACION EN BENEFICIOS DE ORGANISMOS AUTONOMOS Y AGENCIAS"
"I",2015,"534","De sdes, EE.PP.EE.y otros OO. Públ","DE SOCIEDADES MERCANTILES, ENTIDADES PúBLICAS EMPRESARIALES Y OTROS ORGANISMOS PúBLICOS"
"I",2015,"53400","DIVID.Y PARTICIP.BFOS SOCIEDADES DEPEND.","DIVIDENDOS Y PARTICIPACION EN BENEFICIOS DE SOCIEDADES Y ENTIDADES DEPENDIENTES DEL AYUNTAMIENTO DE"
"I",2015,"53401","DIV PARTICIP SDES Y  EE. NO DEL AYTO","DIVIDENDOS Y PARTICIPACION EN BENEFICIOS DE SDADES Y ENTIDADES NO DEPENDIENTES DEL AYUNTAMIENTO DE M"
"I",2015,"537","De empresas privadas","De empresas privadas"
"I",2015,"53700","DIV Y PART BENEFICIOS EMPR PRIVADAS","DIVIDENDOS Y PARTICIPACION EN BENEFICIOS DE EMPRESAS PRIVADAS"
"I",2015,"54","Rentas de bienes inmuebles","Rentas de bienes inmuebles"
"I",2015,"541","Arrendamientos de fincas urbanas","Arrendamientos de fincas urbanas"
"I",2015,"54100","RTA INMUEBL ARRENDAMIENTO FURBANAS","RENTA DE INMUEBLES PRODUCTO DEL ARRENDAMIENTO DE FINCAS URBANAS."
"I",2015,"542","Arrendamientos de fincas rústicas","Arrendamientos de fincas rústicas"
"I",2015,"54200","RTA INMUEBL ARRENDAMIENTO FRUSTICA","RENTA INMEBLES PRODUCTO DEL ARRENDAMIENTO DE FINCAS RUSTICAS"
"I",2015,"544","Censos","Censos"
"I",2015,"54400","CENSOS.","CENSOS."
"I",2015,"549","Otras rentas de bienes inmuebles","Otras rentas de bienes inmuebles"
"I",2015,"54900","PARTICIP TRASPASO LOCALES NEGOCIO","PARTICIPACION EN EL TRASPASO DE LOCALES DE NEGOCIO"
"I",2015,"54901","ADJUD Y SUBASTA LOCALES NEGOCIO","ADJUDICACION Y SUBASTA DE LOCALES DE NEGOCIO."
"I",2015,"54902","OTROS","OTROS."
"I",2015,"55","Ptos conc y aprov especiales","PRODUCTOS DE CONCESIONES Y APROVECHAMIENTOS ESPECIALES"
"I",2015,"550","De conc adtvas contraprestac periódica","DE CONCESIONES ADMINISTRATIVAS CON CONTRAPRESTACIóN PERIóDICA"
"I",2015,"55000","CONC PUBLICIDAD EN MOB URBANO","CONCESION DE PUBLICIDAD EN MOBILIARIO URBANO."
"I",2015,"55001","CANON PALACIO DE FERIAS","CANON PALACIO DE FERIAS"
"I",2015,"55004","",""
"I",2015,"55007","",""
"I",2015,"55010","OTRAS CONC Y APROV CONTR PCA A EMP. AYTO","OTRAS CONCESIONES ADM. Y APROVECHAMIENTOS ESPECIALES CON CONTRAPRESTACION PERIODICA A EMPRESESA PERT"
"I",2015,"55090","OTRAS CONC CONTRAPREST PERIODICA","OTRAS CONCESIONES ADMINISTRATIVAS CON CONTRAPRESTACIóN PERIóDICA"
"I",2015,"551","De conc adtvas contraprest no periódica","DE CONCESIONES ADMINISTRATIVAS CON CONTRAPRESTACIóN NO PERIóDICA"
"I",2015,"55100","CANON POR CONCESION DE GASOLINERAS.","CANON POR CONCESION DE GASOLINERAS."
"I",2015,"55110","OTRAS CONC, APROV CONTR NO PCA EMP AYTO","OTRAS CONCESIONES ADMTVAS Y APROVECHAMIENTOS ESPECIALES CON CONTRAPRESTACION NO PERIODICA A EMPRESAS"
"I",2015,"55190","OTRAS CONC CONTRAPREST NO PERIODICA","OTRAS CONCESIONES ADMINISTRATIVAS CON CONTRAPRESTACIóN NO PERIODICA"
"I",2015,"552","Dcho superficie contraprest periódica","DERECHO DE SUPERFICIE CON CONTRAPRESTACIóN PERIODICA"
"I",2015,"55200","D SUPERF CONTRAP PERIOD A EMPR AYTO","DERECHOS DE SUPERFICIE CON CONTRAPRESTACION PERIODICA A EMPRESAS PERTENECIENTES AL AYTO DE MALAGA"
"I",2015,"55201","OTROS D SUPERF CONTRAP PERIODICA","OTROS DERECHOS DE SUPERFICIE CON CONTRAPRESTACION PERIODICA"
"I",2015,"553","D superf con contraprest no periódica","DERECHO DE SUPERFICIE CON CONTRAPRESTACIóN NO PERIODICA"
"I",2015,"55300","D SUPERF CONTRAP NO PERIOD EMPR AYTO","DERECHOS DE SUPERFICIE CON CONTRAPRESTACION NO PERIODICA A EMPRESAS PERTENECIENTES AL AYUNTAMIENTO D"
"I",2015,"55301","OTROS D SUPER CONTRAPR  NO PERIODICA","OTROS DERECHOS DE SUPERFICIE CON CONTRAPRESTACION NO PERIODICA"
"I",2015,"554","Aprovech agrícolas y forestales","Aprovechamientos agrícolas y forestales"
"I",2015,"55400","PCTO DE EXPLOTACIONES FORESTALES","PRODUCTO DE EXPLOTACIONES FORESTALES"
"I",2015,"55410","FONDO DE MEJORA DE MONTES","FONDO DE MEJORA DE MONTES"
"I",2015,"55420","APROVECHAMIENTOS AGRICOLAS","APROVECHAMIENTOS AGRICOLAS"
"I",2015,"555","Aprov especiales con contraprestación","Aprovechamientos especiales con contraprestación"
"I",2015,"55500","APROV ESPECIALES CON CONTRAPRESTACION","APROVECHAMIENTOS ESPECIALES CON CONTRAPRESTACION."
"I",2015,"559","Otras concesiones y aprovechamientos","Otras concesiones y aprovechamientos"
"I",2015,"55900","OTROS PCTOS CONCECIONES Y APROV","OTROS PRODUCTOS DE CONCECIONES Y APROVECHAMIENTOS ESPECIALES"
"I",2015,"55901","RECURSOS POR LIQ. CONCESION LIMASA II","RECURSOS POR LIQUIDACION CONCESION LIMASA II"
"I",2015,"59","Otros ingresos patrimoniales","Otros ingresos patrimoniales"
"I",2015,"591","Benef realización invers fras","BENEFICIOS POR REALIZACIóN DE INVERSIONES FINANCIERAS"
"I",2015,"59100","BENEFICIOS REALIZACION INV FRAS","BENEFICIOS POR REALIZACION DE INVERSIONES FINANCIERAS"
"I",2015,"592","Ingr operaciones intercambio fro","Ingresos por operaciones de intercambio financiero"
"I",2015,"59200","INGR OPERACIONES INTERCAMBIO FRO","INGRESOS POR OPERACIONES DE INTERCAMBIO FINANCIERO"
"I",2015,"59201","INGRESOS POR INTERESES OP.INTERCAMBIO","INGRESOS POR INTERESES DE OPERACIONES DE INTERCAMBIO FINANCIERO DE INTERESES EN MONEDA DIFERENTE AL"
"I",2015,"59202","DIF.POS.CAMBIO OPERACIONES INTERCAM FIN.","DIFENCIAS POSITIVAS DE CAMBIO POR OPERACIONES DE INTERCAMBIO FINANCIERO EN MONEDA DISTINTA AL EURO"
"I",2015,"59203","BENEFICIOS CANCELACION OP.INTERC.FINANCI","BENEFICIOS DE CANCELACION DE OPERACIONES DE INTERCAMBIO FINANCIERO"
"I",2015,"599","Otros ingresos patrimoniales","Otros ingresos patrimoniales"
"I",2015,"59900","OTROS ING PATRIM EXPLOT EDIF APARCAM","OTROS INGRESOS PATRIMONIALES POR LA EXPLOTACION DE EDIFICIOS DE APARCAMIENTOS"
"I",2015,"59901","OTROS INGRESOS PATRIMONIALES","OTROS INGRESOS PATRIMONIALES"
"I",2015,"59902","RECURSOS PROPIOS APLICABLES","RECURSOS PROPIOS APLICABLES"
"I",2015,"6","ENAJENACIÓN INVERSIONES REALES","ENAJENACIÓN DE INVERSIONES REALES"
"I",2015,"60","De Terrenos","De Terrenos"
"I",2015,"600","Venta de solares","Venta de solares"
"I",2015,"60000","ENAJENACION DE SOLARES","ENAJENACION DE SOLARES"
"I",2015,"601","Venta de fincas rústicas","Venta de fincas rústicas"
"I",2015,"60100","ENAJENACION DE FINCAS RUSTICAS","ENAJENACION DE FINCAS RUSTICAS"
