FECHA,DIRECCION,Nº,TIPO CONTENDOR,UND,"NUEVA
UBICACIÓN","COSTE
(unidad)","COSTE
(Total)"
HUELGA,AVD. CARLINDA,8,CL RSU,1,HECHO 24/12/2013,"910,00","910,00"
HUELGA,AVD. LOPE DE RUEDA,127,CL RSU,1,HECHO 24/12/2013,"910,00","910,00"
HUELGA,JABONEROS X JARA,,CT RSU,1,HECHO 24/12/2013,"185,24","185,24"
HUELGA,MARMOLES,68,CT RSU,1,HECHO 24/12/2013,"185,24","185,24"
HUELGA,MARIA ISOLA,1,CT RSU,1,HECHO 24/12/2013,"185,24","185,24"
HUELGA,TRAVESIA MAQUEDA (COLEGIO),,CL RSU,1,HECHO 24/12/2013,"910,00","910,00"
HUELGA,EMILIO LA CERDA,4,CT RSU,1,HECHO 24/12/2013,"185,24","185,24"
HUELGA,CARRETERA OLIAS,48,IGLU ENVASES,1,HECHO 24/12/2013,"516,19","516,19"
HUELGA,ESQUILO,17,IGLU VIDRIO,1,HECHO 24/12/2013,"485,00","485,00"
HUELGA,ESQUILO,17,IGLU ENVASES,1,HECHO 24/12/2013,"516,19","516,19"
HUELGA,CARRIL CORDOBESA,40,IGLU PAPEL,1,HECHO 24/12/2013,"516,19","516,19"
HUELGA,CARRERA CAPUCHINOS,J9,CL ENVASES,1,HECHO 24/12/2013,"830,00","830,00"
HUELGA,CARRERA CAPUCHINOS,J9,CL PAPEL,1,HECHO 24/12/2013,"830,00","830,00"
