EXERCICI,CODI_ORGANIC,ORGANIC,CODI_ECONOMIC,ECONOMIC,APLICACIO,PRESSUPOST_INICIAL,MODIFICACIONS_CREDIT,PREVISIONS_DEFINITIVES,DRETS_RECONEGUTS_NETS,RECAUDACIO_LIQUIDA,PERC_EXECUCIO
2017,9320,HISENDA I SERVEIS ECONOMICS,11600,IMPUESTO INCREMENTO VALOR TERRENOS,Impost sobre l'increment del valor del terreny (Plus-vàlua),4600000,0,4600000,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,13000,ACTIVIDADES EMPRESARIALES,Impost sobre activitats econòmiques,4500000,0,4500000,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,13001,ACTIVIDADES PROFESIONALES Y ARTISTICAS,IAE quotes provincials i nacionals,300000,0,300000,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,29000,"IMPTO.S/CONSTRUCCIONES, INSTALAC. Y OBRA",Impost sobre construcciones intal·lacions i obres,275000,0,275000,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,33200,Taxa per utilit. privat. o aprofit. especial per emp.explot,Taxa per utilit. privat. o aprofit. especial per emp.explot,1000000,0,1000000,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,33300,Taxa per utilit. priv. aprofit. esp.emp.expl. telecomunic,Taxa per utilit. priv. aprofit. esp.emp.expl. telecomunic,0,0,0,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,39300,interessos de demora,interessos de demora,0,0,0,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,39902,Imprevistos,Ingressos imprevistosl,0,0,0,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,42000,Participació en els Tributs de l'Estat.,Participació en els Tributs de l'Estat.,16536097.12,0,16536097.12,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,45000,Participació en tributs de la Comunitat Autònoma.,Participació en tributs de la CCAA Fons de Cooperació Local,407793.57,0,407793.57,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,45001,Altres transferències incondicionadas.,Altres transferències incondicionadas.,0,0,0,,,
2017,9320,HISENDA I SERVEIS ECONOMICS,54100,Descripción Económica,Arrendaments fiques urbanes,213559.32,0,213559.32,,,
2017,9340,Descripción Orgánica,52000,INTERESES EN CUENTAS CORRIENTES,Interessos de dipòsits,150000,0,150000,,,
2017,1320,SEGURETAT I ORDRE PÚBLIC,32500,Expedició de documents,Expedició de documents,0,0,0,,,
