nomTramit,servei,tramitPresencial,tramitTelefonic,tramitTelematica,urlCarpetaCiutadana,urlRegitreTelematic,documents,adreces,perfilCiutadania,perfilEntitats,perfilEmpreses,perfilComercs,perfilEmprenedors,perfilProveidors,temes,contadorVisites,dataModificacio
Convocatòria 2016 de subvencions per a l'impuls de l'activitat empresarial en el municipi de Rubí. Modalitat comerç,U016 - COMERÇ,si,no,no,,,<documento><doc_nombre>Bases reguladores de subvencions per a l'impuls de l'activitat empresarial al municipi de Rubí</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_20153178100_219806.pdf</doc_url></documento><documento><doc_nombre>Text íntegre convocatòria subvencions impuls activitat empresarial 2016. Modalitat Comerç</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_2016410105014_354270.pdf</doc_url></documento><documento><doc_nombre>Publicació BOPB convocatòria 2016 subvencions impuls activitat empresarial. Modalitat Comerç</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_2016410105745_163351.pdf</doc_url></documento><documento><doc_nombre>Trama Urbana Consolidada</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/tuc_rubi.pdf</doc_url></documento><documento><doc_nombre>Model sol·licitud subvenció impuls activitat empresarial</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_20164481332_117300.pdf</doc_url></documento><documento><doc_nombre>Model declaracions responsables obligacions tributaries i SS subvencions impuls activitat empresarial</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_20164117496_110777.pdf</doc_url></documento><documento><doc_nombre>Model declaració altres subvencions impuls activitat empresarial</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_2016448157_101217.pdf</doc_url></documento><documento><doc_nombre>Model sol·licitud transferència bancària subvencions impuls activitat empresarial</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_2016448717_63928.pdf</doc_url></documento><documento><doc_nombre>Model relació classificada de la despesa subvencions impuls activitat empresarial</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_20164481126_127116.pdf</doc_url></documento><documento><doc_nombre>Relació epígrafs IAE objecte de la subvencio impuls activitat empresarial 2016. Modalitat comerç</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_20164482011_36257.pdf</doc_url></documento><documento><doc_nombre>Edicte concessió subvencions impuls activitat empresarial 2016</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/irm_2016111375149_526199.pdf</doc_url></documento>,,no,no,no,si,no,no,"<tema><tem_codigo>10</tem_codigo><tem_nombre>Ajuts, subvencions, bonificacions</tem_nombre></tema>",2319,12/13/2016 06:57:16 AM
Devolució d'avals i fiances dipositades per llicències d'obres,U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Instància Sol·licitud de devolució d'avals i fiances per obres</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511094810_34408.pdf</doc_url></documento>,,si,no,si,no,no,no,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",1408,02/04/2015 02:59:58 PM
Emissió de duplicats de títols de drets funeraris,U054 - SERVEIS FUNERARIS,si,no,no,,,<documento><doc_nombre>Instància duplicat títol drets funeraris</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/jrm_201492131934_394464.pdf</doc_url></documento>,"<direccion><dir_nombre>Cementiri Municipal</dir_nombre><dir_direccion>Crta. Sabadell Km.13, 08191 Rubí</dir_direccion><dir_cp>08191</dir_cp><dir_municipio>Rubí</dir_municipio><dir_telefono>935887722</dir_telefono><dir_web></dir_web><dir_horario><![CDATA[<p><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horari habitual:</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>dilluns a dissabte, de 9 a 13 h i de 15 a 18 h. Diumenges i festius, de 9 a 14 h.<span class=""Apple-converted-space""> </span></span><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horaris especials:</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>de juny a setembre de 9 a 13 h i tardes de 16 a 19 h. (de dilluns a dissabtes)<span class=""Apple-converted-space""> </span></span><strong style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff;"">Horari d'oficina</strong><span style=""color: #000000; font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 11.1999998092651px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: normal; orphans: auto; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; display: inline !important; float: none; background-color: #ffffff;""><span class=""Apple-converted-space""> </span>de dilluns a divendres de 9 a 13 h</span></p>]]></dir_horario></direccion>",si,no,no,no,no,no,<tema><tem_codigo>25</tem_codigo><tem_nombre>Cementiri</tem_nombre></tema>,501,12/29/2016 09:38:44 AM
"Gestió d'avisos, queixes i suggeriments",U059 - GOVERNANÇA I CIUTADANIA,si,no,si,https://www.e-ajrubi.net/eParticipa/Products/Carpeta/Public/Requests/InetReqPublic.aspx?language=CA&TypeId=38083,,<documento><doc_nombre>Instància en català</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cat.pdf</doc_url></documento><documento><doc_nombre>Instància en castellà</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cast.pdf</doc_url></documento>,,si,si,si,si,si,si,,1278,02/05/2015 09:53:36 AM
Gual permanent: Alta,U050 - MOBILITAT,si,no,no,,,<documento><doc_nombre>Autorització propietari sol·licitud de llicència de guals</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/autoritzaci__prop_sollicitud_gual.pdf</doc_url></documento><documento><doc_nombre>Vorada Tipus 25</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/vorada_tipus_25.pdf</doc_url></documento><documento><doc_nombre>Vorada Tipus ICS</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/vorada_tipus_ics.pdf</doc_url></documento><documento><doc_nombre>Vorada Tipus Manresa</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/vorada_tipus_manresa.pdf</doc_url></documento><documento><doc_nombre>Sol·licitud Alta gual</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/ECL_201511014640_111835.pdf</doc_url></documento>,,si,no,si,si,no,no,"<tema><tem_codigo>4</tem_codigo><tem_nombre>Vehicles (tramitació de guals, multes de trànsit, retirada vehicle...)</tem_nombre></tema>",1210,01/03/2017 08:58:05 AM
Gual permanent: Baixa,U050 - MOBILITAT,si,no,no,,,<documento><doc_nombre>Compromís d'esmenes per baixa de llicència de gual</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/plantilla_comprom_s_adeq_aci__bord___baixes__23_9_2009.pdf</doc_url></documento><documento><doc_nombre>Sol·licitud Baixa gual</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/ECL_201511014811_92992.pdf</doc_url></documento><documento><doc_nombre>Vorada recta</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/vorada_recta.pdf</doc_url></documento><documento><doc_nombre>Declaració No ús</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/ECL_201492122417_81452.pdf</doc_url></documento>,,si,no,si,si,no,no,"<tema><tem_codigo>4</tem_codigo><tem_nombre>Vehicles (tramitació de guals, multes de trànsit, retirada vehicle...)</tem_nombre></tema>",874,12/30/2016 08:29:22 AM
Gual permanent: Canvi de titular,U050 - MOBILITAT,si,no,no,,,<documento><doc_nombre>Vorada Tipus 25</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/vorada_tipus_25.pdf</doc_url></documento><documento><doc_nombre>Vorada Tipus ICS</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/vorada_tipus_ics.pdf</doc_url></documento><documento><doc_nombre>Vorada Tipus Manresa</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/vorada_tipus_manresa.pdf</doc_url></documento><documento><doc_nombre>Autorització propietari sol·licitud de llicència de guals</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/autoritzaci__prop_sollicitud_gual.pdf</doc_url></documento><documento><doc_nombre>Sol·licitud Canvi titular gual</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/ecl_201582113834_97875.2.pdf</doc_url></documento>,,si,no,si,si,no,no,"<tema><tem_codigo>4</tem_codigo><tem_nombre>Vehicles (tramitació de guals, multes de trànsit, retirada vehicle...)</tem_nombre></tema>",1078,12/30/2016 08:34:23 AM
Gual permanent: Modificació,U050 - MOBILITAT,si,no,no,,,<documento><doc_nombre>Autorització propietari sol·licitud de llicència de guals</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/autoritzaci__prop_sollicitud_gual.pdf</doc_url></documento><documento><doc_nombre>Vorada Tipus 25</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/vorada_tipus_25.pdf</doc_url></documento><documento><doc_nombre>Vorada Tipus ICS</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/vorada_tipus_ics.pdf</doc_url></documento><documento><doc_nombre>Vorada Tipus Manresa</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/vorada_tipus_manresa.pdf</doc_url></documento><documento><doc_nombre>Sol·licitud de llicència de gual -Modificacions-</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/ecl_201582113647_105910.2.pdf</doc_url></documento>,,si,no,si,si,no,no,"<tema><tem_codigo>4</tem_codigo><tem_nombre>Vehicles (tramitació de guals, multes de trànsit, retirada vehicle...)</tem_nombre></tema>",805,12/30/2016 08:39:07 AM
Informe d'aprofitament urbanístic,U043 - PLANIFICACIÓ,si,no,no,,https://www.e-ajrubi.net/sta/Relec/TramitaForm?dboidSolicitud=6269000009385959607707,<documento><doc_nombre>Sol·licitud informe aprofitament urbanístic</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/informe_d__aprofitament_urban_stic_2010.pdf</doc_url></documento>,,si,si,si,no,no,si,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",696,12/30/2016 08:42:34 AM
Inscripció als casals vacacionals de l'escola Teresa Altet i 25 de Setembre,U036 - EDUCACIÓ,si,no,no,,,<documento><doc_nombre>Formulari d'inscripció Casal Vacacional de Nadal</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmm_2016119101545_98116.pdf</doc_url></documento><documento><doc_nombre>Informació general del Casal Vacacional de Nadal</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmm_2016119101731_93664.pdf</doc_url></documento>,,si,no,no,no,no,no,"<tema><tem_codigo>6</tem_codigo><tem_nombre>Ensenyament (preinscripcions, beques menjador...)</tem_nombre></tema>",28,12/09/2016 09:25:43 AM
Inscripció en el Registre d'Entitats Ciutadanes (REC),U059 - CIUTADANIA I DRETS CIVILS,si,no,no,,https://www.e-ajrubi.net/sta/Relec/TramitaForm?dboidSolicitud=6269000009385959607707,<documento><doc_nombre>Sol·licitud Registre Entitats Ciutadanes</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/08.01.29_impr_s_alta_baixa_o_modificaci__rec.pdf</doc_url></documento>,,no,si,no,no,no,si,"<tema><tem_codigo>22</tem_codigo><tem_nombre>Informació general (Registre d'entitats, formalització d'entitat...)</tem_nombre></tema>",1066,12/30/2016 08:45:00 AM
Inscripció sessió participativa ciutadana Pla d'Equipaments Municipals,U004 - ORGANIZACIÓ I PLANIFICACIO,si,no,si,https://www.e-ajrubi.net/eParticipa/Products/Carpeta/Public/Requests/InetReqPublic.aspx?language=CA&TypeId=38615,,,,si,si,no,no,no,si,,279,05/19/2016 06:24:13 AM
Inscripcions als cursos de formació de pares i mares,U036 - EDUCACIÓ,no,si,si,,,,,si,no,no,no,no,no,<tema><tem_codigo>19</tem_codigo><tem_nombre>Formació</tem_nombre></tema>,696,10/03/2016 10:09:55 AM
Inscripcions i matriculació als Casals diaris,U036 - EDUCACIÓ,si,no,no,,,<documento><doc_nombre>Sol·licitud d'inscripció als Casals diaris</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmm_2016815133054_190421.pdf</doc_url></documento><documento><doc_nombre>Informació general dels Casals d'Infants Diaris</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmm_2016815133143_178762.pdf</doc_url></documento>,,si,no,no,no,no,no,"<tema><tem_codigo>6</tem_codigo><tem_nombre>Ensenyament (preinscripcions, beques menjador...)</tem_nombre></tema>",778,09/15/2016 11:39:36 AM
Instància genèrica,U019 - OAC,si,no,no,,,<documento><doc_nombre>Instància en català</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cat.pdf</doc_url></documento><documento><doc_nombre>Instància en castellà</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/instancia_cast.pdf</doc_url></documento>,,si,si,si,si,no,si,,5595,05/11/2015 08:02:52 AM
"Llicència Ambiental per activitats corresponents a l'annex II de la Llei 20/2009, de 4 de desembre, de prevenció i control ambiental en les activitats",U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Instància llicència ambiental</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/inst_ncia_llicencia_ambiental.pdf</doc_url></documento><documento><doc_nombre>Declaració responsable del tècnic competent</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/declarac_resp_t_cnic.pdf</doc_url></documento>,,no,no,si,no,no,no,<tema><tem_codigo>28</tem_codigo><tem_nombre>Activitats</tem_nombre></tema>,913,01/02/2017 07:19:09 AM
Llicència d'obres majors (canvi d'ús),U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Instància Sol·licitud obra major</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511095030_58739.pdf</doc_url></documento><documento><doc_nombre>Nomenament de contractista</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511094331_22012.pdf</doc_url></documento><documento><doc_nombre>Nomenament contractista del gremi de constructors</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/nomenament_contractista_gremi_de_la_construcio_del_valles.pdf</doc_url></documento><documento><doc_nombre>Model Normalitzat de l'estudi de gestió de residus de construcció i demolició</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/model_estudi_gestio_residus_de_construcci__i_demolici____ag_ncia_de_residus_de_catalunya.pdf</doc_url></documento>,,si,no,si,no,no,no,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",1085,01/04/2017 07:25:52 AM
Llicència d'obres majors (enderrocs),U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Model Normalitzat de l'estudi de gestió de residus de construcció i demolició</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/model_estudi_gestio_residus_de_construcci__i_demolici____ag_ncia_de_residus_de_catalunya.pdf</doc_url></documento><documento><doc_nombre>Nomenament de contractista</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511094331_22012.pdf</doc_url></documento><documento><doc_nombre>Nomenament contractista del gremi de constructors</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/nomenament_contractista_gremi_de_la_construcio_del_valles.pdf</doc_url></documento><documento><doc_nombre>Estadística d'edificació i habitatge</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/edificaci___i_habitatge.pdf</doc_url></documento><documento><doc_nombre>Instància Sol·licitud obra major</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511095030_58739.pdf</doc_url></documento>,,si,no,si,no,no,no,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",1060,01/04/2017 07:30:49 AM
Llicència d'obres majors (legalització),U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Estadística d'edificació i habitatge</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/edificaci___i_habitatge.pdf</doc_url></documento><documento><doc_nombre>Instància Sol·licitud obra major</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511095030_58739.pdf</doc_url></documento>,,si,no,si,no,no,no,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",1067,01/04/2017 07:33:32 AM
Llicència d'obres majors (obra nova),U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Model Normalitzat de l'estudi de gestió de residus de construcció i demolició</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/model_estudi_gestio_residus_de_construcci__i_demolici____ag_ncia_de_residus_de_catalunya.pdf</doc_url></documento><documento><doc_nombre>Nomenament de contractista</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511094331_22012.pdf</doc_url></documento><documento><doc_nombre>Estadística d'edificació i habitatge</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/edificaci___i_habitatge.pdf</doc_url></documento><documento><doc_nombre>Instància Sol·licitud obra major</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511095030_58739.pdf</doc_url></documento><documento><doc_nombre>Nomenament contractista del gremi de constructors</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/nomenament_contractista_gremi_de_la_construcio_del_valles.pdf</doc_url></documento>,,si,no,si,no,no,no,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",2406,01/02/2017 07:42:33 AM
Llicència d'obres menors,U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Model Normalitzat de l'estudi de gestió de residus de construcció i demolició</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/model_estudi_gestio_residus_de_construcci__i_demolici____ag_ncia_de_residus_de_catalunya.pdf</doc_url></documento><documento><doc_nombre>Nomenament de contractista</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511094331_22012.pdf</doc_url></documento><documento><doc_nombre>Nomenament contractista del gremi de constructors</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/nomenament_contractista_gremi_de_la_construcio_del_valles.pdf</doc_url></documento><documento><doc_nombre>Sol·licitud de llicència d'obres menors</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_20161122133334_30999.pdf</doc_url></documento>,,si,no,si,no,no,no,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",5010,01/02/2017 07:44:09 AM
Llicència de divisió horitzontal,U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Instància sol.licitud de llicència de divisió horitzontal</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511094211_32219.pdf</doc_url></documento>,,si,no,si,no,no,no,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",777,01/02/2017 07:45:22 AM
Llicència de parcel·lació urbanística,U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Sol·licitud de llicència de parcel·lació</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511095517_32020.pdf</doc_url></documento>,,si,no,si,no,no,no,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",789,01/02/2017 07:46:36 AM
Llicència Municipal per activitats classificades en el Decret 112/2010 de 31 d'agost pel qual s'aprova el Reglament d'espectacles públics i activitats recreatives,U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Instància llicència municipal</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/inst_ncia_llic_ncia_municipal.pdf</doc_url></documento><documento><doc_nombre>Declaració responsable del tècnic competent</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/declarac_resp_t_cnic.pdf</doc_url></documento>,,no,no,si,no,no,no,<tema><tem_codigo>28</tem_codigo><tem_nombre>Activitats</tem_nombre></tema>,1026,01/02/2017 07:51:59 AM
Llicència per a la tinença i/o conducció d'animals considerats potencialment perillosos,U052 - MEDI AMBIENT,si,no,no,,,<documento><doc_nombre>Sol·licitud llicència gossos potencialment perillosos</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/Sol_llicencia_gossos_perill.pdf</doc_url></documento><documento><doc_nombre>Declaración jurada en Castellano</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/Decla Resp Gossos cast_v1.pdf</doc_url></documento><documento><doc_nombre>Declaració Jurada en Català</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/Decla Resp Gossos cat_v1.pdf</doc_url></documento>,,si,no,no,no,no,no,"<tema><tem_codigo>3</tem_codigo><tem_nombre>Animals de companyia (cens d'animals, llicència d'animals perillosos...)</tem_nombre></tema>",1311,01/04/2017 07:39:42 AM
Llicència per instal.lar una grua torre,U044 - LLICÈNCIES,si,no,no,,,<documento><doc_nombre>Instància sol.licitud de llicència d'instal.lació de grua</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201511092250_30019.pdf</doc_url></documento>,,si,no,si,no,no,no,"<tema><tem_codigo>2</tem_codigo><tem_nombre>Urbanisme, habitatge i obres (cèdul·la d'habitabilitat, llicències d'obres...)</tem_nombre></tema>",640,02/01/2016 01:19:02 PM
"Ocupació de l'espai públic amb atraccions, casetes de fira i altres",U050 - MOBILITAT,si,no,no,,,<documento><doc_nombre>Sol·licitud ocupació espai públic per fires i festes tradicionals</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_201693181431_318234.pdf</doc_url></documento><documento><doc_nombre>Taxa per utilització privativa o aprofitament especial del domini públic municipal</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/14._ordenan_a_fiscal_n_m._14_2013.pdf</doc_url></documento>,,no,si,no,si,si,si,,691,01/02/2017 07:56:48 AM
Ocupació de l'espai públic amb taules i cadires,U050 - MOBILITAT,si,no,no,,,<documento><doc_nombre>Sol·licitud d'ocupació de l'espai públic amb taules i cadires</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/plantilla_solicitud_terrazas_2012.pdf</doc_url></documento><documento><doc_nombre>Solicitud de ocupación del espacio público con mesas y sillas</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/plantilla_solicitud_terrazas_2013_castellano.pdf</doc_url></documento><documento><doc_nombre>Taxa per utilització privativa o aprofitament especial del domini públic municipal</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/14._ordenan_a_fiscal_n_m._14_2013.pdf</doc_url></documento><documento><doc_nombre>Sol·licitud de canvi de titular en ocupacions de l'espai públic amb taules i cadires</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_20152995355_28679.pdf</doc_url></documento><documento><doc_nombre>Sol·licitud de baixa en ocupacions de l'espai públic amb taules i cadires</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_20152995446_20799.pdf</doc_url></documento><documento><doc_nombre>Renovació d'autorització en ocupacions de l'espai públic amb taules i cadires</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_20152995620_21010.pdf</doc_url></documento><documento><doc_nombre>Sol·licitud de modificació d'ocupació de taules i cadires</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_2015223132115_28873.pdf</doc_url></documento>,,no,no,si,si,no,no,,940,01/02/2017 07:58:40 AM
Ocupació especial de l'espai públic,U050 - MOBILITAT,si,no,no,,,<documento><doc_nombre>Sol·licitud ocupacions de l'espai públic</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/mmg_20169318145_318438.pdf</doc_url></documento><documento><doc_nombre>Taxa per utilització privativa o aprofitament especial del domini públic municipal</doc_nombre><doc_url>http://docs.rubi.cat:85/recurs/14._ordenan_a_fiscal_n_m._14_2013.pdf</doc_url></documento>,,si,no,si,si,no,no,,1247,01/02/2017 08:00:34 AM
