ID,Nom entittat,Adreça entitat,Localitat,Telèfon entitat,Email entitat,Tipus entitat,Any fundació,Any d'inscripció
187,ASSOCIACIÓ DE VEÏNS QUATRE VENTS DE RUBÍ,"Passatge dels Quatre Vents, 9",08191 Rubí,"93-788 33 68
93-789 29 39",,Entitat veïnal,1998,1999
188,"ASSOCIACIÓ AGRÍCOLA, RÚSTICA I FORESTAL DE RUBÍ","c. La Rutlla, 11",08221 Terrassa,"93-699 63 22
93-731 88 49",,Entitat mediambiental,1998,1999
189,UNIÓ ATLÈTICA RUBÍ,"av. de les Olímpiades, s/n",08191 Rubí,93-588 27 62,uarubi@gmail.com,Entitat esportiva,1994,1999
190,CLUB SPORTING RUBÍ,"c. Verge del Pilar, 19, bxs.",08191 Rubí,93-697 33 28,sportingrubi@hotmail.com,Entitat esportiva,1999,1999
191,ASSOCIACIÓ DE DONES ATURADES I DONES IMMIGRANTS - ADAI,"c. Aribau, s/n",08191 Rubí,93-697 90 73,,Entitat de dones,1999,1999
192,CIA. DE DANSA METRÓNOMO,"c. Madrid, 59, 2n 3a",08191 Rubí,"93-697 43 23
699 086808",ciadedansametronomo@gmail.com,Entitat cultural,1999,1999
193,LEONES DE BARCELONA DEL ATHLÈTIC CLUB DE BILBAO,"ctra. de Sabadell, 17-Ap. Correus, 27143",08191 Rubí,"93-699 89 00
93-697 03 69",haro-hidalgo@hotmail.com,Entitat esportiva,1999,1999
194,AMICS DELS GATS LLIURES DE RUBÍ,"c. Monturiol, 27, 2n 2a",08191 Rubí,93-588 41 27,,Entitat de salut,1999,2000
195,ASOCIACIÓN CULTURAL ANDALUZA DE ARJONILLEROS EN CATALUÑA,"c. Xile, 1-3",08191 Rubí,93-699 75 33,,Entitat cultural,1999,2000
196,ASSOCIACIÓ DE GENT GRAN DE RUBÍ I DEL SEU ENTORN,"c. Magallanes, 60",08191 Rubí,93-588 44 87,casalgentgranrubi@hotmail.com,Entitat social,1998,2000
197,"ASOCIACIÓN DE PROPIETARIOS DE ""CAN BALASCH""","Passeig de la Riera, 43 1r 2a",08191 Rubí,,joseluis96@hotmail.com,Entitat veïnal,1999,2000
198,"ASSOCIACIÓ CULTURAL ""SEGON MIL·LENNI""","c. Poesia, 2-4 bxs 1a",08191 Rubí,93-588 15 11,a_c_segon_millenni@ozu.es,Entitat cultural,1999,2000
199,ASSOCIACIÓ PER A LA PROMOCIÓ I DEFENSA DEL COMERÇ DEL C/ FONDO DE RUBÍ,"av. Francesc Macià, 15",08191 Rubí,,,Entitat de comerç,1999,2000
200,"ASSOCIACIÓ CULTURAL RUBÍTEATRE ""LA CLACA""","c. Cervantes, 126",08191 Rubí,93-588 73 72,,Entitat cultural,1999,2000
201,AGRUPACIÓ MUSICAL CIUTAT DE RUBÍ,"c. Xile, 1-3",08191 Rubí,,,Entitat cultural,1999,2000
202,ASOCIACIÓN DEPORTIVA CASTELLNOU,"Colomer, 26-28",08191 Rubí,666265498,juanjonati@hotmail.com,Entitat esportiva,1996,2000
203,CLUB ESPORTIU HORITZÓ 1994,"c. Lluís Ribas, 27-29 esc.A 1r 6a",08191 Rubí,936 978 212,cmhoritzo@horitzo.org,Entitat esportiva,1997,2000
204,GRUP DE TEATRE GATZARA,"Ps. Ferrocarril, 9",08191 Rubí,936973848,,Entitat cultural,1980,2000
205,ASSOCIACIÓ CULTURAL SANT GALDERIC,"Pl Jaume Pla i Pallejà, local 6",08191 Rubí,654321451,santgaldericrubi@gmail.com,Entitat cultural,1996,2000
206,AV CA N'ALZAMORA,Pss. De les Torres (Parc Educació Viària),08191 Rubí,,avvcanalzamora@hotmail.com,Entitat veïnal,2000,2000
207,GRUP CULTURAL DE TEATRE TRAVELLING,"ctra. Sabadell, 104-108, 2n 1a",08191 Rubí,636923344,,Entitat cultural,1994,2000
208,"ASSOCIACIÓ PER A LA PROMOCIÓ DE L'ESPECTACLE INFANTIL I JUVENIL A RUBÍ ""LA XARXA""","c. Xile, 1-3",08191 Rubí,93-699 39 80,,Entitat cultural,1995,2000
209,ACO VALLÈS OCCIDENTAL RUBÍ,"Pl. Dr. Guardiet, 9",08191 Rubí,93-699 12 05,acocat@arrakis.es,Entitat ciutadana-cívica,2000,2000
210,ASSOCIACIÓ CULTURAL FOTOGRAFIA OSCURA-IBÈRICA,"c. Marconi, 1, 5è 4t",08191 Rubí,93-588 72 98,,Entitat cultural,1999,2000
211,GRUP DE PUNTAIRES DE RUBÍ,"c. Lope de Vega, 27",08191 Rubí,"93-588 74 73
93- 699 45 05",francinarusi@gmail.com,Entitat cultural,1999,2000
212,"COMPANYIA DE TEATRE ""EL DESVÁN""","c. Pit Roig, 6",08191 Rubí,93-699 92 95,,Entitat cultural,2000,2000
213,AV CENTRE DE RUBÍ,"c. Vapor, 21 B",08191 Rubí,93-586 09 33,veinscentre@hotmail.com,Entitat veïnal,2000,2000
214,"ASOCIACIÓN CULTURAL ""LA TRUP DELS 60""","c. Cabrera, 47",08191 Rubí,93-587 02 64,,Entitat ciutadana-cívica,2000,2001
215,RUBÍ SOLIDARI,"c. Orso, 2",08191 Rubí,93-588 86 43,info@rubisolidari.org,Entitat de cooperació,1994,2001
216,FUNDACIÓ MUSEU-BIBLIOTECA DE RUBÍ,"Pl. Dr. Guàrdiet, 9",08191 Rubí,93-699 12 05,jpijuanblanco@hotmail.com,Entitat cultural,1924,2001
217,AP TRES CAMINS,"c. Pintor Coello, 10 bxos.",08191 Rubí,93-699 58 99,,Entitat veïnal,2000,2001
218,COORDINADORA  DE ENTIDADES ANDALUZAS DE RUBÍ (CECAR),"c. Orso, 2",08191 Rubí,669155723,c.e.c.a.r@hotmail.com,Entitat cultural,2000,2001
219,ADANUBI. ASSOCIACIÓ DE DANSA DE RUBÍ,"c. Sant Josep, 12, 1r",08191 Rubí,629 78 96 12,,Entitat cultural,1998,2001
220,ESQUERRA UNIDA ALTERNATIVA RUBÍ,"c. Sant Joan, 1",08191 Rubí,,,Partit polític,2001,2001
221,PENYA BLAUGRANA 25 DE SETEMBRE DE RUBÍ,"c. Josep Saltó 21-23, bx 1",08191 Rubí,(65) 825-2903,pb25septiembrerubi@hotmail.com,Entitat esportiva,2000,2001
222,ASSOCIACIÓ JUVENIL ZAZOO,"c. Orso 30, 1r 1a",08191 Rubí,"93-588 80 00
93-586 24 04",,Entitat juvenil,1999,2001
223,UNIÓ ESPORTIVA RUBÍ,"av. de les Olímpiades, s/n",08191 Rubí,93-588 84 35,uerubi1902@hotmail.com,Entitat esportiva,1912,2001
224,"GRUP DE TEATRE ""LA BARRAQUETA""","c. Pau Clarís, 61, 4t 3a",08191 Rubí,636 679 608,,Entitat cultural,2000,2001
225,"ASSOCIACIÓ CULTURAL ""EL BON ROTLLO""","av. St Muç, 52, caseta postal 200",08191 Rubí,93-699 71 81,,Entitat social,2001,2001
226,GRUP DE TEATRE AMATEUR NOCUNVÉ,"pg de la Riera, 113, 2n 4a",08191 Rubí,,,Entitat cultural,2000,2001
227,CLUB DEPORTIVO BALONMANO RUBI 2001,"ctra. Terrassa,59, 2n 1a",08191 Rubí,93-697 23 59,,Entitat esportiva,2001,2001
228,ANEM A BALLAR,"c. Aneto, 60",08191  Rubí,93-697 39 10,,Entitat cultural,2001,2001
229,ASOCIACIÓN DE POETAS Y ESCRITORES DE CATALUNYA,"c. Pons Cirac,9 can Bosch, caseta postal 449,",08191 Rubí,,,Entitat cultural,1986,2001
230,ASOCIACIÓN RUMBERA PACO AGUILERA,"avda.Castellnou, 147",08191  Rubí,,,Entitat cultural,1999,2001
231,COORDINADORA D'ENTITATS DE RUBI,"c. Xile, 1-3,",08191  Rubí,93-588 74 73,,Entitat ciutadana-cívica,2001,2001
232,APLEC DE RUBI,"Pg.Francesc Macià,32,àtic",08191 Rubí,93-699 06 25,perez-almirall@hotmail.com,Entitat cultural,2001,2002
233,CLUB ESPORTIU CAN MIR,"c. Alella, 13",08191 Rubí,93-697 01 16,,Entitat esportiva,2001,2002
234,COMPAÑÍA DE TEATRO CLÁSICOS MAL VERSADOS,"c. Cogul,11",08191 Rubí,630319129,,Entitat cultural,2001,2002
235,ASSOCIACIÓ CULTURAL D'AUS RAPINYAIRES GRAN DUC,"ctra.Sant Cugat,5, esc.izqda 2n 1a",08191 Rubí,,,Entitat mediambiental,2002,2002
236,ASSOCIACIÓ DE COMERCIANTS LES TORRES,"Pl. de la Constitució, tda.11, (rellotgeria Lael)",08191 Rubí,93 697 48 28,,Entitat de comerç,1999,2002
237,AV CASTELLNOU-CAN MATARÍ SECTOR C,"c. Colera, s/n caseta postal 125",08191 Rubí,93-587 04 18,jordiftc@gmail.com,Entitat veïnal,1987,2002
238,AV I AP LES VALLS SECTOR V-RUBI,"c. Menta, 12",08191 Rubi,93-699 71 42,,Entitat veïnal,2002,2002
239,ASSOCIACIÓ CULTURAL URUGUAYO CATALANA DE RUBI: LOS BOTIJAS,"C. Orso, 2",08191 Rubí,630230772,asoc.losbotijas@gmail.com,Entitat de cooperació,2001,2002
240,TERTÚLIES DE L'ATENEU DE RUBI,"Sta Maria 19, atic",08191 Rubí,93-699 60 33,angelesf26@hotmail.com,Entitat cultural,2002,2002
241,AMICS DEL COL·LECCIONISME DE RUBI,"c.  Riera, 3",08191Rubí,93-699 28 98,isidrefores@yahoo.es,Entitat cultural,2002,2002
242,ADFAR(ASSOCIACIÓ PER LA DINAMITZACIÓ DE LA FORMACIÓ D'ADULTS A RUBÍ),"c.Terrassa, 13",08191 Rubi,93-588 77 04,,Entitat educativa,1999,2002
243,COL·LECTIU PELS DRETS DE LES DONES VIDUES DE CATALUNYA,"c.Argentona, 54",08191 Rubi,"93-733 12 73
93-588 12 59",,Entitat de dones,2002,2002
244,ASOCIACIÓN DE COMUNICACIÓN CULTURAL,"ctra. Sabadell, 52, 2n 2a",08191 Rubi,93-587 41 27,,Entitat cultural,2002,2002
245,ASSOCIACIÓ LITERÀRIA INDULGENCIA PLENARIA,"c. Sant Muç,18",08191Rubí,93-588 86 82,indulgenciaplenaria@hotmail.com,Entitat cultural,2001,2002
246,ASSOCIACIÓ DE LA COMUNITAT DE PROPIETARIS RUBÍ 128,"Pasatge Barcelona, s/n",08191 Rubí,93-587 52 97,asociacionrubi128@msn.com,Entitat veïnal,1993,2003
247,CLUB DARDOS WEB&COFFEE,"avda. Ntra.Sra. De Lourdes, 72",08191 Rubí,"615 939 405
93 588 13 09",,Entitat esportiva,2002,2003
248,ASSOCIACIÓ DE CAÇADORS DE RUBI,"pl.Catalunya, 1",08191 Rubí,679 977 712,,Entitat esportiva,1940,2003
249,ASSOCIACIÓ PER LA RECERCA D'ACORDS I FOLCLORE IMAGINARI,"c. Dr. Ferran, 13, 1r 4a",08191Rubí,93-588 80 61,,Entitat cultural,2001,2003
250,CLUB DE RÀDIO-CONTROL DE RUBÍ,"Ed. Kosmos 3, 3r 2a     Plaça Nova",08191 Rubí,692 80 69 79,clubradiocontrolrubi@gmail.com,Entitat esportiva,1997,2003
251,ASSOCIACIÓ DE FAMILIARS DE MALALTS MENTALS,"Grup 25 de Setembre, 47, local",08191 RubÍ,"935873022
661281450
647738079",afmm@hotmail.com,Entitat social,2002,2003
252,ASOCIACIÓN RECREATIVA EL BUEN CARISMA,"c.L'Arrabassada,10 Castellnou",08191 Rubí,670 217 113,,Entitat cultural,2002,2003
253,AV SANT JORDI PARK,"c. Agustí Pujol i Vallhonrat, 11",08191 Rubí,93-697 27 34,ricardomontavo@hotmail.com,Entitat veïnal,2002,2003
254,AV DISTRICTE 5 EL PORTAL,"c. Ntra sra de Lourdes, 86",08191 Rubi,93-587 25 91,casa-de-todos@hotmail.com,Entitat veïnal,2002,2003
255,ASSOCIACIÓ JUVENIL  BLUEBEAT,"c. Sabadell, 18",08191 Rubí,"617 487 612
93-697 90 04",,Entitat juvenil,2002,2003
256,PROPIETARIS ASSOCIATS XIMELIS (PAX),"Caseta postal, 1",08191 Rubí,,forum@interactivos.net,Entitat veïnal,1995,2003
257,COL.LECTIU PELS DRETS DE LA GENT GRAN DE RUBÍ,"c. Orso, 2",08191 Rubi,93-697 11 42,,Entitat social,2002,2003
258,BALLET DANZARES,"c.Getafe,2-4, 4rt 4a",08191 Rubi,93-699 13 94,jperello@maptel.s,Entitat cultural,2002,2003
259,COORDINADORA D'ASSOCIACIONS PER LA LLENGUA CATALANA (CAL),"c. Xile, 1",08191 Rubí,646 814 887,,Entitat cultural,1999,2003
260,AULA JOVE,"c. De la Creu, 20-26 2n 2a",08191 Rubí,93-699 12 05,pbx@eic.ictnet.es,Entitat educativa,2003,2003
261,ASOCIACIÓN CULTURAL SOMOS DIFERENTES SOMOS IGUALES,"c.Sagunt , 31-33 bxs",08191 Rubí,690 226 855,,Entitat cultural,2003,2003
262,ASSOCIACIÓ PER LA PROMOCIÓ DE LA CULTURA I LA SOLIDARITAT - LAPSUS,"c.Riera, 15, 2n 2a",08191 Rubí,93-699 81 27,info@lapsusespectacles.com,Entitat ciutadana-cívica,2001,2003
263,COLLA DE GEGANTERS DEL CEIP TERESA ALTET,"c.Mallorca, s/n",08191Rubí,93-699 80 01,teresinaaltet@gmail.com,Entitat cultural,2003,2003
264,ASSOCIACIÓ DE VEÏNS LA BÒBILA,c. Basses 5,08191 Rubí,93-697 29 89,,Entitat veïnal,2003,2004
265,CARTELERA-CLAQUETA,"c. Pintor Coello, 14 1r",08191 Rubí,93-588 74 73,,Entitat cultural,2003,2004
266,FAVR,"c. Covadonga, 42, bx",08191 Rubí,93-697 92 21,favrubi2015@gmail.com,Partit polític,1997,2004
267,FONDISTES DE RUBI,"c.Ferrol, 4, 1r 1a",08191 Rubí,,sampar774@telefonica.net,Entitat esportiva,2003,2004
268,CENTRE LLEURE ALTERNATIU MOLÍ 21,"c.Molí,21",08191 Rubí,610067646,info@crac.cat,Entitat cultural,2003,2004
269,ASSOCIACIÓ CATALANA D'ENGINYERIA SENSE FRONTERES,"c. Virgili, 42 1r 1a",08191 Rubí,686854917,projectes@esf-cat.org,Entitat de cooperació,1994,2004
270,COLLA DE DIABLES DE LA RIERA DE RUBI,"c. Orso, 2",08191 Rubí,606980416,diablesdelariera@gmail.com,Entitat cultural,1990,2004
271,ASSOCIACIÓ DEL CASAL DE PRIMER DE MAIG,"c. Lepanto, 31-33",08191 Rubí,93-588 17 46,rubi@mutuam.com,Entitat social,2003,2004
272,ONCOLLIGA,"c. Cal Gerrer, 15",08191 Rubí,93-6995821,,Entitat de salut,2004,2004
273,ASSOCIACIO VALLES AMICS DE LA NEUROLOGIA(AVAN),"c. Lluís Ribas, 27-29,esc.A 1r 5a",08191 Rubí,93-588 17 90,rubi@amicsdelaneurologia.org,Entitat de salut,1998,2004
274,ASSOCIACIÓ DE COMERCIANTS DE CA N'ORIOL,"c.Sant Cayetano, 108",08191 Rubí,93-69720 44,,Entitat de comerç,1995,2004
275,CASAL MENDOCINO DE RUBÍ,"c. Cadmo, 27 1r 2a",08191 Rubí,"93- 697 00 11
665 560 052",,Entitat ciutadana-cívica,2004,2004
276,COORDINADORA RUBINENCA D'ASSOCIACIONS DE VEINS,"c. Xile, 1",08191 Rubí,93-588 50 05,,Entitat veïnal,,2004
277,ASOCIACION FLAMENCA DE AMIGOS DEL SUR,"ctra.Terrassa, 134 2on.pis",08191 Rubí,93-697 80 19,,Entitat cultural,2003,2004
278,"ACTITUDS, PROJECTES COMUNITARIS DES DE L'OPCIÓ SOCIAL","Plaça Nova, 1 8è 2a",08191 Rubí,670 361 448,actituds@wanadoo.es,Entitat ciutadana-cívica,2005,2005
279,CASAL POPULAR DE RUBÍ,"c. Pere Esmendia, 14",08191 Rubí,93-699 56 53,,Entitat cultural,1924,2005
280,SALSARUBÍ,"c. Terrassa, 21 baixos",08191 Rubí,619 741 546,joan@guiaderubi.com,Entitat cultural,2002,2005
281,AMPA CEE CA N'ORIOL,"c. Granada, 31",08191 Rubí,93-697 83 90,ampaoriol@gmail.com,Entitat educativa,2004,2005
282,ASOCIACION VÍCTIMAS DE ACOSO LABORAL DE CATALUNYA (AVALC),"c. Vallespí, 81-85 3r 3a",08014 Barcelona,650 969 548,,Entitat ciutadana-cívica,2004,2005
283,AMPA ESCOLA MONTSERRAT,"C. Pintor Coello, 7",08191 Rubí,93-588 80 71,ampa@escolamontserrat.cat,Entitat educativa,1974,2005
284,ASCIR,"c. Orso, 5",08191 Rubí,93-697 67 01,,Entitat de cooperació,2002,2005
285,ASOCIACION DE PERSONAS MAYORES 25 DE SEPTIEMBRE,"Grupo 25 de Septiembre, local 15",08191 Rubí,93-699 61 36,,Entitat ciutadana-cívica,2005,2005
286,"ASSOCIACIÓ MÚSICS ""EL SILENCI ÉS MÚSICA A RUBÍ""","c. Xile, 1-3",08191 Rubí,654 101 717,,Entitat juvenil,2004,2005
287,CLUB DE BITLLES ELS XATOS DE RUBÍ,"Ps. Francesc Macià, 8",08191 Rubí,93-699 13 27,francescbancells@gmail.com,Entitat esportiva,2005,2005
288,AMPA CEIP CA N'ALZAMORA,"c. Antoni Sedó, 91-101",08191 Rubí,635254314,canalzamora.ampa@gmail.com,Entitat educativa,2005,2006
289,ASSOCIACIÓ JUVENIL BRONQUITIS SQUAD,"c. Oriol, 26 1r 1a",08191 Rubí,649 878 193,,Entitat juvenil,2004,2006
290,...Y ME LLAMO PERÚ,"av. Can Cabanyes, 15 6è 2a",08191 Rubí,93-697 24 75,,Entitat de cooperació,2005,2006
291,MINUSVÀLIDS EN ACCIÓ (MENA),"ctra. De Terrassa, 100 7è 3a",08191 Rubí,636 007 135,,Entitat social,2005,2006
292,AGRUPACIÓN ROCIERA ANDALUZA DE RUBÍ (RETAMA),"c. Monturiol, 5 1r 4a",08191 Rubí,676 253 770,,Entitat cultural,2005,2006
293,ASSOCIACIÓ D'AMICS DELS ESCACS,"c. Covadonga, 13 1r",08191 Rubí,93-697 25 57,,Entitat esportiva,2005,2006
294,CLUB FRONTENIS RUBÍ,"c. Sòria, 3",08191 Rubí,93-588 87 87,carlos.vi2005@hotmail.com,Entitat esportiva,1998,2006
295,SPORTENIS DE RUBÍ,"Mas Rosinyol, s/n (Sant Muç)",08191 Rubí,93-699 28 90,sportenis@adade.es,Entitat esportiva,1994,2006
296,METALRUBÍ,"c. Madrid, 32 4t 4a",08191 Rubí,93-588 78 62,,Entitat cultural,2005,2006
297,"ASOCIACIÓN CULTURAL ANDALUZA ""AROMAS DEL SUR""","c. Sòria, 5",08191 Rubí,93-5887007,aromasdelsur@canoriol.es,Entitat cultural,2005,2006
298,ASSOCIACIÓ TAFUYT N ÀFRICA CULTURA I AMISTAT,"c. Torrijos, 15 bxos.",08191 Rubí,660 208 811,amirare@hotmail.com,Entitat de cooperació,2006,2006
299,FEDERACIÓN MULTICULTURAL DEL VALLÈS,"c. Orso, 6",08191 Rubí,690 846 297,,Entitat de cooperació,2006,2006
300,PEÑA BÉTICA DE RUBÍ,"Passeig del Ferrocarril, 23",08191 Rubí,93-697 94 00,torete1982@hotmail.com,Entitat esportiva,2005,2007
301,CREU ROJA RUBÍ-SANT CUGAT,"c. Marconi, 10",08191 Rubí,93-697 92 04,mireia.munoz@creuroja.org,Entitat de cooperació,199-,2007
302,AV CAMÍ DE CAN CARRERAS,"Can Carreras, parcel·la 53",08191 Rubí,600 080 208,kardona@gmail.com,Entitat veïnal,2003,2007
304,ASOCIACIÓN CULTURAL BRASIL PAÍS TROPICAL,"c. Xile, 1-3",08191 Rubí,93-697 10 72,brasil-pais-tropical@hotmail.com,Entitat de cooperació,2007,2007
305,CLUB ESPORTIU MAGICS,"c. Muntanya, 16 bis",08026 Barcelona,936990136,cemagics@telefonica.net,Entitat esportiva,2003,2007
306,"ASSOCIACIÓ JUVENIL PER LA PROMOCIÓ DEL MANGANIME ""OTAKURUBÍ)",Torre Bassas Espai Jove,08191 Rubí,93-6991663,otakurubi@gmail.com,Entitat juvenil,2007,2007
307,A MI LINDO ECUADOR...,"Passatge Kronos, 3-5, esc 3 6è 2a",08191 Rubí,936991587,amilindoecuador.2012@gmail.com,Entitat de cooperació,2006,2007
308,CASA DE ANDALUCÍA 28 DE FEBRERO EN RUBÍ,"c. Cadmo, 27 1r 2a",08191 Rubí,665560052,,Entitat cultural,2007,2007
309,CLUB ESCOLA DE FUTBOL CAN MIR,"Alforja, s/n",08191 Rubí,93-697 36 65,cefcanmir@gmail.com,Entitat esportiva,2007,2007
310,AMPA CEIP 25 DE SETEMBRE,"Ptge. Marconi, 2-14",08191 Rubí,935517582,ampa25desetembre@gmail.com,Entitat educativa,1998,2008
311,ROCK & CIA,"Av. Estatut, 99 2n 1a",08191 Rubí,620 957 639,w.rockandcia.com,Entitat cultural,2007,2008
312,ASOCIACIÓN CULTURAL LAS VAQUERAS,"c. Sabadell, 24 local",08191 Rubí,616 377 847,,Entitat cultural,2007,2008
313,"ASSOCIACIÓ PER A LA RECUPERACIÓ DE LA MEMÒRIA HISTÒRICA I DEMOCRÀTICA DE RUBÍ ""NEUS","c. Xile, 1",08191 Rubí,936971142,mhrubineuscatala@gmail.com,Entitat cultural,2007,2008
314,ASSOCIACIÓ JUVENIL ESSÈNCIA SINTÈTICA,"Ctra. De Terrassa, 53 3r 1a",08191 Rubí,615 274 503,roboca@hotmail.com,Entitat juvenil,2008,2008
315,AMPA CEIP RIVO RUBEO,"c. Gràcia, 32",08191 Rubí,935517586,ampa.rivo.rubeo@hotmail.com,Entitat educativa,2006,2008
316,AMPA CEIP JOAN MARAGALL,"Camí d'Ullastrell, 133",08191 Rubí,936971036,ampaescolajoanmaragallrubi@hotmail.com,Entitat educativa,1990,2008
317,AMPA INS LA SERRETA,"c. Lepanto, 1",08191 Rubí,93-6996363,iesserreta@xtec.cat,Entitat educativa,1997,2008
319,ASSOCIACIÓ ESPORTIVA ESCOLAR IES J.V. FOIX,Camí can Sant Pere,08191 Rubí,93-5880089,darmeng4@xtec.cat,Entitat esportiva,2007,2008
320,ASSOCIACIÓ VILADECAVALLS VIDA I PAU,"c. Abad Escarré,20, 3r 2a",08191 Rubí,711723469,info@vidaipau.com,Entitat de cooperació,2002,2008
321,COLLA GEGANTERA DEL PINAR,"Zona aparcaments, s/n",08191 Rubí,696 559 676,enricdel@msn.com,Entitat cultural,2008,2008
322,PEÑA MADRIDISTA VETERANOS Y NOVELES DE RUBÍ,"c. Gimnàs, 21 1r",08191 Rubí,93-5889607,veteranosynoveles@hotmail.es,Entitat esportiva,2008,2008
323,ACSPROSC (ASS CATALANA-SENEGALESA PER LA COOPERACIÓ I LA PROMOCIÓ SOCIAL I CULTURAL),"Ctra Sabadell, 89, 1r 2a",08191 Rubí,93-6971965,acsprosc@hotmail.com,Entitat de cooperació,2008,2008
324,ASSOCIACIÓ DE COMERCIANTS MONTURIOL-PROGRÉS,"c. Monturiol, 23",08191 Rubí,93-6999132,,Entitat de comerç,2008,2009
325,CASTELLNOU CLUB DE FÚTBOL SALA,"c. Alcover, 32",08191 Rubí,637 724 466,castellnoufs@hotmail.com,Entitat esportiva,2008,2009
326,ASSOCIACIÓ D'ADJUDICATARIS DEL MERCAT MUNICIPAL,"c. Cal Gerrer, s/n",08191 Rubí,93-6998652,mercat@ajrubi.es,Entitat de comerç,2009,2009
327,CORAL CONTURBAT ME,"c. Federico García Lorca, 37",08191 Rubí,"936992675
669927548",conturbatme@hotmail.com,Entitat cultural,,2009
328,ASSOCIACIÓ RUBÍGAT,"Ps. De les Torres, 108 3r 1a",08191 Rubí,646955342,laurabcn49@hotmail.com,Entitat mediambiental,2008,2009
329,AMIGOS DE LAS MOTOS CUSTOM COWBOYS MOTORCYCLE CLUB,"c.Artesa 3, Sector A, Urb Can Mir",08191 Rubí,617603449,cowboysmcrubi@gmail.com,Entitat esportiva,2009,2009
330,ACCIÓ SOLIDÀRIA CONTRA L'ATUR,"Riera de Sant Miquel, 1 bis 3r.2n",08006 Barcelona,932179997,accio@pangea.org,Entitat social,2009,2009
331,AV CARRER SANT ISIDRE,"c. Sant Isidre, 11",08191Rubí,936993578,fvalero@icab.es,Entitat veïnal,2008,2010
332,ÒMNIUM CULTURAL RUBÍ,"c. Xile, 1-3",08191 Rubí,638548908,rubi@omnium.cat,Entitat cultural,2009,2010
333,AV SIGLO 21,"c. La Lluna, 13 1r 1a",08191 Rubí,687522170,unonueve1@yahoo.es,Entitat veïnal,2010,2010
334,ASSOCIACIÓ DE MARXANTS DE RUBÍ,,,,,Altres,,
335,ASSOCIACIÓ COLLA DE DIABLES RUBEO DIABLORUM,"Ctra. Sabadell, 16 4t 3a",08191 Rubí,696137976,rubeodiablorum@gmail.com,Entitat cultural,2010,2010
336,ASSOCIACIÓ D'AIRSOFT RUBÍ,"c. Joan Puig, local LK-44",08191 RUBÍ,605247364,juleperubi@hotmail.es,Entitat esportiva,2010,2010
337,FUNDACIÓ BENÈFICA PRIVADA QUETZAL,"c. de la Gavina, 11",08191 Rubí,629426069,jmptorras@hotmail.com,Entitat de cooperació,2001,2010
338,FEDERACIÓ D'ASS. DE COMERCIANTS I GREMIS RUBÍ,"Av. Barcelona, 57, entr 2a despatx 0",08191 Rubí,620924935,info@viurubi.com,Entitat de comerç,1996,2010
340,ASSOCIACIÓ KYOKUSHIN RYU,"c. Abat Escarré, 49 4t 3a",08191 Rubí,93-6998861,,Entitat esportiva,1990,2011
341,AMPA ESCOLA DEL BOSC,"c. Anton de Borja, s/n",08191 Rubí,935881688,ampaescoladelbosc@gmail.com,Entitat educativa,2010,2011
342,RODAMONS DE RUBÍ,"c. Amor, 12",08191 RUBÍ,639679777,luisapellejero@yahoo.es,Entitat mediambiental,2010,2011
343,ASS. D'AMICS RUBINENCS DE LA RADIOCOMUNICACIÓ,"c. Pintor Coello, 36",08191 Rubí,93-6999799,eduardoaldea@gmail.com,Entitat cultural,2010,2011
344,AMPA ESCOLA MUNICIPAL DE MÚSICA PERE BURÉS,"c. Joaquim Blume, 28",08191 Rubí,935887441,ampaxmusic@gmail.com,Entitat educativa,2010,2011
345,ASSOCIACIÓ EDUCATIVA I CULTURAL FORMES,"c. Ntra. Sra. De Lourdes, 65",08191 Rubí,699040703,contacte@formes.org.es,Entitat cultural,2010,2011
346,ASSOCIACIÓ DE TAMBORS DE RUBÍ,"c. Aneto, 55",08191 Rubí,935880773,presidencia@tamborsderubi.org,Entitat cultural,2011,2011
347,ASOCIACIÓN DE MUJERES CREATIVAS DEL VALLÈS,"c. Inventor Monturiol, 5 ent. 3a",08191 Rubí,667871415,asociacion.amcv@gmail.com,Entitat cultural,2011,2011
348,PRO-EDUCART PER LA COOPERACIÓ I EL DESENVOLUPAMENT A EL SALVADOR,"c. Terrassa, 42-44 2n C",08191 Rubí,647712524,pro-educart@pro-educart.org,Entitat de cooperació,2006,2011
349,ASSOCIACIÓ RUBÍ MUSICAL S. XXI,"c. Nou, 52",08191 Rubí,680241590,armrubi@gmail.com,Entitat cultural,2011,2011
350,FUNDACION VICENTE FERRER,"c. Dante Alighieri, 6, bxs dreta",08191 Rubí,629925722,mercefrei@gmail.com,Entitat de cooperació,2012,2012
351,ASSOCIACIÓ RIU ROIG,"c. Pontevedra, 12 bis",08191 Rubí,653804732,riuroig@hotmail.com,Entitat educativa,2011,2012
352,AMPA EBM SOL SOLET,"c. Joaquim Blume, 30 (Complex Cultural l'Escardívol)",08191 Rubí,617076595,ampasolsoletrubi@gmail.com,Entitat educativa,2011,2012
354,ASSOCIACIÓ VA D TEATRE,"c. Tres Camins, 17",08191 Rubí,936975205,flipon_50@hotmail.com,Entitat cultural,2011,2012
355,ASSOCIACIÓ SOLIDÀRIA D'AJUT VEÏNAL (ASAV),"c. Cervantes, 32",08191 Rubí,935887676,asavrubi@gmail.com.,Entitat social,2012,2012
