ENTITAT,NÚM REGISTRE,ADREÇA,TELÈFON,CORREU ELECTRÒNIC,WEB,ÀMBIT PRINCIPAL,ACTIVITATS
Club Karate Swing,419,"Pl. Maluquer i Salvador, 16, 02",938704096,swing@escolaswing.com,,Esport,
Club Trialtó Granollers,246,,,clubtrialtogranollers@gmail.com,"http:,,trialtogranollers.org",Esport,
Esport Club Granollers,410,"C, Girona 52",938703663,info@esportclubgranollers.com,www.waportclubgranollers.com,Esport,
Fundació Balonmano Granollers,203,"Voluntaris'92, núm. 1",9.38792862938793E8,pep@bmgranollers.cat,www.bmgranollers.cat,Esport,
Patinatge Artístic Granollers,238," Lluis Companys, 1 (pavelló del parquet)",9.38707302615912E8,artistic@patinatgegranollers.cat,www.patinatgegranollers.cat,Esport,
Societat Esportiva Pescador Granollers,104,Girona 52,606806303,info@sepgranollers.com,www.sepgranollers.com,Esport,
Unió Subaquàtica Granollers,92,,938464314,info@unisubgranollers.cat,www.unisubgranollers.cat,Esport,
Veterants Bàsquet Granollers,287," Alvarez de castro, 45",938701127,lluisvallsvila@terra.es,,Esport,
Agrupament Escoltes i Guies Sant Esteve de Granollers,264,,690958777,aestesteve@gmail.com,,Lleure,
Associació Arco Iris,336,Lledoner 6 (Centre Cívic Nord),936406069 669034694,arcoiris.granollers@gmail.com,,Lleure,
Associació Catalana d'Aeronaus no Tripulades,429,,,catdrone@hotmail.com,,Lleure,
Associació de Disminuïts Intel·lectuals,295,"Ricomà 92, 2a",938704386,victchete@hotmail.com,,Lleure,
"Associació de Voluntaris ""La Caixa"" de la Provincia de Barcelona Nord",423,"C, Joan Camps 1",,lrubio@fasvoluntaris.es,,Lleure,
Associació Esplai Amics,424,"C, Colombia, 1-3",639761117,,,Lleure,
Associació Esplai d'Assís,440,,,esplaiesplai@gmail.com,esplaidassis.wordpress.com,Lleure,Té com a objectiu l'acompanyament des infants en el seu desenvolupament integral a partir de l'educació en el lleure.
Associació Jovent Ignorat,430,,,joventignorat@gmail.com,www.joventignorat.cat,Lleure,
Associació Juvenil Grup d'Amics Els Pardals,156,Pl. Església 1,6.78662654639333E8,merixbi@yahoo.es,,Lleure,
Associació Mosquetelas,432,,,mariarevelles72@gmail.com,,Lleure,
Associació Slot Granollers,472,"C, Joan Coll, 24",661604214,alanrikilla€hotmail.com,,Lleure,Asociació de pràctica de l'eslot (scalextric). Organitza curses i campionats.
Club Caravaning Vallès Oriental,257,"C, lledoner, 6 (centre cívic Nord)",618131377,ccvallesoriental@gmail.com  ccvo@ccvo.es,,Lleure,
Club Wargames el consejo de Sabios,394,"Centre cívic Can Gili, Camí Vell de Lliça, s,n",,clubwargamescds@gmail.com,,Lleure,
Colònies Sant Esteve,190,"Plaça de l'església, 1",661174979,coloniessantesteve@gmail.com,www. coloniessantesteve.cat,Lleure,
Driver Family Club,482,,,driverfamilyclub@gmail.com,,Lleure,
Esplai Guai de Palou,153,"Passeig Dr. Fàbregas s,n",717701980,esplai@esplaiguai.org,www.esplaiguai.org,Lleure,
"HispaLUG, Asociación de aficionados a LEGO",426,"C, Brasil 37, 3r 4rta",615247145,"info@hispalug.com , jero@morente.net",hispalig.com,Lleure,
Unió Radioafeccionats del Vallès Oriental,10,"Av. del Parc 9, 6è",,urvo@urvo.cat,urvo.cat,Lleure,
Associació de Recerca i Rescat Caní Granollers,481,"C, Princesa, 79",697381926,gruprescatcani@gmail.com,,Medi natural,
Associació Protectora d'Animals de Granollers,279,"Severo Ochoa 103-105, Polígon Industrial Font de Radium",938402777,info@protectoragranollers.org,www.protectoragranollers.org,Medi natural,
Associació Vilanimal per la Protecció i Defensa dels Animals,465,,,info@vilanimal.org,www.vilanimal.org,Medi natural,Associació que mira pel benestar i els drets dels animals de companyia. No té refugi físic. faciliten l'adopció dels animals.
Assemblea Nacional Catalana,384,Museu 3,687990447,granollers@assemblea.cat,www.assemblea.granollers.cat,Política,
Candidatura d'Unitat Popular,393,,,granollers@cup.cat,"http:,, granollers.cup.cat",Política,
Esquerra Republicana de Catalunya,248,"Torras i Bages, 5, 2on",938614141,vallesoriental@esquerra.org,"http:,,locals.esquerra.cat,vallesoriental",Política,
Federalistes d'Esquerres del Vallès Oriental,463,,,vallesoriental@federalistesdesquerres.org,federalistesdesquerres.org,Política,"Aquesta entitat es va constituir el 2013 a partir del document ""Catalunya sense fronteres"", per impulsar: - Uuna reforma de la Constitució que permeti desenvolupar un sistema federal en ase als principis de la cooperació, la lleialtat institucional i la solidaritat entre els pobles d'Espanya. - Regenerar el model polítici institucional fent-lo més democràtic i participatiu, respectuós a l'autogovern de les parts i de la plurinacionalitat d'Espanya. - Avançar en la constitució d'una Europa sense fronteres, federal, més junta i solidària."
Organització d'Esquerra Unida i Alternativa de Catalunya,317,"C, Girona 25, 3r A",653366315,euia@euia.cat,"www.euia.cat,granollers",Política,
Acció Jove-Joves de CCOO,219,"Pius XII, 5-6",938601940,vormar@ccoo.cat colladomarc@hotmail.com,,Professional,
Associació d'Empresaris i Propietaris del Polígon Industrial Coll de la Manya Sector G-1,286,Avda Sant Julià-Edifici TILMA,938604455,info@colldelamanya.com,www.colldelamanta.com,Professional,
Associació d'Empresaris i Propietaris dels Polígons Industrials el Congost i Jordi Camp,464,"Can Muntanyola- Camí del Mig, 22 P.I. Palu Nord",934964507,info@picampcongost.cat,,Professional,
Associació de Dones Emprenedores EmpentaGranollers,437,"C, Camí del Mig 22, Can Muntanyola",,info@empentagranollers.cat,www.empentagranollers.cat,Professional,
Unió Sindical Obrera de Catalunya ,322,Miquel Ricoma 63 Baixos,938796751,vallesoriental@usoc.cat,www.usoc.cat,Professional,
"Associació Activa't, Regenera't, Assoleix",434,,,info@centrefont.es,,Salut,
Associació Asperger de  Catalunya,408,,938700222,sac.vallesoriental@gmail.com,www.aspergercat.es,Salut,
Associació Catalana d'Afectats de Fibromiàlgia,243,"Centre cívic Jaume Oller, c, Mare de Deu de Montserrat 37",619259484,granollers@fibromialgia.cat,www.fibromialgia.cat,Salut,
Associació Catalana per al Parkinson,460,"Av. Francesc Ribas s,n",606976705,fundraising@catparkinson.org,www.acaparkinson.org,Salut,"Donar atenció i assessorament a les persones afectades per la malaltia de Parkinson i als seus familiars i,o cuidadors."
Associació d'Ajuda Integració i Psicologia ,414,"Pl. de les Arts 10, baixos, Local",637425287,adaip.ajuda@gmail.com,"http:,,adaip.ajuda.blogspot.com",Salut,
Associació de Familiars de Malalts Mentals del V.O.,180,"Av. del Parc, 9, 3a planta",647473060,daruma@darumaassociacio.com,,Salut,
Associació Sonidoviración,448,,,,,Salut,
Associació Voluntaris per l'Hospital de Granollers,404,"Josep Umbert, 25",938700597,voluntarishospitalgranollers@gmail.com,,Salut,
"Cos i Ment ""Fem per tu""",485,"Jardins Conrad Saló, 7, 4rt 4a",667707937,fempertu@hotmail.com,fempertu.blogspot.com,Salut,"Entitat que es dedica a fer tallers de gimnàstica per a gent gran, relaxació i control de l'estres, meditacions guiades, meditació activa, teràpies de cooching, reiki, maualitats (mandales, ets.), taller de memòria, taller de creixement personal, xerrades informatives i de salut."
Fundació Odontologia Solidària,477,"Avinguda del Parc, 9",938792479,directora@odsolidaria.org,www.odsolidaria.org,Salut,
Fundació Privada Granollers i Vallès Oriental Contra el Càncer  ,301,"Av. Del Parc, 9, planta 6a",938700167,fundació@oncovalles.cat,,Salut,
Fundació Privada LAR per Malalts Mentals,242,,,,,Salut,
Amics de l'11,475,,607854254,amicsdel11@gmail.com,,*No indicat,
Associació Cultural Balimaya (Germanes),456,,602191938,,,*No indicat,
