CODI,ADREÇA,BARRI,LOCALITZACIÓ,IMMOBILIÀRIA,SITUACIÓ,INFORMACIÓ EXTRA,TELÈFON
107,"Carrer Maria Palau 25, Granollers",CONGOST,"(41.614556, 2.279746)",Particular,LLOGUER/VENDA,,938497311
108,"Carrer Maria Aurelia Capmany, sn, Granollers",CAN BASSA,"(41.594583, 2.286851)",h-entorn.cat,LLOGUER/VENDA,92m2,639776231
109,"Carrer Mare de Déu de Montserrat, 62, Granollers",TRES TORRES,"(41.599115, 2.284336)",Particular,LLOGUER,,678955412
110,"Carrer Mare de Déu de Montserrat, 56, Granollers",TRES TORRES,"(41.599735, 2.284452)",Particular,VENDA,,656897593
111,"Carrer Mare de Déu de Montserrat, 44, Granollers",TRES TORRES,"(41.601052, 2.284739)",Finques La Llar,LLOGUER,,938791734
112,"Carrer Mare de Déu de Montserrat, 67, Granollers",TRES TORRES,"(41.598409, 2.28456)",Finques Marcel,LLOGUER,,938791767
113,"Carrer Mare de Déu de Montserrat, 55, Granollers",TRES TORRES,"(41.599421, 2.284753)",Particular,LLOGUER,,654098556
114,"Carrer Mare de Déu de Montserrat, 26, Granollers",SANT MIQUEL,"(41.60212, 2.28517)",Santi Collell,LLOGUER,,938793165
115,"Carrer Manel Cornella,6, Granollers",GRANOLLERS NORD,"(41.615195, 2.295226)",Area Gestio Inmobiliària,LLOGUER/VENDA,,937952906
116,"Carrer Mallorca, 14, Granollers",SANT MIQUEL,"(41.601022, 2.286231)",Oliva Grupo Inmobiliario,LLOGUER,,938795050
117,"Carrer Lluis Vives, 15, Granollers",FONT VERDA,"(41.608368, 2.295542)",casaktua.com,LLOGUER/VENDA,,902303309
118,"Carrer Lluis Companys, 17, Granollers",TRES TORRES,"(41.599688, 2.282578)",Particular,VENDA,,665642511
119,"Carrer Llevant, 80, Granollers",SANT MIQUEL,"(41.600315, 2.291052)",Particular,LLOGUER,,629313797
120,"Carrer Llevant, 78, Granollers",SANT MIQUEL,"(41.600547, 2.291109)",Particular,VENDA,,938703666
121,"Carrer Llevant, 22, Granollers",SANT MIQUEL,"(41.602947, 2.291673)",Servi Habitat,VENDA,,902150102
122,"Carrer Julià Centelles, 18, Granollers",SANT MIQUEL,"(41.599326, 2.288166)",Finques Cot,LLOGUER,,678743814
123,"Carrer Julià Centelles, 5, Granollers",SANT MIQUEL,"(41.599685, 2.288385)",Particular,VENDA,,659237948
124,"Carrer Juan de la Cierva, 30, Granollers",GRANOLLERS NORD,"(41.615172, 2.293689)",Particular,LLOGUER,,937966976
125,"Carrer Juan de la Cierva, 7, Granollers",GRANOLLERS NORD,"(41.614214, 2.293305)",viureagranollers.com,LLOGUER,,938611937
126,"Carrer Josep Pinyol, 6, Granollers",GRANOLLERS CENTRE,"(41.603744, 2.291277)",Finques Marcel,LLOGUER,,938791767
127,"Carrer Josep Pinyol, 2, Granollers",GRANOLLERS CENTRE,"(41.603889, 2.290796)",Particular,LLOGUER/VENDA,,629816814
128,"Carrer Josep Maria de Sagarra, 17 Bis, Granollers",FONT VERDA,"(41.60782, 2.294221)",Santi Collell,LLOGUER,,938793165
129,"Carrer Josep Maria de Sagarra, 73, Granollers",FONT VERDA,"(41.61146, 2.295496)",Particular,LLOGUER,,659778530
130,"Carrer Josep Maria de Sagarra, 54, Granollers",FONT VERDA,"(41.609599, 2.295122)",Aguilar&Vilalta,LLOGUER/VENDA,,678828959 / 931282171
131,"Carrer Josep Maria de Sagarra, 43, Granollers",FONT VERDA,"(41.609602, 2.29484)",Particular,,,
132,"Carrer Josep Maria de Sagarra, 42, Granollers",FONT VERDA,"(41.608876, 2.294871)",casaktua.com,VENDA,432m2,902303309
133,"Carrer Josep Maria de Sagarra, 40, Granollers",FONT VERDA,"(41.608831, 2.294847)",casaktua.com,VENDA,536m2,902303309
134,"Carrer Josep Maria de Sagarra, 38, Granollers",FONT VERDA,"(41.608482, 2.294751)",casaktua.com,VENDA,553m2,902303309
135,"Carrer Josep Maria de Sagarra, 36, Granollers",FONT VERDA,"(41.608579, 2.294756)",Particular,VENDA,,
136,"Carrer del Mestre Josep Ma. Ruera, 19, Granollers",INSTITUTS,"(41.610179, 2.285778)",Santi Collell,LLOGUER,,938793165
137,"Carrer Joanot Martorell, 30, Granollers",CONGOST,"(41.61124, 2.277836)",Finques Les Franqueses,LLOGUER,,938467666
138,"Carrer Joan Vidal i Jumbert, 5, Granollers",CONGOST,"(41.614111, 2.280227)",Eminad,VENDA,,938703666
139,"Carrer Joan Prim , 282, Granollers, Spain",LLEDONER,"(41.617201, 2.291627)",Inmogra,LLOGUER,,938794000
140,"Carrer Joan Prim , 234, Granollers",LLEDONER,"(41.616264, 2.291339)",Particular,LLOGUER,,667385492
141,"Carrer Joan Prim, 274, Granollers",LLEDONER,"(41.617018, 2.291572)",Particular,LLOGUER,,629151119
142,"Carrer Joan Prim, 218, Granollers",LLEDONER,"(41.615897, 2.291226)",viureagranollers.com,LLOGUER,,938611937
143,"Carrer Joan Prim, 216, Granollers",LLEDONER,"(41.615657, 2.291136)",Servi Habitat,LLOGUER/VENDA,,902150102
144,"Carrer Joan Prim, 213, Granollers",LLEDONER,"(41.615738, 2.290988)",Particular,LLOGUER/VENDA,,626020021
145,"Carrer Joan Prim, 180, Granollers",JOAN PRIM CENTRE,"(41.614151, 2.290689)",Funques Marcel,LLOGUER,,938791767
146,"Carrer Jaume Balmes, 17, Granollers",INSTITUTS,"(41.6097, 2.284438)",Esteve Brachs,LLOGUER,,938790004
147,"Carrer Isabel de Villena, 20, Granollers",SOTA EL CAMÍ RAL,"(41.604819, 2.285185)",Finques Marcel,LLOGUER,,938791767
148,"Carrer Isabel de Villena, 58, Granollers",SOTA EL CAMÍ RAL,"(41.604803, 2.283259)",Finques Vallbona,LLOGUER,,938792164
149,"Carrer Isaac Albeniz, 29, Granollers",TRES TORRES,"(41.597854, 2.289444)",Finques Coll/Marcel,VENDA,,938792714 / 938791767
150,"Carrer Isaac Albeniz, 26, Granollers",SANT MIQUEL,"(41.598583, 2.289462)",Aguilar&Vilalta,VENDA,,931282171
151,"Carrer Isaac Albeniz, 1, Granollers",SANT MIQUEL,"(41.599377, 2.289754)",Aguilar&Vilalta/CORSO,LLOGUER,,931282171 / 931282171
152,"Carrer Isaac Albeniz, 31, Granollers, Spain",TRES TORRES,"(41.597777, 2.289415)",Particular,LLOGUER/VENDA,,687590248
153,"Carrer Indústria, 62, Granollers",SANT MIQUEL,"(41.601119, 2.290079)",Espai cúbic,LLOGUER,,938796470
154,"Carrer Indústria, 36, Granollers",SANT MIQUEL,"(41.601313, 2.289225)",La Casa Agency,LLOGUER,,934872824
155,"Carrer Indústria, 26, Granollers",SANT MIQUEL,"(41.601303, 2.288726)",Particular,LLOGUER,,639363420
156,"Carrer Girona, 333, Granollers",LLEDONER,"(41.62066, 2.29346)",Mapfre Inmuebles,LLOGUER,,934013956
157,"Carrer Girona, 327, Granollers",LLEDONER,"(41.620355, 2.293728)",Bernabé Grup,LLOGUER,,655870608
158,"Carrer Girona, 315, Granollers",LLEDONER,"(41.619882, 2.293684)",Particular,LLOGUER,,609386954
159,"Carrer Girona, 305, Granollers",LLEDONER,"(41.61957, 2.293578)",Eminad,LLOGUER,,938703666
160,"Carrer Girona, 291, Granollers",LLEDONER,"(41.618958, 2.293387)",Particular,VENDA,,938701015
161,"Carrer Girona, 218, Granollers",GRANOLLERS NORD,"(41.616598, 2.292988)",Nuñez i Navarro,LLOGUER,,934050101
162,"Carrer Girona, 56, Granollers",GRANOLLERS CENTRE,"(41.611098, 2.291166)",fincasro.com,LLOGUER,,938705976
163,"Carrer  Frederic Mompou, 18, Granollers",LLEDONER,"(41.61963, 2.29303)",Eminad,LLOGUER,,938703666
164,"Carrer Francesc Tarafa, 14, Granollers",GRANOLLERS CENTRE,"(41.610522, 2.290187)",Modest Bellavista,VENDA,,938706842
165,"Carrer Francesc Tarafa, 4, Granollers",GRANOLLERS CENTRE,"(41.610261, 2.29013)",Finques Marcel,LLOGUER,,938791767
166,"Carrer Francesc Serra, 4 local1, Granollers",TRES TORRES,"(41.597967, 2.289243)",Don Piso,LLOGUER,,697323311
167,"Carrer Francesc Serra, 4 local 2, Granollers",TRES TORRES,"(41.597965, 2.289279)",Particular,LLOGUER/VENDA,,685530532
168,"Carrer Francesc Ribas, 72, Granollers",FONT VERDA,"(41.612653, 2.295664)",Finques Marcel,VENDA,,938791767
169,"Carrer  Francesc Macià, 166, Granollers",TRES TORRES,"(41.598459, 2.286641)",Finques Marcel,LLOGUER,,938791767
170,"Carrer  Francesc Macià, 144, Granollers",TRES TORRES,"(41.59957, 2.28698)",Aguilar&Vilalta,LLOGUER,,931282171
171,"Carrer de Francesc Macià, 138, Granollers",TRES TORRES,"(41.599681, 2.287014)",Aguilar&Vilalta,LLOGUER,,931282171
172,"Carrer de Francesc Macià, 99, Granollers",SANT MIQUEL,"(41.60044, 2.2874)","Finques Coll,Lloguer",LLOGUER,,938792714 / 637759381
173,"Carrer Font de l'Escot, 35, Granollers",GRANOLLERS CENTRE,"(41.613156, 2.288398)",Particular,LLOGUER/VENDA,,607182980
174,"Carrer de Joan Pere Fontanella, 43, Granollers",SOTA EL CAMÍ RAL,"(41.605245, 2.283478)",Particular,VENDA,,696247663
175,"Carrer de Joan Pere Fontanella, 41, Granollers",SOTA EL CAMÍ RAL,"(41.605245, 2.283668)",Finques Coll/Finques Cot,LLOGUER,,938792714 / 678743814
176,"Carrer  Francesc Ribas, 35, Granollers",GRANOLLERS NORD,"(41.613397, 2.293086)",Bernabé Grup,LLOGUER,,655870608
177,"Carrer Foment, 8, Granollers, Spain",SANT MIQUEL,"(41.603, 2.288517)",Finques Marcel,LLOGUER,,938791767
178,"Carrer Foment, 6, Granollers",SANT MIQUEL,"(41.603052, 2.288301)",Finques Vallbona,LLOGUER,,938792164
179,"Carrer Foment, 3, Granollers",SANT MIQUEL,"(41.60319, 2.288116)",Finques Vallbona,LLOGUER,,938792164
180,"Carrer Felip II, 26, Granollers",GRANOLLERS NORD,"(41.61359, 2.293296)",Eminad,LLOGUER/VENDA,,938703666
181,"Carrer  Esteve Terrades, 22, Granollers",SANT MIQUEL,"(41.598279, 2.29004)",Finques Marcel,LLOGUER,,938791767
182,"Carrer Esteve Terrades, 18, Granollers",SANT MIQUEL,"(41.598519, 2.290044)",Finques Marcel,VENDA,,938791767
183,"Carrer Esteve Terrades, 14-16, Granollers",SANT MIQUEL,"(41.598625, 2.290053)",Finques Cot,LLOGUER,Fins a 450m2,678743814
184,"Carrer Esteve Terrades 42, Granollers",TRES TORRES,"(41.596557, 2.289886)",Particular,LLOGUER,,938793967
185,"Carrer Esteve Terrades 44, Granollers",CAN BASSA,"(41.596006, 2.289907)",Particular,LLOGUER,,619744198
186,"Carrer Enginyer, 21, Granollers",GRANOLLERS CENTRE,"(41.609486, 2.291697)",Eminad,LLOGUER,,938703666
187,"Carrer Enginyer, 17, Granollers",GRANOLLERS CENTRE,"(41.609714, 2.291496)",fincasro.com,LLOGUER,,938705976
188,"Carrer Emili Botey Alsina, 14, Granollers",TRES TORRES,"(41.597423, 2.288449)",Esteve Brachs,LLOGUER/VENDA,,938790004
189,"Carrer Emili Botey Alsina, 8, Granollers",TRES TORRES,"(41.597495, 2.287688)",Aguilar&Vilalta,LLOGUER,,931287170
190,"Carrer Emili Botey Alsina, 7, Granollers",TRES TORRES,"(41.597608, 2.289153)",Aguilar&Vilalta,LLOGUER,,931287171
191,"Carrer d'Enric Prat de la Riba, 51, Granollers",SANT MIQUEL,"(41.602817, 2.285605)",Particular,LLOGUER,,938467091
192,"Carrer d'Enric Prat de la Riba, 36, Granollers",SANT MIQUEL,"(41.603022, 2.285953)",Particular,VENDA,,932168080
193,"Carrer d'Enric Prat de la Riba, 28, Granollers",SANT MIQUEL,"(41.60314, 2.286547)",Particular,LLOGUER,,938791407
194,"Carrer d'Enric Prat de la Riba, 24, Granollers",SANT MIQUEL,"(41.603152, 2.286725)",Particular,LLOGUER,472m2,637759381
195,"Carrer d'Enric Prat de la Riba, 19, Granollers",SANT MIQUEL,"(41.603023, 2.286876)",Finques Marcel,LLOGUER/VENDA,,938791767
196,"Carrer d'Enric Prat de la Riba, 12, Granollers",SANT MIQUEL,"(41.603255, 2.28735)",Finques Marcel,LLOGUER,,938791767
197,"Carrer de Corró, 280, Granollers",LLEDONER,"(41.616879, 2.290819)",Finques Vallbona,LLOGUER,,938792164
198,"Carrer de Corró, 237, Granollers",L'HOSTAL,"(41.616254, 2.290501)",Finques Coll,LLOGUER,,938792714
199,"Carrer de Corró, 221, Granollers",L'HOSTAL,"(41.615774, 2.29036)",Finques Marcel,LLOGUER,,938791767
200,"Carrer de Corró, 197, Granollers",L'HOSTAL,"(41.614746, 2.29007)",Finques Vallbona,LLOGUER/VENDA,,938792164
201,"Carrer de Corró, 195, Granollers",L'HOSTAL,"(41.61463, 2.290028)",Finques Marcel,LLOGUER/VENDA,,938791767
202,"Carrer de Corró, 192, Granollers",JOAN PRIM CENTRE,"(41.614127, 2.290071)",Oliva Grupo Inmobiliario,LLOGUER,,938795050
203,"Carrer de Corró, 70, Granollers",GRANOLLERS CENTRE,"(41.611129, 2.288467)",Particular,,,
204,"Carrer Conflent 3 , Granollers",CAN BASSA,"(41.591094, 2.286768)",Particular,,,605604510
205,"Carrer Comerç, 18, Granollers",SANT MIQUEL,"(41.601704, 2.28645)",Finques Cot,LLOGUER,,678743814
206,"Carrer Comerç, 16, Granollers",SANT MIQUEL,"(41.601669, 2.286729)",Finques Cot,LLOGUER,,678743814
207,"Carrer  Céllecs, 1, Granollers",CONGOST,"(41.613141, 2.281098)",IMMOBILIÀRIA CLAN,VENDA,,687559777
208,"Carrer Castella, 8, Granollers",GRANOLLERS CENTRE,"(41.605425, 2.287265)",Particular,VENDA,,938707754
209,"Carrer Carles Riba, 7, Granollers",FONT VERDA,"(41.608149, 2.294117)",Santi Collell,VENDA,,938793165
210,"Carrer Camp de les Moreres, 7, Granollers",TRES TORRES,"(41.600357, 2.283773)",Aguilar&Vilalta,LLOGUER,,931282171
211,"Carrer Bonaventura Puig i Perucho, 22, Granollers",CAN MONIC,"(41.622028, 2.294309)",La Casa Agency,LLOGUER,,938613927
212,"Carrer Bartomeu Serrat i Argemí,55 Granollers",CAN BASSA,"(41.595662, 2.28967)",blocs.net,LLOGUER,,938702856
